id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/8/value,qualifier/11/value,qualifier/12/value,qualifier/16/value
2813609303,6,61,1,0,14,4q0b35m26thti4c2on9a3npk0,0,73.5,94.2,2025-05-11T15:02:35.440Z,2025-05-11T15:02:36Z,26ro2zdtkq9ia7dzr9ellxkvd,T. Haltvik,,,5720777707,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813609333,6,5,1,0,15,80hgdmpkvdrhw1ge9nks2kxvy,1,28.2,-1.8,2025-05-11T15:02:36.268Z,2025-05-11T17:14:11Z,1gwemllvgcore4shqy79qu82y,V. Skjærvik,,,5720777907,56,Back,5720777941,233,7,5720777909,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813609335,7,5,1,0,15,4q0b35m26thti4c2on9a3npk0,0,71.8,101.8,2025-05-11T15:02:36.268Z,2025-05-11T17:14:12Z,26ro2zdtkq9ia7dzr9ellxkvd,T. Haltvik,,,5720777945,233,6,5720777917,56,Left,5720777919,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813609343,7,1,1,0,16,80hgdmpkvdrhw1ge9nks2kxvy,1,33.0,0.0,2025-05-11T15:02:37.188Z,2025-05-11T15:02:39Z,1ncet6wg9tne9oif8vkgsc8kq,L. Cornic,,,5720777981,141,21.2,5720777977,140,40.9,5720777985,213,1.08,5720777969,107,,5720777973,56,Back,5720777983,212,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813609355,8,61,1,0,17,80hgdmpkvdrhw1ge9nks2kxvy,0,40.9,21.2,2025-05-11T15:02:39.036Z,2025-05-11T15:06:52Z,95t0lc2qqgzxp92n1pr62n816,D. Edvardsson,,,5720778029,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813609391,8,1,1,0,18,4q0b35m26thti4c2on9a3npk0,0,66.6,75.6,2025-05-11T15:02:39.936Z,2025-05-11T17:06:40Z,3usrzzduezg3zt3usvuayxxm2,S. Hestnes,,,5720778205,213,5.92,5720778203,212,16.5,5720778201,141,66.9,5720778199,140,81.3,5720778195,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813609431,9,61,1,0,19,4q0b35m26thti4c2on9a3npk0,1,73.7,72.7,2025-05-11T15:02:40.791Z,2025-05-11T15:11:02Z,3iolpwrv18gtlyse7ih3nt91w,B. Kristensen,,,5720778377,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813609497,9,12,1,0,20,80hgdmpkvdrhw1ge9nks2kxvy,1,18.4,29.9,2025-05-11T15:02:41.900Z,2025-05-11T15:12:24Z,9l89pnte9uhyc8jnads2lintg,T. Guddal,,,5720778749,56,Back,5720778759,213,0.63,5720778753,140,25.4,5720778757,212,9.1,5720778755,141,37.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813617911,76,61,1,0,21,80hgdmpkvdrhw1ge9nks2kxvy,1,24.4,33.6,2025-05-11T15:02:42.145Z,2025-05-11T15:13:26Z,5mvddfxv6aqzohz87gopwl990,J. Hjertø-Dahl,,,5720829615,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813617927,78,1,1,0,21,80hgdmpkvdrhw1ge9nks2kxvy,1,29.6,28.2,2025-05-11T15:02:42.464Z,2025-05-11T15:12:50Z,95t0lc2qqgzxp92n1pr62n816,D. Edvardsson,,,5720831093,56,Back,5720831099,212,17.5,5720831095,140,16.7,5720831097,141,11.9,5720831101,213,3.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813617917,77,1,1,0,22,80hgdmpkvdrhw1ge9nks2kxvy,0,17.4,16.8,2025-05-11T15:02:43.312Z,2025-05-11T15:13:12Z,1gwemllvgcore4shqy79qu82y,V. Skjærvik,,,5720832935,140,24.6,5720832939,141,0.0,5720832943,212,14.3,5720832931,56,Back,5720832947,213,5.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813609805,10,5,1,0,26,4q0b35m26thti4c2on9a3npk0,1,68.4,102.0,2025-05-11T15:02:48.001Z,2025-05-11T17:14:12Z,4cx6v1ugc9l5sd0nqep3sxoiy,J. Nuñez,,,5720780629,56,Left,5720780721,233,10,5720780631,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813609635,10,5,1,0,26,80hgdmpkvdrhw1ge9nks2kxvy,0,31.6,-2.0,2025-05-11T15:02:48.001Z,2025-05-11T17:14:12Z,1ncet6wg9tne9oif8vkgsc8kq,L. Cornic,,,5720779613,347,,5720780775,233,10,5720779611,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813609885,11,1,1,0,51,4q0b35m26thti4c2on9a3npk0,0,86.0,100.0,2025-05-11T15:03:12.753Z,2025-05-11T15:03:17Z,c1jlypnkt4c9y9vdnjkvxa85x,R. Rasch,,,5720781053,107,,5720781059,141,64.0,5720781061,212,26.7,5720781055,56,Center,5720781057,140,92.5,5720781065,1,,5720781063,213,4.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813609967,12,44,1,0,53,80hgdmpkvdrhw1ge9nks2kxvy,1,9.0,36.1,2025-05-11T15:03:14.992Z,2025-05-11T15:14:21Z,bab8s40ltdf9v117umanbcmxg,A. Kinteh,,,5720781481,56,Back,5720781587,233,12,5720781483,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813609909,12,44,1,0,53,4q0b35m26thti4c2on9a3npk0,0,91.0,63.9,2025-05-11T15:03:14.993Z,2025-05-11T15:14:23Z,67nybn375tyqdqae4m1yk407o,M. Tønnessen,,,5720781619,233,12,5720781185,286,,5720781181,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813609971,13,12,1,0,54,80hgdmpkvdrhw1ge9nks2kxvy,1,7.0,29.5,2025-05-11T15:03:15.556Z,2025-05-11T15:14:24Z,bab8s40ltdf9v117umanbcmxg,A. Kinteh,,,5720781503,141,48.5,5720781499,56,Back,5720781527,15,,5720781507,213,1.05,5720781505,212,14.9,5720781501,140,14.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813610387,13,16,1,0,55,4q0b35m26thti4c2on9a3npk0,1,85.8,46.8,2025-05-11T15:03:16.641Z,2025-05-11T17:19:34Z,4cx6v1ugc9l5sd0nqep3sxoiy,J. Nuñez,,,5720784531,374,2025-05-11 16:03:15.737,5720784527,20,,5720785315,231,49.6,5720854685,281,c1jlypnkt4c9y9vdnjkvxa85x,5720785309,328,,5720785313,230,97.8,5720854683,280,PASS_LOST,5720785311,458,,5720784525,160,5720854687,282,4q0b35m26thti4c2on9a3npk0,5720784535,375,00:54.693,5720785301,76,5720785307,108,5720854689,472,11,5720785305,103,8.2,5720785303,102,52.9,5720783659,17,5720783661,56,Center,,,,
2813609957,11,43,1,0,56,80hgdmpkvdrhw1ge9nks2kxvy,1,0.0,0.0,2025-05-11T15:03:17.780Z,2025-05-11T15:03:23Z,bab8s40ltdf9v117umanbcmxg,A. Kinteh,,,5720781431,212,0,5720781429,141,36.3,5720781427,140,13.5,5720781425,56,Back,5720781775,144,12,5720781433,213,3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813610687,14,1,1,1,45,80hgdmpkvdrhw1ge9nks2kxvy,1,50.1,50.3,2025-05-11T15:04:06.070Z,2025-05-11T15:14:54Z,b02g29dknl89wywv3l61fgueh,V. Erlien,,,5720785423,140,36.8,5720785421,56,Back,5720785435,279,G,5720785427,212,21.9,5720785425,141,75.1,5720785431,213,2.26,5720841647,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813610705,15,1,1,1,46,80hgdmpkvdrhw1ge9nks2kxvy,0,36.8,75.1,2025-05-11T15:04:07.556Z,2025-05-11T15:14:57Z,451kwpccebq3457c7jw8toz4l,J. Haugaard,,,5720785543,213,6.06,5720841843,189,,5720785539,141,73.5,5720785541,212,5.0,5720785535,56,Back,5720785537,140,41.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813610763,14,1,1,1,48,4q0b35m26thti4c2on9a3npk0,1,36.0,23.7,2025-05-11T15:04:10.041Z,2025-05-11T15:15:44Z,58ufmirzy800nq7gucsiz3hg4,J. Hjorth,,,5720785883,140,37.2,5720785881,56,Back,5720785887,212,15.6,5720785885,141,46.6,5720785889,213,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813610865,15,1,1,1,49,4q0b35m26thti4c2on9a3npk0,0,35.9,40.7,2025-05-11T15:04:10.897Z,2025-05-11T15:16:30Z,c1jlypnkt4c9y9vdnjkvxa85x,R. Rasch,,,5720786533,140,60.4,5720849397,155,,5720786531,56,Center,5720786539,213,6.00,5720786535,141,29.7,5720786537,212,26.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813622733,152,1,1,1,50,4q0b35m26thti4c2on9a3npk0,0,58.8,22.3,2025-05-11T15:04:11.364Z,2025-05-11T15:17:16Z,3usrzzduezg3zt3usvuayxxm2,S. Hestnes,,,5720853313,141,54.0,5720853315,212,26.1,5720853317,213,0.97,5720853309,56,Center,5720853307,155,,5720853311,140,72.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813610797,16,12,1,1,52,80hgdmpkvdrhw1ge9nks2kxvy,1,31.4,61.1,2025-05-11T15:04:14.029Z,2025-05-11T17:08:05Z,1gwemllvgcore4shqy79qu82y,V. Skjærvik,,,5720786137,140,43.0,5720786135,56,Back,5720786141,212,15.5,5720786139,141,75.1,5720786143,213,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813610815,17,1,1,1,54,80hgdmpkvdrhw1ge9nks2kxvy,0,29.3,68.7,2025-05-11T15:04:15.540Z,2025-05-11T16:21:50Z,bab8s40ltdf9v117umanbcmxg,A. Kinteh,,,5720786241,140,38.7,5720786239,56,Back,5720860441,3,,5720786247,213,5.44,5720786245,212,14.9,5720786243,141,52.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813610821,18,43,1,1,55,80hgdmpkvdrhw1ge9nks2kxvy,1,0.0,0.0,2025-05-11T15:04:16.197Z,2025-05-11T15:04:24Z,bab8s40ltdf9v117umanbcmxg,A. Kinteh,,,5720786923,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813622777,157,1,1,1,55,4q0b35m26thti4c2on9a3npk0,0,61.5,41.1,2025-05-11T15:04:16.243Z,2025-05-11T15:20:38Z,c1jlypnkt4c9y9vdnjkvxa85x,R. Rasch,,,5720867893,140,64.0,5720867899,213,5.73,5720867895,141,38.7,5720867897,212,3.1,5720867891,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813625067,128,61,1,1,55,80hgdmpkvdrhw1ge9nks2kxvy,1,36.0,61.1,2025-05-11T15:04:16.947Z,2025-05-11T15:20:11Z,1qeetk4waatuxev4mqvbxx87p,R. Jenssen,,,5720865789,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813622751,154,1,1,1,56,4q0b35m26thti4c2on9a3npk0,0,64.1,43.4,2025-05-11T15:04:17.667Z,2025-05-11T17:09:18Z,c1jlypnkt4c9y9vdnjkvxa85x,R. Rasch,,,5720871539,140,74.6,5720871541,141,34.0,5720871537,56,Center,5720871545,213,5.76,5720871543,212,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813625085,131,1,1,1,57,80hgdmpkvdrhw1ge9nks2kxvy,1,29.3,61.5,2025-05-11T15:04:18.444Z,2025-05-11T15:22:46Z,5mvddfxv6aqzohz87gopwl990,J. Hjertø-Dahl,,,5720875531,56,Back,5720875537,212,14.6,5720875535,141,80.1,5720875533,140,36.3,5720875539,213,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813625071,129,1,1,1,58,80hgdmpkvdrhw1ge9nks2kxvy,0,33.0,76.5,2025-05-11T15:04:19.092Z,2025-05-11T15:23:10Z,fbk14d79iikagip25ncya0ut,R. Kristiansen,,,5720876965,213,5.61,5720876963,212,14.6,5720876961,141,63.2,5720876959,140,43.9,5720876957,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813610895,19,43,1,1,59,80hgdmpkvdrhw1ge9nks2kxvy,1,0.0,0.0,2025-05-11T15:04:20.765Z,2025-05-11T15:21:08Z,5mvddfxv6aqzohz87gopwl990,J. Hjertø-Dahl,,,5720869667,144,1,5720786693,56,Back,5720786701,213,6.02,5720786695,140,48.7,5720786697,141,71.7,5720786699,212,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813610907,16,8,1,2,0,4q0b35m26thti4c2on9a3npk0,1,58.7,36.7,2025-05-11T15:04:21.987Z,2025-05-11T15:04:22Z,c1jlypnkt4c9y9vdnjkvxa85x,R. Rasch,,,5720786755,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813611001,17,1,1,2,5,4q0b35m26thti4c2on9a3npk0,1,43.6,19.1,2025-05-11T15:04:26.962Z,2025-05-11T15:04:29Z,5u4eoypx0tb3t0brk2dv8sm0a,F. Berglie,,,5720787251,56,Back,5720787257,212,34.4,5720787255,141,51.0,5720787261,1,,5720787259,213,2.46,5720787253,140,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813611011,18,1,1,2,8,4q0b35m26thti4c2on9a3npk0,1,18.2,51.0,2025-05-11T15:04:29.098Z,2025-05-11T15:04:30Z,7f0drwvw3zquh352luxegqtpl,E. Ødegaard,,,5720787347,212,16.7,5720787345,141,26.5,5720787349,213,4.81,5720787341,56,Back,5720787343,140,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813611039,19,1,1,2,9,4q0b35m26thti4c2on9a3npk0,1,19.8,26.5,2025-05-11T15:04:30.361Z,2025-05-11T15:04:33Z,657z9s0rqlzub9nmdpb7ct82c,Momodou Njie,,,5720787515,141,24.0,5720787517,212,18.1,5720787513,140,37.0,5720787519,213,6.19,5720787511,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813611049,20,1,1,2,11,4q0b35m26thti4c2on9a3npk0,0,40.1,22.4,2025-05-11T15:04:33.042Z,2025-05-11T15:04:34Z,3usrzzduezg3zt3usvuayxxm2,S. Hestnes,,,5720787561,140,67.6,5720787559,56,Right,5720787563,141,20.6,5720787567,213,6.24,5720787565,212,28.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813611059,20,8,1,2,13,80hgdmpkvdrhw1ge9nks2kxvy,1,36.1,79.3,2025-05-11T15:04:34.909Z,2025-05-11T15:04:35Z,bab8s40ltdf9v117umanbcmxg,A. Kinteh,,,5720787653,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813611107,21,1,1,2,16,4q0b35m26thti4c2on9a3npk0,0,38.6,28.8,2025-05-11T15:04:37.178Z,2025-05-11T15:04:38Z,c1jlypnkt4c9y9vdnjkvxa85x,R. Rasch,,,5720787985,155,,5720787987,56,Right,5720787991,141,12.8,5720787989,140,76.4,5720787995,213,6.02,5720787997,1,,5720787993,212,41.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813611129,21,1,1,2,17,80hgdmpkvdrhw1ge9nks2kxvy,1,30.0,75.1,2025-05-11T15:04:38.436Z,2025-05-11T15:04:40Z,9l89pnte9uhyc8jnads2lintg,T. Guddal,,,5720788083,141,80.9,5720788081,140,40.0,5720788079,56,Back,5720788077,3,,5720788087,213,0.36,5720788085,212,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813611147,23,1,1,2,19,80hgdmpkvdrhw1ge9nks2kxvy,1,40.0,80.9,2025-05-11T15:04:40.149Z,2025-05-11T15:04:41Z,fbk14d79iikagip25ncya0ut,R. Kristiansen,,,5720788173,141,70.8,5720788169,56,Back,5720788175,212,7.8,5720788177,213,4.22,5720788171,140,36.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813611189,24,1,1,2,20,80hgdmpkvdrhw1ge9nks2kxvy,1,34.0,70.9,2025-05-11T15:04:41.325Z,2025-05-11T15:04:45Z,bab8s40ltdf9v117umanbcmxg,A. Kinteh,,,5720788373,212,30.6,5720788375,213,3.62,5720788367,56,Back,5720788369,140,8.2,5720788371,141,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813611229,25,1,1,2,24,80hgdmpkvdrhw1ge9nks2kxvy,1,10.8,41.0,2025-05-11T15:04:45.053Z,2025-05-11T15:04:48Z,451kwpccebq3457c7jw8toz4l,J. Haugaard,,,5720788649,140,37.0,5720788651,141,17.1,5720788647,56,Back,5720788655,213,5.75,5720788653,212,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813611261,26,1,1,2,27,80hgdmpkvdrhw1ge9nks2kxvy,0,35.3,17.9,2025-05-11T15:04:48.141Z,2025-05-11T15:04:50Z,1gwemllvgcore4shqy79qu82y,V. Skjærvik,,,5720788841,140,55.1,5720788839,56,Right,5720788845,141,19.8,5720788849,212,20.8,5720788851,213,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813611353,22,1,1,2,30,4q0b35m26thti4c2on9a3npk0,1,52.0,64.6,2025-05-11T15:04:51.202Z,2025-05-11T15:04:54Z,657z9s0rqlzub9nmdpb7ct82c,Momodou Njie,,,5720789283,56,Left,5720789289,140,66.3,5720789291,141,86.6,5720789293,212,21.2,5720789295,213,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813611401,24,1,1,2,33,4q0b35m26thti4c2on9a3npk0,1,66.3,86.8,2025-05-11T15:04:54.554Z,2025-05-11T15:27:09Z,c78cublmvb2gg8gzk999xn9hx,A. Nouri,,,5720789523,213,3.36,5720789519,141,78.4,5720789521,212,26.2,5720789515,56,Back,5720789517,140,41.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
