id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/11/value,qualifier/12/value,qualifier/13/value,qualifier/14/value
2819009409,5,1,1,0,13,d8w1m5j3jbd1eva8524dv4a20,1,27.4,26.5,2025-05-25T17:16:07.408Z,2025-05-25T17:16:09Z,e20bu4y05cuuxz7zx3hl0erdg,M. Dia,,,5750743829,3,,5750743839,213,4.45,5750743835,141,16.2,5750743833,140,25.6,5750743837,212,7.3,5750743831,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819009423,6,1,1,0,15,d8w1m5j3jbd1eva8524dv4a20,0,25.6,16.2,2025-05-25T17:16:08.976Z,2025-05-25T17:16:10Z,45bvacft2k18ioxx2eek63y8k,V. Solheim,,,5750743917,3,,5750743925,212,8.5,5750743923,141,5.5,5750743927,213,5.26,5750743919,56,Back,5750743921,140,29.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819009455,7,1,1,0,17,6oxoag5c6zbnn09wx08vz4iak,0,64.2,86.5,2025-05-25T17:16:11.851Z,2025-05-25T17:16:12Z,1n9924y1nahaf0if575wgwonp,J. Soltvedt,,,5750744093,140,76.4,5750744091,56,Left,5750744099,213,0.08,5750744095,141,88.0,5750744097,212,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819009447,7,8,1,0,18,d8w1m5j3jbd1eva8524dv4a20,1,21.9,7.4,2025-05-25T17:16:11.920Z,2025-05-25T17:16:12Z,e20bu4y05cuuxz7zx3hl0erdg,M. Dia,,,5750744073,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819009519,8,5,1,0,19,6oxoag5c6zbnn09wx08vz4iak,1,73.6,101.8,2025-05-25T17:16:13.340Z,2025-05-25T19:21:05Z,1n9924y1nahaf0if575wgwonp,J. Soltvedt,,,5750744427,347,,5750744437,233,8,5750744423,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819009487,8,5,1,0,19,d8w1m5j3jbd1eva8524dv4a20,0,26.4,-1.8,2025-05-25T17:16:13.340Z,2025-05-25T19:21:06Z,e20bu4y05cuuxz7zx3hl0erdg,M. Dia,,,5750744243,56,Back,5750744245,347,,5750744487,233,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819009543,9,1,1,0,21,6oxoag5c6zbnn09wx08vz4iak,1,71.9,100.0,2025-05-25T17:16:15.786Z,2025-05-25T17:16:18Z,1n9924y1nahaf0if575wgwonp,J. Soltvedt,,,5750744575,56,Center,5750744579,141,69.0,5750744585,1,,5750744573,107,,5750744583,213,5.21,5750744577,140,83.2,5750744581,212,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819009555,10,1,1,0,23,6oxoag5c6zbnn09wx08vz4iak,0,83.3,69.0,2025-05-25T17:16:17.802Z,2025-05-25T18:09:45Z,3m2o0t6siupip9y3sco71fe5m,E. Guðmundsson,,,5750744627,3,,5750744631,56,Center,5750744643,213,5.33,5750744629,168,,5750744639,212,11.1,5750744635,141,55.7,5750744633,140,89.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819009613,9,12,1,0,25,d8w1m5j3jbd1eva8524dv4a20,1,10.1,56.6,2025-05-25T17:16:18.960Z,2025-05-25T17:16:21Z,7wiychyw6gd8lw6zakd3swmlm,P. Bizoza,,,5750744931,141,44.8,5750744933,212,35.5,5750744929,140,43.0,5750744935,213,6.05,5750744927,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819009621,11,44,1,0,27,6oxoag5c6zbnn09wx08vz4iak,1,56.6,54.6,2025-05-25T17:16:21.711Z,2025-05-25T17:16:26Z,ahe00hzfpxhe742i5db3mpe6s,E. Helland,,,5750744969,56,Center,5750745011,233,10,5750744971,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819009615,10,44,1,0,27,d8w1m5j3jbd1eva8524dv4a20,0,43.4,45.4,2025-05-25T17:16:21.712Z,2025-05-25T17:16:27Z,6yj33ghw3e2x8lv9mtvqyg7x0,S. Diarra,,,5750744953,285,,5750744951,56,Back,5750745063,233,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819009685,12,1,1,0,28,6oxoag5c6zbnn09wx08vz4iak,0,56.2,53.4,2025-05-25T17:16:22.402Z,2025-05-25T18:10:02Z,ahe00hzfpxhe742i5db3mpe6s,E. Helland,,,5750745373,140,64.6,5750745369,3,,5750745379,213,5.37,5750745375,141,36.7,5750745371,56,Center,5750745377,212,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819009651,11,61,1,0,30,d8w1m5j3jbd1eva8524dv4a20,0,33.3,51.8,2025-05-25T17:16:24.520Z,2025-05-25T17:16:24Z,4bhecy0vioxwdpmw64uyek3ro,S. Innvær,,,5750745153,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819009703,13,1,1,0,31,6oxoag5c6zbnn09wx08vz4iak,1,55.7,47.6,2025-05-25T17:16:25.714Z,2025-05-25T18:10:03Z,gbeebtmqq3qerrs4u7ikq0ru,E. Kornvig,,,5750745471,212,13.4,5750745467,140,47.1,5750745473,213,2.31,5750745465,56,Back,5750745469,141,62.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819009711,14,1,1,0,33,6oxoag5c6zbnn09wx08vz4iak,0,48.3,62.3,2025-05-25T17:16:27.195Z,2025-05-25T18:10:09Z,9se6a4pxhy13alu316ttx2vhl,J. Sery Larsen,,,5750745521,213,5.65,5750745511,140,60.6,5750745507,56,Center,5750745515,141,48.5,5750745519,212,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819009717,12,1,1,0,34,d8w1m5j3jbd1eva8524dv4a20,0,38.3,52.1,2025-05-25T17:16:27.912Z,2025-05-25T17:16:29Z,1s3v8iujq9j1qbhccuun62jft,J. Eskesen,,,5750745601,236,,5750745547,141,56.9,5750745611,286,,5750745605,233,15,5750745543,56,Back,5750745545,140,41.2,5750745549,212,4.5,5750745551,213,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819009721,15,74,1,0,34,6oxoag5c6zbnn09wx08vz4iak,1,60.6,48.5,2025-05-25T17:16:27.913Z,2025-05-25T19:22:21Z,3vuirsh6wmbhingygy27f0hqt,M. Sande,,,5750745569,56,Center,5750745647,233,12,5750745571,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819009793,13,1,1,0,35,d8w1m5j3jbd1eva8524dv4a20,1,36.1,56.0,2025-05-25T17:16:29.815Z,2025-05-25T17:16:32Z,1s3v8iujq9j1qbhccuun62jft,J. Eskesen,,,5750745941,140,25.5,5750745947,213,2.07,5750745939,56,Back,5750745943,141,86.3,5750745945,212,23.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819009883,15,1,1,0,38,d8w1m5j3jbd1eva8524dv4a20,1,25.5,86.3,2025-05-25T17:16:32.527Z,2025-05-25T17:16:37Z,7wiychyw6gd8lw6zakd3swmlm,P. Bizoza,,,5750746433,212,18.4,5750746431,141,96.5,5750746427,56,Back,5750746435,213,0.39,5750746429,140,41.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819009899,16,1,1,0,43,d8w1m5j3jbd1eva8524dv4a20,0,41.7,96.5,2025-05-25T17:16:36.943Z,2025-05-25T17:16:39Z,14ypgy7ikxp4yubgkr3yhh90p,O. Krusnell,,,5750746515,56,Back,5750746683,233,16,5750746519,141,98.0,5750746521,212,3.4,5750746681,236,,5750746517,140,44.8,5750746687,286,,5750746523,213,0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819009921,16,74,1,0,43,6oxoag5c6zbnn09wx08vz4iak,1,47.3,5.5,2025-05-25T17:16:36.944Z,2025-05-25T19:22:22Z,3m2o0t6siupip9y3sco71fe5m,E. Guðmundsson,,,5750746707,233,16,5750746651,56,Back,5750746653,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819009975,17,5,1,0,44,d8w1m5j3jbd1eva8524dv4a20,1,47.6,101.2,2025-05-25T17:16:38.592Z,2025-05-25T19:21:06Z,14ypgy7ikxp4yubgkr3yhh90p,O. Krusnell,,,5750746977,56,Back,5750746979,347,,5750747023,233,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819009943,17,5,1,0,44,6oxoag5c6zbnn09wx08vz4iak,0,52.4,-1.2,2025-05-25T17:16:38.592Z,2025-05-25T19:21:07Z,3m2o0t6siupip9y3sco71fe5m,E. Guðmundsson,,,5750746763,347,,5750746761,56,Right,5750747047,233,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819010031,18,1,1,0,48,d8w1m5j3jbd1eva8524dv4a20,0,52.1,100.0,2025-05-25T17:16:42.568Z,2025-05-25T17:16:46Z,14ypgy7ikxp4yubgkr3yhh90p,O. Krusnell,,,5750747337,213,5.74,5750747329,141,80.3,5750747325,56,Left,5750747339,1,,5750747327,140,74.9,5750747321,107,,5750747333,212,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819010037,18,4,1,0,53,6oxoag5c6zbnn09wx08vz4iak,1,24.6,14.4,2025-05-25T17:16:47.283Z,2025-05-25T17:16:55Z,ahe00hzfpxhe742i5db3mpe6s,E. Helland,,,5750747561,295,,5750747567,285,,5750747587,233,19,5750747563,56,Back,5750747559,13,,5750747565,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819010045,19,4,1,0,53,d8w1m5j3jbd1eva8524dv4a20,0,75.4,85.6,2025-05-25T17:16:47.284Z,2025-05-25T17:16:56Z,6yj33ghw3e2x8lv9mtvqyg7x0,S. Diarra,,,5750747619,233,18,5750747537,13,,5750747541,56,Left,5750747545,286,,5750747543,152,,5750747539,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819010221,19,1,1,1,7,6oxoag5c6zbnn09wx08vz4iak,1,26.8,14.7,2025-05-25T17:17:01.707Z,2025-05-25T17:17:03Z,adthn237lwxewaxsrgd6hlu51,T. Pedersen,,,5750748435,189,,5750748417,213,1.46,5750748411,140,31.9,5750748409,56,Back,5750748375,5,,5750748379,196,,5750748415,212,49.1,5750748419,1,,5750748407,152,5750748413,141,86.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819010329,20,1,1,1,11,6oxoag5c6zbnn09wx08vz4iak,1,34.9,81.7,2025-05-25T17:17:05.898Z,2025-05-25T17:17:11Z,1n9924y1nahaf0if575wgwonp,J. Soltvedt,,,5750748989,140,35.6,5750748993,212,8.4,5750748987,56,Back,5750748991,141,69.4,5750748995,213,4.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819010383,21,1,1,1,16,6oxoag5c6zbnn09wx08vz4iak,1,43.1,64.0,2025-05-25T17:17:10.849Z,2025-05-25T17:17:15Z,gbeebtmqq3qerrs4u7ikq0ru,E. Kornvig,,,5750749331,56,Right,5750749337,212,34.7,5750749341,1,,5750749333,140,56.2,5750749339,213,5.12,5750749335,141,17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819010393,22,1,1,1,21,6oxoag5c6zbnn09wx08vz4iak,1,57.2,17.7,2025-05-25T17:17:15.506Z,2025-05-25T17:17:17Z,adthn237lwxewaxsrgd6hlu51,T. Pedersen,,,5750749387,141,34.2,5750749391,212,19.9,5750749377,56,Back,5750749383,140,41.6,5750749395,213,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819010433,23,1,1,1,22,6oxoag5c6zbnn09wx08vz4iak,1,43.3,34.0,2025-05-25T17:17:16.834Z,2025-05-25T17:17:19Z,ahe00hzfpxhe742i5db3mpe6s,E. Helland,,,5750749647,56,Back,5750749653,212,26.3,5750749649,140,41.1,5750749651,141,72.6,5750749655,213,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819010489,24,1,1,1,25,6oxoag5c6zbnn09wx08vz4iak,1,42.8,74.7,2025-05-25T17:17:19.537Z,2025-05-25T17:17:23Z,9se6a4pxhy13alu316ttx2vhl,J. Sery Larsen,,,5750749923,56,Left,5750749931,213,0.76,5750749927,141,90.6,5750749929,212,15.7,5750749925,140,53.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819010501,25,1,1,1,28,6oxoag5c6zbnn09wx08vz4iak,0,54.5,87.4,2025-05-25T17:17:22.810Z,2025-05-25T17:17:23Z,1n9924y1nahaf0if575wgwonp,J. Soltvedt,,,5750749991,155,,5750750001,213,5.82,5750749993,56,Center,5750749997,141,73.2,5750749995,140,72.7,5750749999,212,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819010543,20,1,1,1,30,d8w1m5j3jbd1eva8524dv4a20,0,23.5,26.1,2025-05-25T17:17:24.895Z,2025-05-25T17:17:26Z,e20bu4y05cuuxz7zx3hl0erdg,M. Dia,,,5750750267,56,Back,5750750277,1,,5750750271,141,0.0,5750750265,157,,5750750269,140,32.4,5750750275,213,5.17,5750750273,212,21.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819010551,21,5,1,1,32,d8w1m5j3jbd1eva8524dv4a20,0,35.8,-2.0,2025-05-25T17:17:26.190Z,2025-05-25T19:21:07Z,e20bu4y05cuuxz7zx3hl0erdg,M. Dia,,,5750750325,56,Back,5750750327,347,,5750751535,233,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819010759,26,5,1,1,32,6oxoag5c6zbnn09wx08vz4iak,1,64.2,102.0,2025-05-25T17:17:26.190Z,2025-05-25T19:21:07Z,1n9924y1nahaf0if575wgwonp,J. Soltvedt,,,5750751523,233,21,5750751491,56,Left,5750751493,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819010829,27,1,1,1,46,6oxoag5c6zbnn09wx08vz4iak,1,58.1,100.0,2025-05-25T17:17:40.321Z,2025-05-25T17:17:45Z,1n9924y1nahaf0if575wgwonp,J. Soltvedt,,,5750751923,140,69.0,5750751925,141,63.0,5750751929,213,5.13,5750751931,1,,5750751921,56,Center,5750751919,107,,5750751927,212,28.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819010875,28,1,1,1,51,6oxoag5c6zbnn09wx08vz4iak,1,71.3,81.1,2025-05-25T17:17:45.225Z,2025-05-25T17:17:48Z,195m3d6cnwm71j1d2rjo25sdl,F. Myhre,,,5750752173,56,Left,5750752181,213,2.21,5750752179,212,11.0,5750752175,140,65.1,5750752177,141,94.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819010883,29,1,1,1,53,6oxoag5c6zbnn09wx08vz4iak,1,66.8,91.5,2025-05-25T17:17:47.897Z,2025-05-25T17:17:49Z,1n9924y1nahaf0if575wgwonp,J. Soltvedt,,,5750752213,140,64.0,5750752215,141,78.5,5750752219,213,4.39,5750752211,56,Center,5750752217,212,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819010899,30,1,1,1,55,6oxoag5c6zbnn09wx08vz4iak,1,65.1,76.7,2025-05-25T17:17:49.457Z,2025-05-25T18:10:48Z,3m2o0t6siupip9y3sco71fe5m,E. Guðmundsson,,,5750752303,140,63.8,5750752317,213,1.75,5750752299,56,Left,5750752313,212,7.8,5750752307,141,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819010909,31,1,1,1,56,6oxoag5c6zbnn09wx08vz4iak,1,63.7,83.2,2025-05-25T17:17:50.666Z,2025-05-25T18:11:12Z,1n9924y1nahaf0if575wgwonp,J. Soltvedt,,,5750752395,213,6.27,5750752393,212,20.3,5750752389,140,83.0,5750752387,56,Left,5750752391,141,82.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819010925,32,1,1,1,57,6oxoag5c6zbnn09wx08vz4iak,0,85.1,84.1,2025-05-25T17:17:51.633Z,2025-05-25T18:11:18Z,3m2o0t6siupip9y3sco71fe5m,E. Guðmundsson,,,5750752493,213,3.14,5750752489,141,84.1,5750752485,56,Left,5750752487,140,73.7,5750752491,212,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819010931,33,43,1,1,59,6oxoag5c6zbnn09wx08vz4iak,1,0.0,0.0,2025-05-25T17:17:53.362Z,2025-05-25T18:11:16Z,ce1q0p0ifilrb8wx6rmkcaeol,B. Finne,,,5750976613,144,61,5750752505,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819010973,22,1,1,2,1,d8w1m5j3jbd1eva8524dv4a20,1,29.0,24.7,2025-05-25T17:17:55.072Z,2025-05-25T17:17:56Z,eguth2iido7y17nisod5l6e50,T. Nyhammer,,,5750752717,141,41.9,5750752723,213,1.46,5750752713,140,30.2,5750752721,212,11.8,5750752711,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819010993,24,1,1,2,3,d8w1m5j3jbd1eva8524dv4a20,0,30.1,41.6,2025-05-25T17:17:57.159Z,2025-05-25T17:17:59Z,1s3v8iujq9j1qbhccuun62jft,J. Eskesen,,,5750752821,213,6.20,5750752813,56,Back,5750752883,286,,5750752879,233,34,5750752817,141,41.0,5750752877,236,,5750752819,212,4.8,5750752815,140,34.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
