id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2798843305,5,4,1,0,11,bsykw9d70ffqe9atosc92n1e9,1,28.2,82.2,2025-04-10T17:01:01.809Z,2025-04-10T17:01:15Z,3h8jot3v5xxuwzukt6n15jwlx,J. Bell,,,5639489249,152,,5639489245,13,,5639489255,233,7,5639489251,265,,5639489253,285,,5639489247,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798843299,7,4,1,0,11,uqspd1bx7f6mq8ohj50u1k1k,0,71.8,17.8,2025-04-10T17:01:01.810Z,2025-04-10T17:01:40Z,8jn4wq3d1ro8f89lttw4b9rzd,A. Ndour,,,5639489237,265,,5639489231,13,,5639489235,152,,5639489239,286,,5639489351,233,5,5639489233,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798843327,6,1,1,0,15,bsykw9d70ffqe9atosc92n1e9,1,34.4,73.8,2025-04-10T17:01:05.932Z,2025-04-10T17:01:10Z,3h8jot3v5xxuwzukt6n15jwlx,J. Bell,,,5639489383,56,Back,5639489391,213,3.80,5639489389,212,8.4,5639489379,5,,5639489385,140,28.1,5639489387,141,66.3,5639489381,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798843345,7,1,1,0,16,bsykw9d70ffqe9atosc92n1e9,1,26.9,65.7,2025-04-10T17:01:06.780Z,2025-04-10T17:01:16Z,b2isr7ljn9jmt19iiweudegyy,H. Falchener,,,5639489523,141,42.2,5639489519,56,Back,5639489527,213,4.86,5639489525,212,16.1,5639489521,140,29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798843347,8,1,1,0,19,bsykw9d70ffqe9atosc92n1e9,1,29.7,33.3,2025-04-10T17:01:09.629Z,2025-04-10T17:01:16Z,rqzgkxjy310eosvc4w7red49,A. Bærtelsen,,,5639489541,140,28.4,5639489539,56,Back,5639489545,212,10.4,5639489547,213,1.70,5639489543,141,48.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798843349,9,1,1,0,21,bsykw9d70ffqe9atosc92n1e9,1,26.8,56.3,2025-04-10T17:01:11.980Z,2025-04-10T17:01:16Z,b2isr7ljn9jmt19iiweudegyy,H. Falchener,,,5639489559,213,1.33,5639489553,140,29.6,5639489551,56,Back,5639489555,141,73.6,5639489557,212,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798843353,10,1,1,0,24,bsykw9d70ffqe9atosc92n1e9,1,28.0,84.7,2025-04-10T17:01:14.348Z,2025-04-10T17:01:17Z,18paxu0ihqdu4kbd2ddi5z1t5,M. Roseth,,,5639489583,212,15.9,5639489585,213,0.10,5639489577,56,Back,5639489581,141,87.1,5639489579,140,43.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798843361,11,1,1,0,27,bsykw9d70ffqe9atosc92n1e9,1,56.1,90.9,2025-04-10T17:01:17.637Z,2025-04-10T17:01:20Z,60xm53o64nszavcsgfu5xzjyt,S. Svendsen,,,5639489673,140,56.7,5639489679,213,4.82,5639489675,141,82.3,5639489677,212,5.9,5639489671,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798843385,12,1,1,0,30,bsykw9d70ffqe9atosc92n1e9,1,56.9,79.1,2025-04-10T17:01:20.220Z,2025-04-10T17:01:24Z,bnjysriuqd4qe0fmh2ld8yk2c,E. Austbø,,,5639489811,212,27.9,5639489805,56,Center,5639489807,140,60.0,5639489813,213,4.83,5639489809,141,38.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798843393,13,1,1,0,33,bsykw9d70ffqe9atosc92n1e9,1,63.0,21.2,2025-04-10T17:01:23.980Z,2025-04-10T17:01:26Z,bjqtzq0xcvtmbn54orj7rn5xx,Z. Tripić,,,5639489845,56,Center,5639489843,155,,5639489849,141,56.3,5639489847,140,77.3,5639489853,213,1.01,5639489851,212,28.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798843401,14,61,1,0,35,bsykw9d70ffqe9atosc92n1e9,0,80.5,62.3,2025-04-10T17:01:26.068Z,2025-04-10T17:01:26Z,djxtqxvqxd70prbr1gkwjp3sa,P. Christiansen,,,5639489883,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798843425,8,12,1,0,36,uqspd1bx7f6mq8ohj50u1k1k,1,12.2,30.6,2025-04-10T17:01:27.026Z,2025-04-10T17:01:30Z,4zypjoj5r2y9fqpqxn8cd7o16,I. Hoffmann,,,5639490025,167,,5639489999,56,Back,5639490007,213,5.75,5639490001,140,47.8,5639490005,212,43.5,5639490003,141,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798843429,9,5,1,0,39,uqspd1bx7f6mq8ohj50u1k1k,0,46.0,-2.0,2025-04-10T17:01:30.070Z,2025-04-10T19:39:05Z,4zypjoj5r2y9fqpqxn8cd7o16,I. Hoffmann,,,5639490021,56,Back,5639490023,347,,5639490405,233,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798843491,15,5,1,0,39,bsykw9d70ffqe9atosc92n1e9,1,54.0,102.0,2025-04-10T17:01:30.070Z,2025-04-10T19:39:05Z,djxtqxvqxd70prbr1gkwjp3sa,P. Christiansen,,,5639490387,233,9,5639490371,347,,5639490369,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798843505,16,1,1,0,53,bsykw9d70ffqe9atosc92n1e9,1,53.4,100.0,2025-04-10T17:01:43.964Z,2025-04-10T17:01:46Z,18paxu0ihqdu4kbd2ddi5z1t5,M. Roseth,,,5639490451,212,12.4,5639490455,213,3.77,5639490447,141,90.6,5639490443,56,Back,5639490441,107,,5639490445,140,43.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798843529,17,1,1,0,56,bsykw9d70ffqe9atosc92n1e9,1,40.5,87.8,2025-04-10T17:01:46.780Z,2025-04-10T17:01:50Z,bnjysriuqd4qe0fmh2ld8yk2c,E. Austbø,,,5639490563,56,Back,5639490569,212,11.0,5639490567,141,71.7,5639490565,140,39.3,5639490571,213,4.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798843537,18,1,1,0,59,bsykw9d70ffqe9atosc92n1e9,1,39.0,51.2,2025-04-10T17:01:50.076Z,2025-04-10T17:01:52Z,rqzgkxjy310eosvc4w7red49,A. Bærtelsen,,,5639490617,141,19.2,5639490621,213,4.96,5639490615,140,44.3,5639490619,212,22.5,5639490613,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798843547,19,1,1,1,2,bsykw9d70ffqe9atosc92n1e9,1,45.6,18.2,2025-04-10T17:01:52.149Z,2025-04-10T17:01:54Z,cqwjwlsum5q92s2k80w3temi2,H. Heggheim,,,5639490679,212,18.5,5639490673,56,Right,5639490681,213,6.07,5639490675,140,62.8,5639490677,141,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798843561,20,1,1,1,3,bsykw9d70ffqe9atosc92n1e9,0,65.1,11.6,2025-04-10T17:01:53.980Z,2025-04-10T17:01:56Z,bjqtzq0xcvtmbn54orj7rn5xx,Z. Tripić,,,5639490753,212,3.7,5639490747,56,Right,5639490751,141,14.4,5639490749,140,68.1,5639490755,213,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798843577,10,8,1,1,8,uqspd1bx7f6mq8ohj50u1k1k,1,31.5,80.0,2025-04-10T17:01:58.682Z,2025-04-10T17:01:58Z,7fsqcwqftmk6lms6f6u8lpdlg,S. Kilen,,,5639490831,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798843593,12,1,1,1,10,uqspd1bx7f6mq8ohj50u1k1k,1,20.5,75.6,2025-04-10T17:02:00.179Z,2025-04-10T17:02:01Z,3sfh0fq729hxtea9rzfke9979,D. Ulvestad,,,5639490899,140,27.0,5639490905,213,0.97,5639490901,141,90.3,5639490903,212,12.1,5639490897,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798843599,13,1,1,1,11,uqspd1bx7f6mq8ohj50u1k1k,1,27.0,90.3,2025-04-10T17:02:01.330Z,2025-04-10T17:02:02Z,6hzeyz7yomlqkb0aukl4ms6j8,M. Rakneberg,,,5639490933,213,4.06,5639490929,141,79.4,5639490927,140,21.6,5639490931,212,9.3,5639490925,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798843603,14,1,1,1,12,uqspd1bx7f6mq8ohj50u1k1k,0,21.6,79.4,2025-04-10T17:02:02.339Z,2025-04-10T17:02:03Z,3sfh0fq729hxtea9rzfke9979,D. Ulvestad,,,5639490957,56,Center,5639490967,1,,5639490955,155,,5639490963,212,35.0,5639490961,141,76.7,5639490959,140,54.9,5639490965,213,6.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798843611,21,8,1,1,14,bsykw9d70ffqe9atosc92n1e9,1,33.8,33.9,2025-04-10T17:02:04.589Z,2025-04-10T17:02:04Z,b2isr7ljn9jmt19iiweudegyy,H. Falchener,,,5639490985,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798843621,15,1,1,1,15,uqspd1bx7f6mq8ohj50u1k1k,1,34.3,71.8,2025-04-10T17:02:05.562Z,2025-04-10T17:02:07Z,15823p8n34f7coivq6wq687is,W. Igor,,,5639491061,140,43.3,5639491059,56,Back,5639491067,213,5.84,5639491065,212,10.5,5639491063,141,65.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798843645,16,2,1,1,17,uqspd1bx7f6mq8ohj50u1k1k,1,43.3,65.2,2025-04-10T17:02:07.778Z,2025-04-10T17:02:13Z,bqcjd0macjc7hmtz7zx34ym6t,R. Çorlu,,,5639491209,141,63.7,5639491241,56,Center,5639491239,7,8jn4wq3d1ro8f89lttw4b9rzd,5639491207,140,69.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798843671,23,1,1,1,25,bsykw9d70ffqe9atosc92n1e9,1,31.5,40.6,2025-04-10T17:02:15.284Z,2025-04-10T17:14:04Z,3h8jot3v5xxuwzukt6n15jwlx,J. Bell,,,5639491343,56,Back,5639491349,212,8.1,5639491345,140,31.0,5639491339,5,,5639491341,152,,5639491351,213,1.64,5639491373,189,,5639491347,141,52.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798843699,24,1,1,1,27,bsykw9d70ffqe9atosc92n1e9,1,31.0,57.8,2025-04-10T17:02:17.293Z,2025-04-10T17:02:21Z,18paxu0ihqdu4kbd2ddi5z1t5,M. Roseth,,,5639491509,141,80.2,5639491513,213,1.20,5639491511,212,16.4,5639491505,56,Back,5639491507,140,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798843755,25,1,1,1,30,bsykw9d70ffqe9atosc92n1e9,1,46.5,89.1,2025-04-10T17:02:20.852Z,2025-04-10T17:02:30Z,bnjysriuqd4qe0fmh2ld8yk2c,E. Austbø,,,5639491855,56,Center,5639491863,213,5.66,5639491853,155,,5639491861,212,34.2,5639491859,141,59.7,5639491865,1,,5639491857,140,72.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798843761,26,50,1,1,40,bsykw9d70ffqe9atosc92n1e9,1,90.3,71.8,2025-04-10T17:02:30.380Z,2025-04-10T19:33:23Z,djxtqxvqxd70prbr1gkwjp3sa,P. Christiansen,,,5639491887,56,Center,5639491969,286,,5639492591,233,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798843773,17,7,1,1,40,uqspd1bx7f6mq8ohj50u1k1k,1,9.7,28.2,2025-04-10T17:02:30.381Z,2025-04-10T19:33:22Z,2vkztwfo5zi3rbsnlmwsgfjvu,M. Olsen,,,5639491959,56,Back,5639492587,233,26,5639491961,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798843779,18,6,1,1,43,uqspd1bx7f6mq8ohj50u1k1k,0,9.8,30.0,2025-04-10T17:02:33.554Z,2025-04-10T17:02:41Z,2vkztwfo5zi3rbsnlmwsgfjvu,M. Olsen,,,5639491975,56,Back,5639491977,73,,5639492091,233,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798843787,27,6,1,1,43,bsykw9d70ffqe9atosc92n1e9,1,90.2,70.0,2025-04-10T17:02:33.554Z,2025-04-10T19:33:07Z,djxtqxvqxd70prbr1gkwjp3sa,P. Christiansen,,,5639492085,233,18,5639492081,73,,5639492079,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798843905,28,1,1,2,4,bsykw9d70ffqe9atosc92n1e9,1,99.5,99.5,2025-04-10T17:02:54.308Z,2025-04-10T17:02:58Z,bjqtzq0xcvtmbn54orj7rn5xx,Z. Tripić,,,5639492807,140,79.1,5639492813,213,3.84,5639492809,141,72.9,5639492803,6,,5639492805,56,Center,5639492811,212,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798843907,29,1,1,2,5,bsykw9d70ffqe9atosc92n1e9,1,78.8,73.0,2025-04-10T17:02:55.236Z,2025-04-10T17:02:56Z,bnjysriuqd4qe0fmh2ld8yk2c,E. Austbø,,,5639492831,212,7.8,5639492825,56,Left,5639492827,140,83.1,5639492833,213,0.96,5639492829,141,82.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798843925,30,1,1,2,6,bsykw9d70ffqe9atosc92n1e9,1,90.0,89.9,2025-04-10T17:02:56.571Z,2025-04-10T17:03:09Z,bjqtzq0xcvtmbn54orj7rn5xx,Z. Tripić,1.0,,5639493405,210,13,5639492899,155,,5639492907,212,27.7,5639492909,213,4.52,5639492897,2,,5639492903,140,84.9,5639493407,154,,5639492901,56,Center,5639492905,141,49.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798843963,31,13,1,2,11,bsykw9d70ffqe9atosc92n1e9,1,92.9,38.9,2025-04-10T17:03:01.284Z,2025-04-10T20:03:49Z,b2isr7ljn9jmt19iiweudegyy,H. Falchener,,,5639493423,230,98.6,5639493125,56,Center,5639756323,15,,5639493413,154,,5639493409,75,,5639493293,25,,5639493123,17,,5639756325,328,,5639493421,103,26.4,5639493425,231,50,5639493419,102,38.0,5639493415,55,30,5639493411,29,,,,,,,,,,,,,,,,,,
2798844301,19,5,1,2,12,uqspd1bx7f6mq8ohj50u1k1k,1,-1.4,61.7,2025-04-10T17:03:02.234Z,2025-04-10T19:39:05Z,2vkztwfo5zi3rbsnlmwsgfjvu,M. Olsen,,,5639494913,56,Back,5639494915,346,,5639494921,233,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798843993,32,5,1,2,12,bsykw9d70ffqe9atosc92n1e9,0,101.4,38.3,2025-04-10T17:03:02.234Z,2025-04-10T19:39:06Z,b2isr7ljn9jmt19iiweudegyy,H. Falchener,,,5639494933,233,19,5639493281,346,,5639493279,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798844335,20,1,1,3,3,uqspd1bx7f6mq8ohj50u1k1k,0,4.2,50.0,2025-04-10T17:03:53.826Z,2025-04-10T17:07:23Z,8u1ii0vmhpub1p2gbsk1w7yzt,M. Lansing,,,5639495099,56,Center,5639495107,213,6.11,5639495101,140,56.8,5639495105,212,56.1,5639495109,1,,5639495113,74,,5639495097,124,,5639495103,141,35.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798844329,33,44,1,3,4,bsykw9d70ffqe9atosc92n1e9,1,36.1,57.8,2025-04-10T17:03:54.988Z,2025-04-10T20:03:52Z,5cjx2i2perp5vr62en4cyer1m,K. Askildsen,,,5639495073,285,,5639495071,56,Back,5639533857,233,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798844341,21,44,1,3,4,uqspd1bx7f6mq8ohj50u1k1k,0,63.9,42.2,2025-04-10T17:03:54.989Z,2025-04-10T18:02:16Z,7fsqcwqftmk6lms6f6u8lpdlg,S. Kilen,,,5639495147,286,,5639495145,56,Center,5639510535,233,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798844331,34,1,1,3,5,bsykw9d70ffqe9atosc92n1e9,1,35.4,55.5,2025-04-10T17:03:55.275Z,2025-04-10T19:31:26Z,5cjx2i2perp5vr62en4cyer1m,K. Askildsen,,,5639495083,213,1.63,5639495077,140,35.3,5639495081,212,1.8,5639495079,141,58.2,5639495075,56,Back,5639532235,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798844345,35,44,1,3,9,bsykw9d70ffqe9atosc92n1e9,1,40.2,65.4,2025-04-10T17:03:59.673Z,2025-04-10T20:03:50Z,5cjx2i2perp5vr62en4cyer1m,K. Askildsen,,,5639495151,56,Back,5639533117,233,22,5639495153,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798844351,22,44,1,3,9,uqspd1bx7f6mq8ohj50u1k1k,0,59.8,34.6,2025-04-10T17:03:59.674Z,2025-04-10T17:18:44Z,8qmrc7p7k4bod8ojxl5ib6ot0,D. Tufekčić,,,5639533169,233,35,5639495199,56,Center,5639495201,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798851553,195,61,1,3,9,bsykw9d70ffqe9atosc92n1e9,1,29.9,55.8,2025-04-10T17:03:59.816Z,2025-04-10T19:31:32Z,5cjx2i2perp5vr62en4cyer1m,K. Askildsen,,,5639538241,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798844353,23,61,1,3,11,uqspd1bx7f6mq8ohj50u1k1k,1,56.4,32.5,2025-04-10T17:04:01.309Z,2025-04-10T17:12:59Z,bqcjd0macjc7hmtz7zx34ym6t,R. Çorlu,,,5639518849,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
