id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/8/value,qualifier/11/value,qualifier/12/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2818249199,334,1,1,0,12,e5txudmuc2qpc460bs4lb5aff,0,28.0,88.0,2025-05-24T14:01:12.574Z,2025-05-24T14:50:37Z,bww0h67l7g6o9syrkp12s7pih,P. Metcalfe,,,5746521713,3,,5746521715,168,,5746521721,141,87.7,5746521725,213,6.25,5746521723,212,6.0,5746521719,140,33.7,5746521717,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818249575,472,1,1,0,13,eujf9nqky8c5jnahb2f76m86o,1,63.4,12.9,2025-05-24T14:01:13.574Z,2025-05-24T14:51:14Z,7adevxj1o3gpqpmrv3f72v3oq,Duarte Moreira,,,5746523729,141,21.0,5746523727,140,73.4,5746523733,213,0.48,5746523723,3,,5746523725,56,Right,5746523731,212,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818205081,7,1,1,0,16,eujf9nqky8c5jnahb2f76m86o,1,79.8,19.6,2025-05-24T14:01:17.093Z,2025-05-24T14:51:20Z,6yyum3rgz21z8aln67irm508a,S. Bojadzic,,,5746279297,213,1.31,5746279295,212,7.8,5746279293,141,30.7,5746279289,56,Center,5746279291,140,81.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818205219,8,1,1,0,17,eujf9nqky8c5jnahb2f76m86o,1,81.7,30.7,2025-05-24T14:01:18.117Z,2025-05-24T14:02:15Z,egd6w206242dh7aowfzmwyane,A. Scriven,1.0,,5746281573,22,,5746281569,210,16,5746281571,154,,5746279989,140,92.3,5746279987,56,Center,5746279995,213,0.50,5746279993,212,12.7,5746279991,141,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818205225,9,16,1,0,20,eujf9nqky8c5jnahb2f76m86o,1,92.1,41.6,2025-05-24T14:01:20.997Z,2025-05-24T14:02:16Z,7adevxj1o3gpqpmrv3f72v3oq,Duarte Moreira,,,5746281629,231,44.2,5746280521,375,00:19.819,5746281615,55,8,5746281613,154,,5746281611,29,,5746281627,230,95.2,5746280513,20,,5746280019,22,,5746281609,80,5746281619,102,47.2,5746280517,374,2025-05-24 15:01:20.393,5746281625,89,5746281623,214,5746281621,103,5.7,5746280025,56,Center,5746280023,17,,,,,,,,,,
2818205511,5,1,1,1,15,e5txudmuc2qpc460bs4lb5aff,1,49.7,50.0,2025-05-24T14:02:15.646Z,2025-05-24T14:02:27Z,7j35sfip0xb51mpa91wzikrh0,O. Øhlenschlæger,,,5746282147,189,,5746281703,279,G,5746281693,56,Back,5746281695,140,36.7,5746281701,213,2.50,5746281697,141,64.9,5746281699,212,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818205531,6,1,1,1,16,e5txudmuc2qpc460bs4lb5aff,0,36.2,67.5,2025-05-24T14:02:17.117Z,2025-05-24T14:02:25Z,4s8lwbyh90phbponlzsdlj0iy,B. Skaret,,,5746281793,157,,5746281795,56,Center,5746282071,189,,5746281801,212,59.3,5746281799,141,59.9,5746281805,1,,5746281803,213,6.20,5746281797,140,92.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818205621,11,1,1,1,23,eujf9nqky8c5jnahb2f76m86o,0,12.4,48.0,2025-05-24T14:02:24.245Z,2025-05-24T14:02:29Z,dk56pv43y8zo39ft9xtwyapnu,J. de Boer,,,5746282297,213,0.33,5746282299,1,,5746282289,56,Center,5746282287,199,,5746282293,141,77.3,5746282295,212,62.2,5746282291,140,68.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818205651,7,1,1,1,29,e5txudmuc2qpc460bs4lb5aff,1,41.2,23.7,2025-05-24T14:02:29.837Z,2025-05-24T14:02:32Z,16yy0mbn7y1vztd870gybmane,M. Woledzi,,,5746282477,3,,5746282479,56,Back,5746282487,213,0.78,5746282481,140,46.2,5746282483,141,31.3,5746282485,212,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818205663,9,1,1,1,31,e5txudmuc2qpc460bs4lb5aff,1,46.0,31.9,2025-05-24T14:02:32.381Z,2025-05-24T14:02:33Z,7j35sfip0xb51mpa91wzikrh0,O. Øhlenschlæger,,,5746282531,140,39.9,5746282529,56,Back,5746282537,213,2.15,5746282533,141,46.4,5746282535,212,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818205671,10,1,1,1,32,e5txudmuc2qpc460bs4lb5aff,0,39.9,46.4,2025-05-24T14:02:33.197Z,2025-05-24T14:02:33Z,bhkecr2u6neb933eo468i82ui,L. Owusu,,,5746282577,213,6.08,5746282579,1,,5746282567,157,,5746282575,212,27.7,5746282573,141,38.0,5746282569,56,Center,5746282571,140,65.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818205673,12,8,1,1,33,eujf9nqky8c5jnahb2f76m86o,1,37.2,74.8,2025-05-24T14:02:33.781Z,2025-05-24T14:51:39Z,c2pyie18ewq33hdvoaljwkbca,J. Husebø,,,5746282589,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818205707,14,1,1,1,35,eujf9nqky8c5jnahb2f76m86o,1,51.3,86.2,2025-05-24T14:02:35.990Z,2025-05-24T14:02:38Z,egd6w206242dh7aowfzmwyane,A. Scriven,,,5746282839,140,39.0,5746282837,56,Back,5746282841,141,97.0,5746282845,213,2.62,5746282843,212,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818205721,15,1,1,1,37,eujf9nqky8c5jnahb2f76m86o,0,39.0,97.0,2025-05-24T14:02:38.549Z,2025-05-24T14:02:39Z,95wuw8954h8drdxpx3f2wvuvo,L. Qvigstad,,,5746282927,56,Back,5746282947,233,11,5746282929,140,42.7,5746282935,213,6.09,5746282933,212,4.0,5746282945,236,,5746282931,141,95.9,5746282951,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818205715,11,74,1,1,37,e5txudmuc2qpc460bs4lb5aff,1,64.1,5.9,2025-05-24T14:02:38.550Z,2025-05-24T14:02:40Z,7j35sfip0xb51mpa91wzikrh0,O. Øhlenschlæger,,,5746282959,233,15,5746282891,285,,5746282889,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818205731,12,5,1,1,39,e5txudmuc2qpc460bs4lb5aff,0,62.8,-1.7,2025-05-24T14:02:39.613Z,2025-05-24T14:10:59Z,7j35sfip0xb51mpa91wzikrh0,O. Øhlenschlæger,,,5746282995,56,Right,5746282997,347,,5746283875,233,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818205885,16,5,1,1,39,eujf9nqky8c5jnahb2f76m86o,1,37.2,101.7,2025-05-24T14:02:39.613Z,2025-05-24T14:10:59Z,95wuw8954h8drdxpx3f2wvuvo,L. Qvigstad,,,5746283823,347,,5746283839,233,12,5746283819,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818205945,17,1,1,1,57,eujf9nqky8c5jnahb2f76m86o,1,45.5,100.0,2025-05-24T14:02:57.797Z,2025-05-24T14:03:01Z,95wuw8954h8drdxpx3f2wvuvo,L. Qvigstad,,,5746284121,56,Left,5746284131,1,,5746284125,141,94.0,5746284123,140,67.7,5746284119,107,,5746284129,213,6.08,5746284127,212,23.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818205949,18,61,1,2,1,eujf9nqky8c5jnahb2f76m86o,0,67.7,94.0,2025-05-24T14:03:01.829Z,2025-05-24T14:03:02Z,6yyum3rgz21z8aln67irm508a,S. Bojadzic,,,5746284149,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818206067,13,5,1,2,1,e5txudmuc2qpc460bs4lb5aff,1,29.6,-1.3,2025-05-24T14:03:02.157Z,2025-05-24T14:11:00Z,16yy0mbn7y1vztd870gybmane,M. Woledzi,,,5746284775,233,19,5746284767,56,Back,5746284769,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818205957,19,5,1,2,1,eujf9nqky8c5jnahb2f76m86o,0,70.4,101.3,2025-05-24T14:03:02.157Z,2025-05-24T14:11:00Z,6yyum3rgz21z8aln67irm508a,S. Bojadzic,,,5746284185,56,Left,5746284187,347,,5746284829,233,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818206103,14,1,1,2,10,e5txudmuc2qpc460bs4lb5aff,0,35.2,0.0,2025-05-24T14:03:11.484Z,2025-05-24T14:03:14Z,dlxtfrt1ioz51rwnizwz5657t,D. Eid,,,5746285007,212,39.1,5746285009,213,0.13,5746284993,107,,5746285011,1,,5746285001,140,72.1,5746285005,141,6.2,5746284997,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818206125,15,1,1,2,15,e5txudmuc2qpc460bs4lb5aff,0,64.0,21.5,2025-05-24T14:03:15.708Z,2025-05-24T14:03:16Z,7j35sfip0xb51mpa91wzikrh0,O. Øhlenschlæger,,,5746285121,56,Center,5746285129,213,1.19,5746285127,212,8.8,5746285123,140,67.1,5746285125,141,33.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818206129,20,1,1,2,15,eujf9nqky8c5jnahb2f76m86o,0,25.7,89.2,2025-05-24T14:03:15.941Z,2025-05-24T14:52:10Z,c2pyie18ewq33hdvoaljwkbca,J. Husebø,,,5746285153,213,5.98,5746285147,140,32.9,5746285145,56,Back,5746285143,3,,5746285151,212,7.9,5746285149,141,85.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818206185,22,1,1,2,18,eujf9nqky8c5jnahb2f76m86o,1,32.6,74.2,2025-05-24T14:03:19.077Z,2025-05-24T14:03:21Z,172cxj9mocjk4cor42kjka3mx,E. Saunes,,,5746285429,1,,5746285427,213,3.69,5746285419,56,Back,5746285421,140,4.8,5746285423,141,48.2,5746285425,212,34.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818206257,23,1,1,2,20,eujf9nqky8c5jnahb2f76m86o,0,3.9,46.5,2025-05-24T14:03:21.124Z,2025-05-24T14:03:27Z,dk56pv43y8zo39ft9xtwyapnu,J. de Boer,,,5746285869,212,50.8,5746285873,213,5.82,5746285857,56,Back,5746285877,1,,5746285855,157,,5746285865,141,13.2,5746285861,140,47.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818206239,16,44,1,2,24,e5txudmuc2qpc460bs4lb5aff,1,52.9,86.5,2025-05-24T14:03:24.604Z,2025-05-24T14:51:23Z,4s8lwbyh90phbponlzsdlj0iy,B. Skaret,,,5746285737,56,Left,5746285739,286,,5746285967,233,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818206273,24,44,1,2,24,eujf9nqky8c5jnahb2f76m86o,0,47.1,13.5,2025-05-24T14:03:24.605Z,2025-05-24T14:52:35Z,4z3w46k9n0yocg319dcewwz8q,L. Sødal,,,5746285941,285,,5746285939,56,Back,5746286001,233,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818206261,17,1,1,2,24,e5txudmuc2qpc460bs4lb5aff,1,53.1,85.6,2025-05-24T14:03:25.116Z,2025-05-24T14:51:26Z,4s8lwbyh90phbponlzsdlj0iy,B. Skaret,,,5746285893,212,16.9,5746285895,213,6.24,5746285885,3,,5746285891,141,84.5,5746285887,56,Left,5746285889,140,69.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818206291,18,1,1,2,26,e5txudmuc2qpc460bs4lb5aff,1,69.2,84.5,2025-05-24T14:03:27.037Z,2025-05-24T14:03:29Z,8rnri2daeaqt5h1hl9ftt6l0p,S. Sørløkk,,,5746286045,212,9.3,5746286047,213,2.68,5746286043,141,90.6,5746286041,140,61.3,5746286039,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818206299,19,1,1,2,27,e5txudmuc2qpc460bs4lb5aff,0,62.7,90.8,2025-05-24T14:03:28.572Z,2025-05-24T14:51:36Z,ci3c5x4u4g1n4y9p63av1txx,S. Molde,,,5746286089,213,6.07,5746286087,212,8.6,5746286083,140,70.7,5746286085,141,88.1,5746286081,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818206317,25,1,1,2,28,eujf9nqky8c5jnahb2f76m86o,0,27.5,13.5,2025-05-24T14:03:29.381Z,2025-05-24T14:52:44Z,7yjqvzpcyyil0g7jne4hv7svd,A. Kryger,,,5746286169,56,Right,5746286173,141,16.3,5746286175,212,30.2,5746286167,157,,5746286171,140,56.2,5746286179,1,,5746286177,213,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818206339,20,1,1,2,31,e5txudmuc2qpc460bs4lb5aff,0,41.4,82.6,2025-05-24T14:03:32.124Z,2025-05-24T14:51:49Z,dfp3y0edqm1vg85f6n3b6ut49,U. Fredriksen,,,5746286309,212,18.7,5746286307,141,80.6,5746286303,56,Left,5746286305,140,59.2,5746286299,3,,5746286311,213,6.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818206351,26,44,1,2,33,eujf9nqky8c5jnahb2f76m86o,1,38.4,19.2,2025-05-24T14:03:33.813Z,2025-05-24T15:00:29Z,4z3w46k9n0yocg319dcewwz8q,L. Sødal,,,5746286499,233,21,5746286365,56,Back,5746286367,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818206373,21,44,1,2,33,e5txudmuc2qpc460bs4lb5aff,0,61.6,80.8,2025-05-24T14:03:33.814Z,2025-05-24T15:00:29Z,bww0h67l7g6o9syrkp12s7pih,P. Metcalfe,,,5746286507,233,26,5746286463,286,,5746286459,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818206365,27,1,1,2,33,eujf9nqky8c5jnahb2f76m86o,1,34.8,19.9,2025-05-24T14:03:34.293Z,2025-05-24T14:03:35Z,4z3w46k9n0yocg319dcewwz8q,L. Sødal,,,5746286427,141,32.1,5746286429,212,9.3,5746286421,3,,5746286425,140,38.9,5746286431,213,1.09,5746286423,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818206393,28,1,1,2,34,eujf9nqky8c5jnahb2f76m86o,1,38.9,32.1,2025-05-24T14:03:34.996Z,2025-05-24T14:03:36Z,auv81snxkpk2ybxzi8giy5azt,N. Strunck,,,5746286561,56,Center,5746286565,140,56.2,5746286571,213,5.91,5746286569,212,19.5,5746286567,141,21.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818206415,29,1,1,2,36,eujf9nqky8c5jnahb2f76m86o,0,57.1,23.5,2025-05-24T14:03:36.853Z,2025-05-24T14:03:39Z,7adevxj1o3gpqpmrv3f72v3oq,Duarte Moreira,,,5746286679,56,Center,5746286677,155,,5746286687,213,0.10,5746286681,140,78.1,5746286685,212,22.2,5746286683,141,26.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818206475,23,1,1,2,41,e5txudmuc2qpc460bs4lb5aff,1,27.8,90.2,2025-05-24T14:03:42.077Z,2025-05-24T14:03:43Z,dfp3y0edqm1vg85f6n3b6ut49,U. Fredriksen,,,5746286991,213,0.24,5746286989,212,12.1,5746286985,140,39.0,5746286987,141,94.4,5746286983,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818206485,24,1,1,2,43,e5txudmuc2qpc460bs4lb5aff,0,34.2,93.8,2025-05-24T14:03:43.724Z,2025-05-24T14:52:30Z,ci3c5x4u4g1n4y9p63av1txx,S. Molde,,,5746287031,56,Back,5746287037,212,11.4,5746287033,140,43.9,5746287035,141,86.3,5746287039,213,5.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818206511,31,1,1,2,45,eujf9nqky8c5jnahb2f76m86o,0,60.5,2.7,2025-05-24T14:03:46.341Z,2025-05-24T14:03:47Z,4z3w46k9n0yocg319dcewwz8q,L. Sødal,,,5746287187,233,25,5746287161,140,63.3,5746287163,141,3.9,5746287165,212,3.1,5746287191,286,,5746287185,236,,5746287159,56,Right,5746287167,213,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818206509,25,74,1,2,45,e5txudmuc2qpc460bs4lb5aff,1,45.5,96.9,2025-05-24T14:03:46.342Z,2025-05-24T14:03:48Z,bww0h67l7g6o9syrkp12s7pih,P. Metcalfe,,,5746287155,56,Back,5746287229,233,31,5746287157,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818206541,26,5,1,2,47,e5txudmuc2qpc460bs4lb5aff,0,44.8,101.4,2025-05-24T14:03:47.829Z,2025-05-24T14:11:00Z,bww0h67l7g6o9syrkp12s7pih,P. Metcalfe,,,5746287639,233,32,5746287323,347,,5746287321,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818206601,32,5,1,2,47,eujf9nqky8c5jnahb2f76m86o,1,55.2,-1.4,2025-05-24T14:03:47.829Z,2025-05-24T14:11:00Z,4z3w46k9n0yocg319dcewwz8q,L. Sødal,,,5746287601,233,26,5746287597,56,Right,5746287599,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818206687,33,1,1,2,57,eujf9nqky8c5jnahb2f76m86o,1,57.5,0.0,2025-05-24T14:03:57.669Z,2025-05-24T14:04:01Z,8fqnvz74z901a2h0kgk1zezje,L. Görlich,,,5746288109,140,64.6,5746288107,56,Right,5746288111,141,11.0,5746288115,213,0.86,5746288105,107,,5746288113,212,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818206715,34,1,1,3,0,eujf9nqky8c5jnahb2f76m86o,1,64.6,11.0,2025-05-24T14:04:01.141Z,2025-05-24T14:04:03Z,egd6w206242dh7aowfzmwyane,A. Scriven,,,5746288231,213,5.45,5746288227,141,3.5,5746288225,140,69.0,5746288223,56,Right,5746288229,212,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818206723,35,1,1,3,2,eujf9nqky8c5jnahb2f76m86o,1,69.0,3.5,2025-05-24T14:04:03.077Z,2025-05-24T14:04:03Z,172cxj9mocjk4cor42kjka3mx,E. Saunes,,,5746288275,213,3.05,5746288267,141,4.3,5746288259,56,Right,5746288271,212,6.1,5746288261,140,63.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
