id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/8/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/13/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2823857399,5,12,1,0,33,80hgdmpkvdrhw1ge9nks2kxvy,1,9.5,67.8,2025-06-22T15:02:30.245Z,2025-06-22T15:02:35Z,9l89pnte9uhyc8jnads2lintg,T. Guddal,,,5777953177,141,47.3,5777953175,140,11.2,5777953181,213,4.84,5777953173,56,Back,5777953185,15,,5777953179,212,14.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857411,7,1,1,0,39,crlocdyqyb1fdhck54qxs65rl,1,86.2,56.1,2025-06-22T15:02:35.416Z,2025-06-22T15:02:54Z,bb7inex45spf3wj9dqw8sbqi,K. Lien,1.0,,5777953259,3,,5777953513,154,,5777953263,140,93.6,5777953269,213,5.43,5777953261,56,Center,5777953267,212,11.8,5777953511,210,15,5777953265,141,43.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857415,8,44,1,0,40,crlocdyqyb1fdhck54qxs65rl,1,95.6,46.9,2025-06-22T15:02:36.447Z,2025-06-22T15:03:37Z,2gbfwdmpk5gfmcc979aqfkyxh,G. Granath,,,5777953275,56,Center,5777954737,233,8,5777953277,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857457,8,44,1,0,40,80hgdmpkvdrhw1ge9nks2kxvy,0,4.4,53.1,2025-06-22T15:02:36.448Z,2025-06-22T15:05:12Z,bab8s40ltdf9v117umanbcmxg,A. Kinteh,,,5777953573,285,,5777954741,233,8,5777953571,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857421,9,15,1,0,40,crlocdyqyb1fdhck54qxs65rl,1,93.6,43.1,2025-06-22T15:02:36.531Z,2025-06-22T18:12:24Z,2gbfwdmpk5gfmcc979aqfkyxh,G. Granath,,,5777953523,154,,5777953519,80,,5777953531,103,13.9,5777953543,233,6,5777953475,160,,5777953315,56,Center,5777953535,147,50,5777953529,102,45.8,5777953313,17,5777953533,146,98.5,5777953481,328,5777953477,15,5777953525,55,7,5777953521,29,,,,,,,,,,,,,,,,
2823857409,6,10,1,0,40,80hgdmpkvdrhw1ge9nks2kxvy,1,1.8,51.9,2025-06-22T15:02:36.631Z,2025-06-22T16:02:43Z,451kwpccebq3457c7jw8toz4l,J. Haugaard,,,5777953245,182,,5777953551,233,9,5777953293,177,,5777953243,178,,5777953247,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857461,9,1,1,0,58,80hgdmpkvdrhw1ge9nks2kxvy,1,4.6,53.4,2025-06-22T15:02:55.365Z,2025-06-22T15:04:18Z,451kwpccebq3457c7jw8toz4l,J. Haugaard,,,5777953599,212,34.4,5777955735,189,,5777953603,1,,5777955661,123,,5777953595,141,45.7,5777953601,213,6.13,5777953589,56,Back,5777953591,140,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857467,10,1,1,1,1,80hgdmpkvdrhw1ge9nks2kxvy,1,35.8,64.0,2025-06-22T15:02:57.469Z,2025-06-22T15:06:27Z,bab8s40ltdf9v117umanbcmxg,A. Kinteh,,,5777953621,140,35.9,5777958945,189,,5777953619,56,Back,5777953623,141,46.8,5777953627,213,4.72,5777953625,212,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857477,11,1,1,1,2,80hgdmpkvdrhw1ge9nks2kxvy,1,36.3,45.8,2025-06-22T15:02:58.685Z,2025-06-22T15:03:00Z,9l89pnte9uhyc8jnads2lintg,T. Guddal,,,5777953669,56,Center,5777953671,140,50.4,5777953675,212,20.5,5777953673,141,24.9,5777953677,213,5.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857491,12,1,1,1,3,80hgdmpkvdrhw1ge9nks2kxvy,1,52.5,23.6,2025-06-22T15:03:00.349Z,2025-06-22T15:03:02Z,b0zkcgl6f68noauzpuhzjm4tl,A. Jenssen,,,5777953753,213,5.90,5777953751,212,20.8,5777953747,140,70.9,5777953745,56,Right,5777953749,141,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857497,13,1,1,1,5,80hgdmpkvdrhw1ge9nks2kxvy,1,57.7,24.1,2025-06-22T15:03:02.181Z,2025-06-22T15:03:04Z,q1o72uyrvclbkccpjvzugacq,A. Mikkelsen,,,5777953797,212,15.1,5777953795,141,6.1,5777953791,56,Right,5777953793,140,66.2,5777953799,213,5.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857517,14,1,1,1,7,80hgdmpkvdrhw1ge9nks2kxvy,1,58.6,9.8,2025-06-22T15:03:03.981Z,2025-06-22T15:03:06Z,1ncet6wg9tne9oif8vkgsc8kq,L. Cornic,,,5777953859,140,33.0,5777953861,141,19.1,5777953857,56,Back,5777953863,212,27.6,5777953865,213,2.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857535,15,1,1,1,9,80hgdmpkvdrhw1ge9nks2kxvy,1,31.1,18.9,2025-06-22T15:03:06.190Z,2025-06-22T15:03:09Z,b0zkcgl6f68noauzpuhzjm4tl,A. Jenssen,,,5777953929,56,Back,5777953931,140,27.6,5777953933,141,44.6,5777953937,213,1.78,5777953935,212,17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857567,16,1,1,1,12,80hgdmpkvdrhw1ge9nks2kxvy,1,26.8,46.6,2025-06-22T15:03:09.101Z,2025-06-22T15:03:16Z,9l89pnte9uhyc8jnads2lintg,T. Guddal,,,5777954089,212,18.5,5777954091,213,1.12,5777954085,140,34.4,5777954087,141,71.1,5777954083,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857575,17,1,1,1,20,80hgdmpkvdrhw1ge9nks2kxvy,1,53.7,71.2,2025-06-22T15:03:16.533Z,2025-06-22T15:03:17Z,bab8s40ltdf9v117umanbcmxg,A. Kinteh,,,5777954143,213,6.03,5777954137,140,67.5,5777954141,212,14.9,5777954133,56,Center,5777954139,141,65.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857583,18,1,1,1,21,80hgdmpkvdrhw1ge9nks2kxvy,1,67.5,65.8,2025-06-22T15:03:17.590Z,2025-06-22T15:03:19Z,1qeetk4waatuxev4mqvbxx87p,R. Jenssen,,,5777954191,212,18.1,5777954185,56,Center,5777954189,141,64.5,5777954187,140,50.3,5777954193,213,3.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857597,19,1,1,1,22,80hgdmpkvdrhw1ge9nks2kxvy,1,53.9,69.0,2025-06-22T15:03:19.126Z,2025-06-22T15:03:20Z,bab8s40ltdf9v117umanbcmxg,A. Kinteh,,,5777954275,212,15.6,5777954277,213,4.14,5777954273,141,49.7,5777954269,56,Back,5777954271,140,45.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857615,20,1,1,1,24,80hgdmpkvdrhw1ge9nks2kxvy,1,44.7,50.6,2025-06-22T15:03:20.821Z,2025-06-22T15:03:24Z,9l89pnte9uhyc8jnads2lintg,T. Guddal,,,5777954359,56,Left,5777954361,140,61.0,5777954365,212,27.8,5777954367,213,0.91,5777954363,141,82.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857637,21,1,1,1,27,80hgdmpkvdrhw1ge9nks2kxvy,1,61.6,82.7,2025-06-22T15:03:24.164Z,2025-06-22T15:03:28Z,5mvddfxv6aqzohz87gopwl990,J. Hjertø-Dahl,,,5777954459,56,Center,5777954461,140,50.1,5777954467,213,3.87,5777954463,141,67.0,5777954465,212,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857647,22,1,1,1,32,80hgdmpkvdrhw1ge9nks2kxvy,0,53.5,75.0,2025-06-22T15:03:28.405Z,2025-06-22T15:03:30Z,bab8s40ltdf9v117umanbcmxg,A. Kinteh,,,5777954515,155,,5777954519,140,87.2,5777954517,56,Center,5777954521,141,26.4,5777954525,213,5.53,5777954527,1,,5777954523,212,48.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857687,10,1,1,1,37,crlocdyqyb1fdhck54qxs65rl,1,15.7,76.7,2025-06-22T15:03:34.279Z,2025-06-22T15:08:24Z,6r0yq4i1lk788h1euk5ztec5,V. Jónsson,,,5777954719,213,3.49,5777954713,140,3.4,5777954709,3,,5777954711,56,Back,5777954715,141,69.7,5777954717,212,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857791,13,1,1,1,54,crlocdyqyb1fdhck54qxs65rl,0,15.3,47.6,2025-06-22T15:03:50.536Z,2025-06-22T15:03:55Z,6y6xobx7t2qx431s59kv8hk9h,M. Sandberg,,,5777955281,157,,5777955293,213,5.81,5777955287,140,71.1,5777955285,56,Right,5777955295,1,,5777955283,198,,5777955291,212,65.8,5777955289,141,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857797,23,61,1,2,0,80hgdmpkvdrhw1ge9nks2kxvy,0,27.6,87.4,2025-06-22T15:03:57.229Z,2025-06-22T15:03:57Z,bab8s40ltdf9v117umanbcmxg,A. Kinteh,,,5777955327,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857877,14,5,1,2,2,crlocdyqyb1fdhck54qxs65rl,1,73.8,-2.0,2025-06-22T15:03:58.555Z,2025-06-22T17:11:53Z,6y6xobx7t2qx431s59kv8hk9h,M. Sandberg,,,5777955815,56,Right,5777955819,233,24,5777955817,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857805,24,5,1,2,2,80hgdmpkvdrhw1ge9nks2kxvy,0,26.2,102.0,2025-06-22T15:03:58.555Z,2025-06-22T17:11:53Z,bab8s40ltdf9v117umanbcmxg,A. Kinteh,,,5777955825,233,14,5777955361,347,,5777955359,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857887,15,1,1,2,25,crlocdyqyb1fdhck54qxs65rl,0,74.7,0.0,2025-06-22T15:04:21.490Z,2025-06-22T15:04:24Z,1t1ylf4iwrotj4jjf9qfzbieh,S. Strand Nilsen,,,5777955877,1,,5777955873,212,29.7,5777955875,213,0.99,5777955867,56,Center,5777955871,141,34.5,5777955869,140,90.3,5777955865,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857897,25,12,1,2,28,80hgdmpkvdrhw1ge9nks2kxvy,1,5.6,64.9,2025-06-22T15:04:24.431Z,2025-06-22T15:04:27Z,9l89pnte9uhyc8jnads2lintg,T. Guddal,,,5777955911,140,11.9,5777955909,56,Back,5777955917,213,0.02,5777955935,15,,5777955915,212,6.6,5777955913,141,65.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823859477,49,61,1,2,29,crlocdyqyb1fdhck54qxs65rl,1,87.0,35.2,2025-06-22T15:04:25.669Z,2025-06-22T15:11:16Z,dd53d1radlkv7y24724vkol49,B. Bjarnason,,,5777965569,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857911,26,61,1,2,31,80hgdmpkvdrhw1ge9nks2kxvy,1,11.9,65.1,2025-06-22T15:04:27.391Z,2025-06-22T15:07:09Z,9l89pnte9uhyc8jnads2lintg,T. Guddal,,,5777955993,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857925,16,13,1,2,32,crlocdyqyb1fdhck54qxs65rl,1,75.3,28.4,2025-06-22T15:04:28.391Z,2025-06-22T15:11:53Z,9v4rtbzr5f45x65os81wwuqne,G. Simenstad,,,5777956427,215,,5777956431,230,97.1,5777956047,56,Center,5777966781,328,,5777966777,85,,5777956423,102,54.3,5777956419,160,,5777966779,108,,5777956425,103,5777956045,18,,5777956373,72,5777956429,458,5777956433,231,46.6,,,59.7,,,,,,,,,,,,,,,
2823857937,17,5,1,2,33,crlocdyqyb1fdhck54qxs65rl,0,101.2,61.1,2025-06-22T15:04:29.558Z,2025-06-22T17:11:54Z,4m57qe3mtal1r68md5yj8xvc9,T. Sørås,,,5777956127,56,Center,5777956129,346,,5777956179,233,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857945,27,5,1,2,33,80hgdmpkvdrhw1ge9nks2kxvy,1,-1.2,38.9,2025-06-22T15:04:29.558Z,2025-06-22T17:11:53Z,766yz5r437tgwjkn0ey8j2wwk,R. Norheim,,,5777956163,346,,5777956167,233,17,5777956161,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857985,28,1,1,2,47,80hgdmpkvdrhw1ge9nks2kxvy,0,3.1,53.1,2025-06-22T15:04:43.788Z,2025-06-22T15:12:08Z,451kwpccebq3457c7jw8toz4l,J. Haugaard,,,5777956467,124,,5777956471,140,67.4,5777956477,213,0.11,5777967169,189,,5777956475,212,67.9,5777956481,74,,5777956469,56,Center,5777956473,141,64.2,5777956479,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823859973,121,44,1,2,51,80hgdmpkvdrhw1ge9nks2kxvy,1,48.3,49.6,2025-06-22T15:04:47.820Z,2025-06-22T16:02:49Z,b02g29dknl89wywv3l61fgueh,V. Erlien,,,5777968531,56,Back,5777968537,233,22,5777968541,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823858187,22,44,1,2,51,crlocdyqyb1fdhck54qxs65rl,0,51.7,50.4,2025-06-22T15:04:47.821Z,2025-06-22T16:02:49Z,424bbibjsasfjrkjoa0jfkhk9,L. Mares,,,5777957439,56,Center,5777968543,233,121,5777957441,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823859979,122,1,1,2,51,80hgdmpkvdrhw1ge9nks2kxvy,0,47.0,48.9,2025-06-22T15:04:48.290Z,2025-06-22T15:13:36Z,b02g29dknl89wywv3l61fgueh,V. Erlien,,,5777969263,56,Center,5777969269,212,17.5,5777969301,3,,5777969267,141,58.3,5777969271,213,0.37,5777969265,140,62.5,5777969261,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823858009,19,1,1,2,52,crlocdyqyb1fdhck54qxs65rl,1,37.3,29.1,2025-06-22T15:04:48.879Z,2025-06-22T15:06:56Z,2gbfwdmpk5gfmcc979aqfkyxh,G. Granath,,,5777956595,140,13.0,5777956599,212,27.0,5777956593,56,Back,5777956597,141,42.2,5777956601,213,2.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823858017,20,1,1,2,54,crlocdyqyb1fdhck54qxs65rl,1,12.0,38.2,2025-06-22T15:04:50.797Z,2025-06-22T15:06:53Z,6y6xobx7t2qx431s59kv8hk9h,M. Sandberg,,,5777956673,141,19.4,5777956677,213,5.58,5777956675,212,19.8,5777956671,140,26.4,5777956669,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823858081,21,2,1,3,1,crlocdyqyb1fdhck54qxs65rl,1,35.7,7.6,2025-06-22T15:04:57.767Z,2025-06-22T15:05:25Z,2gbfwdmpk5gfmcc979aqfkyxh,G. Granath,,,5777956959,141,9.7,5777956957,140,90.2,5777956967,1,,5777956969,56,Right,5777956965,7,iuf92spli9o5l8r9ftooufah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823858087,29,55,1,3,1,80hgdmpkvdrhw1ge9nks2kxvy,1,9.9,90.3,2025-06-22T15:04:57.768Z,2025-06-22T16:02:44Z,9l89pnte9uhyc8jnads2lintg,T. Guddal,,,5777970525,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823858199,30,1,1,3,29,80hgdmpkvdrhw1ge9nks2kxvy,1,10.3,90.5,2025-06-22T15:05:25.790Z,2025-06-22T17:11:22Z,451kwpccebq3457c7jw8toz4l,J. Haugaard,,,5777957507,213,5.83,5777957503,141,75.4,5777957505,212,23.5,5777957499,56,Back,5777957501,140,30.4,5777957495,5,,5777957497,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823858213,31,1,1,3,30,80hgdmpkvdrhw1ge9nks2kxvy,1,29.5,76.4,2025-06-22T15:05:27.324Z,2025-06-22T15:05:31Z,1qeetk4waatuxev4mqvbxx87p,R. Jenssen,,,5777957581,141,43.7,5777957587,1,,5777957579,140,7.4,5777957583,212,32.1,5777957577,56,Back,5777957585,213,3.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823858231,32,1,1,3,38,80hgdmpkvdrhw1ge9nks2kxvy,1,9.8,25.9,2025-06-22T15:05:34.396Z,2025-06-22T15:05:36Z,9l89pnte9uhyc8jnads2lintg,T. Guddal,,,5777957727,56,Back,5777957729,140,27.9,5777957731,141,37.1,5777957735,213,0.38,5777957733,212,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823858281,33,1,1,3,39,80hgdmpkvdrhw1ge9nks2kxvy,1,29.2,34.5,2025-06-22T15:05:36.037Z,2025-06-22T15:05:45Z,95t0lc2qqgzxp92n1pr62n816,D. Edvardsson,,,5777957949,140,4.1,5777957951,141,49.7,5777957947,56,Back,5777957955,213,2.77,5777957953,212,28.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823858287,34,1,1,3,49,80hgdmpkvdrhw1ge9nks2kxvy,1,22.1,59.0,2025-06-22T15:05:45.797Z,2025-06-22T15:05:47Z,451kwpccebq3457c7jw8toz4l,J. Haugaard,,,5777958027,212,25.6,5777958025,141,69.9,5777958021,56,Back,5777958023,140,45.4,5777958029,213,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823858289,35,1,1,3,50,80hgdmpkvdrhw1ge9nks2kxvy,1,45.4,69.9,2025-06-22T15:05:47.164Z,2025-06-22T15:05:47Z,1qeetk4waatuxev4mqvbxx87p,R. Jenssen,,,5777958047,141,52.7,5777958051,213,3.94,5777958043,56,Back,5777958049,212,16.3,5777958045,140,34.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823858299,36,1,1,3,51,80hgdmpkvdrhw1ge9nks2kxvy,1,34.6,52.7,2025-06-22T15:05:47.844Z,2025-06-22T15:05:50Z,95t0lc2qqgzxp92n1pr62n816,D. Edvardsson,,,5777958101,56,Back,5777958105,141,87.4,5777958107,212,23.9,5777958109,213,1.73,5777958103,140,31.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
