id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/8/value,qualifier/12/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2815272261,7,5,1,0,11,ctvzi2jbl1q6xzq0s3sexj73g,1,61.3,-1.8,2025-05-16T16:00:47.282Z,2025-05-16T18:07:54Z,11iaca5nfeqabdba4646vje1h,B. Moe,,,5730113955,56,Right,5730113957,347,,5730113959,233,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272267,8,1,1,0,14,ctvzi2jbl1q6xzq0s3sexj73g,1,66.8,0.0,2025-05-16T16:00:49.769Z,2025-05-16T16:00:51Z,b2ibeioms7t9vb3au7tpqys4p,H. Evjen,,,5730113989,141,9.4,5730113983,107,,5730113987,140,61.8,5730113993,213,2.17,5730113991,212,9.3,5730113985,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272277,9,1,1,0,15,ctvzi2jbl1q6xzq0s3sexj73g,1,61.8,9.4,2025-05-16T16:00:51.409Z,2025-05-16T16:00:55Z,dgki9si023s93nymhod74jlzo,F. Sjøvold,,,5730114061,140,46.6,5730114067,213,2.76,5730114063,141,18.9,5730114065,212,17.2,5730114059,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272287,10,1,1,0,19,ctvzi2jbl1q6xzq0s3sexj73g,1,43.1,21.5,2025-05-16T16:00:54.949Z,2025-05-16T16:00:57Z,11iaca5nfeqabdba4646vje1h,B. Moe,,,5730114109,140,32.0,5730114113,212,27.7,5730114111,141,58.5,5730114107,56,Back,5730114115,213,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272309,11,1,1,0,21,ctvzi2jbl1q6xzq0s3sexj73g,1,32.0,58.5,2025-05-16T16:00:57.393Z,2025-05-16T16:01:00Z,38qnvrvf3y1xs22tovwy21jv9,J. Gundersen,,,5730114227,56,Back,5730114229,140,32.8,5730114239,213,1.49,5730114237,212,10.0,5730114233,141,73.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272349,12,1,1,0,25,ctvzi2jbl1q6xzq0s3sexj73g,0,33.4,85.1,2025-05-16T16:01:00.713Z,2025-05-16T16:01:06Z,dnw3y6r7bk0aqbta2s7ttivhl,F. Bjørkan,,,5730114445,141,80.9,5730114439,155,,5730114451,1,,5730114449,213,6.22,5730114441,56,Left,5730114443,140,79.5,5730114447,212,48.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272363,5,61,1,0,33,80hgdmpkvdrhw1ge9nks2kxvy,0,9.0,9.1,2025-05-16T16:01:09.461Z,2025-05-16T16:01:09Z,1ncet6wg9tne9oif8vkgsc8kq,L. Cornic,,,5730114507,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272371,6,5,1,0,34,80hgdmpkvdrhw1ge9nks2kxvy,0,17.4,-1.5,2025-05-16T16:01:10.273Z,2025-05-16T18:07:55Z,1ncet6wg9tne9oif8vkgsc8kq,L. Cornic,,,5730114535,347,,5730114533,56,Back,5730114771,233,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272425,13,5,1,0,34,ctvzi2jbl1q6xzq0s3sexj73g,1,82.6,101.5,2025-05-16T16:01:10.273Z,2025-05-16T18:07:55Z,dnw3y6r7bk0aqbta2s7ttivhl,F. Bjørkan,,,5730114767,233,6,5730114753,347,,5730114747,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272437,14,1,1,0,41,ctvzi2jbl1q6xzq0s3sexj73g,1,84.1,100.0,2025-05-16T16:01:16.657Z,2025-05-16T16:01:18Z,7dnxkce4kn8qchaavv6e4tm21,J. Hauge,,,5730114795,141,93.8,5730114789,107,,5730114799,213,3.48,5730114791,56,Left,5730114797,212,16.8,5730114793,140,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272441,15,1,1,0,42,ctvzi2jbl1q6xzq0s3sexj73g,1,66.5,92.7,2025-05-16T16:01:17.841Z,2025-05-16T16:01:19Z,dnw3y6r7bk0aqbta2s7ttivhl,F. Bjørkan,,,5730114817,140,47.7,5730114821,212,19.9,5730114823,213,3.27,5730114819,141,88.9,5730114815,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272465,16,1,1,0,43,ctvzi2jbl1q6xzq0s3sexj73g,1,45.6,87.4,2025-05-16T16:01:19.033Z,2025-05-16T16:01:22Z,38qnvrvf3y1xs22tovwy21jv9,J. Gundersen,,,5730114929,56,Back,5730114935,212,28.3,5730114933,141,48.1,5730114937,213,4.37,5730114931,140,36.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272475,17,1,1,0,46,ctvzi2jbl1q6xzq0s3sexj73g,1,39.0,43.0,2025-05-16T16:01:22.009Z,2025-05-16T16:01:24Z,11iaca5nfeqabdba4646vje1h,B. Moe,,,5730114993,141,25.5,5730114997,213,5.23,5730114991,140,45.4,5730114989,56,Back,5730114995,212,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272481,18,1,1,0,48,ctvzi2jbl1q6xzq0s3sexj73g,1,45.4,25.5,2025-05-16T16:01:23.929Z,2025-05-16T16:01:25Z,dgki9si023s93nymhod74jlzo,F. Sjøvold,,,5730115039,141,44.0,5730115037,140,46.8,5730115041,212,12.7,5730115043,213,1.45,5730115035,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272497,19,1,1,0,49,ctvzi2jbl1q6xzq0s3sexj73g,0,46.8,44.0,2025-05-16T16:01:25.025Z,2025-05-16T16:01:27Z,do2fwr0qn3kg0qb40e3i36q51,P. Berg,,,5730115111,1,,5730115099,155,,5730115105,141,0.0,5730115107,212,41.4,5730115103,140,73.3,5730115101,56,Right,5730115109,213,5.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272633,7,5,1,0,52,80hgdmpkvdrhw1ge9nks2kxvy,1,26.4,101.5,2025-05-16T16:01:27.711Z,2025-05-16T18:07:56Z,766yz5r437tgwjkn0ey8j2wwk,R. Norheim,,,5730115779,347,,5730115777,56,Back,5730115799,233,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272499,20,5,1,0,52,ctvzi2jbl1q6xzq0s3sexj73g,0,73.6,-1.5,2025-05-16T16:01:27.711Z,2025-05-16T18:07:56Z,do2fwr0qn3kg0qb40e3i36q51,P. Berg,,,5730115823,233,7,5730115115,347,,5730115113,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272645,8,1,1,1,9,80hgdmpkvdrhw1ge9nks2kxvy,0,26.0,100.0,2025-05-16T16:01:45.373Z,2025-05-16T16:01:47Z,766yz5r437tgwjkn0ey8j2wwk,R. Norheim,,,5730115867,56,Back,5730115869,140,42.5,5730115875,213,5.67,5730115873,212,21.2,5730115865,107,,5730115871,141,84.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272671,21,1,1,1,11,ctvzi2jbl1q6xzq0s3sexj73g,1,62.7,10.4,2025-05-16T16:01:47.601Z,2025-05-16T16:01:51Z,dgki9si023s93nymhod74jlzo,F. Sjøvold,,,5730116031,140,72.6,5730116037,213,0.23,5730116033,141,14.0,5730116035,212,10.7,5730116029,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272675,22,1,1,1,15,ctvzi2jbl1q6xzq0s3sexj73g,1,72.2,15.5,2025-05-16T16:01:51.106Z,2025-05-16T18:10:35Z,cegoeac3l2owi83zdvu30tj6y,O. Blomberg,,,5730116059,212,12.4,5730116053,56,Right,5730116057,141,20.7,5730116055,140,60.9,5730116061,213,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272689,24,1,1,1,16,ctvzi2jbl1q6xzq0s3sexj73g,1,60.9,20.7,2025-05-16T16:01:52.241Z,2025-05-16T16:01:53Z,do2fwr0qn3kg0qb40e3i36q51,P. Berg,,,5730116125,213,3.00,5730116121,141,24.4,5730116117,56,Back,5730116123,212,17.8,5730116119,140,44.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272731,25,1,1,1,17,ctvzi2jbl1q6xzq0s3sexj73g,1,44.1,24.4,2025-05-16T16:01:53.361Z,2025-05-16T16:01:57Z,38qnvrvf3y1xs22tovwy21jv9,J. Gundersen,,,5730116297,140,46.8,5730116291,56,Back,5730116303,141,8.8,5730116309,212,11.0,5730116311,213,4.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272741,26,1,1,1,21,ctvzi2jbl1q6xzq0s3sexj73g,1,41.8,19.2,2025-05-16T16:01:56.931Z,2025-05-16T16:01:59Z,dgki9si023s93nymhod74jlzo,F. Sjøvold,,,5730116371,212,10.1,5730116373,213,2.92,5730116361,56,Back,5730116363,140,32.4,5730116367,141,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272763,27,1,1,1,23,ctvzi2jbl1q6xzq0s3sexj73g,1,32.5,24.3,2025-05-16T16:01:58.993Z,2025-05-16T16:02:01Z,11iaca5nfeqabdba4646vje1h,B. Moe,,,5730116505,56,Back,5730116509,141,54.2,5730116513,213,1.73,5730116507,140,29.4,5730116511,212,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272781,28,1,1,1,25,ctvzi2jbl1q6xzq0s3sexj73g,1,27.5,56.4,2025-05-16T16:02:01.209Z,2025-05-16T16:02:04Z,38qnvrvf3y1xs22tovwy21jv9,J. Gundersen,,,5730116615,140,26.5,5730116621,213,1.65,5730116617,141,74.7,5730116613,56,Back,5730116619,212,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272805,29,61,1,1,31,ctvzi2jbl1q6xzq0s3sexj73g,1,45.7,95.1,2025-05-16T16:02:07.364Z,2025-05-16T16:02:07Z,dnw3y6r7bk0aqbta2s7ttivhl,F. Bjørkan,,,5730116753,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272829,30,1,1,1,33,ctvzi2jbl1q6xzq0s3sexj73g,1,39.5,85.7,2025-05-16T16:02:08.714Z,2025-05-16T16:02:11Z,7dnxkce4kn8qchaavv6e4tm21,J. Hauge,,,5730116891,141,69.4,5730116893,212,14.6,5730116895,213,4.01,5730116887,56,Back,5730116889,140,30.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272861,31,1,1,1,35,ctvzi2jbl1q6xzq0s3sexj73g,1,31.5,69.4,2025-05-16T16:02:11.377Z,2025-05-16T16:02:15Z,38qnvrvf3y1xs22tovwy21jv9,J. Gundersen,,,5730117043,56,Back,5730117047,141,83.6,5730117045,140,36.8,5730117051,212,11.1,5730117053,213,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272889,32,1,1,1,39,ctvzi2jbl1q6xzq0s3sexj73g,1,35.8,79.9,2025-05-16T16:02:14.857Z,2025-05-16T16:02:19Z,7dnxkce4kn8qchaavv6e4tm21,J. Hauge,,,5730117209,56,Back,5730117215,212,32.0,5730117213,141,34.2,5730117217,213,4.48,5730117211,140,28.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272907,33,1,1,1,43,ctvzi2jbl1q6xzq0s3sexj73g,1,32.8,27.6,2025-05-16T16:02:19.546Z,2025-05-16T16:02:22Z,11iaca5nfeqabdba4646vje1h,B. Moe,,,5730117299,56,Back,5730117301,140,17.9,5730117303,141,48.1,5730117307,213,2.41,5730117305,212,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272913,34,1,1,1,46,ctvzi2jbl1q6xzq0s3sexj73g,1,19.3,49.6,2025-05-16T16:02:22.057Z,2025-05-16T16:02:23Z,bjgxlgzxbm2fj3c2xq6mtsru1,N. Haikin,,,5730117365,140,34.9,5730117371,213,6.01,5730117369,212,17.0,5730117363,56,Back,5730117367,141,42.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272925,35,1,1,1,47,ctvzi2jbl1q6xzq0s3sexj73g,1,33.9,42.4,2025-05-16T16:02:23.386Z,2025-05-16T16:02:25Z,do2fwr0qn3kg0qb40e3i36q51,P. Berg,,,5730117485,213,4.36,5730117477,56,Back,5730117479,140,28.5,5730117481,141,19.4,5730117483,212,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272953,36,1,1,1,49,ctvzi2jbl1q6xzq0s3sexj73g,1,28.1,20.4,2025-05-16T16:02:25.593Z,2025-05-16T16:02:28Z,11iaca5nfeqabdba4646vje1h,B. Moe,,,5730117641,141,6.4,5730117643,212,12.2,5730117645,213,5.39,5730117639,140,35.4,5730117637,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272983,37,1,1,1,52,ctvzi2jbl1q6xzq0s3sexj73g,1,33.0,7.9,2025-05-16T16:02:28.257Z,2025-05-16T16:02:31Z,dgki9si023s93nymhod74jlzo,F. Sjøvold,,,5730117805,56,Back,5730117811,212,31.7,5730117807,140,19.6,5730117813,213,2.03,5730117809,141,49.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815273013,38,1,1,1,55,ctvzi2jbl1q6xzq0s3sexj73g,1,19.6,49.7,2025-05-16T16:02:31.577Z,2025-05-16T16:02:34Z,38qnvrvf3y1xs22tovwy21jv9,J. Gundersen,,,5730117929,213,4.70,5730117921,56,Back,5730117927,212,12.4,5730117923,140,19.5,5730117925,141,31.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815273029,39,1,1,1,58,ctvzi2jbl1q6xzq0s3sexj73g,1,21.9,32.7,2025-05-16T16:02:34.057Z,2025-05-16T16:02:37Z,11iaca5nfeqabdba4646vje1h,B. Moe,,,5730118033,212,21.6,5730118031,141,64.0,5730118029,140,18.5,5730118035,213,1.74,5730118027,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815273083,40,1,1,2,1,ctvzi2jbl1q6xzq0s3sexj73g,1,19.5,65.2,2025-05-16T16:02:37.026Z,2025-05-16T16:02:42Z,38qnvrvf3y1xs22tovwy21jv9,J. Gundersen,,,5730118253,213,0.98,5730118245,56,Back,5730118251,212,23.2,5730118247,140,31.9,5730118249,141,93.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815273099,41,1,1,2,7,ctvzi2jbl1q6xzq0s3sexj73g,1,36.0,78.7,2025-05-16T16:02:42.753Z,2025-05-16T16:02:45Z,dnw3y6r7bk0aqbta2s7ttivhl,F. Bjørkan,,,5730118353,213,3.83,5730118351,212,9.1,5730118345,56,Back,5730118347,140,29.3,5730118349,141,70.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815273115,42,1,1,2,10,ctvzi2jbl1q6xzq0s3sexj73g,1,26.6,68.5,2025-05-16T16:02:45.730Z,2025-05-16T16:02:49Z,38qnvrvf3y1xs22tovwy21jv9,J. Gundersen,,,5730118485,140,21.9,5730118491,213,4.48,5730118483,56,Back,5730118487,141,38.3,5730118489,212,21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815273131,43,1,1,2,13,ctvzi2jbl1q6xzq0s3sexj73g,0,25.5,25.8,2025-05-16T16:02:49.153Z,2025-05-16T16:02:54Z,11iaca5nfeqabdba4646vje1h,B. Moe,,,5730118603,56,Center,5730118607,141,31.0,5730118609,212,54.5,5730118601,155,,5730118611,213,0.06,5730118613,1,,5730118605,140,77.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815273141,10,1,1,2,18,80hgdmpkvdrhw1ge9nks2kxvy,1,25.3,70.2,2025-05-16T16:02:54.188Z,2025-05-16T16:02:56Z,9l89pnte9uhyc8jnads2lintg,T. Guddal,,,5730118697,141,51.3,5730118693,56,Back,5730118699,212,23.5,5730118701,213,3.72,5730118695,140,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815273165,11,1,1,2,20,80hgdmpkvdrhw1ge9nks2kxvy,0,6.6,51.3,2025-05-16T16:02:55.827Z,2025-05-16T16:02:58Z,451kwpccebq3457c7jw8toz4l,J. Haugaard,,,5730118845,213,0.17,5730118837,56,Center,5730118839,140,55.4,5730118835,157,,5730118843,212,52.0,5730118847,1,,5730118841,141,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815273189,44,1,1,2,24,ctvzi2jbl1q6xzq0s3sexj73g,0,48.8,49.4,2025-05-16T16:02:59.961Z,2025-05-16T16:03:00Z,11iaca5nfeqabdba4646vje1h,B. Moe,,,5730118963,213,5.88,5730118961,212,25.1,5730118955,56,Center,5730118959,141,35.1,5730118957,140,70.8,5730118953,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815273195,12,1,1,2,25,80hgdmpkvdrhw1ge9nks2kxvy,0,31.3,80.0,2025-05-16T16:03:00.796Z,2025-05-16T16:03:01Z,766yz5r437tgwjkn0ey8j2wwk,R. Norheim,,,5730118979,56,Back,5730118983,141,72.4,5730118989,213,5.26,5730118981,140,34.3,5730118985,212,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815273247,46,1,1,2,27,ctvzi2jbl1q6xzq0s3sexj73g,1,63.9,36.1,2025-05-16T16:03:03.001Z,2025-05-16T16:03:09Z,b2ibeioms7t9vb3au7tpqys4p,H. Evjen,,,5730119219,140,64.0,5730119223,212,26.7,5730119221,141,75.4,5730119217,56,Center,5730119225,213,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815273267,47,1,1,2,33,ctvzi2jbl1q6xzq0s3sexj73g,0,82.1,81.5,2025-05-16T16:03:08.929Z,2025-05-16T16:03:11Z,dnw3y6r7bk0aqbta2s7ttivhl,F. Bjørkan,,,5730119325,141,45.2,5730119319,155,,5730119317,2,,5730119327,212,26.5,5730119323,140,91.2,5730119329,213,5.08,5730119321,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815273259,13,12,1,2,34,80hgdmpkvdrhw1ge9nks2kxvy,1,11.1,60.5,2025-05-16T16:03:10.220Z,2025-05-16T16:03:39Z,9l89pnte9uhyc8jnads2lintg,T. Guddal,,,5730119275,140,24.6,5730119281,213,0.42,5730119301,15,,5730119273,56,Back,5730119277,141,69.7,5730119279,212,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
