id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2823857383,8,1,1,0,22,ew0hpuiweoltpsg5f51r2w64t,1,55.3,30.3,2025-06-22T15:02:24.609Z,2025-06-22T15:02:27Z,7u76uh9164fs8tx6zqw0icqtx,B. Sørmo,,,5777953097,140,53.7,5777953099,141,51.8,5777953095,56,Center,5777953103,213,1.69,5777953101,212,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857403,9,1,1,0,25,ew0hpuiweoltpsg5f51r2w64t,1,54.0,52.4,2025-06-22T15:02:27.569Z,2025-06-22T15:02:32Z,4hmj5l79xbxxkyuxdx47lj8wl,G. Valsvik,,,5777953193,140,53.9,5777953199,213,4.70,5777953195,141,31.9,5777953191,56,Center,5777953197,212,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857405,10,1,1,0,30,ew0hpuiweoltpsg5f51r2w64t,1,55.4,34.2,2025-06-22T15:02:32.296Z,2025-06-22T18:55:58Z,7u76uh9164fs8tx6zqw0icqtx,B. Sørmo,,,5777953213,140,59.2,5777953221,1,,5777953219,213,1.45,5777953211,56,Left,5777953215,141,83.9,5777953217,212,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857427,11,1,1,0,32,ew0hpuiweoltpsg5f51r2w64t,1,58.3,82.8,2025-06-22T15:02:34.506Z,2025-06-22T18:56:00Z,cs99i7ypembqsswr96y6n53ze,F. Dahl,,,5777953345,213,0.13,5777953337,56,Left,5777953341,141,85.9,5777953339,140,73.6,5777953343,212,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823858427,33,1,1,0,33,ew0hpuiweoltpsg5f51r2w64t,0,47.2,80.1,2025-06-22T15:02:35.119Z,2025-06-22T15:06:53Z,4hmj5l79xbxxkyuxdx47lj8wl,G. Valsvik,,,5777959663,155,,5777959665,56,Left,5777959671,212,25.8,5777959673,213,0.15,5777959745,189,,5777959669,141,85.9,5777959667,140,71.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857469,12,43,1,0,50,ew0hpuiweoltpsg5f51r2w64t,1,0.0,0.0,2025-06-22T15:02:52.529Z,2025-06-22T15:06:05Z,4hmj5l79xbxxkyuxdx47lj8wl,G. Valsvik,,,5777958443,144,1,5777953637,141,75.9,5777953639,212,43.6,5777953643,1,0,5777953633,56,Center,5777953641,213,0.14,5777953631,155,0,5777953635,140,92.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857479,5,1,1,0,57,4q0b35m26thti4c2on9a3npk0,1,16.8,15.3,2025-06-22T15:02:59.662Z,2025-06-22T15:03:01Z,1pobxn4eg4l8phk4ug0t56t7u,A. Aleesami,,,5777953683,140,26.4,5777953685,141,9.5,5777953681,56,Back,5777953689,213,5.91,5777953687,212,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857515,6,1,1,0,59,4q0b35m26thti4c2on9a3npk0,0,23.6,7.4,2025-06-22T15:03:01.172Z,2025-06-22T15:08:14Z,2dgff1agcaa5ohb0f4wn64ay2,H. Hoseth,,,5777953851,212,13.7,5777953845,56,Back,5777953849,141,12.5,5777953847,140,36.2,5777953853,213,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823858725,39,8,1,1,2,ew0hpuiweoltpsg5f51r2w64t,1,64.2,90.1,2025-06-22T15:03:04.733Z,2025-06-22T15:08:22Z,3vh1sx99telj2gktbljiarap5,K. Krasniqi,,,5777961575,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857519,7,50,1,1,3,4q0b35m26thti4c2on9a3npk0,1,46.0,24.8,2025-06-22T15:03:05.546Z,2025-06-22T15:59:53Z,euc11yjkfscwt6xsiitlorz10,S. Sandal,,,5777953869,56,Back,5777953871,286,,5777961731,233,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857509,13,7,1,1,3,ew0hpuiweoltpsg5f51r2w64t,0,54.0,75.2,2025-06-22T15:03:05.547Z,2025-06-22T18:56:01Z,3vh1sx99telj2gktbljiarap5,K. Krasniqi,,,5777961717,233,7,5777961687,285,,5777961685,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857531,8,4,1,1,7,4q0b35m26thti4c2on9a3npk0,1,42.0,26.6,2025-06-22T15:03:08.844Z,2025-06-22T15:59:44Z,2dgff1agcaa5ohb0f4wn64ay2,H. Hoseth,,,5777954211,233,14,5777953975,56,Back,5777953973,13,,5777953981,286,,5777953977,152,,5777953979,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857555,14,4,1,1,7,ew0hpuiweoltpsg5f51r2w64t,0,58.0,73.4,2025-06-22T15:03:08.845Z,2025-06-22T17:20:52Z,4vp5w5ahxvyk2iu4ymm9ksl7u,Marko Farji,,,5777954227,233,8,5777954045,13,,5777954047,56,Center,5777954051,265,,5777954049,152,,5777954053,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857557,9,1,1,1,10,4q0b35m26thti4c2on9a3npk0,1,29.8,14.1,2025-06-22T15:03:12.565Z,2025-06-22T15:03:14Z,1pobxn4eg4l8phk4ug0t56t7u,A. Aleesami,,,5777954037,212,26.4,5777954029,152,,5777954027,5,,5777954039,213,2.22,5777954035,141,45.1,5777954031,56,Back,5777954033,140,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857605,10,1,1,1,12,4q0b35m26thti4c2on9a3npk0,1,14.7,46.1,2025-06-22T15:03:14.228Z,2025-06-22T15:03:21Z,7f0drwvw3zquh352luxegqtpl,E. Ødegaard,,,5777954313,212,16.7,5777954311,141,69.7,5777954315,213,1.29,5777954309,140,19.1,5777954307,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857629,11,1,1,1,19,4q0b35m26thti4c2on9a3npk0,1,42.5,64.3,2025-06-22T15:03:21.644Z,2025-06-22T15:03:26Z,67nybn375tyqdqae4m1yk407o,M. Tønnessen,,,5777954413,140,32.2,5777954419,213,4.08,5777954415,141,42.4,5777954411,56,Back,5777954417,212,18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857643,12,1,1,1,24,4q0b35m26thti4c2on9a3npk0,1,35.7,42.4,2025-06-22T15:03:26.662Z,2025-06-22T18:56:02Z,5u4eoypx0tb3t0brk2dv8sm0a,F. Berglie,,,5777954495,213,1.06,5777954491,141,61.5,5777954487,56,Back,5777954493,212,14.9,5777954489,140,42.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857667,13,1,1,1,29,4q0b35m26thti4c2on9a3npk0,1,44.6,62.7,2025-06-22T15:03:30.844Z,2025-06-22T15:03:59Z,c1jlypnkt4c9y9vdnjkvxa85x,R. Rasch,,,5777954595,141,8.8,5777954591,56,Right,5777954593,140,77.9,5777954601,1,,5777954599,213,5.47,5777954597,212,50.7,5777954589,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857679,14,1,1,1,31,4q0b35m26thti4c2on9a3npk0,1,79.4,9.5,2025-06-22T15:03:33.580Z,2025-06-22T15:03:35Z,2dgff1agcaa5ohb0f4wn64ay2,H. Hoseth,,,5777954663,56,Right,5777954665,140,64.2,5777954671,213,3.07,5777954669,212,16.0,5777954667,141,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857695,15,1,1,1,33,4q0b35m26thti4c2on9a3npk0,1,64.3,11.4,2025-06-22T15:03:35.404Z,2025-06-22T15:03:38Z,1pobxn4eg4l8phk4ug0t56t7u,A. Aleesami,,,5777954765,213,2.45,5777954761,141,28.8,5777954759,140,50.8,5777954763,212,18.5,5777954757,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857711,16,1,1,1,36,4q0b35m26thti4c2on9a3npk0,1,49.4,32.1,2025-06-22T15:03:38.407Z,2025-06-22T15:03:42Z,5u4eoypx0tb3t0brk2dv8sm0a,F. Berglie,,,5777954857,141,69.1,5777954859,212,25.2,5777954855,140,49.8,5777954853,56,Back,5777954861,213,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857751,17,1,1,1,40,4q0b35m26thti4c2on9a3npk0,1,58.3,75.3,2025-06-22T15:03:41.925Z,2025-06-22T15:03:48Z,67nybn375tyqdqae4m1yk407o,M. Tønnessen,,,5777955057,213,0.61,5777955053,141,90.8,5777955049,56,Left,5777955051,140,72.7,5777955055,212,18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857755,18,50,1,1,46,4q0b35m26thti4c2on9a3npk0,1,80.2,95.8,2025-06-22T15:03:48.310Z,2025-06-22T15:59:54Z,58ufmirzy800nq7gucsiz3hg4,J. Hjorth,,,5777955219,286,,5777965575,233,15,5777955079,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857757,15,7,1,1,46,ew0hpuiweoltpsg5f51r2w64t,0,19.8,4.2,2025-06-22T15:03:48.311Z,2025-06-22T15:59:54Z,ap46gkx1wxiog02327an06jv8,S. Silalahi,,,5777955089,56,Back,5777965571,233,18,5777965567,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823859587,83,61,1,1,47,4q0b35m26thti4c2on9a3npk0,1,77.6,93.2,2025-06-22T15:03:49.041Z,2025-06-22T15:12:00Z,58ufmirzy800nq7gucsiz3hg4,J. Hjorth,,,5777966957,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823859655,64,61,1,1,48,ew0hpuiweoltpsg5f51r2w64t,1,20.2,12.7,2025-06-22T15:03:50.164Z,2025-06-22T15:12:05Z,ap46gkx1wxiog02327an06jv8,S. Silalahi,,,5777967119,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857785,16,6,1,1,48,ew0hpuiweoltpsg5f51r2w64t,0,18.2,9.2,2025-06-22T15:03:50.725Z,2025-06-22T15:59:49Z,ap46gkx1wxiog02327an06jv8,S. Silalahi,,,5777965759,233,19,5777965753,73,,5777955253,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857771,19,6,1,1,48,4q0b35m26thti4c2on9a3npk0,1,81.8,90.8,2025-06-22T15:03:50.725Z,2025-06-22T15:59:49Z,58ufmirzy800nq7gucsiz3hg4,J. Hjorth,,,5777955171,56,Left,5777965755,233,16,5777955173,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857927,20,1,1,2,21,4q0b35m26thti4c2on9a3npk0,1,99.5,99.5,2025-06-22T15:04:23.548Z,2025-06-22T15:04:38Z,c1jlypnkt4c9y9vdnjkvxa85x,R. Rasch,1.0,,5777956079,213,4.55,5777956065,6,,5777956075,141,46.0,5777956279,154,,5777956069,223,,5777956081,1,,5777956077,212,36.9,5777956063,2,,5777956277,210,15,5777956071,56,Center,5777956067,155,5777956073,140,93.7,,,,,,,,,,,,,,,,,,,,,,
2823857933,21,44,1,2,25,4q0b35m26thti4c2on9a3npk0,1,95.3,44.9,2025-06-22T15:04:27.103Z,2025-06-22T16:00:05Z,5u4eoypx0tb3t0brk2dv8sm0a,F. Berglie,,,5777956111,286,,5777956109,56,Center,5777956131,233,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857907,17,44,1,2,25,ew0hpuiweoltpsg5f51r2w64t,0,4.7,55.1,2025-06-22T15:04:27.104Z,2025-06-22T16:00:05Z,7u76uh9164fs8tx6zqw0icqtx,B. Sørmo,,,5777956139,233,21,5777955973,285,,5777955971,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857935,22,15,1,2,25,4q0b35m26thti4c2on9a3npk0,1,95.8,37.8,2025-06-22T15:04:27.451Z,2025-06-22T17:23:41Z,5u4eoypx0tb3t0brk2dv8sm0a,F. Berglie,,,5777969085,80,,5777956303,102,47.4,5777956297,154,,5777956307,146,98.9,5777956305,103,10.1,5777956171,25,,5777956295,29,,5777969083,60,,5777956173,15,,5777956309,147,45.5,5777956299,55,5777956177,328,,20,5777956313,233,18,5777956117,56,Center,,,,,,,,,,,,,,,
2823857931,18,10,1,2,25,ew0hpuiweoltpsg5f51r2w64t,1,1.3,52.4,2025-06-22T15:04:27.551Z,2025-06-22T15:59:52Z,d1p2mgz94oi55fa1wd2uhx5ud,E. Holmen Johansen,,,5777956317,233,22,5777956125,177,,5777956091,178,,5777956095,56,Back,5777956093,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823858001,20,1,1,2,47,ew0hpuiweoltpsg5f51r2w64t,0,7.8,47.3,2025-06-22T15:04:49.232Z,2025-06-22T15:04:50Z,d1p2mgz94oi55fa1wd2uhx5ud,E. Holmen Johansen,,,5777956563,1,,5777956551,199,,5777956555,140,59.5,5777956561,213,0.31,5777956553,56,Center,5777956557,141,72.7,5777956559,212,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823858027,23,61,1,2,50,4q0b35m26thti4c2on9a3npk0,1,34.0,29.2,2025-06-22T15:04:52.469Z,2025-06-22T15:06:20Z,dvrvgq5j49kb9vfergmluyxyi,D. Hickson,,,5777956709,56,Back,5777956995,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823858049,21,1,1,2,51,ew0hpuiweoltpsg5f51r2w64t,1,53.7,86.2,2025-06-22T15:04:53.640Z,2025-06-22T15:04:58Z,cs99i7ypembqsswr96y6n53ze,F. Dahl,,,5777956781,157,,5777956793,1,,5777956785,140,66.7,5777956783,56,Left,5777956791,213,0.40,5777956789,212,14.8,5777956787,141,94.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823858053,22,1,1,2,55,ew0hpuiweoltpsg5f51r2w64t,1,66.7,94.8,2025-06-22T15:04:57.544Z,2025-06-22T15:04:58Z,5362zl678ibx1md2kk6t4r47o,N. Möller,,,5777956819,213,3.30,5777956817,212,5.5,5777956809,3,,5777956811,56,Left,5777956815,141,93.5,5777956813,140,61.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823858065,23,1,1,2,56,ew0hpuiweoltpsg5f51r2w64t,0,61.0,93.5,2025-06-22T15:04:58.664Z,2025-06-22T15:05:00Z,4vp5w5ahxvyk2iu4ymm9ksl7u,Marko Farji,,,5777956883,56,Center,5777956891,213,5.26,5777956887,141,76.6,5777956889,212,13.4,5777956885,140,67.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823858071,24,8,1,2,59,4q0b35m26thti4c2on9a3npk0,1,29.2,43.7,2025-06-22T15:05:00.811Z,2025-06-22T15:14:42Z,67nybn375tyqdqae4m1yk407o,M. Tønnessen,,,5777956911,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823858089,24,1,1,3,3,ew0hpuiweoltpsg5f51r2w64t,1,62.4,59.7,2025-06-22T15:05:05.111Z,2025-06-22T15:05:26Z,3vh1sx99telj2gktbljiarap5,K. Krasniqi,,,5777957001,56,Right,5777957005,141,8.2,5777957003,140,71.0,5777957009,213,4.96,5777957011,1,,5777957007,212,36.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823858113,25,1,1,3,5,ew0hpuiweoltpsg5f51r2w64t,1,71.6,6.4,2025-06-22T15:05:07.703Z,2025-06-22T15:05:11Z,4hdrcg8os3e1uf9syfv5mpiol,L. Vilsvik,,,5777957133,212,20.3,5777957129,140,90.5,5777957131,141,12.9,5777957135,213,0.22,5777957127,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823858115,26,61,1,3,6,ew0hpuiweoltpsg5f51r2w64t,0,91.2,14.7,2025-06-22T15:05:08.447Z,2025-06-22T15:06:15Z,ap46gkx1wxiog02327an06jv8,S. Silalahi,,,5777957141,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823858137,26,1,1,3,10,4q0b35m26thti4c2on9a3npk0,1,15.3,79.0,2025-06-22T15:05:12.653Z,2025-06-22T15:05:16Z,67nybn375tyqdqae4m1yk407o,M. Tønnessen,,,5777957241,213,1.24,5777957237,141,89.4,5777957239,212,7.5,5777957235,140,17.6,5777957233,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823858151,27,1,1,3,15,4q0b35m26thti4c2on9a3npk0,0,31.8,88.4,2025-06-22T15:05:16.859Z,2025-06-22T15:15:29Z,58ufmirzy800nq7gucsiz3hg4,J. Hjorth,,,5777957315,141,37.4,5777957311,56,Center,5777957313,140,81.6,5777957321,1,,5777957319,213,5.70,5777957317,212,62.7,5777972199,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823858155,28,43,1,3,19,4q0b35m26thti4c2on9a3npk0,1,0.0,0.0,2025-06-22T15:05:21.163Z,2025-06-22T15:15:23Z,4cx6v1ugc9l5sd0nqep3sxoiy,J. Nuñez,,,5777972109,144,61,5777957337,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823858191,28,1,1,3,21,ew0hpuiweoltpsg5f51r2w64t,1,26.3,67.3,2025-06-22T15:05:22.976Z,2025-06-22T15:05:26Z,cs99i7ypembqsswr96y6n53ze,F. Dahl,,,5777957463,213,4.62,5777957455,56,Back,5777957461,212,10.5,5777957457,140,25.4,5777957459,141,51.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
