id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/14/value,qualifier/17/value,qualifier/15/value,qualifier/12/value
2797298567,8,1,1,0,18,doohk95o6e8pkqah8vkop51dg,1,72.3,95.5,2025-04-06T15:01:26.689Z,2025-04-06T15:01:27Z,58zj1aw2i5mfyzb3knj72xk6i,S. Christiansen,,,5630833823,212,5.0,5630833817,56,Left,5630833819,140,75.9,5630833821,141,90.7,5630833825,213,5.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797298581,9,1,1,0,19,doohk95o6e8pkqah8vkop51dg,0,75.9,90.7,2025-04-06T15:01:27.784Z,2025-04-06T15:01:28Z,115owbh8c39gfwcja2wxuweay,H. Tangen,,,5630833895,213,3.35,5630833891,141,89.8,5630833887,56,Left,5630833889,140,73.1,5630833893,212,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797298571,4,8,1,0,19,8q6cv8g4bd3xdl7m88kll16na,1,41.5,19.4,2025-04-06T15:01:28.053Z,2025-04-06T15:01:28Z,bxafjt88zqj5wgvx5r71c6cid,H. Bjørdal,,,5630833829,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797298645,6,1,1,0,24,8q6cv8g4bd3xdl7m88kll16na,1,34.8,29.2,2025-04-06T15:01:32.686Z,2025-04-06T15:04:29Z,1w8gujxthv0lfjrn98paa1uga,C. Lange,,,5630834219,56,Back,5630834223,141,37.7,5630834227,213,0.42,5630834225,212,14.1,5630834221,140,47.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797298659,7,1,1,0,25,8q6cv8g4bd3xdl7m88kll16na,1,46.7,37.9,2025-04-06T15:01:33.605Z,2025-04-06T15:01:34Z,4krwgfspxdgpq1pli11b04iga,M. Brajanac,,,5630834309,141,31.3,5630834307,140,42.2,5630834305,56,Back,5630834311,212,6.5,5630834313,213,3.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797298663,8,1,1,0,26,8q6cv8g4bd3xdl7m88kll16na,0,42.2,31.3,2025-04-06T15:01:34.389Z,2025-04-06T15:01:35Z,2rny9fva4m8awyltbc4ipftw4,F. Ambina,,,5630834335,212,5.8,5630834327,56,Back,5630834339,213,6.14,5630834329,140,47.7,5630834331,141,30.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797298673,10,8,1,0,26,doohk95o6e8pkqah8vkop51dg,1,62.2,78.1,2025-04-06T15:01:34.594Z,2025-04-06T17:32:09Z,58zj1aw2i5mfyzb3knj72xk6i,S. Christiansen,,,5630834397,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797298697,9,1,1,0,27,8q6cv8g4bd3xdl7m88kll16na,1,43.6,30.3,2025-04-06T15:01:35.349Z,2025-04-06T15:01:37Z,2rny9fva4m8awyltbc4ipftw4,F. Ambina,,,5630834535,141,19.2,5630834531,56,Back,5630834537,212,9.4,5630834539,213,5.35,5630834533,140,48.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797298735,10,1,1,0,28,8q6cv8g4bd3xdl7m88kll16na,1,55.4,19.2,2025-04-06T15:01:37.277Z,2025-04-06T15:01:40Z,d5jihfuxjuw51jgt6k4zhmrmy,M. Riisnæs,,,5630834799,56,Center,5630834807,213,0.95,5630834803,141,27.7,5630834805,212,7.1,5630834801,140,59.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797298759,11,1,1,0,32,8q6cv8g4bd3xdl7m88kll16na,0,82.5,13.7,2025-04-06T15:01:40.605Z,2025-04-06T15:01:43Z,bxafjt88zqj5wgvx5r71c6cid,H. Bjørdal,,,5630834979,2,,5630834987,141,53.6,5630834983,56,Center,5630834989,212,29.2,5630834985,140,92.7,5630834991,213,1.19,5630834981,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797298917,12,1,1,0,40,doohk95o6e8pkqah8vkop51dg,0,14.7,47.4,2025-04-06T15:01:48.577Z,2025-04-06T15:05:07Z,16od5bk1t05mluydp8i4t2lg4,Mamour Ndiaye,,,5630851713,189,,5630835805,141,19.0,5630835801,56,Right,5630835799,199,,5630835811,1,,5630835809,213,6.01,5630835803,140,79.7,5630835807,212,70.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797298985,13,1,1,0,45,8q6cv8g4bd3xdl7m88kll16na,1,27.3,80.0,2025-04-06T15:01:53.438Z,2025-04-06T15:01:57Z,3ga4zm8ifo0ohz7xe03jxswkp,S. Jarl,,,5630836197,141,76.1,5630836199,212,9.2,5630836193,56,Back,5630836201,213,5.99,5630836195,140,35.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797298991,14,1,1,0,49,8q6cv8g4bd3xdl7m88kll16na,0,40.8,74.2,2025-04-06T15:01:57.310Z,2025-04-06T15:01:57Z,2rny9fva4m8awyltbc4ipftw4,F. Ambina,,,5630836231,140,45.7,5630836229,56,Back,5630836237,213,5.50,5630836233,141,66.7,5630836235,212,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797299031,13,61,1,0,51,doohk95o6e8pkqah8vkop51dg,1,55.4,29.5,2025-04-06T15:01:59.908Z,2025-04-06T15:02:00Z,44t0ew97eyl8ww00sgusx00a2,A. Sher,,,5630836471,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797299087,15,1,1,0,52,doohk95o6e8pkqah8vkop51dg,0,55.8,24.0,2025-04-06T15:02:00.513Z,2025-04-06T15:14:10Z,4e7x4ulb3mcxgnue8c9exvazu,D. Karlsbakk,,,5630836725,141,36.1,5630836719,56,Back,5630836721,140,37.5,5630836733,213,2.74,5630836729,212,20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797302119,29,61,1,0,54,8q6cv8g4bd3xdl7m88kll16na,1,58.6,93.5,2025-04-06T15:02:02.725Z,2025-04-06T15:05:27Z,9xxdec5pv5plas9ve4ehs4nop,E. Sørensen,,,5630853023,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797300371,20,1,1,0,55,doohk95o6e8pkqah8vkop51dg,0,40.6,13.5,2025-04-06T15:02:03.856Z,2025-04-06T15:03:33Z,30ojg24sppf8bzngafnd4neg9,E. Wichne,,,5630843779,213,0.53,5630843777,212,1.2,5630843773,140,41.6,5630843769,56,Back,5630843775,141,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797299109,16,1,1,0,55,8q6cv8g4bd3xdl7m88kll16na,1,61.5,68.4,2025-04-06T15:02:03.861Z,2025-04-06T15:02:05Z,4krwgfspxdgpq1pli11b04iga,M. Brajanac,,,5630836785,56,Center,5630836789,141,57.8,5630836791,212,7.6,5630836787,140,59.3,5630836793,213,4.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797299161,17,1,1,0,57,8q6cv8g4bd3xdl7m88kll16na,1,60.2,65.7,2025-04-06T15:02:05.349Z,2025-04-06T15:02:09Z,bxafjt88zqj5wgvx5r71c6cid,H. Bjørdal,,,5630837089,213,2.16,5630837073,56,Center,5630837077,140,57.1,5630837081,141,72.9,5630837085,212,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797299181,18,1,1,1,1,8q6cv8g4bd3xdl7m88kll16na,1,56.8,72.9,2025-04-06T15:02:09.437Z,2025-04-06T15:02:10Z,2rny9fva4m8awyltbc4ipftw4,F. Ambina,,,5630837167,212,7.9,5630837163,140,64.0,5630837169,213,5.98,5630837161,56,Center,5630837165,141,69.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797299285,19,1,1,1,2,8q6cv8g4bd3xdl7m88kll16na,1,64.0,69.4,2025-04-06T15:02:10.701Z,2025-04-06T15:02:16Z,bxafjt88zqj5wgvx5r71c6cid,H. Bjørdal,,,5630837741,212,8.9,5630837743,213,2.73,5630837735,56,Center,5630837739,141,74.7,5630837737,140,56.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797299313,20,1,1,1,8,8q6cv8g4bd3xdl7m88kll16na,1,60.8,63.1,2025-04-06T15:02:16.325Z,2025-04-06T15:02:17Z,2rny9fva4m8awyltbc4ipftw4,F. Ambina,,,5630837873,56,Center,5630837879,141,55.5,5630837877,140,50.9,5630837883,213,3.60,5630837881,212,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797299345,21,1,1,1,9,8q6cv8g4bd3xdl7m88kll16na,1,50.9,55.5,2025-04-06T15:02:17.765Z,2025-04-06T15:02:21Z,fbd96sw3egypi2key2hxbnu2,A. Kiil Olsen,,,5630838039,56,Center,5630838043,141,37.6,5630838047,212,12.4,5630838051,213,4.91,5630838041,140,53.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797299399,22,1,1,1,12,8q6cv8g4bd3xdl7m88kll16na,1,55.3,26.7,2025-04-06T15:02:21.118Z,2025-04-06T15:02:25Z,rzfthr8qys67ormz869jrndg,H. Sjåtil,,,5630838335,212,16.2,5630838329,56,Right,5630838331,140,64.7,5630838333,141,7.9,5630838337,213,5.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797299441,23,1,1,1,17,8q6cv8g4bd3xdl7m88kll16na,1,62.3,10.7,2025-04-06T15:02:25.398Z,2025-04-06T15:02:28Z,d5jihfuxjuw51jgt6k4zhmrmy,M. Riisnæs,,,5630838605,56,Center,5630838611,212,13.7,5630838613,213,2.40,5630838607,140,52.7,5630838609,141,24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797299479,24,1,1,1,19,8q6cv8g4bd3xdl7m88kll16na,1,52.7,24.6,2025-04-06T15:02:27.861Z,2025-04-06T15:02:30Z,rzfthr8qys67ormz869jrndg,H. Sjåtil,,,5630838823,140,41.0,5630838829,213,2.54,5630838827,212,14.9,5630838825,141,36.9,5630838821,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797299541,25,1,1,1,22,8q6cv8g4bd3xdl7m88kll16na,0,40.9,37.1,2025-04-06T15:02:30.500Z,2025-04-06T15:02:35Z,fbd96sw3egypi2key2hxbnu2,A. Kiil Olsen,,,5630839181,213,0.80,5630839175,140,69.1,5630839183,1,,5630839179,212,42.6,5630839173,56,Left,5630839177,141,82.1,5630839171,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797299597,16,43,1,1,26,doohk95o6e8pkqah8vkop51dg,1,0.0,0.0,2025-04-06T15:02:34.889Z,2025-04-06T15:05:32Z,30ojg24sppf8bzngafnd4neg9,E. Wichne,,,5630839525,285,0,5630839521,56,Back,5630853959,144,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797299603,17,4,1,1,26,doohk95o6e8pkqah8vkop51dg,1,28.4,15.3,2025-04-06T15:02:34.889Z,2025-04-06T17:05:06Z,30ojg24sppf8bzngafnd4neg9,E. Wichne,,,5630839879,285,,5630839873,294,,5630839877,152,,5630839871,13,,5630841339,233,26,5630839875,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797299547,26,4,1,1,26,8q6cv8g4bd3xdl7m88kll16na,0,71.6,84.7,2025-04-06T15:02:34.890Z,2025-04-06T17:05:06Z,2d9k8p22131is7op7vcn0arbp,V. Hedenstad,,,5630839203,56,Left,5630841267,294,,5630841269,152,,5630841387,233,17,5630839205,286,,5630841265,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797299743,18,27,1,1,36,doohk95o6e8pkqah8vkop51dg,1,0.0,0.0,2025-04-06T15:02:45.178Z,2025-04-06T15:02:49Z,,,,,5630840379,41,Injury,5630840481,233,27,5630840381,53,4fkb8m4vdcyn1iwck0ukhofmc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797299753,27,27,1,1,36,8q6cv8g4bd3xdl7m88kll16na,1,0.0,0.0,2025-04-06T15:02:45.178Z,2025-04-06T15:03:01Z,,,,,5630840461,53,2d9k8p22131is7op7vcn0arbp,5630840499,233,18,5630840459,41,Injury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797300099,19,43,1,2,2,doohk95o6e8pkqah8vkop51dg,1,0.0,0.0,2025-04-06T15:03:11.058Z,2025-04-06T15:05:11Z,,,,,5630852007,144,28,5630842283,55,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797302013,21,28,1,4,6,doohk95o6e8pkqah8vkop51dg,1,0.0,0.0,2025-04-06T15:05:14.608Z,2025-04-06T15:05:19Z,,,,,5630852807,233,28,5630852453,55,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797302079,28,28,1,4,6,8q6cv8g4bd3xdl7m88kll16na,1,0.0,0.0,2025-04-06T15:05:14.608Z,2025-04-06T15:05:19Z,,,,,5630852791,55,27,5630852877,233,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797302429,30,43,1,4,25,8q6cv8g4bd3xdl7m88kll16na,1,0.0,0.0,2025-04-06T15:05:33.613Z,2025-04-06T18:00:14Z,,,,,5631730615,144,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797302503,22,43,1,4,25,doohk95o6e8pkqah8vkop51dg,1,0.0,0.0,2025-04-06T15:05:33.920Z,2025-04-06T18:00:12Z,,,,,5631730447,144,68,5630861419,189,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797302551,23,1,1,4,29,doohk95o6e8pkqah8vkop51dg,1,25.2,17.2,2025-04-06T15:05:37.466Z,2025-04-06T17:39:38Z,b4nxbfm6audv844unlocgbsgl,M. Koch,,,5630862615,140,25.5,5630862621,213,1.52,5631603679,5,,5630862613,56,Back,5630862619,212,6.1,5630862617,141,26.2,5631638965,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797302561,24,1,1,4,38,doohk95o6e8pkqah8vkop51dg,1,38.2,35.6,2025-04-06T15:05:46.767Z,2025-04-06T15:08:47Z,44t0ew97eyl8ww00sgusx00a2,A. Sher,,,5630873297,213,4.23,5630873293,141,24.6,5630873289,56,Back,5630873295,212,8.4,5630873291,140,34.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797302709,27,1,1,4,41,doohk95o6e8pkqah8vkop51dg,1,45.7,28.6,2025-04-06T15:05:49.400Z,2025-04-06T15:05:53Z,b4nxbfm6audv844unlocgbsgl,M. Koch,,,5630855935,141,6.6,5630855931,56,Right,5630855939,213,5.73,5630855933,140,68.8,5630855937,212,28.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797302757,28,1,1,4,45,doohk95o6e8pkqah8vkop51dg,1,74.0,4.8,2025-04-06T15:05:53.608Z,2025-04-06T15:05:55Z,4e7x4ulb3mcxgnue8c9exvazu,D. Karlsbakk,,,5630856141,212,9.0,5630856129,56,Right,5630856137,141,12.1,5630856133,140,66.8,5630856145,213,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797302803,29,1,1,4,47,doohk95o6e8pkqah8vkop51dg,0,63.5,12.9,2025-04-06T15:05:55.767Z,2025-04-06T15:05:59Z,b4nxbfm6audv844unlocgbsgl,M. Koch,,,5630856459,140,83.7,5630856453,155,,5630856457,56,Left,5630856467,1,,5630856463,212,50.7,5630856465,213,1.14,5630856461,141,80.7,5630856455,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797302807,31,12,1,4,50,8q6cv8g4bd3xdl7m88kll16na,1,21.4,23.4,2025-04-06T15:05:58.845Z,2025-04-06T15:06:04Z,rzfthr8qys67ormz869jrndg,H. Sjåtil,,,5630856491,212,16.0,5630856485,56,Back,5630856493,213,0.06,5630856503,15,,5630856489,141,24.7,5630856487,140,36.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797302871,30,1,1,4,52,doohk95o6e8pkqah8vkop51dg,1,70.7,76.8,2025-04-06T15:06:00.943Z,2025-04-06T15:06:03Z,58zj1aw2i5mfyzb3knj72xk6i,S. Christiansen,,,5630856841,213,0.81,5630856835,140,74.8,5630856837,141,83.4,5630856839,212,6.2,5630856833,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797302959,31,1,1,4,55,doohk95o6e8pkqah8vkop51dg,1,72.6,82.8,2025-04-06T15:06:03.631Z,2025-04-06T15:06:07Z,6wwk8y9mklkh8x606ynhe1lp0,S. Ørjasæter,,,5630857305,212,7.8,5630857299,56,Center,5630857301,140,67.2,5630857303,141,75.0,5630857307,213,3.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797302901,32,83,1,4,55,8q6cv8g4bd3xdl7m88kll16na,0,38.2,31.6,2025-04-06T15:06:04.053Z,2025-04-06T15:06:09Z,rzfthr8qys67ormz869jrndg,H. Sjåtil,,,5630857549,399,44t0ew97eyl8ww00sgusx00a2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797302993,32,1,1,4,58,doohk95o6e8pkqah8vkop51dg,1,64.9,72.7,2025-04-06T15:06:07.224Z,2025-04-06T15:06:09Z,44t0ew97eyl8ww00sgusx00a2,A. Sher,,,5630857463,141,88.6,5630857469,213,0.98,5630857467,212,13.0,5630857459,56,Left,5630857461,140,71.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797303129,33,1,1,5,0,doohk95o6e8pkqah8vkop51dg,1,70.2,85.3,2025-04-06T15:06:09.256Z,2025-04-06T15:06:18Z,6wwk8y9mklkh8x606ynhe1lp0,S. Ørjasæter,,,5630858335,141,74.1,5630858337,212,8.7,5630858339,213,4.20,5630858333,140,66.1,5630858331,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
