id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2794424675,8,44,1,0,9,bsykw9d70ffqe9atosc92n1e9,0,66.1,48.0,2025-03-31T20:09:01.619Z,2025-03-31T21:26:05Z,60xm53o64nszavcsgfu5xzjyt,S. Svendsen,,,5615039687,56,Center,5615039689,286,,5615039739,233,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794424677,5,1,1,0,9,8q6cv8g4bd3xdl7m88kll16na,0,30.6,46.9,2025-03-31T20:09:01.819Z,2025-03-31T20:09:02Z,bxafjt88zqj5wgvx5r71c6cid,H. Bjørdal,,,5615039695,140,30.8,5615039699,212,4.7,5615039701,213,4.76,5615039693,56,Back,5615039697,141,40.0,5615039691,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794424699,9,1,1,0,10,bsykw9d70ffqe9atosc92n1e9,1,64.0,44.9,2025-03-31T20:09:02.472Z,2025-03-31T21:23:16Z,60xm53o64nszavcsgfu5xzjyt,S. Svendsen,,,5615039857,140,59.8,5615039855,56,Center,5615039861,212,17.0,5615039863,213,1.83,5615039859,141,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794424717,10,1,1,0,14,bsykw9d70ffqe9atosc92n1e9,1,59.8,69.0,2025-03-31T20:09:06.264Z,2025-03-31T20:09:08Z,18paxu0ihqdu4kbd2ddi5z1t5,M. Roseth,,,5615039945,140,84.5,5615039949,212,26.3,5615039951,213,0.17,5615039943,56,Center,5615039947,141,75.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794424733,11,1,1,0,16,bsykw9d70ffqe9atosc92n1e9,1,83.3,77.2,2025-03-31T20:09:08.720Z,2025-03-31T21:23:19Z,60xm53o64nszavcsgfu5xzjyt,S. Svendsen,,,5615040035,56,Left,5615040039,141,93.0,5615040043,213,2.04,5615040041,212,12.1,5615040037,140,78.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794424743,12,1,1,0,19,bsykw9d70ffqe9atosc92n1e9,0,73.6,75.7,2025-03-31T20:09:11.680Z,2025-03-31T20:13:56Z,bnjysriuqd4qe0fmh2ld8yk2c,E. Austbø,,,5615040109,155,,5615040117,212,10.6,5615040115,141,62.1,5615040107,2,,5615040119,213,5.23,5615040111,56,Center,5615040113,140,78.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794424747,6,8,1,0,20,8q6cv8g4bd3xdl7m88kll16na,1,21.0,41.8,2025-03-31T20:09:12.739Z,2025-03-31T20:09:13Z,2rny9fva4m8awyltbc4ipftw4,F. Ambina,,,5615040125,15,,5615040121,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794424799,13,44,1,0,25,bsykw9d70ffqe9atosc92n1e9,1,86.8,34.8,2025-03-31T20:09:17.439Z,2025-03-31T21:26:05Z,5xgcwr8alrcay5f5pf22pfaxg,H. Mikaelsson,,,5615040407,56,Center,5615040467,233,7,5615040409,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794424803,7,44,1,0,25,8q6cv8g4bd3xdl7m88kll16na,0,13.2,65.2,2025-03-31T20:09:17.440Z,2025-03-31T21:26:05Z,c9a0owmk742hzaoxqlmxrruju,N. Pallas,,,5615040473,233,13,5615040437,285,,5615040431,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794424805,14,1,1,0,25,bsykw9d70ffqe9atosc92n1e9,0,90.5,44.8,2025-03-31T20:09:17.712Z,2025-03-31T20:13:54Z,5xgcwr8alrcay5f5pf22pfaxg,H. Mikaelsson,,,5615040457,141,39.2,5615040453,56,Center,5615040451,3,,5615040455,140,85.0,5615040459,212,6.9,5615040461,213,3.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794424821,8,12,1,0,27,8q6cv8g4bd3xdl7m88kll16na,1,14.4,72.7,2025-03-31T20:09:19.859Z,2025-03-31T20:09:21Z,9xxdec5pv5plas9ve4ehs4nop,E. Sørensen,,,5615040565,212,32.2,5615040559,56,Back,5615040561,140,38.9,5615040563,141,100.0,5615040619,167,,5615040567,213,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794424823,9,5,1,0,28,8q6cv8g4bd3xdl7m88kll16na,0,45.0,101.2,2025-03-31T20:09:20.941Z,2025-03-31T21:26:19Z,9xxdec5pv5plas9ve4ehs4nop,E. Sørensen,,,5615040577,347,,5615040575,56,Back,5615041575,233,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794424983,15,5,1,0,28,bsykw9d70ffqe9atosc92n1e9,1,55.0,-1.2,2025-03-31T20:09:20.941Z,2025-03-31T21:26:18Z,bjqtzq0xcvtmbn54orj7rn5xx,Z. Tripić,,,5615041553,56,Right,5615041571,233,9,5615041555,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794424987,16,1,1,0,54,bsykw9d70ffqe9atosc92n1e9,0,43.7,0.0,2025-03-31T20:09:46.200Z,2025-03-31T20:09:48Z,cqwjwlsum5q92s2k80w3temi2,H. Heggheim,,,5615041593,213,0.50,5615041591,212,27.6,5615041587,140,66.8,5615041595,1,,5615041589,141,18.2,5615041585,56,Right,5615041583,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794425029,10,1,1,0,57,8q6cv8g4bd3xdl7m88kll16na,1,26.2,86.2,2025-03-31T20:09:49.554Z,2025-03-31T20:09:53Z,c9a0owmk742hzaoxqlmxrruju,N. Pallas,,,5615041849,141,89.1,5615041845,56,Back,5615041843,3,,5615041851,212,13.5,5615041853,213,2.99,5615041847,140,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794425047,12,1,1,1,1,8q6cv8g4bd3xdl7m88kll16na,1,11.4,88.5,2025-03-31T20:09:53.429Z,2025-03-31T20:09:55Z,3ga4zm8ifo0ohz7xe03jxswkp,S. Jarl,,,5615041957,140,4.0,5615041961,212,20.5,5615041963,213,4.32,5615041959,141,60.6,5615041955,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794425067,13,1,1,1,2,8q6cv8g4bd3xdl7m88kll16na,0,4.2,60.8,2025-03-31T20:09:55.018Z,2025-03-31T20:09:59Z,b5kti1udidgdjke5raks6iezu,M. Sjøeng,,,5615042063,157,,5615042077,1,,5615042069,141,59.1,5615042065,56,Back,5615042067,140,40.7,5615042071,212,38.3,5615042073,213,6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794425071,17,44,1,1,6,bsykw9d70ffqe9atosc92n1e9,1,57.7,43.8,2025-03-31T20:09:58.440Z,2025-03-31T21:26:06Z,b2isr7ljn9jmt19iiweudegyy,H. Falchener,,,5615042097,56,Center,5615042099,286,,5615042215,233,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794425079,14,44,1,1,6,8q6cv8g4bd3xdl7m88kll16na,0,42.3,56.2,2025-03-31T20:09:58.441Z,2025-03-31T21:26:06Z,4krwgfspxdgpq1pli11b04iga,M. Brajanac,,,5615042139,56,Back,5615042141,285,,5615042229,233,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794425081,18,1,1,1,6,bsykw9d70ffqe9atosc92n1e9,0,55.0,48.7,2025-03-31T20:09:58.681Z,2025-03-31T20:09:59Z,b2isr7ljn9jmt19iiweudegyy,H. Falchener,,,5615042145,3,,5615042155,213,6.14,5615042149,140,64.2,5615042153,212,9.8,5615042151,141,46.7,5615042147,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794425097,15,1,1,1,8,8q6cv8g4bd3xdl7m88kll16na,0,35.3,63.6,2025-03-31T20:10:00.170Z,2025-03-31T20:10:00Z,bxafjt88zqj5wgvx5r71c6cid,H. Bjørdal,,,5615042235,56,Back,5615042239,141,52.2,5615042243,212,9.1,5615042245,213,5.27,5615042233,155,,5615042237,140,39.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794425115,19,1,1,1,8,bsykw9d70ffqe9atosc92n1e9,1,62.6,58.8,2025-03-31T20:10:00.981Z,2025-03-31T20:10:02Z,7ctsofo6904i5ysgpfh2sdv1m,C. Cappis,,,5615042347,140,67.7,5615042345,56,Center,5615042349,141,59.7,5615042353,213,0.11,5615042351,212,5.4,5615042343,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794425135,21,1,1,1,10,bsykw9d70ffqe9atosc92n1e9,1,67.7,59.7,2025-03-31T20:10:02.321Z,2025-03-31T21:23:23Z,60xm53o64nszavcsgfu5xzjyt,S. Svendsen,,,5615042435,140,75.5,5615042441,213,1.01,5615042439,212,15.5,5615042433,56,Left,5615042437,141,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794425145,22,1,1,1,11,bsykw9d70ffqe9atosc92n1e9,1,74.1,78.7,2025-03-31T20:10:03.632Z,2025-03-31T20:10:05Z,bnjysriuqd4qe0fmh2ld8yk2c,E. Austbø,,,5615042507,140,87.1,5615042505,56,Center,5615042509,141,72.0,5615042511,212,14.4,5615042513,213,5.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794425153,23,1,1,1,12,bsykw9d70ffqe9atosc92n1e9,0,87.4,72.0,2025-03-31T20:10:04.944Z,2025-03-31T20:10:14Z,bjqtzq0xcvtmbn54orj7rn5xx,Z. Tripić,,,5615042557,213,3.78,5615042547,56,Center,5615042905,168,,5615042549,140,82.0,5615042555,212,7.1,5615042553,141,65.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794425199,16,12,1,1,14,8q6cv8g4bd3xdl7m88kll16na,1,12.9,28.4,2025-03-31T20:10:06.723Z,2025-03-31T20:10:12Z,rzfthr8qys67ormz869jrndg,H. Sjåtil,,,5615042785,212,17.7,5615042779,56,Back,5615042787,213,0.53,5615042781,140,27.5,5615042783,141,41.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794425169,24,15,1,1,15,bsykw9d70ffqe9atosc92n1e9,1,72.8,54.0,2025-03-31T20:10:08.080Z,2025-03-31T21:14:59Z,3h8jot3v5xxuwzukt6n15jwlx,J. Bell,,,5615042643,56,Center,5615042639,22,,5615043241,458,,5615043245,147,50,5615043233,102,46.1,5615042641,18,,5615043119,72,,5615043237,215,,5615043235,103,7.0,5615043243,146,98.5,5615043239,328,5615043231,80,5615043283,233,17,,,,,,,,,,,,,,,,
2794425213,17,10,1,1,16,8q6cv8g4bd3xdl7m88kll16na,1,1.2,54.3,2025-03-31T20:10:08.180Z,2025-03-31T20:10:46Z,b5kti1udidgdjke5raks6iezu,M. Sjøeng,,,5615043287,233,24,5615042817,182,,5615042961,177,,5615042963,180,,5615042819,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794425347,19,1,1,1,38,8q6cv8g4bd3xdl7m88kll16na,0,15.6,49.0,2025-03-31T20:10:30.868Z,2025-03-31T20:10:35Z,b5kti1udidgdjke5raks6iezu,M. Sjøeng,,,5615043645,140,60.6,5615043649,212,48.2,5615043653,1,,5615043651,213,0.20,5615043643,56,Center,5615043641,199,,5615043647,141,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794425491,27,44,1,1,42,bsykw9d70ffqe9atosc92n1e9,1,39.6,36.8,2025-03-31T20:10:34.449Z,2025-03-31T20:10:57Z,rqzgkxjy310eosvc4w7red49,A. Bærtelsen,,,5615044487,285,,5615044523,233,20,5615044485,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794425351,20,44,1,1,42,8q6cv8g4bd3xdl7m88kll16na,0,60.4,63.2,2025-03-31T20:10:34.450Z,2025-03-31T20:10:57Z,4krwgfspxdgpq1pli11b04iga,M. Brajanac,,,5615044569,233,27,5615043667,286,,5615043665,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794425363,25,1,1,1,43,bsykw9d70ffqe9atosc92n1e9,0,34.9,31.6,2025-03-31T20:10:35.360Z,2025-03-31T20:10:51Z,rqzgkxjy310eosvc4w7red49,A. Bærtelsen,,,5615043729,212,9.8,5615043719,3,,5615043731,213,0.53,5615043725,140,43.0,5615043723,56,Back,5615043727,141,38.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794425377,26,4,1,1,43,bsykw9d70ffqe9atosc92n1e9,1,45.0,46.4,2025-03-31T20:10:35.915Z,2025-03-31T21:25:56Z,60xm53o64nszavcsgfu5xzjyt,S. Svendsen,,,5615043917,56,Back,5615043947,233,21,5615043921,286,,5615043913,13,,5615043915,264,,5615043919,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794425359,21,4,1,1,43,8q6cv8g4bd3xdl7m88kll16na,0,55.0,53.6,2025-03-31T20:10:35.916Z,2025-03-31T21:25:57Z,2rny9fva4m8awyltbc4ipftw4,F. Ambina,,,5615043929,285,,5615043967,233,26,5615043925,264,,5615043927,152,,5615043923,13,,5615043711,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794425651,28,1,1,2,26,bsykw9d70ffqe9atosc92n1e9,1,44.4,46.9,2025-03-31T20:11:18.186Z,2025-03-31T20:11:20Z,3h8jot3v5xxuwzukt6n15jwlx,J. Bell,,,5615045471,5,,5615045473,152,,5615045479,141,30.7,5615045475,56,Back,5615045481,212,11.0,5615045483,213,4.66,5615045477,140,43.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794425663,29,1,1,2,27,bsykw9d70ffqe9atosc92n1e9,1,43.9,33.1,2025-03-31T20:11:20.048Z,2025-03-31T20:12:14Z,rqzgkxjy310eosvc4w7red49,A. Bærtelsen,,,5615045525,213,1.36,5615045519,140,46.2,5615045523,212,11.5,5615045521,141,49.7,5615045517,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794425703,30,1,1,2,29,bsykw9d70ffqe9atosc92n1e9,1,55.5,51.3,2025-03-31T20:11:21.336Z,2025-03-31T20:11:24Z,3h8jot3v5xxuwzukt6n15jwlx,J. Bell,,,5615045669,213,1.74,5615045665,141,76.3,5615045661,56,Center,5615045667,212,17.2,5615045663,140,52.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794425711,31,1,1,2,31,bsykw9d70ffqe9atosc92n1e9,1,52.5,76.3,2025-03-31T20:11:23.992Z,2025-03-31T20:14:41Z,18paxu0ihqdu4kbd2ddi5z1t5,M. Roseth,,,5615045697,56,Back,5615045705,213,3.92,5615045699,140,41.4,5615045703,212,16.4,5615045701,141,59.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794425737,32,1,1,2,34,bsykw9d70ffqe9atosc92n1e9,1,41.1,60.0,2025-03-31T20:11:26.808Z,2025-03-31T20:11:29Z,b2isr7ljn9jmt19iiweudegyy,H. Falchener,,,5615045869,212,14.1,5615045865,140,43.9,5615045863,56,Back,5615045867,141,39.7,5615045871,213,4.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794425761,33,1,1,2,36,bsykw9d70ffqe9atosc92n1e9,0,52.2,26.4,2025-03-31T20:11:28.905Z,2025-03-31T20:11:31Z,rqzgkxjy310eosvc4w7red49,A. Bærtelsen,,,5615046011,213,0.71,5615046013,1,,5615046007,141,69.6,5615046005,140,84.6,5615046009,212,44.9,5615046001,155,,5615046003,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794425773,22,12,1,2,40,8q6cv8g4bd3xdl7m88kll16na,1,18.0,24.3,2025-03-31T20:11:32.154Z,2025-03-31T20:11:33Z,rzfthr8qys67ormz869jrndg,H. Sjåtil,,,5615046073,213,6.06,5615046071,212,15.1,5615046067,140,32.0,5615046083,15,,5615046065,56,Back,5615046069,141,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794425807,23,1,1,2,41,8q6cv8g4bd3xdl7m88kll16na,1,31.9,18.9,2025-03-31T20:11:33.242Z,2025-03-31T20:11:38Z,d5jihfuxjuw51jgt6k4zhmrmy,M. Riisnæs,,,5615046311,141,38.6,5615046313,212,13.5,5615046307,56,Back,5615046315,213,1.69,5615046309,140,30.4,5615046305,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794425835,25,1,1,2,46,8q6cv8g4bd3xdl7m88kll16na,1,30.4,38.6,2025-03-31T20:11:38.562Z,2025-03-31T20:11:41Z,bxafjt88zqj5wgvx5r71c6cid,H. Bjørdal,,,5615046455,56,Back,5615046463,213,0.45,5615046461,212,19.5,5615046459,141,51.0,5615046453,155,,5615046457,140,47.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794425841,26,1,1,2,48,8q6cv8g4bd3xdl7m88kll16na,0,55.4,48.3,2025-03-31T20:11:40.520Z,2025-03-31T20:12:21Z,1w8gujxthv0lfjrn98paa1uga,C. Lange,,,5615046489,140,57.1,5615046517,286,,5615046493,212,2.5,5615046491,141,45.7,5615046487,56,Center,5615046511,236,,5615046513,233,34,5615046495,213,5.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794425827,34,74,1,2,48,bsykw9d70ffqe9atosc92n1e9,1,48.4,52.1,2025-03-31T20:11:40.521Z,2025-03-31T20:17:01Z,rqzgkxjy310eosvc4w7red49,A. Bærtelsen,,,5615046521,233,26,5615046417,285,,5615046413,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794425847,35,1,1,2,49,bsykw9d70ffqe9atosc92n1e9,1,48.4,52.1,2025-03-31T20:11:41.384Z,2025-03-31T20:12:06Z,b2isr7ljn9jmt19iiweudegyy,H. Falchener,,,5615046537,141,45.2,5615046533,56,Back,5615046541,213,4.56,5615046539,212,4.7,5615046535,140,47.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794425853,36,61,1,2,50,bsykw9d70ffqe9atosc92n1e9,1,47.2,45.1,2025-03-31T20:11:42.778Z,2025-03-31T20:11:43Z,bjqtzq0xcvtmbn54orj7rn5xx,Z. Tripić,,,5615046557,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
