id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/13/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId
2820717959,8,44,1,0,15,c7jgkxx1czv5etn7snf1r6p2m,0,70.2,50.2,2025-06-01T15:01:15.072Z,2025-06-01T15:07:01Z,bapdoe78rj82j550otb5zemwa,N. Holm,,5760317077,56,Center,5760317119,233,3,5760317083,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820717975,4,1,1,0,16,4q0b35m26thti4c2on9a3npk0,1,29.7,60.0,2025-06-01T15:01:15.415Z,2025-06-01T15:58:40Z,67nybn375tyqdqae4m1yk407o,M. Tønnessen,,5760317185,213,1.45,5760317177,141,83.5,5760317173,140,31.6,5760317169,56,Back,5760317167,3,,5760317181,212,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820717993,6,1,1,0,19,4q0b35m26thti4c2on9a3npk0,0,31.0,89.4,2025-06-01T15:01:18.678Z,2025-06-01T15:58:57Z,58ufmirzy800nq7gucsiz3hg4,J. Hjorth,,5760317255,56,Left,5760317259,141,81.5,5760317257,140,68.9,5760317265,1,,5760317261,212,40.2,5760317263,213,6.15,5760425647,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718003,9,12,1,0,22,c7jgkxx1czv5etn7snf1r6p2m,1,26.8,11.9,2025-06-01T15:01:21.910Z,2025-06-01T15:01:22Z,a0dyuysg0p6ekvy4qkkfkwnvt,L. Račić,,5760317329,15,,5760317323,213,5.77,5760317319,141,2.9,5760317315,56,Back,5760317317,140,37.1,5760317321,212,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718045,7,1,1,0,24,4q0b35m26thti4c2on9a3npk0,1,63.0,90.5,2025-06-01T15:01:23.783Z,2025-06-01T15:01:28Z,3iolpwrv18gtlyse7ih3nt91w,B. Kristensen,,5760317553,56,Left,5760317561,213,6.11,5760317555,140,73.3,5760317559,212,11.0,5760317557,141,87.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718041,10,83,1,0,28,c7jgkxx1czv5etn7snf1r6p2m,0,21.9,7.3,2025-06-01T15:01:28.079Z,2025-06-01T15:02:08Z,9hg60gdc7h6dwo1qi4c7pc9nt,E. Reitan,,5760317635,399,etz2bmorno30rw9efxkc0ufo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718049,8,1,1,0,29,4q0b35m26thti4c2on9a3npk0,1,73.1,89.6,2025-06-01T15:01:28.678Z,2025-06-01T15:01:29Z,etz2bmorno30rw9efxkc0ufo,O. Okeke,,5760317593,213,2.65,5760317591,212,7.8,5760317585,56,Left,5760317589,141,95.0,5760317587,140,66.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718067,9,1,1,0,30,4q0b35m26thti4c2on9a3npk0,1,66.6,95.0,2025-06-01T15:01:29.686Z,2025-06-01T15:01:32Z,58ufmirzy800nq7gucsiz3hg4,J. Hjorth,,5760317707,212,10.1,5760317705,141,85.0,5760317709,213,3.88,5760317701,56,Left,5760317703,140,59.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718079,10,1,1,0,32,4q0b35m26thti4c2on9a3npk0,1,58.9,84.4,2025-06-01T15:01:31.998Z,2025-06-01T15:01:35Z,67nybn375tyqdqae4m1yk407o,M. Tønnessen,,5760317793,213,4.55,5760317791,212,33.7,5760317795,1,,5760317785,56,Center,5760317789,141,35.5,5760317787,140,53.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718097,11,1,1,0,36,4q0b35m26thti4c2on9a3npk0,1,53.5,33.9,2025-06-01T15:01:35.750Z,2025-06-01T15:01:39Z,1pobxn4eg4l8phk4ug0t56t7u,A. Aleesami,,5760317909,140,64.8,5760317911,141,6.1,5760317913,212,22.3,5760317907,56,Right,5760317915,213,5.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718109,12,1,1,0,39,4q0b35m26thti4c2on9a3npk0,1,65.7,6.4,2025-06-01T15:01:38.927Z,2025-06-01T15:01:41Z,2dgff1agcaa5ohb0f4wn64ay2,H. Hoseth,,5760317965,212,12.8,5760317967,213,2.49,5760317959,56,Right,5760317963,141,17.9,5760317961,140,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718125,13,1,1,0,41,4q0b35m26thti4c2on9a3npk0,1,55.4,18.2,2025-06-01T15:01:41.287Z,2025-06-01T15:01:45Z,1pobxn4eg4l8phk4ug0t56t7u,A. Aleesami,,5760318053,141,38.6,5760318051,140,44.3,5760318055,212,18.1,5760318049,56,Back,5760318057,213,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718129,14,1,1,0,45,4q0b35m26thti4c2on9a3npk0,1,43.7,41.3,2025-06-01T15:01:44.855Z,2025-06-01T15:01:47Z,5u4eoypx0tb3t0brk2dv8sm0a,F. Berglie,,5760318097,140,45.9,5760318101,212,9.0,5760318103,213,4.97,5760318099,141,28.5,5760318095,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718147,15,1,1,0,47,4q0b35m26thti4c2on9a3npk0,1,45.8,25.0,2025-06-01T15:01:47.303Z,2025-06-01T15:01:49Z,1pobxn4eg4l8phk4ug0t56t7u,A. Aleesami,,5760318213,213,5.49,5760318211,212,20.2,5760318207,140,59.3,5760318205,56,Right,5760318209,141,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718161,16,1,1,0,49,4q0b35m26thti4c2on9a3npk0,1,59.4,5.5,2025-06-01T15:01:49.207Z,2025-06-01T15:01:52Z,2dgff1agcaa5ohb0f4wn64ay2,H. Hoseth,,5760318301,141,17.4,5760318303,212,15.8,5760318299,140,46.5,5760318305,213,2.60,5760318297,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718173,17,1,1,0,52,4q0b35m26thti4c2on9a3npk0,1,43.2,21.3,2025-06-01T15:01:52.287Z,2025-06-01T15:01:55Z,1pobxn4eg4l8phk4ug0t56t7u,A. Aleesami,,5760318361,212,16.5,5760318363,213,2.08,5760318357,140,35.6,5760318359,141,42.5,5760318355,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718195,18,1,1,0,55,4q0b35m26thti4c2on9a3npk0,1,34.7,44.6,2025-06-01T15:01:55.359Z,2025-06-01T15:01:59Z,5u4eoypx0tb3t0brk2dv8sm0a,F. Berglie,,5760318479,56,Back,5760318487,213,5.11,5760318483,141,24.6,5760318481,140,40.2,5760318485,212,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718223,19,1,1,0,59,4q0b35m26thti4c2on9a3npk0,1,41.9,23.7,2025-06-01T15:01:59.279Z,2025-06-01T15:02:03Z,1pobxn4eg4l8phk4ug0t56t7u,A. Aleesami,,5760318623,56,Back,5760318629,212,8.5,5760318625,140,36.1,5760318631,213,2.37,5760318627,141,32.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718241,20,1,1,1,3,4q0b35m26thti4c2on9a3npk0,1,36.0,34.2,2025-06-01T15:02:03.055Z,2025-06-01T15:02:07Z,5u4eoypx0tb3t0brk2dv8sm0a,F. Berglie,,5760318735,212,11.5,5760318737,213,5.11,5760318733,141,18.6,5760318729,56,Back,5760318731,140,40.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718263,21,1,1,1,8,4q0b35m26thti4c2on9a3npk0,1,41.1,20.1,2025-06-01T15:02:07.447Z,2025-06-01T15:02:11Z,1pobxn4eg4l8phk4ug0t56t7u,A. Aleesami,,5760318865,140,33.9,5760318869,212,11.4,5760318871,213,2.29,5760318863,56,Back,5760318867,141,32.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718277,22,1,1,1,11,4q0b35m26thti4c2on9a3npk0,1,32.8,35.8,2025-06-01T15:02:11.351Z,2025-06-01T15:02:14Z,5u4eoypx0tb3t0brk2dv8sm0a,F. Berglie,,5760318963,212,20.5,5760318961,141,66.0,5760318965,213,1.57,5760318957,56,Back,5760318959,140,32.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718295,23,1,1,1,14,4q0b35m26thti4c2on9a3npk0,1,34.2,71.2,2025-06-01T15:02:14.007Z,2025-06-01T15:02:17Z,67nybn375tyqdqae4m1yk407o,M. Tønnessen,,5760319067,141,55.1,5760319063,56,Back,5760319065,140,32.2,5760319069,212,11.1,5760319071,213,4.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718311,24,1,1,1,18,4q0b35m26thti4c2on9a3npk0,1,31.5,54.8,2025-06-01T15:02:17.663Z,2025-06-01T15:02:20Z,5u4eoypx0tb3t0brk2dv8sm0a,F. Berglie,,5760319169,213,5.06,5760319165,141,23.6,5760319161,56,Back,5760319163,140,38.8,5760319167,212,22.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718333,25,1,1,1,21,4q0b35m26thti4c2on9a3npk0,1,38.2,23.1,2025-06-01T15:02:20.768Z,2025-06-01T15:02:23Z,1pobxn4eg4l8phk4ug0t56t7u,A. Aleesami,,5760319299,140,46.6,5760319297,56,Back,5760319305,213,5.35,5760319301,141,5.5,5760319303,212,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718355,26,1,1,1,24,4q0b35m26thti4c2on9a3npk0,1,46.2,5.5,2025-06-01T15:02:23.551Z,2025-06-01T15:02:27Z,2dgff1agcaa5ohb0f4wn64ay2,H. Hoseth,,5760319441,212,11.8,5760319439,141,16.8,5760319435,56,Back,5760319443,213,2.43,5760319437,140,37.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718363,27,1,1,1,27,4q0b35m26thti4c2on9a3npk0,1,36.3,17.0,2025-06-01T15:02:26.856Z,2025-06-01T15:02:28Z,1pobxn4eg4l8phk4ug0t56t7u,A. Aleesami,,5760319485,212,7.1,5760319483,141,8.2,5760319481,140,40.0,5760319479,56,Back,5760319487,213,5.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718385,28,1,1,1,29,4q0b35m26thti4c2on9a3npk0,1,38.4,7.9,2025-06-01T15:02:28.591Z,2025-06-01T15:02:31Z,2dgff1agcaa5ohb0f4wn64ay2,H. Hoseth,,5760319599,213,2.35,5760319595,141,18.3,5760319597,212,10.0,5760319593,140,31.7,5760319591,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718443,29,1,1,1,32,4q0b35m26thti4c2on9a3npk0,1,31.0,17.9,2025-06-01T15:02:31.623Z,2025-06-01T15:02:41Z,1pobxn4eg4l8phk4ug0t56t7u,A. Aleesami,,5760319879,140,10.5,5760319889,213,2.37,5760319875,56,Back,5760319885,212,30.0,5760319881,141,48.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718463,30,1,1,1,42,4q0b35m26thti4c2on9a3npk0,0,15.7,49.6,2025-06-01T15:02:41.439Z,2025-06-01T15:02:46Z,7f0drwvw3zquh352luxegqtpl,E. Ødegaard,,5760320009,141,22.5,5760320005,56,Center,5760320003,157,,5760320007,140,66.0,5760320015,1,,5760320011,212,55.9,5760320013,213,5.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718475,11,44,1,1,44,c7jgkxx1czv5etn7snf1r6p2m,1,32.4,78.7,2025-06-01T15:02:44.059Z,2025-06-01T17:00:10Z,2u8ylwu9kogk0jorpe517812i,A. Pereira,,5760320093,233,31,5760320077,56,Back,5760320079,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718467,31,44,1,1,44,4q0b35m26thti4c2on9a3npk0,0,67.6,21.3,2025-06-01T15:02:44.060Z,2025-06-01T17:00:11Z,dvrvgq5j49kb9vfergmluyxyi,D. Hickson,,5760320031,56,Center,5760320033,286,,5760320109,233,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718993,28,1,1,1,45,c7jgkxx1czv5etn7snf1r6p2m,0,25.8,81.6,2025-06-01T15:02:44.819Z,2025-06-01T15:05:19Z,2u8ylwu9kogk0jorpe517812i,A. Pereira,,5760324937,140,28.3,5760324939,141,77.3,5760324941,212,3.9,5760324935,56,Back,5760324943,213,5.44,5760324933,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820719033,52,61,1,1,46,4q0b35m26thti4c2on9a3npk0,1,73.4,16.6,2025-06-01T15:02:45.705Z,2025-06-01T15:05:37Z,dvrvgq5j49kb9vfergmluyxyi,D. Hickson,,5760325345,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718491,13,1,1,1,46,c7jgkxx1czv5etn7snf1r6p2m,1,26.6,80.5,2025-06-01T15:02:46.003Z,2025-06-01T15:02:48Z,2u8ylwu9kogk0jorpe517812i,A. Pereira,,5760320145,212,27.3,5760320147,213,3.74,5760320143,141,57.8,5760320141,140,5.2,5760320139,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718479,32,43,1,1,47,4q0b35m26thti4c2on9a3npk0,1,0.0,0.0,2025-06-01T15:02:46.540Z,2025-06-01T15:08:49Z,dvrvgq5j49kb9vfergmluyxyi,D. Hickson,,5760332633,144,61,5760320081,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718501,14,1,1,1,49,c7jgkxx1czv5etn7snf1r6p2m,1,5.1,55.1,2025-06-01T15:02:48.751Z,2025-06-01T15:02:51Z,bwzftrovpa0418aapl98og7l6,S. Tangvik,,5760320205,141,66.6,5760320209,213,0.38,5760320201,56,Back,5760320203,140,23.6,5760320207,212,20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718531,15,1,1,1,51,c7jgkxx1czv5etn7snf1r6p2m,1,26.8,66.9,2025-06-01T15:02:51.343Z,2025-06-01T15:02:55Z,544reefy86rc8827sl3xh3oph,O. Selnæs,,5760320351,56,Back,5760320353,140,40.2,5760320357,212,14.4,5760320359,213,6.08,5760320355,141,62.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718535,16,61,1,1,56,c7jgkxx1czv5etn7snf1r6p2m,0,52.5,53.9,2025-06-01T15:02:55.535Z,2025-06-01T15:02:56Z,8cjgce68a2vla1ebamgac4nx0,M. Broholm,,5760320375,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718569,34,1,1,1,58,4q0b35m26thti4c2on9a3npk0,1,40.8,64.5,2025-06-01T15:02:58.055Z,2025-06-01T15:03:00Z,euc11yjkfscwt6xsiitlorz10,S. Sandal,,5760320543,213,2.64,5760320535,140,32.6,5760320539,141,71.4,5760320541,212,9.8,5760320531,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718573,35,1,1,2,0,4q0b35m26thti4c2on9a3npk0,1,32.6,71.4,2025-06-01T15:02:59.816Z,2025-06-01T15:03:01Z,67nybn375tyqdqae4m1yk407o,M. Tønnessen,,5760320587,213,5.26,5760320579,56,Back,5760320581,140,38.0,5760320583,141,57.8,5760320585,212,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718579,36,1,1,2,1,4q0b35m26thti4c2on9a3npk0,1,38.0,57.8,2025-06-01T15:03:00.919Z,2025-06-01T15:58:16Z,c1jlypnkt4c9y9vdnjkvxa85x,R. Rasch,,5760320623,213,2.09,5760320617,141,78.2,5760320621,212,16.0,5760320613,140,30.5,5760320611,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718611,37,1,1,2,6,4q0b35m26thti4c2on9a3npk0,1,26.0,88.9,2025-06-01T15:03:06.048Z,2025-06-01T15:03:08Z,58ufmirzy800nq7gucsiz3hg4,J. Hjorth,,5760320817,213,4.33,5760320809,56,Back,5760320815,212,10.8,5760320811,140,22.2,5760320813,141,74.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718633,38,1,1,2,8,4q0b35m26thti4c2on9a3npk0,1,22.2,74.2,2025-06-01T15:03:07.807Z,2025-06-01T15:03:10Z,67nybn375tyqdqae4m1yk407o,M. Tønnessen,,5760320917,141,46.0,5760320923,213,4.08,5760320919,212,23.8,5760320915,140,8.8,5760320913,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718637,39,1,1,2,11,4q0b35m26thti4c2on9a3npk0,1,8.8,46.0,2025-06-01T15:03:10.591Z,2025-06-01T15:03:12Z,7f0drwvw3zquh352luxegqtpl,E. Ødegaard,,5760320967,213,5.42,5760320959,56,Back,5760320961,140,25.7,5760320963,141,15.5,5760320979,189,,5760320965,212,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718651,40,1,1,2,14,4q0b35m26thti4c2on9a3npk0,1,27.9,15.9,2025-06-01T15:03:13.480Z,2025-06-01T15:03:15Z,1pobxn4eg4l8phk4ug0t56t7u,A. Aleesami,,5760321009,140,34.0,5760321013,212,8.3,5760321011,141,8.2,5760321015,213,5.60,5760321007,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
