id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/13/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2815273103,4,4,1,0,11,bsykw9d70ffqe9atosc92n1e9,0,41.8,10.2,2025-05-16T16:02:44.935Z,2025-05-16T18:15:48Z,cqwjwlsum5q92s2k80w3temi2,H. Heggheim,,,5730118417,265,,5730118453,233,7,5730118413,56,Back,5730118419,285,,5730118411,13,,5730118415,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815273123,8,1,1,0,17,btaf9fuj3xctycyjeqwereaow,1,56.1,86.2,2025-05-16T16:02:50.542Z,2025-05-16T16:02:53Z,6wygyy5z5i0okllr83e9ej8ph,F. Ottosson,,,5730118539,5,,5730118547,141,71.4,5730118549,212,25.7,5730118543,56,Back,5730118551,213,3.54,5730118541,152,,5730118545,140,33.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815273139,9,1,1,0,19,btaf9fuj3xctycyjeqwereaow,1,33.6,71.4,2025-05-16T16:02:52.822Z,2025-05-16T16:02:55Z,865wj533fx1l6pf8jd40uya6s,S. Kristiansen,,,5730118685,141,45.4,5730118687,212,17.7,5730118681,56,Back,5730118689,213,4.69,5730118683,140,33.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815273177,10,1,1,0,22,btaf9fuj3xctycyjeqwereaow,1,33.6,39.8,2025-05-16T16:02:55.606Z,2025-05-16T16:02:59Z,7zy4bzry9weswip0jogur6fbo,Z. Smajlović,,,5730118905,155,,5730118917,1,,5730118909,140,67.3,5730118907,56,Right,5730118913,212,41.5,5730118911,141,8.0,5730118915,213,5.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815273201,11,1,1,0,26,btaf9fuj3xctycyjeqwereaow,1,66.5,10.7,2025-05-16T16:02:59.510Z,2025-05-16T16:03:02Z,8g5ms6uacdkgfcbxt4crlr4ve,E. Patoulidis,,,5730119007,56,Center,5730119013,212,13.3,5730119015,213,0.57,5730119009,140,77.2,5730119011,141,21.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815273207,12,61,1,0,28,btaf9fuj3xctycyjeqwereaow,0,78.6,23.1,2025-05-16T16:03:02.094Z,2025-05-16T16:03:02Z,3g0xd9rds9relghxanr1f5vc9,S. Sigurðarson,,,5730119031,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815273223,6,1,1,0,29,bsykw9d70ffqe9atosc92n1e9,1,17.1,62.7,2025-05-16T16:03:03.246Z,2025-05-16T16:03:05Z,3h8jot3v5xxuwzukt6n15jwlx,J. Bell,,,5730119087,56,Back,5730119093,212,13.4,5730119091,141,49.9,5730119095,213,3.85,5730119089,140,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815273243,7,1,1,0,31,bsykw9d70ffqe9atosc92n1e9,1,7.0,48.7,2025-05-16T16:03:05.062Z,2025-05-16T16:04:13Z,9trvbmdwo8fkndwjz9mr1bfmx,K. Klaesson,,,5730119193,140,38.3,5730119205,1,,5730119191,56,Back,5730119201,213,0.16,5730119195,141,56.4,5730119197,212,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815273245,8,61,1,0,34,bsykw9d70ffqe9atosc92n1e9,0,39.0,57.3,2025-05-16T16:03:08.293Z,2025-05-16T16:06:21Z,djxtqxvqxd70prbr1gkwjp3sa,P. Christiansen,,,5730119215,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815273269,9,1,1,0,37,bsykw9d70ffqe9atosc92n1e9,0,35.7,55.2,2025-05-16T16:03:10.517Z,2025-05-16T16:03:23Z,rqzgkxjy310eosvc4w7red49,A. Bærtelsen,,,5730119701,286,,5730119339,140,36.5,5730119695,236,,5730119685,1,,5730119343,212,1.3,5730119697,233,13,5730119683,157,,5730119345,213,0.88,5730119337,56,Back,5730119341,141,56.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815273257,13,74,1,0,37,btaf9fuj3xctycyjeqwereaow,1,70.5,35.2,2025-05-16T16:03:10.518Z,2025-05-16T16:03:13Z,865wj533fx1l6pf8jd40uya6s,S. Kristiansen,,,5730119369,233,9,5730119253,285,,5730119249,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815273405,11,1,1,0,56,bsykw9d70ffqe9atosc92n1e9,1,11.7,44.2,2025-05-16T16:03:29.918Z,2025-05-16T16:03:31Z,9trvbmdwo8fkndwjz9mr1bfmx,K. Klaesson,,,5730120053,56,Back,5730120059,212,12.0,5730120055,140,19.8,5730120051,123,,5730120057,141,31.8,5730120061,213,5.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815273431,12,1,1,0,57,bsykw9d70ffqe9atosc92n1e9,1,19.8,31.8,2025-05-16T16:03:31.014Z,2025-05-16T16:03:34Z,rqzgkxjy310eosvc4w7red49,A. Bærtelsen,,,5730120217,212,13.1,5730120211,56,Back,5730120215,141,44.9,5730120219,213,2.40,5730120213,140,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815273451,13,1,1,1,1,bsykw9d70ffqe9atosc92n1e9,1,11.5,59.0,2025-05-16T16:03:34.709Z,2025-05-16T16:03:37Z,9trvbmdwo8fkndwjz9mr1bfmx,K. Klaesson,,,5730120367,212,54.2,5730120359,155,,5730120361,56,Center,5730120365,141,64.3,5730120371,1,,5730120363,140,63.0,5730120369,213,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815273459,14,1,1,1,3,bsykw9d70ffqe9atosc92n1e9,0,61.0,64.9,2025-05-16T16:03:37.302Z,2025-05-16T16:03:38Z,djxtqxvqxd70prbr1gkwjp3sa,P. Christiansen,,,5730120417,141,81.1,5730120421,213,1.99,5730120409,3,,5730120415,140,56.3,5730120413,56,Left,5730120419,212,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815273471,14,61,1,1,5,btaf9fuj3xctycyjeqwereaow,0,42.2,16.5,2025-05-16T16:03:38.781Z,2025-05-16T16:07:08Z,8g5ms6uacdkgfcbxt4crlr4ve,E. Patoulidis,,,5730120477,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815274941,46,61,1,1,5,btaf9fuj3xctycyjeqwereaow,1,33.6,37.9,2025-05-16T16:03:39.171Z,2025-05-16T16:07:07Z,6wygyy5z5i0okllr83e9ej8ph,F. Ottosson,,,5730128621,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815273473,15,61,1,1,6,bsykw9d70ffqe9atosc92n1e9,0,61.5,71.4,2025-05-16T16:03:40.093Z,2025-05-16T16:05:15Z,bnjysriuqd4qe0fmh2ld8yk2c,E. Austbø,,,5730120483,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815273533,15,1,1,1,9,btaf9fuj3xctycyjeqwereaow,1,32.9,44.6,2025-05-16T16:03:42.677Z,2025-05-16T16:09:17Z,865wj533fx1l6pf8jd40uya6s,S. Kristiansen,,,5730120773,213,0.64,5730120765,56,Back,5730120767,140,36.3,5730120769,141,48.5,5730120771,212,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815273543,17,43,1,1,11,btaf9fuj3xctycyjeqwereaow,1,0.0,0.0,2025-05-16T16:03:44.733Z,2025-05-16T16:07:51Z,6hssnrvqsel6i5ca09p5730x6,M. Melchior,,,5730133009,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815273555,18,43,1,1,12,btaf9fuj3xctycyjeqwereaow,1,0.0,0.0,2025-05-16T16:03:46.101Z,2025-05-16T16:03:58Z,6hssnrvqsel6i5ca09p5730x6,M. Melchior,,,5730121593,144,56,5730120899,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815273599,19,1,1,1,13,btaf9fuj3xctycyjeqwereaow,1,36.3,48.7,2025-05-16T16:03:47.110Z,2025-05-16T16:03:50Z,6hssnrvqsel6i5ca09p5730x6,M. Melchior,,,5730121187,140,44.1,5730121185,56,Back,5730121193,213,0.94,5730121191,212,13.9,5730121189,141,65.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815273623,20,1,1,1,17,btaf9fuj3xctycyjeqwereaow,1,57.7,75.6,2025-05-16T16:03:50.717Z,2025-05-16T16:03:53Z,92xhspr6bl1jyhqru3tsbjvqi,C. Cheng,,,5730121347,141,78.1,5730121351,213,2.38,5730121345,140,56.0,5730121349,212,2.5,5730121343,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815273627,21,4,1,1,19,btaf9fuj3xctycyjeqwereaow,1,58.8,85.9,2025-05-16T16:03:52.997Z,2025-05-16T18:15:48Z,v3hnsgptqqi0ystvybqtpyzu,J. Dunsby,,,5730121375,286,,5730121371,152,,5730121369,56,Left,5730121471,233,16,5730121373,265,,5730121367,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815273629,16,4,1,1,19,bsykw9d70ffqe9atosc92n1e9,0,41.2,14.1,2025-05-16T16:03:52.998Z,2025-05-16T18:15:49Z,3h8jot3v5xxuwzukt6n15jwlx,J. Bell,,,5730121491,233,21,5730121427,56,Back,5730121433,285,,5730121425,13,,5730121431,265,,5730121429,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815273797,22,1,1,1,32,btaf9fuj3xctycyjeqwereaow,1,45.3,88.1,2025-05-16T16:04:05.973Z,2025-05-16T16:04:08Z,92xhspr6bl1jyhqru3tsbjvqi,C. Cheng,,,5730122163,189,,5730122133,152,,5730122139,141,74.4,5730122135,56,Back,5730122131,5,,5730122137,140,32.1,5730122141,212,16.7,5730122145,213,3.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815273807,23,1,1,1,34,btaf9fuj3xctycyjeqwereaow,1,32.1,74.4,2025-05-16T16:04:08.412Z,2025-05-16T16:04:09Z,865wj533fx1l6pf8jd40uya6s,S. Kristiansen,,,5730122197,56,Back,5730122201,141,40.1,5730122205,213,4.57,5730122199,140,29.0,5730122203,212,23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815273823,24,1,1,1,36,btaf9fuj3xctycyjeqwereaow,1,29.0,40.1,2025-05-16T16:04:09.590Z,2025-05-16T16:04:11Z,7zy4bzry9weswip0jogur6fbo,Z. Smajlović,,,5730122265,56,Back,5730122273,212,17.8,5730122271,141,64.6,5730122269,140,23.1,5730122275,213,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815273857,25,1,1,1,37,btaf9fuj3xctycyjeqwereaow,1,23.1,64.6,2025-05-16T16:04:10.942Z,2025-05-16T16:04:14Z,865wj533fx1l6pf8jd40uya6s,S. Kristiansen,,,5730122467,141,64.9,5730122465,140,22.9,5730122463,56,Back,5730122471,213,2.37,5730122469,212,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815273885,26,1,1,1,41,btaf9fuj3xctycyjeqwereaow,0,13.0,44.6,2025-05-16T16:04:14.709Z,2025-05-16T16:04:17Z,9l1jrghczcsus55hd9hx6gdzp,Elias Hadaya,,,5730122653,140,66.0,5730122649,157,,5730122659,213,6.02,5730122655,141,22.2,5730122651,56,Center,5730122657,212,57.7,5730122661,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815273919,17,1,1,1,44,bsykw9d70ffqe9atosc92n1e9,1,31.1,70.6,2025-05-16T16:04:17.654Z,2025-05-16T16:04:20Z,6ni1632pd1mkwbnjiglttoo2x,J. Urbančič,,,5730122833,213,0.47,5730122827,140,50.8,5730122831,212,23.2,5730122825,56,Left,5730122829,141,86.0,5730122823,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815273959,19,1,1,1,49,bsykw9d70ffqe9atosc92n1e9,0,71.7,85.0,2025-05-16T16:04:22.456Z,2025-05-16T16:04:24Z,bnjysriuqd4qe0fmh2ld8yk2c,E. Austbø,,,5730123007,141,73.5,5730123005,140,70.3,5730123011,213,4.53,5730123003,56,Center,5730123009,212,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815273963,27,8,1,1,50,btaf9fuj3xctycyjeqwereaow,1,36.0,20.6,2025-05-16T16:04:24.253Z,2025-05-16T19:35:15Z,dxmgpouxmhnss0ggxm6yqgo9,L. Mettler,,,5730123017,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815273985,29,1,1,1,52,btaf9fuj3xctycyjeqwereaow,1,30.6,14.7,2025-05-16T16:04:25.569Z,2025-05-16T16:04:26Z,6x3f721vjb8mxlp5ba3p1rb4k,F. Loftesnes-Bjune,,,5730123133,141,21.8,5730123137,213,2.63,5730123129,56,Back,5730123135,212,9.8,5730123131,140,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815274003,30,1,1,1,52,btaf9fuj3xctycyjeqwereaow,1,21.4,23.3,2025-05-16T16:04:26.404Z,2025-05-16T16:04:28Z,7zy4bzry9weswip0jogur6fbo,Z. Smajlović,,,5730123235,212,16.7,5730123237,213,2.24,5730123229,56,Back,5730123231,140,11.5,5730123233,141,42.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815274007,31,1,1,1,54,btaf9fuj3xctycyjeqwereaow,0,11.5,42.5,2025-05-16T16:04:28.356Z,2025-05-16T16:04:29Z,9l1jrghczcsus55hd9hx6gdzp,Elias Hadaya,,,5730123263,212,36.0,5730123259,140,30.9,5730123265,213,5.31,5730123267,1,,5730123261,141,0.0,5730123255,157,,5730123257,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815274069,20,5,1,1,55,bsykw9d70ffqe9atosc92n1e9,1,71.4,101.2,2025-05-16T16:04:29.057Z,2025-05-16T18:14:55Z,bnjysriuqd4qe0fmh2ld8yk2c,E. Austbø,,,5730123687,233,32,5730123679,347,,5730123677,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815274011,32,5,1,1,55,btaf9fuj3xctycyjeqwereaow,0,28.6,-1.2,2025-05-16T16:04:29.057Z,2025-05-16T18:14:55Z,9l1jrghczcsus55hd9hx6gdzp,Elias Hadaya,,,5730123271,56,Back,5730123705,233,20,5730123273,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815274087,21,1,1,2,7,bsykw9d70ffqe9atosc92n1e9,1,66.0,100.0,2025-05-16T16:04:41.054Z,2025-05-16T16:04:44Z,6ni1632pd1mkwbnjiglttoo2x,J. Urbančič,,,5730123791,1,,5730123787,212,33.1,5730123779,107,,5730123789,213,3.48,5730123783,140,36.3,5730123785,141,84.4,5730123781,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815274163,22,1,1,2,10,bsykw9d70ffqe9atosc92n1e9,1,33.8,76.4,2025-05-16T16:04:44.230Z,2025-05-16T16:04:53Z,b2isr7ljn9jmt19iiweudegyy,H. Falchener,,,5730124177,141,17.0,5730124183,1,,5730124181,213,4.92,5730124175,140,42.1,5730124171,155,,5730124179,212,41.3,5730124173,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815274179,23,1,1,2,19,bsykw9d70ffqe9atosc92n1e9,1,45.6,10.6,2025-05-16T16:04:53.029Z,2025-05-16T17:04:56Z,cqwjwlsum5q92s2k80w3temi2,H. Heggheim,,,5730124285,140,40.1,5730124283,56,Back,5730124287,141,15.6,5730124293,213,2.61,5730124291,212,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815274201,24,1,1,2,22,bsykw9d70ffqe9atosc92n1e9,0,45.1,13.5,2025-05-16T16:04:55.574Z,2025-05-16T16:06:13Z,rqzgkxjy310eosvc4w7red49,A. Bærtelsen,,,5730124429,1,,5730124423,141,20.9,5730124419,56,Right,5730124425,212,34.2,5730124427,213,0.15,5730124421,140,77.3,5730124417,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815274215,33,1,1,2,24,btaf9fuj3xctycyjeqwereaow,1,23.6,73.6,2025-05-16T16:04:58.124Z,2025-05-16T16:04:59Z,865wj533fx1l6pf8jd40uya6s,S. Kristiansen,,,5730124527,141,79.9,5730124531,213,0.99,5730124525,140,26.3,5730124521,3,,5730124523,56,Back,5730124529,212,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815274223,35,1,1,2,26,btaf9fuj3xctycyjeqwereaow,1,28.8,80.8,2025-05-16T16:04:59.575Z,2025-05-16T16:05:01Z,92xhspr6bl1jyhqru3tsbjvqi,C. Cheng,,,5730124565,212,10.1,5730124561,140,19.5,5730124563,141,84.7,5730124567,213,2.88,5730124589,156,,5730124559,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815274231,36,1,1,2,28,btaf9fuj3xctycyjeqwereaow,0,23.0,88.7,2025-05-16T16:05:02.315Z,2025-05-16T16:05:05Z,865wj533fx1l6pf8jd40uya6s,S. Kristiansen,,,5730124605,140,27.1,5730124603,56,Back,5730124609,212,4.3,5730124689,236,,5730124607,141,89.3,5730124691,233,25,5730124611,213,0.09,5730124695,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815274243,25,74,1,2,28,bsykw9d70ffqe9atosc92n1e9,1,66.7,8.2,2025-05-16T16:05:02.316Z,2025-05-16T18:16:22Z,60xm53o64nszavcsgfu5xzjyt,S. Svendsen,,,5730124709,233,36,5730124681,56,Right,5730124685,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
