id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/10/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value
2797142603,4,1,1,0,14,6oxoag5c6zbnn09wx08vz4iak,0,41.9,79.1,2025-04-06T12:32:05.198Z,2025-04-06T12:32:05Z,878hgn9q68ca8y0wmdih92h9l,N. Castro,,,5629986859,213,6.02,5629986853,140,58.3,5629986855,141,72.3,5629986851,56,Center,5629986849,3,,5629986857,212,17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797142679,9,1,1,0,15,80hgdmpkvdrhw1ge9nks2kxvy,0,35.3,25.6,2025-04-06T12:32:06.678Z,2025-04-06T14:39:27Z,1qeetk4waatuxev4mqvbxx87p,R. Jenssen,,,5629987227,3,,5629987237,212,12.5,5629987239,213,5.50,5629987233,141,12.6,5629987229,56,Back,5629987231,140,43.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797142669,5,3,1,0,17,6oxoag5c6zbnn09wx08vz4iak,0,54.7,85.7,2025-04-06T12:32:08.461Z,2025-04-06T14:40:13Z,195m3d6cnwm71j1d2rjo25sdl,F. Myhre,,,5629987191,286,,5629987189,56,Left,5629987359,233,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797142699,10,7,1,0,17,80hgdmpkvdrhw1ge9nks2kxvy,1,45.3,14.3,2025-04-06T12:32:08.462Z,2025-04-06T14:40:13Z,5mvddfxv6aqzohz87gopwl990,J. Hjertø-Dahl,,,5629987333,56,Back,5629987335,285,,5629987337,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797142715,11,50,1,0,19,80hgdmpkvdrhw1ge9nks2kxvy,1,47.2,9.2,2025-04-06T12:32:10.461Z,2025-04-06T14:40:14Z,5mvddfxv6aqzohz87gopwl990,J. Hjertø-Dahl,,,5630002093,286,,5629987421,56,Back,5630002201,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797142733,6,7,1,0,19,6oxoag5c6zbnn09wx08vz4iak,1,52.8,90.8,2025-04-06T12:32:10.462Z,2025-04-06T14:40:14Z,gbeebtmqq3qerrs4u7ikq0ru,E. Kornvig,,,5630001237,167,,5630000937,285,,5629987533,56,Left,5630002175,233,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797142739,7,5,1,0,20,6oxoag5c6zbnn09wx08vz4iak,0,51.4,101.8,2025-04-06T12:32:11.853Z,2025-04-06T14:49:17Z,gbeebtmqq3qerrs4u7ikq0ru,E. Kornvig,,,5629987561,347,,5629987559,56,Left,5629987883,233,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797142789,12,5,1,0,20,80hgdmpkvdrhw1ge9nks2kxvy,1,48.6,-1.8,2025-04-06T12:32:11.853Z,2025-04-06T14:49:17Z,5mvddfxv6aqzohz87gopwl990,J. Hjertø-Dahl,,,5629987779,347,,5629987775,56,Back,5629987865,233,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797142897,13,1,1,0,30,80hgdmpkvdrhw1ge9nks2kxvy,1,46.7,0.0,2025-04-06T12:32:21.301Z,2025-04-06T12:32:23Z,1ncet6wg9tne9oif8vkgsc8kq,L. Cornic,,,5629988375,56,Back,5629988377,140,43.1,5629988381,212,6.8,5629988379,141,7.0,5629988373,107,,5629988383,213,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797142969,14,2,1,0,31,80hgdmpkvdrhw1ge9nks2kxvy,1,43.1,7.0,2025-04-06T12:32:22.949Z,2025-04-06T13:33:15Z,1gwemllvgcore4shqy79qu82y,V. Skjærvik,,,5629988811,1,,5629988787,140,75.6,5629988789,141,30.9,5629988813,56,Center,5629988809,7,b02g29dknl89wywv3l61fgueh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797142993,9,43,1,0,38,6oxoag5c6zbnn09wx08vz4iak,1,0.0,0.0,2025-04-06T12:32:30.125Z,2025-04-06T12:32:32Z,62k4fq609h2evj1k2e1n42x91,F. Knudsen,,,5629989103,144,56,5629988903,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797143145,10,1,1,0,46,6oxoag5c6zbnn09wx08vz4iak,1,24.3,69.4,2025-04-06T12:32:37.318Z,2025-04-06T12:32:39Z,mh6rotmnlhe66f2y16c3vvmd,M. Dyngeland,,,5629989675,141,39.7,5629989671,56,Back,5629989667,5,,5629989679,213,4.93,5629989673,140,28.5,5629989677,212,20.7,5629989669,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797143165,11,1,1,0,47,6oxoag5c6zbnn09wx08vz4iak,1,28.5,39.7,2025-04-06T12:32:38.965Z,2025-04-06T12:32:40Z,62k4fq609h2evj1k2e1n42x91,F. Knudsen,,,5629989813,213,4.96,5629989809,141,14.6,5629989805,56,Back,5629989811,212,17.6,5629989807,140,32.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797143195,12,1,1,0,49,6oxoag5c6zbnn09wx08vz4iak,0,35.7,9.5,2025-04-06T12:32:40.550Z,2025-04-06T12:32:44Z,adthn237lwxewaxsrgd6hlu51,T. Pedersen,,,5629990013,56,Center,5629990019,212,35.5,5629990011,155,,5629990015,140,67.5,5629990023,1,,5629990021,213,0.34,5629990017,141,27.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797143189,15,44,1,0,51,80hgdmpkvdrhw1ge9nks2kxvy,1,30.3,70.8,2025-04-06T12:32:42.837Z,2025-04-06T14:40:33Z,9l89pnte9uhyc8jnads2lintg,T. Guddal,,,5629990083,233,13,5629989981,56,Back,5629989983,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797143199,13,44,1,0,51,6oxoag5c6zbnn09wx08vz4iak,0,69.7,29.2,2025-04-06T12:32:42.838Z,2025-04-06T14:40:33Z,d4ye48utus6dfrp5jxhipjo8a,A. Heggebø,,,5629990027,56,Center,5629990087,233,15,5629990029,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797143225,16,12,1,0,52,80hgdmpkvdrhw1ge9nks2kxvy,1,26.6,67.2,2025-04-06T12:32:43.213Z,2025-04-06T13:33:39Z,9l89pnte9uhyc8jnads2lintg,T. Guddal,,,5629990163,140,32.9,5629990169,213,0.86,5630340291,15,,5629990167,212,10.1,5629990165,141,78.4,5629990161,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797143245,18,1,1,0,55,80hgdmpkvdrhw1ge9nks2kxvy,1,32.9,78.4,2025-04-06T12:32:46.573Z,2025-04-06T13:36:14Z,fbk14d79iikagip25ncya0ut,R. Kristiansen,,,5629990269,213,5.11,5629990263,140,35.6,5629990267,212,7.3,5629990265,141,68.5,5629990261,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797143257,19,1,1,0,56,80hgdmpkvdrhw1ge9nks2kxvy,1,35.6,68.5,2025-04-06T12:32:47.438Z,2025-04-06T13:36:39Z,1qeetk4waatuxev4mqvbxx87p,R. Jenssen,,,5629990359,140,39.5,5629990365,213,1.18,5629990361,141,83.2,5629990363,212,10.8,5629990357,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797143301,20,1,1,0,57,80hgdmpkvdrhw1ge9nks2kxvy,0,39.8,83.3,2025-04-06T12:32:48.468Z,2025-04-06T13:36:41Z,fbk14d79iikagip25ncya0ut,R. Kristiansen,,,5629990619,155,,5629990627,212,32.0,5629990629,213,0.40,5629990623,140,67.9,5629990621,56,Left,5629990625,141,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797143333,14,56,1,0,58,6oxoag5c6zbnn09wx08vz4iak,1,29.2,5.0,2025-04-06T12:32:50.046Z,2025-04-06T14:52:56Z,62k4fq609h2evj1k2e1n42x91,F. Knudsen,,,5629990739,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797143363,15,5,1,1,1,6oxoag5c6zbnn09wx08vz4iak,1,31.4,-1.4,2025-04-06T12:32:52.159Z,2025-04-06T14:49:18Z,62k4fq609h2evj1k2e1n42x91,F. Knudsen,,,5629990943,347,,5629990941,56,Back,5629990977,233,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797143311,21,5,1,1,1,80hgdmpkvdrhw1ge9nks2kxvy,0,68.6,101.4,2025-04-06T12:32:52.159Z,2025-04-06T14:49:18Z,766yz5r437tgwjkn0ey8j2wwk,R. Norheim,,,5629990681,347,,5629991013,233,15,5629990679,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797143405,16,1,1,1,6,6oxoag5c6zbnn09wx08vz4iak,0,33.9,0.0,2025-04-06T12:32:57.142Z,2025-04-06T12:32:59Z,adthn237lwxewaxsrgd6hlu51,T. Pedersen,,,5629991103,56,Right,5629991113,1,,5629991109,212,25.7,5629991105,140,56.4,5629991111,213,0.41,5629991101,107,,5629991107,141,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797143423,22,1,1,1,9,80hgdmpkvdrhw1ge9nks2kxvy,0,38.9,95.7,2025-04-06T12:33:00.141Z,2025-04-06T13:38:13Z,9l89pnte9uhyc8jnads2lintg,T. Guddal,,,5629991189,157,,5629991197,212,26.8,5629991201,1,,5629991193,140,61.0,5629991199,213,5.76,5629991195,141,75.9,5629991191,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797143499,17,1,1,1,11,6oxoag5c6zbnn09wx08vz4iak,0,38.1,31.7,2025-04-06T12:33:02.204Z,2025-04-06T12:33:05Z,ahe00hzfpxhe742i5db3mpe6s,E. Helland,,,5629991553,141,18.7,5629991555,212,22.4,5629991547,3,,5629991551,140,57.7,5629991549,56,Right,5629991557,213,5.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797143525,23,44,1,1,13,80hgdmpkvdrhw1ge9nks2kxvy,1,39.8,80.8,2025-04-06T12:33:04.508Z,2025-04-06T12:33:09Z,9l89pnte9uhyc8jnads2lintg,T. Guddal,,,5629991673,285,,5629991715,233,18,5629991671,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797143501,18,44,1,1,13,6oxoag5c6zbnn09wx08vz4iak,0,60.2,19.2,2025-04-06T12:33:04.509Z,2025-04-06T12:33:08Z,d4ye48utus6dfrp5jxhipjo8a,A. Heggebø,,,5629991573,56,Right,5629991751,233,23,5629991575,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797143581,24,1,1,1,13,80hgdmpkvdrhw1ge9nks2kxvy,1,36.3,80.2,2025-04-06T12:33:04.797Z,2025-04-06T14:39:30Z,9l89pnte9uhyc8jnads2lintg,T. Guddal,,,5629992017,141,93.9,5629992021,213,0.93,5629992019,212,11.6,5629992013,56,Back,5629992015,140,42.9,5629992011,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797143591,25,61,1,1,15,80hgdmpkvdrhw1ge9nks2kxvy,0,42.0,94.1,2025-04-06T12:33:06.813Z,2025-04-06T13:38:58Z,cd0g5e95qabgsw4gl3b8ijoid,K. Antonsen,,,5629992081,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797143675,19,5,1,1,16,6oxoag5c6zbnn09wx08vz4iak,1,56.6,-1.6,2025-04-06T12:33:07.293Z,2025-04-06T14:49:18Z,d4ye48utus6dfrp5jxhipjo8a,A. Heggebø,,,5629992531,56,Right,5629992533,347,,5629992569,233,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797143593,26,5,1,1,16,80hgdmpkvdrhw1ge9nks2kxvy,0,43.4,101.6,2025-04-06T12:33:07.293Z,2025-04-06T14:49:19Z,cd0g5e95qabgsw4gl3b8ijoid,K. Antonsen,,,5629992087,56,Back,5629992089,347,,5629992625,233,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797143767,20,1,1,1,24,6oxoag5c6zbnn09wx08vz4iak,1,54.9,0.0,2025-04-06T12:33:15.245Z,2025-04-06T12:33:19Z,adthn237lwxewaxsrgd6hlu51,T. Pedersen,,,5629992993,213,2.56,5629992987,140,42.9,5629992985,56,Back,5629992991,212,15.1,5629992983,107,,5629992989,141,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797143821,21,1,1,1,28,6oxoag5c6zbnn09wx08vz4iak,1,42.5,12.1,2025-04-06T12:33:19.357Z,2025-04-06T12:33:23Z,62k4fq609h2evj1k2e1n42x91,F. Knudsen,,,5629993293,1,,5629993287,141,63.6,5629993285,140,32.2,5629993289,212,36.7,5629993283,56,Back,5629993291,213,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797143945,22,1,1,1,31,6oxoag5c6zbnn09wx08vz4iak,1,33.1,68.9,2025-04-06T12:33:23.125Z,2025-04-06T12:33:30Z,ahe00hzfpxhe742i5db3mpe6s,E. Helland,,,5629993999,212,15.8,5629993993,56,Back,5629994001,213,0.93,5629993995,140,42.1,5629993997,141,87.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797143975,23,1,1,1,39,6oxoag5c6zbnn09wx08vz4iak,1,51.1,86.0,2025-04-06T12:33:30.468Z,2025-04-06T12:33:32Z,1n9924y1nahaf0if575wgwonp,J. Soltvedt,,,5629994201,213,4.43,5629994193,56,Back,5629994199,212,13.3,5629994195,140,47.6,5629994197,141,67.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797144007,24,1,1,1,41,6oxoag5c6zbnn09wx08vz4iak,1,47.6,67.2,2025-04-06T12:33:32.532Z,2025-04-06T12:33:35Z,gbeebtmqq3qerrs4u7ikq0ru,E. Kornvig,,,5629994453,213,4.69,5629994449,141,40.6,5629994445,56,Back,5629994451,212,18.1,5629994447,140,47.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797144105,25,1,1,1,44,6oxoag5c6zbnn09wx08vz4iak,1,47.4,40.1,2025-04-06T12:33:35.421Z,2025-04-06T12:33:40Z,62k4fq609h2evj1k2e1n42x91,F. Knudsen,,,5629994935,141,4.7,5629994931,140,66.8,5629994941,213,5.41,5629994929,56,Right,5629994939,212,31.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797144157,26,1,1,1,49,6oxoag5c6zbnn09wx08vz4iak,1,67.9,5.3,2025-04-06T12:33:40.500Z,2025-04-06T12:33:43Z,dfwjippbaspehxg8m8ui4djze,U. Mathisen,,,5629995229,213,2.63,5629995221,140,54.5,5629995217,56,Right,5629995227,212,16.2,5629995225,141,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797144169,27,1,1,1,51,6oxoag5c6zbnn09wx08vz4iak,1,53.4,14.6,2025-04-06T12:33:43.069Z,2025-04-06T12:33:44Z,adthn237lwxewaxsrgd6hlu51,T. Pedersen,,,5629995289,213,2.53,5629995283,140,44.1,5629995285,141,24.7,5629995287,212,11.9,5629995281,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797144213,28,1,1,1,52,6oxoag5c6zbnn09wx08vz4iak,1,44.5,24.4,2025-04-06T12:33:43.844Z,2025-04-06T12:33:46Z,62k4fq609h2evj1k2e1n42x91,F. Knudsen,,,5629995493,213,5.34,5629995485,56,Right,5629995487,140,52.1,5629995491,212,13.7,5629995489,141,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797144311,29,1,1,1,55,6oxoag5c6zbnn09wx08vz4iak,1,54.1,6.9,2025-04-06T12:33:46.461Z,2025-04-06T12:33:54Z,adthn237lwxewaxsrgd6hlu51,T. Pedersen,,,5629995997,56,Right,5629996003,212,25.3,5629995999,140,78.1,5629996001,141,4.2,5629995995,155,,5629996005,213,6.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797144313,30,61,1,2,2,6oxoag5c6zbnn09wx08vz4iak,0,90.6,8.4,2025-04-06T12:33:54.037Z,2025-04-06T12:33:54Z,dfwjippbaspehxg8m8ui4djze,U. Mathisen,,,5629996009,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797144361,27,12,1,2,4,80hgdmpkvdrhw1ge9nks2kxvy,1,13.4,84.8,2025-04-06T12:33:55.237Z,2025-04-06T12:33:57Z,766yz5r437tgwjkn0ey8j2wwk,R. Norheim,,,5629996317,167,,5629996259,213,1.28,5629996253,140,16.6,5629996257,212,11.6,5629996255,141,100.0,5629996251,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797144369,28,5,1,2,4,80hgdmpkvdrhw1ge9nks2kxvy,0,14.8,101.5,2025-04-06T12:33:55.796Z,2025-04-06T14:49:20Z,766yz5r437tgwjkn0ey8j2wwk,R. Norheim,,,5629997189,233,31,5629996295,56,Back,5629996297,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797144509,31,5,1,2,4,6oxoag5c6zbnn09wx08vz4iak,1,85.2,-1.5,2025-04-06T12:33:55.796Z,2025-04-06T14:49:19Z,dfwjippbaspehxg8m8ui4djze,U. Mathisen,,,5629997067,347,,5629997157,233,28,5629997065,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797144539,32,1,1,2,13,6oxoag5c6zbnn09wx08vz4iak,1,89.5,0.0,2025-04-06T12:34:04.965Z,2025-04-06T12:34:07Z,adthn237lwxewaxsrgd6hlu51,T. Pedersen,,,5629997257,140,89.3,5629997263,213,1.59,5629997255,56,Right,5629997261,212,14.7,5629997259,141,20.2,5629997253,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
