id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/9/value,qualifier/13/value,qualifier/14/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2823835363,12,1,1,0,49,45v50owpvshpijizwwlcw4lni,1,59.2,34.2,2025-06-22T12:31:49.174Z,2025-06-22T12:31:53Z,7m4f590x3kc3935gpg72xhg45,M. Eikrem,,,5777828315,56,Right,5777828319,141,11.3,5777828317,140,59.1,5777828321,212,15.6,5777828323,213,4.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823835371,13,1,1,0,52,45v50owpvshpijizwwlcw4lni,1,59.8,9.5,2025-06-22T12:31:52.982Z,2025-06-22T12:31:55Z,97aigdp5c2m2sd1eoq143q8kp,H. Stenevik,,,5777828373,212,11.6,5777828375,213,1.70,5777828371,141,26.4,5777828369,140,58.4,5777828367,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823835375,14,1,1,0,55,45v50owpvshpijizwwlcw4lni,1,58.2,25.5,2025-06-22T12:31:55.437Z,2025-06-22T12:31:58Z,7m4f590x3kc3935gpg72xhg45,M. Eikrem,,,5777828397,141,28.9,5777828399,212,20.2,5777828401,213,3.03,5777828393,56,Back,5777828395,140,39.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823835379,15,1,1,0,58,45v50owpvshpijizwwlcw4lni,1,36.9,27.6,2025-06-22T12:31:58.317Z,2025-06-22T12:46:42Z,9mt0cpw6rkuv6ndn4jbon6hg5,E. Haugan,,,5777828409,56,Right,5777828411,140,53.7,5777828417,213,5.96,5777828415,212,18.6,5777828413,141,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823835385,16,1,1,1,0,45v50owpvshpijizwwlcw4lni,1,56.3,18.0,2025-06-22T12:32:00.909Z,2025-06-22T12:32:01Z,7m4f590x3kc3935gpg72xhg45,M. Eikrem,,,5777828459,140,67.4,5777828465,213,5.82,5777828463,212,13.0,5777828457,56,Right,5777828461,141,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823835391,17,1,1,1,1,45v50owpvshpijizwwlcw4lni,1,67.4,9.4,2025-06-22T12:32:01.724Z,2025-06-22T12:32:03Z,97aigdp5c2m2sd1eoq143q8kp,H. Stenevik,,,5777828505,213,2.79,5777828499,140,56.7,5777828501,141,15.5,5777828497,56,Right,5777828503,212,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823835403,18,1,1,1,3,45v50owpvshpijizwwlcw4lni,1,61.1,13.5,2025-06-22T12:32:03.517Z,2025-06-22T12:32:07Z,7m4f590x3kc3935gpg72xhg45,M. Eikrem,,,5777828547,212,28.4,5777828541,56,Right,5777828549,213,6.19,5777828543,140,88.0,5777828545,141,9.5,5777828539,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823835419,19,1,1,1,7,45v50owpvshpijizwwlcw4lni,1,93.1,13.5,2025-06-22T12:32:07.261Z,2025-06-22T12:32:12Z,97aigdp5c2m2sd1eoq143q8kp,H. Stenevik,,,5777828653,141,57.8,5777828657,213,1.49,5777828647,155,,5777828651,140,95.4,5777828649,56,Center,5777828645,2,,5777828655,212,30.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823835423,20,44,1,1,10,45v50owpvshpijizwwlcw4lni,1,91.6,63.9,2025-06-22T12:32:10.538Z,2025-06-22T12:32:14Z,9fu1wk5unisycn8mt5j1p04ph,F. Gulbrandsen,,,5777828673,286,,5777828697,233,10,5777828671,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823835411,10,44,1,1,10,8q6cv8g4bd3xdl7m88kll16na,0,7.9,38.6,2025-06-22T12:32:10.539Z,2025-06-22T12:32:13Z,rzfthr8qys67ormz869jrndg,H. Sjåtil,,,5777828721,233,20,5777828611,56,Back,5777828613,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823835425,21,61,1,1,10,45v50owpvshpijizwwlcw4lni,1,93.0,56.4,2025-06-22T12:32:10.540Z,2025-06-22T14:39:38Z,9fu1wk5unisycn8mt5j1p04ph,F. Gulbrandsen,,,5777828677,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823835427,11,1,1,1,12,8q6cv8g4bd3xdl7m88kll16na,1,13.0,33.6,2025-06-22T12:32:12.269Z,2025-06-22T13:23:47Z,3nl291loxoqoghj60c05rubro,F. Thorvaldsen,,,5777828687,212,6.5,5777828681,56,Back,5777828679,3,,5777828689,213,2.41,5777828683,140,8.4,5777895613,156,,5777828685,141,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823835449,12,12,1,1,13,8q6cv8g4bd3xdl7m88kll16na,1,8.4,40.0,2025-06-22T12:32:13.195Z,2025-06-22T12:32:22Z,fbd96sw3egypi2key2hxbnu2,A. Kiil Olsen,,,5777828827,56,Back,5777828831,141,23.4,5777828833,212,29.4,5777828835,213,5.89,5777828829,140,34.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823835441,22,1,1,1,17,45v50owpvshpijizwwlcw4lni,0,64.6,85.7,2025-06-22T12:32:17.293Z,2025-06-22T14:39:36Z,9mt0cpw6rkuv6ndn4jbon6hg5,E. Haugan,,,5777828777,141,88.0,5777828773,56,Left,5777828775,140,84.4,5777828781,213,0.08,5777828779,212,20.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823835455,13,12,1,1,22,8q6cv8g4bd3xdl7m88kll16na,1,6.0,8.3,2025-06-22T12:32:22.412Z,2025-06-22T12:32:25Z,rzfthr8qys67ormz869jrndg,H. Sjåtil,,,5777828875,212,31.1,5777828871,140,35.6,5777828873,141,5.3,5777828869,56,Back,5777828877,213,6.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823835461,14,61,1,1,25,8q6cv8g4bd3xdl7m88kll16na,0,35.6,5.3,2025-06-22T12:32:25.388Z,2025-06-22T12:32:25Z,dodkgckgbecal0vivr1jf0hzo,M. Rijks,,,5777828891,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823835491,23,5,1,1,25,45v50owpvshpijizwwlcw4lni,1,69.1,101.9,2025-06-22T12:32:25.652Z,2025-06-22T12:32:44Z,azgn1hgiep0jbrbdirnkut2zu,I. Amundsen,,,5777829037,347,,5777829039,233,15,5777829035,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823835463,15,5,1,1,26,8q6cv8g4bd3xdl7m88kll16na,0,29.6,-1.8,2025-06-22T12:32:26.043Z,2025-06-22T12:32:44Z,dodkgckgbecal0vivr1jf0hzo,M. Rijks,,,5777828905,347,,5777829059,233,23,5777828903,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823835523,24,1,1,1,40,45v50owpvshpijizwwlcw4lni,1,57.1,100.0,2025-06-22T12:32:40.548Z,2025-06-22T12:51:57Z,azgn1hgiep0jbrbdirnkut2zu,I. Amundsen,,,5777857223,213,5.82,5777857217,140,63.4,5777857221,212,7.4,5777857213,107,,5777857215,56,Left,5777857219,141,96.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823835495,16,83,1,1,44,8q6cv8g4bd3xdl7m88kll16na,0,23.1,6.2,2025-06-22T12:32:44.172Z,2025-06-22T12:54:06Z,rzfthr8qys67ormz869jrndg,H. Sjåtil,,,5777860307,399,b95r3rmf3rzra4sp1mkutd5ka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823835557,26,4,1,1,46,45v50owpvshpijizwwlcw4lni,1,75.3,94.3,2025-06-22T12:32:46.244Z,2025-06-22T12:54:04Z,b95r3rmf3rzra4sp1mkutd5ka,C. Zady Sery,,,5777829359,13,,5777829361,56,Left,5777860269,233,17,5777829367,286,,5777829365,265,,5777829363,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823835511,17,4,1,1,46,8q6cv8g4bd3xdl7m88kll16na,0,24.7,5.6,2025-06-22T12:32:46.245Z,2025-06-22T13:24:20Z,rzfthr8qys67ormz869jrndg,H. Sjåtil,,,5777829149,13,,5777829157,285,,5777829151,56,Back,5777860273,233,26,5777829155,265,,5777829153,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823835513,18,43,1,1,47,8q6cv8g4bd3xdl7m88kll16na,1,0.0,0.0,2025-06-22T12:32:47.724Z,2025-06-22T12:32:51Z,rzfthr8qys67ormz869jrndg,H. Sjåtil,,,5777829159,56,Back,5777829201,144,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823835613,27,1,1,2,10,45v50owpvshpijizwwlcw4lni,0,79.3,93.5,2025-06-22T12:33:10.221Z,2025-06-22T12:33:12Z,7m4f590x3kc3935gpg72xhg45,M. Eikrem,,,5777829663,5,,5777829675,212,23.7,5777829665,155,,5777829673,141,61.1,5777829661,2,,5777829667,152,,5777829677,213,5.08,5777829669,56,Center,5777829671,140,87.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823835619,19,12,1,2,12,8q6cv8g4bd3xdl7m88kll16na,1,11.4,38.2,2025-06-22T12:33:12.699Z,2025-06-22T12:33:15Z,bi90ts7bjqsllbei6qtmx6has,S. Sjøvold,,,5777829709,212,20.8,5777829711,213,0.57,5777829707,141,54.8,5777829705,140,28.0,5777829703,56,Back,5777829713,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823835625,28,1,1,2,15,45v50owpvshpijizwwlcw4lni,0,67.6,64.8,2025-06-22T12:33:15.373Z,2025-06-22T12:55:25Z,5al9uyujlrlb17o4r5sapkkk4,M. Enggård,,,5777829739,3,,5777829745,141,52.2,5777829749,213,3.71,5777829747,212,15.9,5777829743,140,54.9,5777829741,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823835627,20,1,1,2,18,8q6cv8g4bd3xdl7m88kll16na,1,46.9,56.9,2025-06-22T12:33:18.771Z,2025-06-22T12:33:20Z,9xxdec5pv5plas9ve4ehs4nop,E. Sørensen,,,5777829751,155,,5777829757,141,27.9,5777829761,213,5.45,5777829759,212,26.7,5777829753,56,Center,5777829755,140,64.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823835639,22,3,1,2,25,8q6cv8g4bd3xdl7m88kll16na,0,86.4,53.7,2025-06-22T12:33:25.252Z,2025-06-22T13:25:01Z,3nl291loxoqoghj60c05rubro,F. Thorvaldsen,,,5777829823,286,,5777829821,56,Center,5777829825,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823841087,201,8,1,2,26,45v50owpvshpijizwwlcw4lni,1,14.1,29.2,2025-06-22T12:33:26.402Z,2025-06-22T12:54:07Z,5p8387bgyjiuekkccl4j6kamt,E. Hestad,,,5777860301,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823835665,23,83,1,2,31,8q6cv8g4bd3xdl7m88kll16na,0,82.2,89.7,2025-06-22T12:33:31.068Z,2025-06-22T12:33:32Z,9xxdec5pv5plas9ve4ehs4nop,E. Sørensen,,,5777830021,399,5p8387bgyjiuekkccl4j6kamt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823835693,30,1,1,2,31,45v50owpvshpijizwwlcw4lni,1,10.6,12.6,2025-06-22T12:33:31.966Z,2025-06-22T12:33:36Z,5p8387bgyjiuekkccl4j6kamt,E. Hestad,,,5777830079,213,2.11,5777830071,56,Back,5777830077,212,5.7,5777830075,141,19.8,5777830073,140,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823835697,31,1,1,2,36,45v50owpvshpijizwwlcw4lni,0,11.6,15.6,2025-06-22T12:33:36.476Z,2025-06-22T12:33:37Z,97aigdp5c2m2sd1eoq143q8kp,H. Stenevik,,,5777830101,141,14.0,5777830131,233,24,5777830107,1,,5777830099,140,13.8,5777830097,56,Back,5777830129,236,,5777830095,157,,5777830103,212,2.6,5777830105,213,5.84,5777830135,286,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823835701,24,74,1,2,37,8q6cv8g4bd3xdl7m88kll16na,1,87.6,88.9,2025-06-22T12:33:37.467Z,2025-06-22T12:33:38Z,1w8gujxthv0lfjrn98paa1uga,C. Lange,,,5777830125,285,,5777830121,56,Left,5777830153,233,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823835709,25,43,1,2,39,8q6cv8g4bd3xdl7m88kll16na,1,0.0,0.0,2025-06-22T12:33:39.195Z,2025-06-22T13:27:23Z,dodkgckgbecal0vivr1jf0hzo,M. Rijks,,,5777897925,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823835717,26,43,1,2,39,8q6cv8g4bd3xdl7m88kll16na,1,0.0,0.0,2025-06-22T12:33:39.669Z,2025-06-22T13:27:25Z,dodkgckgbecal0vivr1jf0hzo,M. Rijks,,,5777830235,236,0,5777830205,212,0,5777897931,144,1,5777830203,141,81.8,5777830199,56,Left,5777830241,286,0,5777830237,233,32,5777830207,213,3.14,5777830201,140,90.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823835721,32,43,1,2,39,45v50owpvshpijizwwlcw4lni,1,0.0,0.0,2025-06-22T12:33:39.773Z,2025-06-22T13:28:38Z,5p8387bgyjiuekkccl4j6kamt,E. Hestad,,,5777830231,56,Back,5777830233,285,0,5777898527,144,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823835733,27,2,1,2,40,8q6cv8g4bd3xdl7m88kll16na,1,81.3,91.0,2025-06-22T12:33:40.683Z,2025-06-22T14:39:35Z,1w8gujxthv0lfjrn98paa1uga,C. Lange,,,5777830331,56,Left,5777830327,141,83.8,5777830325,140,86.2,5777830329,7,dodkgckgbecal0vivr1jf0hzo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823835737,33,55,1,2,49,45v50owpvshpijizwwlcw4lni,1,8.7,20.0,2025-06-22T12:33:49.716Z,2025-06-22T14:45:43Z,4v1zs5vyf4m4bbeop3n2msgve,C. Øyvann,,,5777948155,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823835807,34,1,1,3,9,45v50owpvshpijizwwlcw4lni,1,12.9,13.5,2025-06-22T12:34:09.389Z,2025-06-22T13:00:34Z,4v1zs5vyf4m4bbeop3n2msgve,C. Øyvann,,,5777830691,56,Back,5777830689,241,,5777830697,212,26.3,5777868911,189,,5777830687,5,,5777830699,213,6.14,5777830693,140,37.7,5777830695,141,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
