id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/11/value,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2804529457,6,8,1,0,33,crlocdyqyb1fdhck54qxs65rl,1,14.3,66.1,2025-04-21T15:01:48.795Z,2025-04-21T16:16:04Z,dd53d1radlkv7y24724vkol49,B. Bjarnason,,,5670639365,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529469,7,6,1,0,34,crlocdyqyb1fdhck54qxs65rl,0,2.4,70.4,2025-04-21T15:01:49.517Z,2025-04-21T17:14:58Z,dd53d1radlkv7y24724vkol49,B. Bjarnason,,,5670639431,73,,5670639451,233,13,5670639429,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529455,13,6,1,0,34,bsykw9d70ffqe9atosc92n1e9,1,97.6,29.6,2025-04-21T15:01:49.517Z,2025-04-21T17:14:57Z,bjqtzq0xcvtmbn54orj7rn5xx,Z. Tripić,,,5670639381,75,,5670639379,56,Center,5670639433,233,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529741,14,1,1,0,54,bsykw9d70ffqe9atosc92n1e9,0,99.5,0.5,2025-04-21T15:02:09.708Z,2025-04-21T18:54:32Z,bjqtzq0xcvtmbn54orj7rn5xx,Z. Tripić,,,5670640701,155,,5670640703,223,,5670640715,1,,5670640705,56,Center,5670640699,6,,5670640707,140,87.1,5670640713,213,1.97,5670640709,141,45.7,5670640711,212,33.4,5670640697,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804534631,26,44,1,0,54,crlocdyqyb1fdhck54qxs65rl,1,7.1,49.8,2025-04-21T15:02:10.346Z,2025-04-21T17:22:43Z,8nmrvwyosqdqwyqowvdqvahh,F. Sjølstad,,,5671347925,233,932,5670674343,285,,5670674341,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804656499,932,44,1,0,55,bsykw9d70ffqe9atosc92n1e9,0,92.9,50.2,2025-04-21T15:02:10.347Z,2025-04-21T17:22:43Z,b2isr7ljn9jmt19iiweudegyy,H. Falchener,,,5671347929,233,26,5671346927,56,Center,5671347391,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804534871,27,12,1,0,55,crlocdyqyb1fdhck54qxs65rl,1,6.1,43.4,2025-04-21T15:02:10.846Z,2025-04-21T15:06:53Z,8nmrvwyosqdqwyqowvdqvahh,F. Sjølstad,,,5670675315,15,,5670675119,213,0.11,5670675117,212,16.3,5670675115,141,46.0,5670675113,140,21.5,5670675111,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529787,15,1,1,0,57,bsykw9d70ffqe9atosc92n1e9,1,85.8,43.0,2025-04-21T15:02:12.468Z,2025-04-21T15:02:13Z,bnjysriuqd4qe0fmh2ld8yk2c,E. Austbø,,,5670640925,141,16.7,5670640923,140,88.8,5670640921,56,Right,5670640929,213,4.89,5670640927,212,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529865,16,1,1,0,58,bsykw9d70ffqe9atosc92n1e9,0,88.0,11.7,2025-04-21T15:02:13.612Z,2025-04-21T15:11:37Z,bjqtzq0xcvtmbn54orj7rn5xx,Z. Tripić,,,5670641277,2,,5670641289,213,1.64,5670641287,212,11.4,5670641279,155,,5670641285,141,28.4,5670641283,140,87.3,5670641281,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804542787,69,61,1,0,59,crlocdyqyb1fdhck54qxs65rl,1,14.0,75.0,2025-04-21T15:02:15.053Z,2025-04-21T15:11:39Z,bb7inex45spf3wj9dqw8sbqi,K. Lien,,,5670711479,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529883,17,1,1,1,2,bsykw9d70ffqe9atosc92n1e9,1,76.3,24.6,2025-04-21T15:02:17.836Z,2025-04-21T15:02:18Z,bnjysriuqd4qe0fmh2ld8yk2c,E. Austbø,,,5670641395,213,5.15,5670641389,140,80.8,5670641393,212,11.2,5670641387,56,Right,5670641391,141,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529931,18,1,1,1,3,bsykw9d70ffqe9atosc92n1e9,1,80.8,9.7,2025-04-21T15:02:18.772Z,2025-04-21T15:02:22Z,bjqtzq0xcvtmbn54orj7rn5xx,Z. Tripić,,,5670641647,213,0.14,5670641639,56,Right,5670641645,212,9.8,5670641641,140,90.0,5670641643,141,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529939,19,4,1,1,6,bsykw9d70ffqe9atosc92n1e9,1,87.5,12.2,2025-04-21T15:02:22.173Z,2025-04-21T17:14:49Z,bnjysriuqd4qe0fmh2ld8yk2c,E. Austbø,,,5670641717,13,,5670641719,56,Right,5670641721,152,,5670641723,265,,5670642085,233,8,5670641725,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529997,8,4,1,1,6,crlocdyqyb1fdhck54qxs65rl,0,12.5,87.8,2025-04-21T15:02:22.174Z,2025-04-21T17:14:49Z,9v4rtbzr5f45x65os81wwuqne,G. Simenstad,,,5670642011,56,Back,5670642129,233,19,5670642013,152,,5670642009,13,,5670642017,285,,5670642015,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804530319,20,1,1,1,29,bsykw9d70ffqe9atosc92n1e9,0,89.8,9.2,2025-04-21T15:02:44.804Z,2025-04-21T15:02:47Z,bjqtzq0xcvtmbn54orj7rn5xx,Z. Tripić,,,5670643661,56,Center,5670643663,140,92.3,5670643659,152,,5670643657,155,,5670643655,5,,5670643665,141,54.2,5670643667,212,30.7,5670643669,213,1.49,5670643653,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804530347,10,12,1,1,30,crlocdyqyb1fdhck54qxs65rl,1,7.1,44.0,2025-04-21T15:02:45.746Z,2025-04-21T17:26:53Z,2gbfwdmpk5gfmcc979aqfkyxh,G. Granath,,,5670643831,141,15.3,5670643827,56,Back,5670643833,212,24.9,5670643829,140,21.9,5670643835,213,5.38,5670643881,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804530773,21,1,1,1,32,bsykw9d70ffqe9atosc92n1e9,1,78.9,87.1,2025-04-21T15:02:48.308Z,2025-04-21T15:03:39Z,3h8jot3v5xxuwzukt6n15jwlx,J. Bell,1.0,,5670646095,155,,5670646113,213,5.21,5670646109,212,29.6,5670646105,141,48.8,5670646097,56,Center,5670648709,24,,5670648707,154,,5670646093,2,,5670648705,210,16,5670646101,140,92.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804530827,22,16,1,1,34,bsykw9d70ffqe9atosc92n1e9,1,92.6,50.5,2025-04-21T15:02:49.620Z,2025-04-21T17:37:58Z,b2isr7ljn9jmt19iiweudegyy,H. Falchener,,,5670648813,231,49.3,5670648809,103,22.8,5670646375,56,Center,5670647935,328,,5670648797,77,,5670646373,17,,5670647929,24,,5670648803,55,21,5670647937,374,2025-04-21 16:02:49.153,5670648811,230,99.1,5670648807,102,53.6,5670648799,29,5670647943,375,01:33.806,5670647931,15,5670648801,154,,,,,,,,,,,,,,,
2804531559,11,1,1,2,28,crlocdyqyb1fdhck54qxs65rl,1,50.4,50.3,2025-04-21T15:03:43.680Z,2025-04-21T16:13:47Z,bb7inex45spf3wj9dqw8sbqi,K. Lien,,,5670650261,140,31.7,5670650263,141,64.2,5670650259,56,Back,5670650267,213,2.69,5670650269,279,G,5671152349,189,,5670650265,212,21.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804531571,12,1,1,2,29,crlocdyqyb1fdhck54qxs65rl,0,34.0,50.7,2025-04-21T15:03:44.527Z,2025-04-21T15:14:57Z,8nmrvwyosqdqwyqowvdqvahh,F. Sjølstad,,,5670739629,1,,5670739613,56,Center,5670739611,157,,5670739619,212,49.5,5670739617,141,29.7,5670739615,140,79.1,5670739623,213,5.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804531527,23,1,1,2,30,bsykw9d70ffqe9atosc92n1e9,0,20.9,80.0,2025-04-21T15:03:45.659Z,2025-04-21T15:15:23Z,18paxu0ihqdu4kbd2ddi5z1t5,M. Roseth,,,5670650097,3,,5670650105,140,34.6,5670650101,56,Back,5670650109,212,14.5,5670650111,213,6.17,5670650107,141,77.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804531587,13,1,1,2,30,crlocdyqyb1fdhck54qxs65rl,1,68.8,22.9,2025-04-21T15:03:45.704Z,2025-04-21T15:14:51Z,4m57qe3mtal1r68md5yj8xvc9,T. Sørås,,,5670746601,212,13.4,5670746597,141,24.8,5670746605,213,0.10,5670746585,3,,5670746593,140,81.5,5670746589,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804531685,14,1,1,2,35,crlocdyqyb1fdhck54qxs65rl,0,73.5,21.3,2025-04-21T15:03:50.440Z,2025-04-21T17:27:39Z,1t1ylf4iwrotj4jjf9qfzbieh,S. Strand Nilsen,,,5670650913,56,Center,5670650911,3,,5670650915,140,89.2,5670650921,213,0.16,5670650919,212,16.7,5670650917,141,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804531647,24,1,1,2,38,bsykw9d70ffqe9atosc92n1e9,0,17.2,81.2,2025-04-21T15:03:53.804Z,2025-04-21T15:03:54Z,18paxu0ihqdu4kbd2ddi5z1t5,M. Roseth,,,5670650667,140,32.6,5670650669,141,89.3,5670650663,157,,5670650675,1,,5670650665,56,Back,5670650671,212,17.1,5670650673,213,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804531727,25,1,1,2,41,bsykw9d70ffqe9atosc92n1e9,1,12.1,77.5,2025-04-21T15:03:56.652Z,2025-04-21T15:03:59Z,18paxu0ihqdu4kbd2ddi5z1t5,M. Roseth,,,5670651155,140,27.1,5670651161,213,5.90,5670651159,212,17.0,5670651157,141,68.1,5670651153,56,Back,5670651151,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804531741,26,1,1,2,43,bsykw9d70ffqe9atosc92n1e9,0,27.1,68.1,2025-04-21T15:03:59.260Z,2025-04-21T15:04:00Z,bjqtzq0xcvtmbn54orj7rn5xx,Z. Tripić,,,5670651217,213,1.39,5670651207,3,,5670651215,212,14.4,5670651211,140,29.6,5670651213,141,88.9,5670651209,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804531777,15,1,1,2,45,crlocdyqyb1fdhck54qxs65rl,1,73.4,13.8,2025-04-21T15:04:00.353Z,2025-04-21T15:04:01Z,1t1ylf4iwrotj4jjf9qfzbieh,S. Strand Nilsen,,,5670651377,212,14.4,5670651379,213,3.25,5670651373,140,59.8,5670651371,56,Right,5670651375,141,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804531839,17,4,1,2,49,crlocdyqyb1fdhck54qxs65rl,1,61.7,14.4,2025-04-21T15:04:04.416Z,2025-04-21T17:14:49Z,2gbfwdmpk5gfmcc979aqfkyxh,G. Granath,,,5670651803,13,,5670652163,233,27,5670651807,152,,5670651811,286,,5670651809,265,,5670651805,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804531879,27,4,1,2,49,bsykw9d70ffqe9atosc92n1e9,0,38.3,85.6,2025-04-21T15:04:04.417Z,2025-04-21T17:14:50Z,djxtqxvqxd70prbr1gkwjp3sa,P. Christiansen,,,5670652065,152,,5670652259,233,17,5670652069,285,,5670652067,265,,5670652061,13,,5670652063,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804532171,18,1,1,3,0,crlocdyqyb1fdhck54qxs65rl,1,55.6,7.3,2025-04-21T15:04:15.425Z,2025-04-21T15:04:16Z,2gbfwdmpk5gfmcc979aqfkyxh,G. Granath,,,5670653471,140,43.0,5670653465,5,,5670653473,141,13.5,5670653469,56,Back,5670653467,152,,5670653475,212,13.9,5670653477,213,2.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804532209,19,1,1,3,0,crlocdyqyb1fdhck54qxs65rl,1,41.7,19.8,2025-04-21T15:04:16.240Z,2025-04-21T15:04:18Z,8nmrvwyosqdqwyqowvdqvahh,F. Sjølstad,,,5670653695,141,39.8,5670653693,140,29.7,5670653691,56,Back,5670653699,213,2.32,5670653697,212,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804532247,20,1,1,3,2,crlocdyqyb1fdhck54qxs65rl,0,30.0,39.2,2025-04-21T15:04:18.152Z,2025-04-21T15:04:19Z,3dz611s3q1kjhrzt8ixv4jbhl,A. Nilsson,,,5670653919,141,25.2,5670653915,140,75.2,5670653923,212,48.4,5670653929,1,,5670653927,213,6.09,5670653905,155,,5670653909,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804532299,28,1,1,3,4,bsykw9d70ffqe9atosc92n1e9,0,21.3,82.0,2025-04-21T15:04:20.244Z,2025-04-21T15:04:21Z,18paxu0ihqdu4kbd2ddi5z1t5,M. Roseth,,,5670654151,141,75.4,5670654155,212,11.7,5670654145,3,,5670654159,213,5.89,5670654147,56,Back,5670654149,140,31.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804532321,21,1,1,3,6,crlocdyqyb1fdhck54qxs65rl,0,66.8,23.7,2025-04-21T15:04:21.919Z,2025-04-21T15:04:22Z,9v4rtbzr5f45x65os81wwuqne,G. Simenstad,,,5670654269,213,5.29,5670654267,212,8.3,5670654265,141,13.5,5670654261,56,Right,5670654263,140,71.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804532483,22,1,1,3,11,crlocdyqyb1fdhck54qxs65rl,0,59.4,19.1,2025-04-21T15:04:26.455Z,2025-04-21T15:04:27Z,4m57qe3mtal1r68md5yj8xvc9,T. Sørås,,,5670655005,213,0.34,5670654999,140,60.5,5670655003,212,1.2,5670654997,56,Right,5670655001,141,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
