id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/12/value,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2820669499,8,1,1,0,25,e5txudmuc2qpc460bs4lb5aff,1,53.2,88.7,2025-06-01T12:30:41.198Z,2025-06-01T12:30:42Z,bbiblpn6dg2ub1guiphivzq50,F. Fall,,,5760040471,141,83.3,5760040467,56,Left,5760040473,212,6.5,5760040469,140,58.3,5760040475,213,5.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820669509,9,1,1,0,26,e5txudmuc2qpc460bs4lb5aff,1,58.3,83.3,2025-06-01T12:30:42.070Z,2025-06-01T12:30:45Z,dkuinrikn3htd1kilcsce2bit,E. Holten,,,5760040515,56,Back,5760040519,141,93.2,5760040523,213,2.65,5760040517,140,46.4,5760040521,212,14.2,5760040531,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820669543,10,1,1,0,29,e5txudmuc2qpc460bs4lb5aff,0,46.4,93.0,2025-06-01T12:30:45.222Z,2025-06-01T12:30:49Z,bbiblpn6dg2ub1guiphivzq50,F. Fall,,,5760040679,56,Left,5760040685,212,58.8,5760040689,1,,5760040681,140,100.0,5760040687,213,6.14,5760040677,155,,5760040683,141,80.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820669567,5,5,1,0,34,doohk95o6e8pkqah8vkop51dg,1,-1.6,17.6,2025-06-01T12:30:49.572Z,2025-06-01T14:57:36Z,b4nxbfm6audv844unlocgbsgl,M. Koch,,,5760040799,346,,5760041485,233,11,5760040797,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820669689,11,5,1,0,34,e5txudmuc2qpc460bs4lb5aff,0,101.6,82.4,2025-06-01T12:30:49.572Z,2025-06-01T14:57:37Z,bbiblpn6dg2ub1guiphivzq50,F. Fall,,,5760041447,346,,5760041489,233,5,5760041443,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820669677,6,1,1,0,52,doohk95o6e8pkqah8vkop51dg,1,5.4,57.5,2025-06-01T12:31:08.285Z,2025-06-01T12:33:09Z,4fkb8m4vdcyn1iwck0ukhofmc,F. Tebo Uchenna,,,5760041373,56,Back,5760041377,141,50.4,5760041379,212,5.3,5760041371,124,,5760041385,237,,5760045515,189,,5760041381,213,4.30,5760041375,140,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820669683,7,1,1,0,53,doohk95o6e8pkqah8vkop51dg,0,3.4,50.4,2025-06-01T12:31:09.395Z,2025-06-01T12:31:10Z,16od5bk1t05mluydp8i4t2lg4,M. Ndiaye,,,5760041427,141,46.1,5760041433,1,,5760041423,56,Center,5760041425,140,54.7,5760041429,212,53.9,5760041431,213,6.23,5760041421,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820669709,12,1,1,0,55,e5txudmuc2qpc460bs4lb5aff,1,48.4,47.9,2025-06-01T12:31:11.014Z,2025-06-01T12:31:13Z,dfp3y0edqm1vg85f6n3b6ut49,U. Fredriksen,,,5760041603,56,Center,5760041607,141,47.6,5760041601,3,,5760041609,212,11.1,5760041611,213,6.26,5760041605,140,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820669711,13,44,1,0,57,e5txudmuc2qpc460bs4lb5aff,1,63.7,52.7,2025-06-01T12:31:12.930Z,2025-06-01T12:31:17Z,7j35sfip0xb51mpa91wzikrh0,O. Øhlenschlæger,,,5760041625,286,,5760041643,233,8,5760041623,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820669703,8,44,1,0,57,doohk95o6e8pkqah8vkop51dg,0,36.3,47.3,2025-06-01T12:31:12.931Z,2025-06-01T12:31:19Z,58zj1aw2i5mfyzb3knj72xk6i,S. Christiansen,,,5760041665,233,13,5760041583,285,,5760041581,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820669725,14,1,1,0,57,e5txudmuc2qpc460bs4lb5aff,0,59.0,47.6,2025-06-01T12:31:13.374Z,2025-06-01T12:31:18Z,7j35sfip0xb51mpa91wzikrh0,O. Øhlenschlæger,,,5760041735,141,47.2,5760041739,213,5.08,5760041729,168,,5760041731,56,Center,5760041737,212,0.3,5760041727,3,,5760041733,140,59.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820670183,12,61,1,0,58,doohk95o6e8pkqah8vkop51dg,1,29.6,37.3,2025-06-01T12:31:14.446Z,2025-06-01T12:32:42Z,44t0ew97eyl8ww00sgusx00a2,A. Sher,,,5760044297,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820669741,9,1,1,0,59,doohk95o6e8pkqah8vkop51dg,1,30.4,41.9,2025-06-01T12:31:15.307Z,2025-06-01T12:32:46Z,b4nxbfm6audv844unlocgbsgl,M. Koch,,,5760041821,212,39.1,5760041813,157,,5760041823,213,0.63,5760041819,141,75.7,5760041815,56,Center,5760041817,140,60.5,5760041825,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820669753,10,1,1,1,4,doohk95o6e8pkqah8vkop51dg,1,60.9,76.4,2025-06-01T12:31:19.844Z,2025-06-01T12:31:22Z,6wxneuych76i6tlb49sqkmy5m,A. Sanyang,,,5760041877,212,9.8,5760041873,140,55.0,5760041875,141,87.5,5760041879,213,2.26,5760041871,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820669981,11,1,1,1,7,doohk95o6e8pkqah8vkop51dg,0,56.0,88.1,2025-06-01T12:31:22.515Z,2025-06-01T12:33:29Z,d2xmywt450kjrph838hshcn3d,Mohanad Jeahze,,,5760043265,141,88.7,5760043269,213,0.01,5760043261,56,Left,5760043267,212,47.1,5760043263,140,100.0,5760046109,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820670449,15,5,1,1,8,doohk95o6e8pkqah8vkop51dg,0,101.2,70.4,2025-06-01T12:31:23.593Z,2025-06-01T12:33:38Z,44t0ew97eyl8ww00sgusx00a2,A. Sher,,,5760045845,346,,5760046177,233,17,5760045843,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820670519,17,5,1,1,8,e5txudmuc2qpc460bs4lb5aff,1,-1.2,29.6,2025-06-01T12:31:23.593Z,2025-06-01T14:57:37Z,16yy0mbn7y1vztd870gybmane,M. Woledzi,,,5760046167,56,Back,5760046171,233,15,5760046169,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820670261,13,27,1,2,32,doohk95o6e8pkqah8vkop51dg,1,0.0,0.0,2025-06-01T12:32:47.899Z,2025-06-01T13:37:56Z,,,,,5760188619,203,,5760044813,233,15,5760188617,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820670265,15,27,1,2,32,e5txudmuc2qpc460bs4lb5aff,1,0.0,0.0,2025-06-01T12:32:47.899Z,2025-06-01T12:32:50Z,,,,,5760044795,233,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820670443,14,28,1,3,3,doohk95o6e8pkqah8vkop51dg,1,0.0,0.0,2025-06-01T12:33:19.458Z,2025-06-01T12:33:22Z,,,,,5760045803,55,13,5760045913,233,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820670453,16,28,1,3,3,e5txudmuc2qpc460bs4lb5aff,1,0.0,0.0,2025-06-01T12:33:19.458Z,2025-06-01T12:33:21Z,,,,,5760045889,233,14,5760045861,55,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820670539,18,1,1,3,18,e5txudmuc2qpc460bs4lb5aff,0,5.0,37.0,2025-06-01T12:33:33.485Z,2025-06-01T12:33:37Z,b20lp3ufi88q4pckp39hsjbsa,J. Fischer,,,5760046313,141,22.4,5760046307,124,,5760046317,213,6.14,5760046309,56,Center,5760046311,140,68.7,5760046323,74,,5760046319,1,,5760046315,212,67.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820670531,16,44,1,3,19,doohk95o6e8pkqah8vkop51dg,1,32.4,74.8,2025-06-01T12:33:35.322Z,2025-06-01T14:47:14Z,58zj1aw2i5mfyzb3knj72xk6i,S. Christiansen,,,5760046381,233,19,5760046277,285,,5760046275,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820670543,19,44,1,3,19,e5txudmuc2qpc460bs4lb5aff,0,67.6,25.2,2025-06-01T12:33:35.323Z,2025-06-01T14:47:15Z,dkuinrikn3htd1kilcsce2bit,E. Holten,,,5760046327,56,Center,5760046421,233,16,5760046329,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820670533,17,1,1,3,20,doohk95o6e8pkqah8vkop51dg,0,34.1,70.0,2025-06-01T12:33:35.578Z,2025-06-01T14:57:04Z,58zj1aw2i5mfyzb3knj72xk6i,S. Christiansen,,,5760046283,56,Back,5760046289,212,9.2,5760046281,3,,5760046287,141,75.3,5760046285,140,42.2,5760046291,213,0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820670537,18,43,1,3,20,doohk95o6e8pkqah8vkop51dg,1,0.0,0.0,2025-06-01T12:33:36.370Z,2025-06-01T12:33:48Z,58zj1aw2i5mfyzb3knj72xk6i,S. Christiansen,,,5760046305,56,Back,5760046853,144,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820670555,20,1,1,3,22,e5txudmuc2qpc460bs4lb5aff,0,55.1,23.9,2025-06-01T12:33:37.605Z,2025-06-01T12:33:39Z,bhkecr2u6neb933eo468i82ui,L. Owusu,,,5760046399,213,6.26,5760046387,56,Center,5760046385,155,,5760046393,141,23.0,5760046389,140,76.2,5760046397,212,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820670567,19,1,1,3,23,doohk95o6e8pkqah8vkop51dg,0,20.9,73.0,2025-06-01T12:33:39.065Z,2025-06-01T12:33:40Z,b4nxbfm6audv844unlocgbsgl,M. Koch,,,5760046473,212,18.4,5760046467,56,Back,5760046465,157,,5760046471,141,86.2,5760046475,213,0.51,5760046477,1,,5760046469,140,36.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820670575,21,43,1,3,27,e5txudmuc2qpc460bs4lb5aff,1,0.0,0.0,2025-06-01T12:33:42.469Z,2025-06-01T12:35:59Z,16yy0mbn7y1vztd870gybmane,M. Woledzi,,,5760050699,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820670583,22,1,1,3,27,e5txudmuc2qpc460bs4lb5aff,1,63.6,11.6,2025-06-01T12:33:42.799Z,2025-06-01T12:33:45Z,16yy0mbn7y1vztd870gybmane,M. Woledzi,,,5760046661,212,17.5,5760046659,141,27.4,5760046663,213,0.66,5760046657,140,76.8,5760046655,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820670621,23,1,1,3,30,e5txudmuc2qpc460bs4lb5aff,1,76.8,27.4,2025-06-01T12:33:45.470Z,2025-06-01T12:36:21Z,95u4j4kg3w5wfpk8ilcimhfdg,H. Skogvold,,,5760051377,156,,5760046909,56,Center,5760046911,140,56.5,5760046915,212,21.6,5760046913,141,32.8,5760046917,213,2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820670627,24,1,1,3,33,e5txudmuc2qpc460bs4lb5aff,1,56.5,32.7,2025-06-01T12:33:49.421Z,2025-06-01T12:33:51Z,1s6yn52hlqtmmz4lerscf457u,R. Shein,,,5760046973,56,Center,5760046979,212,11.1,5760046981,213,1.95,5760046975,140,52.6,5760046977,141,47.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820670639,25,1,1,3,35,e5txudmuc2qpc460bs4lb5aff,1,52.6,47.9,2025-06-01T12:33:51.398Z,2025-06-01T12:37:09Z,bbiblpn6dg2ub1guiphivzq50,F. Fall,,,5760047037,141,68.4,5760047035,140,73.3,5760047041,213,0.57,5760047033,56,Center,5760047039,212,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820670641,26,1,1,3,39,e5txudmuc2qpc460bs4lb5aff,0,77.2,78.1,2025-06-01T12:33:54.582Z,2025-06-01T13:38:13Z,dkuinrikn3htd1kilcsce2bit,E. Holten,,,5760047055,56,Center,5760047063,213,5.25,5760047051,2,,5760047059,141,47.7,5760047057,140,88.9,5760047053,155,,5760047061,212,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820670645,20,12,1,3,40,doohk95o6e8pkqah8vkop51dg,1,5.6,40.3,2025-06-01T12:33:55.529Z,2025-06-01T12:37:35Z,b4nxbfm6audv844unlocgbsgl,M. Koch,,,5760047065,56,Back,5760047067,140,8.4,5760047073,213,5.69,5760047071,212,3.5,5760047069,141,37.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820670651,21,45,1,3,41,doohk95o6e8pkqah8vkop51dg,0,8.6,42.7,2025-06-01T12:33:57.338Z,2025-06-01T14:47:04Z,b4nxbfm6audv844unlocgbsgl,M. Koch,,,5760047105,285,,5760047103,56,Back,5760047183,233,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820670657,27,3,1,3,41,e5txudmuc2qpc460bs4lb5aff,1,91.4,57.3,2025-06-01T12:33:57.338Z,2025-06-01T14:57:07Z,ci3c5x4u4g1n4y9p63av1txx,S. Molde,,,5760047125,56,Center,5760047171,233,21,5760047127,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820670659,28,15,1,3,43,e5txudmuc2qpc460bs4lb5aff,1,88.8,51.0,2025-06-01T12:33:58.477Z,2025-06-01T12:38:25Z,ci3c5x4u4g1n4y9p63av1txx,S. Molde,,,5760056229,72,,5760048761,230,98.2,5760056231,78,,5760048781,233,22,5760048763,231,50.9,5760048759,147,50.9,5760048753,458,,5760047155,17,,5760048749,102,50.5,5760048757,146,90.8,5760047157,56,Center,5760048751,103,19,5760048727,82,5760047153,22,,,,,,,,,,,,,,,,,,,,
2820670655,22,10,1,3,43,doohk95o6e8pkqah8vkop51dg,1,5.1,48.4,2025-06-01T12:33:58.577Z,2025-06-01T14:57:09Z,58zj1aw2i5mfyzb3knj72xk6i,S. Christiansen,,,5760047123,56,Back,5760047121,94,,5760048847,233,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820670675,23,12,1,3,44,doohk95o6e8pkqah8vkop51dg,1,5.7,51.3,2025-06-01T12:33:59.975Z,2025-06-01T12:34:02Z,4fkb8m4vdcyn1iwck0ukhofmc,F. Tebo Uchenna,,,5760047223,140,42.5,5760047229,213,5.92,5760047221,56,Back,5760047227,212,41.3,5760047225,141,29.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820670703,29,1,1,3,53,e5txudmuc2qpc460bs4lb5aff,1,60.0,61.5,2025-06-01T12:34:08.910Z,2025-06-01T12:34:09Z,bbiblpn6dg2ub1guiphivzq50,F. Fall,,,5760047357,212,7.9,5760047353,140,54.3,5760047355,141,54.0,5760047351,56,Center,5760047359,213,3.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820670713,30,1,1,3,54,e5txudmuc2qpc460bs4lb5aff,1,54.3,54.0,2025-06-01T12:34:09.773Z,2025-06-01T12:34:14Z,bhkecr2u6neb933eo468i82ui,L. Owusu,,,5760047445,213,0.87,5760047439,140,68.9,5760047441,141,80.6,5760047437,56,Left,5760047443,212,23.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820670719,31,1,1,3,58,e5txudmuc2qpc460bs4lb5aff,1,77.0,85.7,2025-06-01T12:34:13.837Z,2025-06-01T12:34:16Z,1s6yn52hlqtmmz4lerscf457u,R. Shein,,,5760047499,213,0.08,5760047491,56,Left,5760047495,141,86.8,5760047493,140,85.8,5760047497,212,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820670729,32,1,1,4,0,e5txudmuc2qpc460bs4lb5aff,0,86.5,86.8,2025-06-01T12:34:16.389Z,2025-06-01T12:34:20Z,95u4j4kg3w5wfpk8ilcimhfdg,H. Skogvold,,,5760047557,140,95.0,5760047561,212,28.1,5760047555,56,Center,5760047559,141,47.6,5760047563,213,5.04,5760047551,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820670731,24,12,1,4,2,doohk95o6e8pkqah8vkop51dg,1,6.6,49.9,2025-06-01T12:34:18.346Z,2025-06-01T12:34:21Z,b4nxbfm6audv844unlocgbsgl,M. Koch,,,5760047569,141,48.1,5760047573,213,6.24,5760047567,140,31.7,5760047565,56,Back,5760047571,212,26.4,5760047587,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820670735,33,15,1,4,4,e5txudmuc2qpc460bs4lb5aff,1,69.0,59.1,2025-06-01T12:34:20.033Z,2025-06-01T14:57:06Z,dfp3y0edqm1vg85f6n3b6ut49,U. Fredriksen,,,5760058629,215,,5760047749,103,12.0,5760047771,233,25,5760047757,147,50.5,5760047691,20,,5760047753,146,98.6,5760047751,458,,5760047745,78,,5760047593,56,Center,5760047589,22,,5760047591,18,,5760047747,102,50.2,,,,,,,,,,,,,,,,,,,,,,,,
