id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/14/value
2808786165,6,3,1,0,16,4q0b35m26thti4c2on9a3npk0,0,48.3,74.2,2025-05-02T17:00:52.964Z,2025-05-02T19:19:02Z,26ro2zdtkq9ia7dzr9ellxkvd,T. Haltvik,,5694502251,233,5,5694323751,56,Back,5694502167,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808786191,5,7,1,0,16,crlocdyqyb1fdhck54qxs65rl,1,51.7,25.8,2025-05-02T17:00:52.965Z,2025-05-02T19:19:02Z,424bbibjsasfjrkjoa0jfkhk9,L. Mares,,5694502221,233,6,5694323853,56,Center,5694323855,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808786213,6,5,1,0,18,crlocdyqyb1fdhck54qxs65rl,0,47.0,-1.7,2025-05-02T17:00:55.003Z,2025-05-02T19:19:34Z,2gbfwdmpk5gfmcc979aqfkyxh,G. Granath,,5694323975,347,,5694323973,56,Back,5694324079,233,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808786223,7,5,1,0,18,4q0b35m26thti4c2on9a3npk0,1,53.0,101.7,2025-05-02T17:00:55.003Z,2025-05-02T19:19:34Z,26ro2zdtkq9ia7dzr9ellxkvd,T. Haltvik,,5694324043,56,Left,5694324071,233,6,5694324045,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808786235,8,1,1,0,23,4q0b35m26thti4c2on9a3npk0,1,47.1,100.0,2025-05-02T17:00:59.371Z,2025-05-02T17:01:01Z,67nybn375tyqdqae4m1yk407o,M. Tønnessen,,5694324105,107,,5694324111,141,81.5,5694324109,140,43.8,5694324115,213,4.46,5694324107,56,Back,5694324113,212,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808786255,9,1,1,0,24,4q0b35m26thti4c2on9a3npk0,1,43.9,81.5,2025-05-02T17:01:01.003Z,2025-05-02T17:01:03Z,c1jlypnkt4c9y9vdnjkvxa85x,R. Rasch,,5694324223,213,2.22,5694324221,212,10.5,5694324219,141,93.8,5694324215,56,Back,5694324217,140,37.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808786293,10,1,1,0,27,4q0b35m26thti4c2on9a3npk0,1,37.6,93.6,2025-05-02T17:01:03.604Z,2025-05-02T17:01:08Z,67nybn375tyqdqae4m1yk407o,M. Tønnessen,,5694324455,56,Back,5694324457,140,31.7,5694324461,212,11.4,5694324463,213,4.14,5694324459,141,79.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808786305,11,1,1,0,31,4q0b35m26thti4c2on9a3npk0,1,21.4,76.1,2025-05-02T17:01:07.932Z,2025-05-02T18:01:21Z,1pobxn4eg4l8phk4ug0t56t7u,A. Aleesami,,5694324547,140,21.9,5694324545,56,Back,5694324551,212,19.0,5694324553,213,4.74,5694324549,141,48.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808786323,12,1,1,0,33,4q0b35m26thti4c2on9a3npk0,1,22.2,45.9,2025-05-02T17:01:09.396Z,2025-05-02T17:01:11Z,5u4eoypx0tb3t0brk2dv8sm0a,F. Berglie,,5694324615,141,51.4,5694324617,212,14.7,5694324613,140,8.7,5694324611,56,Back,5694324619,213,2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808786333,13,1,1,0,34,4q0b35m26thti4c2on9a3npk0,0,8.7,51.4,2025-05-02T17:01:11.124Z,2025-05-02T17:01:12Z,7f0drwvw3zquh352luxegqtpl,E. Ødegaard,,5694324665,56,Back,5694324673,213,6.24,5694324675,1,,5694324663,157,,5694324671,212,40.6,5694324667,140,47.3,5694324669,141,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808786353,8,1,1,0,39,crlocdyqyb1fdhck54qxs65rl,1,50.2,48.5,2025-05-02T17:01:15.452Z,2025-05-02T17:01:16Z,2gbfwdmpk5gfmcc979aqfkyxh,G. Granath,,5694324803,141,58.8,5694324805,212,16.0,5694324799,56,Back,5694324807,213,2.69,5694324801,140,36.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808786377,9,1,1,0,40,crlocdyqyb1fdhck54qxs65rl,1,36.5,58.8,2025-05-02T17:01:16.707Z,2025-05-02T17:01:19Z,424bbibjsasfjrkjoa0jfkhk9,L. Mares,,5694324921,212,33.9,5694324929,1,,5694324917,141,10.0,5694324909,56,Back,5694324925,213,4.91,5694324913,140,42.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808786393,10,1,1,0,43,crlocdyqyb1fdhck54qxs65rl,1,41.6,12.9,2025-05-02T17:01:19.674Z,2025-05-02T17:01:21Z,1t1ylf4iwrotj4jjf9qfzbieh,S. Strand Nilsen,,5694325019,140,43.1,5694325021,141,30.0,5694325017,56,Back,5694325025,213,1.44,5694325023,212,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808786407,11,1,1,0,44,crlocdyqyb1fdhck54qxs65rl,1,43.1,30.0,2025-05-02T17:01:20.852Z,2025-05-02T17:01:23Z,4m57qe3mtal1r68md5yj8xvc9,T. Sørås,,5694325087,56,Back,5694325093,212,18.4,5694325095,213,4.17,5694325089,140,34.0,5694325091,141,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808786515,12,1,1,0,46,crlocdyqyb1fdhck54qxs65rl,1,34.0,6.8,2025-05-02T17:01:23.355Z,2025-05-02T17:01:33Z,1t1ylf4iwrotj4jjf9qfzbieh,S. Strand Nilsen,,5694325543,141,17.9,5694325539,56,Right,5694325545,212,44.0,5694325549,1,,5694325541,140,75.3,5694325547,213,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808786579,13,1,1,0,57,crlocdyqyb1fdhck54qxs65rl,1,75.5,19.4,2025-05-02T17:01:33.442Z,2025-05-02T17:59:25Z,2gbfwdmpk5gfmcc979aqfkyxh,G. Granath,,5694325773,56,Right,5694492091,168,,5694325775,140,91.3,5694325779,212,18.4,5694325777,141,7.7,5694325781,213,5.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808786519,14,83,1,0,57,4q0b35m26thti4c2on9a3npk0,0,18.8,73.0,2025-05-02T17:01:33.765Z,2025-05-02T18:01:53Z,67nybn375tyqdqae4m1yk407o,M. Tønnessen,,5694325877,399,4m57qe3mtal1r68md5yj8xvc9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808817895,324,1,1,0,58,crlocdyqyb1fdhck54qxs65rl,1,69.9,21.7,2025-05-02T17:01:34.362Z,2025-05-02T18:00:05Z,4m57qe3mtal1r68md5yj8xvc9,T. Sørås,,5694493499,213,4.70,5694493495,141,5.6,5694493493,140,69.8,5694493497,212,10.9,5694493491,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808786581,14,50,1,0,59,crlocdyqyb1fdhck54qxs65rl,1,88.2,11.4,2025-05-02T17:01:36.267Z,2025-05-02T18:01:50Z,a9guphf8p0im4it165fsqhud,P. Kirkevold,,5694325843,233,15,5694325787,286,,5694325785,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808786561,15,7,1,0,59,4q0b35m26thti4c2on9a3npk0,1,11.8,88.6,2025-05-02T17:01:36.268Z,2025-05-02T18:01:50Z,1pobxn4eg4l8phk4ug0t56t7u,A. Aleesami,,5694325717,167,,5694325721,285,,5694325809,233,14,5694325719,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808786753,15,5,1,1,1,crlocdyqyb1fdhck54qxs65rl,1,86.6,-2.0,2025-05-02T17:01:37.748Z,2025-05-02T19:19:35Z,a9guphf8p0im4it165fsqhud,P. Kirkevold,,5694326631,347,,5694327865,233,16,5694326629,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808786565,16,5,1,1,1,4q0b35m26thti4c2on9a3npk0,0,13.4,102.0,2025-05-02T17:01:37.748Z,2025-05-02T17:02:24Z,5u4eoypx0tb3t0brk2dv8sm0a,F. Berglie,,5694327873,233,15,5694325737,347,,5694325735,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808786773,16,1,1,1,21,crlocdyqyb1fdhck54qxs65rl,0,87.7,0.0,2025-05-02T17:01:58.154Z,2025-05-02T17:02:01Z,1t1ylf4iwrotj4jjf9qfzbieh,S. Strand Nilsen,,5694326733,213,1.56,5694326727,140,88.0,5694326735,1,,5694326729,141,46.1,5694326731,212,32.5,5694326723,107,,5694326725,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808786787,17,12,1,1,24,4q0b35m26thti4c2on9a3npk0,1,9.2,66.4,2025-05-02T17:02:00.981Z,2025-05-02T17:02:05Z,67nybn375tyqdqae4m1yk407o,M. Tønnessen,,5694326813,15,,5694326807,141,43.6,5694326809,212,20.2,5694326811,213,5.41,5694326805,140,21.6,5694326803,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808786815,17,13,1,1,28,crlocdyqyb1fdhck54qxs65rl,1,77.1,53.9,2025-05-02T17:02:04.955Z,2025-05-02T17:02:16Z,c1p51x3fg0dgss14z9vozfqc4,A. Ekeroth,,5694327527,328,,5694327533,231,50.2,5694327521,102,60.2,5694327519,77,,5694327529,458,,5694327235,72,,5694327525,215,,5694327531,230,98.9,5694327523,103,75,5694327233,160,5694326965,56,Center,5694326963,18,,,,,,,,,,,,,,,,,
2808786833,18,5,1,1,28,crlocdyqyb1fdhck54qxs65rl,0,101.6,54.0,2025-05-02T17:02:05.156Z,2025-05-02T19:19:35Z,c1p51x3fg0dgss14z9vozfqc4,A. Ekeroth,,5694327055,346,,5694327261,233,18,5694327053,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808786861,18,5,1,1,28,4q0b35m26thti4c2on9a3npk0,1,-1.6,46.0,2025-05-02T17:02:05.156Z,2025-05-02T17:02:14Z,67nybn375tyqdqae4m1yk407o,M. Tønnessen,,5694327211,233,18,5694327191,56,Back,5694327193,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808787447,24,1,1,1,50,4q0b35m26thti4c2on9a3npk0,1,3.6,53.6,2025-05-02T17:02:26.640Z,2025-05-02T18:02:13Z,7f0drwvw3zquh352luxegqtpl,E. Ødegaard,,5694503749,189,,5694331509,141,60.9,5694331513,213,0.69,5694331507,140,9.3,5694331505,56,Back,5694331511,212,7.8,5694331517,237,,5694331503,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808787545,25,1,1,1,51,4q0b35m26thti4c2on9a3npk0,1,5.3,55.8,2025-05-02T17:02:27.397Z,2025-05-02T18:02:14Z,5u4eoypx0tb3t0brk2dv8sm0a,F. Berglie,,5694331805,141,47.7,5694331803,140,8.5,5694331809,213,5.26,5694331801,56,Back,5694503923,189,,5694331807,212,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808787067,19,1,1,1,52,4q0b35m26thti4c2on9a3npk0,0,5.1,53.2,2025-05-02T17:02:29.044Z,2025-05-02T18:02:16Z,7f0drwvw3zquh352luxegqtpl,E. Ødegaard,,5694328195,212,52.1,5694328187,124,,5694328193,141,65.0,5694328189,56,Center,5694328201,74,,5694328191,140,54.1,5694328197,213,0.15,5694328199,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808787091,19,1,1,1,53,crlocdyqyb1fdhck54qxs65rl,0,38.8,30.3,2025-05-02T17:02:30.274Z,2025-05-02T17:02:31Z,2gbfwdmpk5gfmcc979aqfkyxh,G. Granath,,5694328347,213,0.03,5694328341,140,47.0,5694328337,3,,5694328345,212,8.6,5694328339,56,Back,5694328343,141,30.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808787121,20,3,1,1,56,4q0b35m26thti4c2on9a3npk0,0,56.8,71.8,2025-05-02T17:02:33.197Z,2025-05-02T18:02:23Z,aebliukutyz91pczaam39lolx,Moussa Njie,,5694328505,56,Center,5694328507,286,,5694328759,233,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808787161,20,7,1,1,56,crlocdyqyb1fdhck54qxs65rl,1,43.2,28.2,2025-05-02T17:02:33.198Z,2025-05-02T17:03:03Z,1t1ylf4iwrotj4jjf9qfzbieh,S. Strand Nilsen,,5694328687,56,Back,5694328723,233,20,5694328685,167,,5694328689,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808787167,21,6,1,2,0,crlocdyqyb1fdhck54qxs65rl,0,39.2,21.8,2025-05-02T17:02:36.654Z,2025-05-02T19:18:32Z,1t1ylf4iwrotj4jjf9qfzbieh,S. Strand Nilsen,,5694328907,56,Back,5694328909,73,,5694328951,233,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808787147,21,6,1,2,0,4q0b35m26thti4c2on9a3npk0,1,60.8,78.2,2025-05-02T17:02:36.654Z,2025-05-02T19:18:32Z,aebliukutyz91pczaam39lolx,Moussa Njie,,5694328939,233,21,5694328655,73,,5694328653,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808787435,22,1,1,2,32,4q0b35m26thti4c2on9a3npk0,0,99.8,99.6,2025-05-02T17:03:08.366Z,2025-05-02T17:03:11Z,c1jlypnkt4c9y9vdnjkvxa85x,R. Rasch,,5694330207,140,100.0,5694330201,155,,5694330215,1,,5694330197,2,,5694330213,213,4.73,5694330209,141,33.9,5694330199,6,,5694330203,223,,5694330211,212,44.7,5694330205,56,,,,,,Center,,,,,,,,,,,,,,,,
2808787739,22,5,1,2,35,crlocdyqyb1fdhck54qxs65rl,1,-0.9,68.0,2025-05-02T17:03:11.385Z,2025-05-02T19:19:35Z,1t1ylf4iwrotj4jjf9qfzbieh,S. Strand Nilsen,,5694331771,346,,5694331793,233,23,5694331769,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808787441,23,5,1,2,35,4q0b35m26thti4c2on9a3npk0,0,100.9,32.0,2025-05-02T17:03:11.385Z,2025-05-02T19:19:36Z,c1jlypnkt4c9y9vdnjkvxa85x,R. Rasch,,5694330243,346,,5694330241,56,Center,5694331797,233,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808787767,23,1,1,3,6,crlocdyqyb1fdhck54qxs65rl,1,4.7,43.4,2025-05-02T17:03:42.609Z,2025-05-02T17:03:46Z,6y6xobx7t2qx431s59kv8hk9h,M. Sandberg,,5694331919,74,,5694331903,124,,5694331911,212,63.1,5694331905,56,Center,5694331909,141,23.9,5694331907,140,63.5,5694331915,1,,5694331913,213,6.07,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808787781,24,1,1,3,9,crlocdyqyb1fdhck54qxs65rl,0,63.5,23.9,2025-05-02T17:03:45.985Z,2025-05-02T17:08:11Z,4m57qe3mtal1r68md5yj8xvc9,T. Sørås,,5694331985,141,25.2,5694331983,140,68.6,5694331977,3,,5694331987,212,5.4,5694331981,56,Center,5694331989,213,0.16,5694331979,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808787783,26,1,1,3,10,4q0b35m26thti4c2on9a3npk0,0,31.8,76.0,2025-05-02T17:03:46.455Z,2025-05-02T22:51:25Z,67nybn375tyqdqae4m1yk407o,M. Tønnessen,,5694331997,141,76.0,5694331993,56,Back,5694331991,3,,5694332001,213,0.00,5694331995,140,43.8,5694331999,212,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808787839,25,1,1,3,11,crlocdyqyb1fdhck54qxs65rl,1,62.6,19.2,2025-05-02T17:03:47.818Z,2025-05-02T17:07:51Z,4m57qe3mtal1r68md5yj8xvc9,T. Sørås,,5694332245,213,6.02,5694332239,140,74.3,5694332243,212,12.7,5694332237,56,Right,5694332241,141,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808787867,26,1,1,3,15,crlocdyqyb1fdhck54qxs65rl,1,74.3,14.3,2025-05-02T17:03:52.049Z,2025-05-02T17:08:08Z,1t1ylf4iwrotj4jjf9qfzbieh,S. Strand Nilsen,,5694332379,56,Right,5694332387,213,5.95,5694332381,140,82.1,5694332383,141,10.1,5694332385,212,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808787891,27,1,1,3,18,crlocdyqyb1fdhck54qxs65rl,0,80.3,14.0,2025-05-02T17:03:55.329Z,2025-05-02T17:08:13Z,5yhieehol1p5crvzjd55ac8wk,A. Potur,,5694332529,212,44.0,5694332517,155,,5694332533,1,,5694332521,56,Center,5694332527,141,69.4,5694332515,2,,5694332531,213,1.03,5694332523,140,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808788045,27,5,1,3,21,4q0b35m26thti4c2on9a3npk0,1,-1.8,32.7,2025-05-02T17:03:58.279Z,2025-05-02T19:19:36Z,1pobxn4eg4l8phk4ug0t56t7u,A. Aleesami,,5694333279,346,,5694333289,233,28,5694333277,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808787915,28,5,1,3,21,crlocdyqyb1fdhck54qxs65rl,0,101.8,67.3,2025-05-02T17:03:58.279Z,2025-05-02T19:19:37Z,5yhieehol1p5crvzjd55ac8wk,A. Potur,,5694332635,56,Center,5694333303,233,27,5694332637,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808788079,28,1,1,3,39,4q0b35m26thti4c2on9a3npk0,0,3.8,50.7,2025-05-02T17:04:15.870Z,2025-05-02T17:04:18Z,7f0drwvw3zquh352luxegqtpl,E. Ødegaard,,5694333467,74,,5694333461,212,64.7,5694333453,124,,5694333455,56,Center,5694333465,1,,5694333459,141,65.6,5694333463,213,0.16,5694333457,140,64.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808788101,29,1,1,3,42,crlocdyqyb1fdhck54qxs65rl,0,34.4,25.6,2025-05-02T17:04:18.712Z,2025-05-02T17:04:20Z,2gbfwdmpk5gfmcc979aqfkyxh,G. Granath,,5694333595,141,35.8,5694333597,212,24.1,5694333593,140,56.4,5694333591,56,Center,5694333589,3,,5694333599,213,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808788115,29,1,1,3,44,4q0b35m26thti4c2on9a3npk0,1,51.6,58.5,2025-05-02T17:04:20.957Z,2025-05-02T17:06:04Z,3usrzzduezg3zt3usvuayxxm2,S. Hestnes,,5694339019,213,0.54,5694339017,212,6.5,5694333635,56,Center,5694339013,140,56.9,5694339015,141,63.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
