id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2818877397,9,1,1,0,17,doohk95o6e8pkqah8vkop51dg,1,61.1,89.7,2025-05-25T15:01:47.061Z,2025-05-25T15:01:48Z,44t0ew97eyl8ww00sgusx00a2,A. Sher,,,5750005479,213,3.14,5750005469,140,42.8,5750005475,212,19.2,5750005471,141,89.7,5750005467,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818877431,10,1,1,0,18,doohk95o6e8pkqah8vkop51dg,1,42.8,89.7,2025-05-25T15:01:48.037Z,2025-05-25T15:01:50Z,4fkb8m4vdcyn1iwck0ukhofmc,F. Tebo Uchenna,,,5750005639,212,20.2,5750005629,56,Left,5750005641,213,0.19,5750005635,140,61.7,5750005637,141,95.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818877449,3,45,1,0,20,80hgdmpkvdrhw1ge9nks2kxvy,0,29.7,7.6,2025-05-25T15:01:49.965Z,2025-05-25T16:02:01Z,95t0lc2qqgzxp92n1pr62n816,D. Edvardsson,,,5750005727,285,,5750005725,56,Back,5750005877,233,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818877455,11,3,1,0,20,doohk95o6e8pkqah8vkop51dg,1,70.3,92.4,2025-05-25T15:01:49.965Z,2025-05-25T16:02:00Z,115owbh8c39gfwcja2wxuweay,H. Tangen,,,5750005783,56,Left,5750005785,286,,5750005827,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818877503,12,1,1,0,22,doohk95o6e8pkqah8vkop51dg,1,55.0,88.8,2025-05-25T15:01:52.173Z,2025-05-25T15:01:55Z,115owbh8c39gfwcja2wxuweay,H. Tangen,,,5750006095,213,3.37,5750006089,140,32.2,5750006091,141,80.6,5750006093,212,24.6,5750006087,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818877539,13,1,1,0,25,doohk95o6e8pkqah8vkop51dg,1,36.3,80.6,2025-05-25T15:01:55.629Z,2025-05-25T15:02:37Z,4fkb8m4vdcyn1iwck0ukhofmc,F. Tebo Uchenna,,,5750006289,56,Left,5750006291,140,55.5,5750006297,213,0.30,5750006293,141,89.9,5750006295,212,21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818877571,14,1,1,0,28,doohk95o6e8pkqah8vkop51dg,1,55.5,90.0,2025-05-25T15:01:58.197Z,2025-05-25T15:01:59Z,d2xmywt450kjrph838hshcn3d,Mohanad Jeahze,,,5750006453,213,4.17,5750006451,212,5.7,5750006445,56,Left,5750006449,141,82.8,5750006447,140,52.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818877581,15,1,1,0,29,doohk95o6e8pkqah8vkop51dg,1,52.7,82.8,2025-05-25T15:01:59.605Z,2025-05-25T15:02:00Z,4fkb8m4vdcyn1iwck0ukhofmc,F. Tebo Uchenna,,,5750006529,213,4.68,5750006523,140,52.5,5750006527,212,6.6,5750006525,141,73.1,5750006521,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818877597,16,1,1,0,30,doohk95o6e8pkqah8vkop51dg,1,52.5,73.1,2025-05-25T15:02:00.477Z,2025-05-25T15:02:01Z,44t0ew97eyl8ww00sgusx00a2,A. Sher,,,5750006609,212,8.9,5750006603,56,Back,5750006611,213,2.46,5750006607,141,81.3,5750006605,140,45.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818877629,17,1,1,0,31,doohk95o6e8pkqah8vkop51dg,1,43.6,80.9,2025-05-25T15:02:01.525Z,2025-05-25T15:02:04Z,4fkb8m4vdcyn1iwck0ukhofmc,F. Tebo Uchenna,,,5750006853,212,25.1,5750006851,141,45.7,5750006849,140,36.4,5750006855,213,4.41,5750006847,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818877681,18,1,1,0,34,doohk95o6e8pkqah8vkop51dg,1,37.3,41.3,2025-05-25T15:02:04.070Z,2025-05-25T15:02:07Z,b4nxbfm6audv844unlocgbsgl,M. Koch,,,5750007115,141,11.8,5750007119,213,5.14,5750007113,140,46.0,5750007117,212,22.0,5750007111,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818877701,19,1,1,0,37,doohk95o6e8pkqah8vkop51dg,1,45.8,17.2,2025-05-25T15:02:07.197Z,2025-05-25T15:02:08Z,30ojg24sppf8bzngafnd4neg9,E. Wichne,,,5750007147,140,50.3,5750007153,213,0.58,5750007151,212,5.7,5750007145,56,Center,5750007149,141,21.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818877759,20,1,1,0,38,doohk95o6e8pkqah8vkop51dg,0,50.3,21.8,2025-05-25T15:02:07.885Z,2025-05-25T15:02:10Z,44t0ew97eyl8ww00sgusx00a2,A. Sher,,,5750007431,141,0.0,5750007435,213,5.45,5750007433,212,21.5,5750007427,56,Right,5750007429,140,64.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818877905,4,5,1,0,40,80hgdmpkvdrhw1ge9nks2kxvy,1,34.3,101.3,2025-05-25T15:02:10.494Z,2025-05-25T17:34:05Z,766yz5r437tgwjkn0ey8j2wwk,R. Norheim,,,5750008249,347,,5750008247,56,Back,5750008289,233,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818877769,21,5,1,0,40,doohk95o6e8pkqah8vkop51dg,0,65.7,-1.3,2025-05-25T15:02:10.494Z,2025-05-25T17:34:06Z,44t0ew97eyl8ww00sgusx00a2,A. Sher,,,5750007479,56,Right,5750007481,347,,5750008321,233,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818877959,5,1,1,0,51,80hgdmpkvdrhw1ge9nks2kxvy,1,30.8,100.0,2025-05-25T15:02:21.356Z,2025-05-25T15:04:35Z,766yz5r437tgwjkn0ey8j2wwk,R. Norheim,,,5750021313,189,,5750008501,141,85.3,5750008497,56,Back,5750008507,1,,5750008503,212,27.2,5750008499,140,7.3,5750008495,107,,5750008505,213,3.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818877943,22,83,1,0,54,doohk95o6e8pkqah8vkop51dg,0,90.4,5.6,2025-05-25T15:02:23.885Z,2025-05-25T15:02:27Z,2urilkjhzglzfbteda50ml8us,M. Håheim-Elveseter,,,5750008741,399,bab8s40ltdf9v117umanbcmxg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818878003,6,43,1,0,55,80hgdmpkvdrhw1ge9nks2kxvy,1,0.0,0.0,2025-05-25T15:02:25.020Z,2025-05-25T15:04:51Z,bab8s40ltdf9v117umanbcmxg,A. Kinteh,,,5750008685,56,Back,5750008687,285,0,5750023207,144,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818878019,7,1,1,0,57,80hgdmpkvdrhw1ge9nks2kxvy,0,18.5,95.4,2025-05-25T15:02:27.012Z,2025-05-25T15:02:28Z,bab8s40ltdf9v117umanbcmxg,A. Kinteh,,,5750008779,140,27.1,5750008781,141,95.9,5750008783,212,9.0,5750008825,286,,5750008785,213,0.04,5750008821,233,23,5750008817,236,,5750008777,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818878009,23,74,1,0,57,doohk95o6e8pkqah8vkop51dg,1,77.2,4.4,2025-05-25T15:02:27.013Z,2025-05-25T15:02:29Z,azurrp6gm0xahdwntj9clyiac,V. Halvorsen,,,5750008727,285,,5750008725,56,Right,5750008869,233,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818878123,8,5,1,0,58,80hgdmpkvdrhw1ge9nks2kxvy,1,23.7,101.9,2025-05-25T15:02:28.622Z,2025-05-25T17:34:06Z,bab8s40ltdf9v117umanbcmxg,A. Kinteh,,,5750009373,56,Back,5750009375,347,,5750009435,233,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818878037,24,5,1,0,58,doohk95o6e8pkqah8vkop51dg,0,76.3,-1.9,2025-05-25T15:02:28.622Z,2025-05-25T17:34:06Z,azurrp6gm0xahdwntj9clyiac,V. Halvorsen,,,5750008877,347,,5750008875,56,Right,5750009477,233,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818878183,9,1,1,1,4,80hgdmpkvdrhw1ge9nks2kxvy,1,20.4,100.0,2025-05-25T15:02:34.588Z,2025-05-25T15:02:38Z,766yz5r437tgwjkn0ey8j2wwk,R. Norheim,,,5750009727,56,Back,5750009733,212,19.6,5750009731,141,86.5,5750009729,140,4.5,5750009725,107,,5750009735,213,3.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818878239,10,1,1,1,8,80hgdmpkvdrhw1ge9nks2kxvy,0,6.8,89.9,2025-05-25T15:02:38.291Z,2025-05-25T15:02:41Z,bab8s40ltdf9v117umanbcmxg,A. Kinteh,,,5750009949,140,47.1,5750009945,56,Back,5750009957,212,44.0,5750009953,141,72.3,5750009959,213,6.01,5750009961,1,,5750009941,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818881639,65,44,1,1,12,doohk95o6e8pkqah8vkop51dg,1,53.9,17.8,2025-05-25T15:02:41.866Z,2025-05-25T16:02:06Z,4fkb8m4vdcyn1iwck0ukhofmc,F. Tebo Uchenna,,,5750041593,286,,5750041587,56,Right,5750042069,233,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818881755,56,44,1,1,12,80hgdmpkvdrhw1ge9nks2kxvy,0,46.1,82.2,2025-05-25T15:02:41.867Z,2025-05-25T16:02:06Z,b02g29dknl89wywv3l61fgueh,V. Erlien,,,5750041999,285,,5750042095,233,65,5750041997,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818881637,64,61,1,1,12,doohk95o6e8pkqah8vkop51dg,1,58.0,15.8,2025-05-25T15:02:42.731Z,2025-05-25T15:08:23Z,4fkb8m4vdcyn1iwck0ukhofmc,F. Tebo Uchenna,,,5750042501,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818878321,26,1,1,1,13,doohk95o6e8pkqah8vkop51dg,1,36.3,56.3,2025-05-25T15:02:43.591Z,2025-05-25T15:02:47Z,d2xmywt450kjrph838hshcn3d,Mohanad Jeahze,,,5750010393,141,5.2,5750010397,212,35.7,5750010383,56,Back,5750010401,1,,5750010389,140,44.0,5750010399,213,4.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818878345,27,1,1,1,17,doohk95o6e8pkqah8vkop51dg,1,45.0,5.5,2025-05-25T15:02:47.644Z,2025-05-25T15:02:49Z,30ojg24sppf8bzngafnd4neg9,E. Wichne,,,5750010539,140,58.4,5750010545,213,0.17,5750010537,56,Right,5750010543,212,14.3,5750010541,141,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818878375,28,1,1,1,19,doohk95o6e8pkqah8vkop51dg,1,58.8,11.3,2025-05-25T15:02:49.397Z,2025-05-25T15:02:51Z,azurrp6gm0xahdwntj9clyiac,V. Halvorsen,,,5750010689,140,55.2,5750010695,213,3.89,5750010691,141,6.1,5750010693,212,5.2,5750010687,56,Right,5750010737,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818878397,29,1,1,1,21,doohk95o6e8pkqah8vkop51dg,1,55.2,6.1,2025-05-25T15:02:51.317Z,2025-05-25T15:02:52Z,30ojg24sppf8bzngafnd4neg9,E. Wichne,,,5750010823,212,21.9,5750010817,56,Back,5750010821,141,21.7,5750010819,140,36.9,5750010825,213,2.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818878429,30,1,1,1,22,doohk95o6e8pkqah8vkop51dg,1,36.9,21.7,2025-05-25T15:02:52.645Z,2025-05-25T15:02:54Z,b4nxbfm6audv844unlocgbsgl,M. Koch,,,5750010965,212,10.6,5750010967,213,5.64,5750010963,141,12.4,5750010961,140,45.0,5750010959,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818878539,31,1,1,1,24,doohk95o6e8pkqah8vkop51dg,1,45.0,14.3,2025-05-25T15:02:53.830Z,2025-05-25T15:02:59Z,azurrp6gm0xahdwntj9clyiac,V. Halvorsen,,,5750011479,213,2.41,5750011471,56,Back,5750011477,212,15.5,5750011473,140,34.0,5750011475,141,29.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818878563,32,1,1,1,29,doohk95o6e8pkqah8vkop51dg,1,34.0,29.6,2025-05-25T15:02:59.684Z,2025-05-25T15:03:01Z,b4nxbfm6audv844unlocgbsgl,M. Koch,,,5750011605,141,43.3,5750011613,213,0.63,5750011609,212,15.8,5750011599,56,Back,5750011601,140,46.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818878595,33,1,1,1,31,doohk95o6e8pkqah8vkop51dg,1,46.1,43.3,2025-05-25T15:03:01.141Z,2025-05-25T15:03:02Z,44t0ew97eyl8ww00sgusx00a2,A. Sher,,,5750011745,141,57.0,5750011749,213,2.05,5750011743,140,41.5,5750011747,212,10.5,5750011741,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818878635,34,1,1,1,32,doohk95o6e8pkqah8vkop51dg,1,41.3,58.5,2025-05-25T15:03:02.684Z,2025-05-25T15:03:04Z,4fkb8m4vdcyn1iwck0ukhofmc,F. Tebo Uchenna,,,5750011929,140,46.9,5750011935,213,1.22,5750011927,56,Back,5750011931,141,81.9,5750011933,212,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818878669,35,1,1,1,34,doohk95o6e8pkqah8vkop51dg,0,46.9,81.9,2025-05-25T15:03:04.405Z,2025-05-25T15:09:22Z,d2xmywt450kjrph838hshcn3d,Mohanad Jeahze,,,5750048673,155,,5750012095,141,72.3,5750012099,213,6.11,5750012091,56,Center,5750012097,212,38.5,5750012093,140,83.0,5750012101,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818878713,11,1,1,1,37,80hgdmpkvdrhw1ge9nks2kxvy,1,7.9,25.2,2025-05-25T15:03:07.078Z,2025-05-25T15:03:08Z,9l89pnte9uhyc8jnads2lintg,T. Guddal,,,5750012349,213,6.21,5750012345,212,24.4,5750012337,140,31.1,5750012333,56,Back,5750012331,157,,5750012341,141,22.7,5750012355,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818878737,13,1,1,1,39,80hgdmpkvdrhw1ge9nks2kxvy,1,31.1,22.7,2025-05-25T15:03:09.028Z,2025-05-25T15:03:10Z,1qeetk4waatuxev4mqvbxx87p,R. Jenssen,,,5750012489,56,Back,5750012491,140,19.2,5750012495,212,12.6,5750012497,213,3.01,5750012493,141,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818878771,14,1,1,1,40,80hgdmpkvdrhw1ge9nks2kxvy,1,19.2,25.2,2025-05-25T15:03:10.076Z,2025-05-25T15:03:11Z,1gwemllvgcore4shqy79qu82y,V. Skjærvik,,,5750012641,56,Back,5750012647,212,23.3,5750012643,140,29.7,5750012645,141,55.4,5750012649,213,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818878825,15,1,1,1,41,80hgdmpkvdrhw1ge9nks2kxvy,1,32.7,55.7,2025-05-25T15:03:11.700Z,2025-05-25T15:03:15Z,5mvddfxv6aqzohz87gopwl990,J. Hjertø-Dahl,,,5750012945,212,11.1,5750012949,213,2.51,5750012933,56,Back,5750012937,140,24.2,5750012941,141,65.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818878873,16,1,1,1,45,80hgdmpkvdrhw1ge9nks2kxvy,1,24.3,65.8,2025-05-25T15:03:15.669Z,2025-05-25T15:03:19Z,bab8s40ltdf9v117umanbcmxg,A. Kinteh,,,5750013209,212,19.3,5750013211,213,0.19,5750013205,140,42.4,5750013207,141,71.1,5750013203,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818878885,17,3,1,1,49,80hgdmpkvdrhw1ge9nks2kxvy,1,60.4,80.9,2025-05-25T15:03:18.956Z,2025-05-25T16:02:01Z,5mvddfxv6aqzohz87gopwl990,J. Hjertø-Dahl,,,5750013305,286,,5750013303,56,Left,5750013349,233,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818878893,36,45,1,1,49,doohk95o6e8pkqah8vkop51dg,0,39.6,19.1,2025-05-25T15:03:18.956Z,2025-05-25T18:26:32Z,30ojg24sppf8bzngafnd4neg9,E. Wichne,,,5750013407,233,17,5750013311,56,Back,5750013313,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818878987,18,1,1,1,49,80hgdmpkvdrhw1ge9nks2kxvy,1,57.2,74.4,2025-05-25T15:03:19.460Z,2025-05-25T15:03:25Z,5mvddfxv6aqzohz87gopwl990,J. Hjertø-Dahl,,,5750013861,56,Center,5750013863,140,62.9,5750013867,212,11.8,5750013869,213,5.24,5750013865,141,59.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818878969,37,83,1,1,54,doohk95o6e8pkqah8vkop51dg,0,22.6,41.5,2025-05-25T15:03:24.044Z,2025-05-25T15:03:26Z,azurrp6gm0xahdwntj9clyiac,V. Halvorsen,,,5750013959,399,q1o72uyrvclbkccpjvzugacq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818878991,19,61,1,1,55,80hgdmpkvdrhw1ge9nks2kxvy,0,79.2,45.1,2025-05-25T15:03:24.956Z,2025-05-25T18:26:18Z,q1o72uyrvclbkccpjvzugacq,A. Mikkelsen,,,5750013885,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
