id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/value
2813609323,20,1,1,0,59,doohk95o6e8pkqah8vkop51dg,1,55.5,96.8,2025-05-11T15:02:32.647Z,2025-05-11T15:02:37Z,barzsgnl7tazysx2d10yzj04q,P. Reinhardsen,,,5720777851,213,4.15,5720777843,56,Back,5720777849,212,13.0,5720777845,140,48.9,5720777847,141,80.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813609401,21,1,1,1,3,doohk95o6e8pkqah8vkop51dg,1,52.8,64.4,2025-05-11T15:02:36.846Z,2025-05-11T15:02:42Z,44t0ew97eyl8ww00sgusx00a2,A. Sher,,,5720778249,141,15.8,5720778255,1,,5720778251,212,34.7,5720778247,140,62.8,5720778245,56,Right,5720778253,213,5.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813609483,22,1,1,1,9,doohk95o6e8pkqah8vkop51dg,1,77.8,9.8,2025-05-11T15:02:42.302Z,2025-05-11T15:02:47Z,30ojg24sppf8bzngafnd4neg9,E. Wichne,,,5720778691,56,Left,5720778695,141,89.4,5720778697,212,58.4,5720778687,155,,5720778693,140,98.6,5720778683,2,,5720778699,213,1.19,5720778701,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813609511,23,1,1,1,14,doohk95o6e8pkqah8vkop51dg,1,91.7,89.4,2025-05-11T15:02:47.679Z,2025-05-11T15:02:50Z,6wwk8y9mklkh8x606ynhe1lp0,S. Ørjasæter,,,5720778819,56,Left,5720778827,213,3.15,5720778821,140,76.7,5720778823,141,89.3,5720778825,212,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813609557,24,1,1,1,16,doohk95o6e8pkqah8vkop51dg,1,76.1,89.7,2025-05-11T15:02:49.806Z,2025-05-11T15:02:52Z,barzsgnl7tazysx2d10yzj04q,P. Reinhardsen,,,5720779123,56,Left,5720779133,213,3.64,5720779131,212,9.5,5720779127,140,68.2,5720779129,141,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813609567,25,1,1,1,19,doohk95o6e8pkqah8vkop51dg,0,67.3,80.0,2025-05-11T15:02:52.366Z,2025-05-11T15:02:53Z,4fkb8m4vdcyn1iwck0ukhofmc,F. Tebo Uchenna,,,5720779179,212,14.4,5720779175,141,73.4,5720779171,56,Center,5720779173,140,80.3,5720779183,213,5.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813609609,9,8,1,1,22,crlocdyqyb1fdhck54qxs65rl,1,30.1,47.5,2025-05-11T15:02:56.178Z,2025-05-11T15:05:04Z,bb7inex45spf3wj9dqw8sbqi,K. Lien,,,5720779437,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813609643,11,1,1,1,24,crlocdyqyb1fdhck54qxs65rl,1,28.5,41.8,2025-05-11T15:02:58.073Z,2025-05-11T15:03:00Z,4m57qe3mtal1r68md5yj8xvc9,T. Sørås,,,5720779661,212,17.4,5720779659,141,21.5,5720779655,56,Back,5720779657,140,38.6,5720779663,213,5.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813609647,12,4,1,1,26,crlocdyqyb1fdhck54qxs65rl,1,34.2,11.4,2025-05-11T15:02:59.929Z,2025-05-11T15:03:08Z,5yhieehol1p5crvzjd55ac8wk,A. Potur,,,5720780271,295,,5720779711,56,Back,5720779709,13,,5720779981,233,26,5720779717,286,,5720779713,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813609659,26,4,1,1,26,doohk95o6e8pkqah8vkop51dg,0,65.8,88.6,2025-05-11T15:02:59.930Z,2025-05-11T17:17:08Z,barzsgnl7tazysx2d10yzj04q,P. Reinhardsen,,,5720779903,56,Left,5720779905,152,,5720779901,295,,5720780011,233,12,5720779899,13,,5720780015,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813609901,13,1,1,1,41,crlocdyqyb1fdhck54qxs65rl,0,39.8,16.2,2025-05-11T15:03:14.585Z,2025-05-11T15:03:22Z,1t1ylf4iwrotj4jjf9qfzbieh,S. Strand Nilsen,,,5720781139,155,,5720781153,1,,5720781141,152,,5720781145,140,78.1,5720781147,141,0.0,5720781151,213,5.99,5720781143,56,Right,5720781137,5,,5720781149,212,42.0,5720781699,189,,,,,,,,,,,,,,,,,,,,,,
2813609911,14,5,1,1,43,crlocdyqyb1fdhck54qxs65rl,0,78.0,-1.6,2025-05-11T15:03:16.550Z,2025-05-11T15:03:25Z,1t1ylf4iwrotj4jjf9qfzbieh,S. Strand Nilsen,,,5720781195,347,,5720781193,56,Right,5720781837,233,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813610007,27,5,1,1,43,doohk95o6e8pkqah8vkop51dg,1,22.0,101.6,2025-05-11T15:03:16.550Z,2025-05-11T17:10:18Z,4fkb8m4vdcyn1iwck0ukhofmc,F. Tebo Uchenna,,,5720781767,233,14,5720781721,56,Back,5720781723,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813610153,28,1,1,2,1,doohk95o6e8pkqah8vkop51dg,0,23.7,100.0,2025-05-11T15:03:34.351Z,2025-05-11T15:03:48Z,barzsgnl7tazysx2d10yzj04q,P. Reinhardsen,,,5720782457,140,29.6,5720782463,213,5.72,5720782455,56,Back,5720782461,212,7.3,5720783637,189,,5720782459,141,95.9,5720782453,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813610195,15,50,1,2,4,crlocdyqyb1fdhck54qxs65rl,1,71.0,7.1,2025-05-11T15:03:38.265Z,2025-05-11T17:11:52Z,5yhieehol1p5crvzjd55ac8wk,A. Potur,,,5720782689,286,,5720782687,56,Right,5720782873,233,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813610221,29,7,1,2,4,doohk95o6e8pkqah8vkop51dg,1,29.0,92.9,2025-05-11T15:03:38.266Z,2025-05-11T17:11:51Z,115owbh8c39gfwcja2wxuweay,H. Tangen,,,5720782799,233,15,5720782767,285,,5720782765,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813610331,16,61,1,2,5,crlocdyqyb1fdhck54qxs65rl,1,75.0,8.6,2025-05-11T15:03:38.790Z,2025-05-11T15:05:15Z,5yhieehol1p5crvzjd55ac8wk,A. Potur,,,5720783363,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813610255,30,1,1,2,6,doohk95o6e8pkqah8vkop51dg,1,29.6,95.9,2025-05-11T15:03:39.518Z,2025-05-11T15:03:41Z,115owbh8c39gfwcja2wxuweay,H. Tangen,,,5720782959,213,5.56,5720782951,141,88.4,5720782941,56,Back,5720782945,140,35.1,5720782955,212,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813610381,31,1,1,2,7,doohk95o6e8pkqah8vkop51dg,1,32.0,87.0,2025-05-11T15:03:41.284Z,2025-05-11T15:03:48Z,6wwk8y9mklkh8x606ynhe1lp0,S. Ørjasæter,,,5720783605,56,Back,5720783609,141,28.0,5720783615,1,,5720783613,213,4.41,5720783607,140,20.1,5720783611,212,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813610477,32,1,1,2,18,doohk95o6e8pkqah8vkop51dg,1,60.3,19.1,2025-05-11T15:03:51.561Z,2025-05-11T15:03:54Z,30ojg24sppf8bzngafnd4neg9,E. Wichne,,,5720784119,213,1.98,5720784117,212,13.9,5720784115,141,37.9,5720784113,140,55.0,5720784111,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813610565,33,1,1,2,21,doohk95o6e8pkqah8vkop51dg,1,54.4,37.7,2025-05-11T15:03:54.613Z,2025-05-11T15:03:59Z,44t0ew97eyl8ww00sgusx00a2,A. Sher,,,5720784693,212,17.6,5720784689,140,63.6,5720784691,141,16.1,5720784695,213,5.29,5720784687,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813610587,34,1,1,2,26,doohk95o6e8pkqah8vkop51dg,0,77.5,16.3,2025-05-11T15:03:59.372Z,2025-05-11T15:04:00Z,30ojg24sppf8bzngafnd4neg9,E. Wichne,,,5720784813,2,,5720784825,213,1.07,5720784821,141,39.8,5720784819,140,85.9,5720784815,155,,5720784823,212,18.3,5720784817,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813610635,17,12,1,2,29,crlocdyqyb1fdhck54qxs65rl,1,14.0,60.9,2025-05-11T15:04:02.761Z,2025-05-11T15:11:08Z,8nmrvwyosqdqwyqowvdqvahh,F. Sjølstad,,,5720785079,140,26.5,5720785083,212,14.4,5720785141,15,,5720785077,56,Back,5720785081,141,69.7,5720785085,213,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813610679,18,1,1,2,32,crlocdyqyb1fdhck54qxs65rl,1,27.5,69.4,2025-05-11T15:04:05.658Z,2025-05-11T15:04:06Z,bb7inex45spf3wj9dqw8sbqi,K. Lien,,,5720785395,213,2.16,5720785391,141,79.6,5720785387,140,23.1,5720785393,212,8.3,5720785383,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813610709,19,1,1,2,33,crlocdyqyb1fdhck54qxs65rl,1,23.1,79.6,2025-05-11T15:04:06.497Z,2025-05-11T15:04:09Z,6ybcevijvdov8qj1hxcbw3dd6,A. Roaldsøy,,,5720785575,141,87.4,5720785571,56,Back,5720785573,140,15.1,5720785579,213,2.58,5720785577,212,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813610731,21,1,1,2,36,crlocdyqyb1fdhck54qxs65rl,0,14.2,87.4,2025-05-11T15:04:09.489Z,2025-05-11T15:11:02Z,c1p51x3fg0dgss14z9vozfqc4,A. Ekeroth,,,5720785693,141,81.7,5720785697,212,9.6,5720785687,56,Back,5720785699,213,5.87,5720785689,140,22.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813610747,35,8,1,2,37,doohk95o6e8pkqah8vkop51dg,1,69.3,16.0,2025-05-11T15:04:11.100Z,2025-05-11T17:12:22Z,58zj1aw2i5mfyzb3knj72xk6i,S. Christiansen,,,5720785779,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813610777,22,5,1,2,38,crlocdyqyb1fdhck54qxs65rl,1,31.3,101.4,2025-05-11T15:04:11.425Z,2025-05-11T17:10:18Z,c1p51x3fg0dgss14z9vozfqc4,A. Ekeroth,,,5720786073,233,36,5720785971,56,Back,5720785973,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813610765,36,5,1,2,38,doohk95o6e8pkqah8vkop51dg,0,68.7,-1.4,2025-05-11T15:04:11.425Z,2025-05-11T17:10:18Z,58zj1aw2i5mfyzb3knj72xk6i,S. Christiansen,,,5720785893,347,,5720785891,56,Right,5720786127,233,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813610953,23,1,1,2,49,crlocdyqyb1fdhck54qxs65rl,1,19.8,100.0,2025-05-11T15:04:22.473Z,2025-05-11T15:04:25Z,c1p51x3fg0dgss14z9vozfqc4,A. Ekeroth,,,5720786989,56,Left,5720787003,213,5.99,5720786993,140,55.7,5720786997,141,85.0,5720787005,1,,5720787001,212,39.4,5720786985,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813610985,24,1,1,2,51,crlocdyqyb1fdhck54qxs65rl,1,55.7,85.7,2025-05-11T15:04:25.289Z,2025-05-11T15:04:27Z,iuf92spli9o5l8r9ftooufah,M. Mawa,,,5720787159,212,21.0,5720787161,213,3.57,5720787153,56,Back,5720787157,141,72.9,5720787155,140,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813611055,25,1,1,2,54,crlocdyqyb1fdhck54qxs65rl,1,39.9,71.2,2025-05-11T15:04:27.513Z,2025-05-11T15:04:35Z,6ybcevijvdov8qj1hxcbw3dd6,A. Roaldsøy,,,5720787613,196,,5720787627,212,70.4,5720787619,140,92.0,5720787635,1,,5720787623,141,6.1,5720787631,213,5.60,5720787615,56,Right,5720787611,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,
