id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/8/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2820718065,5,43,1,0,20,6oxoag5c6zbnn09wx08vz4iak,1,0.0,0.0,2025-06-01T15:01:31.953Z,2025-06-01T15:01:45Z,1n9924y1nahaf0if575wgwonp,J. Soltvedt,,,5760317699,285,0,5760317697,56,Back,5760318061,144,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718069,6,5,1,0,21,6oxoag5c6zbnn09wx08vz4iak,1,41.6,101.6,2025-06-01T15:01:32.841Z,2025-06-01T15:04:54Z,1n9924y1nahaf0if575wgwonp,J. Soltvedt,,,5760317731,233,7,5760317721,347,,5760317719,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718071,7,5,1,0,21,uqspd1bx7f6mq8ohj50u1k1k,0,58.4,-1.6,2025-06-01T15:01:32.841Z,2025-06-01T17:17:34Z,15823p8n34f7coivq6wq687is,W. Igor,,,5760317723,56,Right,5760317743,233,6,5760317725,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718081,7,1,1,0,22,6oxoag5c6zbnn09wx08vz4iak,1,38.9,100.0,2025-06-01T15:01:33.738Z,2025-06-01T15:01:36Z,1n9924y1nahaf0if575wgwonp,J. Soltvedt,,,5760317821,56,Left,5760317819,107,,5760317823,140,57.1,5760317827,212,20.9,5760317825,141,88.9,5760317829,213,5.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718099,8,1,1,0,25,6oxoag5c6zbnn09wx08vz4iak,1,57.1,88.9,2025-06-01T15:01:36.602Z,2025-06-01T15:05:20Z,d4ye48utus6dfrp5jxhipjo8a,A. Heggebø,,,5760317919,56,Left,5760317921,140,56.8,5760317923,141,93.3,5760317927,213,1.68,5760317925,212,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718111,9,1,1,0,27,6oxoag5c6zbnn09wx08vz4iak,1,56.8,93.5,2025-06-01T15:01:39.449Z,2025-06-01T15:01:41Z,1n9924y1nahaf0if575wgwonp,J. Soltvedt,,,5760317971,56,Left,5760317973,140,67.5,5760317977,212,11.4,5760317979,213,0.18,5760317975,141,96.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718113,10,3,1,0,30,6oxoag5c6zbnn09wx08vz4iak,0,76.0,93.2,2025-06-01T15:01:41.585Z,2025-06-01T15:01:50Z,ce1q0p0ifilrb8wx6rmkcaeol,B. Finne,,,5760317985,56,Left,5760317987,286,,5760318045,233,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718117,8,7,1,0,30,uqspd1bx7f6mq8ohj50u1k1k,1,24.0,6.8,2025-06-01T15:01:41.586Z,2025-06-01T15:01:49Z,4zypjoj5r2y9fqpqxn8cd7o16,I. Hoffmann,,,5760318011,56,Back,5760318013,285,,5760318035,233,10,5760318009,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718149,9,5,1,0,30,uqspd1bx7f6mq8ohj50u1k1k,0,19.8,-1.2,2025-06-01T15:01:42.538Z,2025-06-01T17:17:35Z,4zypjoj5r2y9fqpqxn8cd7o16,I. Hoffmann,,,5760318239,233,11,5760318219,56,Back,5760318221,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718137,11,5,1,0,30,6oxoag5c6zbnn09wx08vz4iak,1,80.2,101.2,2025-06-01T15:01:42.538Z,2025-06-01T17:17:35Z,ce1q0p0ifilrb8wx6rmkcaeol,B. Finne,,,5760318133,56,Left,5760318135,347,,5760318227,233,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718145,12,1,1,0,35,6oxoag5c6zbnn09wx08vz4iak,1,68.8,100.0,2025-06-01T15:01:47.533Z,2025-06-01T15:01:49Z,1n9924y1nahaf0if575wgwonp,J. Soltvedt,,,5760318197,212,21.8,5760318189,107,,5760318195,141,89.4,5760318199,213,5.93,5760318191,56,Left,5760318201,1,,5760318193,140,88.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718155,13,1,1,0,37,6oxoag5c6zbnn09wx08vz4iak,0,88.3,89.4,2025-06-01T15:01:49.146Z,2025-06-01T15:01:51Z,195m3d6cnwm71j1d2rjo25sdl,F. Myhre,,,5760318263,140,86.6,5760318261,56,Left,5760318265,141,82.1,5760318269,213,4.37,5760318267,212,5.3,5760318259,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718157,10,1,1,0,38,uqspd1bx7f6mq8ohj50u1k1k,1,11.5,11.4,2025-06-01T15:01:50.403Z,2025-06-01T15:01:52Z,15823p8n34f7coivq6wq687is,W. Igor,,,5760318271,56,Back,5760318275,141,24.7,5760318279,213,0.73,5760318277,212,13.6,5760318273,140,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718185,11,1,1,0,40,uqspd1bx7f6mq8ohj50u1k1k,1,21.2,24.9,2025-06-01T15:01:51.931Z,2025-06-01T15:01:56Z,bqcjd0macjc7hmtz7zx34ym6t,R. Çorlu,,,5760318437,140,24.4,5760318443,213,1.10,5760318441,212,7.4,5760318439,141,34.6,5760318435,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718213,13,1,1,0,45,uqspd1bx7f6mq8ohj50u1k1k,1,24.6,35.7,2025-06-01T15:01:57.123Z,2025-06-01T16:03:46Z,94s19kazaywfzrg007vsha6wa,R. Alte,,,5760318591,213,0.75,5760432371,155,,5760318593,1,,5760318583,56,Left,5760318587,141,95.3,5760318585,140,65.8,5760318589,212,59.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820738167,427,83,1,0,50,6oxoag5c6zbnn09wx08vz4iak,0,28.5,2.9,2025-06-01T15:02:01.556Z,2025-06-01T16:04:34Z,adthn237lwxewaxsrgd6hlu51,T. Pedersen,,,5760433939,399,33upoxyyqkh71m6d0b2nsn95g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718219,14,3,1,0,50,uqspd1bx7f6mq8ohj50u1k1k,0,66.4,92.2,2025-06-01T15:02:01.914Z,2025-06-01T17:14:55Z,33upoxyyqkh71m6d0b2nsn95g,M. Ubandoma,,,5760318685,233,14,5760318615,56,Left,5760318617,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718229,14,7,1,0,50,6oxoag5c6zbnn09wx08vz4iak,1,33.6,7.8,2025-06-01T15:02:01.915Z,2025-06-01T17:14:54Z,adthn237lwxewaxsrgd6hlu51,T. Pedersen,,,5760318657,285,,5760318677,233,14,5760318655,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718255,16,1,1,0,52,6oxoag5c6zbnn09wx08vz4iak,1,28.0,6.8,2025-06-01T15:02:04.278Z,2025-06-01T15:02:10Z,adthn237lwxewaxsrgd6hlu51,T. Pedersen,,,5760318829,140,17.5,5760318835,213,2.64,5760318827,56,Back,5760318831,141,15.6,5760318833,212,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718267,17,1,1,0,58,6oxoag5c6zbnn09wx08vz4iak,0,9.3,13.4,2025-06-01T15:02:10.432Z,2025-06-01T15:02:12Z,ahe00hzfpxhe742i5db3mpe6s,E. Helland,,,5760318897,212,32.7,5760318889,157,,5760318895,141,8.0,5760318899,213,6.17,5760318893,140,40.2,5760318891,56,Back,5760318901,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718283,15,1,1,1,2,uqspd1bx7f6mq8ohj50u1k1k,0,55.1,91.4,2025-06-01T15:02:14.194Z,2025-06-01T15:02:15Z,3sfh0fq729hxtea9rzfke9979,D. Ulvestad,,,5760318991,212,21.5,5760318993,213,6.19,5760318983,157,,5760318987,140,75.5,5760318995,1,,5760318985,56,Left,5760318989,141,88.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718297,18,1,1,1,5,6oxoag5c6zbnn09wx08vz4iak,0,22.1,8.8,2025-06-01T15:02:16.657Z,2025-06-01T15:02:18Z,adthn237lwxewaxsrgd6hlu51,T. Pedersen,,,5760319079,56,Back,5760319075,3,,5760319081,140,32.8,5760319089,213,5.73,5760319085,141,0.0,5760319087,212,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718359,16,5,1,1,5,uqspd1bx7f6mq8ohj50u1k1k,1,64.8,101.6,2025-06-01T15:02:16.875Z,2025-06-01T17:17:35Z,3sfh0fq729hxtea9rzfke9979,D. Ulvestad,,,5760319453,56,Left,5760319455,347,,5760319469,233,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718299,19,5,1,1,5,6oxoag5c6zbnn09wx08vz4iak,0,35.2,-1.6,2025-06-01T15:02:16.875Z,2025-06-01T17:17:36Z,adthn237lwxewaxsrgd6hlu51,T. Pedersen,,,5760319093,56,Back,5760319473,233,16,5760319095,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718375,17,1,1,1,15,uqspd1bx7f6mq8ohj50u1k1k,1,44.4,100.0,2025-06-01T15:02:27.227Z,2025-06-01T15:02:31Z,6hzeyz7yomlqkb0aukl4ms6j8,M. Rakneberg,,,5760319533,141,93.3,5760319531,140,57.2,5760319527,107,,5760319535,212,14.7,5760319537,213,5.87,5760319529,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718381,18,3,1,1,19,uqspd1bx7f6mq8ohj50u1k1k,0,65.9,89.0,2025-06-01T15:02:30.786Z,2025-06-01T17:14:56Z,94s19kazaywfzrg007vsha6wa,R. Alte,,,5760319579,286,,5760319699,233,20,5760319577,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718397,20,7,1,1,19,6oxoag5c6zbnn09wx08vz4iak,1,34.1,11.0,2025-06-01T15:02:30.787Z,2025-06-01T17:14:55Z,adthn237lwxewaxsrgd6hlu51,T. Pedersen,,,5760319661,285,,5760319659,56,Back,5760319679,233,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718411,21,1,1,1,21,6oxoag5c6zbnn09wx08vz4iak,1,27.1,13.5,2025-06-01T15:02:32.936Z,2025-06-01T15:02:36Z,adthn237lwxewaxsrgd6hlu51,T. Pedersen,,,5760319751,141,14.1,5760319753,212,8.6,5760319749,140,35.3,5760319755,213,0.05,5760319747,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718415,22,50,1,1,23,6oxoag5c6zbnn09wx08vz4iak,1,37.9,12.4,2025-06-01T15:02:34.882Z,2025-06-01T17:14:56Z,gbeebtmqq3qerrs4u7ikq0ru,E. Kornvig,,,5760437517,233,19,5760319787,286,,5760319771,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718407,19,7,1,1,23,uqspd1bx7f6mq8ohj50u1k1k,1,62.1,87.6,2025-06-01T15:02:34.883Z,2025-06-01T17:14:56Z,15823p8n34f7coivq6wq687is,W. Igor,,,5760319731,285,,5760319729,56,Left,5760437499,233,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820720903,87,1,1,1,23,6oxoag5c6zbnn09wx08vz4iak,0,36.8,3.5,2025-06-01T15:02:35.501Z,2025-06-01T15:09:53Z,3vuirsh6wmbhingygy27f0hqt,M. Sande,,,5760335091,141,3.1,5760335093,212,28.4,5760335095,213,6.27,5760335087,56,Right,5760335085,155,,5760335089,140,63.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718433,20,12,1,1,25,uqspd1bx7f6mq8ohj50u1k1k,1,29.8,88.4,2025-06-01T15:02:37.410Z,2025-06-01T15:08:55Z,3sfh0fq729hxtea9rzfke9979,D. Ulvestad,,,5760319833,213,1.02,5760319835,15,,5760319865,167,,5760319831,212,10.4,5760319827,140,35.0,5760319829,141,100.0,5760319825,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718437,21,5,1,1,26,uqspd1bx7f6mq8ohj50u1k1k,0,35.6,101.2,2025-06-01T15:02:38.072Z,2025-06-01T17:17:37Z,3sfh0fq729hxtea9rzfke9979,D. Ulvestad,,,5760319849,56,Back,5760320151,233,23,5760319851,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718485,23,5,1,1,26,6oxoag5c6zbnn09wx08vz4iak,1,64.4,-1.2,2025-06-01T15:02:38.072Z,2025-06-01T17:17:36Z,gbeebtmqq3qerrs4u7ikq0ru,E. Kornvig,,,5760320113,56,Right,5760320115,347,,5760320123,233,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718507,24,1,1,1,36,6oxoag5c6zbnn09wx08vz4iak,1,61.7,0.0,2025-06-01T15:02:48.026Z,2025-06-01T15:02:52Z,adthn237lwxewaxsrgd6hlu51,T. Pedersen,,,5760320233,107,,5760320237,140,42.1,5760320235,56,Back,5760320239,141,11.4,5760320241,212,22.5,5760320245,1,,5760320243,213,2.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718529,25,1,1,1,40,6oxoag5c6zbnn09wx08vz4iak,1,38.9,10.4,2025-06-01T15:02:51.978Z,2025-06-01T15:02:55Z,ahe00hzfpxhe742i5db3mpe6s,E. Helland,,,5760320349,140,15.7,5760320365,212,30.8,5760320347,56,Back,5760320367,213,2.48,5760320363,141,38.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718549,26,1,1,1,43,6oxoag5c6zbnn09wx08vz4iak,0,24.8,41.3,2025-06-01T15:02:55.426Z,2025-06-01T16:08:22Z,mh6rotmnlhe66f2y16c3vvmd,M. Dyngeland,,,5760320437,1,,5760320435,213,6.09,5760441269,157,,5760320433,212,48.6,5760320429,140,70.2,5760320427,56,Center,5760320431,141,27.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718567,22,1,1,1,47,uqspd1bx7f6mq8ohj50u1k1k,0,24.2,77.8,2025-06-01T15:02:58.674Z,2025-06-01T15:03:00Z,6hzeyz7yomlqkb0aukl4ms6j8,M. Rakneberg,,,5760320529,141,83.9,5760320525,56,Back,5760320527,140,39.6,5760320523,3,,5760320537,213,0.25,5760320533,212,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820720899,86,1,1,1,50,6oxoag5c6zbnn09wx08vz4iak,1,57.8,21.7,2025-06-01T15:03:02.334Z,2025-06-01T15:13:16Z,3m2o0t6siupip9y3sco71fe5m,E. Guðmundsson,,,5760342443,140,66.1,5760342441,56,Center,5760342445,141,29.1,5760342449,213,0.52,5760342447,212,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718603,27,1,1,1,51,6oxoag5c6zbnn09wx08vz4iak,1,65.0,22.7,2025-06-01T15:03:03.208Z,2025-06-01T15:03:05Z,3vuirsh6wmbhingygy27f0hqt,M. Sande,,,5760320733,212,5.7,5760320731,141,17.7,5760320735,213,3.79,5760320727,56,Right,5760320729,140,60.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718605,28,1,1,1,53,6oxoag5c6zbnn09wx08vz4iak,1,58.0,17.7,2025-06-01T15:03:05.199Z,2025-06-01T15:13:39Z,adthn237lwxewaxsrgd6hlu51,T. Pedersen,,,5760320771,212,10.5,5760320773,213,6.12,5760320767,140,67.9,5760320769,141,15.2,5760320765,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718607,29,1,1,1,54,6oxoag5c6zbnn09wx08vz4iak,1,68.2,10.5,2025-06-01T15:03:06.096Z,2025-06-01T15:14:22Z,3m2o0t6siupip9y3sco71fe5m,E. Guðmundsson,,,5760320785,213,1.33,5760320777,56,Center,5760320781,141,41.9,5760320783,212,22.0,5760320779,140,73.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718625,30,1,1,1,56,6oxoag5c6zbnn09wx08vz4iak,1,74.5,35.6,2025-06-01T15:03:07.625Z,2025-06-01T15:14:26Z,ce1q0p0ifilrb8wx6rmkcaeol,B. Finne,,,5760320887,140,81.2,5760320885,56,Center,5760320889,141,28.0,5760320893,213,5.65,5760320891,212,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718631,31,61,1,1,58,6oxoag5c6zbnn09wx08vz4iak,0,82.5,30.4,2025-06-01T15:03:09.840Z,2025-06-01T15:03:10Z,3vuirsh6wmbhingygy27f0hqt,M. Sande,,,5760320911,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718647,23,12,1,2,0,uqspd1bx7f6mq8ohj50u1k1k,1,14.8,53.6,2025-06-01T15:03:11.802Z,2025-06-01T15:03:14Z,2vkztwfo5zi3rbsnlmwsgfjvu,M. Olsen,,,5760320997,140,27.9,5760321001,212,16.0,5760320995,56,Back,5760320999,141,65.5,5760321003,213,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718649,24,61,1,2,2,uqspd1bx7f6mq8ohj50u1k1k,0,27.9,65.5,2025-06-01T15:03:14.178Z,2025-06-01T15:03:14Z,94s19kazaywfzrg007vsha6wa,R. Alte,,,5760321005,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718653,25,45,1,2,3,uqspd1bx7f6mq8ohj50u1k1k,0,28.7,70.7,2025-06-01T15:03:14.607Z,2025-06-01T17:13:29Z,94s19kazaywfzrg007vsha6wa,R. Alte,,,5760321027,285,,5760321139,233,32,5760321025,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718669,32,3,1,2,3,6oxoag5c6zbnn09wx08vz4iak,1,71.3,29.3,2025-06-01T15:03:14.607Z,2025-06-01T17:13:29Z,gbeebtmqq3qerrs4u7ikq0ru,E. Kornvig,,,5760321103,286,,5760321101,56,Center,5760321135,233,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
