id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/12/value,qualifier/18/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2798615083,9,5,1,0,23,8q6cv8g4bd3xdl7m88kll16na,0,18.1,101.1,2025-04-09T17:01:09.875Z,2025-04-09T19:57:31Z,cft1n7qn5juaedelpvqwo2f3d,K. Tshiembe,,,5638179675,347,,5638179673,56,Back,5638179745,233,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798615077,11,5,1,0,23,e5txudmuc2qpc460bs4lb5aff,1,81.9,-1.1,2025-04-09T17:01:09.875Z,2025-04-09T19:57:30Z,dkuinrikn3htd1kilcsce2bit,E. Holten,,,5638179657,56,Right,5638179659,347,,5638179737,233,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798615193,12,1,1,0,44,e5txudmuc2qpc460bs4lb5aff,1,81.9,0.0,2025-04-09T17:01:30.948Z,2025-04-09T17:01:37Z,dlxtfrt1ioz51rwnizwz5657t,D. Eid,,,5638180311,1,,5638180307,212,24.8,5638180303,140,90.6,5638180299,107,,5638180309,213,1.19,5638180301,56,Center,5638180305,141,31.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798615191,10,4,1,0,50,8q6cv8g4bd3xdl7m88kll16na,1,9.8,67.8,2025-04-09T17:01:37.042Z,2025-04-11T18:51:12Z,2rny9fva4m8awyltbc4ipftw4,F. Ambina,,,5638180349,56,Back,5638180351,152,,5638180355,285,,5638180347,13,,5638180403,233,13,5641697897,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798615197,13,4,1,0,50,e5txudmuc2qpc460bs4lb5aff,0,90.2,32.2,2025-04-09T17:01:37.043Z,2025-04-11T18:51:15Z,bbiblpn6dg2ub1guiphivzq50,F. Fall,,,5638180335,56,Center,5638180341,286,,5638180411,233,10,5638180337,152,,5638180333,13,,5641698167,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798615263,11,1,1,1,8,8q6cv8g4bd3xdl7m88kll16na,0,3.3,42.5,2025-04-09T17:01:55.419Z,2025-04-09T17:01:58Z,b5kti1udidgdjke5raks6iezu,M. Sjøeng,,,5638180773,1,,5638180757,5,,5638180769,212,71.6,5638180761,152,,5638180765,140,69.2,5638180771,213,0.26,5638180767,141,69.7,5638180763,56,Center,5638180759,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798615327,15,1,1,1,22,e5txudmuc2qpc460bs4lb5aff,1,35.4,7.4,2025-04-09T17:02:08.586Z,2025-04-09T17:02:11Z,16yy0mbn7y1vztd870gybmane,M. Woledzi,,,5638181099,141,33.1,5638181095,56,Back,5638181103,213,2.30,5638181101,212,23.4,5638181097,140,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798615351,16,1,1,1,24,e5txudmuc2qpc460bs4lb5aff,1,28.0,32.5,2025-04-09T17:02:11.347Z,2025-04-09T17:02:14Z,dfp3y0edqm1vg85f6n3b6ut49,U. Fredriksen,,,5638181219,140,22.6,5638181223,212,23.9,5638181225,213,1.81,5638181221,141,66.6,5638181217,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798615381,17,1,1,1,28,e5txudmuc2qpc460bs4lb5aff,1,23.6,70.2,2025-04-09T17:02:14.746Z,2025-04-09T17:02:19Z,bbiblpn6dg2ub1guiphivzq50,F. Fall,,,5638181355,212,19.6,5638181351,140,42.1,5638181353,141,74.2,5638181357,213,0.14,5638181349,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798615385,18,50,1,1,31,e5txudmuc2qpc460bs4lb5aff,1,45.0,71.5,2025-04-09T17:02:17.937Z,2025-04-09T19:56:31Z,95u4j4kg3w5wfpk8ilcimhfdg,H. Skogvold,,,5638181363,286,,5638181361,56,Back,5638181385,233,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798615379,12,7,1,1,31,8q6cv8g4bd3xdl7m88kll16na,1,55.0,28.5,2025-04-09T17:02:17.938Z,2025-04-11T18:51:59Z,rzfthr8qys67ormz869jrndg,H. Sjåtil,,,5641702285,178,,5638181345,56,Center,5638181379,233,18,5641702283,383,,5638181347,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798615413,14,1,1,1,32,8q6cv8g4bd3xdl7m88kll16na,1,53.1,33.0,2025-04-09T17:02:19.330Z,2025-04-09T17:02:22Z,rzfthr8qys67ormz869jrndg,H. Sjåtil,,,5638181485,213,1.26,5638181483,212,11.5,5638181481,141,49.1,5638181479,140,56.4,5638181477,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798615417,15,1,1,1,35,8q6cv8g4bd3xdl7m88kll16na,0,55.1,35.0,2025-04-09T17:02:21.842Z,2025-04-11T18:52:15Z,1w8gujxthv0lfjrn98paa1uga,C. Lange,,,5638181507,56,Center,5638181511,141,58.7,5638181515,213,0.95,5638181513,212,19.8,5638181509,140,66.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798615423,20,1,1,1,36,e5txudmuc2qpc460bs4lb5aff,1,37.7,44.8,2025-04-09T17:02:22.986Z,2025-04-11T18:52:21Z,16yy0mbn7y1vztd870gybmane,M. Woledzi,,,5638181573,56,Center,5638181577,141,46.0,5638181575,140,53.4,5638181581,213,0.05,5638181579,212,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798615441,21,1,1,1,38,e5txudmuc2qpc460bs4lb5aff,1,55.0,47.9,2025-04-09T17:02:24.594Z,2025-04-11T18:52:25Z,dkuinrikn3htd1kilcsce2bit,E. Holten,,,5638181693,213,4.23,5638181689,141,15.6,5638181685,56,Back,5638181691,212,24.8,5638181687,140,44.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798615449,22,1,1,1,41,e5txudmuc2qpc460bs4lb5aff,1,54.7,5.8,2025-04-09T17:02:27.930Z,2025-04-11T18:52:34Z,dlxtfrt1ioz51rwnizwz5657t,D. Eid,,,5638181737,56,Center,5638181743,212,16.3,5638181745,213,1.67,5638181741,141,29.7,5638181739,140,53.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798615475,23,1,1,1,44,e5txudmuc2qpc460bs4lb5aff,1,57.4,23.1,2025-04-09T17:02:30.794Z,2025-04-09T17:02:33Z,bhkecr2u6neb933eo468i82ui,L. Owusu,,,5638181845,213,1.87,5638181843,212,14.8,5638181841,141,43.9,5638181839,140,53.3,5638181837,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798615501,24,1,1,1,47,e5txudmuc2qpc460bs4lb5aff,1,59.0,67.9,2025-04-09T17:02:33.779Z,2025-04-11T18:52:44Z,bww0h67l7g6o9syrkp12s7pih,P. Metcalfe,,,5638182005,213,1.16,5638182003,212,16.0,5638182001,141,89.4,5638181997,56,Left,5638181999,140,65.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798615519,25,1,1,1,51,e5txudmuc2qpc460bs4lb5aff,1,68.8,90.0,2025-04-09T17:02:38.155Z,2025-04-09T17:02:41Z,bbiblpn6dg2ub1guiphivzq50,F. Fall,,,5638182105,212,11.1,5638182103,141,85.1,5638182101,140,58.7,5638182107,213,3.45,5638182099,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798615531,26,1,1,1,54,e5txudmuc2qpc460bs4lb5aff,1,57.9,84.2,2025-04-09T17:02:40.930Z,2025-04-09T17:02:44Z,bww0h67l7g6o9syrkp12s7pih,P. Metcalfe,,,5638182175,213,0.34,5638182173,212,15.4,5638182171,141,91.8,5638182167,140,71.7,5638182163,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798615545,27,1,1,1,57,e5txudmuc2qpc460bs4lb5aff,1,69.2,92.3,2025-04-09T17:02:44.153Z,2025-04-09T17:02:45Z,bbiblpn6dg2ub1guiphivzq50,F. Fall,,,5638182253,140,58.4,5638182255,141,78.7,5638182251,56,Center,5638182257,212,14.6,5638182259,213,3.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798615563,28,1,1,1,59,e5txudmuc2qpc460bs4lb5aff,1,58.4,78.7,2025-04-09T17:02:45.745Z,2025-04-09T17:02:48Z,bww0h67l7g6o9syrkp12s7pih,P. Metcalfe,,,5638182359,56,Center,5638182365,212,19.7,5638182361,140,58.2,5638182363,141,49.7,5638182367,213,4.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798615587,29,1,1,2,2,e5txudmuc2qpc460bs4lb5aff,1,58.7,40.9,2025-04-09T17:02:48.801Z,2025-04-09T17:02:52Z,bhkecr2u6neb933eo468i82ui,L. Owusu,,,5638182487,56,Right,5638182495,213,4.59,5638182491,141,3.4,5638182493,212,25.7,5638182489,140,55.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798615607,30,1,1,2,5,e5txudmuc2qpc460bs4lb5aff,1,55.4,16.4,2025-04-09T17:02:52.057Z,2025-04-09T17:02:55Z,16yy0mbn7y1vztd870gybmane,M. Woledzi,,,5638182605,140,56.5,5638182609,212,27.4,5638182607,141,56.6,5638182603,56,Center,5638182611,213,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798615643,31,1,1,2,8,e5txudmuc2qpc460bs4lb5aff,1,54.9,53.6,2025-04-09T17:02:55.482Z,2025-04-09T17:03:01Z,dfp3y0edqm1vg85f6n3b6ut49,U. Fredriksen,,,5638182817,56,Left,5638182821,141,90.2,5638182825,213,0.57,5638182819,140,92.0,5638182827,1,,5638182815,155,,5638182823,212,46.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798615655,32,1,1,2,14,e5txudmuc2qpc460bs4lb5aff,0,97.6,89.7,2025-04-09T17:03:01.114Z,2025-04-11T18:53:09Z,ci3c5x4u4g1n4y9p63av1txx,S. Molde,,,5641708187,72,,5638182889,140,95.9,5638182893,212,20.9,5638182887,56,Center,5641708185,224,,5638182891,141,59.1,5641707791,2,,5638182895,213,4.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798615677,16,52,1,2,20,8q6cv8g4bd3xdl7m88kll16na,1,2.7,35.4,2025-04-09T17:03:06.978Z,2025-04-11T18:53:14Z,b5kti1udidgdjke5raks6iezu,M. Sjøeng,,,5641708739,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798615763,18,1,1,2,34,8q6cv8g4bd3xdl7m88kll16na,0,9.4,47.2,2025-04-09T17:03:20.978Z,2025-04-11T18:53:32Z,b5kti1udidgdjke5raks6iezu,M. Sjøeng,,,5638183349,141,58.1,5638183345,56,Center,5638183353,213,0.16,5638183343,155,,5638183347,140,52.6,5638183351,212,46.0,5638183355,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798615775,33,1,1,2,36,e5txudmuc2qpc460bs4lb5aff,1,49.6,43.6,2025-04-09T17:03:23.049Z,2025-04-11T18:53:40Z,dfp3y0edqm1vg85f6n3b6ut49,U. Fredriksen,,,5638183449,56,Center,5638183453,141,32.1,5638183457,213,5.96,5638183459,1,,5638183447,157,,5638183455,212,24.7,5638183451,140,71.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798615787,35,1,1,2,38,e5txudmuc2qpc460bs4lb5aff,1,68.3,31.6,2025-04-09T17:03:25.242Z,2025-04-09T17:03:27Z,dkuinrikn3htd1kilcsce2bit,E. Holten,,,5638183519,56,Center,5638183529,213,0.30,5638183523,140,75.9,5638183525,141,35.2,5638183527,212,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798615793,36,1,1,2,40,e5txudmuc2qpc460bs4lb5aff,1,79.1,32.7,2025-04-09T17:03:26.953Z,2025-04-09T17:03:28Z,7j35sfip0xb51mpa91wzikrh0,O. Øhlenschlæger,,,5638183573,213,4.81,5638183569,212,14.2,5638183565,141,11.9,5638183561,56,Right,5638183563,140,80.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798615797,37,1,1,2,41,e5txudmuc2qpc460bs4lb5aff,0,91.7,7.1,2025-04-09T17:03:28.505Z,2025-04-11T18:55:12Z,dlxtfrt1ioz51rwnizwz5657t,D. Eid,,,5638183601,212,16.4,5641718935,20,,5638183591,2,,5638183595,56,Center,5638183599,141,31.2,5638183603,213,1.64,5638183597,140,90.6,5641718933,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798615873,19,12,1,2,45,8q6cv8g4bd3xdl7m88kll16na,1,9.4,67.0,2025-04-09T17:03:31.873Z,2025-04-09T17:03:50Z,2rny9fva4m8awyltbc4ipftw4,F. Ambina,,,5638184029,140,33.2,5638184037,213,0.48,5638184031,141,86.3,5638184033,212,28.2,5638184027,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798615821,38,1,1,2,47,e5txudmuc2qpc460bs4lb5aff,1,58.9,7.0,2025-04-09T17:03:34.017Z,2025-04-09T17:03:40Z,16yy0mbn7y1vztd870gybmane,M. Woledzi,,,5638183757,56,Back,5638183759,140,37.1,5638183765,213,2.59,5638183763,212,26.8,5638183761,141,27.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798615829,39,1,1,2,54,e5txudmuc2qpc460bs4lb5aff,1,56.7,22.5,2025-04-09T17:03:40.610Z,2025-04-09T17:03:42Z,dfp3y0edqm1vg85f6n3b6ut49,U. Fredriksen,,,5638183835,56,Right,5638183839,141,7.6,5638183841,212,20.8,5638183837,140,74.0,5638183843,213,5.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798615869,40,1,1,2,55,e5txudmuc2qpc460bs4lb5aff,1,59.2,8.9,2025-04-09T17:03:42.514Z,2025-04-09T17:03:49Z,dlxtfrt1ioz51rwnizwz5657t,D. Eid,,,5638184019,141,7.1,5638184015,56,Right,5638184023,213,6.24,5638184017,140,84.1,5638184021,212,26.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798615877,41,1,1,3,3,e5txudmuc2qpc460bs4lb5aff,0,97.2,2.9,2025-04-09T17:03:49.801Z,2025-04-11T18:55:34Z,7j35sfip0xb51mpa91wzikrh0,O. Øhlenschlæger,,,5638184057,213,1.57,5638184077,286,,5638184051,140,97.2,5638184071,236,,5638184055,212,1.4,5641720617,224,,5638184049,56,Right,5638184045,2,,5638184073,233,20,5638184053,141,5.0,5638184047,155,5641720619,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798615875,20,12,1,3,3,8q6cv8g4bd3xdl7m88kll16na,1,3.2,85.9,2025-04-09T17:03:49.901Z,2025-04-09T17:03:51Z,2rny9fva4m8awyltbc4ipftw4,F. Ambina,,,5638184085,233,41,5638184043,56,Back,5638184041,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
