id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/9/value,qualifier/14/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId
2810400609,8,1,1,0,9,btaf9fuj3xctycyjeqwereaow,1,65.0,81.4,2025-05-04T15:02:17.296Z,2025-05-04T15:02:21Z,3e1tqerfmnsaqicofczjljo8a,S. Mørk,,,5703070721,213,4.51,5703070713,56,Center,5703070717,141,74.7,5703070715,140,64.1,5703070719,212,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810400621,9,1,1,0,11,btaf9fuj3xctycyjeqwereaow,0,63.2,80.3,2025-05-04T15:02:18.844Z,2025-05-04T15:02:22Z,6wygyy5z5i0okllr83e9ej8ph,F. Ottosson,,,5703070789,1,,5703070779,56,Left,5703070785,212,34.5,5703070787,213,0.12,5703070783,141,86.6,5703070777,155,,5703070781,140,95.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810400653,7,1,1,0,14,80hgdmpkvdrhw1ge9nks2kxvy,1,5.3,12.5,2025-05-04T15:02:22.082Z,2025-05-04T15:02:25Z,1gwemllvgcore4shqy79qu82y,V. Skjærvik,,,5703070965,56,Back,5703070969,141,4.6,5703070973,213,5.26,5703070967,140,8.4,5703070971,212,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810400683,8,1,1,0,17,80hgdmpkvdrhw1ge9nks2kxvy,0,13.5,6.1,2025-05-04T15:02:24.643Z,2025-05-04T15:02:26Z,1ncet6wg9tne9oif8vkgsc8kq,L. Cornic,,,5703071103,155,,5703071117,212,27.0,5703071107,56,Back,5703071121,213,0.08,5703071115,141,9.4,5703071111,140,39.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810400715,10,8,1,0,19,btaf9fuj3xctycyjeqwereaow,1,84.3,87.7,2025-05-04T15:02:26.731Z,2025-05-04T17:07:47Z,92xhspr6bl1jyhqru3tsbjvqi,C. Cheng,,,5703071327,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810400755,9,1,1,0,20,80hgdmpkvdrhw1ge9nks2kxvy,1,31.3,13.7,2025-05-04T15:02:28.428Z,2025-05-04T15:51:03Z,1qeetk4waatuxev4mqvbxx87p,R. Jenssen,,,5703071549,212,7.1,5703071551,213,5.80,5703071547,141,8.8,5703071543,140,37.3,5703071541,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810455673,423,50,1,0,23,80hgdmpkvdrhw1ge9nks2kxvy,1,24.7,28.4,2025-05-04T15:02:30.594Z,2025-05-04T15:57:52Z,5mvddfxv6aqzohz87gopwl990,J. Hjertø-Dahl,,,5703370317,285,,5703370393,233,11,5703370315,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810400771,11,7,1,0,23,btaf9fuj3xctycyjeqwereaow,0,75.3,71.6,2025-05-04T15:02:30.595Z,2025-05-04T15:57:52Z,6wygyy5z5i0okllr83e9ej8ph,F. Ottosson,,,5703369251,56,Center,5703369253,286,,5703370355,233,423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810400765,10,43,1,0,23,80hgdmpkvdrhw1ge9nks2kxvy,1,0.0,0.0,2025-05-04T15:02:31.243Z,2025-05-04T15:02:36Z,5mvddfxv6aqzohz87gopwl990,J. Hjertø-Dahl,,,5703072115,144,50,5703071617,56,Back,5703071619,286,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810400821,11,1,1,0,24,80hgdmpkvdrhw1ge9nks2kxvy,0,30.2,16.5,2025-05-04T15:02:32.290Z,2025-05-04T15:50:41Z,5mvddfxv6aqzohz87gopwl990,J. Hjertø-Dahl,,,5703071933,140,54.3,5703071939,213,0.01,5703071937,212,25.3,5703071935,141,17.0,5703071931,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810405163,55,43,1,0,25,btaf9fuj3xctycyjeqwereaow,1,0.0,0.0,2025-05-04T15:02:32.922Z,2025-05-04T15:50:39Z,6wygyy5z5i0okllr83e9ej8ph,F. Ottosson,,,5703096769,399,5mvddfxv6aqzohz87gopwl990,5703370461,144,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810400923,13,1,1,0,31,btaf9fuj3xctycyjeqwereaow,1,31.4,77.6,2025-05-04T15:02:39.145Z,2025-05-04T15:02:42Z,865wj533fx1l6pf8jd40uya6s,S. Kristiansen,,,5703072527,141,55.1,5703072519,56,Back,5703072531,213,3.81,5703072529,212,24.8,5703072523,140,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810400987,14,1,1,0,34,btaf9fuj3xctycyjeqwereaow,1,14.3,55.5,2025-05-04T15:02:42.068Z,2025-05-04T15:02:45Z,9l1jrghczcsus55hd9hx6gdzp,Elias Hadaya,,,5703072863,212,55.0,5703072859,141,65.8,5703072873,1,,5703072855,140,66.3,5703072869,213,0.13,5703072853,56,Center,5703072851,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810401069,15,1,1,0,37,btaf9fuj3xctycyjeqwereaow,1,44.3,72.7,2025-05-04T15:02:45.147Z,2025-05-04T15:02:49Z,3g0xd9rds9relghxanr1f5vc9,S. Sigurðarson,,,5703073323,140,45.8,5703073327,212,12.0,5703073321,56,Back,5703073329,213,1.44,5703073325,141,90.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810401085,16,1,1,0,41,btaf9fuj3xctycyjeqwereaow,1,64.4,91.5,2025-05-04T15:02:49.499Z,2025-05-04T15:02:51Z,92xhspr6bl1jyhqru3tsbjvqi,C. Cheng,,,5703073451,141,83.5,5703073453,212,6.2,5703073449,140,67.3,5703073455,213,5.22,5703073447,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810401187,17,1,1,0,43,btaf9fuj3xctycyjeqwereaow,1,66.6,83.2,2025-05-04T15:02:51.059Z,2025-05-04T15:02:57Z,3e1tqerfmnsaqicofczjljo8a,S. Mørk,,,5703073983,213,0.17,5703073977,140,87.4,5703073981,212,22.2,5703073975,56,Left,5703073979,141,88.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810401211,18,1,1,0,50,btaf9fuj3xctycyjeqwereaow,1,88.2,88.1,2025-05-04T15:02:57.603Z,2025-05-04T15:03:00Z,92xhspr6bl1jyhqru3tsbjvqi,C. Cheng,,,5703074109,140,92.0,5703074107,56,Left,5703074113,212,5.6,5703074111,141,93.9,5703074115,213,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810401247,19,1,1,0,52,btaf9fuj3xctycyjeqwereaow,0,89.8,93.6,2025-05-04T15:03:00.059Z,2025-05-04T15:03:01Z,3e1tqerfmnsaqicofczjljo8a,S. Mørk,,,5703074255,155,,5703074265,213,4.69,5703074261,141,59.7,5703074253,2,,5703074259,140,89.2,5703074263,212,23.1,5703074257,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810401253,12,12,1,0,54,80hgdmpkvdrhw1ge9nks2kxvy,1,11.1,44.5,2025-05-04T15:03:01.649Z,2025-05-04T15:03:21Z,9l89pnte9uhyc8jnads2lintg,T. Guddal,,,5703074283,56,Back,5703074287,141,34.0,5703074291,213,5.94,5703074289,212,21.2,5703074285,140,30.1,5703074313,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810401331,20,1,1,0,56,btaf9fuj3xctycyjeqwereaow,1,66.0,70.0,2025-05-04T15:03:03.771Z,2025-05-04T15:03:06Z,6wygyy5z5i0okllr83e9ej8ph,F. Ottosson,,,5703074699,140,68.2,5703074703,212,8.0,5703074701,141,81.2,5703074695,3,,5703074697,56,Left,5703074705,213,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810401377,21,1,1,0,59,btaf9fuj3xctycyjeqwereaow,1,69.5,84.5,2025-05-04T15:03:06.755Z,2025-05-04T15:03:09Z,92xhspr6bl1jyhqru3tsbjvqi,C. Cheng,,,5703074993,56,Left,5703074999,212,17.4,5703075001,213,0.37,5703074997,141,93.8,5703074995,140,84.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810401403,22,1,1,1,1,btaf9fuj3xctycyjeqwereaow,1,79.9,93.8,2025-05-04T15:03:09.347Z,2025-05-04T15:03:11Z,3e1tqerfmnsaqicofczjljo8a,S. Mørk,,,5703075141,141,90.8,5703075137,56,Left,5703075145,213,3.30,5703075139,140,68.0,5703075143,212,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810401443,23,1,1,1,4,btaf9fuj3xctycyjeqwereaow,1,64.1,90.3,2025-05-04T15:03:11.731Z,2025-05-04T15:03:14Z,865wj533fx1l6pf8jd40uya6s,S. Kristiansen,,,5703075345,213,4.28,5703075337,56,Center,5703075341,141,70.0,5703075339,140,58.1,5703075343,212,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810401553,24,1,1,1,6,btaf9fuj3xctycyjeqwereaow,1,58.0,67.3,2025-05-04T15:03:13.971Z,2025-05-04T15:03:19Z,7zy4bzry9weswip0jogur6fbo,Z. Smajlović,,,5703075915,212,24.1,5703075909,56,Left,5703075911,140,73.4,5703075917,213,0.83,5703075913,141,93.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810401563,25,1,1,1,11,btaf9fuj3xctycyjeqwereaow,0,72.5,93.2,2025-05-04T15:03:19.100Z,2025-05-04T15:03:19Z,v3hnsgptqqi0ystvybqtpyzu,J. Dunsby,,,5703075965,213,5.25,5703075961,141,80.3,5703075963,212,10.2,5703075957,56,Left,5703075959,140,77.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810401591,13,1,1,1,12,80hgdmpkvdrhw1ge9nks2kxvy,1,19.9,21.6,2025-05-04T15:03:20.546Z,2025-05-04T15:03:22Z,1gwemllvgcore4shqy79qu82y,V. Skjærvik,,,5703076131,141,10.4,5703076127,140,19.8,5703076139,213,4.70,5703076133,212,7.6,5703076125,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810401597,15,1,1,1,14,80hgdmpkvdrhw1ge9nks2kxvy,1,19.8,9.8,2025-05-04T15:03:22.202Z,2025-05-04T15:03:23Z,1ncet6wg9tne9oif8vkgsc8kq,L. Cornic,,,5703076191,140,23.3,5703076193,141,15.6,5703076197,213,0.82,5703076195,212,5.4,5703076189,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810401611,16,1,1,1,15,80hgdmpkvdrhw1ge9nks2kxvy,1,23.3,15.6,2025-05-04T15:03:22.673Z,2025-05-04T15:03:23Z,5mvddfxv6aqzohz87gopwl990,J. Hjertø-Dahl,,,5703076241,140,35.6,5703076247,213,6.18,5703076243,141,13.7,5703076239,56,Back,5703076245,212,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810401673,17,1,1,1,15,80hgdmpkvdrhw1ge9nks2kxvy,1,35.6,13.7,2025-05-04T15:03:23.298Z,2025-05-04T15:03:26Z,ebkhyti8l579bl8amir9zgl5g,J. Romsaas,,,5703076591,140,26.4,5703076597,212,10.6,5703076595,141,7.3,5703076589,56,Back,5703076599,213,3.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810401707,18,1,1,1,18,80hgdmpkvdrhw1ge9nks2kxvy,1,26.2,5.0,2025-05-04T15:03:25.865Z,2025-05-04T15:03:27Z,5mvddfxv6aqzohz87gopwl990,J. Hjertø-Dahl,,,5703076759,56,Back,5703076767,212,10.6,5703076769,213,3.01,5703076763,140,16.2,5703076765,141,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810401747,19,1,1,1,19,80hgdmpkvdrhw1ge9nks2kxvy,1,17.4,7.1,2025-05-04T15:03:27.250Z,2025-05-04T15:03:30Z,1ncet6wg9tne9oif8vkgsc8kq,L. Cornic,,,5703076985,56,Back,5703076991,212,9.1,5703076989,141,19.2,5703076993,213,2.00,5703076987,140,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810401821,20,1,1,1,22,80hgdmpkvdrhw1ge9nks2kxvy,1,17.6,15.8,2025-05-04T15:03:29.762Z,2025-05-04T15:03:35Z,1gwemllvgcore4shqy79qu82y,V. Skjærvik,,,5703077443,212,32.5,5703077447,1,,5703077441,141,59.1,5703077437,56,Back,5703077445,213,2.01,5703077439,140,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810401883,21,1,1,1,27,80hgdmpkvdrhw1ge9nks2kxvy,1,9.4,62.6,2025-05-04T15:03:35.130Z,2025-05-04T15:03:41Z,451kwpccebq3457c7jw8toz4l,J. Haugaard,,,5703077895,212,69.9,5703077899,1,,5703077891,140,73.5,5703077897,213,0.27,5703077883,157,,5703077887,56,Left,5703077893,141,90.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810401889,22,61,1,1,33,80hgdmpkvdrhw1ge9nks2kxvy,0,74.1,94.8,2025-05-04T15:03:41.001Z,2025-05-04T15:03:41Z,8he8k86ayqx3x5ee2a0jsfuy2,Y. Paintsil,,,5703077935,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810401895,23,5,1,1,34,80hgdmpkvdrhw1ge9nks2kxvy,0,70.1,101.4,2025-05-04T15:03:41.595Z,2025-05-04T17:57:08Z,8he8k86ayqx3x5ee2a0jsfuy2,Y. Paintsil,,,5703078983,233,26,5703077969,56,Left,5703077971,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810402053,26,5,1,1,34,btaf9fuj3xctycyjeqwereaow,1,29.9,-1.4,2025-05-04T15:03:41.595Z,2025-05-04T17:57:07Z,6x3f721vjb8mxlp5ba3p1rb4k,F. Loftesnes-Bjune,,,5703078919,56,Back,5703078945,233,23,5703078921,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810402087,27,1,1,1,43,btaf9fuj3xctycyjeqwereaow,1,33.9,0.0,2025-05-04T15:03:51.115Z,2025-05-04T15:03:52Z,6x3f721vjb8mxlp5ba3p1rb4k,F. Loftesnes-Bjune,,,5703079099,213,1.17,5703079089,107,,5703079095,141,15.2,5703079093,140,38.5,5703079097,212,12.4,5703079091,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810402101,28,1,1,1,44,btaf9fuj3xctycyjeqwereaow,1,38.5,15.2,2025-05-04T15:03:52.123Z,2025-05-04T15:03:53Z,6hssnrvqsel6i5ca09p5730x6,M. Melchior,,,5703079139,141,8.5,5703079135,56,Back,5703079137,140,31.4,5703079141,212,8.7,5703079143,213,3.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810402155,29,1,1,1,45,btaf9fuj3xctycyjeqwereaow,1,30.1,8.8,2025-05-04T15:03:53.306Z,2025-05-04T15:51:22Z,6x3f721vjb8mxlp5ba3p1rb4k,F. Loftesnes-Bjune,,,5703079435,140,47.9,5703374389,155,,5703079439,212,19.2,5703079441,213,0.23,5703079437,141,15.3,5703079433,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810402171,30,1,1,1,49,btaf9fuj3xctycyjeqwereaow,0,47.9,15.3,2025-05-04T15:03:56.859Z,2025-05-04T15:03:57Z,3g0xd9rds9relghxanr1f5vc9,S. Sigurðarson,,,5703079527,168,,5703079535,212,12.5,5703079531,140,59.8,5703079529,56,Right,5703079537,213,0.03,5703079533,141,15.8,5703079525,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810402281,25,1,1,1,51,80hgdmpkvdrhw1ge9nks2kxvy,1,42.2,85.3,2025-05-04T15:03:58.761Z,2025-05-04T15:04:05Z,9l89pnte9uhyc8jnads2lintg,T. Guddal,,,5703080181,56,Back,5703080185,141,64.0,5703080183,140,19.6,5703080189,213,3.69,5703080187,212,27.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810402357,26,1,1,1,57,80hgdmpkvdrhw1ge9nks2kxvy,1,22.7,58.7,2025-05-04T15:04:05.313Z,2025-05-04T15:04:10Z,451kwpccebq3457c7jw8toz4l,J. Haugaard,,,5703080649,56,Back,5703080653,141,91.2,5703080657,213,0.84,5703080651,140,41.6,5703080655,212,29.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810402367,27,1,1,2,2,80hgdmpkvdrhw1ge9nks2kxvy,0,37.7,91.5,2025-05-04T15:04:10.509Z,2025-05-04T15:04:11Z,b0zkcgl6f68noauzpuhzjm4tl,A. Jenssen,,,5703080705,140,36.2,5703080779,233,31,5703080709,212,2.0,5703080777,236,,5703080711,213,3.83,5703080707,141,89.6,5703080703,56,Back,5703080783,286,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810402371,31,74,1,2,2,btaf9fuj3xctycyjeqwereaow,1,66.6,8.6,2025-05-04T15:04:10.510Z,2025-05-04T15:58:05Z,8g5ms6uacdkgfcbxt4crlr4ve,E. Patoulidis,,,5703080733,285,,5703080857,233,27,5703080731,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810402397,33,1,1,2,4,btaf9fuj3xctycyjeqwereaow,1,66.6,8.6,2025-05-04T15:04:12.212Z,2025-05-04T15:51:50Z,8g5ms6uacdkgfcbxt4crlr4ve,E. Patoulidis,,,5703080939,213,1.13,5703080933,140,70.3,5703080937,212,9.1,5703080931,56,Right,5703080935,141,20.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810402457,34,1,1,2,6,btaf9fuj3xctycyjeqwereaow,1,67.5,29.4,2025-05-04T15:04:14.147Z,2025-05-04T15:04:16Z,3g0xd9rds9relghxanr1f5vc9,S. Sigurðarson,,,5703081265,213,1.09,5703081261,141,40.0,5703081259,140,71.1,5703081263,212,8.1,5703081257,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810402505,35,1,1,2,8,btaf9fuj3xctycyjeqwereaow,1,71.9,44.3,2025-05-04T15:04:16.171Z,2025-05-04T15:04:45Z,3e1tqerfmnsaqicofczjljo8a,S. Mørk,1.0,,5703081511,212,22.3,5703084385,210,15,5703081503,56,Center,5703081507,140,88.3,5703081513,213,0.69,5703084387,154,,5703081509,141,65.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810402515,36,15,1,2,11,btaf9fuj3xctycyjeqwereaow,1,88.6,66.3,2025-05-04T15:04:18.795Z,2025-05-04T15:04:46Z,v3hnsgptqqi0ystvybqtpyzu,J. Dunsby,,,5703084501,146,92.3,5703081527,64,,5703084493,55,35,5703084497,102,49.9,5703084505,230,96.2,5703084489,29,,5703084491,154,,5703084141,20,,5703084507,231,55.4,5703084487,78,5703084503,147,61.0,5703081529,56,Center,5703084145,82,5703084519,233,28,5703081525,22,5703084499,103,19,,,,,
2810402545,28,10,1,2,11,80hgdmpkvdrhw1ge9nks2kxvy,1,7.7,39.0,2025-05-04T15:04:18.895Z,2025-05-04T15:04:46Z,1gwemllvgcore4shqy79qu82y,V. Skjærvik,,,5703081679,94,,5703081685,56,Back,5703084529,233,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
