id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/12/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2804654373,8,5,1,0,12,45v50owpvshpijizwwlcw4lni,0,101.0,69.9,2025-04-21T17:15:57.813Z,2025-04-21T19:54:31Z,5p8387bgyjiuekkccl4j6kamt,E. Hestad,,,5671334555,346,,5671334553,56,Center,5671335365,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804654503,4,1,1,0,30,ctvzi2jbl1q6xzq0s3sexj73g,1,4.4,50.0,2025-04-21T17:16:15.605Z,2025-04-21T17:16:18Z,bjgxlgzxbm2fj3c2xq6mtsru1,N. Haikin,,,5671335449,141,28.3,5671335447,140,11.5,5671335451,212,16.5,5671335453,213,5.18,5671335445,56,Back,5671335457,237,,5671335485,189,,5671335443,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804654555,5,1,1,0,33,ctvzi2jbl1q6xzq0s3sexj73g,1,14.1,22.4,2025-04-21T17:16:18.709Z,2025-04-21T17:16:24Z,7gqecbxztxxovmo1b6zqqcgve,O. Bjørtuft,,,5671335805,212,14.6,5671335801,140,21.8,5671335803,141,4.6,5671335799,56,Back,5671335807,213,5.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804654581,6,1,1,0,38,ctvzi2jbl1q6xzq0s3sexj73g,1,25.3,29.7,2025-04-21T17:16:23.868Z,2025-04-21T17:16:25Z,dgki9si023s93nymhod74jlzo,F. Sjøvold,,,5671335927,141,40.7,5671335931,213,0.93,5671335923,56,Back,5671335925,140,30.6,5671335929,212,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804654615,7,1,1,0,39,ctvzi2jbl1q6xzq0s3sexj73g,1,30.6,40.7,2025-04-21T17:16:25.084Z,2025-04-21T17:16:27Z,do2fwr0qn3kg0qb40e3i36q51,P. Berg,,,5671336129,140,24.2,5671336131,141,46.1,5671336133,212,7.7,5671336135,213,2.64,5671336127,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804654645,8,1,1,0,42,ctvzi2jbl1q6xzq0s3sexj73g,1,24.2,46.1,2025-04-21T17:16:27.445Z,2025-04-21T17:16:30Z,dgki9si023s93nymhod74jlzo,F. Sjøvold,,,5671336299,56,Back,5671336305,212,20.0,5671336301,140,19.3,5671336303,141,74.5,5671336307,213,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804654665,9,1,1,0,45,ctvzi2jbl1q6xzq0s3sexj73g,1,19.3,74.5,2025-04-21T17:16:30.332Z,2025-04-21T17:16:33Z,38qnvrvf3y1xs22tovwy21jv9,J. Gundersen,,,5671336445,213,1.28,5671336437,56,Back,5671336441,141,92.6,5671336443,212,12.8,5671336439,140,22.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804654687,10,1,1,0,48,ctvzi2jbl1q6xzq0s3sexj73g,1,25.0,88.6,2025-04-21T17:16:33.236Z,2025-04-21T17:16:35Z,dnw3y6r7bk0aqbta2s7ttivhl,F. Bjørkan,,,5671336555,141,69.9,5671336551,56,Back,5671336553,140,19.7,5671336559,213,4.30,5671336557,212,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804654703,11,1,1,0,50,ctvzi2jbl1q6xzq0s3sexj73g,1,19.7,69.9,2025-04-21T17:16:35.596Z,2025-04-21T17:16:37Z,38qnvrvf3y1xs22tovwy21jv9,J. Gundersen,,,5671336659,140,11.2,5671336657,56,Back,5671336665,213,3.98,5671336663,212,13.3,5671336661,141,55.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804654773,12,1,1,0,52,ctvzi2jbl1q6xzq0s3sexj73g,1,8.6,51.8,2025-04-21T17:16:37.718Z,2025-04-21T17:16:44Z,bjgxlgzxbm2fj3c2xq6mtsru1,N. Haikin,,,5671337045,212,33.0,5671337039,56,Back,5671337043,141,6.1,5671337041,140,19.3,5671337049,1,,5671337047,213,5.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804654803,13,1,1,0,58,ctvzi2jbl1q6xzq0s3sexj73g,1,13.8,3.8,2025-04-21T17:16:43.645Z,2025-04-21T17:16:48Z,dgki9si023s93nymhod74jlzo,F. Sjøvold,,,5671337239,141,27.1,5671337233,155,,5671337235,56,Back,5671337237,140,42.6,5671337245,1,,5671337243,213,0.48,5671337241,212,34.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804654807,14,61,1,1,2,ctvzi2jbl1q6xzq0s3sexj73g,0,42.6,27.1,2025-04-21T17:16:48.164Z,2025-04-21T19:49:25Z,55ashhvkh23ypnct70f9dgvkl,U. Saltnes,,,5671337277,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804654825,9,1,1,1,5,45v50owpvshpijizwwlcw4lni,0,53.2,46.4,2025-04-21T17:16:50.368Z,2025-04-21T19:49:27Z,9mt0cpw6rkuv6ndn4jbon6hg5,E. Haugan,,,5671337385,213,0.39,5671337381,141,63.0,5671337383,212,29.4,5671337379,140,79.1,5671337387,1,,5671337375,157,,5671337377,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804654853,15,1,1,1,6,ctvzi2jbl1q6xzq0s3sexj73g,1,23.5,40.7,2025-04-21T17:16:51.708Z,2025-04-21T17:16:54Z,7gqecbxztxxovmo1b6zqqcgve,O. Bjørtuft,,,5671337517,212,12.6,5671337515,141,49.3,5671337513,140,34.1,5671337511,56,Back,5671337519,213,0.48,5671337509,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804654859,16,61,1,1,9,ctvzi2jbl1q6xzq0s3sexj73g,1,34.1,49.3,2025-04-21T17:16:54.291Z,2025-04-21T17:16:54Z,55ashhvkh23ypnct70f9dgvkl,U. Saltnes,,,5671337547,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804654921,11,1,1,1,10,45v50owpvshpijizwwlcw4lni,1,46.0,53.4,2025-04-21T17:16:56.120Z,2025-04-21T17:17:00Z,2i92r2eksw9ty9kis974k3uqy,V. Lund,,,5671337839,213,3.32,5671337829,140,24.2,5671337835,212,23.2,5671337825,56,Back,5671337831,141,47.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804654997,12,1,1,1,15,45v50owpvshpijizwwlcw4lni,1,24.3,44.5,2025-04-21T17:17:00.288Z,2025-04-21T17:17:11Z,2y89r1uyyagwssn9m67ihdo7p,J. Karlstrøm,,,5671338301,56,Back,5671338303,140,37.8,5671338305,141,8.5,5671338307,212,28.3,5671338309,213,5.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804654981,17,83,1,1,23,ctvzi2jbl1q6xzq0s3sexj73g,0,20.2,89.7,2025-04-21T17:17:09.054Z,2025-04-21T17:17:13Z,do2fwr0qn3kg0qb40e3i36q51,P. Berg,,,5671338439,399,864mk13xqt9p7s22wdsdhnpat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804655017,13,1,1,1,25,45v50owpvshpijizwwlcw4lni,1,84.1,5.6,2025-04-21T17:17:11.145Z,2025-04-21T17:17:13Z,864mk13xqt9p7s22wdsdhnpat,M. Linnes,,,5671338405,140,86.0,5671338411,213,1.42,5671338401,56,Center,5671338409,212,13.7,5671338407,141,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804655059,14,61,1,1,32,45v50owpvshpijizwwlcw4lni,0,96.2,25.6,2025-04-21T17:17:17.514Z,2025-04-21T17:19:21Z,5p8387bgyjiuekkccl4j6kamt,E. Hestad,,,5671338711,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804655063,15,5,1,1,33,45v50owpvshpijizwwlcw4lni,0,101.0,30.0,2025-04-21T17:17:18.245Z,2025-04-21T19:54:32Z,5p8387bgyjiuekkccl4j6kamt,E. Hestad,,,5671338733,56,Center,5671339745,233,18,5671338735,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804655243,18,5,1,1,33,ctvzi2jbl1q6xzq0s3sexj73g,1,-1.0,70.0,2025-04-21T17:17:18.245Z,2025-04-21T19:54:31Z,38qnvrvf3y1xs22tovwy21jv9,J. Gundersen,,,5671339729,233,15,5671339715,346,,5671339713,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804655261,19,1,1,1,53,ctvzi2jbl1q6xzq0s3sexj73g,1,4.5,51.5,2025-04-21T17:17:38.548Z,2025-04-21T17:17:40Z,bjgxlgzxbm2fj3c2xq6mtsru1,N. Haikin,,,5671339817,237,,5671339807,140,5.3,5671339813,213,1.31,5671339811,212,3.2,5671339805,56,Back,5671339803,124,,5671339809,141,56.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804655275,20,1,1,1,54,ctvzi2jbl1q6xzq0s3sexj73g,1,5.3,56.1,2025-04-21T17:17:39.259Z,2025-04-21T17:17:41Z,38qnvrvf3y1xs22tovwy21jv9,J. Gundersen,,,5671339879,140,5.1,5671339885,213,4.63,5671339883,212,2.5,5671339881,141,52.4,5671339877,56,Back,5671339909,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804655313,21,1,1,1,56,ctvzi2jbl1q6xzq0s3sexj73g,1,8.2,53.6,2025-04-21T17:17:41.460Z,2025-04-21T17:17:45Z,bjgxlgzxbm2fj3c2xq6mtsru1,N. Haikin,,,5671340107,140,13.9,5671340109,141,69.3,5671340115,213,1.06,5671340111,212,12.2,5671340105,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804655329,22,1,1,2,0,ctvzi2jbl1q6xzq0s3sexj73g,1,18.1,76.7,2025-04-21T17:17:45.315Z,2025-04-21T17:17:46Z,38qnvrvf3y1xs22tovwy21jv9,J. Gundersen,,,5671340191,56,Back,5671340193,140,19.6,5671340195,141,92.0,5671340197,212,10.5,5671340199,213,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804655345,23,1,1,2,1,ctvzi2jbl1q6xzq0s3sexj73g,1,19.6,92.1,2025-04-21T17:17:46.372Z,2025-04-21T17:17:48Z,dnw3y6r7bk0aqbta2s7ttivhl,F. Bjørkan,,,5671340297,141,74.8,5671340301,213,5.36,5671340293,56,Back,5671340295,140,28.0,5671340299,212,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804655395,24,1,1,2,2,ctvzi2jbl1q6xzq0s3sexj73g,1,28.0,74.8,2025-04-21T17:17:47.972Z,2025-04-21T17:17:53Z,do2fwr0qn3kg0qb40e3i36q51,P. Berg,,,5671340601,56,Back,5671340603,140,40.0,5671340605,141,91.7,5671340607,212,17.1,5671340609,213,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804655433,25,1,1,2,8,ctvzi2jbl1q6xzq0s3sexj73g,1,52.0,80.5,2025-04-21T17:17:53.596Z,2025-04-21T17:17:59Z,55ashhvkh23ypnct70f9dgvkl,U. Saltnes,,,5671340879,141,68.5,5671340883,213,4.88,5671340881,212,8.3,5671340877,140,53.3,5671340875,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804655455,26,1,1,2,13,ctvzi2jbl1q6xzq0s3sexj73g,1,47.8,54.9,2025-04-21T17:17:58.876Z,2025-04-21T17:18:01Z,do2fwr0qn3kg0qb40e3i36q51,P. Berg,,,5671340991,140,48.2,5671340993,141,32.5,5671340995,212,15.2,5671340997,213,4.74,5671340989,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804655499,27,1,1,2,16,ctvzi2jbl1q6xzq0s3sexj73g,1,48.2,32.5,2025-04-21T17:18:01.428Z,2025-04-21T17:18:05Z,7gqecbxztxxovmo1b6zqqcgve,O. Bjørtuft,,,5671341229,56,Right,5671341237,213,5.53,5671341233,141,2.2,5671341231,140,69.0,5671341235,212,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804655505,28,1,1,2,19,ctvzi2jbl1q6xzq0s3sexj73g,1,69.0,2.2,2025-04-21T17:18:05.091Z,2025-04-21T19:49:23Z,ar7ybu7dordgt2yfx5inux62,I. Määttä,,,5671341297,56,Right,5671341305,213,2.83,5671341301,141,10.0,5671341303,212,17.3,5671341299,140,53.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804655569,29,1,1,2,21,ctvzi2jbl1q6xzq0s3sexj73g,1,53.3,10.0,2025-04-21T17:18:06.236Z,2025-04-21T17:18:13Z,dgki9si023s93nymhod74jlzo,F. Sjøvold,,,5671341677,1,,5671341667,56,Back,5671341675,213,1.88,5671341669,140,41.8,5671341673,212,39.6,5671341671,141,65.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804655593,30,1,1,2,27,ctvzi2jbl1q6xzq0s3sexj73g,1,58.7,68.7,2025-04-21T17:18:12.924Z,2025-04-21T17:18:15Z,38qnvrvf3y1xs22tovwy21jv9,J. Gundersen,,,5671341787,213,1.35,5671341779,56,Left,5671341783,141,93.8,5671341781,140,62.3,5671341785,212,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804655617,31,1,1,2,29,ctvzi2jbl1q6xzq0s3sexj73g,1,62.2,93.6,2025-04-21T17:18:15.155Z,2025-04-21T17:18:19Z,dnw3y6r7bk0aqbta2s7ttivhl,F. Bjørkan,,,5671341919,140,47.9,5671341925,213,3.83,5671341923,212,19.5,5671341921,141,75.3,5671341917,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804655631,32,1,1,2,33,ctvzi2jbl1q6xzq0s3sexj73g,1,39.2,68.1,2025-04-21T17:18:18.491Z,2025-04-21T17:18:22Z,38qnvrvf3y1xs22tovwy21jv9,J. Gundersen,,,5671342001,56,Back,5671342003,140,40.1,5671342005,141,37.9,5671342007,212,20.6,5671342009,213,4.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804655643,33,1,1,2,36,ctvzi2jbl1q6xzq0s3sexj73g,0,35.8,32.1,2025-04-21T17:18:21.787Z,2025-04-21T17:18:24Z,7gqecbxztxxovmo1b6zqqcgve,O. Bjørtuft,,,5671342143,141,0.0,5671342141,140,66.3,5671342139,56,Right,5671342145,212,39.3,5671342137,155,,5671342147,213,5.66,5671342149,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804655775,16,5,1,2,38,45v50owpvshpijizwwlcw4lni,1,37.2,101.4,2025-04-21T17:18:24.017Z,2025-04-21T19:54:32Z,6hfh81884cw22q8ekjmiezq39,K. Haugen,,,5671342801,56,Back,5671342803,347,,5671342805,233,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804655653,34,5,1,2,38,ctvzi2jbl1q6xzq0s3sexj73g,0,62.8,-1.4,2025-04-21T17:18:24.017Z,2025-04-21T19:54:33Z,7gqecbxztxxovmo1b6zqqcgve,O. Bjørtuft,,,5671342847,233,16,5671342199,56,Right,5671342201,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804655791,17,1,1,2,55,45v50owpvshpijizwwlcw4lni,1,40.6,100.0,2025-04-21T17:18:40.827Z,2025-04-21T17:18:43Z,6hfh81884cw22q8ekjmiezq39,K. Haugen,,,5671342929,140,21.5,5671342925,107,,5671342935,213,3.42,5671342933,212,20.9,5671342931,141,93.2,5671342927,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804655835,18,1,1,2,58,45v50owpvshpijizwwlcw4lni,1,21.3,92.4,2025-04-21T17:18:43.248Z,2025-04-21T17:18:48Z,2i92r2eksw9ty9kis974k3uqy,V. Lund,,,5671343217,212,23.7,5671343213,140,4.7,5671343211,56,Back,5671343215,141,68.7,5671343219,213,3.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804655875,19,1,1,3,3,45v50owpvshpijizwwlcw4lni,1,5.0,70.3,2025-04-21T17:18:48.656Z,2025-04-21T19:49:21Z,2y89r1uyyagwssn9m67ihdo7p,J. Karlstrøm,,,5671343409,141,92.3,5671343401,56,Back,5671343415,213,1.55,5671343405,140,5.3,5671343397,155,,5671343411,212,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804655885,20,1,1,3,6,45v50owpvshpijizwwlcw4lni,0,7.5,92.9,2025-04-21T17:18:52.168Z,2025-04-21T17:18:53Z,2i92r2eksw9ty9kis974k3uqy,V. Lund,,,5671343481,155,,5671343483,56,Back,5671343493,213,6.23,5671343491,212,37.2,5671343485,140,42.9,5671343495,1,,5671343487,141,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804655905,35,1,1,3,8,ctvzi2jbl1q6xzq0s3sexj73g,0,57.9,5.3,2025-04-21T17:18:54.098Z,2025-04-21T17:19:17Z,dgki9si023s93nymhod74jlzo,F. Sjøvold,,,5671343615,56,Right,5671343613,3,,5671343617,140,62.8,5671343623,213,5.59,5671343621,212,6.7,5671343619,141,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804655911,21,5,1,3,9,45v50owpvshpijizwwlcw4lni,1,38.4,101.4,2025-04-21T17:18:54.856Z,2025-04-21T19:54:33Z,2i92r2eksw9ty9kis974k3uqy,V. Lund,,,5671343655,347,,5671343653,56,Back,5671343679,233,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804655913,36,5,1,3,9,ctvzi2jbl1q6xzq0s3sexj73g,0,61.6,-1.4,2025-04-21T17:18:54.856Z,2025-04-21T19:54:33Z,dgki9si023s93nymhod74jlzo,F. Sjøvold,,,5671343699,233,21,5671343657,56,Right,5671343659,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
