id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/8/value,qualifier/16/value
2793749235,5,5,1,0,10,uqspd1bx7f6mq8ohj50u1k1k,0,7.3,101.8,2025-03-30T15:01:12.332Z,2025-03-30T17:08:09Z,2vkztwfo5zi3rbsnlmwsgfjvu,M. Olsen,,,5611305691,347,,5611305689,56,Back,5611306035,233,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793749263,7,5,1,0,10,crlocdyqyb1fdhck54qxs65rl,1,92.7,-1.8,2025-03-30T15:01:12.332Z,2025-03-30T17:08:08Z,1t1ylf4iwrotj4jjf9qfzbieh,S. Strand Nilsen,,,5611305981,233,5,5611305889,56,Right,5611305895,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793749639,8,1,1,0,36,crlocdyqyb1fdhck54qxs65rl,0,86.7,0.0,2025-03-30T15:01:38.149Z,2025-03-30T15:01:40Z,1t1ylf4iwrotj4jjf9qfzbieh,S. Strand Nilsen,,,5611308201,107,,5611308205,140,93.2,5611308211,213,1.31,5611308213,1,,5611308207,141,36.1,5611308209,212,26.5,5611308203,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793749669,6,12,1,0,39,uqspd1bx7f6mq8ohj50u1k1k,1,7.0,57.6,2025-03-30T15:01:41.758Z,2025-03-30T15:06:26Z,3sfh0fq729hxtea9rzfke9979,D. Ulvestad,,,5611308327,140,21.6,5611308395,15,,5611308331,212,15.4,5611308325,56,Back,5611308329,141,59.1,5611308333,213,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793749717,7,12,1,0,41,uqspd1bx7f6mq8ohj50u1k1k,1,21.6,59.1,2025-03-30T15:01:43.446Z,2025-03-30T15:01:58Z,33upoxyyqkh71m6d0b2nsn95g,M. Ubandoma,,,5611308533,141,61.4,5611308529,56,Back,5611308551,15,,5611308537,213,0.14,5611308531,140,32.1,5611308535,212,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793749809,9,1,1,0,43,crlocdyqyb1fdhck54qxs65rl,1,65.0,43.3,2025-03-30T15:01:45.812Z,2025-03-30T15:01:50Z,1pizdqlc5tyanssba2xe88lwp,M. Johnsgård,,,5611309001,1,,5611308999,213,2.92,5611308993,140,33.2,5611308997,212,34.2,5611308995,141,54.3,5611308991,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793749901,10,1,1,0,48,crlocdyqyb1fdhck54qxs65rl,0,34.9,64.6,2025-03-30T15:01:49.948Z,2025-03-30T15:01:55Z,3dz611s3q1kjhrzt8ixv4jbhl,A. Nilsson,,,5611309505,56,Left,5611309515,1,,5611309511,212,71.4,5611309513,213,0.24,5611309507,140,100.0,5611309509,141,90.0,5611309503,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793750029,8,5,1,0,53,uqspd1bx7f6mq8ohj50u1k1k,1,-1.0,10.2,2025-03-30T15:01:55.225Z,2025-03-30T17:08:09Z,33upoxyyqkh71m6d0b2nsn95g,M. Ubandoma,,,5611311341,233,11,5611310257,346,,5611310255,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793750219,11,5,1,0,53,crlocdyqyb1fdhck54qxs65rl,0,101.0,89.8,2025-03-30T15:01:55.225Z,2025-03-30T17:08:09Z,3dz611s3q1kjhrzt8ixv4jbhl,A. Nilsson,,,5611311291,346,,5611311391,233,8,5611311289,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793750363,9,1,1,1,17,uqspd1bx7f6mq8ohj50u1k1k,0,3.9,41.2,2025-03-30T15:02:19.594Z,2025-03-30T15:10:32Z,45d87fg5d9k6rvgkkoqcdr384,A. Sæther,,,5611312141,56,Center,5611312155,1,,5611312151,212,67.8,5611312139,124,,5611312147,141,60.6,5611312153,213,0.20,5611312159,74,,5611312143,140,67.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793750389,12,44,1,1,21,crlocdyqyb1fdhck54qxs65rl,1,30.1,44.6,2025-03-30T15:02:23.143Z,2025-03-30T17:13:09Z,9v4rtbzr5f45x65os81wwuqne,G. Simenstad,,,5611312293,285,,5611312291,56,Back,5611312345,233,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793750373,10,44,1,1,21,uqspd1bx7f6mq8ohj50u1k1k,0,69.9,55.4,2025-03-30T15:02:23.144Z,2025-03-30T17:13:09Z,33upoxyyqkh71m6d0b2nsn95g,M. Ubandoma,,,5611312187,56,Center,5611312189,286,,5611312365,233,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793750467,13,1,1,1,21,crlocdyqyb1fdhck54qxs65rl,1,25.6,53.4,2025-03-30T15:02:23.795Z,2025-03-30T17:12:35Z,9v4rtbzr5f45x65os81wwuqne,G. Simenstad,,,5611312699,212,11.6,5611312693,56,Back,5611312701,213,1.27,5611312697,141,69.7,5611312691,3,,5611312695,140,28.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793750483,14,44,1,1,23,crlocdyqyb1fdhck54qxs65rl,1,36.5,69.6,2025-03-30T15:02:25.072Z,2025-03-30T17:13:09Z,1pizdqlc5tyanssba2xe88lwp,M. Johnsgård,,,5611312853,233,11,5611312749,56,Back,5611312751,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793750395,11,44,1,1,23,uqspd1bx7f6mq8ohj50u1k1k,0,63.5,30.4,2025-03-30T15:02:25.073Z,2025-03-30T17:13:10Z,bqcjd0macjc7hmtz7zx34ym6t,R. Çorlu,,,5611312887,233,14,5611312315,56,Center,5611312317,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793750497,15,1,1,1,23,crlocdyqyb1fdhck54qxs65rl,0,35.8,66.0,2025-03-30T15:02:25.163Z,2025-03-30T17:12:53Z,1pizdqlc5tyanssba2xe88lwp,M. Johnsgård,,,5611312827,213,5.86,5611312825,212,8.4,5611312821,140,43.1,5611312819,56,Back,5611312823,141,60.9,5611312817,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793750477,12,1,1,1,27,uqspd1bx7f6mq8ohj50u1k1k,1,58.3,28.5,2025-03-30T15:02:29.019Z,2025-03-30T15:02:30Z,15823p8n34f7coivq6wq687is,W. Igor,,,5611312733,140,36.4,5611312739,213,2.65,5611312737,212,26.0,5611312735,141,46.4,5611312731,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793750571,13,1,1,1,28,uqspd1bx7f6mq8ohj50u1k1k,1,36.4,46.4,2025-03-30T15:02:30.321Z,2025-03-30T15:10:21Z,3sfh0fq729hxtea9rzfke9979,D. Ulvestad,,,5611313061,141,67.0,5611313065,213,1.09,5611313057,56,Back,5611313063,212,15.8,5611313059,140,43.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793750635,14,1,1,1,31,uqspd1bx7f6mq8ohj50u1k1k,1,43.4,70.2,2025-03-30T15:02:32.921Z,2025-03-30T15:02:36Z,6hzeyz7yomlqkb0aukl4ms6j8,M. Rakneberg,,,5611313289,56,Center,5611313291,140,68.3,5611313295,212,26.5,5611313293,141,63.7,5611313297,213,6.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793750697,15,1,1,1,34,uqspd1bx7f6mq8ohj50u1k1k,1,66.8,62.1,2025-03-30T15:02:35.992Z,2025-03-30T15:02:38Z,33upoxyyqkh71m6d0b2nsn95g,M. Ubandoma,,,5611313553,140,71.9,5611313559,213,4.97,5611313555,141,32.5,5611313551,56,Center,5611313557,212,20.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793751143,16,1,1,1,36,uqspd1bx7f6mq8ohj50u1k1k,1,71.9,32.5,2025-03-30T15:02:38.705Z,2025-03-30T15:03:32Z,bqcjd0macjc7hmtz7zx34ym6t,R. Çorlu,1.0,,5611315853,140,90.6,5611315859,213,6.01,5611315857,212,20.4,5611318579,210,16,5611318583,22,,5611315851,56,Center,5611315855,141,24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793751305,17,16,1,1,41,uqspd1bx7f6mq8ohj50u1k1k,1,88.8,26.7,2025-03-30T15:02:43.483Z,2025-03-30T17:27:59Z,8qmrc7p7k4bod8ojxl5ib6ot0,D. Tufekčić,,,5612108745,77,,5611318219,375,01:40.434,5611318211,72,,5611318215,374,2025-03-30 16:02:42.299,5611318619,29,,5611316765,22,,5611318627,103,23.4,5611318633,231,45.5,5611318629,215,5611318631,230,98.2,5611318625,102,52.1,5611318621,55,16,5611316767,63,5611316769,56,Center,,,,,,,,,,,,,,
2793751639,16,1,1,2,30,crlocdyqyb1fdhck54qxs65rl,1,49.6,49.9,2025-03-30T15:03:32.075Z,2025-03-30T15:03:35Z,4m57qe3mtal1r68md5yj8xvc9,T. Sørås,,,5611318843,141,57.5,5611318853,279,G,5611318847,212,18.0,5611318839,140,33.2,5611318851,213,2.85,5611318837,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793751707,17,1,1,2,32,crlocdyqyb1fdhck54qxs65rl,1,29.7,58.5,2025-03-30T15:03:34.499Z,2025-03-30T15:03:39Z,8nmrvwyosqdqwyqowvdqvahh,F. Sjølstad,,,5611319201,213,0.54,5611319199,212,36.2,5611319193,56,Left,5611319197,141,86.0,5611319203,1,,5611319195,140,59.2,5611319191,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793751735,18,1,1,2,37,crlocdyqyb1fdhck54qxs65rl,1,60.3,83.8,2025-03-30T15:03:39.124Z,2025-03-30T15:03:40Z,1pizdqlc5tyanssba2xe88lwp,M. Johnsgård,,,5611319371,141,78.1,5611319375,213,3.34,5611319367,56,Back,5611319373,212,19.6,5611319369,140,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793751761,19,1,1,2,38,crlocdyqyb1fdhck54qxs65rl,1,42.4,78.7,2025-03-30T15:03:40.421Z,2025-03-30T15:03:43Z,dd53d1radlkv7y24724vkol49,B. Bjarnason,,,5611319563,213,5.48,5611319567,1,,5611319547,196,,5611319559,212,62.7,5611319553,140,84.0,5611319549,56,Right,5611319543,155,,5611319557,141,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793751795,20,1,1,2,41,crlocdyqyb1fdhck54qxs65rl,1,82.6,9.7,2025-03-30T15:03:43.436Z,2025-03-30T15:03:46Z,1t1ylf4iwrotj4jjf9qfzbieh,S. Strand Nilsen,,,5611319715,56,Center,5611319727,213,1.28,5611319725,212,12.3,5611319721,141,27.0,5611319719,140,85.9,5611319713,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793751849,21,1,1,2,43,crlocdyqyb1fdhck54qxs65rl,1,85.5,28.8,2025-03-30T15:03:45.827Z,2025-03-30T15:03:50Z,9v4rtbzr5f45x65os81wwuqne,G. Simenstad,,,5611320053,213,6.18,5611320047,140,93.2,5611320049,141,27.6,5611320045,56,Center,5611320051,212,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793752121,22,1,1,2,48,crlocdyqyb1fdhck54qxs65rl,1,93.2,29.2,2025-03-30T15:03:50.115Z,2025-03-30T17:18:37Z,1t1ylf4iwrotj4jjf9qfzbieh,S. Strand Nilsen,,1.0,5611321601,140,87.7,5612074261,154,,5611321605,141,40.7,5612074259,210,15,5611321607,212,9.7,5611321599,56,Center,5611321609,213,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793752141,23,15,1,3,4,crlocdyqyb1fdhck54qxs65rl,1,91.3,44.9,2025-03-30T15:04:06.507Z,2025-03-30T18:10:08Z,2w7qb6w4qcogyuvgi31rfv85w,J. Gonstad,1.0,,5611321739,56,Center,5612073779,82,,5612073775,20,,5612074313,103,19,5612074319,146,99.0,5612074317,100,,5612097895,328,,5612074321,147,52.7,5612074315,139,5612072727,17,,5612074297,76,,5612074299,29,,5612074307,55,5612074303,154,,22,5612074323,230,99.3,5612074325,231,47.3,5611374443,22,5612074311,102,53.7,,
2793753771,28,16,1,3,5,crlocdyqyb1fdhck54qxs65rl,1,98.8,53.8,2025-03-30T15:04:07.229Z,2025-03-30T17:25:18Z,6r0yq4i1lk788h1euk5ztec5,V. Jónsson,,,5611337079,230,99.1,5611337055,78,,5611336445,375,03:05.192,5611336441,374,2025-03-30 16:04:07.057,5611337077,103,18.4,5611337059,29,,5611337075,102,51.1,5611337069,55,23,5611330309,56,5611351777,328,,5611336437,72,,5611330307,16,,5611351775,214,5611330305,22,,,5611337081,231,48.9,,,,,,,,,Center,
2793752817,18,1,1,3,39,uqspd1bx7f6mq8ohj50u1k1k,1,54.6,59.1,2025-03-30T15:04:41.455Z,2025-03-30T17:13:03Z,15823p8n34f7coivq6wq687is,W. Igor,,,5611325343,212,16.8,5611325341,141,73.4,5611325337,56,Back,5611325345,213,2.52,5612050591,279,G,5611325339,140,41.6,5611370389,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793752837,19,1,1,3,41,uqspd1bx7f6mq8ohj50u1k1k,1,41.1,68.7,2025-03-30T15:04:43.255Z,2025-03-30T15:04:44Z,3sfh0fq729hxtea9rzfke9979,D. Ulvestad,,,5611325443,141,43.1,5611325447,213,4.28,5611325439,56,Back,5611325445,212,19.2,5611325441,140,33.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793752913,20,1,1,3,42,uqspd1bx7f6mq8ohj50u1k1k,1,33.4,43.1,2025-03-30T15:04:43.991Z,2025-03-30T15:12:57Z,2vkztwfo5zi3rbsnlmwsgfjvu,M. Olsen,,,5611325835,212,27.9,5611325831,140,44.1,5611325829,56,Back,5611325833,141,5.6,5611325837,213,5.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793752937,21,1,1,3,45,uqspd1bx7f6mq8ohj50u1k1k,0,41.9,5.5,2025-03-30T15:04:47.319Z,2025-03-30T15:12:58Z,4zypjoj5r2y9fqpqxn8cd7o16,I. Hoffmann,,,5611325963,56,Center,5611325969,212,55.3,5611325973,1,,5611325967,141,46.3,5611325961,155,,5611325971,213,0.53,5611325965,140,87.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793753295,25,1,1,3,56,crlocdyqyb1fdhck54qxs65rl,1,13.8,48.7,2025-03-30T15:04:58.068Z,2025-03-30T15:05:04Z,3dz611s3q1kjhrzt8ixv4jbhl,A. Nilsson,,,5611327735,141,69.4,5611327731,56,Back,5611327737,212,19.0,5611327729,123,,5611327739,213,0.84,5611327733,140,25.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793753413,26,1,1,4,2,crlocdyqyb1fdhck54qxs65rl,0,38.5,67.5,2025-03-30T15:05:04.804Z,2025-03-30T15:05:10Z,dd53d1radlkv7y24724vkol49,B. Bjarnason,,,5611328325,213,5.77,5611328319,140,100.0,5611328321,141,13.5,5611328327,1,,5611328317,56,Right,5611328315,155,,5611328323,212,74.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793753807,22,5,1,4,8,uqspd1bx7f6mq8ohj50u1k1k,1,-0.7,87.0,2025-03-30T15:05:09.950Z,2025-03-30T17:08:10Z,6hzeyz7yomlqkb0aukl4ms6j8,M. Rakneberg,,,5611330467,56,Back,5611330519,233,27,5611330469,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793753759,27,5,1,4,8,crlocdyqyb1fdhck54qxs65rl,0,100.7,13.0,2025-03-30T15:05:09.950Z,2025-03-30T17:08:10Z,dd53d1radlkv7y24724vkol49,B. Bjarnason,,,5611330263,346,,5611330261,56,Right,5611330551,233,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793764537,92,1,1,4,25,uqspd1bx7f6mq8ohj50u1k1k,1,4.2,60.2,2025-03-30T15:05:27.786Z,2025-03-30T15:14:24Z,3sfh0fq729hxtea9rzfke9979,D. Ulvestad,,,5611390219,124,,5611389375,213,4.43,5611389371,141,51.3,5611390407,189,,5611390221,237,,5611389369,140,2.5,5611389373,212,6.3,5611389367,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793753889,23,1,1,4,29,uqspd1bx7f6mq8ohj50u1k1k,0,3.3,53.2,2025-03-30T15:05:31.018Z,2025-03-30T15:17:37Z,45d87fg5d9k6rvgkkoqcdr384,A. Sæther,,,5611330971,212,38.0,5611384213,189,,5611330965,56,Back,5611330975,1,,5611330973,213,5.83,5611330969,141,28.6,5611330967,140,35.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793753989,30,1,1,4,37,crlocdyqyb1fdhck54qxs65rl,1,57.1,76.0,2025-03-30T15:05:38.964Z,2025-03-30T15:05:41Z,4m57qe3mtal1r68md5yj8xvc9,T. Sørås,,,5611331567,140,45.0,5611331571,212,12.9,5611331565,56,Back,5611331569,141,73.0,5611331573,213,3.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793754029,31,1,1,4,39,crlocdyqyb1fdhck54qxs65rl,1,43.8,70.5,2025-03-30T15:05:40.908Z,2025-03-30T15:05:43Z,dd53d1radlkv7y24724vkol49,B. Bjarnason,,,5611331849,212,15.2,5611331843,56,Back,5611331847,141,49.6,5611331851,213,4.36,5611331845,140,38.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793754057,32,1,1,4,42,crlocdyqyb1fdhck54qxs65rl,1,35.6,47.2,2025-03-30T15:05:44.348Z,2025-03-30T15:05:45Z,8nmrvwyosqdqwyqowvdqvahh,F. Sjølstad,,,5611332011,155,,5611332015,140,63.0,5611332021,213,5.61,5611332023,1,,5611332017,141,13.4,5611332013,56,Right,5611332019,212,36.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793754075,33,1,1,4,43,crlocdyqyb1fdhck54qxs65rl,1,63.0,13.4,2025-03-30T15:05:45.387Z,2025-03-30T15:05:46Z,1t1ylf4iwrotj4jjf9qfzbieh,S. Strand Nilsen,,,5611332157,212,13.1,5611332155,141,20.1,5611332151,56,Right,5611332159,213,2.79,5611332153,140,51.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
