id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2803840173,9,1,1,0,16,80hgdmpkvdrhw1ge9nks2kxvy,1,55.6,69.9,2025-04-20T12:31:58.281Z,2025-04-20T12:32:01Z,1qeetk4waatuxev4mqvbxx87p,R. Jenssen,,,5666900011,56,Back,5666900019,213,4.05,5666900017,212,21.1,5666900015,141,45.5,5666900013,140,43.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803840209,10,1,1,0,19,80hgdmpkvdrhw1ge9nks2kxvy,1,44.7,48.1,2025-04-20T12:32:01.609Z,2025-04-20T12:32:04Z,9l89pnte9uhyc8jnads2lintg,T. Guddal,,,5666900191,141,56.9,5666900197,212,6.4,5666900187,56,Back,5666900189,140,46.9,5666900205,213,1.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803840319,11,1,1,0,21,80hgdmpkvdrhw1ge9nks2kxvy,1,56.7,58.2,2025-04-20T12:32:03.968Z,2025-04-20T12:32:12Z,1qeetk4waatuxev4mqvbxx87p,R. Jenssen,,,5666900859,140,85.7,5666900865,213,5.43,5666900867,1,,5666900863,212,46.1,5666900861,141,7.3,5666900857,56,Right,5666900853,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803840329,12,1,1,0,29,80hgdmpkvdrhw1ge9nks2kxvy,0,90.5,9.1,2025-04-20T12:32:11.960Z,2025-04-20T12:32:13Z,1ncet6wg9tne9oif8vkgsc8kq,L. Cornic,,,5666900951,140,100.0,5666900949,56,Center,5666900953,141,21.5,5666900955,212,14.0,5666900957,213,0.64,5666900947,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803840457,3,5,1,0,30,uqspd1bx7f6mq8ohj50u1k1k,1,-1.4,78.8,2025-04-20T12:32:13.031Z,2025-04-20T13:34:47Z,94s19kazaywfzrg007vsha6wa,R. Alte,,,5666901745,233,13,5666901675,346,,5666901673,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803840367,13,5,1,0,30,80hgdmpkvdrhw1ge9nks2kxvy,0,101.4,21.2,2025-04-20T12:32:13.031Z,2025-04-20T14:46:24Z,1ncet6wg9tne9oif8vkgsc8kq,L. Cornic,,,5666901169,56,Center,5666901775,233,3,5666901171,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803840507,4,1,1,0,39,uqspd1bx7f6mq8ohj50u1k1k,1,4.6,54.0,2025-04-20T12:32:22.086Z,2025-04-20T12:32:25Z,8u1ii0vmhpub1p2gbsk1w7yzt,M. Lansing,,,5666901909,141,68.5,5666901911,212,14.8,5666901901,124,,5666901905,140,15.1,5666901903,56,Back,5666901917,237,,5666901913,213,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803840579,5,1,1,0,42,uqspd1bx7f6mq8ohj50u1k1k,1,20.6,80.9,2025-04-20T12:32:24.838Z,2025-04-20T12:32:54Z,6hzeyz7yomlqkb0aukl4ms6j8,M. Rakneberg,,,5666902279,157,,5666902291,1,,5666902283,140,61.5,5666902285,141,83.5,5666902287,212,43.0,5666902289,213,0.04,5666902281,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803840583,6,61,1,0,43,uqspd1bx7f6mq8ohj50u1k1k,0,61.5,83.3,2025-04-20T12:32:25.805Z,2025-04-20T12:33:14Z,7fsqcwqftmk6lms6f6u8lpdlg,S. Kilen,,,5666902307,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803840541,14,8,1,0,44,80hgdmpkvdrhw1ge9nks2kxvy,1,20.5,24.7,2025-04-20T12:32:26.640Z,2025-04-20T12:32:26Z,1ncet6wg9tne9oif8vkgsc8kq,L. Cornic,,,5666902093,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803840599,16,1,1,0,47,80hgdmpkvdrhw1ge9nks2kxvy,1,21.2,25.6,2025-04-20T12:32:29.506Z,2025-04-20T12:32:30Z,1gwemllvgcore4shqy79qu82y,V. Skjærvik,,,5666902409,212,5.8,5666902407,141,27.9,5666902411,213,0.27,5666902405,140,26.5,5666902403,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803840655,17,1,1,0,47,80hgdmpkvdrhw1ge9nks2kxvy,1,26.5,27.9,2025-04-20T12:32:30.080Z,2025-04-20T12:32:35Z,1qeetk4waatuxev4mqvbxx87p,R. Jenssen,,,5666902709,212,28.3,5666902703,56,Right,5666902711,213,6.03,5666902705,140,52.6,5666902707,141,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803840673,18,1,1,0,52,80hgdmpkvdrhw1ge9nks2kxvy,1,53.6,24.6,2025-04-20T12:32:35.088Z,2025-04-20T12:32:36Z,5mvddfxv6aqzohz87gopwl990,J. Hjertø-Dahl,,,5666902821,213,1.53,5666902813,56,Center,5666902817,141,35.1,5666902815,140,53.9,5666902819,212,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803840681,19,1,1,0,53,80hgdmpkvdrhw1ge9nks2kxvy,1,53.9,35.1,2025-04-20T12:32:35.816Z,2025-04-20T12:32:36Z,1qeetk4waatuxev4mqvbxx87p,R. Jenssen,,,5666902859,141,24.1,5666902863,213,5.09,5666902857,140,56.7,5666902861,212,8.0,5666902855,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803840709,20,1,1,0,54,80hgdmpkvdrhw1ge9nks2kxvy,1,56.7,24.1,2025-04-20T12:32:36.576Z,2025-04-20T13:35:20Z,5mvddfxv6aqzohz87gopwl990,J. Hjertø-Dahl,,,5666903031,140,34.0,5666903033,141,27.9,5666903029,56,Back,5666903037,213,3.03,5666903035,212,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803840773,21,1,1,0,59,80hgdmpkvdrhw1ge9nks2kxvy,1,59.5,23.1,2025-04-20T12:32:42.184Z,2025-04-20T12:32:44Z,1gwemllvgcore4shqy79qu82y,V. Skjærvik,,,5666903369,56,Center,5666903371,140,65.7,5666903373,141,29.7,5666903377,213,0.60,5666903375,212,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803840793,22,1,1,1,2,80hgdmpkvdrhw1ge9nks2kxvy,1,64.9,30.4,2025-04-20T12:32:44.687Z,2025-04-20T12:32:46Z,5mvddfxv6aqzohz87gopwl990,J. Hjertø-Dahl,,,5666903509,212,15.2,5666903503,56,Center,5666903511,213,2.26,5666903505,140,55.7,5666903507,141,47.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803840869,23,1,1,1,4,80hgdmpkvdrhw1ge9nks2kxvy,1,56.7,46.7,2025-04-20T12:32:46.624Z,2025-04-20T12:32:52Z,1qeetk4waatuxev4mqvbxx87p,R. Jenssen,,,5666903969,213,3.35,5666903967,212,11.3,5666903965,141,43.3,5666903963,140,46.2,5666903961,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803840901,24,1,1,1,10,80hgdmpkvdrhw1ge9nks2kxvy,1,50.6,47.2,2025-04-20T12:32:52.368Z,2025-04-20T12:32:55Z,9l89pnte9uhyc8jnads2lintg,T. Guddal,,,5666904127,56,Center,5666904131,141,67.2,5666904129,140,51.1,5666904135,213,1.53,5666904133,212,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803840939,25,1,1,1,12,80hgdmpkvdrhw1ge9nks2kxvy,1,53.3,50.7,2025-04-20T12:32:55.271Z,2025-04-20T12:32:58Z,b0zkcgl6f68noauzpuhzjm4tl,A. Jenssen,,,5666904377,141,35.8,5666904375,140,74.8,5666904373,56,Center,5666904381,213,5.86,5666904371,155,,5666904379,212,24.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803840949,26,1,1,1,15,80hgdmpkvdrhw1ge9nks2kxvy,1,75.2,35.7,2025-04-20T12:32:57.824Z,2025-04-20T12:33:00Z,ebkhyti8l579bl8amir9zgl5g,J. Romsaas,,,5666904423,212,7.4,5666904465,156,,5666904425,213,2.96,5666904419,140,68.3,5666904417,56,Center,5666904421,141,37.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803841023,27,1,1,1,17,80hgdmpkvdrhw1ge9nks2kxvy,1,69.1,35.4,2025-04-20T12:33:00.048Z,2025-04-20T12:33:02Z,b02g29dknl89wywv3l61fgueh,V. Erlien,,,5666904759,141,29.4,5666904763,213,5.82,5666904755,56,Center,5666904761,212,9.2,5666904757,140,76.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803841039,28,1,1,1,19,80hgdmpkvdrhw1ge9nks2kxvy,1,71.5,32.1,2025-04-20T12:33:02.167Z,2025-04-20T12:33:03Z,ebkhyti8l579bl8amir9zgl5g,J. Romsaas,,,5666904839,212,3.4,5666904843,213,2.50,5666904835,141,35.1,5666904829,56,Center,5666904833,140,68.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803841077,29,1,1,1,20,80hgdmpkvdrhw1ge9nks2kxvy,1,68.9,35.1,2025-04-20T12:33:02.840Z,2025-04-20T12:33:05Z,5mvddfxv6aqzohz87gopwl990,J. Hjertø-Dahl,,,5666905021,141,17.3,5666905017,56,Right,5666905019,140,90.2,5666905023,212,25.4,5666905025,213,5.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803841103,30,1,1,1,22,80hgdmpkvdrhw1ge9nks2kxvy,1,90.6,17.1,2025-04-20T12:33:05.016Z,2025-04-20T12:33:07Z,1ncet6wg9tne9oif8vkgsc8kq,L. Cornic,,,5666905111,212,16.5,5666905109,141,16.1,5666905105,56,Right,5666905107,140,74.9,5666905115,213,3.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803841147,31,1,1,1,24,80hgdmpkvdrhw1ge9nks2kxvy,1,74.9,16.1,2025-04-20T12:33:06.840Z,2025-04-20T12:33:24Z,1gwemllvgcore4shqy79qu82y,V. Skjærvik,1.0,,5666905373,155,,5666905377,140,92.9,5666905375,56,Center,5666905381,212,26.3,5666906287,154,,5666906285,210,13,5666905383,213,0.77,5666905371,2,,5666905379,141,43.1,,,,,,,,,,,,,,,,,,,,,,,,,,
2803841153,32,13,1,1,26,80hgdmpkvdrhw1ge9nks2kxvy,1,93.0,47.0,2025-04-20T12:33:08.855Z,2025-04-20T14:45:19Z,ebkhyti8l579bl8amir9zgl5g,J. Romsaas,,,5666906299,15,,5666906315,214,,5666906313,103,69.4,5666906307,55,31,5666906321,231,47.7,5666905423,56,Center,5666906301,74,,5666905419,22,,5666905421,17,,5666906317,328,5666906305,154,5666906303,29,5666906319,230,98.9,5666906311,102,44.4,,,,,,,,,,,,,,
2803841189,7,5,1,1,26,uqspd1bx7f6mq8ohj50u1k1k,1,-1.6,54.3,2025-04-20T12:33:08.998Z,2025-04-20T14:46:25Z,7fsqcwqftmk6lms6f6u8lpdlg,S. Kilen,,,5666905645,233,33,5666905609,346,,5666905607,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803841171,33,5,1,1,26,80hgdmpkvdrhw1ge9nks2kxvy,0,101.6,45.7,2025-04-20T12:33:08.998Z,2025-04-20T14:46:26Z,ebkhyti8l579bl8amir9zgl5g,J. Romsaas,,,5666905687,233,7,5666905505,346,,5666905501,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803841609,8,1,1,1,56,uqspd1bx7f6mq8ohj50u1k1k,0,4.6,39.8,2025-04-20T12:33:38.334Z,2025-04-20T12:33:42Z,8u1ii0vmhpub1p2gbsk1w7yzt,M. Lansing,,,5666907719,1,,5666907709,56,Right,5666907711,140,54.5,5666907723,74,,5666907707,124,,5666907713,141,7.6,5666907715,212,56.8,5666907717,213,5.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803841605,34,44,1,1,58,80hgdmpkvdrhw1ge9nks2kxvy,1,42.0,88.2,2025-04-20T12:33:40.991Z,2025-04-20T13:30:53Z,b0zkcgl6f68noauzpuhzjm4tl,A. Jenssen,,,5666907689,285,,5666907935,233,9,5666907687,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803841615,9,44,1,1,58,uqspd1bx7f6mq8ohj50u1k1k,0,58.0,11.8,2025-04-20T12:33:40.992Z,2025-04-20T13:30:54Z,8qmrc7p7k4bod8ojxl5ib6ot0,D. Tufekčić,,,5666907759,286,,5666907757,56,Right,5666907989,233,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803841629,35,1,1,1,58,80hgdmpkvdrhw1ge9nks2kxvy,0,36.2,81.1,2025-04-20T12:33:41.224Z,2025-04-20T12:33:42Z,b0zkcgl6f68noauzpuhzjm4tl,A. Jenssen,,,5666907845,212,34.8,5666907837,56,Left,5666907835,3,,5666907841,141,87.2,5666907851,1,,5666907839,140,69.1,5666907849,213,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803841665,10,1,1,2,1,uqspd1bx7f6mq8ohj50u1k1k,0,31.9,8.3,2025-04-20T12:33:43.318Z,2025-04-20T12:33:44Z,4zypjoj5r2y9fqpqxn8cd7o16,I. Hoffmann,,,5666908067,140,59.6,5666908083,1,,5666908063,56,Right,5666908059,157,,5666908073,141,11.0,5666908077,212,29.1,5666908081,213,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803841711,36,1,1,2,1,80hgdmpkvdrhw1ge9nks2kxvy,1,27.0,81.1,2025-04-20T12:33:44.230Z,2025-04-20T12:33:47Z,b0zkcgl6f68noauzpuhzjm4tl,A. Jenssen,,,5666908329,1,,5666908315,140,57.9,5666908321,212,32.5,5666908307,3,,5666908319,141,84.4,5666908325,213,0.07,5666908311,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803841731,37,1,1,2,4,80hgdmpkvdrhw1ge9nks2kxvy,0,57.9,84.4,2025-04-20T12:33:47.199Z,2025-04-20T12:33:47Z,cd0g5e95qabgsw4gl3b8ijoid,K. Antonsen,,,5666908407,212,13.7,5666908405,141,83.0,5666908403,140,70.9,5666908399,157,,5666908411,1,,5666908401,56,Left,5666908409,213,6.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803841787,11,61,1,2,6,uqspd1bx7f6mq8ohj50u1k1k,1,33.3,18.6,2025-04-20T12:33:49Z,2025-04-20T12:36:15Z,2vkztwfo5zi3rbsnlmwsgfjvu,M. Olsen,,,5666908721,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803841809,38,1,1,2,8,80hgdmpkvdrhw1ge9nks2kxvy,1,66.8,88.0,2025-04-20T12:33:50.487Z,2025-04-20T13:34:54Z,b02g29dknl89wywv3l61fgueh,V. Erlien,,,5666908847,212,8.3,5666908845,141,84.5,5666908843,140,74.4,5666908841,56,Left,5666908839,3,,5666908849,213,5.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803843675,66,3,1,2,8,80hgdmpkvdrhw1ge9nks2kxvy,0,71.0,84.8,2025-04-20T12:33:50.773Z,2025-04-20T13:30:44Z,ebkhyti8l579bl8amir9zgl5g,J. Romsaas,,,5666921833,233,12,5666918455,56,Left,5666918457,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803841853,12,7,1,2,8,uqspd1bx7f6mq8ohj50u1k1k,0,29.0,15.2,2025-04-20T12:33:50.774Z,2025-04-20T13:30:44Z,4zypjoj5r2y9fqpqxn8cd7o16,I. Hoffmann,,,5666909095,56,Back,5666921773,233,66,5666921221,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803910627,431,3,1,2,9,80hgdmpkvdrhw1ge9nks2kxvy,0,69.2,91.2,2025-04-20T12:33:51.281Z,2025-04-20T14:42:24Z,b02g29dknl89wywv3l61fgueh,V. Erlien,,,5667270291,233,18,5667268833,286,,5667268831,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803842853,18,7,1,2,9,uqspd1bx7f6mq8ohj50u1k1k,1,30.8,8.8,2025-04-20T12:33:51.282Z,2025-04-20T14:42:23Z,4zypjoj5r2y9fqpqxn8cd7o16,I. Hoffmann,,,5666914169,56,Back,5667270265,233,431,5667268329,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803841813,39,83,1,2,10,80hgdmpkvdrhw1ge9nks2kxvy,0,77.0,87.1,2025-04-20T12:33:52.357Z,2025-04-20T13:36:34Z,ebkhyti8l579bl8amir9zgl5g,J. Romsaas,,,5667270747,399,4zypjoj5r2y9fqpqxn8cd7o16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803841959,14,1,1,2,13,uqspd1bx7f6mq8ohj50u1k1k,0,21.2,4.1,2025-04-20T12:33:56.229Z,2025-04-20T13:36:46Z,4zypjoj5r2y9fqpqxn8cd7o16,I. Hoffmann,,,5666909613,157,,5666909617,140,23.6,5666909615,56,Back,5667271959,233,41,5666909661,286,,5666909621,212,2.6,5666909619,141,3.3,5666909623,213,6.07,5666909625,1,,5666909649,236,,,,,,,,,,,,,,,,,,,,,,,,
2803841879,40,43,1,2,13,80hgdmpkvdrhw1ge9nks2kxvy,1,0.0,0.0,2025-04-20T12:33:56.230Z,2025-04-20T13:36:45Z,b02g29dknl89wywv3l61fgueh,V. Erlien,,,5666909733,233,14,5667271859,144,74,5666909211,56,Left,5666909213,285,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803841967,41,74,1,2,13,80hgdmpkvdrhw1ge9nks2kxvy,1,84.4,93.5,2025-04-20T12:33:56.230Z,2025-04-20T13:36:49Z,ebkhyti8l579bl8amir9zgl5g,J. Romsaas,,,5666909637,285,,5666911615,233,14,5666909635,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803842019,15,5,1,2,17,uqspd1bx7f6mq8ohj50u1k1k,1,17.4,-0.9,2025-04-20T12:33:59.933Z,2025-04-20T14:46:26Z,4zypjoj5r2y9fqpqxn8cd7o16,I. Hoffmann,,,5666909987,233,42,5666909903,56,Back,5666909905,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
