id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/9/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2823857155,7,1,1,0,14,d8w1m5j3jbd1eva8524dv4a20,1,44.3,85.6,2025-06-22T15:01:21.991Z,2025-06-22T15:01:23Z,cyndk88eyqa8w6nfdsne29zis,A. Bondhus,,5777951905,212,14.8,5777951899,56,Back,5777951901,140,36.5,5777951907,213,4.13,5777951903,141,67.5,5777951897,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857161,8,1,1,0,15,d8w1m5j3jbd1eva8524dv4a20,1,36.6,75.4,2025-06-22T15:01:23.294Z,2025-06-22T15:01:26Z,14ypgy7ikxp4yubgkr3yhh90p,O. Krusnell,,5777951945,212,14.5,5777951941,140,31.4,5777951939,56,Back,5777951943,141,55.7,5777951947,213,4.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857169,9,1,1,0,18,d8w1m5j3jbd1eva8524dv4a20,1,28.3,34.6,2025-06-22T15:01:26.086Z,2025-06-22T15:01:28Z,5ezedgrsrflkr1gi8o6eu7j3e,M. Fischer,,5777951985,56,Back,5777951993,213,5.10,5777951989,141,10.1,5777951987,140,34.8,5777951991,212,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857173,10,1,1,0,20,d8w1m5j3jbd1eva8524dv4a20,0,30.6,10.0,2025-06-22T15:01:28.270Z,2025-06-22T15:01:30Z,e20bu4y05cuuxz7zx3hl0erdg,M. Dia,,5777952015,140,46.5,5777952019,212,16.7,5777952017,141,9.7,5777952013,56,Back,5777952021,213,6.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857181,6,1,1,0,24,btaf9fuj3xctycyjeqwereaow,0,56.7,79.1,2025-06-22T15:01:32.655Z,2025-06-22T15:01:33Z,865wj533fx1l6pf8jd40uya6s,S. Kristiansen,,5777952043,212,3.6,5777952039,140,53.3,5777952041,141,78.7,5777952045,213,3.22,5777952037,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857179,11,8,1,0,25,d8w1m5j3jbd1eva8524dv4a20,1,54.0,17.3,2025-06-22T15:01:33.238Z,2025-06-22T15:04:42Z,4bhecy0vioxwdpmw64uyek3ro,S. Innvær,,5777952035,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823858235,72,83,1,0,26,d8w1m5j3jbd1eva8524dv4a20,0,45.6,17.8,2025-06-22T15:01:33.892Z,2025-06-22T15:06:15Z,4bhecy0vioxwdpmw64uyek3ro,S. Innvær,,5777958709,399,3e1tqerfmnsaqicofczjljo8a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823858229,71,83,1,0,26,d8w1m5j3jbd1eva8524dv4a20,0,43.7,13.3,2025-06-22T15:01:34.763Z,2025-06-22T15:06:20Z,446klv47srbtz97yk7vgakbft,Bruno Leite,,5777958839,399,3e1tqerfmnsaqicofczjljo8a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857191,7,61,1,0,27,btaf9fuj3xctycyjeqwereaow,0,53.2,78.7,2025-06-22T15:01:34.829Z,2025-06-22T15:01:34Z,3e1tqerfmnsaqicofczjljo8a,S. Mørk,,5777952095,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857201,13,1,1,0,28,d8w1m5j3jbd1eva8524dv4a20,1,42.8,26.8,2025-06-22T15:01:36.071Z,2025-06-22T17:23:19Z,b402113ae9zjswote8zxlzmc5,M. Konradsen,,5777952135,213,2.50,5777952127,56,Back,5777952131,141,42.7,5777952133,212,18.1,5777952129,140,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857219,14,1,1,0,37,d8w1m5j3jbd1eva8524dv4a20,1,33.4,31.8,2025-06-22T15:01:45.726Z,2025-06-22T15:01:47Z,5ezedgrsrflkr1gi8o6eu7j3e,M. Fischer,,5777952227,141,14.7,5777952231,213,4.99,5777952223,56,Back,5777952229,212,12.1,5777952225,140,36.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857223,15,1,1,0,39,d8w1m5j3jbd1eva8524dv4a20,1,33.4,15.3,2025-06-22T15:01:47.310Z,2025-06-22T15:01:49Z,e20bu4y05cuuxz7zx3hl0erdg,M. Dia,,5777952257,212,22.4,5777952253,140,53.1,5777952255,141,28.0,5777952251,56,Center,5777952259,213,0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857227,16,1,1,0,41,d8w1m5j3jbd1eva8524dv4a20,1,52.8,28.9,2025-06-22T15:01:49.302Z,2025-06-22T15:01:50Z,b402113ae9zjswote8zxlzmc5,M. Konradsen,,5777952285,213,4.31,5777952281,141,10.7,5777952279,140,47.8,5777952283,212,13.4,5777952277,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857231,17,1,1,0,42,d8w1m5j3jbd1eva8524dv4a20,0,46.8,10.3,2025-06-22T15:01:50.406Z,2025-06-22T17:23:21Z,4bhecy0vioxwdpmw64uyek3ro,S. Innvær,,5777952301,56,Right,5777952305,141,14.9,5777952309,213,0.46,5777952307,212,7.0,5777952303,140,52.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857233,8,61,1,0,43,btaf9fuj3xctycyjeqwereaow,1,59.6,77.5,2025-06-22T15:01:50.924Z,2025-06-22T15:01:51Z,92xhspr6bl1jyhqru3tsbjvqi,C. Cheng,,5777952311,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857239,18,1,1,0,46,d8w1m5j3jbd1eva8524dv4a20,1,42.4,25.5,2025-06-22T15:01:53.862Z,2025-06-22T17:23:22Z,446klv47srbtz97yk7vgakbft,Bruno Leite,,5777952349,140,28.5,5777952351,141,22.2,5777952355,213,3.29,5777952347,56,Back,5777952353,212,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857241,9,43,1,0,48,btaf9fuj3xctycyjeqwereaow,1,0.0,0.0,2025-06-22T15:01:55.862Z,2025-06-22T15:09:03Z,3e1tqerfmnsaqicofczjljo8a,S. Mørk,,5777962315,144,61,5777952359,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857251,19,1,1,0,48,d8w1m5j3jbd1eva8524dv4a20,1,28.1,22.2,2025-06-22T15:01:56.367Z,2025-06-22T15:01:58Z,e20bu4y05cuuxz7zx3hl0erdg,M. Dia,,5777952389,212,25.3,5777952385,140,9.9,5777952383,56,Back,5777952391,213,2.43,5777952387,141,46.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857259,20,1,1,0,50,d8w1m5j3jbd1eva8524dv4a20,1,9.8,44.0,2025-06-22T15:01:58.710Z,2025-06-22T15:02:01Z,3hb7wwsfbna4xsgibrfrxcep6,J. Torkildsen,,5777952443,56,Back,5777952447,141,12.9,5777952451,213,5.30,5777952449,212,25.4,5777952445,140,23.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857267,21,3,1,0,53,d8w1m5j3jbd1eva8524dv4a20,0,24.8,16.4,2025-06-22T15:02:01.544Z,2025-06-22T15:02:10Z,e20bu4y05cuuxz7zx3hl0erdg,M. Dia,,5777952481,56,Back,5777952483,285,,5777952635,233,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857285,10,7,1,0,53,btaf9fuj3xctycyjeqwereaow,1,75.2,83.6,2025-06-22T15:02:01.545Z,2025-06-22T15:02:09Z,cqbwi2vpug8530eao8ewo1tzo,B. Berntsen,,5777952583,167,,5777952587,286,,5777952591,233,21,5777952585,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857313,11,5,1,0,55,btaf9fuj3xctycyjeqwereaow,0,73.0,101.7,2025-06-22T15:02:02.839Z,2025-06-22T17:02:26Z,cqbwi2vpug8530eao8ewo1tzo,B. Berntsen,,5777952721,56,Left,5777952723,347,,5777952747,233,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857273,22,5,1,0,55,d8w1m5j3jbd1eva8524dv4a20,1,27.0,-1.7,2025-06-22T15:02:02.839Z,2025-06-22T17:23:24Z,e20bu4y05cuuxz7zx3hl0erdg,M. Dia,,5777952725,233,11,5777952519,347,,5777952517,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857321,23,1,1,1,1,d8w1m5j3jbd1eva8524dv4a20,1,23.6,0.0,2025-06-22T15:02:09.639Z,2025-06-22T15:02:11Z,e20bu4y05cuuxz7zx3hl0erdg,M. Dia,,5777952771,213,1.29,5777952761,107,,5777952769,212,11.7,5777952767,141,14.7,5777952763,56,Back,5777952765,140,26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857331,24,1,1,1,2,d8w1m5j3jbd1eva8524dv4a20,0,26.7,14.9,2025-06-22T15:02:10.543Z,2025-06-22T18:06:37Z,446klv47srbtz97yk7vgakbft,Bruno Leite,,5777963337,156,,5777952811,140,19.5,5777952817,213,3.75,5777952813,141,7.1,5777952809,56,Back,5777952815,212,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857329,12,3,1,1,5,btaf9fuj3xctycyjeqwereaow,0,77.2,92.6,2025-06-22T15:02:13.477Z,2025-06-22T15:02:17Z,3e1tqerfmnsaqicofczjljo8a,S. Mørk,,5777952803,286,,5777952835,233,25,5777952801,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857335,25,7,1,1,5,d8w1m5j3jbd1eva8524dv4a20,0,22.8,7.4,2025-06-22T15:02:13.478Z,2025-06-22T15:02:18Z,e20bu4y05cuuxz7zx3hl0erdg,M. Dia,,5777952823,56,Back,5777952827,233,12,5777952825,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857333,13,61,1,1,6,btaf9fuj3xctycyjeqwereaow,1,74.7,90.9,2025-06-22T15:02:14.125Z,2025-06-22T15:02:14Z,3e1tqerfmnsaqicofczjljo8a,S. Mørk,,5777952821,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857341,14,5,1,1,7,btaf9fuj3xctycyjeqwereaow,0,73.6,101.8,2025-06-22T15:02:15.190Z,2025-06-22T17:02:26Z,3e1tqerfmnsaqicofczjljo8a,S. Mørk,,5777952929,233,26,5777952855,347,,5777952853,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857351,26,5,1,1,7,d8w1m5j3jbd1eva8524dv4a20,1,26.4,-1.8,2025-06-22T15:02:15.190Z,2025-06-22T17:02:26Z,e20bu4y05cuuxz7zx3hl0erdg,M. Dia,,5777952909,56,Back,5777952925,233,14,5777952911,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857355,27,1,1,1,9,d8w1m5j3jbd1eva8524dv4a20,1,24.8,0.0,2025-06-22T15:02:16.854Z,2025-06-22T15:02:20Z,e20bu4y05cuuxz7zx3hl0erdg,M. Dia,,5777952933,107,,5777952937,140,18.9,5777952939,141,17.6,5777952941,212,14.5,5777952943,213,2.01,5777952935,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857361,28,50,1,1,12,d8w1m5j3jbd1eva8524dv4a20,1,24.8,37.2,2025-06-22T15:02:19.960Z,2025-06-22T16:03:59Z,5ezedgrsrflkr1gi8o6eu7j3e,M. Fischer,,5777952965,56,Back,5777964733,285,,5777965327,233,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823859511,85,7,1,1,12,btaf9fuj3xctycyjeqwereaow,0,75.2,62.8,2025-06-22T15:02:19.961Z,2025-06-22T18:03:30Z,v3hnsgptqqi0ystvybqtpyzu,J. Dunsby,,5777965185,56,Center,5777965311,286,,5777965307,233,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857365,29,1,1,1,13,d8w1m5j3jbd1eva8524dv4a20,1,31.9,15.0,2025-06-22T15:02:21.423Z,2025-06-22T15:02:23Z,b402113ae9zjswote8zxlzmc5,M. Konradsen,,5777953017,56,Back,5777953021,141,29.1,5777953025,213,1.10,5777953015,3,,5777953023,212,10.7,5777953019,140,36.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857375,30,1,1,1,15,d8w1m5j3jbd1eva8524dv4a20,1,35.0,30.0,2025-06-22T15:02:23.103Z,2025-06-22T15:02:26Z,446klv47srbtz97yk7vgakbft,Bruno Leite,,5777953059,3,,5777953065,141,13.1,5777953063,140,38.9,5777953067,212,12.2,5777953069,213,5.05,5777953061,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857377,31,50,1,1,17,d8w1m5j3jbd1eva8524dv4a20,1,38.8,21.5,2025-06-22T15:02:24.804Z,2025-06-22T17:23:30Z,4bhecy0vioxwdpmw64uyek3ro,S. Innvær,,5777966843,233,15,5777966707,286,,5777953073,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857371,15,7,1,1,17,btaf9fuj3xctycyjeqwereaow,1,61.2,78.5,2025-06-22T15:02:24.805Z,2025-06-22T15:12:00Z,92xhspr6bl1jyhqru3tsbjvqi,C. Cheng,,5777966823,233,31,5777966821,285,,5777953055,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857381,17,1,1,1,18,btaf9fuj3xctycyjeqwereaow,1,63.4,77.8,2025-06-22T15:02:26.534Z,2025-06-22T15:02:27Z,cqbwi2vpug8530eao8ewo1tzo,B. Berntsen,,5777953083,140,62.0,5777953087,212,1.5,5777953089,213,3.14,5777953081,56,Center,5777953085,141,77.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857385,18,1,1,1,19,btaf9fuj3xctycyjeqwereaow,1,62.0,77.8,2025-06-22T15:02:27.157Z,2025-06-22T15:02:28Z,92xhspr6bl1jyhqru3tsbjvqi,C. Cheng,,5777953121,212,4.5,5777953117,140,62.7,5777953119,141,71.2,5777953123,213,4.87,5777953115,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857389,19,1,1,1,20,btaf9fuj3xctycyjeqwereaow,1,62.7,71.2,2025-06-22T15:02:28.006Z,2025-06-22T15:02:28Z,3e1tqerfmnsaqicofczjljo8a,S. Mørk,,5777953141,140,59.9,5777953145,212,4.8,5777953139,56,Center,5777953143,141,76.7,5777953147,213,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857407,20,1,1,1,20,btaf9fuj3xctycyjeqwereaow,1,59.9,76.7,2025-06-22T15:02:28.669Z,2025-06-22T15:02:35Z,92xhspr6bl1jyhqru3tsbjvqi,C. Cheng,,5777953229,141,80.6,5777953225,56,Back,5777953233,213,3.03,5777953231,212,24.1,5777953227,140,37.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857425,21,1,1,1,27,btaf9fuj3xctycyjeqwereaow,0,38.3,74.7,2025-06-22T15:02:35.216Z,2025-06-22T15:02:38Z,865wj533fx1l6pf8jd40uya6s,S. Kristiansen,,5777953335,1,,5777953325,56,Center,5777953331,212,60.8,5777953323,155,,5777953327,140,96.2,5777953329,141,71.7,5777953333,213,6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857439,33,1,1,1,36,d8w1m5j3jbd1eva8524dv4a20,1,11.7,43.9,2025-06-22T15:02:44.247Z,2025-06-22T15:02:47Z,3hb7wwsfbna4xsgibrfrxcep6,J. Torkildsen,,5777953433,212,19.7,5777953429,140,15.9,5777953427,56,Back,5777953431,141,72.1,5777953425,123,,5777953435,213,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857441,34,1,1,1,39,d8w1m5j3jbd1eva8524dv4a20,1,22.7,69.9,2025-06-22T15:02:46.969Z,2025-06-22T15:13:36Z,14ypgy7ikxp4yubgkr3yhh90p,O. Krusnell,,5777953459,213,1.19,5777953451,56,Back,5777953455,141,92.9,5777953453,140,28.6,5777953457,212,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857445,35,1,1,1,41,d8w1m5j3jbd1eva8524dv4a20,1,28.6,92.9,2025-06-22T15:02:49.103Z,2025-06-22T15:02:51Z,cyndk88eyqa8w6nfdsne29zis,A. Bondhus,,5777953491,141,81.1,5777953487,56,Back,5777953495,213,3.95,5777953489,140,21.3,5777953493,212,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857455,36,1,1,1,43,d8w1m5j3jbd1eva8524dv4a20,1,21.3,76.1,2025-06-22T15:02:51.303Z,2025-06-22T15:13:39Z,14ypgy7ikxp4yubgkr3yhh90p,O. Krusnell,,5777953563,141,57.2,5777953559,56,Back,5777953567,213,5.78,5777953561,140,43.3,5777953565,212,26.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857475,37,1,1,1,47,d8w1m5j3jbd1eva8524dv4a20,1,39.8,47.5,2025-06-22T15:02:55.215Z,2025-06-22T15:02:59Z,b402113ae9zjswote8zxlzmc5,M. Konradsen,,5777953661,141,19.4,5777953665,213,5.05,5777953657,56,Back,5777953663,212,20.2,5777953659,140,46.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857487,38,1,1,1,51,d8w1m5j3jbd1eva8524dv4a20,1,63.9,10.1,2025-06-22T15:02:59.384Z,2025-06-22T15:03:01Z,e20bu4y05cuuxz7zx3hl0erdg,M. Dia,,5777953725,140,60.1,5777953729,212,10.3,5777953727,141,24.0,5777953731,213,1.97,5777953723,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857499,39,1,1,1,54,d8w1m5j3jbd1eva8524dv4a20,1,62.4,32.5,2025-06-22T15:03:01.776Z,2025-06-22T15:03:04Z,446klv47srbtz97yk7vgakbft,Bruno Leite,,5777953811,213,0.87,5777953807,141,58.8,5777953803,56,Center,5777953805,140,76.9,5777953809,212,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
