id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/8/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2813608259,6,44,1,0,15,eujf9nqky8c5jnahb2f76m86o,1,62.6,24.1,2025-05-11T15:01:16.418Z,2025-05-11T17:07:46Z,7yjqvzpcyyil0g7jne4hv7svd,A. Kryger,,,5720772589,286,,5720772585,56,Center,5720772625,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813608229,6,44,1,0,15,45v50owpvshpijizwwlcw4lni,0,37.4,75.9,2025-05-11T15:01:16.419Z,2025-05-11T17:07:47Z,6mzoir7lrrfehbzgu7gmnwyl0,S. Granaas,,,5720772641,233,6,5720772411,56,Back,5720772413,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813608277,7,1,1,0,16,eujf9nqky8c5jnahb2f76m86o,0,59.8,24.9,2025-05-11T15:01:17.395Z,2025-05-11T17:09:08Z,7yjqvzpcyyil0g7jne4hv7svd,A. Kryger,,,5720772717,140,69.1,5720772715,56,Center,5720772713,3,,5720772719,141,36.4,5720772723,213,0.68,5720772721,212,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813608319,7,27,1,0,20,45v50owpvshpijizwwlcw4lni,1,0.0,0.0,2025-05-11T15:01:21.436Z,2025-05-11T15:01:47Z,,,,,5720773013,41,Injury,5720773015,53,6mzoir7lrrfehbzgu7gmnwyl0,5720773035,233,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813608311,8,27,1,0,20,eujf9nqky8c5jnahb2f76m86o,1,0.0,0.0,2025-05-11T15:01:21.436Z,2025-05-11T15:01:26Z,,,,,5720773031,233,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813608463,8,28,1,0,35,45v50owpvshpijizwwlcw4lni,1,0.0,0.0,2025-05-11T15:01:36.507Z,2025-05-11T15:01:38Z,,,,,5720773773,233,9,5720773645,55,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813608481,9,28,1,0,35,eujf9nqky8c5jnahb2f76m86o,1,0.0,0.0,2025-05-11T15:01:36.507Z,2025-05-11T15:01:38Z,,,,,5720773747,55,8,5720773763,233,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813608547,10,1,1,0,38,eujf9nqky8c5jnahb2f76m86o,1,46.8,24.1,2025-05-11T15:01:39.458Z,2025-05-11T15:01:43Z,7yjqvzpcyyil0g7jne4hv7svd,A. Kryger,,,5720774109,56,Back,5720774113,141,31.0,5720774115,212,18.4,5720774111,140,29.9,5720774117,213,2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813608583,11,1,1,0,41,eujf9nqky8c5jnahb2f76m86o,1,29.2,30.9,2025-05-11T15:01:42.906Z,2025-05-11T15:01:46Z,2gxvele61txnvuc7sxszfqaga,J. Haahr,,,5720774331,213,2.63,5720774329,212,20.2,5720774323,56,Back,5720774325,140,12.4,5720774327,141,45.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813608633,12,1,1,0,44,eujf9nqky8c5jnahb2f76m86o,0,12.4,45.4,2025-05-11T15:01:46.178Z,2025-05-11T15:01:50Z,dk56pv43y8zo39ft9xtwyapnu,J. de Boer,,,5720774593,140,49.8,5720774595,141,28.2,5720774591,56,Back,5720774597,212,41.0,5720774599,213,5.99,5720774601,1,,5720774589,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813609149,12,44,1,0,50,45v50owpvshpijizwwlcw4lni,1,48.6,75.6,2025-05-11T15:01:51.395Z,2025-05-11T17:07:47Z,2hwemaa18hwlq3c4i208lbbo5,K. Eriksen,,,5720776919,56,Back,5720777085,285,,5720777037,233,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813609175,16,44,1,0,50,eujf9nqky8c5jnahb2f76m86o,0,51.4,24.4,2025-05-11T15:01:51.396Z,2025-05-11T17:07:47Z,egd6w206242dh7aowfzmwyane,A. Scriven,,,5720777025,56,Center,5720777065,233,12,5721359469,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813608679,10,1,1,0,50,45v50owpvshpijizwwlcw4lni,1,51.6,79.4,2025-05-11T15:01:51.962Z,2025-05-11T15:01:58Z,2hwemaa18hwlq3c4i208lbbo5,K. Eriksen,,,5720774789,212,15.0,5720774783,56,Center,5720774785,140,64.6,5720774781,3,,5720774787,141,70.2,5720774791,213,5.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813608689,11,1,1,0,52,45v50owpvshpijizwwlcw4lni,0,64.6,70.2,2025-05-11T15:01:53.546Z,2025-05-11T15:02:47Z,cv38uxcibt3cwwj54m9ydg86i,E. Breivik,,,5720774827,212,31.3,5720774821,56,Center,5720774823,140,90.4,5720774825,141,47.0,5720774829,213,5.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813608905,13,1,1,1,1,eujf9nqky8c5jnahb2f76m86o,1,18.9,33.3,2025-05-11T15:02:02.426Z,2025-05-11T15:02:07Z,dk56pv43y8zo39ft9xtwyapnu,J. de Boer,,,5720775851,213,5.14,5720775847,141,8.0,5720775845,140,26.3,5720775843,56,Back,5720775849,212,18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813608909,14,61,1,1,6,eujf9nqky8c5jnahb2f76m86o,1,26.9,8.0,2025-05-11T15:02:07.355Z,2025-05-11T15:02:08Z,7yjqvzpcyyil0g7jne4hv7svd,A. Kryger,,,5720775963,238,,5720775869,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813608953,15,5,1,1,8,eujf9nqky8c5jnahb2f76m86o,0,29.1,-1.8,2025-05-11T15:02:09.882Z,2025-05-11T17:26:37Z,7yjqvzpcyyil0g7jne4hv7svd,A. Kryger,,,5720776089,56,Back,5720778571,233,15,5720776091,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813609345,15,5,1,1,8,45v50owpvshpijizwwlcw4lni,1,70.9,101.8,2025-05-11T15:02:09.882Z,2025-05-11T17:26:36Z,2hwemaa18hwlq3c4i208lbbo5,K. Eriksen,,,5720778551,233,15,5720777991,56,Left,5720777993,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813609195,13,27,1,1,25,45v50owpvshpijizwwlcw4lni,1,0.0,0.0,2025-05-11T15:02:26.363Z,2025-05-11T15:02:31Z,,,,,5720777131,41,Injury,5720777135,53,2hwemaa18hwlq3c4i208lbbo5,5720777247,233,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813609207,17,27,1,1,25,eujf9nqky8c5jnahb2f76m86o,1,0.0,0.0,2025-05-11T15:02:26.363Z,2025-05-11T15:02:30Z,,,,,5720777231,233,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813609275,14,28,1,1,33,45v50owpvshpijizwwlcw4lni,1,0.0,0.0,2025-05-11T15:02:34.722Z,2025-05-11T17:26:32Z,,,,,5721456155,233,18,5720777571,55,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813609383,18,28,1,1,33,eujf9nqky8c5jnahb2f76m86o,1,0.0,0.0,2025-05-11T15:02:34.722Z,2025-05-11T17:26:32Z,,,,,5721456101,233,14,5720778165,55,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813609395,16,1,1,1,38,45v50owpvshpijizwwlcw4lni,0,66.4,100.0,2025-05-11T15:02:39.275Z,2025-05-11T15:56:22Z,6mzoir7lrrfehbzgu7gmnwyl0,S. Granaas,,,5720778223,1,,5720778221,213,6.11,5721016409,238,,5720778219,212,36.5,5720778211,107,,5720778217,141,92.0,5720778215,140,100.0,5720778213,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813609445,17,5,1,1,40,45v50owpvshpijizwwlcw4lni,0,100.8,92.8,2025-05-11T15:02:41.745Z,2025-05-11T15:02:49Z,6mzoir7lrrfehbzgu7gmnwyl0,S. Granaas,,,5720778501,346,,5720778499,56,Left,5720778673,233,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813609467,19,5,1,1,40,eujf9nqky8c5jnahb2f76m86o,1,-0.8,7.2,2025-05-11T15:02:41.745Z,2025-05-11T17:26:37Z,egd6w206242dh7aowfzmwyane,A. Scriven,,,5720778599,56,Back,5720778601,346,,5720778643,233,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813609671,20,1,1,1,57,eujf9nqky8c5jnahb2f76m86o,0,5.0,40.7,2025-05-11T15:02:58.440Z,2025-05-11T15:03:04Z,dk56pv43y8zo39ft9xtwyapnu,J. de Boer,,,5720779803,56,Back,5720779805,140,47.4,5720779801,124,,5720779807,141,11.0,5720779809,212,48.9,5720779817,74,,5720779811,213,5.86,5720779813,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813609705,18,44,1,2,2,45v50owpvshpijizwwlcw4lni,1,54.0,88.8,2025-05-11T15:03:03.343Z,2025-05-11T15:58:59Z,2hwemaa18hwlq3c4i208lbbo5,K. Eriksen,,,5720780003,286,,5720780023,233,21,5720780001,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813609679,21,44,1,2,2,eujf9nqky8c5jnahb2f76m86o,0,46.0,11.2,2025-05-11T15:03:03.344Z,2025-05-11T15:03:10Z,4z3w46k9n0yocg319dcewwz8q,L. Sødal,,,5720779847,285,,5720780039,233,18,5720779845,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813609761,19,1,1,2,2,45v50owpvshpijizwwlcw4lni,1,56.2,88.7,2025-05-11T15:03:03.827Z,2025-05-11T17:09:12Z,2hwemaa18hwlq3c4i208lbbo5,K. Eriksen,,,5720780363,140,58.1,5720780355,3,,5720780367,141,79.1,5720780359,56,Left,5720780371,212,6.8,5720780373,213,5.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813609765,20,1,1,2,4,45v50owpvshpijizwwlcw4lni,0,58.1,79.1,2025-05-11T15:03:05.907Z,2025-05-11T15:59:04Z,cdqa1j5yeh8u9ll0ijx28oyj9,M. Møller Dæhli,,,5720780399,140,84.4,5720780395,157,,5720780397,56,Left,5720780405,213,0.21,5720780403,212,28.2,5720780401,141,87.7,5720780407,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813609729,22,1,1,2,5,eujf9nqky8c5jnahb2f76m86o,0,26.5,9.1,2025-05-11T15:03:06.640Z,2025-05-11T15:03:07Z,7yjqvzpcyyil0g7jne4hv7svd,A. Kryger,,,5720780145,213,6.28,5720780143,212,19.4,5720780139,140,45.0,5720780147,1,,5720780141,141,8.9,5720780137,56,Back,5720780135,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813609875,22,1,1,2,13,45v50owpvshpijizwwlcw4lni,0,86.2,89.9,2025-05-11T15:03:14.329Z,2025-05-11T15:03:15Z,2hwemaa18hwlq3c4i208lbbo5,K. Eriksen,,,5720781011,213,0.18,5720781009,212,10.3,5720781003,56,Left,5720781005,140,95.9,5720781007,141,92.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813609881,23,12,1,2,13,eujf9nqky8c5jnahb2f76m86o,1,8.7,9.1,2025-05-11T15:03:14.896Z,2025-05-11T15:03:16Z,2gxvele61txnvuc7sxszfqaga,J. Haahr,,,5720781131,167,,5720781039,212,7.4,5720781041,213,4.84,5720781037,141,0.0,5720781033,56,Back,5720781035,140,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813609939,23,5,1,2,14,45v50owpvshpijizwwlcw4lni,1,90.4,101.2,2025-05-11T15:03:15.633Z,2025-05-11T17:26:38Z,6mzoir7lrrfehbzgu7gmnwyl0,S. Granaas,,,5720781301,56,Left,5720781303,347,,5720781351,233,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813609887,24,5,1,2,14,eujf9nqky8c5jnahb2f76m86o,0,9.6,-1.2,2025-05-11T15:03:15.633Z,2025-05-11T17:26:39Z,2gxvele61txnvuc7sxszfqaga,J. Haahr,,,5720781069,56,Back,5720781415,233,23,5720781071,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813610037,24,1,1,2,22,45v50owpvshpijizwwlcw4lni,1,85.8,100.0,2025-05-11T15:03:23.881Z,2025-05-11T15:03:25Z,6hfh81884cw22q8ekjmiezq39,K. Haugen,,,5720781879,212,14.3,5720781873,56,Left,5720781875,140,91.6,5720781871,107,,5720781877,141,83.0,5720781881,213,5.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813610073,25,1,1,2,24,45v50owpvshpijizwwlcw4lni,1,91.6,83.0,2025-05-11T15:03:25.697Z,2025-05-11T16:05:00Z,7m4f590x3kc3935gpg72xhg45,M. Eikrem,,,5720782101,213,4.20,5720782095,141,68.2,5720782093,140,86.2,5720782097,212,11.6,5720782091,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813610083,26,1,1,2,26,45v50owpvshpijizwwlcw4lni,1,92.5,77.3,2025-05-11T15:03:28.139Z,2025-05-11T16:04:04Z,2hwemaa18hwlq3c4i208lbbo5,K. Eriksen,,,5721044437,213,2.61,5721044431,140,86.0,5721044435,212,7.9,5721044429,56,Left,5721044433,141,83.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813610089,27,1,1,2,27,45v50owpvshpijizwwlcw4lni,1,82.9,73.0,2025-05-11T15:03:28.314Z,2025-05-11T16:04:35Z,cv38uxcibt3cwwj54m9ydg86i,E. Breivik,,,5721047009,141,72.8,5721047007,140,90.0,5721047005,56,Center,5721047013,213,6.26,5721047011,212,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813610103,28,3,1,2,28,45v50owpvshpijizwwlcw4lni,0,86.2,63.4,2025-05-11T15:03:29.504Z,2025-05-11T15:03:33Z,7m4f590x3kc3935gpg72xhg45,M. Eikrem,,,5720782221,286,,5720782287,233,25,5720782219,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813610107,25,7,1,2,28,eujf9nqky8c5jnahb2f76m86o,1,13.8,36.6,2025-05-11T15:03:29.505Z,2025-05-11T16:07:04Z,c2pyie18ewq33hdvoaljwkbca,J. Husebø,,,5720782249,233,28,5720782237,56,Back,5720782239,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813610229,29,83,1,2,29,45v50owpvshpijizwwlcw4lni,1,54.5,65.8,2025-05-11T15:03:30.489Z,2025-05-11T17:09:54Z,cv38uxcibt3cwwj54m9ydg86i,E. Breivik,,,5721368665,399,7adevxj1o3gpqpmrv3f72v3oq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813610143,27,1,1,2,30,eujf9nqky8c5jnahb2f76m86o,0,25.2,32.5,2025-05-11T15:03:31.384Z,2025-05-11T16:07:20Z,7adevxj1o3gpqpmrv3f72v3oq,Duarte Moreira,,,5721059901,56,Back,5721059907,141,26.4,5721059905,140,43.7,5721059909,212,19.9,5721059911,213,6.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813659643,463,1,1,2,34,45v50owpvshpijizwwlcw4lni,1,54.9,66.3,2025-05-11T15:03:35.265Z,2025-05-11T16:06:07Z,9mt0cpw6rkuv6ndn4jbon6hg5,E. Haugan,,,5721054199,56,Back,5721054203,141,57.5,5721054205,212,30.2,5721054207,213,3.34,5721054201,140,26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813610251,30,1,1,2,38,45v50owpvshpijizwwlcw4lni,0,25.1,47.8,2025-05-11T15:03:40.026Z,2025-05-11T16:06:17Z,2y89r1uyyagwssn9m67ihdo7p,J. Karlstrøm,,,5720782911,56,Left,5720782917,212,58.4,5720782915,141,80.6,5720782913,140,76.5,5720782919,213,0.39,5721055321,157,,5720782923,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813610283,28,1,1,2,39,eujf9nqky8c5jnahb2f76m86o,0,28.7,22.5,2025-05-11T15:03:40.760Z,2025-05-11T15:03:43Z,7yjqvzpcyyil0g7jne4hv7svd,A. Kryger,,,5720783107,3,,5720783109,56,Back,5720783113,141,18.8,5720783115,212,6.4,5720783117,213,5.88,5720783111,140,34.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813610313,31,44,1,2,41,45v50owpvshpijizwwlcw4lni,1,67.6,82.4,2025-05-11T15:03:42.638Z,2025-05-11T17:07:48Z,6mzoir7lrrfehbzgu7gmnwyl0,S. Granaas,,,5720783309,233,29,5720783257,56,Left,5720783259,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813610303,29,44,1,2,41,eujf9nqky8c5jnahb2f76m86o,0,32.4,17.6,2025-05-11T15:03:42.639Z,2025-05-11T17:07:48Z,egd6w206242dh7aowfzmwyane,A. Scriven,,,5720783217,56,Back,5720783355,233,31,5720783219,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813610365,32,1,1,2,41,45v50owpvshpijizwwlcw4lni,1,70.8,84.5,2025-05-11T15:03:42.762Z,2025-05-11T17:10:01Z,6mzoir7lrrfehbzgu7gmnwyl0,S. Granaas,,,5720783525,3,,5720783527,56,Center,5720783531,141,73.2,5720783533,212,8.4,5720783535,213,5.14,5720783529,140,74.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813610377,33,61,1,2,43,45v50owpvshpijizwwlcw4lni,0,74.1,73.2,2025-05-11T15:03:44.561Z,2025-05-11T16:06:35Z,2hwemaa18hwlq3c4i208lbbo5,K. Eriksen,,,5720783585,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
