id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/18/value,qualifier/14/value
2739963577,5,44,1,0,12,c165yjiny1qnmfdvefxvflnkc,1,28.4,86.0,2024-10-27T13:00:56.094Z,2024-10-27T18:56:19Z,94hei5v2f93ga4b0iwxxisbu1,D. Emmanouilidis,,,5318376295,233,7,5318376217,285,,5318376215,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739963579,7,44,1,0,12,anga7587r1zv4ey71ge9zxol3,0,71.6,14.0,2024-10-27T13:00:56.095Z,2024-10-27T13:40:21Z,bpw4cd5vmghjhelb3uxupmqjt,S. Magnússon,,,5318376227,56,Right,5318376301,233,5,5318376229,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739963585,6,1,1,0,13,c165yjiny1qnmfdvefxvflnkc,0,30.0,83.9,2024-10-27T13:00:56.438Z,2024-10-27T18:56:22Z,94hei5v2f93ga4b0iwxxisbu1,D. Emmanouilidis,,,5318376267,212,6.8,5318376253,3,,5318376259,56,Back,5318376265,141,74.9,5318376263,140,32.9,5318376269,213,5.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740012741,395,1,1,0,14,anga7587r1zv4ey71ge9zxol3,1,62.8,32.4,2024-10-27T13:00:57.322Z,2024-10-27T13:51:35Z,d854rlweyk5wq6d2veyviukq2,C. Winther,,,5318634989,140,68.2,5318634995,213,0.67,5318634993,212,7.2,5318634991,141,39.0,5318634985,3,,5318634987,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740012747,396,61,1,0,15,anga7587r1zv4ey71ge9zxol3,1,68.2,39.0,2024-10-27T13:00:58.322Z,2024-10-27T13:51:46Z,6d0lxiep13vdv32bdb0xwyrys,L. Sandgrav,,,5318635005,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739963643,8,1,1,0,16,anga7587r1zv4ey71ge9zxol3,0,57.9,34.2,2024-10-27T13:01:00.239Z,2024-10-27T13:01:01Z,d854rlweyk5wq6d2veyviukq2,C. Winther,,,5318376549,140,67.6,5318376555,213,1.19,5318376547,56,Center,5318376553,212,27.6,5318376551,141,71.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739963647,7,61,1,0,18,c165yjiny1qnmfdvefxvflnkc,0,30.1,27.1,2024-10-27T13:01:01.702Z,2024-10-27T13:01:01Z,1xjhud4hyekcg08nue1iosmsq,T. Gundelund,,,5318376561,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739963705,9,1,1,0,21,anga7587r1zv4ey71ge9zxol3,1,85.4,82.8,2024-10-27T13:01:04.830Z,2024-10-27T13:01:06Z,8ydi45wh0naevno6aos78vi09,L. Klassen,,,5318376855,140,85.7,5318376857,141,61.4,5318376861,213,4.73,5318376859,212,14.6,5318376853,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739963717,10,61,1,0,22,anga7587r1zv4ey71ge9zxol3,0,88.2,61.8,2024-10-27T13:01:06.157Z,2024-10-27T18:56:53Z,58o5ram4bf58357786j9jr7kk,M. Opoku,,,5318376919,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739963723,8,12,1,0,22,c165yjiny1qnmfdvefxvflnkc,1,14.0,37.2,2024-10-27T13:01:06.158Z,2024-10-27T18:57:11Z,6ylzm57bvpufg3cenadtv7qhh,D. van Bruggen,,,5320450017,213,1.15,5320450011,140,28.5,5320450013,141,87.1,5318376939,56,Back,5320450015,212,37.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739963795,11,1,1,0,28,anga7587r1zv4ey71ge9zxol3,1,87.7,5.2,2024-10-27T13:01:12.319Z,2024-10-27T13:01:15Z,6v4ykv7aw86ql22oksh682kus,W. Kumado,,,5318377331,141,8.5,5318377327,56,Right,5318377333,212,13.7,5318377335,213,2.98,5318377329,140,74.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739963813,12,1,1,0,32,anga7587r1zv4ey71ge9zxol3,0,74.8,9.3,2024-10-27T13:01:15.471Z,2024-10-27T18:57:25Z,2wwpfsducpmryacr17y8k70iy,B. Rolland,,,5318377421,2,,5318377429,141,34.4,5320450697,20,,5318377431,212,20.0,5318377427,140,84.7,5318377433,213,1.02,5318377425,56,Center,5320450695,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739963859,9,12,1,0,34,c165yjiny1qnmfdvefxvflnkc,1,9.9,69.8,2024-10-27T13:01:17.686Z,2024-10-27T13:01:19Z,7uia9zlz3axnuc6usdn9u4kfe,L. Hetemi,,,5318377699,140,18.0,5318377703,141,80.3,5318377707,212,11.1,5318377695,56,Back,5318377711,213,0.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740342473,871,83,1,0,35,anga7587r1zv4ey71ge9zxol3,1,74.7,27.1,2024-10-27T13:01:18.670Z,2024-10-27T18:57:57Z,2wwpfsducpmryacr17y8k70iy,B. Rolland,,,5320452689,399,3ylgelxr6ssp42hidfnchqp2i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739963917,11,1,1,0,36,c165yjiny1qnmfdvefxvflnkc,1,18.3,80.9,2024-10-27T13:01:19.430Z,2024-10-27T13:11:36Z,3ylgelxr6ssp42hidfnchqp2i,K. Kirkegaard,,,5318377963,56,Back,5318377971,213,5.63,5318377969,212,11.0,5318377967,141,71.0,5318377965,140,26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739963933,12,1,1,0,40,c165yjiny1qnmfdvefxvflnkc,1,55.8,63.9,2024-10-27T13:01:23.903Z,2024-10-27T13:11:38Z,6xjbcik3a56d0vqy4vrq5eokp,D. Čolina,,,5318378019,140,74.7,5318378023,212,21.1,5318378021,141,74.6,5318378025,213,0.35,5318378017,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739964013,13,1,1,0,46,c165yjiny1qnmfdvefxvflnkc,1,82.2,69.3,2024-10-27T13:01:29.743Z,2024-10-27T13:01:31Z,94hei5v2f93ga4b0iwxxisbu1,D. Emmanouilidis,,,5318378405,140,95.4,5318378411,213,0.23,5318378407,141,74.1,5318378409,212,14.2,5318378403,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739964019,14,1,1,0,48,c165yjiny1qnmfdvefxvflnkc,0,94.3,74.0,2024-10-27T13:01:31.487Z,2024-10-27T13:09:37Z,6xjbcik3a56d0vqy4vrq5eokp,D. Čolina,,,5318378439,213,4.12,5318378435,141,68.7,5318378437,212,4.3,5318378433,140,92.0,5318378431,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739964163,13,12,1,0,48,anga7587r1zv4ey71ge9zxol3,1,8.6,31.4,2024-10-27T13:01:32.143Z,2024-10-27T13:01:41Z,6ul2nma4j0a7e2li6wyyrpal1,M. Jensen,,,5318379167,141,18.5,5318379171,213,5.17,5318379163,56,Back,5318379169,212,9.8,5318379165,140,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739964147,15,1,1,0,54,c165yjiny1qnmfdvefxvflnkc,1,68.0,88.7,2024-10-27T13:01:37.679Z,2024-10-27T13:09:58Z,94hei5v2f93ga4b0iwxxisbu1,D. Emmanouilidis,,,5318379075,56,Left,5318379083,213,0.48,5318379081,212,8.0,5318379077,140,74.8,5318379079,141,94.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740020099,471,1,1,0,55,c165yjiny1qnmfdvefxvflnkc,1,75.6,81.0,2024-10-27T13:01:38.322Z,2024-10-27T14:01:40Z,7uia9zlz3axnuc6usdn9u4kfe,L. Hetemi,,,5318673331,141,88.7,5318673337,213,0.39,5318673327,140,87.6,5318673335,212,13.6,5318673325,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739964153,16,1,1,0,57,c165yjiny1qnmfdvefxvflnkc,0,73.8,95.7,2024-10-27T13:01:40.863Z,2024-10-27T18:58:49Z,94hei5v2f93ga4b0iwxxisbu1,D. Emmanouilidis,,,5318379193,233,14,5318379119,56,Left,5320455233,223,,5318379123,141,84.8,5318379121,140,75.0,5318379115,2,,5318379125,212,7.5,5318379117,155,,5318379127,213,4.88,5320455235,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739964167,14,61,1,0,57,anga7587r1zv4ey71ge9zxol3,1,14.6,13.0,2024-10-27T13:01:40.963Z,2024-10-27T18:58:47Z,bpw4cd5vmghjhelb3uxupmqjt,S. Magnússon,,,5318379177,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739964225,15,1,1,1,0,anga7587r1zv4ey71ge9zxol3,1,12.0,46.8,2024-10-27T13:01:43.454Z,2024-10-27T13:01:45Z,6ul2nma4j0a7e2li6wyyrpal1,M. Jensen,,,5318379471,3,,5318379473,56,Back,5318379479,212,12.9,5318379477,141,52.3,5318379475,140,23.8,5318379481,213,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739964237,17,1,1,1,0,anga7587r1zv4ey71ge9zxol3,0,23.8,52.3,2024-10-27T13:01:44.279Z,2024-10-27T14:01:44Z,6d0lxiep13vdv32bdb0xwyrys,L. Sandgrav,,,5318379543,212,29.9,5318379541,141,24.8,5318379539,140,46.0,5318379545,213,5.61,5318379537,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739964253,17,1,1,1,1,c165yjiny1qnmfdvefxvflnkc,1,51.4,73.2,2024-10-27T13:01:45.127Z,2024-10-27T13:01:47Z,7hukebiijqntuvetwzralzuju,O. Provstgaard,,,5318379629,213,0.00,5318379621,56,Center,5318379623,140,61.2,5318379625,141,73.2,5318379627,212,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739964319,18,1,1,1,6,c165yjiny1qnmfdvefxvflnkc,1,62.3,74.6,2024-10-27T13:01:49.391Z,2024-10-27T13:01:51Z,7uia9zlz3axnuc6usdn9u4kfe,L. Hetemi,,,5318379979,56,Left,5318379983,141,84.0,5318379987,213,1.02,5318379981,140,66.0,5318379985,212,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739964345,19,1,1,1,8,c165yjiny1qnmfdvefxvflnkc,1,66.1,82.4,2024-10-27T13:01:51.583Z,2024-10-27T13:01:53Z,6xjbcik3a56d0vqy4vrq5eokp,D. Čolina,,,5318380125,56,Center,5318380133,213,4.34,5318380131,212,8.3,5318380127,140,63.2,5318380129,141,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739964371,20,1,1,1,9,c165yjiny1qnmfdvefxvflnkc,1,63.2,71.0,2024-10-27T13:01:53.223Z,2024-10-27T13:01:54Z,7uia9zlz3axnuc6usdn9u4kfe,L. Hetemi,,,5318380245,213,4.00,5318380239,140,49.4,5318380237,56,Back,5318380243,212,22.1,5318380241,141,46.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739964381,21,1,1,1,11,c165yjiny1qnmfdvefxvflnkc,1,49.4,46.4,2024-10-27T13:01:54.736Z,2024-10-27T13:01:55Z,6ylzm57bvpufg3cenadtv7qhh,D. van Bruggen,,,5318380337,140,54.0,5318380335,56,Right,5318380339,141,19.6,5318380343,213,4.97,5318380341,212,18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739964411,22,1,1,1,12,c165yjiny1qnmfdvefxvflnkc,1,54.0,19.6,2024-10-27T13:01:55.896Z,2024-10-27T13:01:57Z,1xjhud4hyekcg08nue1iosmsq,T. Gundelund,,,5318380515,140,43.2,5318380513,56,Back,5318380521,212,23.9,5318380523,213,2.06,5318380519,141,50.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739964461,23,1,1,1,14,c165yjiny1qnmfdvefxvflnkc,1,43.2,50.6,2024-10-27T13:01:57.591Z,2024-10-27T13:02:01Z,6ylzm57bvpufg3cenadtv7qhh,D. van Bruggen,,,5318380795,212,15.0,5318380789,56,Back,5318380797,213,1.47,5318380793,141,72.5,5318380791,140,44.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739964531,24,1,1,1,18,c165yjiny1qnmfdvefxvflnkc,1,53.7,77.3,2024-10-27T13:02:01.343Z,2024-10-27T13:02:06Z,7hukebiijqntuvetwzralzuju,O. Provstgaard,,,5318381099,212,17.0,5318381101,213,5.66,5318381093,56,Center,5318381095,140,66.8,5318381097,141,62.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739964543,25,1,1,1,20,c165yjiny1qnmfdvefxvflnkc,0,66.8,62.7,2024-10-27T13:02:03.904Z,2024-10-27T14:01:49Z,9yiz575rldkwu7icgqwk1qmdx,A. Jacobsen,,,5318381155,213,4.68,5318381145,141,54.2,5318381149,212,5.8,5318381139,168,,5318381141,56,Center,5318381143,140,66.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739964563,19,1,1,1,21,anga7587r1zv4ey71ge9zxol3,1,24.9,60.1,2024-10-27T13:02:04.686Z,2024-10-27T13:02:08Z,5is9bcj143orulo4biogwxzl6,L. Lissens,,,5318381245,140,43.6,5318381247,141,59.5,5318381251,213,6.26,5318381249,212,19.6,5318381243,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739964579,20,1,1,1,24,anga7587r1zv4ey71ge9zxol3,0,44.4,52.5,2024-10-27T13:02:08.286Z,2024-10-27T13:53:18Z,58o5ram4bf58357786j9jr7kk,M. Opoku,,,5318381309,56,Back,5318381315,212,4.0,5318381317,213,6.25,5318381311,140,48.2,5318381313,141,52.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739964587,21,4,1,1,25,anga7587r1zv4ey71ge9zxol3,1,47.0,51.4,2024-10-27T13:02:09.302Z,2024-10-27T13:25:05Z,,,,,5318381409,152,,5318381491,233,26,5318381405,10,,5318381411,286,,5318381407,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739964575,26,4,1,1,25,c165yjiny1qnmfdvefxvflnkc,0,53.0,48.6,2024-10-27T13:02:09.303Z,2024-10-27T14:02:04Z,7uia9zlz3axnuc6usdn9u4kfe,L. Hetemi,,,5318381475,285,,5318381469,56,Center,5318675361,10,,5318381525,233,21,5318381471,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739964667,22,1,1,1,32,anga7587r1zv4ey71ge9zxol3,1,47.4,55.1,2024-10-27T13:02:16.079Z,2024-10-27T13:02:17Z,6d0lxiep13vdv32bdb0xwyrys,L. Sandgrav,,,5318381861,212,24.9,5318381863,213,1.24,5318381857,140,55.0,5318381855,56,Left,5318381851,5,,5318381853,152,,5318381859,141,89.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739964709,23,1,1,1,34,anga7587r1zv4ey71ge9zxol3,1,54.6,89.6,2024-10-27T13:02:17.806Z,2024-10-27T13:02:20Z,8ydi45wh0naevno6aos78vi09,L. Klassen,,,5318382079,140,45.6,5318382085,213,4.09,5318382081,141,70.4,5318382083,212,16.1,5318382077,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739964727,24,1,1,1,37,anga7587r1zv4ey71ge9zxol3,1,45.0,69.1,2024-10-27T13:02:20.718Z,2024-10-27T13:02:22Z,6d0lxiep13vdv32bdb0xwyrys,L. Sandgrav,,,5318382177,56,Back,5318382183,212,17.0,5318382181,141,51.0,5318382185,213,3.95,5318382179,140,33.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739964749,25,1,1,1,39,anga7587r1zv4ey71ge9zxol3,1,33.9,51.0,2024-10-27T13:02:22.334Z,2024-10-27T13:02:25Z,6ul2nma4j0a7e2li6wyyrpal1,M. Jensen,,,5318382329,213,1.52,5318382323,140,34.8,5318382321,56,Back,5318382325,141,77.8,5318382327,212,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739964797,26,1,1,1,41,anga7587r1zv4ey71ge9zxol3,1,34.8,77.8,2024-10-27T13:02:25.230Z,2024-10-27T13:02:29Z,5is9bcj143orulo4biogwxzl6,L. Lissens,,,5318382599,213,0.78,5318382595,141,96.3,5318382597,212,17.8,5318382593,140,46.8,5318382591,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739964831,27,1,1,1,45,anga7587r1zv4ey71ge9zxol3,1,59.3,93.3,2024-10-27T13:02:29.039Z,2024-10-27T13:02:32Z,8ydi45wh0naevno6aos78vi09,L. Klassen,,,5318382743,56,Left,5318382749,212,7.6,5318382747,141,97.2,5318382751,213,0.36,5318382745,140,66.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739964865,28,1,1,1,48,anga7587r1zv4ey71ge9zxol3,1,64.6,97.0,2024-10-27T13:02:31.983Z,2024-10-27T13:02:35Z,58o5ram4bf58357786j9jr7kk,M. Opoku,,,5318382895,212,12.1,5318382893,141,92.0,5318382897,213,3.43,5318382891,140,53.5,5318382889,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
