id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/11/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2804910939,10,61,1,0,7,59as3grjvj19voay31j3yfgni,1,47.5,37.1,2025-04-22T17:02:00.585Z,2025-04-22T22:55:05Z,bwfg9frq2ecbzg7wlzqjtnv2s,P. Bravo,,,5672812667,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804910627,6,1,1,0,9,59as3grjvj19voay31j3yfgni,1,55.3,55.6,2025-04-22T17:02:02.014Z,2025-04-22T22:55:31Z,djlyi0ad4x1p0k4thn8n0axw4,D. Osorio,,,5672810833,213,0.68,5672810827,140,71.2,5672810829,141,75.4,5672810831,212,21.4,5672810825,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804910633,7,1,1,0,17,59as3grjvj19voay31j3yfgni,0,97.3,70.9,2025-04-22T17:02:09.991Z,2025-04-22T22:55:47Z,e64kcio0848bpw39eedbjyd5g,M. Krüger-Johnsen,,,5672810851,213,4.70,5672810845,140,97.2,5672810843,56,Center,5672810847,141,54.6,5672810849,212,11.1,5672810841,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804910641,6,11,1,0,18,77tfx9me4aaqhzv78bmgsy9bg,1,2.6,48.8,2025-04-22T17:02:11.290Z,2025-04-22T22:55:58Z,49wkw0wkn4ta18b6657vjvglx,A. Hansen,,,5673492665,56,Back,5673492705,378,,5673492667,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804910697,7,1,1,0,19,77tfx9me4aaqhzv78bmgsy9bg,1,5.4,45.2,2025-04-22T17:02:12.837Z,2025-04-22T17:02:20Z,49wkw0wkn4ta18b6657vjvglx,A. Hansen,,,5672811221,1,,5672811213,140,38.0,5672811215,141,26.7,5672811217,212,36.5,5672811211,56,Back,5672811209,123,,5672811219,213,5.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804910723,8,1,1,0,27,77tfx9me4aaqhzv78bmgsy9bg,1,63.3,23.9,2025-04-22T17:02:20.086Z,2025-04-22T17:02:23Z,5uqf7a0y0fd1hf2rrmgx11tuy,B. Nygren,,,5672811351,140,65.0,5672811357,213,1.44,5672811355,212,13.5,5672811353,141,43.6,5672811349,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804910733,9,1,1,0,30,77tfx9me4aaqhzv78bmgsy9bg,1,70.9,45.7,2025-04-22T17:02:23.164Z,2025-04-22T17:02:24Z,4cubrfqgrc5ivbd6fdj3k3zf8,M. Dorgeles,,,5672811461,213,5.94,5672811459,212,17.5,5672811457,141,37.0,5672811453,56,Center,5672811455,140,86.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804910735,10,61,1,0,31,77tfx9me4aaqhzv78bmgsy9bg,0,86.1,39.7,2025-04-22T17:02:24.836Z,2025-04-22T17:02:25Z,7a1vtc0e7ubua2t0dwx9ufk7o,S. Egeli,,,5672811465,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804910909,8,12,1,0,33,59as3grjvj19voay31j3yfgni,1,14.5,59.4,2025-04-22T17:02:26.567Z,2025-04-22T17:02:48Z,8mn8apr6n7t7s6lx4d4vvdnca,V. Bak Jensen,,,5672812529,212,37.7,5672812525,140,43.1,5672812523,56,Back,5672812527,141,92.9,5672812531,213,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804910791,11,1,1,0,36,77tfx9me4aaqhzv78bmgsy9bg,1,49.4,17.6,2025-04-22T17:02:29.930Z,2025-04-22T17:02:33Z,55gunqozsj8gs6oua7ee5xxhx,K. Hansen,,,5672811779,212,18.4,5672811777,141,5.8,5672811781,213,5.83,5672811775,140,65.2,5672811773,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804910811,12,1,1,0,40,77tfx9me4aaqhzv78bmgsy9bg,1,67.3,9.1,2025-04-22T17:02:33.601Z,2025-04-22T17:02:36Z,7cpkykvmy8ujrahzdz7ksk2c5,P. Ankersen,,,5672811901,56,Right,5672811903,140,72.4,5672811909,213,5.79,5672811905,141,4.9,5672811907,212,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804910847,13,1,1,0,43,77tfx9me4aaqhzv78bmgsy9bg,1,71.1,7.9,2025-04-22T17:02:36.180Z,2025-04-22T17:02:39Z,5uqf7a0y0fd1hf2rrmgx11tuy,B. Nygren,,,5672812161,213,2.01,5672812159,212,17.6,5672812157,141,31.3,5672812153,56,Center,5672812155,140,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804910853,14,1,1,0,46,77tfx9me4aaqhzv78bmgsy9bg,1,64.0,31.8,2025-04-22T17:02:39.757Z,2025-04-22T17:02:40Z,5r1v2w303bvj0vv1893qr5d5h,M. Brink,,,5672812187,141,49.9,5672812189,212,13.5,5672812191,213,1.15,5672812185,140,69.2,5672812183,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804910857,15,1,1,0,47,77tfx9me4aaqhzv78bmgsy9bg,1,69.4,50.0,2025-04-22T17:02:40.507Z,2025-04-22T17:02:41Z,4cubrfqgrc5ivbd6fdj3k3zf8,M. Dorgeles,,,5672812221,56,Center,5672812223,140,55.8,5672812225,141,70.2,5672812229,213,2.38,5672812227,212,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804910879,16,1,1,0,48,77tfx9me4aaqhzv78bmgsy9bg,1,55.8,70.2,2025-04-22T17:02:41.398Z,2025-04-22T17:02:44Z,2rvx2wlfj2rxzcgye6wiw0v84,L. Høgsberg,,,5672812357,56,Left,5672812359,140,72.3,5672812365,213,0.77,5672812361,141,95.0,5672812363,212,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804910895,17,1,1,0,51,77tfx9me4aaqhzv78bmgsy9bg,1,72.7,87.1,2025-04-22T17:02:44.539Z,2025-04-22T17:02:47Z,5ucbttulfcdufwr751zj0zcic,J. Lähteenmäki,,,5672812453,141,78.7,5672812455,212,21.0,5672812449,56,Center,5672812451,140,53.5,5672812457,213,3.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804910933,18,1,1,0,54,77tfx9me4aaqhzv78bmgsy9bg,1,54.9,77.3,2025-04-22T17:02:47.335Z,2025-04-22T17:02:51Z,2rvx2wlfj2rxzcgye6wiw0v84,L. Høgsberg,,,5672812641,140,49.6,5672812647,213,4.43,5672812643,141,49.1,5672812645,212,20.0,5672812639,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804910951,19,1,1,0,58,77tfx9me4aaqhzv78bmgsy9bg,1,51.8,46.1,2025-04-22T17:02:51.038Z,2025-04-22T17:02:54Z,55gunqozsj8gs6oua7ee5xxhx,K. Hansen,,,5672812733,140,57.1,5672812735,141,72.4,5672812731,56,Center,5672812739,213,1.27,5672812737,212,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804910977,20,1,1,1,1,77tfx9me4aaqhzv78bmgsy9bg,1,57.1,73.9,2025-04-22T17:02:54.851Z,2025-04-22T17:02:58Z,2rvx2wlfj2rxzcgye6wiw0v84,L. Høgsberg,,,5672812903,212,15.5,5672812905,213,5.80,5672812899,140,70.2,5672812897,56,Center,5672812901,141,63.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804910979,21,50,1,1,5,77tfx9me4aaqhzv78bmgsy9bg,1,69.0,71.4,2025-04-22T17:02:58.632Z,2025-04-22T19:11:01Z,4cubrfqgrc5ivbd6fdj3k3zf8,M. Dorgeles,,,5672812911,286,,5672812909,56,Center,5672812969,233,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804910991,11,7,1,1,5,59as3grjvj19voay31j3yfgni,1,31.0,28.6,2025-04-22T17:02:58.633Z,2025-04-22T22:58:06Z,bwfg9frq2ecbzg7wlzqjtnv2s,P. Bravo,,,5672812957,233,21,5673493639,383,,5673493641,178,,5672812955,285,,5672812953,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804910985,22,83,1,1,6,77tfx9me4aaqhzv78bmgsy9bg,0,69.6,70.6,2025-04-22T17:02:59.350Z,2025-04-22T22:58:07Z,4cubrfqgrc5ivbd6fdj3k3zf8,M. Dorgeles,,,5672813017,399,bwfg9frq2ecbzg7wlzqjtnv2s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804911015,23,83,1,1,8,77tfx9me4aaqhzv78bmgsy9bg,0,63.8,89.1,2025-04-22T17:03:01.897Z,2025-04-22T22:58:21Z,5ucbttulfcdufwr751zj0zcic,J. Lähteenmäki,,,5672813201,399,bwfg9frq2ecbzg7wlzqjtnv2s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804911021,13,1,1,1,9,59as3grjvj19voay31j3yfgni,1,37.2,9.5,2025-04-22T17:03:02.506Z,2025-04-22T17:03:05Z,bwfg9frq2ecbzg7wlzqjtnv2s,P. Bravo,,,5672813101,140,25.0,5672813107,213,3.42,5672813099,56,Back,5672813105,212,13.3,5672813103,141,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804911033,14,1,1,1,12,59as3grjvj19voay31j3yfgni,1,25.0,4.1,2025-04-22T17:03:05.129Z,2025-04-22T17:03:06Z,8yfw9f74h0yfz51bkxxc8p39x,J. Andersson,,,5672813197,213,0.33,5672813191,140,50.7,5672813187,155,,5672813193,141,17.9,5672813189,56,Right,5672813195,212,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804911039,15,3,1,1,13,59as3grjvj19voay31j3yfgni,1,52.8,20.5,2025-04-22T17:03:06.504Z,2025-04-22T22:58:33Z,elhmf9cc26ec5p1wnwonuxf4l,A. Buksa,,,5673493807,464,,5672813259,233,24,5672813221,286,,5672813219,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804911047,24,45,1,1,13,77tfx9me4aaqhzv78bmgsy9bg,0,47.2,79.5,2025-04-22T17:03:06.504Z,2025-04-22T19:11:09Z,5r1v2w303bvj0vv1893qr5d5h,M. Brink,,,5672813279,233,15,5672813255,56,Back,5672813257,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804911065,16,1,1,1,14,59as3grjvj19voay31j3yfgni,0,55.8,16.8,2025-04-22T17:03:07.385Z,2025-04-22T17:03:09Z,elhmf9cc26ec5p1wnwonuxf4l,A. Buksa,,,5672813367,213,6.15,5672813357,56,Right,5672813369,1,,5672813361,140,86.8,5672813365,212,32.8,5672813355,155,,5672813363,141,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804911091,26,1,1,1,17,77tfx9me4aaqhzv78bmgsy9bg,1,25.4,89.6,2025-04-22T17:03:10.897Z,2025-04-22T17:03:13Z,2rvx2wlfj2rxzcgye6wiw0v84,L. Høgsberg,,,5672813453,213,4.08,5672813447,140,8.3,5672813451,212,30.3,5672813445,56,Back,5672813449,141,53.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804911119,27,1,1,1,20,77tfx9me4aaqhzv78bmgsy9bg,1,7.7,54.2,2025-04-22T17:03:13.272Z,2025-04-22T17:03:16Z,49wkw0wkn4ta18b6657vjvglx,A. Hansen,,,5672813605,141,82.7,5672813609,213,1.38,5672813603,140,11.2,5672813601,56,Back,5672813607,212,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804911131,28,1,1,1,23,77tfx9me4aaqhzv78bmgsy9bg,1,10.5,81.4,2025-04-22T17:03:16.303Z,2025-04-22T17:03:18Z,2rvx2wlfj2rxzcgye6wiw0v84,L. Høgsberg,,,5672813683,213,0.61,5672813677,141,96.6,5672813673,56,Back,5672813675,140,24.7,5672813679,212,18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804911151,29,1,1,1,25,77tfx9me4aaqhzv78bmgsy9bg,1,24.7,96.6,2025-04-22T17:03:18.334Z,2025-04-22T17:03:21Z,5ucbttulfcdufwr751zj0zcic,J. Lähteenmäki,,,5672813815,140,7.6,5672813821,213,3.56,5672813813,56,Back,5672813819,212,19.7,5672813817,141,84.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804911169,30,1,1,1,28,77tfx9me4aaqhzv78bmgsy9bg,1,7.1,87.2,2025-04-22T17:03:20.974Z,2025-04-22T17:03:23Z,2rvx2wlfj2rxzcgye6wiw0v84,L. Høgsberg,,,5672813893,213,4.34,5672813891,212,13.2,5672813889,141,69.1,5672813885,56,Back,5672813887,140,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804911199,31,1,1,1,30,77tfx9me4aaqhzv78bmgsy9bg,1,2.5,68.5,2025-04-22T17:03:23.490Z,2025-04-22T17:03:26Z,49wkw0wkn4ta18b6657vjvglx,A. Hansen,,,5672814027,212,13.1,5672814023,140,14.8,5672814021,56,Back,5672814029,213,0.17,5672814025,141,71.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804911237,32,1,1,1,33,77tfx9me4aaqhzv78bmgsy9bg,1,14.4,69.1,2025-04-22T17:03:26.662Z,2025-04-22T17:03:29Z,5r1v2w303bvj0vv1893qr5d5h,M. Brink,,,5672814213,141,88.7,5672814215,212,15.1,5672814217,213,2.06,5672814211,140,7.6,5672814209,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804911247,33,1,1,1,36,77tfx9me4aaqhzv78bmgsy9bg,1,8.0,89.4,2025-04-22T17:03:29.849Z,2025-04-22T17:03:31Z,2rvx2wlfj2rxzcgye6wiw0v84,L. Høgsberg,,,5672814273,213,6.04,5672814265,56,Back,5672814271,212,23.3,5672814269,141,81.2,5672814267,140,29.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804911275,34,1,1,1,38,77tfx9me4aaqhzv78bmgsy9bg,1,29.8,74.7,2025-04-22T17:03:31.177Z,2025-04-22T17:03:35Z,4cubrfqgrc5ivbd6fdj3k3zf8,M. Dorgeles,,,5672814435,141,44.6,5672814433,140,35.7,5672814437,212,21.4,5672814439,213,5.01,5672814431,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804911289,35,1,1,1,42,77tfx9me4aaqhzv78bmgsy9bg,1,41.9,31.2,2025-04-22T17:03:35.177Z,2025-04-22T17:03:39Z,5uqf7a0y0fd1hf2rrmgx11tuy,B. Nygren,,,5672814533,213,5.44,5672814527,140,55.8,5672814529,141,7.1,5672814531,212,21.9,5672814525,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804911303,36,1,1,1,45,77tfx9me4aaqhzv78bmgsy9bg,1,58.6,23.6,2025-04-22T17:03:38.911Z,2025-04-22T17:03:41Z,7cpkykvmy8ujrahzdz7ksk2c5,P. Ankersen,,,5672814625,213,2.34,5672814617,141,32.7,5672814613,56,Center,5672814621,212,8.6,5672814615,140,52.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804911337,37,1,1,1,47,77tfx9me4aaqhzv78bmgsy9bg,1,52.9,32.7,2025-04-22T17:03:40.911Z,2025-04-22T17:03:48Z,3zc9hy5uicgp21wr6z5wyuntg,C. Yirenkyi,,,5672814831,141,65.1,5672814833,212,22.6,5672814835,213,1.35,5672814827,56,Center,5672814829,140,57.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804911345,38,1,1,1,55,77tfx9me4aaqhzv78bmgsy9bg,1,79.7,86.2,2025-04-22T17:03:48.286Z,2025-04-22T17:03:49Z,4cubrfqgrc5ivbd6fdj3k3zf8,M. Dorgeles,,,5672814885,213,1.23,5672814877,56,Left,5672814883,212,7.5,5672814881,141,96.6,5672814879,140,82.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804911359,39,1,1,1,56,77tfx9me4aaqhzv78bmgsy9bg,1,80.5,96.9,2025-04-22T17:03:49.536Z,2025-04-22T17:03:53Z,5ucbttulfcdufwr751zj0zcic,J. Lähteenmäki,,,5672815007,213,4.09,5672815001,140,71.6,5672815005,212,16.0,5672814999,56,Center,5672815003,141,77.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804911375,40,1,1,2,0,77tfx9me4aaqhzv78bmgsy9bg,1,69.4,73.0,2025-04-22T17:03:53.348Z,2025-04-22T17:03:55Z,5uqf7a0y0fd1hf2rrmgx11tuy,B. Nygren,,,5672815101,213,4.91,5672815097,141,57.6,5672815099,212,10.7,5672815093,56,Center,5672815095,140,71.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804911381,41,1,1,2,2,77tfx9me4aaqhzv78bmgsy9bg,1,73.7,65.1,2025-04-22T17:03:55.770Z,2025-04-22T17:03:57Z,3zc9hy5uicgp21wr6z5wyuntg,C. Yirenkyi,,,5672815133,140,68.9,5672815135,141,78.5,5672815131,56,Center,5672815139,213,2.08,5672815137,212,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804911401,42,1,1,2,4,77tfx9me4aaqhzv78bmgsy9bg,1,68.4,80.0,2025-04-22T17:03:57.379Z,2025-04-22T17:04:01Z,5r1v2w303bvj0vv1893qr5d5h,M. Brink,,,5672815271,141,93.6,5672815269,140,75.5,5672815267,56,Left,5672815273,212,11.9,5672815275,213,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
