id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/10/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2728775213,5,5,1,0,6,77tfx9me4aaqhzv78bmgsy9bg,1,32.7,101.8,2024-09-30T17:00:15.541Z,2024-09-30T17:36:39Z,2rvx2wlfj2rxzcgye6wiw0v84,L. Høgsberg,,,5257234919,347,,5257234941,233,7,5257234917,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728775211,7,5,1,0,6,9qsmopgutr7ut5g6workk8w4i,0,67.3,-1.8,2024-09-30T17:00:15.541Z,2024-09-30T17:00:28Z,hsobzlp177f9755mpsi7szmy,S. Sebulonsen,,,5257234915,347,,5257234937,233,5,5257234913,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728775245,6,1,1,0,21,77tfx9me4aaqhzv78bmgsy9bg,1,21.1,100.0,2024-09-30T17:00:30.201Z,2024-09-30T17:00:32Z,c9e54hwefvwos94ri459uylbe,D. Svensson,,,5257235091,107,,5257235097,141,89.0,5257235101,213,3.65,5257235099,212,18.0,5257235095,140,6.1,5257235093,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728775251,7,1,1,0,23,77tfx9me4aaqhzv78bmgsy9bg,1,6.1,89.0,2024-09-30T17:00:32.137Z,2024-09-30T17:00:34Z,2rvx2wlfj2rxzcgye6wiw0v84,L. Høgsberg,,,5257235175,56,Back,5257235183,213,4.60,5257235181,212,22.1,5257235177,140,3.7,5257235179,141,56.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728775275,8,1,1,0,25,77tfx9me4aaqhzv78bmgsy9bg,1,3.7,56.7,2024-09-30T17:00:34.183Z,2024-09-30T17:00:38Z,49wkw0wkn4ta18b6657vjvglx,A. Hansen,,,5257235339,1,,5257235335,212,36.1,5257235329,56,Back,5257235333,141,7.9,5257235331,140,17.3,5257235337,213,5.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728775295,9,1,1,0,29,77tfx9me4aaqhzv78bmgsy9bg,1,17.3,8.2,2024-09-30T17:00:38.343Z,2024-09-30T17:00:42Z,7cpkykvmy8ujrahzdz7ksk2c5,P. Ankersen,,,5257235505,140,12.3,5257235503,56,Back,5257235509,212,10.5,5257235511,213,2.09,5257235507,141,21.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728775307,10,1,1,0,33,77tfx9me4aaqhzv78bmgsy9bg,1,14.2,26.2,2024-09-30T17:00:42.201Z,2024-09-30T17:00:44Z,ddsv1cx4vopu1xis5xwkx2qz8,L. Hey,,,5257235583,212,14.4,5257235585,213,1.02,5257235579,140,21.4,5257235577,56,Back,5257235581,141,44.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728775311,11,1,1,0,35,77tfx9me4aaqhzv78bmgsy9bg,1,21.6,48.8,2024-09-30T17:00:44.357Z,2024-09-30T17:00:45Z,etfoa7t308eq1xdmo9m2gfcgl,J. Tverskov,,,5257235603,213,0.60,5257235597,140,26.7,5257235599,141,54.2,5257235595,56,Back,5257235601,212,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728775319,12,1,1,0,36,77tfx9me4aaqhzv78bmgsy9bg,1,26.7,54.2,2024-09-30T17:00:45.353Z,2024-09-30T17:00:46Z,5r1v2w303bvj0vv1893qr5d5h,M. Brink,,,5257235641,56,Back,5257235647,212,5.6,5257235649,213,3.43,5257235653,156,,5257235645,141,51.9,5257235643,140,21.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728775339,13,1,1,0,38,77tfx9me4aaqhzv78bmgsy9bg,1,21.7,51.9,2024-09-30T17:00:47.319Z,2024-09-30T17:00:49Z,etfoa7t308eq1xdmo9m2gfcgl,J. Tverskov,,,5257235747,140,25.4,5257235751,212,10.1,5257235749,141,38.2,5257235753,213,5.11,5257235745,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728775347,14,1,1,0,41,77tfx9me4aaqhzv78bmgsy9bg,1,24.5,35.4,2024-09-30T17:00:49.641Z,2024-09-30T17:00:51Z,4cubrfqgrc5ivbd6fdj3k3zf8,M. Dorgeles,,,5257235819,140,35.2,5257235817,56,Back,5257235821,141,21.3,5257235823,212,14.8,5257235825,213,5.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728775355,15,1,1,0,42,77tfx9me4aaqhzv78bmgsy9bg,1,35.6,18.5,2024-09-30T17:00:51.511Z,2024-09-30T17:00:53Z,4rgz5z372h6sbwhpxl69cb6c5,M. Ingvartsen,,,5257235865,213,4.27,5257235859,140,31.4,5257235863,212,10.4,5257235857,56,Back,5257235861,141,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728775367,16,1,1,0,45,77tfx9me4aaqhzv78bmgsy9bg,1,31.3,5.3,2024-09-30T17:00:53.815Z,2024-09-30T17:00:56Z,7cpkykvmy8ujrahzdz7ksk2c5,P. Ankersen,,,5257235941,213,2.17,5257235933,56,Back,5257235935,140,24.7,5257235939,212,12.3,5257235937,141,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728775381,17,1,1,0,48,77tfx9me4aaqhzv78bmgsy9bg,1,24.0,26.7,2024-09-30T17:00:56.681Z,2024-09-30T17:01:00Z,ddsv1cx4vopu1xis5xwkx2qz8,L. Hey,,,5257235993,56,Back,5257236005,212,25.3,5257235997,140,23.3,5257236001,141,63.9,5257236009,213,1.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728775387,18,1,1,0,51,77tfx9me4aaqhzv78bmgsy9bg,1,22.8,65.8,2024-09-30T17:01:00.037Z,2024-09-30T17:01:01Z,2rvx2wlfj2rxzcgye6wiw0v84,L. Høgsberg,,,5257236057,213,5.73,5257236051,140,28.7,5257236053,141,60.2,5257236055,212,7.3,5257236049,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728775397,19,1,1,0,52,77tfx9me4aaqhzv78bmgsy9bg,1,28.7,60.2,2024-09-30T17:01:01.258Z,2024-09-30T17:01:03Z,etfoa7t308eq1xdmo9m2gfcgl,J. Tverskov,,,5257236109,141,71.1,5257236111,212,10.8,5257236107,140,21.2,5257236113,213,2.39,5257236105,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728775405,20,1,1,0,54,77tfx9me4aaqhzv78bmgsy9bg,1,21.1,71.1,2024-09-30T17:01:03.238Z,2024-09-30T17:01:05Z,2rvx2wlfj2rxzcgye6wiw0v84,L. Høgsberg,,,5257236157,212,13.1,5257236159,213,6.15,5257236151,56,Back,5257236153,140,33.5,5257236155,141,68.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728775439,21,1,1,0,56,77tfx9me4aaqhzv78bmgsy9bg,1,37.2,73.2,2024-09-30T17:01:05.462Z,2024-09-30T17:01:12Z,etfoa7t308eq1xdmo9m2gfcgl,J. Tverskov,,,5257236393,140,63.9,5257236395,141,95.4,5257236401,213,0.49,5257236397,212,31.8,5257236391,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728775445,22,3,1,1,2,77tfx9me4aaqhzv78bmgsy9bg,0,80.0,69.1,2024-09-30T17:01:11.035Z,2024-09-30T20:09:16Z,7a1vtc0e7ubua2t0dwx9ufk7o,S. Egeli,,,5257236417,286,,5257236425,233,9,5257991511,464,,5257236415,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728775443,9,7,1,1,2,9qsmopgutr7ut5g6workk8w4i,0,20.0,30.9,2024-09-30T17:01:11.036Z,2024-09-30T20:09:18Z,etz3rjq7chhaomst5u28nnff9,D. Wass,,,5257236411,56,Back,5257991663,385,,5257236419,233,22,5257236413,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728775447,23,61,1,1,3,77tfx9me4aaqhzv78bmgsy9bg,1,80.4,69.3,2024-09-30T17:01:11.770Z,2024-09-30T20:09:23Z,7a1vtc0e7ubua2t0dwx9ufk7o,S. Egeli,,,5257236423,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728775457,10,12,1,1,4,9qsmopgutr7ut5g6workk8w4i,1,10.0,40.1,2024-09-30T17:01:13.251Z,2024-09-30T17:01:42Z,506kxojakimt5s0v2c4q6b33e,F. Alves,,,5257236473,141,35.1,5257236475,212,4.5,5257236477,213,5.43,5257236469,56,Back,5257236471,140,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728775459,11,1,1,1,5,9qsmopgutr7ut5g6workk8w4i,0,13.7,30.9,2024-09-30T17:01:13.753Z,2024-09-30T20:09:39Z,etz3rjq7chhaomst5u28nnff9,D. Wass,,,5257296285,286,,5257294127,212,1.9,5257236479,56,Back,5257294129,213,4.21,5257296281,233,24,5257294125,141,28.4,5257294123,140,12.8,5257296279,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728775453,24,74,1,1,5,77tfx9me4aaqhzv78bmgsy9bg,1,87.8,68.8,2024-09-30T17:01:13.754Z,2024-09-30T20:09:40Z,7cpkykvmy8ujrahzdz7ksk2c5,P. Ankersen,,,5257236453,56,Center,5257296341,233,11,5257296259,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728785803,171,61,1,1,7,9qsmopgutr7ut5g6workk8w4i,1,14.1,36.0,2024-09-30T17:01:15.629Z,2024-09-30T20:09:40Z,etz3rjq7chhaomst5u28nnff9,D. Wass,,,5257294967,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728775493,12,1,1,1,8,9qsmopgutr7ut5g6workk8w4i,1,16.4,41.9,2024-09-30T17:01:17.092Z,2024-09-30T20:09:44Z,aa0888u38mjc1euhofseazb2t,S. Spierings,,,5257236669,213,4.49,5257236665,141,18.4,5257236663,140,13.0,5257236661,56,Back,5257236667,212,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728775501,14,1,1,1,12,9qsmopgutr7ut5g6workk8w4i,0,13.2,13.9,2024-09-30T17:01:21.028Z,2024-09-30T17:17:46Z,hsobzlp177f9755mpsi7szmy,S. Sebulonsen,,,5257236715,140,38.7,5257236721,213,5.93,5257236717,141,0.0,5257236711,56,Back,5257236719,212,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728775505,15,5,1,1,13,9qsmopgutr7ut5g6workk8w4i,0,42.4,-1.8,2024-09-30T17:01:22.458Z,2024-09-30T17:36:39Z,hsobzlp177f9755mpsi7szmy,S. Sebulonsen,,,5257236739,56,Back,5257236741,347,,5257236775,233,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728775511,25,5,1,1,13,77tfx9me4aaqhzv78bmgsy9bg,1,57.6,101.8,2024-09-30T17:01:22.458Z,2024-09-30T17:01:25Z,2rvx2wlfj2rxzcgye6wiw0v84,L. Høgsberg,,,5257236761,233,15,5257236755,347,,5257236753,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728775549,26,1,1,1,21,77tfx9me4aaqhzv78bmgsy9bg,1,55.4,100.0,2024-09-30T17:01:29.882Z,2024-09-30T17:01:32Z,c9e54hwefvwos94ri459uylbe,D. Svensson,,,5257237023,213,3.54,5257237017,140,39.4,5257237015,56,Back,5257237013,107,,5257237019,141,91.4,5257237021,212,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728775557,27,1,1,1,23,77tfx9me4aaqhzv78bmgsy9bg,1,38.8,90.3,2024-09-30T17:01:32.314Z,2024-09-30T17:01:35Z,2rvx2wlfj2rxzcgye6wiw0v84,L. Høgsberg,,,5257237053,56,Back,5257237055,140,33.7,5257237059,212,24.3,5257237061,213,4.49,5257237057,141,55.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728775563,28,1,1,1,26,77tfx9me4aaqhzv78bmgsy9bg,1,33.4,56.0,2024-09-30T17:01:35.082Z,2024-09-30T17:01:37Z,ddsv1cx4vopu1xis5xwkx2qz8,L. Hey,,,5257237103,140,42.3,5257237105,141,63.4,5257237109,213,0.49,5257237107,212,10.6,5257237101,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728775565,29,1,1,1,28,77tfx9me4aaqhzv78bmgsy9bg,1,44.9,59.9,2024-09-30T17:01:37.063Z,2024-09-30T17:01:37Z,5r1v2w303bvj0vv1893qr5d5h,M. Brink,,,5257237119,141,48.8,5257237121,212,12.8,5257237117,140,35.0,5257237115,56,Back,5257237123,213,3.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728775579,30,1,1,1,29,77tfx9me4aaqhzv78bmgsy9bg,1,35.0,48.8,2024-09-30T17:01:37.847Z,2024-09-30T17:01:41Z,ddsv1cx4vopu1xis5xwkx2qz8,L. Hey,,,5257237189,56,Back,5257237197,213,1.53,5257237191,140,35.6,5257237193,141,70.8,5257237195,212,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728775593,31,1,1,1,32,77tfx9me4aaqhzv78bmgsy9bg,1,35.6,71.1,2024-09-30T17:01:41.435Z,2024-09-30T17:01:44Z,2rvx2wlfj2rxzcgye6wiw0v84,L. Høgsberg,,,5257237277,141,66.4,5257237279,212,8.3,5257237281,213,5.89,5257237275,140,42.9,5257237273,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728775597,32,1,1,1,34,77tfx9me4aaqhzv78bmgsy9bg,1,42.9,66.4,2024-09-30T17:01:43.040Z,2024-09-30T20:12:08Z,5r1v2w303bvj0vv1893qr5d5h,M. Brink,,,5257237303,212,13.7,5257237299,140,55.9,5257237305,213,6.24,5257237297,56,Center,5257237301,141,65.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728775601,33,1,1,1,35,77tfx9me4aaqhzv78bmgsy9bg,0,55.9,65.5,2024-09-30T17:01:44.583Z,2024-09-30T17:03:13Z,etfoa7t308eq1xdmo9m2gfcgl,J. Tverskov,,,5257237333,140,63.4,5257237335,141,46.0,5257237337,212,15.4,5257237339,213,5.25,5257237331,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728775605,16,1,1,1,36,9qsmopgutr7ut5g6workk8w4i,1,33.7,62.6,2024-09-30T17:01:45.022Z,2024-09-30T20:12:14Z,bnar4f48vnx4oaz2lzch48es5,J. Rasmussen,,,5257237351,212,9.9,5257237347,140,41.0,5257237349,141,53.3,5257237353,213,5.59,5257237345,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728775611,18,43,1,1,38,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2024-09-30T17:01:46.740Z,2024-09-30T17:01:58Z,aa0888u38mjc1euhofseazb2t,S. Spierings,,,5257237603,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728775617,19,1,1,1,38,9qsmopgutr7ut5g6workk8w4i,1,43.1,53.9,2024-09-30T17:01:47.139Z,2024-09-30T17:01:49Z,aa0888u38mjc1euhofseazb2t,S. Spierings,,,5257237415,56,Back,5257237423,213,0.96,5257237419,141,59.0,5257237417,140,45.4,5257237421,212,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728775621,20,1,1,1,40,9qsmopgutr7ut5g6workk8w4i,1,45.3,56.3,2024-09-30T17:01:49.124Z,2024-09-30T17:01:50Z,chteizjcvxpvze9p77gcttcoa,N. Vallys,,,5257237437,213,4.30,5257237431,140,41.3,5257237429,56,Back,5257237433,141,42.1,5257237435,212,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728775629,21,1,1,1,41,9qsmopgutr7ut5g6workk8w4i,1,41.3,42.1,2024-09-30T17:01:50.036Z,2024-09-30T17:01:52Z,etz3rjq7chhaomst5u28nnff9,D. Wass,,,5257237487,141,30.0,5257237489,212,9.6,5257237491,213,5.25,5257237483,56,Back,5257237485,140,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728775635,22,1,1,1,43,9qsmopgutr7ut5g6workk8w4i,1,45.7,24.7,2024-09-30T17:01:52.291Z,2024-09-30T17:01:54Z,53nd6a4o02ebb0w2s12prijje,Y. Suzuki,,,5257237521,56,Back,5257237527,212,9.5,5257237529,213,3.37,5257237525,141,21.6,5257237523,140,36.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728775659,23,1,1,1,45,9qsmopgutr7ut5g6workk8w4i,1,37.1,21.2,2024-09-30T17:01:54.099Z,2024-09-30T17:02:00Z,6anvl82jyio52wo87cbxdp4np,S. Klaiber,,,5257237659,141,31.0,5257237657,140,43.9,5257237663,213,0.75,5257237655,56,Back,5257237661,212,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728775663,24,1,1,1,51,9qsmopgutr7ut5g6workk8w4i,1,45.7,40.1,2024-09-30T17:02:00.596Z,2024-09-30T17:02:02Z,etz3rjq7chhaomst5u28nnff9,D. Wass,,,5257237689,56,Back,5257237697,213,2.13,5257237691,140,36.9,5257237693,141,61.7,5257237695,212,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
