id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/12/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2707930665,17,1,1,0,50,77tfx9me4aaqhzv78bmgsy9bg,1,43.5,65.7,2024-08-11T12:01:09.005Z,2024-08-11T12:01:09Z,4cubrfqgrc5ivbd6fdj3k3zf8,M. Dorgeles,,,5142826843,141,55.4,5142826841,140,44.7,5142826845,212,7.1,5142826839,56,Back,5142826847,213,4.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707930697,18,1,1,0,50,77tfx9me4aaqhzv78bmgsy9bg,1,44.7,55.4,2024-08-11T12:01:09.789Z,2024-08-11T12:01:12Z,etfoa7t308eq1xdmo9m2gfcgl,J. Tverskov,,,5142827029,141,64.4,5142827033,212,10.6,5142827035,213,2.53,5142827023,56,Back,5142827027,140,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707930805,19,1,1,0,53,77tfx9me4aaqhzv78bmgsy9bg,1,37.1,60.2,2024-08-11T12:01:12.509Z,2024-08-11T12:01:21Z,ddsv1cx4vopu1xis5xwkx2qz8,L. Hey,,,5142827467,140,39.3,5142827465,56,Back,5142827469,141,27.8,5142827473,213,4.82,5142827471,212,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707930841,20,1,1,1,2,77tfx9me4aaqhzv78bmgsy9bg,0,59.7,20.0,2024-08-11T12:01:21.181Z,2024-08-11T14:39:55Z,55gunqozsj8gs6oua7ee5xxhx,K. Hansen,,,5142827677,212,22.6,5143453223,4,,5142827675,141,37.6,5142827671,56,Center,5142827679,213,0.56,5142827669,155,,5142827673,140,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707930889,13,12,1,1,4,anga7587r1zv4ey71ge9zxol3,1,21.4,64.8,2024-08-11T12:01:23.056Z,2024-08-11T14:40:10Z,6ul2nma4j0a7e2li6wyyrpal1,M. Jensen,,,5142827949,141,71.6,5142827945,56,Back,5142827947,140,33.5,5143453733,15,,5142827955,213,0.35,5142827951,212,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707930881,21,44,1,1,6,77tfx9me4aaqhzv78bmgsy9bg,1,67.8,26.3,2024-08-11T12:01:25.229Z,2024-08-11T13:05:34Z,6rd6a2f1k124dzp1p904yq3h0,Z. Sertdemir,,,5142827895,56,Center,5142827897,286,,5142828047,233,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707930901,14,44,1,1,6,anga7587r1zv4ey71ge9zxol3,0,32.2,73.7,2024-08-11T12:01:25.230Z,2024-08-11T13:05:34Z,6d0lxiep13vdv32bdb0xwyrys,L. Sandgrav,,,5142827985,285,,5142828065,233,21,5142827979,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707930919,22,1,1,1,6,77tfx9me4aaqhzv78bmgsy9bg,1,72.2,31.5,2024-08-11T12:01:25.238Z,2024-08-11T14:40:29Z,6rd6a2f1k124dzp1p904yq3h0,Z. Sertdemir,,,5142828079,140,70.1,5142828083,212,10.6,5142828075,3,,5142828081,141,16.2,5142828085,213,4.50,5142828077,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707930925,23,44,1,1,9,77tfx9me4aaqhzv78bmgsy9bg,1,72.4,13.1,2024-08-11T12:01:28.386Z,2024-08-11T13:05:34Z,c9e54hwefvwos94ri459uylbe,D. Svensson,,,5142828159,233,15,5142828107,286,,5142828105,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707930917,15,44,1,1,9,anga7587r1zv4ey71ge9zxol3,0,27.6,86.9,2024-08-11T12:01:28.387Z,2024-08-11T13:05:35Z,2sgey1g99rmupumezjo9rkxcl,K. Finnsson,,,5142828073,285,,5142828195,233,23,5142828071,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707930951,24,1,1,1,10,77tfx9me4aaqhzv78bmgsy9bg,1,72.7,11.6,2024-08-11T12:01:28.893Z,2024-08-11T12:01:30Z,c9e54hwefvwos94ri459uylbe,D. Svensson,,,5142828247,140,72.9,5142828251,212,4.1,5142828249,141,17.6,5142828245,56,Right,5142828243,3,,5142828253,213,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707930955,25,61,1,1,11,77tfx9me4aaqhzv78bmgsy9bg,1,72.4,18.5,2024-08-11T12:01:30.777Z,2024-08-11T12:54:28Z,6rd6a2f1k124dzp1p904yq3h0,Z. Sertdemir,,,5142828267,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707931009,26,1,1,1,15,77tfx9me4aaqhzv78bmgsy9bg,1,65.6,5.9,2024-08-11T12:01:34.748Z,2024-08-11T12:01:36Z,c9e54hwefvwos94ri459uylbe,D. Svensson,,,5142828569,56,Back,5142828573,140,39.3,5142828581,213,3.05,5142828579,212,27.7,5142828577,141,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707931029,27,1,1,1,17,77tfx9me4aaqhzv78bmgsy9bg,1,39.3,10.3,2024-08-11T12:01:36.188Z,2024-08-11T12:01:38Z,55gunqozsj8gs6oua7ee5xxhx,K. Hansen,,,5142828667,56,Back,5142828675,213,2.06,5142828671,141,44.3,5142828669,140,27.6,5142828673,212,26.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707931063,28,1,1,1,19,77tfx9me4aaqhzv78bmgsy9bg,1,27.0,46.6,2024-08-11T12:01:38.221Z,2024-08-11T12:01:41Z,49wkw0wkn4ta18b6657vjvglx,A. Hansen,,,5142828831,141,66.0,5142828835,213,0.75,5142828833,212,19.4,5142828829,140,40.6,5142828827,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707931105,29,1,1,1,22,77tfx9me4aaqhzv78bmgsy9bg,1,39.8,67.2,2024-08-11T12:01:41.117Z,2024-08-11T12:01:44Z,4cubrfqgrc5ivbd6fdj3k3zf8,M. Dorgeles,,,5142829041,212,16.4,5142829043,213,1.46,5142829037,140,41.5,5142829035,56,Back,5142829039,141,91.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707931133,30,1,1,1,25,77tfx9me4aaqhzv78bmgsy9bg,1,41.5,91.2,2024-08-11T12:01:44.477Z,2024-08-11T12:01:48Z,7cpkykvmy8ujrahzdz7ksk2c5,P. Ankersen,,,5142829203,140,35.8,5142829207,212,11.7,5142829209,213,4.17,5142829201,56,Back,5142829205,141,76.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707931167,31,1,1,1,29,77tfx9me4aaqhzv78bmgsy9bg,1,41.2,65.3,2024-08-11T12:01:48.733Z,2024-08-11T12:01:51Z,4cubrfqgrc5ivbd6fdj3k3zf8,M. Dorgeles,,,5142829363,140,42.1,5142829369,213,4.75,5142829367,212,24.0,5142829365,141,30.1,5142829361,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707931185,32,1,1,1,32,77tfx9me4aaqhzv78bmgsy9bg,1,42.9,30.4,2024-08-11T12:01:50.941Z,2024-08-11T12:01:53Z,55gunqozsj8gs6oua7ee5xxhx,K. Hansen,,,5142829419,140,60.7,5142829427,212,18.7,5142829417,56,Center,5142829431,213,6.22,5142829423,141,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707931213,33,1,1,1,34,77tfx9me4aaqhzv78bmgsy9bg,1,61.8,25.9,2024-08-11T12:01:52.909Z,2024-08-11T12:01:55Z,6rd6a2f1k124dzp1p904yq3h0,Z. Sertdemir,,,5142829581,56,Right,5142829589,213,5.47,5142829587,212,18.8,5142829585,141,5.8,5142829583,140,74.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707931233,34,1,1,1,36,77tfx9me4aaqhzv78bmgsy9bg,1,72.9,7.7,2024-08-11T12:01:55.504Z,2024-08-11T12:01:57Z,c9e54hwefvwos94ri459uylbe,D. Svensson,,,5142829697,212,7.2,5142829699,213,3.52,5142829691,56,Right,5142829695,141,3.8,5142829693,140,66.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707931279,35,1,1,1,38,77tfx9me4aaqhzv78bmgsy9bg,1,67.3,4.9,2024-08-11T12:01:57.517Z,2024-08-11T12:02:00Z,6rd6a2f1k124dzp1p904yq3h0,Z. Sertdemir,,,5142829889,213,2.30,5142829881,56,Back,5142829887,212,33.5,5142829885,141,41.8,5142829891,1,,5142829883,140,46.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707931311,36,1,1,1,41,77tfx9me4aaqhzv78bmgsy9bg,1,46.1,41.8,2024-08-11T12:02:00.397Z,2024-08-11T12:02:03Z,ddsv1cx4vopu1xis5xwkx2qz8,L. Hey,,,5142830059,213,0.96,5142830051,56,Center,5142830057,212,13.2,5142830055,141,57.8,5142830053,140,53.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707931325,37,1,1,1,44,77tfx9me4aaqhzv78bmgsy9bg,1,50.3,60.6,2024-08-11T12:02:03.052Z,2024-08-11T12:02:05Z,4cubrfqgrc5ivbd6fdj3k3zf8,M. Dorgeles,,,5142830133,140,52.9,5142830139,213,1.41,5142830137,212,17.2,5142830135,141,85.5,5142830131,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707931351,38,1,1,1,46,77tfx9me4aaqhzv78bmgsy9bg,1,52.4,79.1,2024-08-11T12:02:05.517Z,2024-08-11T12:02:07Z,7cpkykvmy8ujrahzdz7ksk2c5,P. Ankersen,,,5142830263,140,58.0,5142830267,212,10.3,5142830269,213,5.32,5142830265,141,66.6,5142830261,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707931387,39,1,1,1,48,77tfx9me4aaqhzv78bmgsy9bg,1,56.7,69.3,2024-08-11T12:02:07.405Z,2024-08-11T12:02:09Z,etfoa7t308eq1xdmo9m2gfcgl,J. Tverskov,,,5142830385,140,61.8,5142830389,212,8.7,5142830387,141,79.4,5142830391,213,0.91,5142830383,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707931415,40,1,1,1,50,77tfx9me4aaqhzv78bmgsy9bg,1,61.8,78.8,2024-08-11T12:02:09.709Z,2024-08-11T12:54:53Z,4rgz5z372h6sbwhpxl69cb6c5,M. Ingvartsen,,,5142830523,212,16.1,5142830519,141,78.5,5142830511,56,Back,5142830515,140,46.5,5142830527,213,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707931469,41,1,1,1,53,77tfx9me4aaqhzv78bmgsy9bg,1,46.2,78.2,2024-08-11T12:02:12.141Z,2024-08-11T12:55:01Z,4cubrfqgrc5ivbd6fdj3k3zf8,M. Dorgeles,,,5142830807,140,46.2,5142830811,212,7.1,5142830805,56,Back,5142830809,141,67.8,5142830813,213,4.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707931505,42,1,1,1,58,77tfx9me4aaqhzv78bmgsy9bg,1,55.7,67.5,2024-08-11T12:02:17.725Z,2024-08-11T12:02:21Z,etfoa7t308eq1xdmo9m2gfcgl,J. Tverskov,,,5142830923,140,59.4,5142830929,213,1.20,5142830925,141,82.1,5142830921,56,Left,5142830927,212,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707931517,43,1,1,2,2,77tfx9me4aaqhzv78bmgsy9bg,0,63.5,85.1,2024-08-11T12:02:21.053Z,2024-08-11T12:02:22Z,4cubrfqgrc5ivbd6fdj3k3zf8,M. Dorgeles,,,5142831003,155,,5142831011,212,21.2,5142831013,213,5.41,5142831009,141,61.2,5142831005,56,Center,5142831007,140,76.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
