id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/13/value
2807147263,4,1,1,0,40,b3r6d8ydtmtjckam6pku9y400,0,27.3,20.3,2025-04-27T14:03:47Z,2025-04-27T14:03:49Z,ckhhpn9ppgvlrtubf7li3se09,N. Trott,,,5685064999,157,,5685064997,5,,5685065007,141,21.8,5685065003,56,Center,5685065001,152,,5685065009,212,48.0,5685065005,140,73.0,5685065011,213,0.02,5685065013,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807147333,7,12,1,0,44,5rz9enoyknpg8ji78za5b82p0,1,28.6,67.5,2025-04-27T14:03:51.110Z,2025-04-27T18:09:07Z,3l3v5wj4c7vtqqwu05b526590,J. Jensen-Abbew,,,5686531841,15,,5685065311,141,63.2,5685065313,212,33.5,5685065307,56,Center,5685065309,140,60.4,5685065315,213,6.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807147439,5,1,1,0,46,b3r6d8ydtmtjckam6pku9y400,1,39.3,34.3,2025-04-27T14:03:53.320Z,2025-04-27T14:03:56Z,ayqy2vql1oumokqly9ahfrnx1,P. Hatzidiakos,,,5685065867,141,56.3,5685065863,56,Back,5685065869,212,32.1,5685065873,1,,5685065871,213,2.66,5685065865,140,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807147551,6,1,1,0,49,b3r6d8ydtmtjckam6pku9y400,1,12.3,56.3,2025-04-27T14:03:56.265Z,2025-04-27T14:04:01Z,ckhhpn9ppgvlrtubf7li3se09,N. Trott,,,5685066363,212,20.7,5685066359,140,17.5,5685066367,213,1.30,5685066361,141,85.7,5685066357,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807147565,7,1,1,0,55,b3r6d8ydtmtjckam6pku9y400,0,17.5,85.7,2025-04-27T14:04:01.769Z,2025-04-27T14:04:02Z,dux0skggr99ydjz3kn58p3wmh,M. López,,,5685066481,233,8,5685066425,1,,5685066407,56,Back,5685066485,286,,5685066423,213,0.23,5685066411,140,21.3,5685066419,212,4.1,5685066415,141,87.1,5685066479,236,5685066403,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807147559,8,74,1,0,55,5rz9enoyknpg8ji78za5b82p0,1,86.2,10.9,2025-04-27T14:04:01.770Z,2025-04-27T14:04:03Z,7je01bs3a4q6c2gd02ee6da3u,K. Arnstad,,,5685066391,285,,5685066389,56,Right,5685066503,233,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807147597,10,1,1,0,56,5rz9enoyknpg8ji78za5b82p0,0,89.7,24.9,2025-04-27T14:04:03.397Z,2025-04-27T14:04:04Z,7je01bs3a4q6c2gd02ee6da3u,K. Arnstad,,,5685066631,212,12.0,5685066625,56,Center,5685066633,213,1.86,5685066627,140,86.4,5685066629,141,41.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807147665,8,12,1,0,59,b3r6d8ydtmtjckam6pku9y400,1,8.4,45.2,2025-04-27T14:04:05.897Z,2025-04-27T14:04:07Z,4cbaoo2irqtme9goxuz6s3ey2,Gabriel Pereira,,,5685067133,167,,5685067037,141,100.0,5685067033,56,Back,5685067039,212,38.2,5685067035,140,9.5,5685067041,213,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807147675,9,5,1,0,59,b3r6d8ydtmtjckam6pku9y400,0,9.0,101.4,2025-04-27T14:04:06.388Z,2025-04-27T14:11:17Z,4cbaoo2irqtme9goxuz6s3ey2,Gabriel Pereira,,,5685067069,347,,5685070321,233,11,5685067065,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807148377,11,5,1,0,59,5rz9enoyknpg8ji78za5b82p0,1,91.0,-1.4,2025-04-27T14:04:06.388Z,2025-04-27T14:11:17Z,7je01bs3a4q6c2gd02ee6da3u,K. Arnstad,,,5685070275,347,,5685070273,56,Right,5685070289,233,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807148425,12,1,1,1,25,5rz9enoyknpg8ji78za5b82p0,0,92.0,0.0,2025-04-27T14:04:32.149Z,2025-04-27T14:04:34Z,e9lrzsiy94y46h62rnawi3sgl,H. Dalsgaard,,,5685070525,56,Center,5685070533,213,1.51,5685070531,212,29.8,5685070529,141,42.1,5685070523,107,,5685070535,1,,5685070527,140,93.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807148467,10,12,1,1,29,b3r6d8ydtmtjckam6pku9y400,1,7.5,55.8,2025-04-27T14:04:35.689Z,2025-04-27T14:04:37Z,4gqnyyx3i92fayq6cxvekqwut,T. Delaney,,,5685070729,140,22.7,5685070727,56,Back,5685070735,213,0.70,5685070733,212,20.9,5685070755,15,,5685070731,141,75.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807148583,13,1,1,1,32,5rz9enoyknpg8ji78za5b82p0,1,75.0,13.1,2025-04-27T14:04:38.821Z,2025-04-27T14:04:42Z,e9lrzsiy94y46h62rnawi3sgl,H. Dalsgaard,,,5685071253,56,Center,5685071259,140,54.3,5685071265,141,36.0,5685071271,212,26.7,5685071277,213,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807148635,14,1,1,1,36,5rz9enoyknpg8ji78za5b82p0,1,54.2,33.7,2025-04-27T14:04:42.660Z,2025-04-27T14:04:44Z,3l3v5wj4c7vtqqwu05b526590,J. Jensen-Abbew,,,5685071463,141,8.0,5685071467,213,5.24,5685071461,140,63.9,5685071465,212,20.2,5685071459,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807148737,15,1,1,1,37,5rz9enoyknpg8ji78za5b82p0,1,62.6,10.4,2025-04-27T14:04:44.437Z,2025-04-27T14:04:47Z,e9lrzsiy94y46h62rnawi3sgl,H. Dalsgaard,,,5685071945,213,2.61,5685071937,56,Back,5685071939,140,33.8,5685071943,212,35.1,5685071947,1,,5685071941,141,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807149133,16,1,1,1,41,5rz9enoyknpg8ji78za5b82p0,1,33.7,35.5,2025-04-27T14:04:47.796Z,2025-04-27T14:04:59Z,3l3v5wj4c7vtqqwu05b526590,J. Jensen-Abbew,,,5685073563,56,Back,5685073567,141,59.6,5685073569,212,18.7,5685073565,140,25.2,5685073571,213,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807149231,17,1,1,1,52,5rz9enoyknpg8ji78za5b82p0,1,24.9,44.9,2025-04-27T14:04:59.045Z,2025-04-27T14:05:03Z,5f4qlbohzja204gxm9tkiekq2,L. Wahlstedt,,,5685074033,56,Right,5685074037,141,10.6,5685074031,157,,5685074039,212,70.3,5685074043,1,,5685074041,213,5.95,5685074035,140,88.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807149241,18,61,1,1,56,5rz9enoyknpg8ji78za5b82p0,0,87.4,9.8,2025-04-27T14:05:02.917Z,2025-04-27T14:05:03Z,aswmi1pnkzkvkexp8ngief6j9,F. Beijmo,,,5685074071,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807149551,11,5,1,1,56,b3r6d8ydtmtjckam6pku9y400,1,14.8,101.1,2025-04-27T14:05:03Z,2025-04-27T14:11:18Z,dux0skggr99ydjz3kn58p3wmh,M. López,,,5685075729,347,,5685075761,233,19,5685075727,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807149279,19,5,1,1,56,5rz9enoyknpg8ji78za5b82p0,0,85.2,-1.1,2025-04-27T14:05:03Z,2025-04-27T14:11:18Z,aswmi1pnkzkvkexp8ngief6j9,F. Beijmo,,,5685074231,56,Right,5685074233,347,,5685075813,233,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807149587,12,1,1,2,8,b3r6d8ydtmtjckam6pku9y400,1,12.4,100.0,2025-04-27T14:05:15.448Z,2025-04-27T14:05:16Z,dux0skggr99ydjz3kn58p3wmh,M. López,,,5685075889,107,,5685075893,140,7.9,5685075897,212,10.8,5685075891,56,Back,5685075901,213,4.26,5685075895,141,87.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807149707,13,1,1,2,9,b3r6d8ydtmtjckam6pku9y400,0,7.9,87.2,2025-04-27T14:05:16.473Z,2025-04-27T14:05:21Z,4gqnyyx3i92fayq6cxvekqwut,T. Delaney,,,5685076489,157,,5685076499,213,6.16,5685076491,56,Center,5685076497,212,58.6,5685076493,140,63.3,5685076495,141,76.9,5685076501,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807149731,20,1,1,2,14,5rz9enoyknpg8ji78za5b82p0,1,31.8,24.4,2025-04-27T14:05:20.917Z,2025-04-27T18:10:07Z,3l3v5wj4c7vtqqwu05b526590,J. Jensen-Abbew,,,5685076623,141,19.9,5685076627,213,5.62,5685076621,140,35.5,5685076619,56,Back,5685076617,3,,5685076625,212,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807149759,22,1,1,2,16,5rz9enoyknpg8ji78za5b82p0,1,30.6,24.2,2025-04-27T14:05:22.713Z,2025-04-27T18:10:15Z,e9lrzsiy94y46h62rnawi3sgl,H. Dalsgaard,,,5685076797,141,33.1,5685076793,56,Back,5685076799,212,8.5,5685076801,213,0.79,5685076795,140,36.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807149823,23,1,1,2,17,5rz9enoyknpg8ji78za5b82p0,1,35.6,32.9,2025-04-27T14:05:23.509Z,2025-04-27T18:10:23Z,8og8nxbkcb63van4llvpkbe8l,N. Poulsen,,,5685077155,56,Back,5685077161,212,20.3,5685077163,213,2.80,5686537733,156,,5685077157,140,17.4,5685077159,141,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807149929,24,1,1,2,19,5rz9enoyknpg8ji78za5b82p0,0,18.0,43.0,2025-04-27T14:05:26.070Z,2025-04-27T14:05:30Z,5f4qlbohzja204gxm9tkiekq2,L. Wahlstedt,,,5685077771,1,,5685077757,140,58.7,5685077761,141,0.0,5685077753,56,Right,5685077767,213,5.66,5685077763,212,52.5,5685077751,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807150119,14,5,1,2,23,b3r6d8ydtmtjckam6pku9y400,1,41.9,101.4,2025-04-27T14:05:30.330Z,2025-04-27T14:11:21Z,4gqnyyx3i92fayq6cxvekqwut,T. Delaney,,,5685078767,347,,5685078765,56,Back,5685123279,233,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807149941,25,5,1,2,23,5rz9enoyknpg8ji78za5b82p0,0,58.1,-1.4,2025-04-27T14:05:30.330Z,2025-04-27T14:11:21Z,5f4qlbohzja204gxm9tkiekq2,L. Wahlstedt,,,5685123457,233,14,5685077809,347,,5685077807,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807150151,15,1,1,2,33,b3r6d8ydtmtjckam6pku9y400,1,44.6,100.0,2025-04-27T14:05:40.072Z,2025-04-27T18:10:42Z,dux0skggr99ydjz3kn58p3wmh,M. López,,,5685078901,56,Back,5685078909,213,3.50,5685078907,212,19.4,5685078903,140,27.3,5685078905,141,90.8,5685078899,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807150255,16,1,1,2,34,b3r6d8ydtmtjckam6pku9y400,1,27.6,86.7,2025-04-27T14:05:41.096Z,2025-04-27T18:10:46Z,ayqy2vql1oumokqly9ahfrnx1,P. Hatzidiakos,,,5685079417,140,11.7,5685079421,212,25.5,5685079423,213,4.00,5685079419,141,58.3,5685079415,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807150385,17,1,1,2,38,b3r6d8ydtmtjckam6pku9y400,1,14.2,57.0,2025-04-27T14:05:44.936Z,2025-04-27T14:05:50Z,ckhhpn9ppgvlrtubf7li3se09,N. Trott,,,5685080095,56,Back,5685080105,1,,5685080097,140,36.9,5685080103,213,5.34,5685080099,141,8.8,5685080101,212,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807150407,18,1,1,2,44,b3r6d8ydtmtjckam6pku9y400,0,36.9,8.9,2025-04-27T14:05:50.633Z,2025-04-27T14:05:51Z,9ic9msq3tj4gx8wqa6wfwk50q,G. Gocholeishvili,,,5685080255,141,35.1,5685080261,1,,5685080249,155,,5685080257,212,41.6,5685080253,140,72.7,5685080259,213,0.44,5685080251,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807150481,26,12,1,2,47,5rz9enoyknpg8ji78za5b82p0,1,25.5,56.9,2025-04-27T14:05:53.509Z,2025-04-27T14:05:55Z,e9lrzsiy94y46h62rnawi3sgl,H. Dalsgaard,,,5685080665,140,22.9,5685080671,213,1.69,5685080709,15,,5685080663,56,Back,5685080667,141,90.6,5685080669,212,23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807150513,27,43,1,2,48,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2025-04-27T14:05:55.335Z,2025-04-27T18:11:16Z,e9lrzsiy94y46h62rnawi3sgl,H. Dalsgaard,,,5685080843,1,0,5685080841,213,2.57,5685080835,140,18.8,5685080837,141,86.8,5685080833,56,Back,5685080831,157,0,5685080839,212,0.3,5686541967,144,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807150553,29,1,1,2,50,5rz9enoyknpg8ji78za5b82p0,1,15.7,88.0,2025-04-27T14:05:56.821Z,2025-04-27T14:05:58Z,4vmgmzg2004twoc39sk7zkzqh,G. Links,,,5685081011,56,Back,5685081019,213,6.12,5685081013,140,24.5,5685081017,212,9.4,5685081015,141,85.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807150633,30,1,1,2,51,5rz9enoyknpg8ji78za5b82p0,1,22.6,85.1,2025-04-27T14:05:57.924Z,2025-04-27T14:06:01Z,8og8nxbkcb63van4llvpkbe8l,N. Poulsen,,,5685081401,141,90.3,5685081407,213,0.22,5685081405,212,15.9,5685081399,140,37.4,5685081397,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807150669,31,1,1,2,53,5rz9enoyknpg8ji78za5b82p0,1,40.1,86.8,2025-04-27T14:06:00.365Z,2025-04-27T18:11:37Z,4vmgmzg2004twoc39sk7zkzqh,G. Links,,,5685081589,141,73.9,5685081587,140,40.5,5685081595,213,4.76,5685081585,56,Back,5685081591,212,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807414089,838,1,1,2,54,5rz9enoyknpg8ji78za5b82p0,0,40.0,77.5,2025-04-27T14:06:01.253Z,2025-04-27T18:50:59Z,3sadup8mjwu4dc96wz6lmixn9,P. Mortensen,,,5686724631,233,19,5686543429,141,79.8,5686543427,140,39.2,5686543707,286,,5686543705,236,,5686543433,213,2.06,5686543425,56,Back,5686543431,212,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807150685,19,74,1,2,54,b3r6d8ydtmtjckam6pku9y400,1,57.2,20.3,2025-04-27T14:06:01.254Z,2025-04-27T18:50:59Z,4cbaoo2irqtme9goxuz6s3ey2,Gabriel Pereira,,,5686724655,233,838,5686543969,285,,5685081649,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807150807,21,1,1,3,1,b3r6d8ydtmtjckam6pku9y400,1,79.9,24.6,2025-04-27T14:06:08.424Z,2025-04-27T18:11:55Z,66psa7xh8odnlp39ue5vzpes4,R. Bardghji,,,5685082297,56,Center,5685082299,140,85.9,5685082305,213,0.91,5685082303,212,10.3,5685082301,141,36.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807150815,22,1,1,3,2,b3r6d8ydtmtjckam6pku9y400,0,86.7,33.7,2025-04-27T14:06:09.208Z,2025-04-27T14:06:10Z,8g4r9maz4invihjmdzpfxy0np,V. Claesson,,,5685082327,140,86.1,5685082329,141,36.1,5685082397,286,,5685082393,233,32,5685082391,236,,5685082331,212,1.7,5685082333,213,1.94,5685082325,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807150825,32,74,1,3,2,5rz9enoyknpg8ji78za5b82p0,1,12.8,57.5,2025-04-27T14:06:09.209Z,2025-04-27T14:11:15Z,e9lrzsiy94y46h62rnawi3sgl,H. Dalsgaard,,,5685082441,233,22,5685082367,56,Back,5685082369,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807150889,23,1,1,3,6,b3r6d8ydtmtjckam6pku9y400,0,80.6,38.0,2025-04-27T14:06:12.920Z,2025-04-27T14:06:13Z,al9l7egkwbc0pv68zk42gegut,L. Lerager,,,5685082741,56,Center,5685082749,141,53.1,5685082757,212,12.4,5685082759,213,0.98,5685082745,140,87.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
