id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/11/value,qualifier/13/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/10/value,qualifier/17/value,qualifier/16/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2702517127,9,1,1,0,16,9qsmopgutr7ut5g6workk8w4i,1,94.7,22.7,2024-07-21T16:00:53.642Z,2024-07-21T16:00:55Z,53nd6a4o02ebb0w2s12prijje,Y. Suzuki,,,5112911915,140,91.6,5112911919,212,4.6,5112911913,56,Right,5112911921,213,3.92,5112911917,141,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702517131,10,3,1,0,18,9qsmopgutr7ut5g6workk8w4i,0,92.8,17.4,2024-07-21T16:00:55.066Z,2024-07-21T18:43:16Z,6anvl82jyio52wo87cbxdp4np,S. Klaiber,,,5113212177,464,,5112911957,233,3,5112911929,56,Right,5112911931,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702517133,3,7,1,0,18,cftj6g399tknheudaxsdpfdgb,1,7.2,82.6,2024-07-21T16:00:55.067Z,2024-07-21T18:43:18Z,acp1ba2irpv5wfmxke7ucmaga,O. Bundgaard,,,5112911945,285,,5112911943,56,Back,5113212233,383,,5112911953,233,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702517167,5,1,1,0,24,cftj6g399tknheudaxsdpfdgb,1,12.7,94.5,2024-07-21T16:01:01.623Z,2024-07-21T16:01:03Z,acp1ba2irpv5wfmxke7ucmaga,O. Bundgaard,,,5112912141,212,11.4,5112912137,140,20.8,5112912143,213,5.56,5112912139,141,83.4,5112912135,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702517185,6,1,1,0,26,cftj6g399tknheudaxsdpfdgb,1,20.8,83.4,2024-07-21T16:01:03.190Z,2024-07-21T16:01:06Z,5f3wfx327z9hef9k9l37c90wl,J. Grønning,,,5112912221,140,26.2,5112912227,213,0.79,5112912223,141,91.8,5112912219,56,Back,5112912225,212,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702517187,7,3,1,0,28,cftj6g399tknheudaxsdpfdgb,1,31.0,93.0,2024-07-21T16:01:05.417Z,2024-07-21T18:43:38Z,9wgpudcet9m8doz9ezbjxzkrt,J. Jacobs,,,5112912233,285,,5112912231,56,Back,5112912255,233,11,5113213199,464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702517183,11,45,1,0,28,9qsmopgutr7ut5g6workk8w4i,0,69.0,7.0,2024-07-21T16:01:05.417Z,2024-07-21T16:51:38Z,53nd6a4o02ebb0w2s12prijje,Y. Suzuki,,,5113007935,233,7,5112912253,286,,5112912215,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702517197,12,83,1,0,30,9qsmopgutr7ut5g6workk8w4i,0,68.6,2.6,2024-07-21T16:01:07.819Z,2024-07-21T16:50:39Z,6anvl82jyio52wo87cbxdp4np,S. Klaiber,,,5113006139,399,9wgpudcet9m8doz9ezbjxzkrt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702517223,8,1,1,0,31,cftj6g399tknheudaxsdpfdgb,1,28.2,97.1,2024-07-21T16:01:07.979Z,2024-07-21T16:01:09Z,9wgpudcet9m8doz9ezbjxzkrt,J. Jacobs,,,5112912325,141,92.5,5112912323,140,20.0,5112912321,56,Back,5112912329,213,3.49,5112912327,212,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702517235,9,1,1,0,32,cftj6g399tknheudaxsdpfdgb,1,19.2,91.3,2024-07-21T16:01:09.798Z,2024-07-21T16:01:14Z,acp1ba2irpv5wfmxke7ucmaga,O. Bundgaard,,,5112912441,141,60.3,5112912437,56,Back,5112912443,212,21.9,5112912439,140,13.6,5112912445,213,4.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702517247,10,1,1,0,37,cftj6g399tknheudaxsdpfdgb,1,13.6,58.6,2024-07-21T16:01:14.055Z,2024-07-21T16:02:07Z,bp2ellllifbtxgf0p8qlbm1nt,S. Radić,,,5112912509,141,21.1,5112912507,140,26.8,5112912513,213,5.21,5112912511,212,29.0,5112912505,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702517265,11,1,1,0,39,cftj6g399tknheudaxsdpfdgb,1,30.1,18.2,2024-07-21T16:01:16.614Z,2024-07-21T16:02:10Z,6ja2xnbktah4mog04g3kmjgmh,Ž. Zaletel,,,5112912617,56,Back,5112912619,140,48.1,5112912621,141,4.3,5112912623,212,21.1,5112912625,213,5.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702517277,12,1,1,0,44,cftj6g399tknheudaxsdpfdgb,1,62.1,5.8,2024-07-21T16:01:21.191Z,2024-07-21T16:01:23Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,,5112912731,212,11.8,5112912727,140,69.0,5112912733,213,0.91,5112912725,56,Right,5112912729,141,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702517291,13,1,1,0,46,cftj6g399tknheudaxsdpfdgb,1,69.0,19.5,2024-07-21T16:01:23.287Z,2024-07-21T16:52:01Z,akxcr1xe62dyl5jmh3ataq13o,Renato Júnior,,,5112912821,141,28.7,5112912817,56,Center,5112912819,140,62.5,5112912825,213,2.40,5112912823,212,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702517311,14,2,1,0,48,cftj6g399tknheudaxsdpfdgb,1,65.0,22.5,2024-07-21T16:01:24.886Z,2024-07-21T18:44:03Z,3bvc29bootgmo9tsapvygvnu2,M. Westergaard,,,5112912981,56,Center,5112912977,141,33.6,5112912979,7,9wgpudcet9m8doz9ezbjxzkrt,5112912975,140,73.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702517321,13,55,1,0,48,9qsmopgutr7ut5g6workk8w4i,1,24.6,56.8,2024-07-21T16:01:24.887Z,2024-07-21T18:44:05Z,56sjqxlsf5iitgww0hogez8ph,J. Vanlerberghe,,,5112914939,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702517491,14,1,1,1,35,9qsmopgutr7ut5g6workk8w4i,1,9.3,50.3,2024-07-21T16:02:12.829Z,2024-07-21T18:44:40Z,4ilnnpfgjfz35lni9ppzd93v9,P. Pentz,,,5112913989,241,,5112913999,213,0.51,5112913985,5,,5112914001,1,,5112913995,141,93.5,5113215603,189,,5112913987,157,,5112913997,212,59.9,5112913991,56,Left,5112913993,140,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702517501,15,1,1,1,39,9qsmopgutr7ut5g6workk8w4i,1,68.7,85.7,2024-07-21T16:02:16.494Z,2024-07-21T16:02:18Z,1gr0k94d0nh7msa32f6728aok,C. Bischoff,,,5112914031,141,74.5,5112914029,140,61.5,5112914035,213,3.93,5112914027,56,Center,5112914033,212,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702517509,16,1,1,1,41,9qsmopgutr7ut5g6workk8w4i,1,62.3,71.7,2024-07-21T16:02:18.093Z,2024-07-21T16:02:20Z,2xp7fbcl6a4nua9jpm7b4k1sk,N. Nartey,,,5112914075,56,Center,5112914083,213,4.12,5112914077,140,57.1,5112914079,141,59.7,5112914081,212,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702517519,17,1,1,1,43,9qsmopgutr7ut5g6workk8w4i,1,58.2,64.6,2024-07-21T16:02:20.813Z,2024-07-21T16:02:24Z,bmkq3hz1z7lsji7wgr3j8978p,R. Lauritsen,,,5112914135,141,88.9,5112914139,213,1.49,5112914133,140,59.4,5112914131,56,Left,5112914137,212,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702517553,18,1,1,1,47,9qsmopgutr7ut5g6workk8w4i,1,61.5,89.9,2024-07-21T16:02:23.949Z,2024-07-21T16:02:27Z,bnar4f48vnx4oaz2lzch48es5,J. Rasmussen,,,5112914285,56,Left,5112914293,213,0.71,5112914287,140,66.8,5112914289,141,96.9,5112914291,212,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702517565,19,1,1,1,50,9qsmopgutr7ut5g6workk8w4i,1,66.1,94.1,2024-07-21T16:02:27.565Z,2024-07-21T16:02:30Z,1gr0k94d0nh7msa32f6728aok,C. Bischoff,,,5112914367,212,9.3,5112914369,213,3.45,5112914361,56,Left,5112914365,141,89.9,5112914363,140,57.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702517573,20,1,1,1,53,9qsmopgutr7ut5g6workk8w4i,1,55.7,85.0,2024-07-21T16:02:30.477Z,2024-07-21T16:02:31Z,bnar4f48vnx4oaz2lzch48es5,J. Rasmussen,,,5112914389,140,51.0,5112914387,56,Center,5112914391,141,61.5,5112914393,212,16.7,5112914395,213,4.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702517583,15,45,1,1,54,cftj6g399tknheudaxsdpfdgb,0,44.2,37.4,2024-07-21T16:02:31.694Z,2024-07-21T16:02:33Z,akxcr1xe62dyl5jmh3ataq13o,Renato Júnior,,,5112914437,56,Back,5112914449,233,21,5112914439,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702517585,21,3,1,1,54,9qsmopgutr7ut5g6workk8w4i,1,55.8,62.6,2024-07-21T16:02:31.694Z,2024-07-21T18:44:54Z,bmkq3hz1z7lsji7wgr3j8978p,R. Lauritsen,,,5113216155,465,,5112914441,56,Center,5112914443,286,,5112914445,233,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702517611,22,1,1,1,55,9qsmopgutr7ut5g6workk8w4i,1,56.7,68.1,2024-07-21T16:02:32.605Z,2024-07-21T16:02:39Z,bmkq3hz1z7lsji7wgr3j8978p,R. Lauritsen,,,5112914609,56,Left,5112914613,141,95.1,5112914611,140,67.0,5112914617,213,1.04,5112914615,212,21.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702517615,23,50,1,2,2,9qsmopgutr7ut5g6workk8w4i,1,94.1,88.1,2024-07-21T16:02:39.438Z,2024-07-21T16:02:40Z,1gr0k94d0nh7msa32f6728aok,C. Bischoff,,,5112914643,286,,5112914697,233,16,5112914641,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702517619,16,7,1,2,2,cftj6g399tknheudaxsdpfdgb,0,5.9,11.9,2024-07-21T16:02:39.439Z,2024-07-21T18:45:03Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,,5112914659,56,Back,5113216393,385,,5112914661,285,,5112914677,233,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702517623,24,61,1,2,3,9qsmopgutr7ut5g6workk8w4i,1,94.4,87.4,2024-07-21T16:02:40.376Z,2024-07-21T16:02:40Z,1gr0k94d0nh7msa32f6728aok,C. Bischoff,,,5112914675,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702517647,17,56,1,2,4,cftj6g399tknheudaxsdpfdgb,1,2.3,11.3,2024-07-21T16:02:40.985Z,2024-07-21T16:02:50Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,,5112914819,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702517653,18,5,1,2,6,cftj6g399tknheudaxsdpfdgb,1,-0.6000000000000001,12.8,2024-07-21T16:02:43.134Z,2024-07-21T16:27:57Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,,5112914841,233,25,5112914837,346,,5112914835,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702517641,25,5,1,2,6,9qsmopgutr7ut5g6workk8w4i,0,100.6,87.2,2024-07-21T16:02:43.134Z,2024-07-21T16:02:46Z,1gr0k94d0nh7msa32f6728aok,C. Bischoff,,,5112914795,346,,5112914859,233,18,5112914793,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702517775,19,1,1,2,25,cftj6g399tknheudaxsdpfdgb,1,4.5,59.1,2024-07-21T16:03:02.090Z,2024-07-21T16:03:04Z,bp2ellllifbtxgf0p8qlbm1nt,S. Radić,,,5112915477,212,5.9,5112915467,56,Back,5112915473,141,50.4,5112915465,124,,5112915479,213,4.61,5112915469,140,3.9,5112915483,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702517835,20,1,1,2,35,cftj6g399tknheudaxsdpfdgb,0,13.9,48.7,2024-07-21T16:03:11.946Z,2024-07-21T16:03:14Z,9lgnm175tw163z53b8bmiu5pm,L. Lund,,,5112915805,213,6.19,5112915803,212,33.1,5112915795,155,,5112915807,1,,5112915801,141,44.1,5112915797,56,Back,5112915799,140,45.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702517851,26,1,1,2,38,9qsmopgutr7ut5g6workk8w4i,1,54.5,47.2,2024-07-21T16:03:15.807Z,2024-07-21T16:03:16Z,etz3rjq7chhaomst5u28nnff9,D. Wass,,,5112915855,56,Center,5112915863,213,0.61,5112915853,3,,5112915857,140,63.2,5112915859,141,56.6,5112915861,212,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702517853,27,1,1,2,39,9qsmopgutr7ut5g6workk8w4i,1,64.2,57.6,2024-07-21T16:03:16.751Z,2024-07-21T18:45:26Z,2xp7fbcl6a4nua9jpm7b4k1sk,N. Nartey,,,5112915879,140,69.6,5112915877,56,Center,5112915881,141,60.6,5112915883,212,6.0,5112915885,213,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702517873,29,1,1,2,41,9qsmopgutr7ut5g6workk8w4i,1,71.7,61.8,2024-07-21T16:03:18.478Z,2024-07-21T16:11:12Z,7z1pv1wezn5rydamnknklv2ay,M. Kvistgaarden,,,5112916031,56,Center,5112916037,212,2.6,5112935869,156,,5112916033,140,69.5,5112916039,213,2.70,5112916035,141,63.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702517889,30,1,1,2,42,9qsmopgutr7ut5g6workk8w4i,1,70.9,64.3,2024-07-21T16:03:19.374Z,2024-07-21T18:45:36Z,2xp7fbcl6a4nua9jpm7b4k1sk,N. Nartey,1.0,,5112936065,4,,5112916135,212,23.3,5112916129,56,Center,5112936533,210,15,5112916137,213,0.03,5112916131,140,93.1,5112916133,141,65.2,5112936535,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702517891,31,15,1,2,43,9qsmopgutr7ut5g6workk8w4i,1,91.2,64.6,2024-07-21T16:03:19.879Z,2024-07-21T18:46:14Z,9auqrrixu34cgkpe8trlkaoh6,F. Bundgaard,,,5112936321,72,,5112936547,102,48.5,5112936561,147,54.5,5112936551,103,1.9,5112916155,56,Center,5112916151,22,,5112936543,55,30,5112936559,146,98.0,5112936565,233,21,5112936537,78,,5112916153,64,5112936541,154,5112936557,328,5112936539,29,,,,,,,,,,,,,,,,,,,,,,,,
2702517877,21,10,1,2,43,cftj6g399tknheudaxsdpfdgb,1,1.8,48.1,2024-07-21T16:03:19.979Z,2024-07-21T18:45:53Z,9lgnm175tw163z53b8bmiu5pm,L. Lund,,,5112916065,56,Back,5113218377,177,,5112916061,178,,5112916063,182,,5112936381,233,31,5113218379,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702517887,22,52,1,2,43,cftj6g399tknheudaxsdpfdgb,1,1.8,48.1,2024-07-21T16:03:20.795Z,2024-07-21T18:45:55Z,9lgnm175tw163z53b8bmiu5pm,L. Lund,,,5113218455,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702517923,23,1,1,2,50,cftj6g399tknheudaxsdpfdgb,1,10.3,41.8,2024-07-21T16:03:27.515Z,2024-07-21T16:03:28Z,9lgnm175tw163z53b8bmiu5pm,L. Lund,,,5112916333,123,,5112916343,213,5.30,5112916341,212,24.4,5112916337,140,23.1,5112916335,56,Back,5112916339,141,11.9,5112916349,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702517949,24,1,1,2,52,cftj6g399tknheudaxsdpfdgb,1,23.6,11.9,2024-07-21T16:03:29.533Z,2024-07-21T16:03:32Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,,5112916491,141,24.9,5112916489,140,7.8,5112916487,56,Back,5112916495,213,2.65,5112916493,212,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702517961,25,1,1,2,55,cftj6g399tknheudaxsdpfdgb,0,10.8,14.2,2024-07-21T16:03:32.379Z,2024-07-21T16:03:33Z,6ja2xnbktah4mog04g3kmjgmh,Ž. Zaletel,,,5112916551,141,5.9,5112916549,140,27.1,5112916547,56,Back,5112916555,213,5.96,5112916553,212,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
