id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2797110811,7,12,1,1,7,aljua8crr0vkwit0j3m59jw9j,1,7.4,70.2,2025-04-06T12:01:52.644Z,2025-04-06T16:50:16Z,3361cs2j60yxzy9mir80byqc5,A. Oggesen,,,5629815215,213,5.27,5629815211,141,57.8,5629815213,212,9.9,5629815209,140,12.4,5629815207,56,Back,5629815235,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797406137,790,61,1,1,8,cftj6g399tknheudaxsdpfdgb,1,88.3,44.1,2025-04-06T12:01:53.518Z,2025-04-06T16:50:21Z,eq7tnnzwq0g9q4eac0o9t9xey,S. Kuzmić,1.0,,5631428219,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797110847,8,15,1,1,10,cftj6g399tknheudaxsdpfdgb,1,80.6,48.7,2025-04-06T12:01:55.389Z,2025-04-06T16:50:41Z,vrzye4jqrafujmjw3wakjpxw,T. Jørgensen,,,5629816451,82,,5631430145,55,790,5629816447,72,,5629817235,233,8,5629815375,18,,5629815379,56,Center,5631430141,78,,5629817181,230,99.5,5629817171,102,50.6,5629817173,103,19,5629817179,147,5631430143,29,,50,5631430149,328,5629817183,231,49.6,5629816445,24,5629817177,146,94.0,,,,,,,
2797110849,8,10,1,1,10,aljua8crr0vkwit0j3m59jw9j,1,10.9,49.8,2025-04-06T12:01:55.489Z,2025-04-06T17:43:06Z,5jdkdvxssuc8gvzwwrq5bs76y,T. Sommer,,,5629817277,233,8,5629815397,56,Back,5629815393,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797110863,9,6,1,1,13,aljua8crr0vkwit0j3m59jw9j,0,9.9,42.2,2025-04-06T12:01:58.205Z,2025-04-06T16:51:36Z,5jdkdvxssuc8gvzwwrq5bs76y,T. Sommer,,,5629815539,73,,5629815793,233,9,5629815537,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797110897,9,6,1,1,13,cftj6g399tknheudaxsdpfdgb,1,90.1,57.8,2025-04-06T12:01:58.205Z,2025-04-06T13:03:53Z,vrzye4jqrafujmjw3wakjpxw,T. Jørgensen,,,5629815749,73,,5629815779,233,9,5629815745,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797111459,10,1,1,1,47,cftj6g399tknheudaxsdpfdgb,0,99.5,99.5,2025-04-06T12:02:32.446Z,2025-04-06T16:51:48Z,195o7hchielt14ic49r3k06sq,Serginho,,,5629818429,140,93.9,5629818427,56,Center,5629818439,212,29.0,5629818443,213,4.51,5629818435,141,57.8,5631434701,20,,5629818419,2,,5629818421,6,,5629818425,223,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797111475,10,12,1,1,50,aljua8crr0vkwit0j3m59jw9j,1,10.0,37.7,2025-04-06T12:02:35.757Z,2025-04-06T12:02:38Z,5jdkdvxssuc8gvzwwrq5bs76y,T. Sommer,,,5629818515,141,0.0,5629818511,56,Back,5629818713,167,,5629818623,15,,5629818517,212,27.5,5629818513,140,17.4,5629818519,213,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797111595,11,5,1,1,53,cftj6g399tknheudaxsdpfdgb,1,82.6,101.2,2025-04-06T12:02:37.992Z,2025-04-06T14:18:03Z,195o7hchielt14ic49r3k06sq,Serginho,,,5629819093,56,Left,5629819127,233,11,5629819095,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797111509,11,5,1,1,53,aljua8crr0vkwit0j3m59jw9j,0,17.4,-1.2,2025-04-06T12:02:37.992Z,2025-04-06T14:18:03Z,5jdkdvxssuc8gvzwwrq5bs76y,T. Sommer,,,5629818659,56,Back,5629818661,347,,5629819153,233,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797111619,12,1,1,1,57,cftj6g399tknheudaxsdpfdgb,1,82.4,100.0,2025-04-06T12:02:42.383Z,2025-04-06T12:02:43Z,195o7hchielt14ic49r3k06sq,Serginho,,,5629819203,141,95.3,5629819197,107,,5629819199,56,Left,5629819207,213,3.57,5629819205,212,9.9,5629819201,140,73.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797111653,13,1,1,1,58,cftj6g399tknheudaxsdpfdgb,1,73.8,94.4,2025-04-06T12:02:43.582Z,2025-04-06T12:02:46Z,96uzhuuez4q5pgxb566ryk53p,E. Andersson,,,5629819403,213,3.86,5629819395,56,Center,5629819399,141,76.4,5629819401,212,18.6,5629819397,140,60.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797111681,14,1,1,2,1,cftj6g399tknheudaxsdpfdgb,1,60.0,74.8,2025-04-06T12:02:45.885Z,2025-04-06T12:02:47Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,,5629819531,212,22.3,5629819525,56,Back,5629819529,141,48.7,5629819533,213,4.06,5629819527,140,47.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797111741,15,1,1,2,2,cftj6g399tknheudaxsdpfdgb,1,47.1,48.7,2025-04-06T12:02:47.726Z,2025-04-06T12:02:51Z,bp2ellllifbtxgf0p8qlbm1nt,S. Radić,,,5629819831,1,,5629819821,56,Back,5629819825,141,48.2,5629819829,213,3.15,5629819823,140,15.2,5629819827,212,33.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797111783,16,1,1,2,6,cftj6g399tknheudaxsdpfdgb,1,14.7,43.9,2025-04-06T12:02:51.726Z,2025-04-06T12:02:53Z,9lgnm175tw163z53b8bmiu5pm,L. Lund,,,5629820035,141,58.8,5629820031,56,Back,5629820037,212,14.2,5629820039,213,0.79,5629820033,140,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797111851,17,1,1,2,9,cftj6g399tknheudaxsdpfdgb,1,24.2,58.2,2025-04-06T12:02:53.822Z,2025-04-06T12:02:58Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,,5629820395,141,38.8,5629820391,56,Back,5629820397,212,13.5,5629820399,213,4.93,5629820393,140,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797111891,18,1,1,2,13,cftj6g399tknheudaxsdpfdgb,1,33.2,30.9,2025-04-06T12:02:58.766Z,2025-04-06T12:03:01Z,bp2ellllifbtxgf0p8qlbm1nt,S. Radić,,,5629820595,212,13.8,5629820591,140,31.6,5629820597,213,1.69,5629820593,141,51.0,5629820589,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797111929,19,1,1,2,16,cftj6g399tknheudaxsdpfdgb,1,32.1,52.4,2025-04-06T12:03:01.054Z,2025-04-06T12:03:03Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,,5629820775,141,85.3,5629820771,140,43.0,5629820783,213,1.10,5629820769,56,Back,5629820779,212,25.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797111973,20,1,1,2,18,cftj6g399tknheudaxsdpfdgb,1,44.2,85.9,2025-04-06T12:03:03.423Z,2025-04-06T12:03:05Z,96uzhuuez4q5pgxb566ryk53p,E. Andersson,,,5629820983,140,56.8,5629820989,213,0.07,5629820985,141,87.2,5629820981,56,Left,5629820987,212,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797112007,21,1,1,2,20,cftj6g399tknheudaxsdpfdgb,1,56.8,87.2,2025-04-06T12:03:04.926Z,2025-04-06T12:03:06Z,195o7hchielt14ic49r3k06sq,Serginho,,,5629821153,56,Center,5629821159,212,8.2,5629821161,213,5.00,5629821155,140,59.0,5629821157,141,75.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797112071,22,50,1,2,23,cftj6g399tknheudaxsdpfdgb,1,59.2,74.1,2025-04-06T12:03:08.557Z,2025-04-06T14:12:52Z,96uzhuuez4q5pgxb566ryk53p,E. Andersson,,,5629821479,56,Center,5629821481,286,,5629821515,233,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797112055,12,7,1,2,23,aljua8crr0vkwit0j3m59jw9j,1,40.8,25.9,2025-04-06T12:03:08.558Z,2025-04-06T16:52:19Z,adg5dfvzxjrzlz1n2jsfeyx3o,M. Agger,,,5631437563,383,,5629821445,285,,5631437567,178,,5629821443,56,Back,5629821511,233,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797112163,14,1,1,2,25,aljua8crr0vkwit0j3m59jw9j,1,40.4,36.9,2025-04-06T12:03:09.824Z,2025-04-06T12:50:58Z,adg5dfvzxjrzlz1n2jsfeyx3o,M. Agger,1.0,,5629821911,212,46.1,5629821915,1,,5629821905,56,Center,5630099049,4,,5629824251,210,15,5629824253,154,,5629821907,140,84.3,5629821913,213,6.24,5629821909,141,34.2,,,,,,,,,,,,,,,,,,,,,,,,,,
2797112165,15,15,1,2,30,aljua8crr0vkwit0j3m59jw9j,1,91.4,38.3,2025-04-06T12:03:14.975Z,2025-04-06T16:52:36Z,a8opuarwq9byw73nhfgvo9nca,K. Ingason,,,5629824287,147,45.8,5629824279,102,53.3,5629824273,154,,5629823071,17,,5629824283,214,,5629824269,76,,5629821925,56,Center,5629824281,103,1.3,5631439167,215,,5629824295,233,23,5629823067,23,5629823069,20,,,5629824271,29,5629824285,146,98.4,5629824275,55,,,,14,,,,,,
2797112191,23,10,1,2,30,cftj6g399tknheudaxsdpfdgb,1,3.5,54.0,2025-04-06T12:03:15.075Z,2025-04-06T16:52:41Z,9lgnm175tw163z53b8bmiu5pm,L. Lund,,,5629822035,173,,5629823467,183,,5631439475,376,,5631439473,180,,5629824335,233,15,5629822041,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797112173,16,6,1,2,31,aljua8crr0vkwit0j3m59jw9j,1,96.5,40.2,2025-04-06T12:03:16.367Z,2025-04-06T13:03:53Z,a8opuarwq9byw73nhfgvo9nca,K. Ingason,,,5629822019,56,Center,5629822021,73,,5630154009,233,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797112491,24,6,1,2,31,cftj6g399tknheudaxsdpfdgb,0,3.5,59.8,2025-04-06T12:03:16.367Z,2025-04-06T16:53:06Z,9lgnm175tw163z53b8bmiu5pm,L. Lund,,,5629823739,73,,5629823737,56,Back,5630154033,233,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797112855,17,1,1,3,9,aljua8crr0vkwit0j3m59jw9j,0,99.5,99.5,2025-04-06T12:03:53.871Z,2025-04-06T16:53:08Z,a8opuarwq9byw73nhfgvo9nca,K. Ingason,,,5629825593,56,Center,5629825599,141,57.3,5629825583,2,,5629825589,223,,5629825587,155,,5629825597,140,96.4,5629825601,212,28.9,5629825603,213,4.60,5631441683,20,,5629825585,6,,,,,,,,,,,,,,,,,,,,,,,,
2797112923,25,12,1,3,13,cftj6g399tknheudaxsdpfdgb,1,3.8,46.3,2025-04-06T12:03:58.256Z,2025-04-06T12:49:58Z,eq7tnnzwq0g9q4eac0o9t9xey,S. Kuzmić,,,5629825895,15,,5629825867,140,15.8,5629825873,213,5.25,5629825865,56,Back,5629825869,141,14.9,5629825871,212,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797112953,18,1,1,3,14,aljua8crr0vkwit0j3m59jw9j,1,90.3,91.5,2025-04-06T12:03:59.588Z,2025-04-06T12:04:03Z,a8opuarwq9byw73nhfgvo9nca,K. Ingason,,,5629826017,141,75.7,5629826021,213,3.78,5629826019,212,18.1,5629826013,56,Center,5629826015,140,76.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797112961,19,1,1,3,18,aljua8crr0vkwit0j3m59jw9j,0,78.8,82.4,2025-04-06T12:04:03.087Z,2025-04-06T16:53:40Z,94560hgwsjkx8qgz48f7gzitw,O. Hyseni,,,5629826063,141,79.0,5629826067,213,5.69,5629826365,233,26,5629826059,56,Left,5631443907,72,,5629826061,140,82.1,5629826057,155,,5631443905,224,,5629826055,2,,5629826363,236,,5629826065,212,5629826371,286,,4.2,,,,,,,,,,,,,,,,,
2797113023,26,12,1,3,18,cftj6g399tknheudaxsdpfdgb,1,21.6,20.7,2025-04-06T12:04:03.187Z,2025-04-06T12:50:11Z,eq7tnnzwq0g9q4eac0o9t9xey,S. Kuzmić,,,5629826343,185,,5629826401,233,19,5629826345,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797113337,20,5,1,3,21,aljua8crr0vkwit0j3m59jw9j,1,64.5,100.8,2025-04-06T12:04:06.496Z,2025-04-06T14:18:03Z,94560hgwsjkx8qgz48f7gzitw,O. Hyseni,,,5629827971,233,27,5629827953,347,,5629827951,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797113089,27,5,1,3,21,cftj6g399tknheudaxsdpfdgb,0,35.5,-0.8,2025-04-06T12:04:06.496Z,2025-04-06T14:18:04Z,eq7tnnzwq0g9q4eac0o9t9xey,S. Kuzmić,,,5629828003,233,20,5629826727,347,,5629826725,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797113403,21,1,1,3,37,aljua8crr0vkwit0j3m59jw9j,1,62.9,100.0,2025-04-06T12:04:22.208Z,2025-04-06T12:04:25Z,33sxiwcjeqcop3ukuok86ujmd,M. Dal Hende,,,5629828325,140,59.8,5629828321,107,,5629828331,213,4.10,5629828327,141,94.2,5629828323,56,Left,5629828329,212,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797113507,22,1,1,3,40,aljua8crr0vkwit0j3m59jw9j,1,51.0,81.1,2025-04-06T12:04:24.944Z,2025-04-06T12:04:29Z,5j9d1plbsd5ic01r3ggziutwp,R. Vinderslev,,,5629828853,140,45.9,5629828859,213,4.50,5629828855,141,45.4,5629828851,56,Back,5629828857,212,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797113523,23,1,1,3,44,aljua8crr0vkwit0j3m59jw9j,1,46.5,38.3,2025-04-06T12:04:29.520Z,2025-04-06T12:04:31Z,6rd849oap6uh93wdwjk8590q1,M. Soulas,,,5629828979,141,8.8,5629828973,56,Right,5629828977,140,60.5,5629828983,213,5.34,5629828981,212,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797113567,24,1,1,3,46,aljua8crr0vkwit0j3m59jw9j,1,60.5,8.8,2025-04-06T12:04:30.992Z,2025-04-06T12:04:33Z,3361cs2j60yxzy9mir80byqc5,A. Oggesen,,,5629829177,56,Back,5629829183,212,28.3,5629829179,140,39.5,5629829181,141,34.9,5629829185,213,2.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797113681,25,1,1,3,48,aljua8crr0vkwit0j3m59jw9j,1,38.0,37.0,2025-04-06T12:04:33.200Z,2025-04-06T12:04:38Z,6rd849oap6uh93wdwjk8590q1,M. Soulas,,,5629829791,212,15.4,5629829785,56,Back,5629829789,141,59.3,5629829793,213,1.74,5629829787,140,35.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797113783,26,1,1,3,53,aljua8crr0vkwit0j3m59jw9j,1,36.5,62.4,2025-04-06T12:04:38.784Z,2025-04-06T12:04:43Z,czpstoiy12awqpasz573ckp91,D. Grétarsson,,,5629830307,56,Back,5629830309,140,36.1,5629830313,212,16.8,5629830315,213,4.69,5629830311,141,37.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797113873,27,1,1,3,58,aljua8crr0vkwit0j3m59jw9j,1,37.7,35.5,2025-04-06T12:04:42.977Z,2025-04-06T12:04:47Z,6rd849oap6uh93wdwjk8590q1,M. Soulas,,,5629830757,141,6.7,5629830755,140,59.0,5629830761,213,5.56,5629830753,56,Right,5629830759,212,29.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797114167,29,61,1,3,58,aljua8crr0vkwit0j3m59jw9j,0,51.5,52.8,2025-04-06T12:04:43.634Z,2025-04-06T14:26:08Z,3361cs2j60yxzy9mir80byqc5,A. Oggesen,,,5629832251,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797164243,374,1,1,3,59,cftj6g399tknheudaxsdpfdgb,0,41.6,93.9,2025-04-06T12:04:43.804Z,2025-04-06T14:27:25Z,vrzye4jqrafujmjw3wakjpxw,T. Jørgensen,,,5630103073,212,17.2,5630103067,56,Left,5630103069,140,57.8,5630103075,213,6.13,5630103071,141,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797164065,327,45,1,4,0,aljua8crr0vkwit0j3m59jw9j,0,30.8,7.4,2025-04-06T12:04:44.804Z,2025-04-06T12:52:15Z,6rd849oap6uh93wdwjk8590q1,M. Soulas,,,5630101995,56,Back,5630104825,233,375,5630101997,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
