id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2704174931,4,44,1,0,8,cftj6g399tknheudaxsdpfdgb,0,37.4,26.1,2024-07-28T12:03:24.783Z,2024-07-28T12:03:28Z,5f3wfx327z9hef9k9l37c90wl,J. Grønning,,,5122096209,233,7,5122096133,285,,5122096131,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704200067,370,61,1,0,9,9w3sjm5ml4sjr2v81oxzdrt8v,1,65.8,75.6,2024-07-28T12:03:25.406Z,2024-07-28T13:01:57Z,9yuyz4ci6wqikd6ckjstbt2i1,S. Odey,,,5122229103,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704200023,476,61,1,0,10,cftj6g399tknheudaxsdpfdgb,1,33.3,19.4,2024-07-28T12:03:26.406Z,2024-07-28T13:01:45Z,5f3wfx327z9hef9k9l37c90wl,J. Grønning,,,5122228941,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704174953,8,1,1,0,11,9w3sjm5ml4sjr2v81oxzdrt8v,0,66.4,66.9,2024-07-28T12:03:27.721Z,2024-07-28T13:02:08Z,9yuyz4ci6wqikd6ckjstbt2i1,S. Odey,,,5122229591,4,,5122096255,140,89.3,5122096253,56,Center,5122096259,212,26.9,5122096261,213,5.82,5122096257,141,49.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704174991,6,1,1,0,16,cftj6g399tknheudaxsdpfdgb,1,12.9,49.7,2024-07-28T12:03:32.800Z,2024-07-28T12:03:36Z,9lgnm175tw163z53b8bmiu5pm,L. Lund,,,5122096467,212,9.8,5122096469,213,4.91,5122096463,140,14.7,5122096459,123,,5122096465,141,35.5,5122096461,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704175013,7,1,1,0,19,cftj6g399tknheudaxsdpfdgb,1,15.2,36.1,2024-07-28T12:03:35.936Z,2024-07-28T12:03:38Z,6ja2xnbktah4mog04g3kmjgmh,Ž. Zaletel,,,5122096565,56,Back,5122096567,140,9.7,5122096573,213,2.01,5122096571,212,13.5,5122096569,141,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704175027,8,1,1,0,22,cftj6g399tknheudaxsdpfdgb,1,9.7,54.0,2024-07-28T12:03:38.512Z,2024-07-28T12:03:40Z,9lgnm175tw163z53b8bmiu5pm,L. Lund,,,5122096627,56,Back,5122096633,212,13.9,5122096631,141,74.4,5122096629,140,10.2,5122096635,213,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704175037,9,1,1,0,24,cftj6g399tknheudaxsdpfdgb,1,22.4,80.6,2024-07-28T12:03:40.671Z,2024-07-28T12:03:42Z,bp2ellllifbtxgf0p8qlbm1nt,S. Radić,,,5122096711,141,94.7,5122096713,212,9.9,5122096709,140,24.9,5122096707,56,Back,5122096715,213,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704175043,10,1,1,0,25,cftj6g399tknheudaxsdpfdgb,1,24.9,94.7,2024-07-28T12:03:42.272Z,2024-07-28T12:03:44Z,acp1ba2irpv5wfmxke7ucmaga,O. Bundgaard,,,5122096733,141,88.4,5122096731,140,14.1,5122096737,213,3.50,5122096735,212,12.1,5122096729,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704175053,11,1,1,0,28,cftj6g399tknheudaxsdpfdgb,1,14.2,90.9,2024-07-28T12:03:44.561Z,2024-07-28T12:03:46Z,bp2ellllifbtxgf0p8qlbm1nt,S. Radić,,,5122096801,213,1.06,5122096795,140,16.7,5122096793,56,Back,5122096799,212,5.4,5122096797,141,97.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704175055,12,1,1,0,29,cftj6g399tknheudaxsdpfdgb,0,16.6,97.7,2024-07-28T12:03:45.968Z,2024-07-28T12:03:46Z,acp1ba2irpv5wfmxke7ucmaga,O. Bundgaard,,,5122096809,140,17.4,5122096811,141,96.2,5122096807,56,Back,5122096815,213,5.40,5122096813,212,1.3,5122096817,1,,5122096805,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704175077,9,61,1,0,32,9w3sjm5ml4sjr2v81oxzdrt8v,1,76.8,7.8,2024-07-28T12:03:48.466Z,2024-07-28T13:02:53Z,ag40mk09zc8tzbkr7dnnqumay,N. Campbell,,,5122096937,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704175071,13,1,1,0,32,cftj6g399tknheudaxsdpfdgb,0,28.3,87.7,2024-07-28T12:03:48.751Z,2024-07-28T12:03:49Z,9wgpudcet9m8doz9ezbjxzkrt,J. Jacobs,,,5122096889,140,36.8,5122096893,212,8.9,5122096891,141,86.8,5122096895,213,6.21,5122096887,56,Back,5122096885,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704175089,11,1,1,0,35,9w3sjm5ml4sjr2v81oxzdrt8v,1,62.1,15.6,2024-07-28T12:03:52.184Z,2024-07-28T13:02:33Z,6uj3c69lgu6boblkjiuhoy6eh,J. Björkengren,,,5122096981,56,Center,5122096985,141,24.2,5122096989,213,2.48,5122096983,140,55.0,5122096987,212,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704175115,12,1,1,0,36,9w3sjm5ml4sjr2v81oxzdrt8v,1,53.8,20.9,2024-07-28T12:03:53.049Z,2024-07-28T12:03:57Z,effgiwtme6eu08o1ninlnqqqd,D. Høegh,,,5122097155,213,5.81,5122097147,56,Right,5122097151,141,7.3,5122097153,212,20.3,5122097149,140,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704175111,14,83,1,0,39,cftj6g399tknheudaxsdpfdgb,0,45.0,91.1,2024-07-28T12:03:56.224Z,2024-07-28T12:04:00Z,9wgpudcet9m8doz9ezbjxzkrt,J. Jacobs,,,5122097255,399,ag40mk09zc8tzbkr7dnnqumay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704175123,13,1,1,0,40,9w3sjm5ml4sjr2v81oxzdrt8v,1,71.5,10.1,2024-07-28T12:03:57.129Z,2024-07-28T12:03:58Z,ag40mk09zc8tzbkr7dnnqumay,N. Campbell,,,5122097195,56,Right,5122097203,213,3.15,5122097201,212,18.3,5122097197,140,54.1,5122097199,141,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704175149,14,1,1,0,41,9w3sjm5ml4sjr2v81oxzdrt8v,1,54.3,9.8,2024-07-28T12:03:58.185Z,2024-07-28T12:04:05Z,6m5ftd7c68b2d4d2931xs5srt,O. Olsen,,,5122097405,56,Back,5122097413,213,2.35,5122097407,140,43.6,5122097411,212,15.9,5122097409,141,26.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704175161,15,1,1,0,48,9w3sjm5ml4sjr2v81oxzdrt8v,1,42.0,31.9,2024-07-28T12:04:04.937Z,2024-07-28T12:04:10Z,effgiwtme6eu08o1ninlnqqqd,D. Høegh,,,5122097499,212,16.6,5122097501,213,1.87,5122097493,56,Back,5122097495,140,37.4,5122097497,141,55.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704175167,16,1,1,0,54,9w3sjm5ml4sjr2v81oxzdrt8v,1,38.4,59.6,2024-07-28T12:04:10.425Z,2024-07-28T12:04:11Z,8cox96ikk1k4c24f0y5ef45x,W. Dammers,,,5122097529,213,5.78,5122097523,140,44.6,5122097527,212,7.4,5122097521,56,Back,5122097525,141,54.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704175169,17,1,1,0,54,9w3sjm5ml4sjr2v81oxzdrt8v,1,44.5,55.4,2024-07-28T12:04:11.129Z,2024-07-28T12:04:11Z,5al9uyujlrlb17o4r5sapkkk4,M. Enggård,,,5122097543,212,8.6,5122097539,140,40.2,5122097541,141,66.1,5122097537,56,Back,5122097545,213,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704175183,18,1,1,0,55,9w3sjm5ml4sjr2v81oxzdrt8v,1,40.4,69.0,2024-07-28T12:04:11.817Z,2024-07-28T12:04:14Z,8cox96ikk1k4c24f0y5ef45x,W. Dammers,,,5122097669,140,57.0,5122097675,213,0.82,5122097673,212,25.4,5122097667,56,Left,5122097671,141,96.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704175203,19,1,1,0,57,9w3sjm5ml4sjr2v81oxzdrt8v,1,58.5,96.2,2024-07-28T12:04:14.025Z,2024-07-28T13:03:51Z,6uj3c69lgu6boblkjiuhoy6eh,J. Björkengren,,,5122097763,56,Left,5122097769,212,12.7,5122097765,140,69.6,5122097771,213,5.87,5122097767,141,88.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704175211,20,1,1,1,2,9w3sjm5ml4sjr2v81oxzdrt8v,1,67.1,93.6,2024-07-28T12:04:18.873Z,2024-07-28T12:04:19Z,9yuyz4ci6wqikd6ckjstbt2i1,S. Odey,,,5122097809,212,3.3,5122097811,213,1.03,5122097803,56,Left,5122097807,141,97.7,5122097805,140,68.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704175213,21,1,1,1,3,9w3sjm5ml4sjr2v81oxzdrt8v,0,68.7,97.7,2024-07-28T12:04:19.817Z,2024-07-28T13:04:03Z,60z63hezwwosjnhvamcwxtre1,N. Dyhr,,,5122097825,213,5.89,5122097817,56,Left,5122097815,155,,5122097821,141,89.0,5122097823,212,15.5,5122097819,140,82.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704175219,15,1,1,1,3,cftj6g399tknheudaxsdpfdgb,1,15.8,13.5,2024-07-28T12:04:19.856Z,2024-07-28T12:04:21Z,6ja2xnbktah4mog04g3kmjgmh,Ž. Zaletel,,,5122097855,3,,5122097863,212,6.7,5122097859,140,18.3,5122097865,213,5.11,5122097857,56,Back,5122097861,141,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704175235,16,1,1,1,4,cftj6g399tknheudaxsdpfdgb,0,17.7,6.1,2024-07-28T12:04:21.311Z,2024-07-28T12:04:25Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,,5122097985,1,,5122097973,157,,5122097979,141,0.0,5122097981,212,22.1,5122097977,140,38.1,5122097975,56,Back,5122097983,213,6.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704175237,17,5,1,1,8,cftj6g399tknheudaxsdpfdgb,0,38.8,-2.0,2024-07-28T12:04:25.241Z,2024-07-28T12:04:33Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,,5122097987,56,Back,5122097989,347,,5122098233,233,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704175277,22,5,1,1,8,9w3sjm5ml4sjr2v81oxzdrt8v,1,61.2,102.0,2024-07-28T12:04:25.241Z,2024-07-28T12:31:03Z,606hufq6dapf3qxcgilbc8tt5,S. Nordli,,,5122098219,347,,5122098217,56,Left,5122098225,233,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704175285,23,1,1,1,16,9w3sjm5ml4sjr2v81oxzdrt8v,1,64.1,100.0,2024-07-28T12:04:33.017Z,2024-07-28T13:04:21Z,6uj3c69lgu6boblkjiuhoy6eh,J. Björkengren,,,5122098269,213,3.49,5122098263,140,47.2,5122098267,212,18.9,5122098261,56,Back,5122098265,141,92.4,5122098259,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704175307,24,1,1,1,18,9w3sjm5ml4sjr2v81oxzdrt8v,1,43.1,88.4,2024-07-28T12:04:34.552Z,2024-07-28T13:04:22Z,8cox96ikk1k4c24f0y5ef45x,W. Dammers,,,5122098365,212,9.8,5122098359,56,Back,5122098367,213,4.45,5122098363,141,74.4,5122098361,140,40.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704175311,25,1,1,1,22,9w3sjm5ml4sjr2v81oxzdrt8v,1,36.2,66.2,2024-07-28T12:04:38.873Z,2024-07-28T13:04:41Z,effgiwtme6eu08o1ninlnqqqd,D. Høegh,,,5122098385,56,Back,5122098387,140,18.5,5122098389,141,52.6,5122098393,213,3.60,5122098391,212,20.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704175319,26,43,1,1,23,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2024-07-28T12:04:39.848Z,2024-07-28T13:04:43Z,effgiwtme6eu08o1ninlnqqqd,D. Høegh,,,5122098411,141,44.3,5122098409,140,14.3,5122098407,56,Back,5122098415,213,3.58,5122234679,144,1,5122098413,212,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704175331,27,1,1,1,24,9w3sjm5ml4sjr2v81oxzdrt8v,1,17.4,46.2,2024-07-28T12:04:40.810Z,2024-07-28T13:04:47Z,dmxzug2enscx331w5vmdzn2s5,P. Izzo,,,5122098549,141,12.7,5122098551,212,24.9,5122098555,213,5.13,5122098545,56,Back,5122098547,140,26.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704175337,28,1,1,1,27,9w3sjm5ml4sjr2v81oxzdrt8v,0,27.3,8.8,2024-07-28T12:04:43.497Z,2024-07-28T13:04:56Z,6m5ftd7c68b2d4d2931xs5srt,O. Olsen,,,5122098605,1,,5122098595,56,Center,5122098601,212,57.0,5122098597,140,80.5,5122098603,213,0.20,5122098593,157,,5122098599,141,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704175339,18,59,1,1,28,cftj6g399tknheudaxsdpfdgb,1,21.3,71.1,2024-07-28T12:04:44.736Z,2024-07-28T12:04:51Z,9lgnm175tw163z53b8bmiu5pm,L. Lund,,,5122098609,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704175341,19,12,1,1,29,cftj6g399tknheudaxsdpfdgb,1,21.3,73.0,2024-07-28T12:04:45.441Z,2024-07-28T12:04:50Z,9lgnm175tw163z53b8bmiu5pm,L. Lund,,,5122098623,213,1.36,5122098621,212,19.5,5122098619,141,100.0,5122098707,15,,5122098617,140,25.2,5122098615,56,Back,5122098649,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704175343,20,5,1,1,29,cftj6g399tknheudaxsdpfdgb,0,26.4,101.5,2024-07-28T12:04:46.328Z,2024-07-28T12:31:03Z,9lgnm175tw163z53b8bmiu5pm,L. Lund,,,5122098625,56,Back,5122098627,347,,5122098675,233,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704175347,29,5,1,1,29,9w3sjm5ml4sjr2v81oxzdrt8v,1,73.6,-1.5,2024-07-28T12:04:46.328Z,2024-07-28T12:04:48Z,6m5ftd7c68b2d4d2931xs5srt,O. Olsen,,,5122098667,233,20,5122098653,347,,5122098651,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704175383,30,1,1,1,37,9w3sjm5ml4sjr2v81oxzdrt8v,1,72.4,0.0,2024-07-28T12:04:53.977Z,2024-07-28T13:05:14Z,ag40mk09zc8tzbkr7dnnqumay,N. Campbell,,,5122098877,213,1.51,5122098875,212,6.7,5122098869,56,Right,5122235633,189,,5122098871,140,72.8,5122098873,141,8.4,5122098867,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704175387,31,1,1,1,39,9w3sjm5ml4sjr2v81oxzdrt8v,1,84.8,21.9,2024-07-28T12:04:56.217Z,2024-07-28T13:09:07Z,5al9uyujlrlb17o4r5sapkkk4,M. Enggård,,,5122098899,141,44.4,5122098903,213,1.39,5122098901,212,15.6,5122098897,140,87.5,5122098895,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704175395,32,61,1,1,41,9w3sjm5ml4sjr2v81oxzdrt8v,0,77.2,38.0,2024-07-28T12:04:57.409Z,2024-07-28T13:09:09Z,54ipja7wrxji6kn8yw5uhr6ga,F. Danho,,,5122098933,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704175439,21,12,1,1,41,cftj6g399tknheudaxsdpfdgb,1,12.9,72.9,2024-07-28T12:04:58.208Z,2024-07-28T12:05:12Z,acp1ba2irpv5wfmxke7ucmaga,O. Bundgaard,,,5122099199,141,77.3,5122099195,56,Back,5122099203,213,0.10,5122099201,212,31.5,5122099197,140,42.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704175407,33,1,1,1,47,9w3sjm5ml4sjr2v81oxzdrt8v,1,54.0,24.4,2024-07-28T12:05:03.528Z,2024-07-28T12:05:05Z,effgiwtme6eu08o1ninlnqqqd,D. Høegh,,,5122099019,141,4.1,5122099023,213,5.43,5122099021,212,18.3,5122099015,56,Right,5122099017,140,65.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704175433,34,1,1,1,50,9w3sjm5ml4sjr2v81oxzdrt8v,1,66.6,4.9,2024-07-28T12:05:06.713Z,2024-07-28T12:05:11Z,6m5ftd7c68b2d4d2931xs5srt,O. Olsen,,,5122099163,140,77.0,5122099169,213,0.08,5122099167,212,11.0,5122099161,56,Right,5122099165,141,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704175443,35,1,1,1,54,9w3sjm5ml4sjr2v81oxzdrt8v,0,99.2,7.0,2024-07-28T12:05:10.889Z,2024-07-28T12:05:12Z,ag40mk09zc8tzbkr7dnnqumay,N. Campbell,,,5122099213,56,Center,5122099221,213,1.73,5122099219,212,22.3,5122099217,141,39.4,5122099211,155,,5122099209,2,,5122099215,140,95.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704175457,22,12,1,1,55,cftj6g399tknheudaxsdpfdgb,1,5.4,61.8,2024-07-28T12:05:12.175Z,2024-07-28T12:05:14Z,bp2ellllifbtxgf0p8qlbm1nt,S. Radić,,,5122099291,15,,5122099281,141,71.2,5122099283,212,11.8,5122099277,56,Back,5122099285,213,0.57,5122099279,140,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
