id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,qualifier/8/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId
2734790379,9,1,1,0,21,b3r6d8ydtmtjckam6pku9y400,1,40.4,10.3,2024-10-18T17:02:30.241Z,2024-10-18T17:02:33Z,9ic9msq3tj4gx8wqa6wfwk50q,G. Gocholeishvili,,,5290226083,212,11.5,5290226079,140,31.4,5290226087,213,2.53,5290226081,141,20.0,5290226077,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790411,10,1,1,0,26,b3r6d8ydtmtjckam6pku9y400,1,31.6,14.9,2024-10-18T17:02:34.513Z,2024-10-18T17:02:35Z,4cbaoo2irqtme9goxuz6s3ey2,Gabriel Pereira,,,5290226195,213,5.11,5290226191,141,7.6,5290226187,56,Back,5290226193,212,5.4,5290226189,140,33.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790451,11,1,1,0,27,b3r6d8ydtmtjckam6pku9y400,1,34.4,5.8,2024-10-18T17:02:35.793Z,2024-10-18T17:02:39Z,9ic9msq3tj4gx8wqa6wfwk50q,G. Gocholeishvili,,,5290226411,212,7.5,5290226407,140,29.9,5290226409,141,14.3,5290226405,56,Back,5290226413,213,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790495,12,1,1,0,31,b3r6d8ydtmtjckam6pku9y400,1,26.5,21.2,2024-10-18T17:02:39.569Z,2024-10-18T17:02:42Z,4cbaoo2irqtme9goxuz6s3ey2,Gabriel Pereira,,,5290226619,56,Back,5290226621,140,25.7,5290226633,1,,5290226623,141,69.7,5290226627,212,33.0,5290226629,213,1.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790527,13,1,1,0,34,b3r6d8ydtmtjckam6pku9y400,1,25.5,74.7,2024-10-18T17:02:42.433Z,2024-10-18T17:02:44Z,ayqy2vql1oumokqly9ahfrnx1,P. Hatzidiakos,,,5290226779,213,6.15,5290226771,56,Back,5290226777,212,9.4,5290226773,140,34.4,5290226775,141,72.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790541,14,1,1,0,36,b3r6d8ydtmtjckam6pku9y400,1,33.7,76.3,2024-10-18T17:02:44.560Z,2024-10-18T17:02:45Z,4gqnyyx3i92fayq6cxvekqwut,T. Delaney,,,5290226857,140,33.4,5290226863,213,1.59,5290226859,141,95.7,5290226855,56,Back,5290226861,212,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790585,15,1,1,0,37,b3r6d8ydtmtjckam6pku9y400,1,33.4,95.7,2024-10-18T17:02:45.857Z,2024-10-18T17:02:50Z,7xc0qldxpidl07vij2wgu1sk5,K. Diks,,,5290227029,212,11.4,5290227031,213,0.17,5290227023,56,Back,5290227027,141,98.6,5290227025,140,44.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790647,16,1,1,0,42,b3r6d8ydtmtjckam6pku9y400,1,41.7,73.5,2024-10-18T17:02:50.337Z,2024-10-18T17:02:54Z,bbezbukg20q5b6kfnjuzhs55g,Robert,,,5290227339,56,Back,5290227345,212,21.7,5290227341,140,33.9,5290227343,141,43.9,5290227347,213,4.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790711,17,1,1,0,47,b3r6d8ydtmtjckam6pku9y400,1,38.8,38.3,2024-10-18T17:02:55.425Z,2024-10-18T17:02:59Z,4cbaoo2irqtme9goxuz6s3ey2,Gabriel Pereira,,,5290227677,56,Back,5290227681,141,24.6,5290227685,213,5.37,5290227679,140,45.6,5290227683,212,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790737,18,1,1,0,50,b3r6d8ydtmtjckam6pku9y400,1,53.2,10.1,2024-10-18T17:02:59.233Z,2024-10-18T17:03:02Z,6tckvu2rw7ns18dq7dim0sout,M. Elyounoussi,,,5290227817,212,18.6,5290227811,56,Back,5290227815,141,31.5,5290227813,140,42.2,5290227819,213,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790769,19,1,1,0,54,b3r6d8ydtmtjckam6pku9y400,1,42.4,33.9,2024-10-18T17:03:03.089Z,2024-10-18T17:03:05Z,4cbaoo2irqtme9goxuz6s3ey2,Gabriel Pereira,,,5290228019,141,67.3,5290228021,212,22.9,5290228017,140,44.8,5290228023,213,1.46,5290228015,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790853,20,1,1,0,57,b3r6d8ydtmtjckam6pku9y400,1,51.4,74.4,2024-10-18T17:03:05.665Z,2024-10-18T17:03:12Z,ayqy2vql1oumokqly9ahfrnx1,P. Hatzidiakos,,,5290228495,56,Left,5290228503,213,1.02,5290228501,212,19.3,5290228497,140,61.0,5290228499,141,98.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790869,21,1,1,1,3,b3r6d8ydtmtjckam6pku9y400,1,61.7,96.8,2024-10-18T17:03:12.224Z,2024-10-18T17:03:13Z,bbezbukg20q5b6kfnjuzhs55g,Robert,,,5290228595,213,3.39,5290228591,141,94.4,5290228593,212,6.6,5290228589,140,55.6,5290228587,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790909,22,1,1,1,5,b3r6d8ydtmtjckam6pku9y400,1,54.9,94.4,2024-10-18T17:03:13.312Z,2024-10-18T17:04:31Z,4gqnyyx3i92fayq6cxvekqwut,T. Delaney,,,5290228787,212,19.9,5290228781,56,Back,5290228783,140,41.8,5290228785,141,73.2,5290228791,213,3.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790935,23,1,1,1,8,b3r6d8ydtmtjckam6pku9y400,1,42.0,76.1,2024-10-18T17:03:17.040Z,2024-10-18T17:03:18Z,ayqy2vql1oumokqly9ahfrnx1,P. Hatzidiakos,,,5290228875,56,Back,5290228883,212,14.8,5290228877,140,49.5,5290228885,213,1.01,5290228879,141,94.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790999,24,1,1,1,10,b3r6d8ydtmtjckam6pku9y400,1,49.5,94.5,2024-10-18T17:03:18.769Z,2024-10-18T17:03:23Z,4gqnyyx3i92fayq6cxvekqwut,T. Delaney,,,5290229249,212,40.2,5290229253,1,,5290229243,56,Center,5290229247,141,76.9,5290229251,213,5.98,5290229245,140,86.0,5290229241,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734791005,25,1,1,1,14,b3r6d8ydtmtjckam6pku9y400,0,93.7,76.9,2024-10-18T17:03:23.088Z,2024-10-18T17:03:23Z,7hw1plnv7nvxnqpnfnxcxszpx,A. Cornelius,,,5290229303,213,4.71,5290229297,140,93.7,5290229295,56,Center,5290229301,212,1.2,5290229299,141,75.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734791017,3,61,1,1,15,c165yjiny1qnmfdvefxvflnkc,1,9.1,26.5,2024-10-18T17:03:23.848Z,2024-10-18T17:03:23Z,6ylzm57bvpufg3cenadtv7qhh,D. van Bruggen,,,5290229357,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734791063,4,12,1,1,16,c165yjiny1qnmfdvefxvflnkc,1,11.6,33.9,2024-10-18T17:03:25.078Z,2024-10-18T18:00:04Z,7uia9zlz3axnuc6usdn9u4kfe,L. Hetemi,,,5290229601,213,5.79,5290229599,212,4.8,5290229597,141,30.6,5290229595,140,15.6,5290229593,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734791059,26,13,1,1,17,b3r6d8ydtmtjckam6pku9y400,1,84.4,70.9,2024-10-18T17:03:26.193Z,2024-10-18T18:01:14Z,bbezbukg20q5b6kfnjuzhs55g,Robert,,,5290229575,56,Center,5290229571,22,,5290230605,458,,5290230601,103,70.8,5290230603,328,,5290442715,108,,5290230607,230,99.1,5290230609,231,52.3,5290230425,72,5290230599,102,53.9,5290230597,74,5290229573,64,,,,,,,,,,,,,,,,,,,,,,,,,
2734791225,5,5,1,1,19,c165yjiny1qnmfdvefxvflnkc,1,-1.2,40.5,2024-10-18T17:03:27.406Z,2024-10-18T17:18:25Z,7uia9zlz3axnuc6usdn9u4kfe,L. Hetemi,,,5290230497,233,27,5290230467,346,,5290230465,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734791075,27,5,1,1,19,b3r6d8ydtmtjckam6pku9y400,0,101.2,59.5,2024-10-18T17:03:27.406Z,2024-10-18T17:18:25Z,bbezbukg20q5b6kfnjuzhs55g,Robert,,,5290229673,56,Center,5290229675,346,,5290230515,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734791363,6,1,1,1,39,c165yjiny1qnmfdvefxvflnkc,1,4.5,60.5,2024-10-18T17:03:47.662Z,2024-10-18T17:03:50Z,7hukebiijqntuvetwzralzuju,O. Provstgaard,,,5290231223,237,,5290231209,140,4.3,5290231211,141,49.3,5290231207,56,Back,5290231215,213,4.68,5290231205,124,,5290231213,212,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734791403,7,1,1,1,42,c165yjiny1qnmfdvefxvflnkc,1,4.8,47.5,2024-10-18T17:03:50.743Z,2024-10-18T17:03:53Z,53y263xxfdf1itytiqhg3v6c5,I. Vekić,,,5290231345,140,25.1,5290231341,155,,5290231351,213,5.36,5290231343,56,Back,5290231347,141,6.2,5290231349,212,35.3,5290231353,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734791425,8,1,1,1,45,c165yjiny1qnmfdvefxvflnkc,0,25.1,6.2,2024-10-18T17:03:53.430Z,2024-10-18T17:03:55Z,1xjhud4hyekcg08nue1iosmsq,T. Gundelund,,,5290231479,213,0.34,5290231477,212,19.5,5290231471,56,Back,5290231475,141,15.9,5290231473,140,42.6,5290231469,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734791449,28,1,1,1,48,b3r6d8ydtmtjckam6pku9y400,0,54.4,94.8,2024-10-18T17:03:56.673Z,2024-10-18T18:01:53Z,7xc0qldxpidl07vij2wgu1sk5,K. Diks,,,5290231621,212,10.8,5290231625,213,6.07,5290231609,56,Left,5290231617,141,91.4,5290231607,3,,5290231613,140,64.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734791447,9,43,1,1,48,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2024-10-18T17:03:57.230Z,2024-10-18T18:00:43Z,7uia9zlz3axnuc6usdn9u4kfe,L. Hetemi,,,5290231601,56,Back,5290440561,144,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734831239,515,1,1,1,49,b3r6d8ydtmtjckam6pku9y400,1,61.9,87.7,2024-10-18T17:03:57.246Z,2024-10-18T18:01:53Z,8g4r9maz4invihjmdzpfxy0np,V. Claesson,,,5290445753,140,64.2,5290445755,141,77.2,5290445757,212,7.5,5290445751,56,Center,5290445759,213,5.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734791485,29,1,1,1,50,b3r6d8ydtmtjckam6pku9y400,1,71.6,67.5,2024-10-18T17:03:59.122Z,2024-10-18T18:02:08Z,7hw1plnv7nvxnqpnfnxcxszpx,A. Cornelius,,,5290231759,213,2.99,5290231757,212,8.4,5290231753,140,63.7,5290231751,56,Center,5290446953,156,,5290231755,141,69.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734791555,31,1,1,1,52,b3r6d8ydtmtjckam6pku9y400,1,63.6,68.1,2024-10-18T17:04:00.800Z,2024-10-18T18:02:15Z,al9l7egkwbc0pv68zk42gegut,L. Lerager,,,5290232057,56,Center,5290232063,212,11.7,5290232059,140,74.6,5290232061,141,71.2,5290232065,213,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734791561,32,1,1,1,53,b3r6d8ydtmtjckam6pku9y400,0,71.9,69.5,2024-10-18T17:04:01.760Z,2024-10-18T18:03:18Z,bbezbukg20q5b6kfnjuzhs55g,Robert,,,5290232099,141,67.7,5290232095,56,Center,5290232101,212,1.4,5290232103,213,5.19,5290232097,140,72.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734791505,10,61,1,1,54,c165yjiny1qnmfdvefxvflnkc,1,25.4,37.3,2024-10-18T17:04:02.759Z,2024-10-18T18:03:14Z,1ykl08k2c2kwxukw0gvslf6qd,S. Velkov,,,5290231833,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734791559,11,12,1,1,55,c165yjiny1qnmfdvefxvflnkc,1,24.7,39.1,2024-10-18T17:04:03.518Z,2024-10-18T18:01:06Z,7hukebiijqntuvetwzralzuju,O. Provstgaard,,,5290232089,213,6.10,5290232087,212,27.1,5290232081,56,Center,5290232083,140,50.1,5290232085,141,31.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734791661,34,1,1,1,58,b3r6d8ydtmtjckam6pku9y400,1,44.2,66.4,2024-10-18T17:04:07.136Z,2024-10-18T18:03:43Z,ayqy2vql1oumokqly9ahfrnx1,P. Hatzidiakos,,,5290232611,3,,5290232615,140,57.3,5290232617,141,63.8,5290232613,56,Center,5290232621,213,6.16,5290232619,212,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734791631,33,1,1,1,59,b3r6d8ydtmtjckam6pku9y400,0,55.3,65.0,2024-10-18T17:04:07.637Z,2024-10-18T18:03:44Z,al9l7egkwbc0pv68zk42gegut,L. Lerager,,,5290452659,236,,5290232485,141,67.7,5290232481,56,Center,5290452661,233,12,5290232489,213,1.05,5290452665,286,,5290232483,140,56.3,5290232487,212,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734791607,12,74,1,1,59,c165yjiny1qnmfdvefxvflnkc,1,44.2,34.2,2024-10-18T17:04:07.638Z,2024-10-18T18:03:19Z,22zuxw8lez5w4vjd8spzzysyc,T. Lauritsen,,,5290232347,285,,5290453827,233,33,5290232345,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734791687,14,1,1,2,1,c165yjiny1qnmfdvefxvflnkc,1,63.6,43.3,2024-10-18T17:04:09.790Z,2024-10-18T17:05:11Z,22zuxw8lez5w4vjd8spzzysyc,T. Lauritsen,1.0,,5290233673,154,,5290232747,56,Center,5290232749,140,77.4,5290232753,212,19.0,5290233671,210,15,5290232751,141,61.4,5290232755,213,0.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734791689,15,15,1,2,3,c165yjiny1qnmfdvefxvflnkc,1,90.8,67.7,2024-10-18T17:04:12.174Z,2024-10-18T17:09:12Z,1yqlkot5sh85ot3eemo67djv9,Y. N'Gbakoto,,,5290233715,102,51.8,5290233019,72,,5290232771,64,,5290233711,55,14,5290232769,22,,5290236839,82,,5290254387,233,35,5290236841,146,93.3,5290236837,78,5290233707,29,,5290233709,154,5290236843,147,63.4,5290232773,56,Center,5290233717,103,19,5290233719,230,97.8,5290233721,231,54.0,,,,,,,,,,,,
2734791817,35,10,1,2,4,b3r6d8ydtmtjckam6pku9y400,1,6.7,36.6,2024-10-18T17:04:12.274Z,2024-10-18T17:09:13Z,4cbaoo2irqtme9goxuz6s3ey2,Gabriel Pereira,,,5290233463,56,Back,5290254415,233,15,5290233461,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734791699,16,43,1,2,5,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2024-10-18T17:04:13.639Z,2024-10-18T17:05:05Z,1yqlkot5sh85ot3eemo67djv9,Y. N'Gbakoto,,,5290232819,56,Center,5290232821,346,0,5290236319,144,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734791977,17,6,1,2,17,c165yjiny1qnmfdvefxvflnkc,1,92.0,62.6,2024-10-18T17:04:25.936Z,2024-10-18T17:46:28Z,1yqlkot5sh85ot3eemo67djv9,Y. N'Gbakoto,,,5290234339,56,Center,5290254263,233,36,5290234341,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734791829,36,6,1,2,17,b3r6d8ydtmtjckam6pku9y400,0,8.0,37.4,2024-10-18T17:04:25.936Z,2024-10-18T17:46:28Z,4cbaoo2irqtme9goxuz6s3ey2,Gabriel Pereira,,,5290233623,73,,5290233617,56,Back,5290254273,233,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734792021,18,1,1,2,30,c165yjiny1qnmfdvefxvflnkc,1,99.5,99.5,2024-10-18T17:04:38.638Z,2024-10-18T17:05:50Z,1yqlkot5sh85ot3eemo67djv9,Y. N'Gbakoto,,,5290234535,141,96.3,5290234529,6,,5290234531,56,Left,5290234533,140,93.4,5290234537,212,6.8,5290234539,213,3.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734792035,19,43,1,2,31,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2024-10-18T17:04:39.310Z,2024-10-18T17:04:57Z,1yqlkot5sh85ot3eemo67djv9,Y. N'Gbakoto,,,5290234601,140,87.4,5290235793,144,1,5290234599,56,Left,5290234605,212,6.3,5290234607,213,3.25,5290234603,141,95.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734792043,20,1,1,2,32,c165yjiny1qnmfdvefxvflnkc,1,96.0,91.0,2024-10-18T17:04:41.127Z,2024-10-18T17:05:49Z,7rtrg77m3xozgfhu3p2ihfey2,M. Juwara,,,5290239977,140,91.6,5290239981,212,5.2,5290239979,141,94.4,5290239975,56,Left,5290239983,213,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
