id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/8/value,qualifier/9/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2737152143,7,5,1,0,11,5rz9enoyknpg8ji78za5b82p0,0,43.6,101.4,2024-10-21T17:02:05.048Z,2024-10-21T17:06:39Z,cgkvw4q8ddcjl0po181upzwx6,E. Kahl,,5302979985,233,4,5302979319,347,,5302979317,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2737152271,5,1,1,0,28,9qsmopgutr7ut5g6workk8w4i,1,49.0,0.0,2024-10-21T17:02:21.261Z,2024-10-21T17:02:28Z,hsobzlp177f9755mpsi7szmy,S. Sebulonsen,,5302980015,141,15.6,5302980237,189,,5302980019,213,2.68,5302980021,1,,5302980011,56,Back,5302980009,107,,5302980017,212,25.7,5302980013,140,27.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2737152277,6,1,1,0,29,9qsmopgutr7ut5g6workk8w4i,1,26.8,15.9,2024-10-21T17:02:22.829Z,2024-10-21T17:02:29Z,56sjqxlsf5iitgww0hogez8ph,J. Vanlerberghe,,5302980045,141,39.8,5302980049,213,2.32,5302980041,56,Back,5302980043,140,12.5,5302980047,212,22.1,5302980241,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2737152283,7,1,1,0,30,9qsmopgutr7ut5g6workk8w4i,0,12.5,39.8,2024-10-21T17:02:24.109Z,2024-10-21T17:02:24Z,4ilnnpfgjfz35lni9ppzd93v9,P. Pentz,,5302980085,212,32.5,5302980079,56,Back,5302980089,1,,5302980081,140,27.5,5302980083,141,0.0,5302980087,213,5.22,5302980077,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2737152287,8,5,1,0,31,9qsmopgutr7ut5g6workk8w4i,0,26.6,-2.0,2024-10-21T17:02:24.716Z,2024-10-21T17:06:39Z,4ilnnpfgjfz35lni9ppzd93v9,P. Pentz,,5302980117,347,,5302980115,56,Back,5302980211,233,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2737152297,8,5,1,0,31,5rz9enoyknpg8ji78za5b82p0,1,73.4,102.0,2024-10-21T17:02:24.716Z,2024-10-21T17:06:39Z,cgkvw4q8ddcjl0po181upzwx6,E. Kahl,,5302980171,56,Left,5302980195,233,8,5302980173,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2737152309,9,1,1,0,33,5rz9enoyknpg8ji78za5b82p0,1,78.7,100.0,2024-10-21T17:02:26.809Z,2024-10-21T17:02:29Z,4vmgmzg2004twoc39sk7zkzqh,G. Links,,5302980251,212,35.0,5302980245,56,Back,5302980253,213,3.51,5302980249,141,83.5,5302980255,1,,5302980243,107,,5302980247,140,47.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2737270487,917,83,1,0,35,9qsmopgutr7ut5g6workk8w4i,1,51.9,9.4,2024-10-21T17:02:28.696Z,2024-10-21T20:31:49Z,53nd6a4o02ebb0w2s12prijje,Y. Suzuki,,5303644117,399,cgkvw4q8ddcjl0po181upzwx6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2737152323,10,1,1,0,36,5rz9enoyknpg8ji78za5b82p0,1,47.4,83.4,2024-10-21T17:02:29.847Z,2024-10-21T17:02:32Z,cgkvw4q8ddcjl0po181upzwx6,E. Kahl,,5302980367,213,3.96,5302980363,141,53.6,5302980361,140,29.5,5302980359,56,Back,5302980365,212,27.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2737152341,11,1,1,0,39,5rz9enoyknpg8ji78za5b82p0,1,30.0,53.4,2024-10-21T17:02:32.567Z,2024-10-21T17:02:35Z,6my7s0ezr6jldotm1w6nk7b9x,F. Tingager,,5302980455,212,18.9,5302980451,140,13.5,5302980453,141,42.4,5302980457,213,3.55,5302980449,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2737152351,12,1,1,0,41,5rz9enoyknpg8ji78za5b82p0,1,13.5,42.4,2024-10-21T17:02:35.095Z,2024-10-21T17:02:36Z,1h31bvtbae4q0edlp0u672hn9,J. Hansen,,5302980505,141,55.1,5302980501,56,Back,5302980509,213,0.84,5302980507,212,11.5,5302980503,140,20.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2737152363,13,1,1,0,43,5rz9enoyknpg8ji78za5b82p0,1,20.8,54.5,2024-10-21T17:02:36.311Z,2024-10-21T17:02:38Z,6my7s0ezr6jldotm1w6nk7b9x,F. Tingager,,5302980569,140,25.9,5302980575,213,4.91,5302980571,141,15.3,5302980567,56,Back,5302980573,212,27.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2737152399,14,1,1,0,45,5rz9enoyknpg8ji78za5b82p0,1,25.9,15.3,2024-10-21T17:02:38.247Z,2024-10-21T17:02:41Z,aswmi1pnkzkvkexp8ngief6j9,F. Beijmo,,5302980705,56,Back,5302980711,212,22.4,5302980713,213,1.93,5302980709,141,46.1,5302980707,140,18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2737152441,15,1,1,0,48,5rz9enoyknpg8ji78za5b82p0,1,21.9,52.3,2024-10-21T17:02:41.288Z,2024-10-21T17:02:46Z,6my7s0ezr6jldotm1w6nk7b9x,F. Tingager,,5302980901,213,1.30,5302980895,140,29.1,5302980899,212,27.8,5302980897,141,91.7,5302980893,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2737152453,16,1,1,0,53,5rz9enoyknpg8ji78za5b82p0,1,34.0,84.4,2024-10-21T17:02:46.392Z,2024-10-21T17:02:48Z,cgkvw4q8ddcjl0po181upzwx6,E. Kahl,,5302980981,56,Back,5302980985,141,56.7,5302980983,140,25.5,5302980987,212,20.8,5302980989,213,4.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2737152471,17,1,1,0,55,5rz9enoyknpg8ji78za5b82p0,1,26.8,63.2,2024-10-21T17:02:48.711Z,2024-10-21T17:02:51Z,6my7s0ezr6jldotm1w6nk7b9x,F. Tingager,,5302981089,141,82.9,5302981087,140,22.3,5302981093,213,1.91,5302981085,56,Back,5302981091,212,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2737152525,18,1,1,0,57,5rz9enoyknpg8ji78za5b82p0,1,23.3,87.6,2024-10-21T17:02:51Z,2024-10-21T17:02:59Z,cgkvw4q8ddcjl0po181upzwx6,E. Kahl,,5302981395,1,,5302981385,56,Left,5302981389,141,84.1,5302981391,212,64.8,5302981387,140,85.0,5302981383,155,,5302981393,213,6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2737152541,19,1,1,1,6,5rz9enoyknpg8ji78za5b82p0,0,98.1,86.9,2024-10-21T17:02:59.336Z,2024-10-21T20:32:07Z,4vmgmzg2004twoc39sk7zkzqh,G. Links,,5302981455,141,49.6,5303644931,224,,5302981459,213,4.58,5302981447,2,,5303644933,72,,5302981451,56,Center,5302981457,212,25.6,5302981453,140,94.8,5302981449,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2737152551,9,12,1,1,8,9qsmopgutr7ut5g6workk8w4i,1,7.3,44.6,2024-10-21T17:03:01.389Z,2024-10-21T17:03:02Z,bnar4f48vnx4oaz2lzch48es5,J. Rasmussen,,5302981513,140,13.3,5302981517,212,21.3,5302981535,15,,5302981511,56,Back,5302981519,213,5.01,5302981515,141,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2737152577,10,1,1,1,10,9qsmopgutr7ut5g6workk8w4i,1,12.3,13.5,2024-10-21T17:03:03.309Z,2024-10-21T17:03:05Z,hsobzlp177f9755mpsi7szmy,S. Sebulonsen,,5302981653,56,Back,5302981657,141,7.9,5302981661,213,5.94,5302981659,212,11.2,5302981655,140,22.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2737152605,12,1,1,1,13,9qsmopgutr7ut5g6workk8w4i,0,23.0,7.9,2024-10-21T17:03:06.269Z,2024-10-21T17:03:08Z,94didhw8o1blxonn4amoahcr9,J. Radošević,,5302981789,213,0.11,5302981787,212,49.0,5302981783,140,69.4,5302981785,141,15.8,5302981781,56,Right,5302981791,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2737152649,21,1,1,1,17,5rz9enoyknpg8ji78za5b82p0,1,29.7,94.4,2024-10-21T17:03:10.792Z,2024-10-21T17:03:15Z,6my7s0ezr6jldotm1w6nk7b9x,F. Tingager,,5302981999,141,62.8,5302982001,212,31.5,5302981997,140,7.8,5302981995,56,Back,5302982003,213,3.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2737152691,22,1,1,1,22,5rz9enoyknpg8ji78za5b82p0,1,7.8,50.2,2024-10-21T17:03:15.544Z,2024-10-21T17:03:20Z,1h31bvtbae4q0edlp0u672hn9,J. Hansen,,5302982229,56,Back,5302982237,213,5.44,5302982233,141,22.7,5302982235,212,25.1,5302982231,140,23.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2737152735,23,1,1,1,27,5rz9enoyknpg8ji78za5b82p0,1,24.4,28.3,2024-10-21T17:03:20.759Z,2024-10-21T17:03:26Z,aswmi1pnkzkvkexp8ngief6j9,F. Beijmo,,5302982469,140,26.4,5302982495,189,,5302982475,213,1.50,5302982471,141,72.0,5302982467,56,Back,5302982473,212,29.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2737152783,24,1,1,1,36,5rz9enoyknpg8ji78za5b82p0,1,33.4,76.1,2024-10-21T17:03:29.960Z,2024-10-21T17:03:31Z,cgkvw4q8ddcjl0po181upzwx6,E. Kahl,,5302982695,141,73.1,5302982691,56,Center,5302982699,213,6.19,5302982697,212,22.8,5302982693,140,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2737152813,25,1,1,1,38,5rz9enoyknpg8ji78za5b82p0,1,56.1,73.1,2024-10-21T17:03:31.783Z,2024-10-21T17:03:36Z,43q9ytkbmtk5y3tgv77v7pmg9,M. Madsen,,5302982841,56,Center,5302982847,212,16.8,5302982843,140,71.5,5302982845,141,66.4,5302982849,213,6.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2737152863,26,1,1,1,43,5rz9enoyknpg8ji78za5b82p0,1,69.5,64.8,2024-10-21T17:03:36.679Z,2024-10-21T17:03:41Z,4vmgmzg2004twoc39sk7zkzqh,G. Links,,5302983135,141,1.9,5302983127,155,,5302983139,213,4.89,5302983131,56,Right,5302983141,1,,5302983137,212,43.4,5302983133,140,76.7,5302983129,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2737152897,27,1,1,1,48,5rz9enoyknpg8ji78za5b82p0,1,76.7,3.9,2024-10-21T17:03:41.511Z,2024-10-21T17:03:45Z,3gemcjqban843su9c9y5l2sk4,J. Andersen,,5302983345,140,85.6,5302983351,213,0.32,5302983339,56,Right,5302983349,212,9.8,5302983347,141,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2737152913,28,1,1,1,52,5rz9enoyknpg8ji78za5b82p0,1,79.9,18.3,2024-10-21T17:03:45.639Z,2024-10-21T17:03:47Z,61sojkdsmaz9hbwaskt4rws15,M. Anderson,,5302983427,141,33.6,5302983423,56,Center,5302983429,212,11.0,5302983431,213,1.91,5302983425,140,76.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2737152927,29,1,1,1,53,5rz9enoyknpg8ji78za5b82p0,1,77.3,33.4,2024-10-21T17:03:46.967Z,2024-10-21T17:03:48Z,8og8nxbkcb63van4llvpkbe8l,N. Poulsen,,5302983481,212,8.1,5302983475,56,Center,5302983479,141,38.0,5302983483,213,0.40,5302983477,140,84.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2737152931,30,1,1,1,55,5rz9enoyknpg8ji78za5b82p0,1,84.4,38.0,2024-10-21T17:03:48.296Z,2024-10-21T17:03:49Z,43q9ytkbmtk5y3tgv77v7pmg9,M. Madsen,,5302983507,56,Center,5302983515,213,3.79,5302983527,156,,5302983513,212,8.9,5302983509,140,77.7,5302983511,141,30.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2737152947,31,1,1,1,56,5rz9enoyknpg8ji78za5b82p0,1,77.7,30.1,2024-10-21T17:03:49.559Z,2024-10-21T17:03:50Z,3gemcjqban843su9c9y5l2sk4,J. Andersen,,5302983665,213,4.96,5302983659,140,80.8,5302983661,141,11.5,5302983657,56,Right,5302983663,212,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2737152961,32,1,1,1,57,5rz9enoyknpg8ji78za5b82p0,1,80.8,11.5,2024-10-21T17:03:50.807Z,2024-10-21T17:03:52Z,aswmi1pnkzkvkexp8ngief6j9,F. Beijmo,,5302983777,213,2.18,5302983773,141,26.2,5302983771,140,74.1,5302983769,56,Center,5302983775,212,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2737152981,33,1,1,1,59,5rz9enoyknpg8ji78za5b82p0,1,74.1,26.2,2024-10-21T17:03:52.423Z,2024-10-21T17:03:55Z,61sojkdsmaz9hbwaskt4rws15,M. Anderson,,5302983869,213,5.76,5302983865,141,18.3,5302983863,140,82.9,5302983867,212,10.7,5302983861,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2737153027,34,1,1,2,2,5rz9enoyknpg8ji78za5b82p0,1,88.5,18.3,2024-10-21T17:03:55.495Z,2024-10-21T17:04:09Z,43q9ytkbmtk5y3tgv77v7pmg9,M. Madsen,1.0,5302984069,56,Center,5302984417,154,,5302984075,212,8.4,5302984071,140,91.8,5302984415,210,13,5302984077,213,1.15,5302984073,141,29.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2737153029,35,13,1,2,3,5rz9enoyknpg8ji78za5b82p0,1,93.7,29.0,2024-10-21T17:03:56.350Z,2024-10-21T20:33:56Z,61sojkdsmaz9hbwaskt4rws15,M. Anderson,,5302984435,231,46.6,5302984115,22,,5302984255,20,,5302984423,154,,5302984431,103,52.8,5302984429,102,55.6,5302984419,85,,5302984119,56,Center,5303649409,120,5302984421,29,5302984425,55,34,5302984117,63,5302984433,230,99.9,,,,,,,,,,,,,,,,,,,,,,,,,,
2737153127,13,5,1,2,5,9qsmopgutr7ut5g6workk8w4i,1,-0.8,48.4,2024-10-21T17:03:58.717Z,2024-10-21T17:06:40Z,bnar4f48vnx4oaz2lzch48es5,J. Rasmussen,,5302984733,346,,5302984735,233,36,5302984731,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2737153031,36,5,1,2,5,5rz9enoyknpg8ji78za5b82p0,0,100.8,51.6,2024-10-21T17:03:58.717Z,2024-10-21T17:06:40Z,61sojkdsmaz9hbwaskt4rws15,M. Anderson,,5302984739,233,13,5302984131,56,Center,5302984133,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2737153135,14,1,1,2,27,9qsmopgutr7ut5g6workk8w4i,1,2.4,41.9,2024-10-21T17:04:20.700Z,2024-10-21T17:04:23Z,506kxojakimt5s0v2c4q6b33e,F. Alves,,5302984785,56,Back,5302984789,141,49.7,5302984791,212,5.3,5302984783,124,,5302984787,140,2.1,5302984797,237,,5302984793,213,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2737153169,15,1,1,2,29,9qsmopgutr7ut5g6workk8w4i,0,11.0,49.7,2024-10-21T17:04:23.084Z,2024-10-21T17:04:28Z,4ilnnpfgjfz35lni9ppzd93v9,P. Pentz,,5302984971,140,61.4,5302984969,56,Center,5302984981,213,5.99,5302984967,157,,5302984973,141,25.8,5302984977,212,55.4,5302984983,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2737153181,37,44,1,2,34,5rz9enoyknpg8ji78za5b82p0,1,40.7,78.1,2024-10-21T17:04:27.627Z,2024-10-21T17:06:42Z,cgkvw4q8ddcjl0po181upzwx6,E. Kahl,,5302985037,285,,5302985069,233,16,5302985035,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2737153179,16,44,1,2,34,9qsmopgutr7ut5g6workk8w4i,0,59.3,21.9,2024-10-21T17:04:27.628Z,2024-10-21T17:06:43Z,hsobzlp177f9755mpsi7szmy,S. Sebulonsen,,5302985033,286,,5302985031,56,Center,5302985073,233,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2737153189,38,1,1,2,34,5rz9enoyknpg8ji78za5b82p0,0,40.2,85.7,2024-10-21T17:04:28.039Z,2024-10-21T17:04:29Z,cgkvw4q8ddcjl0po181upzwx6,E. Kahl,,5302985085,140,49.7,5302985091,213,5.03,5302985081,3,,5302985089,212,32.3,5302985093,1,,5302985083,56,Back,5302985087,141,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2737153225,17,61,1,2,41,9qsmopgutr7ut5g6workk8w4i,0,58.9,91.1,2024-10-21T17:04:34.877Z,2024-10-21T17:04:35Z,chteizjcvxpvze9p77gcttcoa,N. Vallys,,5302985267,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
