id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2818876999,6,1,1,0,10,9w3sjm5ml4sjr2v81oxzdrt8v,0,63.1,16.2,2025-05-25T15:01:19.977Z,2025-05-25T15:53:38Z,606hufq6dapf3qxcgilbc8tt5,S. Nordli,,,5750003377,141,22.4,5750003375,140,67.3,5750003379,212,6.1,5750003455,286,,5750003381,213,0.76,5750003451,233,6,5750003373,56,Center,5750003449,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818877009,6,74,1,0,10,59as3grjvj19voay31j3yfgni,1,25.9,76.7,2025-05-25T15:01:19.978Z,2025-05-25T17:04:30Z,bwfg9frq2ecbzg7wlzqjtnv2s,P. Bravo,,,5750003427,56,Back,5750003429,285,,5750003471,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818877049,7,1,1,0,13,9w3sjm5ml4sjr2v81oxzdrt8v,1,60.2,15.3,2025-05-25T15:01:23.433Z,2025-05-25T15:01:25Z,brsecgiiou4wcogoimzawyhp0,L. Pedersen,,,5750003667,212,19.4,5750003661,56,Center,5750003665,141,43.3,5750003669,213,1.76,5750003663,140,56.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818877065,8,1,1,0,16,9w3sjm5ml4sjr2v81oxzdrt8v,1,56.9,43.3,2025-05-25T15:01:25.768Z,2025-05-25T15:01:27Z,6uj3c69lgu6boblkjiuhoy6eh,J. Björkengren,,,5750003743,56,Left,5750003747,141,81.1,5750003751,213,1.69,5750003745,140,53.9,5750003749,212,25.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818877079,9,1,1,0,18,9w3sjm5ml4sjr2v81oxzdrt8v,1,53.9,81.1,2025-05-25T15:01:27.860Z,2025-05-25T15:01:28Z,60z63hezwwosjnhvamcwxtre1,N. Dyhr,,,5750003811,140,51.5,5750003817,213,4.55,5750003815,212,15.4,5750003813,141,58.8,5750003809,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818877111,10,1,1,0,19,9w3sjm5ml4sjr2v81oxzdrt8v,1,51.5,58.8,2025-05-25T15:01:28.761Z,2025-05-25T15:01:31Z,6uj3c69lgu6boblkjiuhoy6eh,J. Björkengren,,,5750003965,56,Back,5750003967,140,41.5,5750003973,213,4.12,5750003971,212,18.7,5750003969,141,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818877207,11,1,1,0,21,9w3sjm5ml4sjr2v81oxzdrt8v,1,41.5,36.0,2025-05-25T15:01:30.873Z,2025-05-25T15:01:38Z,effgiwtme6eu08o1ninlnqqqd,D. Høegh,,,5750004491,141,50.9,5750004495,213,2.75,5750004489,140,18.1,5750004493,212,26.6,5750004487,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818877269,12,1,1,0,28,9w3sjm5ml4sjr2v81oxzdrt8v,1,19.9,40.3,2025-05-25T15:01:37.928Z,2025-05-25T15:01:41Z,dmxzug2enscx331w5vmdzn2s5,P. Izzo,,,5750004789,141,9.4,5750004793,213,5.81,5750004785,56,Right,5750004787,140,58.6,5750004783,155,,5750004795,1,,5750004791,212,45.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818877293,13,44,1,0,31,9w3sjm5ml4sjr2v81oxzdrt8v,1,60.4,11.2,2025-05-25T15:01:41Z,2025-05-25T17:04:05Z,6m5ftd7c68b2d4d2931xs5srt,O. Olsen,,,5750004969,233,7,5750004923,286,,5750004921,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818877263,7,44,1,0,31,59as3grjvj19voay31j3yfgni,0,39.6,88.8,2025-05-25T15:01:41.001Z,2025-05-25T17:04:05Z,8mn8apr6n7t7s6lx4d4vvdnca,V. Bak Jensen,,,5750004773,285,,5750004989,233,13,5750004771,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818877313,14,1,1,0,32,9w3sjm5ml4sjr2v81oxzdrt8v,0,59.5,8.0,2025-05-25T15:01:42.473Z,2025-05-25T15:01:43Z,6m5ftd7c68b2d4d2931xs5srt,O. Olsen,,,5750005055,212,26.5,5750005045,56,Center,5750005051,141,31.3,5750005057,213,0.64,5750005041,3,,5750005047,140,79.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818877345,8,1,1,0,33,59as3grjvj19voay31j3yfgni,1,20.8,76.3,2025-05-25T15:01:43.497Z,2025-05-25T15:01:45Z,c3sp1x0shf2b24rl5ike6v0iy,Lee Han-Beom,,,5750005219,141,59.9,5750005221,212,20.2,5750005215,56,Back,5750005217,140,4.8,5750005223,213,3.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818877421,10,1,1,0,36,59as3grjvj19voay31j3yfgni,1,3.6,56.4,2025-05-25T15:01:46.281Z,2025-05-25T15:01:49Z,41ii5y9ebz5e3xhaif9kc8qmt,J. Lössl,,,5750005589,141,28.5,5750005593,212,20.3,5750005587,140,10.5,5750005585,56,Back,5750005595,213,5.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818877451,11,1,1,0,39,59as3grjvj19voay31j3yfgni,0,10.4,28.0,2025-05-25T15:01:49.625Z,2025-05-25T15:01:51Z,fwu0bja02waqct7l682s5mfp,K. Mbabu,,,5750005737,141,92.1,5750005731,157,,5750005741,213,1.08,5750005735,140,32.8,5750005739,212,49.5,5750005733,56,Back,5750005743,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818877471,15,1,1,0,42,9w3sjm5ml4sjr2v81oxzdrt8v,0,58.7,11.6,2025-05-25T15:01:52.122Z,2025-05-25T15:01:52Z,6m5ftd7c68b2d4d2931xs5srt,O. Olsen,,,5750005871,212,23.4,5750005863,3,,5750005865,56,Center,5750005867,140,79.8,5750005873,213,0.33,5750005869,141,22.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818877523,12,1,1,0,46,59as3grjvj19voay31j3yfgni,0,18.1,88.4,2025-05-25T15:01:56.121Z,2025-05-25T15:01:56Z,a87w6l9zsbahdi4knm1347zs9,M. Bech,,,5750006151,212,2.3,5750006147,140,19.8,5750006155,213,0.70,5750006145,56,Back,5750006149,141,90.6,5750006181,233,16,5750006185,286,,5750006179,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818877511,16,74,1,0,46,9w3sjm5ml4sjr2v81oxzdrt8v,1,78.2,5.0,2025-05-25T15:01:56.122Z,2025-05-25T15:01:57Z,6m5ftd7c68b2d4d2931xs5srt,O. Olsen,,,5750006121,56,Right,5750006123,285,,5750006205,233,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818877567,13,5,1,0,48,59as3grjvj19voay31j3yfgni,1,2.2,101.8,2025-05-25T15:01:58.393Z,2025-05-25T17:03:10Z,a87w6l9zsbahdi4knm1347zs9,M. Bech,,,5750006417,56,Back,5750006419,347,,5750009321,233,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818877989,17,5,1,0,48,9w3sjm5ml4sjr2v81oxzdrt8v,0,97.8,-1.8,2025-05-25T15:01:58.393Z,2025-05-25T17:03:10Z,6m5ftd7c68b2d4d2931xs5srt,O. Olsen,,,5750009355,233,13,5750008641,56,Right,5750008645,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818877887,14,1,1,1,3,59as3grjvj19voay31j3yfgni,1,3.0,100.0,2025-05-25T15:02:13.179Z,2025-05-25T15:02:20Z,a87w6l9zsbahdi4knm1347zs9,M. Bech,,,5750008143,212,53.3,5750008139,140,26.2,5750008141,141,31.9,5750008147,1,,5750008135,107,,5750008145,213,5.19,5750008137,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818877907,15,1,1,1,10,59as3grjvj19voay31j3yfgni,1,34.4,22.2,2025-05-25T15:02:20.426Z,2025-05-25T15:02:21Z,e73sexp7kse0wlykdi7xcbg2c,V. Byskov,,,5750008253,140,45.0,5750008259,213,0.57,5750008255,141,32.7,5750008251,56,Back,5750008257,212,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818877919,16,1,1,1,11,59as3grjvj19voay31j3yfgni,1,45.3,32.8,2025-05-25T15:02:21.514Z,2025-05-25T17:58:36Z,1sdsqfn743j5tqem8ra7sppn8,Franculino Djú,,,5750008303,56,Back,5750008313,212,13.8,5750008307,141,38.6,5750008317,213,2.85,5750008305,140,32.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818877977,17,61,1,1,13,59as3grjvj19voay31j3yfgni,0,34.2,37.6,2025-05-25T15:02:22.946Z,2025-05-25T18:00:26Z,drlp4xtkta08jiu0px6m4ocq2,O. Sørensen,,,5750008561,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819043177,894,51,1,1,14,59as3grjvj19voay31j3yfgni,1,32.0,30.6,2025-05-25T15:02:24.241Z,2025-05-25T18:00:37Z,drlp4xtkta08jiu0px6m4ocq2,O. Sørensen,,,5750934041,169,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818926307,383,61,1,1,15,9w3sjm5ml4sjr2v81oxzdrt8v,1,58.2,56.7,2025-05-25T15:02:24.697Z,2025-05-25T15:54:14Z,brsecgiiou4wcogoimzawyhp0,L. Pedersen,,,5750278425,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818878027,19,1,1,1,17,9w3sjm5ml4sjr2v81oxzdrt8v,1,70.9,58.7,2025-05-25T15:02:27.195Z,2025-05-25T15:02:28Z,ag40mk09zc8tzbkr7dnnqumay,N. Campbell,,,5750008833,56,Center,5750008845,213,0.70,5750008841,212,4.7,5750008835,140,74.3,5750008839,141,63.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818878071,20,1,1,1,18,9w3sjm5ml4sjr2v81oxzdrt8v,1,75.7,64.0,2025-05-25T15:02:28.459Z,2025-05-25T15:03:40Z,606hufq6dapf3qxcgilbc8tt5,S. Nordli,1.0,,5750009053,212,19.2,5750009049,140,80.8,5750015515,210,15,5750015517,154,,5750009047,56,Center,5750009051,141,36.9,5750009055,213,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818878077,21,15,1,1,21,9w3sjm5ml4sjr2v81oxzdrt8v,1,86.8,40.9,2025-05-25T15:02:31.051Z,2025-05-25T18:00:37Z,1329qhvvxpp6j4q5esh4n3hii,M. Touré,,,5750015569,154,,5750015565,29,,5750015245,82,,5750009069,17,,5750015241,20,,5750015563,78,,5750009067,22,,5750015609,233,18,5750015587,231,47.5,5750015577,102,49.6,5750015581,146,89.9,5750015585,230,97.5,5750015573,55,20,5750934083,468,894,5750015583,147,43.0,5750009071,56,Center,5750015579,103,19,,,,,,,,,
2818878083,18,10,1,1,21,59as3grjvj19voay31j3yfgni,1,9.9,58.5,2025-05-25T15:02:31.151Z,2025-05-25T15:03:41Z,a87w6l9zsbahdi4knm1347zs9,M. Bech,,,5750015629,233,21,5750009103,56,Back,5750009101,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818878197,22,1,1,1,28,9w3sjm5ml4sjr2v81oxzdrt8v,1,80.1,5.5,2025-05-25T15:02:37.963Z,2025-05-25T15:02:39Z,8domjmewnw5h6b19vef8w0afp,M. Greve,,,5750009781,213,3.00,5750009775,141,6.5,5750009771,140,75.6,5750009779,212,4.8,5750009767,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818878217,23,1,1,1,29,9w3sjm5ml4sjr2v81oxzdrt8v,1,75.3,5.6,2025-05-25T15:02:38.891Z,2025-05-25T15:02:40Z,6m5ftd7c68b2d4d2931xs5srt,O. Olsen,,,5750009853,212,10.8,5750009843,56,Right,5750009849,141,14.1,5750009855,213,0.56,5750009845,140,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818878241,24,1,1,1,30,9w3sjm5ml4sjr2v81oxzdrt8v,1,85.2,11.3,2025-05-25T15:02:40.123Z,2025-05-25T15:02:42Z,ag40mk09zc8tzbkr7dnnqumay,N. Campbell,,,5750009971,213,1.97,5750009963,56,Right,5750009969,212,2.7,5750009965,140,84.2,5750009967,141,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818878257,25,1,1,1,31,9w3sjm5ml4sjr2v81oxzdrt8v,1,84.2,15.0,2025-05-25T15:02:40.995Z,2025-05-25T15:54:59Z,8domjmewnw5h6b19vef8w0afp,M. Greve,,,5750010069,213,1.15,5750010065,141,33.4,5750010061,56,Center,5750010067,212,13.7,5750010063,140,89.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818878269,26,1,1,1,31,9w3sjm5ml4sjr2v81oxzdrt8v,0,89.6,33.4,2025-05-25T15:02:41.023Z,2025-05-25T17:59:37Z,1329qhvvxpp6j4q5esh4n3hii,M. Touré,,,5750010131,141,34.3,5750010135,213,3.00,5750010127,56,Center,5750010133,212,4.2,5750010129,140,85.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818878275,19,8,1,1,34,59as3grjvj19voay31j3yfgni,1,19.9,66.7,2025-05-25T15:02:44.363Z,2025-05-25T17:59:41Z,e73sexp7kse0wlykdi7xcbg2c,V. Byskov,,,5750010161,56,Back,5750929979,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818878347,27,1,1,1,37,9w3sjm5ml4sjr2v81oxzdrt8v,1,77.1,38.5,2025-05-25T15:02:46.874Z,2025-05-25T15:02:49Z,8domjmewnw5h6b19vef8w0afp,M. Greve,,,5750010559,212,11.0,5750010553,56,Center,5750010561,213,1.81,5750010555,140,74.6,5750010557,141,54.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818878419,28,1,1,1,40,9w3sjm5ml4sjr2v81oxzdrt8v,1,71.0,60.9,2025-05-25T15:02:49.819Z,2025-05-25T15:55:19Z,6uj3c69lgu6boblkjiuhoy6eh,J. Björkengren,,,5750010917,141,88.6,5750010921,213,1.49,5750010915,140,72.4,5750010913,56,Left,5750010919,212,18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818878463,29,1,1,1,43,9w3sjm5ml4sjr2v81oxzdrt8v,1,72.4,88.6,2025-05-25T15:02:53.259Z,2025-05-25T15:02:55Z,60z63hezwwosjnhvamcwxtre1,N. Dyhr,,,5750011117,141,76.4,5750011121,213,3.98,5750011115,140,65.3,5750011113,56,Center,5750011119,212,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818878473,30,1,1,1,45,9w3sjm5ml4sjr2v81oxzdrt8v,1,65.3,76.4,2025-05-25T15:02:55.211Z,2025-05-25T15:02:56Z,6uj3c69lgu6boblkjiuhoy6eh,J. Björkengren,,,5750011173,140,62.9,5750011179,213,4.54,5750011175,141,54.6,5750011177,212,15.0,5750011171,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818878499,31,1,1,1,46,9w3sjm5ml4sjr2v81oxzdrt8v,1,62.9,54.6,2025-05-25T15:02:56.295Z,2025-05-25T15:02:57Z,brsecgiiou4wcogoimzawyhp0,L. Pedersen,,,5750011293,140,52.8,5750011299,213,2.52,5750011295,141,65.7,5750011297,212,13.0,5750011291,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818878537,32,1,1,1,47,9w3sjm5ml4sjr2v81oxzdrt8v,1,52.8,65.7,2025-05-25T15:02:57.595Z,2025-05-25T15:02:59Z,8cox96ikk1k4c24f0y5ef45x,W. Dammers,,,5750011445,56,Back,5750011451,212,16.6,5750011447,140,49.8,5750011453,213,4.52,5750011449,141,41.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818878573,33,1,1,1,49,9w3sjm5ml4sjr2v81oxzdrt8v,1,50.1,40.1,2025-05-25T15:02:59.495Z,2025-05-25T15:03:01Z,effgiwtme6eu08o1ninlnqqqd,D. Høegh,,,5750011643,56,Back,5750011649,212,18.7,5750011651,213,1.87,5750011647,141,66.4,5750011645,140,44.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818878657,34,1,1,1,51,9w3sjm5ml4sjr2v81oxzdrt8v,1,44.8,66.4,2025-05-25T15:03:01.627Z,2025-05-25T15:03:05Z,8cox96ikk1k4c24f0y5ef45x,W. Dammers,,,5750012035,212,14.4,5750012031,140,53.2,5750012029,56,Left,5750012033,141,83.2,5750012039,213,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818878703,35,1,1,1,55,9w3sjm5ml4sjr2v81oxzdrt8v,1,59.2,83.5,2025-05-25T15:03:05.564Z,2025-05-25T15:03:08Z,6uj3c69lgu6boblkjiuhoy6eh,J. Björkengren,,,5750012279,213,3.58,5750012273,140,46.1,5750012275,141,74.1,5750012277,212,15.2,5750012271,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
