id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value,qualifier/16/value,qualifier/17/value,qualifier/18/value
2802169523,8,12,1,0,43,5rz9enoyknpg8ji78za5b82p0,1,13.6,73.2,2025-04-17T14:02:38.950Z,2025-04-17T14:02:40Z,cgkvw4q8ddcjl0po181upzwx6,E. Kahl,,,5657792931,213,6.16,5657792923,56,Back,5657792929,212,13.3,5657792925,140,26.2,5657792927,141,70.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802169525,9,61,1,0,44,5rz9enoyknpg8ji78za5b82p0,0,26.2,70.8,2025-04-17T14:02:39.182Z,2025-04-17T17:17:10Z,61sojkdsmaz9hbwaskt4rws15,M. Anderson,,,5657792937,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802169531,17,1,1,0,45,9w3sjm5ml4sjr2v81oxzdrt8v,0,85.4,28.3,2025-04-17T14:02:40.827Z,2025-04-17T14:02:41Z,54ipja7wrxji6kn8yw5uhr6ga,F. Danho,,,5657792967,212,5.9,5657792969,213,5.46,5657792963,140,89.2,5657792965,141,22.0,5657792961,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802169539,10,61,1,0,46,5rz9enoyknpg8ji78za5b82p0,1,11.9,80.5,2025-04-17T14:02:41.990Z,2025-04-17T17:17:12Z,4vmgmzg2004twoc39sk7zkzqh,G. Links,,,5657793003,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802169551,18,1,1,0,48,9w3sjm5ml4sjr2v81oxzdrt8v,1,87.3,9.3,2025-04-17T14:02:43.371Z,2025-04-17T14:02:44Z,6m5ftd7c68b2d4d2931xs5srt,O. Olsen,,,5657793081,213,3.06,5657793077,141,10.5,5657793073,56,Right,5657793079,212,10.6,5657793075,140,77.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802169557,19,1,1,0,49,9w3sjm5ml4sjr2v81oxzdrt8v,1,76.1,10.4,2025-04-17T14:02:44.427Z,2025-04-17T14:02:45Z,8domjmewnw5h6b19vef8w0afp,M. Greve,,,5657793091,140,84.3,5657793089,56,Right,5657793095,212,9.1,5657793097,213,5.97,5657793093,141,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802169571,20,1,1,0,50,9w3sjm5ml4sjr2v81oxzdrt8v,1,84.3,5.8,2025-04-17T14:02:45.547Z,2025-04-17T14:02:48Z,6m5ftd7c68b2d4d2931xs5srt,O. Olsen,,,5657793159,56,Right,5657793163,141,12.0,5657793161,140,85.9,5657793167,213,1.19,5657793165,212,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802169575,21,50,1,0,52,9w3sjm5ml4sjr2v81oxzdrt8v,1,86.6,12.1,2025-04-17T14:02:47.108Z,2025-04-17T14:13:13Z,606hufq6dapf3qxcgilbc8tt5,S. Nordli,,,5657793185,286,,5657793183,56,Right,5657793195,233,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802169563,11,7,1,0,52,5rz9enoyknpg8ji78za5b82p0,1,13.4,87.9,2025-04-17T14:02:47.109Z,2025-04-17T17:17:29Z,cgkvw4q8ddcjl0po181upzwx6,E. Kahl,,,5657793131,56,Back,5658015855,384,,5658015857,178,,5657793187,233,21,5657793133,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802169565,12,61,1,0,53,5rz9enoyknpg8ji78za5b82p0,1,12.6,90.8,2025-04-17T14:02:48.217Z,2025-04-17T14:02:48Z,4vmgmzg2004twoc39sk7zkzqh,G. Links,,,5657793135,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802169589,13,1,1,0,54,5rz9enoyknpg8ji78za5b82p0,0,12.5,88.3,2025-04-17T14:02:49.414Z,2025-04-17T14:02:50Z,cgkvw4q8ddcjl0po181upzwx6,E. Kahl,,,5657793263,1,,5657793259,212,28.0,5657793253,56,Back,5657793261,213,0.11,5657793251,157,,5657793257,141,92.9,5657793255,140,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802169621,22,1,1,0,57,9w3sjm5ml4sjr2v81oxzdrt8v,1,71.2,8.9,2025-04-17T14:02:52.378Z,2025-04-17T14:02:54Z,effgiwtme6eu08o1ninlnqqqd,D. Høegh,,,5657793423,141,22.9,5657793419,56,Center,5657793425,212,11.5,5657793427,213,0.98,5657793421,140,77.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802169625,23,50,1,0,59,9w3sjm5ml4sjr2v81oxzdrt8v,1,74.2,23.0,2025-04-17T14:02:54.197Z,2025-04-17T14:13:13Z,606hufq6dapf3qxcgilbc8tt5,S. Nordli,,,5657793451,56,Center,5657793453,286,,5657793459,233,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802169623,14,7,1,0,59,5rz9enoyknpg8ji78za5b82p0,0,25.8,77.0,2025-04-17T14:02:54.198Z,2025-04-17T17:17:41Z,8og8nxbkcb63van4llvpkbe8l,N. Poulsen,,,5658016223,385,,5657793443,56,Back,5657793455,233,23,5658016225,178,,5657793445,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802169631,24,1,1,1,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,68.7,19.6,2025-04-17T14:02:55.339Z,2025-04-17T14:02:56Z,2mawaijd9czgtd5jh9myk434l,A. Rømer,,,5657793493,140,74.1,5657793499,213,5.29,5657793489,3,,5657793491,56,Right,5657793497,212,10.3,5657793495,141,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802169641,25,1,1,1,1,9w3sjm5ml4sjr2v81oxzdrt8v,1,74.1,6.9,2025-04-17T14:02:56.651Z,2025-04-17T14:03:00Z,8domjmewnw5h6b19vef8w0afp,M. Greve,,,5657793583,140,85.5,5657793589,213,0.15,5657793585,141,9.6,5657793587,212,12.1,5657793581,56,Right,5657793579,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802169653,26,3,1,1,5,9w3sjm5ml4sjr2v81oxzdrt8v,0,88.6,8.8,2025-04-17T14:03:00.107Z,2025-04-17T17:17:49Z,6m5ftd7c68b2d4d2931xs5srt,O. Olsen,,,5657793671,233,15,5658016397,465,,5657793643,56,Right,5657793645,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802169655,15,7,1,1,5,5rz9enoyknpg8ji78za5b82p0,0,11.4,91.2,2025-04-17T14:03:00.108Z,2025-04-17T17:17:54Z,4vmgmzg2004twoc39sk7zkzqh,G. Links,,,5657793649,285,,5658016531,178,,5657793647,56,Back,5657793655,233,26,5658016529,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802169667,27,3,1,1,7,9w3sjm5ml4sjr2v81oxzdrt8v,0,94.2,15.3,2025-04-17T14:03:02.827Z,2025-04-17T17:17:58Z,8domjmewnw5h6b19vef8w0afp,M. Greve,,,5657793717,286,,5657793715,56,Right,5658016657,465,,5657793769,233,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802169675,16,7,1,1,7,5rz9enoyknpg8ji78za5b82p0,1,5.8,84.7,2025-04-17T14:03:02.828Z,2025-04-17T17:18:02Z,43q9ytkbmtk5y3tgv77v7pmg9,M. Madsen,,,5657793765,233,27,5658016725,178,,5657793761,56,Back,5657793763,285,,5658016723,383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802169695,18,1,1,1,10,5rz9enoyknpg8ji78za5b82p0,0,2.7,91.2,2025-04-17T14:03:05.638Z,2025-04-17T14:03:09Z,43q9ytkbmtk5y3tgv77v7pmg9,M. Madsen,,,5657793855,141,91.1,5657793857,212,3.8,5657793851,56,Back,5657793861,1,,5657793853,140,6.3,5657793859,213,6.27,5657793849,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802169683,28,61,1,1,12,9w3sjm5ml4sjr2v81oxzdrt8v,1,91.0,2.5,2025-04-17T14:03:07.402Z,2025-04-17T14:03:07Z,8domjmewnw5h6b19vef8w0afp,M. Greve,,,5657793801,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802169703,30,1,1,1,14,9w3sjm5ml4sjr2v81oxzdrt8v,1,77.5,6.3,2025-04-17T14:03:09.275Z,2025-04-17T14:03:10Z,2mawaijd9czgtd5jh9myk434l,A. Rømer,,,5657793871,140,86.8,5657793877,213,6.22,5657793875,212,9.8,5657793869,56,Right,5657793873,141,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802169707,31,1,1,1,15,9w3sjm5ml4sjr2v81oxzdrt8v,0,87.2,5.4,2025-04-17T14:03:10.123Z,2025-04-17T14:03:10Z,6m5ftd7c68b2d4d2931xs5srt,O. Olsen,,,5657793899,212,0.9,5657793893,56,Right,5657793895,140,87.5,5657793897,141,6.7,5657793901,213,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802169781,21,61,1,1,16,5rz9enoyknpg8ji78za5b82p0,1,13.5,92.7,2025-04-17T14:03:11.246Z,2025-04-17T14:03:26Z,4vmgmzg2004twoc39sk7zkzqh,G. Links,,,5657794227,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802169719,32,3,1,1,17,9w3sjm5ml4sjr2v81oxzdrt8v,0,91.0,20.4,2025-04-17T14:03:12.603Z,2025-04-17T17:18:15Z,8domjmewnw5h6b19vef8w0afp,M. Greve,,,5657793949,56,Right,5658016949,465,,5657794179,233,19,5657794137,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802169741,19,7,1,1,17,5rz9enoyknpg8ji78za5b82p0,1,9.0,79.6,2025-04-17T14:03:12.604Z,2025-04-17T17:18:18Z,cgkvw4q8ddcjl0po181upzwx6,E. Kahl,,,5657794053,285,,5657794169,233,32,5657794049,167,,5658016987,389,,5658016985,385,,5657794051,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802169743,20,6,1,1,20,5rz9enoyknpg8ji78za5b82p0,0,8.0,77.6,2025-04-17T14:03:15.131Z,2025-04-17T17:18:28Z,cgkvw4q8ddcjl0po181upzwx6,E. Kahl,,,5657794061,56,Back,5657794063,73,,5657794077,233,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802169739,33,6,1,1,20,9w3sjm5ml4sjr2v81oxzdrt8v,1,92.0,22.4,2025-04-17T14:03:15.131Z,2025-04-17T14:13:10Z,8domjmewnw5h6b19vef8w0afp,M. Greve,,,5657794065,233,20,5657794057,75,,5657794055,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802169853,34,1,1,1,50,9w3sjm5ml4sjr2v81oxzdrt8v,1,99.5,0.5,2025-04-17T14:03:45.100Z,2025-04-17T14:03:50Z,606hufq6dapf3qxcgilbc8tt5,S. Nordli,,,5657794693,140,96.1,5657794699,213,1.74,5657794691,56,Center,5657794689,6,,5657794697,212,21.4,5657794695,141,31.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802169861,35,1,1,1,51,9w3sjm5ml4sjr2v81oxzdrt8v,1,96.0,31.2,2025-04-17T14:03:46.970Z,2025-04-17T14:03:55Z,1329qhvvxpp6j4q5esh4n3hii,M. Touré,,,5657794751,212,15.7,5657794745,56,Right,5657794747,140,95.4,5657794903,156,,5657794749,141,8.2,5657794753,213,4.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
