id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/15/value,qualifier/17/value
2710560573,17,1,1,1,16,9qsmopgutr7ut5g6workk8w4i,0,77.4,94.4,2024-08-18T16:03:49.091Z,2024-08-18T18:40:02Z,etz3rjq7chhaomst5u28nnff9,D. Wass,,,5158148723,20,,5157397563,152,,5157397573,213,5.20,5157397569,141,57.0,5157397559,5,,5157397565,56,Center,5158148721,223,,5157397557,2,,5157397567,140,90.1,5157397571,212,28.7,5157397561,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710560597,12,12,1,1,19,36g6ifzjliec1jqnbtf7yesme,1,7.1,42.3,2024-08-18T16:03:52.499Z,2024-08-18T18:40:13Z,de0dokhb6u6hts2hu5aupgiga,K. Jørgensen,,,5157397675,56,Back,5157397705,15,,5157397677,140,29.1,5157397681,212,23.6,5157397679,141,49.5,5157397683,213,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710560651,18,13,1,1,21,9qsmopgutr7ut5g6workk8w4i,1,72.2,49.5,2024-08-18T16:03:54.691Z,2024-08-18T18:40:44Z,6anvl82jyio52wo87cbxdp4np,S. Klaiber,,,5158152101,120,,5157399689,231,50.5,5157399683,215,,5157397939,18,,5157398261,24,,5157399679,102,57.8,5157397941,56,Center,5157398263,20,,5157399677,83,,5157399681,103,29.2,5157399687,230,97.3,5157399685,458,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710560715,13,5,1,1,23,36g6ifzjliec1jqnbtf7yesme,1,-0.9,45.6,2024-08-18T16:03:56.467Z,2024-08-18T16:24:22Z,7yst1mucy7jynmpzu1thox2i,L. Kramer,,,5157398227,56,Back,5157398325,233,19,5157398231,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710560665,19,5,1,1,23,9qsmopgutr7ut5g6workk8w4i,0,100.9,54.4,2024-08-18T16:03:56.467Z,2024-08-18T16:24:23Z,6anvl82jyio52wo87cbxdp4np,S. Klaiber,,,5157398353,233,13,5157397985,56,Center,5157397987,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710561019,14,1,1,1,42,36g6ifzjliec1jqnbtf7yesme,1,5.0,37.0,2024-08-18T16:04:15.428Z,2024-08-18T16:04:24Z,a2l4ep71txn2edtjjcgewai5m,V. Müller,,,5157401021,189,,5157400033,141,18.3,5157400039,213,5.79,5157400029,56,Back,5157400027,124,,5157400031,140,27.3,5157400043,237,,5157400037,212,26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710561055,15,1,1,1,43,36g6ifzjliec1jqnbtf7yesme,1,19.8,4.1,2024-08-18T16:04:16.435Z,2024-08-18T18:41:15Z,de0dokhb6u6hts2hu5aupgiga,K. Jørgensen,,,5157400269,141,27.4,5157400273,212,26.6,5157400277,213,0.64,5157400265,56,Back,5157400267,140,40.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710561065,16,1,1,1,44,36g6ifzjliec1jqnbtf7yesme,1,43.1,28.6,2024-08-18T16:04:17.827Z,2024-08-18T18:41:38Z,5lz41celw55rz3zh8pohclw5w,O. Ross,,,5158157021,156,,5157400329,212,11.1,5157400323,56,Back,5157400327,141,13.5,5157400331,213,4.32,5157400325,140,39.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710561079,17,1,1,1,45,36g6ifzjliec1jqnbtf7yesme,0,39.1,13.5,2024-08-18T16:04:18.834Z,2024-08-18T18:41:59Z,8bi1tlz62rjwyak4pnnzgp562,A. Jasson,,,5157400411,212,24.4,5157400405,56,Right,5157400407,140,62.3,5157400417,213,0.01,5157400409,141,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710561191,21,1,1,1,48,9qsmopgutr7ut5g6workk8w4i,1,35.6,88.6,2024-08-18T16:04:20.995Z,2024-08-18T16:04:24Z,bnar4f48vnx4oaz2lzch48es5,J. Rasmussen,,,5157400975,212,24.4,5157400977,213,3.68,5157400973,141,70.2,5157400969,56,Back,5157400971,140,15.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710561435,22,1,1,1,51,9qsmopgutr7ut5g6workk8w4i,1,15.4,72.4,2024-08-18T16:04:24.082Z,2024-08-18T16:04:35Z,4ilnnpfgjfz35lni9ppzd93v9,P. Pentz,,,5157402341,213,4.98,5157402333,140,21.4,5157402339,212,24.0,5157402335,141,38.3,5157402331,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710561549,23,1,1,2,2,9qsmopgutr7ut5g6workk8w4i,1,30.1,22.5,2024-08-18T16:04:35.762Z,2024-08-18T16:04:40Z,6anvl82jyio52wo87cbxdp4np,S. Klaiber,,,5157402829,212,27.6,5157402823,56,Back,5157402827,141,46.6,5157402825,140,9.0,5157402831,213,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710561631,24,1,1,2,7,9qsmopgutr7ut5g6workk8w4i,1,13.5,52.2,2024-08-18T16:04:40.450Z,2024-08-18T16:04:44Z,4ilnnpfgjfz35lni9ppzd93v9,P. Pentz,,,5157403237,213,0.20,5157403223,56,Back,5157403229,141,56.1,5157403233,212,13.6,5157403227,140,26.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710561693,25,1,1,2,11,9qsmopgutr7ut5g6workk8w4i,1,31.2,51.0,2024-08-18T16:04:44.274Z,2024-08-18T16:04:47Z,2xp7fbcl6a4nua9jpm7b4k1sk,N. Nartey,,,5157403621,56,Back,5157403625,141,20.4,5157403627,212,20.8,5157403623,140,31.6,5157403629,213,4.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710561709,26,1,1,2,14,9qsmopgutr7ut5g6workk8w4i,1,32.2,21.0,2024-08-18T16:04:47.217Z,2024-08-18T16:04:48Z,6anvl82jyio52wo87cbxdp4np,S. Klaiber,,,5157403749,141,33.9,5157403753,213,0.95,5157403751,212,10.8,5157403747,140,38.2,5157403745,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710561769,27,1,1,2,15,9qsmopgutr7ut5g6workk8w4i,1,38.2,33.9,2024-08-18T16:04:48.385Z,2024-08-18T16:04:51Z,etz3rjq7chhaomst5u28nnff9,D. Wass,,,5157404099,56,Back,5157404101,140,32.0,5157404109,212,10.7,5157404111,213,4.05,5157404105,141,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710561843,28,1,1,2,18,9qsmopgutr7ut5g6workk8w4i,1,33.6,24.0,2024-08-18T16:04:51.810Z,2024-08-18T16:04:55Z,6anvl82jyio52wo87cbxdp4np,S. Klaiber,,,5157404557,140,26.1,5157404555,56,Back,5157404561,212,24.0,5157404559,141,57.3,5157404563,213,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710561915,29,1,1,2,22,9qsmopgutr7ut5g6workk8w4i,1,26.1,57.6,2024-08-18T16:04:55.346Z,2024-08-18T16:04:58Z,4ilnnpfgjfz35lni9ppzd93v9,P. Pentz,,,5157404975,56,Back,5157404977,140,31.5,5157404981,212,16.6,5157404983,213,1.22,5157404979,141,80.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710562001,30,1,1,2,25,9qsmopgutr7ut5g6workk8w4i,1,32.1,80.3,2024-08-18T16:04:58.018Z,2024-08-18T16:05:02Z,bnar4f48vnx4oaz2lzch48es5,J. Rasmussen,,,5157405427,212,15.4,5157405425,141,60.2,5157405421,56,Back,5157405429,213,4.23,5157405423,140,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710562069,31,1,1,2,29,9qsmopgutr7ut5g6workk8w4i,1,26.1,61.1,2024-08-18T16:05:02.129Z,2024-08-18T16:05:05Z,4ilnnpfgjfz35lni9ppzd93v9,P. Pentz,,,5157405797,212,13.6,5157405789,56,Back,5157405795,141,44.2,5157405791,140,33.0,5157405799,213,5.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710562145,32,1,1,2,32,9qsmopgutr7ut5g6workk8w4i,1,32.1,44.8,2024-08-18T16:05:05.122Z,2024-08-18T16:05:08Z,etz3rjq7chhaomst5u28nnff9,D. Wass,,,5157406109,141,17.4,5157406111,212,22.7,5157406105,56,Back,5157406107,140,44.4,5157406113,213,5.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710562269,33,1,1,2,35,9qsmopgutr7ut5g6workk8w4i,1,48.3,16.1,2024-08-18T16:05:08.162Z,2024-08-18T16:05:14Z,53nd6a4o02ebb0w2s12prijje,Y. Suzuki,,,5157406877,56,Left,5157406875,196,,5157406883,212,61.8,5157406885,213,0.91,5157406887,1,,5157406879,140,84.5,5157406881,141,87.7,5157406873,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710562279,18,45,1,2,41,36g6ifzjliec1jqnbtf7yesme,0,11.9,24.9,2024-08-18T16:05:14.418Z,2024-08-18T16:24:44Z,de0dokhb6u6hts2hu5aupgiga,K. Jørgensen,,,5157407141,233,34,5157406929,56,Back,5157406931,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710562307,34,3,1,2,41,9qsmopgutr7ut5g6workk8w4i,1,88.1,75.1,2024-08-18T16:05:14.418Z,2024-08-18T18:42:50Z,1gr0k94d0nh7msa32f6728aok,C. Bischoff,,,5157407089,233,18,5157407043,56,Center,5158163151,464,,5157407045,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710562373,35,1,1,2,42,9qsmopgutr7ut5g6workk8w4i,1,88.5,68.9,2024-08-18T16:05:15.779Z,2024-08-18T18:42:55Z,1gr0k94d0nh7msa32f6728aok,C. Bischoff,1.0,,5157407401,56,Center,5157407407,141,54.5,5157408389,210,15,5157407405,140,73.3,5157407409,212,18.7,5157407411,213,3.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710562377,36,15,1,2,44,9qsmopgutr7ut5g6workk8w4i,1,73.3,54.5,2024-08-18T16:05:17.458Z,2024-08-18T18:43:55Z,etz3rjq7chhaomst5u28nnff9,D. Wass,,,5157408429,55,35,5157407449,56,Center,5157408453,147,50.5,5157408463,233,19,5157407771,20,,5158168395,78,,5157408445,215,,5157408441,103,15.8,5157407445,22,,5157408427,29,,5157407447,18,,5157408451,146,98.0,5157408435,102,51.7,,,,,,,,,,,,,,,,,,,,,,,
2710562393,19,10,1,2,44,36g6ifzjliec1jqnbtf7yesme,1,2.2,48.9,2024-08-18T16:05:17.558Z,2024-08-18T18:43:16Z,a2l4ep71txn2edtjjcgewai5m,V. Müller,,,5157407965,233,36,5157407559,56,Back,5157407921,177,,5158165395,378,,5157407557,182,,5157407555,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
