id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/17/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,qualifier/16/value
2818171347,5,44,1,0,9,ahnt9ejgwj58ul8auzdvi3czf,1,16.2,23.5,2025-05-24T13:00:12.428Z,2025-05-24T13:30:18Z,9zhmwx3g0m6xi2oh57g4z35nu,R. Østrøm,,,5746090481,56,Back,5746090483,285,,5746090535,233,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818171351,7,44,1,0,9,cftj6g399tknheudaxsdpfdgb,0,83.8,76.5,2025-05-24T13:00:12.429Z,2025-05-24T13:30:18Z,akxcr1xe62dyl5jmh3ataq13o,Renato Júnior,,,5746090539,233,5,5746090501,286,,5746090499,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818171357,6,1,1,0,10,ahnt9ejgwj58ul8auzdvi3czf,0,18.1,29.1,2025-05-24T13:00:12.651Z,2025-05-24T13:49:35Z,9zhmwx3g0m6xi2oh57g4z35nu,R. Østrøm,,,5746090523,56,Back,5746090529,212,1.1,5746090525,140,19.1,5746090531,213,0.00,5746090521,3,,5746090527,141,29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818175801,103,61,1,0,11,cftj6g399tknheudaxsdpfdgb,1,78.6,70.2,2025-05-24T13:00:13.905Z,2025-05-24T13:10:25Z,akxcr1xe62dyl5jmh3ataq13o,Renato Júnior,,,5746114101,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818171361,8,1,1,0,12,ahnt9ejgwj58ul8auzdvi3czf,1,26.5,20.7,2025-05-24T13:00:15.404Z,2025-05-24T17:50:21Z,avtms6bcr8i7qdacuv225evo5,J. Andersen,,,5746090547,141,6.1,5746090543,56,Back,5746090549,212,14.7,5746090545,140,16.2,5746090551,213,3.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818171371,9,1,1,0,13,ahnt9ejgwj58ul8auzdvi3czf,1,15.0,15.6,2025-05-24T13:00:15.607Z,2025-05-24T17:50:19Z,89xit2bryc0g4yhqina7akjkk,J. Nielsen,,,5746090589,141,32.5,5746090593,213,0.73,5746090585,56,Back,5746090587,140,27.3,5746090591,212,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818171373,10,1,1,0,14,ahnt9ejgwj58ul8auzdvi3czf,1,25.2,27.4,2025-05-24T13:00:16.563Z,2025-05-24T17:51:44Z,cuufy3ioo1kio56er2cfn0mqc,M. Freundlich,,,5746090601,56,Back,5746090607,212,8.9,5746090603,140,27.8,5746090605,141,15.0,5746090609,213,5.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818202297,436,1,1,0,15,ahnt9ejgwj58ul8auzdvi3czf,1,26.4,18.3,2025-05-24T13:00:17.558Z,2025-05-24T13:50:10Z,6wrch4yhbs6utcc0doguj90q,M. Larsen,,,5746262945,212,12.2,5746262939,56,Back,5746262943,141,3.8,5746262947,213,5.35,5746262941,140,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818171379,11,1,1,0,16,ahnt9ejgwj58ul8auzdvi3czf,1,32.0,2.9,2025-05-24T13:00:19.291Z,2025-05-24T17:51:49Z,349g9rdismqpb1aarjp011bd,C. McCowatt,,,5746090645,213,0.69,5746090639,140,41.7,5746090641,141,15.3,5746090643,212,13.2,5746090637,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818171381,12,1,1,0,17,ahnt9ejgwj58ul8auzdvi3czf,1,42.4,16.6,2025-05-24T13:00:19.724Z,2025-05-24T17:51:59Z,n2annzbap7hll02zo2v0ccgk,T. Adamsen,,,5746090657,213,2.83,5746090649,56,Back,5746090651,140,31.5,5746090655,212,12.0,5746090653,141,22.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818202429,437,1,1,0,18,ahnt9ejgwj58ul8auzdvi3czf,0,33.3,18.9,2025-05-24T13:00:20.558Z,2025-05-24T13:50:41Z,89xit2bryc0g4yhqina7akjkk,J. Nielsen,,,5746263735,213,0.61,5746263729,140,43.4,5746263725,56,Back,5746263733,212,12.9,5746263731,141,29.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818171383,8,8,1,0,19,cftj6g399tknheudaxsdpfdgb,1,54.1,77.2,2025-05-24T13:00:21.883Z,2025-05-24T17:52:32Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,,5747356345,385,,5746090665,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818171385,9,5,1,0,21,cftj6g399tknheudaxsdpfdgb,0,49.8,101.0,2025-05-24T13:00:23.748Z,2025-05-24T13:00:28Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,,5746090669,56,Back,5746090671,347,,5746090717,233,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818171395,13,5,1,0,21,ahnt9ejgwj58ul8auzdvi3czf,1,50.2,-1.0,2025-05-24T13:00:23.748Z,2025-05-24T13:50:42Z,n2annzbap7hll02zo2v0ccgk,T. Adamsen,,,5746090711,233,9,5746090707,347,,5746090705,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818171413,14,1,1,0,26,ahnt9ejgwj58ul8auzdvi3czf,1,60.0,0.0,2025-05-24T13:00:29.088Z,2025-05-24T17:52:41Z,349g9rdismqpb1aarjp011bd,C. McCowatt,,,5746090771,56,Right,5746090777,212,21.0,5746090773,140,79.3,5746090775,141,6.8,5746090779,213,0.26,5746090769,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818171415,15,1,1,0,28,ahnt9ejgwj58ul8auzdvi3czf,1,77.8,6.8,2025-05-24T13:00:30.932Z,2025-05-24T17:52:48Z,n2annzbap7hll02zo2v0ccgk,T. Adamsen,,,5746090799,213,2.52,5746090795,141,15.0,5746090797,212,9.6,5746090793,140,70.4,5746090791,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818171427,16,1,1,0,30,ahnt9ejgwj58ul8auzdvi3czf,1,71.1,15.6,2025-05-24T13:00:33.036Z,2025-05-24T13:00:34Z,6wrch4yhbs6utcc0doguj90q,M. Larsen,,,5746090849,212,10.3,5746090845,140,66.0,5746090851,213,2.12,5746090843,56,Center,5746090847,141,28.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818171441,17,1,1,0,32,ahnt9ejgwj58ul8auzdvi3czf,0,66.0,28.5,2025-05-24T13:00:34.596Z,2025-05-24T13:00:37Z,avtms6bcr8i7qdacuv225evo5,J. Andersen,,,5746090921,1,,5746090913,140,61.9,5746090915,141,79.0,5746090919,213,1.70,5746090911,56,Left,5746090909,155,,5746090917,212,34.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818171463,11,1,1,0,37,cftj6g399tknheudaxsdpfdgb,1,41.4,21.8,2025-05-24T13:00:39.995Z,2025-05-24T13:00:42Z,c9kn2pfftaimeqknbu9p8neok,Y. Njoh,,,5746091003,56,Back,5746091005,140,28.9,5746091009,212,16.7,5746091011,213,2.47,5746091007,141,37.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818171487,12,1,1,0,39,cftj6g399tknheudaxsdpfdgb,1,30.0,34.5,2025-05-24T13:00:42.548Z,2025-05-24T13:00:46Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,,5746091095,213,1.64,5746091089,140,28.6,5746091093,212,20.9,5746091091,141,65.1,5746091087,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818171511,13,1,1,0,43,cftj6g399tknheudaxsdpfdgb,1,38.9,67.8,2025-05-24T13:00:46.444Z,2025-05-24T13:00:50Z,9qskwuil30g48xr3ax5p9j6j9,I. Näsberg,,,5746091193,212,21.8,5746091189,140,48.0,5746091187,56,Back,5746091191,141,96.6,5746091195,213,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818171529,14,1,1,0,48,cftj6g399tknheudaxsdpfdgb,1,47.4,96.8,2025-05-24T13:00:50.732Z,2025-05-24T13:50:34Z,eq7tnnzwq0g9q4eac0o9t9xey,S. Kuzmić,,,5746091281,212,22.3,5746091277,140,26.4,5746091283,213,3.30,5746091279,141,91.5,5746091275,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818171603,15,1,1,0,51,cftj6g399tknheudaxsdpfdgb,1,26.4,91.5,2025-05-24T13:00:53.716Z,2025-05-24T13:01:03Z,9qskwuil30g48xr3ax5p9j6j9,I. Näsberg,,,5746091651,140,13.0,5746091649,56,Back,5746091657,213,4.18,5746091653,141,56.1,5746091655,212,27.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818171629,16,1,1,1,1,cftj6g399tknheudaxsdpfdgb,1,13.0,58.1,2025-05-24T13:01:03.740Z,2025-05-24T13:01:07Z,dk9nlp77b6q38p751f8w3o8np,O. Hedvall,,,5746091727,155,,5746091737,213,0.68,5746091731,140,39.3,5746091739,1,,5746091735,212,35.5,5746091729,56,Back,5746091733,141,90.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818171651,17,1,1,1,5,cftj6g399tknheudaxsdpfdgb,1,43.4,92.0,2025-05-24T13:01:07.820Z,2025-05-24T13:50:42Z,eq7tnnzwq0g9q4eac0o9t9xey,S. Kuzmić,,,5746091857,56,Left,5746091861,140,68.6,5746091869,212,26.6,5746091863,141,96.3,5746091873,213,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818171687,18,1,1,1,10,cftj6g399tknheudaxsdpfdgb,1,54.2,86.5,2025-05-24T13:01:13.156Z,2025-05-24T13:01:18Z,73lwz4he5erpp25zi8crjvztg,I. Jensen,,,5746092057,213,4.75,5746092045,155,,5746092049,56,Right,5746092051,140,56.0,5746092059,1,,5746092055,212,49.9,5746092053,141,13.2,5746092047,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818171701,19,1,1,1,15,cftj6g399tknheudaxsdpfdgb,1,58.1,12.3,2025-05-24T13:01:18.100Z,2025-05-24T13:01:20Z,dacr7r8nr09ke3o8dhqmdrklw,H. Bidstrup,,,5746092107,56,Right,5746092111,141,7.3,5746092113,212,17.6,5746092109,140,74.5,5746092115,213,6.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818171733,20,1,1,1,18,cftj6g399tknheudaxsdpfdgb,1,73.4,7.7,2025-05-24T13:01:20.661Z,2025-05-24T13:01:24Z,c9kn2pfftaimeqknbu9p8neok,Y. Njoh,,,5746092343,212,32.9,5746092339,140,45.7,5746092345,213,2.66,5746092337,56,Back,5746092341,141,30.3,5746092347,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818171741,21,1,1,1,21,cftj6g399tknheudaxsdpfdgb,0,46.5,34.6,2025-05-24T13:01:24.029Z,2025-05-24T13:01:25Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,,5746092389,56,Center,5746092393,141,58.4,5746092391,140,55.8,5746092395,212,18.9,5746092397,213,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818171765,18,61,1,1,22,ahnt9ejgwj58ul8auzdvi3czf,1,43.6,38.8,2025-05-24T13:01:24.913Z,2025-05-24T13:01:38Z,349g9rdismqpb1aarjp011bd,C. McCowatt,,,5746092523,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818171849,22,1,1,1,29,cftj6g399tknheudaxsdpfdgb,1,71.4,87.7,2025-05-24T13:01:32.485Z,2025-05-24T17:53:49Z,73lwz4he5erpp25zi8crjvztg,I. Jensen,,,5746092913,56,Left,5746092921,213,0.51,5746092915,140,77.5,5746092919,212,7.3,5746092917,141,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818171861,23,1,1,1,35,cftj6g399tknheudaxsdpfdgb,1,80.1,92.7,2025-05-24T13:01:38.517Z,2025-05-24T13:01:40Z,eq7tnnzwq0g9q4eac0o9t9xey,S. Kuzmić,,,5746092987,212,26.8,5746092989,213,3.43,5746092985,141,81.5,5746092981,56,Left,5746092983,140,55.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818171873,24,1,1,1,38,cftj6g399tknheudaxsdpfdgb,1,55.6,81.5,2025-05-24T13:01:40.701Z,2025-05-24T13:01:42Z,9qskwuil30g48xr3ax5p9j6j9,I. Näsberg,,,5746093071,213,4.17,5746093067,141,52.2,5746093063,56,Back,5746093065,140,44.2,5746093069,212,23.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818171891,25,1,1,1,39,cftj6g399tknheudaxsdpfdgb,1,47.5,52.7,2025-05-24T13:01:42.517Z,2025-05-24T13:01:44Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,,5746093149,212,20.5,5746093145,140,54.6,5746093151,213,5.08,5746093143,56,Center,5746093147,141,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818171909,26,1,1,1,41,cftj6g399tknheudaxsdpfdgb,1,56.7,19.7,2025-05-24T13:01:44.317Z,2025-05-24T13:01:47Z,dacr7r8nr09ke3o8dhqmdrklw,H. Bidstrup,,,5746093237,213,0.50,5746093231,140,74.4,5746093229,56,Center,5746093235,212,21.1,5746093233,141,34.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818171923,27,1,1,1,44,cftj6g399tknheudaxsdpfdgb,1,64.7,30.1,2025-05-24T13:01:47.093Z,2025-05-24T17:54:05Z,akxcr1xe62dyl5jmh3ataq13o,Renato Júnior,,,5746093325,212,17.4,5746093323,141,4.7,5746093327,213,4.82,5746093319,56,Right,5746093315,155,,5746093321,140,66.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818171925,28,1,1,1,46,cftj6g399tknheudaxsdpfdgb,1,75.9,5.6,2025-05-24T13:01:49.213Z,2025-05-24T13:01:50Z,c9kn2pfftaimeqknbu9p8neok,Y. Njoh,,,5746093331,56,Right,5746093333,140,71.5,5746093337,212,10.9,5746093339,213,2.01,5746093335,141,20.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818171933,29,1,1,1,47,cftj6g399tknheudaxsdpfdgb,1,63.2,17.6,2025-05-24T13:01:49.957Z,2025-05-24T17:54:14Z,akxcr1xe62dyl5jmh3ataq13o,Renato Júnior,,,5746093379,212,9.1,5746093375,140,70.7,5746093377,141,24.4,5746093373,56,Center,5746093381,213,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818171935,30,1,1,1,48,cftj6g399tknheudaxsdpfdgb,1,77.5,23.6,2025-05-24T13:01:50.917Z,2025-05-24T13:01:52Z,c9kn2pfftaimeqknbu9p8neok,Y. Njoh,,,5746093389,140,68.7,5746093393,141,36.0,5746093387,56,Center,5746093395,212,12.5,5746093407,213,2.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818171965,31,1,1,1,49,cftj6g399tknheudaxsdpfdgb,1,68.7,36.0,2025-05-24T13:01:51.981Z,2025-05-24T13:01:55Z,wnin2353js3p5rh4d7e2ymwa,M. Søndergaard,,,5746093569,213,5.46,5746093565,141,11.4,5746093563,140,83.6,5746093567,212,22.9,5746093557,155,,5746093561,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818171993,32,1,1,1,52,cftj6g399tknheudaxsdpfdgb,1,83.6,11.4,2025-05-24T13:01:54.998Z,2025-05-24T13:51:23Z,b6q0tf252xvikt39g8jevju38,J. Vester,,,5746093747,213,0.90,5746093741,140,94.8,5746093745,212,19.0,5746093739,56,Center,5746093743,141,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818172005,33,1,1,1,54,cftj6g399tknheudaxsdpfdgb,1,96.4,26.4,2025-05-24T13:01:56.997Z,2025-05-24T17:54:34Z,akxcr1xe62dyl5jmh3ataq13o,Renato Júnior,,,5746093815,56,Left,5746093819,141,93.5,5746093813,196,,5746093821,212,45.6,5746093825,1,,5746093817,140,96.6,5746093823,213,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818172051,19,45,1,2,2,ahnt9ejgwj58ul8auzdvi3czf,0,4.6,10.4,2025-05-24T13:02:05.463Z,2025-05-24T18:12:52Z,89xit2bryc0g4yhqina7akjkk,J. Nielsen,,,5746094087,285,,5746094085,56,Back,5746094123,233,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818172057,34,3,1,2,2,cftj6g399tknheudaxsdpfdgb,1,95.4,89.6,2025-05-24T13:02:05.463Z,2025-05-24T18:12:52Z,73lwz4he5erpp25zi8crjvztg,I. Jensen,,,5746094115,233,19,5746094107,56,Left,5747362331,465,,5746094109,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
