id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/12/value,qualifier/13/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId
2731654779,11,1,1,1,8,cftj6g399tknheudaxsdpfdgb,0,94.4,88.1,2024-10-06T14:01:45.821Z,2024-10-06T19:27:22Z,73lwz4he5erpp25zi8crjvztg,I. Jensen,,,5272947751,140,97.9,5272947745,2,,5272947747,155,,5272947753,141,51.1,5275071229,72,,5275071227,224,,5272948499,233,11,5272947757,213,4.86,5272947749,56,Center,5272947755,212,25.4,,,,,,,,,,,,,,,,,,,,,,,,,
2731654919,11,41,1,1,10,5rz9enoyknpg8ji78za5b82p0,0,4.1,44.6,2024-10-06T14:01:47.509Z,2024-10-06T19:27:36Z,1h31bvtbae4q0edlp0u672hn9,J. Hansen,,,5272948521,233,11,5272948415,213,5.92,5275071901,378,,5272948411,141,33.5,5272948413,212,21.5,5272948409,140,23.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731654819,12,15,1,1,11,cftj6g399tknheudaxsdpfdgb,1,85.1,58.5,2024-10-06T14:01:49.133Z,2024-10-06T19:27:38Z,5f3wfx327z9hef9k9l37c90wl,J. Grønning,,,5272960953,80,,5272960967,147,54.3,5272960965,146,90.7,5272960959,215,,5273425843,233,12,5272947973,56,Center,5272960205,82,,5272947969,22,,5272947971,17,,5272960969,230,98.0,5272960957,103,19,5272960955,102,47.4,5272960961,328,5272960189,20,5272960971,231,50.9,5272960963,458,,,,,,,,,,
2731654927,12,10,1,1,12,5rz9enoyknpg8ji78za5b82p0,1,9.3,45.7,2024-10-06T14:01:49.233Z,2024-10-06T19:27:45Z,43q9ytkbmtk5y3tgv77v7pmg9,M. Madsen,,,5272948461,56,Back,5273425875,233,12,5272948459,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731654983,13,1,1,1,21,5rz9enoyknpg8ji78za5b82p0,0,30.0,98.6,2024-10-06T14:01:59.158Z,2024-10-06T14:01:59Z,61sojkdsmaz9hbwaskt4rws15,M. Anderson,,,5272948785,157,,5272948799,141,80.9,5272948809,1,,5272948791,56,Left,5272948795,140,74.4,5272948803,212,48.1,5272948807,213,6.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731655039,13,1,1,1,24,cftj6g399tknheudaxsdpfdgb,1,13.1,7.2,2024-10-06T14:02:01.477Z,2024-10-06T19:28:21Z,dk9nlp77b6q38p751f8w3o8np,O. Hedvall,,,5272949089,212,13.3,5272949083,56,Back,5272949091,213,0.22,5272949087,141,11.5,5272949085,140,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731655077,14,1,1,1,26,cftj6g399tknheudaxsdpfdgb,1,24.2,21.3,2024-10-06T14:02:03.269Z,2024-10-06T14:02:05Z,auk14ut8cwaqop549u2zmfgt1,N. Bürgy,,,5272949289,212,19.5,5272949291,213,1.44,5272949283,56,Back,5272949285,140,26.7,5272949287,141,49.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731655101,15,1,1,1,28,cftj6g399tknheudaxsdpfdgb,1,26.3,56.1,2024-10-06T14:02:05.253Z,2024-10-06T14:02:07Z,9qskwuil30g48xr3ax5p9j6j9,I. Näsberg,,,5272949433,140,32.1,5272949439,213,1.13,5272949431,56,Back,5272949437,212,14.4,5272949435,141,75.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731655125,16,1,1,1,30,cftj6g399tknheudaxsdpfdgb,1,34.0,71.8,2024-10-06T14:02:07.269Z,2024-10-06T14:02:09Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,,5272949589,212,10.7,5272949579,56,Back,5272949587,141,65.2,5272949583,140,24.8,5272949591,213,3.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731655189,17,1,1,1,31,cftj6g399tknheudaxsdpfdgb,1,23.7,64.2,2024-10-06T14:02:09.110Z,2024-10-06T14:02:12Z,9qskwuil30g48xr3ax5p9j6j9,I. Näsberg,,,5272949861,213,4.76,5272949855,140,24.9,5272949857,141,26.2,5272949859,212,25.9,5272949853,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731655229,18,1,1,1,35,cftj6g399tknheudaxsdpfdgb,1,24.2,25.9,2024-10-06T14:02:12.358Z,2024-10-06T14:02:14Z,auk14ut8cwaqop549u2zmfgt1,N. Bürgy,,,5272950087,56,Back,5272950099,212,11.5,5272950091,140,26.5,5272950095,141,9.3,5272950101,213,4.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731655315,19,1,1,1,37,cftj6g399tknheudaxsdpfdgb,1,25.9,10.4,2024-10-06T14:02:14.533Z,2024-10-06T14:02:19Z,bitixkzgt5p65rlo2bnllcf6x,J. Mbom,,,5272950559,140,9.3,5272950565,213,2.35,5272950561,141,36.6,5272950557,56,Back,5272950563,212,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731655443,20,1,1,1,41,cftj6g399tknheudaxsdpfdgb,1,5.8,42.7,2024-10-06T14:02:19.157Z,2024-10-06T14:02:24Z,dk9nlp77b6q38p751f8w3o8np,O. Hedvall,,,5272951153,56,Back,5272951159,212,26.7,5272951161,213,0.31,5272951157,141,54.7,5272951155,140,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731655459,21,1,1,1,47,cftj6g399tknheudaxsdpfdgb,0,39.3,57.6,2024-10-06T14:02:24.901Z,2024-10-06T14:02:25Z,3bvc29bootgmo9tsapvygvnu2,M. Westergaard,,,5272951271,141,28.8,5272951267,56,Center,5272951273,212,25.5,5272951269,140,54.8,5272951275,213,5.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731655533,15,1,1,1,48,5rz9enoyknpg8ji78za5b82p0,1,46.5,78.8,2024-10-06T14:02:25.633Z,2024-10-06T14:55:07Z,61sojkdsmaz9hbwaskt4rws15,M. Anderson,,,5272951659,141,67.8,5272951663,213,4.24,5272951661,212,8.4,5272951657,140,42.9,5272951655,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731732435,410,43,1,1,49,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2024-10-06T14:02:26.228Z,2024-10-06T19:29:02Z,8og8nxbkcb63van4llvpkbe8l,N. Poulsen,,,5275079985,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731655557,16,1,1,1,52,5rz9enoyknpg8ji78za5b82p0,1,42.9,67.8,2024-10-06T14:02:29.590Z,2024-10-06T14:02:30Z,8og8nxbkcb63van4llvpkbe8l,N. Poulsen,,,5272951809,212,14.3,5272951803,56,Back,5272951811,213,2.76,5272951807,141,75.6,5272951805,140,30.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731655605,17,1,1,1,53,5rz9enoyknpg8ji78za5b82p0,1,29.3,74.4,2024-10-06T14:02:30.863Z,2024-10-06T14:02:33Z,cgkvw4q8ddcjl0po181upzwx6,E. Kahl,,,5272952081,140,26.1,5272952087,213,4.48,5272952085,212,14.9,5272952083,141,53.1,5272952077,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731655635,18,1,1,1,55,5rz9enoyknpg8ji78za5b82p0,0,26.0,52.7,2024-10-06T14:02:33.167Z,2024-10-06T16:20:37Z,6my7s0ezr6jldotm1w6nk7b9x,F. Tingager,,,5272952251,157,,5272952259,212,59.2,5272952253,56,Right,5272952263,1,,5272952257,141,11.5,5272952255,140,75.7,5272952261,213,5.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731655715,22,12,1,1,57,cftj6g399tknheudaxsdpfdgb,1,29.9,83.2,2024-10-06T14:02:35.141Z,2024-10-06T19:29:20Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,,5272952685,56,Back,5272952687,140,35.2,5275081073,15,,5275081075,167,,5272952691,212,13.0,5272952689,141,100.0,5272952693,213,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731655837,19,5,1,2,1,5rz9enoyknpg8ji78za5b82p0,1,64.5,-0.7000000000000001,2024-10-06T14:02:38.289Z,2024-10-06T15:29:19Z,3gemcjqban843su9c9y5l2sk4,J. Andersen,,,5272953369,233,23,5272953323,56,Right,5272953327,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731655719,23,5,1,2,1,cftj6g399tknheudaxsdpfdgb,0,35.5,100.7,2024-10-06T14:02:38.289Z,2024-10-06T15:29:19Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,,5272952703,56,Back,5272952705,347,,5272953405,233,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731655943,20,1,1,2,6,5rz9enoyknpg8ji78za5b82p0,1,63.0,0.0,2024-10-06T14:02:43.367Z,2024-10-06T19:29:38Z,3gemcjqban843su9c9y5l2sk4,J. Andersen,,,5272953867,141,11.8,5272953865,140,43.7,5275082165,1,,5272953863,56,Back,5272953871,213,2.71,5272953869,212,22.3,5272953861,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731656033,21,1,1,2,10,5rz9enoyknpg8ji78za5b82p0,1,44.0,12.2,2024-10-06T14:02:47.262Z,2024-10-06T14:02:50Z,aswmi1pnkzkvkexp8ngief6j9,F. Beijmo,,,5272954291,212,12.3,5272954287,140,55.4,5272954285,56,Right,5272954293,213,0.22,5272954289,141,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731656131,22,1,1,2,13,5rz9enoyknpg8ji78za5b82p0,1,58.8,23.5,2024-10-06T14:02:50.431Z,2024-10-06T19:29:47Z,7je01bs3a4q6c2gd02ee6da3u,K. Arnstad,,,5272954809,212,14.7,5272954803,56,Back,5272954811,213,3.42,5272954807,141,17.6,5272954805,140,45.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731734253,411,1,1,2,14,5rz9enoyknpg8ji78za5b82p0,1,37.0,21.5,2024-10-06T14:02:51.228Z,2024-10-06T19:29:50Z,aswmi1pnkzkvkexp8ngief6j9,F. Beijmo,,,5273380803,140,19.5,5273380801,56,Back,5273380809,213,2.66,5273380805,141,35.6,5273380807,212,20.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731656199,23,1,1,2,17,5rz9enoyknpg8ji78za5b82p0,0,20.9,32.2,2024-10-06T14:02:54.415Z,2024-10-06T14:02:57Z,1h31bvtbae4q0edlp0u672hn9,J. Hansen,,,5272955171,141,37.6,5272955165,157,,5272955167,56,Center,5272955179,1,,5272955173,212,55.1,5272955169,140,73.3,5272955175,213,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731656245,24,1,1,2,20,cftj6g399tknheudaxsdpfdgb,0,22.4,58.4,2024-10-06T14:02:57.415Z,2024-10-06T19:30:13Z,9qskwuil30g48xr3ax5p9j6j9,I. Näsberg,,,5272955451,56,Back,5272955459,213,0.02,5272955453,140,32.8,5272955457,212,10.9,5272955455,141,58.7,5272955449,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2732043273,820,44,1,2,21,5rz9enoyknpg8ji78za5b82p0,1,64.3,50.4,2024-10-06T14:02:59.121Z,2024-10-06T19:42:08Z,8og8nxbkcb63van4llvpkbe8l,N. Poulsen,,,5275084155,56,Center,5275137483,233,845,5275084159,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2732043275,845,44,1,2,21,cftj6g399tknheudaxsdpfdgb,0,35.7,49.6,2024-10-06T14:02:59.122Z,2024-10-06T19:30:10Z,vrzye4jqrafujmjw3wakjpxw,T. Jørgensen,,,5275084175,233,820,5275084169,56,Back,5275084173,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731656257,24,1,1,2,22,5rz9enoyknpg8ji78za5b82p0,0,60.7,35.6,2024-10-06T14:02:59.239Z,2024-10-06T19:30:15Z,8og8nxbkcb63van4llvpkbe8l,N. Poulsen,,,5272955553,56,Center,5272955555,140,68.6,5272955557,141,55.1,5272955561,213,1.01,5272955551,3,,5272955559,212,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731656653,25,8,1,2,25,cftj6g399tknheudaxsdpfdgb,1,40.2,53.4,2024-10-06T14:03:02.806Z,2024-10-06T19:30:50Z,5f3wfx327z9hef9k9l37c90wl,J. Grønning,,,5275085315,15,,5272957959,56,Back,5275087175,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2732043905,846,1,1,2,27,cftj6g399tknheudaxsdpfdgb,0,46.4,47.8,2024-10-06T14:03:04.401Z,2024-10-06T19:31:08Z,akxcr1xe62dyl5jmh3ataq13o,Renato Júnior,,,5275087999,3,,5275087679,140,46.2,5275087681,141,43.5,5275087685,213,4.64,5275087677,56,Back,5275087683,212,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731656377,25,1,1,2,28,5rz9enoyknpg8ji78za5b82p0,1,48.1,58.3,2024-10-06T14:03:05.447Z,2024-10-06T19:31:38Z,cgkvw4q8ddcjl0po181upzwx6,E. Kahl,,,5272956307,212,20.7,5272956305,141,50.3,5272956303,140,29.1,5272956309,213,3.41,5272956301,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731656671,26,1,1,2,30,5rz9enoyknpg8ji78za5b82p0,0,19.0,50.3,2024-10-06T14:03:07.400Z,2024-10-06T19:31:40Z,1h31bvtbae4q0edlp0u672hn9,J. Hansen,,,5272958065,141,35.8,5272958071,213,5.57,5272958069,212,15.1,5272958061,140,29.9,5272958057,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731657291,26,27,1,2,31,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2024-10-06T14:03:08.274Z,2024-10-06T19:31:55Z,,,,,5272961553,233,27,5272961537,41,Injury,5272961539,53,akxcr1xe62dyl5jmh3ataq13o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731657217,27,27,1,2,31,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2024-10-06T14:03:08.274Z,2024-10-06T19:32:03Z,,,,,5272961575,233,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731657459,27,28,1,3,20,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2024-10-06T14:03:57.739Z,2024-10-06T19:32:21Z,,,,,5272962425,55,26,5273841545,233,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731657307,28,28,1,3,20,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2024-10-06T14:03:57.739Z,2024-10-06T19:32:23Z,,,,,5272961627,55,27,5273841573,233,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731657541,28,68,1,3,30,cftj6g399tknheudaxsdpfdgb,0,65.4,49.4,2024-10-06T14:04:07.319Z,2024-10-06T19:32:31Z,,,,,5275093845,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
