id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/12/value,qualifier/14/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/17/value
2708491709,9,1,1,0,15,36g6ifzjliec1jqnbtf7yesme,0,51.0,92.9,2024-08-12T17:00:24.387Z,2024-08-12T17:00:28Z,6v1kpakd3t0jhnoh1eh75ev4k,K. Davidsen,,,5145922609,1,,5145922605,212,43.8,5145922601,140,92.7,5145922603,141,95.0,5145922607,213,0.03,5145922599,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708491719,3,12,1,0,20,cftj6g399tknheudaxsdpfdgb,1,6.3,3.8,2024-08-12T17:00:28.847Z,2024-08-12T17:00:32Z,6ja2xnbktah4mog04g3kmjgmh,Ž. Zaletel,,,5145922641,140,7.3,5145922647,213,5.62,5145922639,56,Back,5145922643,141,2.6,5145922645,212,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708491721,4,83,1,0,22,cftj6g399tknheudaxsdpfdgb,0,6.1,3.4,2024-08-12T17:00:31.092Z,2024-08-12T17:00:41Z,6ja2xnbktah4mog04g3kmjgmh,Ž. Zaletel,,,5145922671,399,5lz41celw55rz3zh8pohclw5w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708491723,10,1,1,0,23,36g6ifzjliec1jqnbtf7yesme,0,90.0,96.3,2024-08-12T17:00:32.531Z,2024-08-12T19:56:49Z,5lz41celw55rz3zh8pohclw5w,O. Ross,,,5145922657,56,Left,5146303795,213,4.57,5146303789,140,89.5,5146303791,141,90.8,5146303793,212,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708491731,6,1,1,0,25,cftj6g399tknheudaxsdpfdgb,1,7.4,11.0,2024-08-12T17:00:33.584Z,2024-08-12T17:00:35Z,5f3wfx327z9hef9k9l37c90wl,J. Grønning,,,5145922695,213,3.77,5145922689,140,5.0,5145922691,141,8.3,5145922687,56,Back,5145922693,212,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708491735,7,1,1,0,27,cftj6g399tknheudaxsdpfdgb,0,2.5,7.6,2024-08-12T17:00:35.636Z,2024-08-12T17:00:36Z,6ja2xnbktah4mog04g3kmjgmh,Ž. Zaletel,,,5145922729,236,,5145922715,1,,5145922709,141,7.9,5145922711,212,1.1,5145922705,56,Back,5145922713,213,0.19,5145922731,233,11,5145922707,140,3.5,5145922703,157,5145922735,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708491733,11,74,1,0,27,36g6ifzjliec1jqnbtf7yesme,1,97.6,92.6,2024-08-12T17:00:35.637Z,2024-08-12T17:00:36Z,5lz41celw55rz3zh8pohclw5w,O. Ross,,,5145922701,285,,5145922699,56,Left,5145922743,233,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708491749,8,5,1,0,27,cftj6g399tknheudaxsdpfdgb,1,-1.4,11.2,2024-08-12T17:00:36.307Z,2024-08-12T17:27:57Z,6ja2xnbktah4mog04g3kmjgmh,Ž. Zaletel,,,5145922781,346,,5145922779,56,Back,5145922783,233,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708491739,12,5,1,0,27,36g6ifzjliec1jqnbtf7yesme,0,101.4,88.8,2024-08-12T17:00:36.307Z,2024-08-12T17:00:40Z,5lz41celw55rz3zh8pohclw5w,O. Ross,,,5145922739,346,,5145922789,233,8,5145922737,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708491755,9,1,1,0,35,cftj6g399tknheudaxsdpfdgb,1,4.8,40.0,2024-08-12T17:00:44.524Z,2024-08-12T17:00:47Z,9lgnm175tw163z53b8bmiu5pm,L. Lund,,,5145922821,56,Back,5145922827,212,10.3,5145922829,213,5.01,5145922819,124,,5145922823,140,7.7,5145922825,141,25.6,5145922833,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708491759,10,1,1,0,38,cftj6g399tknheudaxsdpfdgb,1,10.1,25.9,2024-08-12T17:00:47.132Z,2024-08-12T17:00:48Z,6ja2xnbktah4mog04g3kmjgmh,Ž. Zaletel,,,5145922847,56,Back,5145922855,213,0.39,5145922851,141,31.6,5145922849,140,19.0,5145922853,212,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708491761,11,1,1,0,39,cftj6g399tknheudaxsdpfdgb,1,19.0,31.6,2024-08-12T17:00:48.493Z,2024-08-12T17:00:49Z,5f3wfx327z9hef9k9l37c90wl,J. Grønning,,,5145922861,140,14.3,5145922867,213,4.19,5145922871,156,,5145922863,141,18.9,5145922859,56,Back,5145922865,212,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708491765,12,1,1,0,41,cftj6g399tknheudaxsdpfdgb,1,20.0,17.3,2024-08-12T17:00:50.476Z,2024-08-12T17:00:52Z,6ja2xnbktah4mog04g3kmjgmh,Ž. Zaletel,,,5145922891,212,12.0,5145922887,140,28.1,5145922889,141,4.9,5145922893,213,5.50,5145922885,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708491769,13,1,1,0,43,cftj6g399tknheudaxsdpfdgb,1,28.1,4.9,2024-08-12T17:00:52.139Z,2024-08-12T17:00:56Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,,5145922911,56,Back,5145922917,212,11.3,5145922919,213,0.48,5145922913,140,37.6,5145922915,141,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708491791,14,1,1,0,47,cftj6g399tknheudaxsdpfdgb,1,48.1,6.4,2024-08-12T17:00:56.443Z,2024-08-12T17:01:10Z,3bvc29bootgmo9tsapvygvnu2,M. Westergaard,1.0,,5145923037,141,7.4,5145923043,1,,5145923039,212,36.8,5145923033,56,Right,5145923173,210,15,5145923035,140,83.1,5145923041,213,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708491785,13,45,1,0,53,36g6ifzjliec1jqnbtf7yesme,0,9.4,85.8,2024-08-12T17:01:01.859Z,2024-08-12T17:28:23Z,brinkgys7026490q3ixx6h9uc,N. Arnórsson,,,5145923083,233,15,5145923001,285,,5145922999,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708491797,15,3,1,0,53,cftj6g399tknheudaxsdpfdgb,1,90.6,14.2,2024-08-12T17:01:01.859Z,2024-08-12T19:57:24Z,195o7hchielt14ic49r3k06sq,Serginho,,,5146305539,464,,5145923065,286,,5145923079,233,13,5145923063,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708491799,16,15,1,0,55,cftj6g399tknheudaxsdpfdgb,1,86.7,28.2,2024-08-12T17:01:04.187Z,2024-08-12T19:57:40Z,195o7hchielt14ic49r3k06sq,Serginho,,,5145923069,63,,5145923071,56,Center,5145923121,72,,5145923227,233,14,5145923195,102,46.6,5145923191,55,14,5145923203,147,47.5,5145923187,80,,5145923199,215,5145923201,146,99.3,5145923067,22,5145923197,103,1.3,5145923189,29,,,,,,,,,,,,,,,,,,,,,,,,
2708491805,14,10,1,0,55,36g6ifzjliec1jqnbtf7yesme,1,1.7000000000000002,53.9,2024-08-12T17:01:04.287Z,2024-08-12T19:57:43Z,a2l4ep71txn2edtjjcgewai5m,V. Müller,,,5146306349,376,,5145923231,233,16,5145923119,56,Back,5145923223,177,,5145923117,182,,5145923225,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708491807,15,52,1,0,58,36g6ifzjliec1jqnbtf7yesme,1,1.7000000000000002,53.9,2024-08-12T17:01:07.443Z,2024-08-12T19:57:52Z,a2l4ep71txn2edtjjcgewai5m,V. Müller,,,5146306687,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708491835,16,1,1,1,6,36g6ifzjliec1jqnbtf7yesme,1,9.4,52.1,2024-08-12T17:01:14.883Z,2024-08-12T17:01:16Z,a2l4ep71txn2edtjjcgewai5m,V. Müller,,,5145923281,56,Back,5145923283,140,10.1,5145923279,123,,5145923287,212,10.6,5145923289,213,1.50,5145923285,141,67.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708491839,17,1,1,1,7,36g6ifzjliec1jqnbtf7yesme,1,10.1,67.6,2024-08-12T17:01:16.132Z,2024-08-12T17:01:17Z,7yst1mucy7jynmpzu1thox2i,L. Kramer,,,5145923309,141,46.0,5145923305,56,Back,5145923307,140,6.1,5145923311,212,15.3,5145923313,213,4.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708491857,18,1,1,1,9,36g6ifzjliec1jqnbtf7yesme,1,5.5,45.2,2024-08-12T17:01:17.667Z,2024-08-12T17:01:23Z,a2l4ep71txn2edtjjcgewai5m,V. Müller,,,5145923417,140,12.0,5145923419,141,5.0,5145923421,212,28.2,5145923415,56,Back,5145923423,213,4.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708491855,17,83,1,1,14,cftj6g399tknheudaxsdpfdgb,0,77.0,83.8,2024-08-12T17:01:22.571Z,2024-08-12T17:01:24Z,b6q0tf252xvikt39g8jevju38,J. Vester,,,5145923443,399,dq2eqqywinhsh9ijg8amqyp78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708491861,19,50,1,1,14,36g6ifzjliec1jqnbtf7yesme,1,18.2,9.6,2024-08-12T17:01:22.963Z,2024-08-12T17:28:21Z,dq2eqqywinhsh9ijg8amqyp78,S. Otoa,,,5145923461,233,18,5145923439,56,Back,5145923441,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708491865,18,7,1,1,14,cftj6g399tknheudaxsdpfdgb,1,81.8,90.4,2024-08-12T17:01:22.964Z,2024-08-12T19:58:23Z,b6q0tf252xvikt39g8jevju38,J. Vester,,,5145923445,56,Left,5145923449,233,19,5146307999,384,,5145923447,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708491873,20,83,1,1,16,36g6ifzjliec1jqnbtf7yesme,0,23.5,17.1,2024-08-12T17:01:24.771Z,2024-08-12T17:01:26Z,dq2eqqywinhsh9ijg8amqyp78,S. Otoa,,,5145923489,399,73lwz4he5erpp25zi8crjvztg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708491881,20,50,1,1,18,cftj6g399tknheudaxsdpfdgb,1,74.8,76.8,2024-08-12T17:01:27.243Z,2024-08-12T17:01:30Z,73lwz4he5erpp25zi8crjvztg,I. Jensen,,,5145923505,286,,5145923519,233,21,5145923503,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708491885,21,7,1,1,18,36g6ifzjliec1jqnbtf7yesme,0,25.2,23.2,2024-08-12T17:01:27.244Z,2024-08-12T19:58:38Z,dq2eqqywinhsh9ijg8amqyp78,S. Otoa,,,5145923511,285,,5145923513,233,20,5146308569,385,,5145923509,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708491883,21,43,1,1,19,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2024-08-12T17:01:28.262Z,2024-08-12T19:58:45Z,73lwz4he5erpp25zi8crjvztg,I. Jensen,,,5145923507,56,Center,5146308789,144,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708491905,22,1,1,1,22,cftj6g399tknheudaxsdpfdgb,1,39.1,81.4,2024-08-12T17:01:31.323Z,2024-08-12T17:01:34Z,eq7tnnzwq0g9q4eac0o9t9xey,S. Kuzmić,,,5145923607,140,19.1,5145923611,212,24.7,5145923613,213,3.70,5145923609,141,62.3,5145923605,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708491911,23,1,1,1,25,cftj6g399tknheudaxsdpfdgb,1,19.5,56.3,2024-08-12T17:01:34.459Z,2024-08-12T17:01:35Z,9lgnm175tw163z53b8bmiu5pm,L. Lund,,,5145923639,140,31.1,5145923643,212,12.3,5145923645,213,6.16,5145923637,56,Back,5145923641,141,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708491913,24,1,1,1,27,cftj6g399tknheudaxsdpfdgb,1,31.1,54.0,2024-08-12T17:01:35.771Z,2024-08-12T17:01:37Z,5f3wfx327z9hef9k9l37c90wl,J. Grønning,,,5145923663,156,,5145923657,213,4.12,5145923651,140,21.1,5145923655,212,18.7,5145923653,141,31.2,5145923649,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708491925,25,1,1,1,29,cftj6g399tknheudaxsdpfdgb,1,22.4,25.9,2024-08-12T17:01:38.363Z,2024-08-12T17:01:41Z,6ja2xnbktah4mog04g3kmjgmh,Ž. Zaletel,,,5145923737,140,33.3,5145923743,213,5.43,5145923735,56,Back,5145923739,141,6.7,5145923741,212,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708491931,26,1,1,1,33,cftj6g399tknheudaxsdpfdgb,0,34.9,5.5,2024-08-12T17:01:41.611Z,2024-08-12T17:01:46Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,,5145923801,140,100.0,5145923807,213,0.08,5145923803,141,13.7,5145923799,56,Right,5145923805,212,69.7,5145923809,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708491957,23,5,1,1,37,36g6ifzjliec1jqnbtf7yesme,1,-1.2,77.6,2024-08-12T17:01:46.477Z,2024-08-12T17:27:57Z,a2l4ep71txn2edtjjcgewai5m,V. Müller,,,5145923955,56,Back,5145923959,233,27,5145923957,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708491933,27,5,1,1,37,cftj6g399tknheudaxsdpfdgb,0,101.2,22.4,2024-08-12T17:01:46.477Z,2024-08-12T17:27:57Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,,5145923963,233,23,5145923813,346,,5145923811,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708491935,22,43,1,1,39,36g6ifzjliec1jqnbtf7yesme,1,0.0,0.0,2024-08-12T17:01:48.339Z,2024-08-12T17:01:51Z,a2l4ep71txn2edtjjcgewai5m,V. Müller,,,5145923853,144,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708491963,24,1,1,1,51,36g6ifzjliec1jqnbtf7yesme,1,3.3,53.9,2024-08-12T17:02:00.531Z,2024-08-12T17:02:02Z,a2l4ep71txn2edtjjcgewai5m,V. Müller,,,5145923991,124,,5145924001,213,0.94,5145923997,141,66.6,5145923999,212,10.7,5145923993,56,Back,5145924005,237,,5145923995,140,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708491985,25,1,1,1,53,36g6ifzjliec1jqnbtf7yesme,1,9.4,66.6,2024-08-12T17:02:02.434Z,2024-08-12T17:02:10Z,7yst1mucy7jynmpzu1thox2i,L. Kramer,,,5145924117,140,6.3,5145924123,213,4.44,5145924115,56,Back,5145924121,212,12.1,5145924119,141,49.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708491987,26,1,1,2,1,36g6ifzjliec1jqnbtf7yesme,1,8.7,48.7,2024-08-12T17:02:10.387Z,2024-08-12T17:02:11Z,a2l4ep71txn2edtjjcgewai5m,V. Müller,,,5145924135,213,1.38,5145924133,212,16.8,5145924127,56,Back,5145924131,141,72.9,5145924129,140,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708492001,27,1,1,2,3,36g6ifzjliec1jqnbtf7yesme,1,11.5,73.0,2024-08-12T17:02:11.811Z,2024-08-12T17:02:17Z,7yst1mucy7jynmpzu1thox2i,L. Kramer,,,5145924223,213,0.86,5145924219,141,92.6,5145924221,212,17.6,5145924215,56,Back,5145924217,140,22.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708492003,28,50,1,2,8,36g6ifzjliec1jqnbtf7yesme,1,28.2,78.4,2024-08-12T17:02:16.650Z,2024-08-12T17:02:21Z,brinkgys7026490q3ixx6h9uc,N. Arnórsson,,,5145924229,285,,5145924227,56,Back,5145924265,233,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708492005,28,7,1,2,8,cftj6g399tknheudaxsdpfdgb,1,71.8,21.6,2024-08-12T17:02:16.651Z,2024-08-12T19:59:44Z,3bvc29bootgmo9tsapvygvnu2,M. Westergaard,,,5145924233,286,,5145924231,56,Center,5146310979,384,,5145924247,233,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708492033,30,1,1,2,9,cftj6g399tknheudaxsdpfdgb,1,72.0,26.5,2024-08-12T17:02:18.283Z,2024-08-12T17:02:41Z,5m27f84vvraap8bmfujt1qiok,A. Ementa,1.0,,5145924355,140,86.1,5145924361,213,5.69,5145924573,210,15,5145924353,56,Right,5145924359,212,17.8,5145924357,141,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
