id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/9/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2710368641,9,1,1,0,13,ahnt9ejgwj58ul8auzdvi3czf,0,26.5,10.3,2024-08-18T12:00:44.265Z,2024-08-18T17:06:04Z,9zhmwx3g0m6xi2oh57g4z35nu,R. Østrøm,,,5156314447,1,,5157753135,157,,5156314441,141,19.5,5156314437,56,Right,5156314439,140,92.1,5156314443,212,69.2,5156314445,213,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710368659,3,59,1,0,20,77tfx9me4aaqhzv78bmgsy9bg,1,10.0,80.8,2024-08-18T12:00:51.159Z,2024-08-18T12:00:52Z,49wkw0wkn4ta18b6657vjvglx,A. Hansen,,,5156314547,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710368661,4,52,1,0,21,77tfx9me4aaqhzv78bmgsy9bg,1,7.9,77.3,2024-08-18T12:00:52.309Z,2024-08-18T17:06:10Z,49wkw0wkn4ta18b6657vjvglx,A. Hansen,,,5157753581,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710368677,5,1,1,0,23,77tfx9me4aaqhzv78bmgsy9bg,1,9.5,64.2,2024-08-18T12:00:53.796Z,2024-08-18T12:00:56Z,49wkw0wkn4ta18b6657vjvglx,A. Hansen,,,5156314619,56,Back,5156314623,141,33.0,5156314625,212,21.3,5156314617,123,,5156314627,213,4.79,5156314621,140,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710368713,6,1,1,0,26,77tfx9me4aaqhzv78bmgsy9bg,1,13.4,33.6,2024-08-18T12:00:56.791Z,2024-08-18T12:01:03Z,55gunqozsj8gs6oua7ee5xxhx,K. Hansen,,,5156314787,141,66.4,5156314785,140,19.7,5156314791,213,1.28,5156314783,56,Back,5156314789,212,23.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710368725,7,1,1,0,32,77tfx9me4aaqhzv78bmgsy9bg,1,28.7,69.1,2024-08-18T12:01:03.381Z,2024-08-18T12:01:04Z,ddsv1cx4vopu1xis5xwkx2qz8,L. Hey,,,5156314819,56,Back,5156314825,212,16.3,5156314823,141,90.0,5156314827,213,1.06,5156314821,140,36.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710368737,8,1,1,0,33,77tfx9me4aaqhzv78bmgsy9bg,1,36.3,90.0,2024-08-18T12:01:03.957Z,2024-08-18T12:01:05Z,c9e54hwefvwos94ri459uylbe,D. Svensson,,,5156314863,213,4.36,5156314855,56,Back,5156314861,212,14.1,5156314857,140,31.6,5156314859,141,70.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710368757,9,1,1,0,34,77tfx9me4aaqhzv78bmgsy9bg,1,31.7,69.7,2024-08-18T12:01:04.948Z,2024-08-18T12:01:07Z,ddsv1cx4vopu1xis5xwkx2qz8,L. Hey,,,5156315005,140,32.4,5156315003,56,Back,5156315011,213,4.75,5156315009,212,18.0,5156315007,141,43.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710368777,10,1,1,0,36,77tfx9me4aaqhzv78bmgsy9bg,1,34.7,39.7,2024-08-18T12:01:07.621Z,2024-08-18T12:01:11Z,55gunqozsj8gs6oua7ee5xxhx,K. Hansen,,,5156315127,212,22.8,5156315121,56,Back,5156315129,213,5.18,5156315123,140,44.4,5156315125,141,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710368801,11,1,1,0,40,77tfx9me4aaqhzv78bmgsy9bg,1,43.5,13.4,2024-08-18T12:01:11.140Z,2024-08-18T12:01:13Z,7cpkykvmy8ujrahzdz7ksk2c5,P. Ankersen,,,5156315217,56,Back,5156315221,141,4.1,5156315219,140,47.7,5156315225,213,5.32,5156315223,212,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710368819,12,1,1,0,42,77tfx9me4aaqhzv78bmgsy9bg,1,47.7,4.1,2024-08-18T12:01:13.188Z,2024-08-18T12:58:57Z,7a1vtc0e7ubua2t0dwx9ufk7o,S. Egeli,,,5156315323,213,2.47,5156315313,140,38.9,5156315309,56,Back,5156315317,141,15.0,5156315319,212,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710368877,13,1,1,0,44,77tfx9me4aaqhzv78bmgsy9bg,1,39.5,14.4,2024-08-18T12:01:15.253Z,2024-08-18T12:01:21Z,7cpkykvmy8ujrahzdz7ksk2c5,P. Ankersen,,,5156315619,141,47.3,5156315617,140,32.2,5156315621,212,23.6,5156315615,56,Back,5156315623,213,1.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710368905,14,1,1,0,50,77tfx9me4aaqhzv78bmgsy9bg,1,32.8,46.9,2024-08-18T12:01:21.413Z,2024-08-18T12:01:25Z,55gunqozsj8gs6oua7ee5xxhx,K. Hansen,,,5156315769,212,13.8,5156315767,141,31.5,5156315771,213,5.42,5156315765,140,41.4,5156315763,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710368907,15,1,1,0,54,77tfx9me4aaqhzv78bmgsy9bg,1,41.4,31.5,2024-08-18T12:01:25.269Z,2024-08-18T12:01:26Z,2r8s61bmydlumhg62wd0y6fis,J. Janssen,,,5156315785,212,9.3,5156315783,141,36.0,5156315779,56,Back,5156315781,140,33.0,5156315787,213,2.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710368917,16,1,1,0,56,77tfx9me4aaqhzv78bmgsy9bg,1,34.2,32.8,2024-08-18T12:01:26.902Z,2024-08-18T12:01:27Z,55gunqozsj8gs6oua7ee5xxhx,K. Hansen,,,5156315857,212,12.8,5156315851,56,Back,5156315859,213,4.98,5156315855,141,14.6,5156315853,140,37.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710368931,17,1,1,0,56,77tfx9me4aaqhzv78bmgsy9bg,1,37.4,14.6,2024-08-18T12:01:27.573Z,2024-08-18T12:01:29Z,7cpkykvmy8ujrahzdz7ksk2c5,P. Ankersen,,,5156315933,56,Back,5156315935,140,43.8,5156315941,213,5.78,5156315939,212,7.7,5156315937,141,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710368959,18,1,1,0,58,77tfx9me4aaqhzv78bmgsy9bg,1,43.8,8.9,2024-08-18T12:01:29.445Z,2024-08-18T12:59:59Z,7a1vtc0e7ubua2t0dwx9ufk7o,S. Egeli,,,5156316075,213,2.33,5156316069,140,29.1,5156316073,212,22.5,5156316067,56,Back,5156316071,141,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710368999,19,1,1,1,1,77tfx9me4aaqhzv78bmgsy9bg,1,29.6,33.9,2024-08-18T12:01:32.566Z,2024-08-18T12:01:38Z,55gunqozsj8gs6oua7ee5xxhx,K. Hansen,,,5156316269,141,66.6,5156316267,140,34.3,5156316271,212,22.8,5156316265,56,Back,5156316273,213,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710369005,20,1,1,1,6,77tfx9me4aaqhzv78bmgsy9bg,0,41.9,70.0,2024-08-18T12:01:37.005Z,2024-08-18T13:02:11Z,ddsv1cx4vopu1xis5xwkx2qz8,L. Hey,,,5156316305,155,,5156316313,140,70.0,5156316315,141,42.2,5156316309,56,Center,5156316321,1,,5156316317,212,35.0,5156316319,213,5.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710369015,10,1,1,1,6,ahnt9ejgwj58ul8auzdvi3czf,0,30.3,58.4,2024-08-18T12:01:37.515Z,2024-08-18T12:01:49Z,4qo7eu3xwhkpssbuyk4n70fe1,Pedro Ganchas,,,5156316403,3,,5156316405,56,Back,5156316411,212,15.0,5156316409,141,56.6,5156316407,140,44.5,5156316413,213,6.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710369027,21,1,1,1,9,77tfx9me4aaqhzv78bmgsy9bg,0,65.8,36.9,2024-08-18T12:01:40.134Z,2024-08-18T12:01:41Z,2r8s61bmydlumhg62wd0y6fis,J. Janssen,,,5156316463,213,5.16,5156316459,141,26.5,5156316455,56,Center,5156316457,140,69.0,5156316461,212,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710369039,11,8,1,1,9,ahnt9ejgwj58ul8auzdvi3czf,1,34.7,69.7,2024-08-18T12:01:40.524Z,2024-08-18T17:07:05Z,cuufy3ioo1kio56er2cfn0mqc,M. Freundlich,,,5157757435,385,,5156316531,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710369073,22,1,1,1,13,77tfx9me4aaqhzv78bmgsy9bg,1,50.2,9.1,2024-08-18T12:01:43.798Z,2024-08-18T12:01:46Z,7cpkykvmy8ujrahzdz7ksk2c5,P. Ankersen,,,5156316751,141,4.7,5156316749,140,64.4,5156316755,213,6.09,5156316753,212,15.2,5156316747,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710369083,23,1,1,1,15,77tfx9me4aaqhzv78bmgsy9bg,1,61.6,5.0,2024-08-18T12:01:46.549Z,2024-08-18T13:00:20Z,7a1vtc0e7ubua2t0dwx9ufk7o,S. Egeli,,,5156316799,141,9.4,5156316795,56,Right,5156316801,212,4.2,5156316797,140,64.4,5156316805,213,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710369101,24,1,1,1,16,77tfx9me4aaqhzv78bmgsy9bg,1,64.4,9.4,2024-08-18T12:01:47.206Z,2024-08-18T12:01:49Z,5uqf7a0y0fd1hf2rrmgx11tuy,B. Nygren,,,5156316919,212,26.8,5156316913,56,Back,5156316915,140,38.9,5156316917,141,8.9,5156316921,213,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710369125,25,1,1,1,19,77tfx9me4aaqhzv78bmgsy9bg,1,40.1,7.6,2024-08-18T12:01:49.718Z,2024-08-18T12:01:54Z,7cpkykvmy8ujrahzdz7ksk2c5,P. Ankersen,,,5156317039,212,16.7,5156317037,141,31.6,5156317035,140,36.6,5156317033,56,Back,5156317041,213,1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710369143,26,1,1,1,23,77tfx9me4aaqhzv78bmgsy9bg,0,38.7,36.6,2024-08-18T12:01:53.893Z,2024-08-18T12:01:56Z,55gunqozsj8gs6oua7ee5xxhx,K. Hansen,,,5156317127,196,,5156317133,141,100.0,5156317135,212,48.2,5156317129,56,Left,5156317139,1,,5156317137,213,1.15,5156317125,155,,5156317131,140,57.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710369151,12,5,1,1,24,ahnt9ejgwj58ul8auzdvi3czf,1,45.2,-1.3,2024-08-18T12:01:55.500Z,2024-08-18T12:58:48Z,cuufy3ioo1kio56er2cfn0mqc,M. Freundlich,,,5156317163,56,Back,5156317165,347,,5156317185,233,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710369145,27,5,1,1,24,77tfx9me4aaqhzv78bmgsy9bg,0,54.8,101.3,2024-08-18T12:01:55.500Z,2024-08-18T13:03:19Z,55gunqozsj8gs6oua7ee5xxhx,K. Hansen,,,5156317143,347,,5156317141,56,Left,5156317203,233,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710369293,13,1,1,1,41,ahnt9ejgwj58ul8auzdvi3czf,0,40.4,0.0,2024-08-18T12:02:12.321Z,2024-08-18T12:02:15Z,55u45p7vwom7civ3xy3hdf71m,O. Sonne,,,5156317891,212,29.0,5156317885,56,Right,5156317883,107,,5156317889,141,7.9,5156317887,140,67.3,5156317893,213,0.23,5156317895,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710369297,28,8,1,1,45,77tfx9me4aaqhzv78bmgsy9bg,1,30.2,89.9,2024-08-18T12:02:16.231Z,2024-08-18T17:07:42Z,2r8s61bmydlumhg62wd0y6fis,J. Janssen,,,5156317957,15,,5157760273,383,,5156317913,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710369399,30,1,1,1,53,77tfx9me4aaqhzv78bmgsy9bg,1,10.7,67.6,2024-08-18T12:02:23.888Z,2024-08-18T12:02:27Z,2r8s61bmydlumhg62wd0y6fis,J. Janssen,,,5156318489,140,11.0,5156318487,56,Back,5156318495,213,4.73,5156318493,212,18.1,5156318491,141,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710369459,31,1,1,1,56,77tfx9me4aaqhzv78bmgsy9bg,1,21.4,37.7,2024-08-18T12:02:27.095Z,2024-08-18T12:02:31Z,55gunqozsj8gs6oua7ee5xxhx,K. Hansen,,,5156318775,212,18.4,5156318773,141,15.6,5156318769,56,Back,5156318771,140,31.5,5156318777,213,5.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710369487,32,1,1,2,1,77tfx9me4aaqhzv78bmgsy9bg,1,31.9,14.9,2024-08-18T12:02:31.704Z,2024-08-18T12:02:34Z,7cpkykvmy8ujrahzdz7ksk2c5,P. Ankersen,,,5156318969,141,41.6,5156318971,212,19.5,5156318967,140,25.1,5156318965,56,Back,5156318973,213,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710369515,33,1,1,2,4,77tfx9me4aaqhzv78bmgsy9bg,1,35.0,46.3,2024-08-18T12:02:34.680Z,2024-08-18T12:02:38Z,55gunqozsj8gs6oua7ee5xxhx,K. Hansen,,,5156319101,140,40.5,5156319107,213,1.24,5156319105,212,17.9,5156319103,141,71.2,5156319099,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710369529,34,1,1,2,7,77tfx9me4aaqhzv78bmgsy9bg,1,38.1,72.4,2024-08-18T12:02:38.168Z,2024-08-18T12:02:39Z,ddsv1cx4vopu1xis5xwkx2qz8,L. Hey,,,5156319207,141,57.8,5156319211,213,5.09,5156319209,212,10.7,5156319205,140,41.8,5156319203,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710369533,35,1,1,2,8,77tfx9me4aaqhzv78bmgsy9bg,1,41.8,57.8,2024-08-18T12:02:39.143Z,2024-08-18T12:02:40Z,4cubrfqgrc5ivbd6fdj3k3zf8,M. Dorgeles,,,5156319247,212,15.7,5156319241,140,30.6,5156319239,56,Back,5156319251,213,2.41,5156319245,141,73.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710369559,36,1,1,2,9,77tfx9me4aaqhzv78bmgsy9bg,1,30.6,73.2,2024-08-18T12:02:40.087Z,2024-08-18T12:02:42Z,ddsv1cx4vopu1xis5xwkx2qz8,L. Hey,,,5156319349,140,31.0,5156319351,141,49.4,5156319347,56,Back,5156319353,212,16.2,5156319355,213,4.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710369587,37,1,1,2,11,77tfx9me4aaqhzv78bmgsy9bg,1,31.1,49.0,2024-08-18T12:02:42.295Z,2024-08-18T12:02:45Z,55gunqozsj8gs6oua7ee5xxhx,K. Hansen,,,5156319519,141,23.6,5156319515,56,Back,5156319525,213,5.36,5156319517,140,43.6,5156319521,212,21.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710369609,38,1,1,2,14,77tfx9me4aaqhzv78bmgsy9bg,1,53.1,21.6,2024-08-18T12:02:45.352Z,2024-08-18T12:02:47Z,7cpkykvmy8ujrahzdz7ksk2c5,P. Ankersen,,,5156319645,56,Center,5156319651,212,16.5,5156319647,140,68.5,5156319653,213,0.20,5156319649,141,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710369631,39,1,1,2,16,77tfx9me4aaqhzv78bmgsy9bg,1,68.5,26.5,2024-08-18T12:02:47.255Z,2024-08-18T12:02:50Z,3nok8qxxj2zl831wgvc7abxuc,C. Harder,,,5156319739,56,Center,5156319743,141,69.7,5156319745,212,31.1,5156319747,213,1.23,5156319741,140,78.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710369637,40,3,1,2,19,77tfx9me4aaqhzv78bmgsy9bg,0,86.1,70.6,2024-08-18T12:02:49.943Z,2024-08-18T17:08:13Z,c9e54hwefvwos94ri459uylbe,D. Svensson,,,5156319759,56,Center,5157762449,464,,5156319867,233,14,5156319761,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710369645,14,7,1,2,19,ahnt9ejgwj58ul8auzdvi3czf,1,13.9,29.4,2024-08-18T12:02:49.944Z,2024-08-18T17:08:21Z,55u45p7vwom7civ3xy3hdf71m,O. Sonne,,,5156319821,285,,5156319843,233,40,5157763001,383,,5156319819,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
