id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/12/value,qualifier/10/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2746818215,51,61,1,0,10,ahnt9ejgwj58ul8auzdvi3czf,0,74.6,41.7,2024-11-10T13:00:21.984Z,2024-11-10T13:07:00Z,bb8q9cgqzw9n2tmkl8s3bth0q,Y. Bakiz,,,5355760569,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746812701,4,1,1,0,15,9w3sjm5ml4sjr2v81oxzdrt8v,1,36.8,48.1,2024-11-10T13:00:27.707Z,2024-11-10T13:09:16Z,4vfbiav52mg5s9vnx53f0nhuc,M. Themsen,,,5355728259,213,4.21,5355728253,140,30.2,5355728251,56,Back,5355728255,141,29.4,5355728257,212,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746812709,5,1,1,0,18,9w3sjm5ml4sjr2v81oxzdrt8v,0,29.3,24.9,2024-11-10T13:00:30.395Z,2024-11-10T13:09:27Z,6m5ftd7c68b2d4d2931xs5srt,O. Olsen,,,5355774229,157,,5355728313,140,73.0,5355728319,213,0.45,5355728321,1,,5355728315,141,57.5,5355728311,56,Center,5355728317,212,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746812735,8,1,1,0,20,ahnt9ejgwj58ul8auzdvi3czf,1,30.4,52.7,2024-11-10T13:00:32.861Z,2024-11-10T13:00:34Z,cw6s5hf1tytvb98vjuosz9r6d,R. Thelander,,,5355728413,213,3.05,5355728405,140,14.5,5355728409,141,54.9,5355728411,212,16.8,5355728403,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746812785,9,1,1,0,22,ahnt9ejgwj58ul8auzdvi3czf,1,14.5,54.9,2024-11-10T13:00:33.934Z,2024-11-10T13:00:38Z,b2492j7qzdo7g3ysxz6gq4g5x,N. Larsen,,,5355728667,212,17.4,5355728665,141,35.7,5355728661,56,Back,5355728669,213,5.44,5355728663,140,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746812841,10,1,1,0,26,ahnt9ejgwj58ul8auzdvi3czf,1,27.8,31.5,2024-11-10T13:00:38.654Z,2024-11-10T13:00:43Z,cw6s5hf1tytvb98vjuosz9r6d,R. Thelander,,,5355728893,141,69.1,5355728889,56,Back,5355728897,213,1.87,5355728891,140,20.3,5355728895,212,26.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746812895,11,1,1,0,31,ahnt9ejgwj58ul8auzdvi3czf,1,20.1,70.6,2024-11-10T13:00:42.958Z,2024-11-10T13:00:46Z,4qo7eu3xwhkpssbuyk4n70fe1,Pedro Ganchas,,,5355729191,213,1.24,5355729175,56,Back,5355729181,140,24.8,5355729185,141,91.8,5355729189,212,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746812913,12,1,1,0,34,ahnt9ejgwj58ul8auzdvi3czf,1,25.1,91.8,2024-11-10T13:00:46.302Z,2024-11-10T13:00:48Z,9zhmwx3g0m6xi2oh57g4z35nu,R. Østrøm,,,5355729271,213,5.23,5355729269,212,17.6,5355729263,56,Back,5355729265,140,33.4,5355729267,141,69.3,5355729275,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746812937,13,50,1,0,37,ahnt9ejgwj58ul8auzdvi3czf,1,34.5,73.6,2024-11-10T13:00:48.987Z,2024-11-10T13:53:53Z,6wrch4yhbs6utcc0doguj90q,M. Larsen,,,5355729445,286,,5355729441,233,6,5355729395,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746812931,6,7,1,0,37,9w3sjm5ml4sjr2v81oxzdrt8v,1,65.5,26.4,2024-11-10T13:00:48.988Z,2024-11-10T17:03:55Z,606hufq6dapf3qxcgilbc8tt5,S. Nordli,,,5355729367,56,Center,5355729433,233,13,5355729369,285,,5357456367,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746812949,7,43,1,0,37,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2024-11-10T13:00:49.675Z,2024-11-10T13:11:13Z,effgiwtme6eu08o1ninlnqqqd,D. Høegh,,,5355729481,212,4.9,5355729477,140,67.1,5355784055,144,1,5355729475,56,Center,5355729473,3,0,5355729479,141,21.3,5355729483,213,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746812955,8,61,1,0,39,9w3sjm5ml4sjr2v81oxzdrt8v,0,67.1,21.5,2024-11-10T13:00:51.068Z,2024-11-10T17:04:04Z,4vfbiav52mg5s9vnx53f0nhuc,M. Themsen,,,5355729509,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746812973,14,1,1,0,39,ahnt9ejgwj58ul8auzdvi3czf,1,30.3,73.0,2024-11-10T13:00:51.277Z,2024-11-10T13:00:54Z,6wrch4yhbs6utcc0doguj90q,M. Larsen,,,5355729603,141,91.1,5355729599,56,Back,5355729607,213,1.46,5355729601,140,31.6,5355729605,212,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746824129,153,1,1,0,40,ahnt9ejgwj58ul8auzdvi3czf,1,35.6,72.8,2024-11-10T13:00:52.018Z,2024-11-10T13:13:13Z,bplpqy3ierwlm12d1f3prue7e,P. Mattsson,,,5355791319,212,9.2,5355791313,140,41.3,5355791321,213,0.86,5355791317,141,83.0,5355791309,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746812981,15,1,1,0,41,ahnt9ejgwj58ul8auzdvi3czf,0,36.5,95.7,2024-11-10T13:00:53.918Z,2024-11-10T19:53:28Z,cuufy3ioo1kio56er2cfn0mqc,M. Freundlich,,,5357459515,286,,5355729631,56,Back,5357459513,236,,5355729637,212,2.9,5358399779,233,9,5355729635,141,95.6,5355729639,213,6.26,5355729633,140,39.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746813015,9,74,1,0,41,9w3sjm5ml4sjr2v81oxzdrt8v,1,59.8,3.4,2024-11-10T13:00:53.919Z,2024-11-10T13:54:06Z,6m5ftd7c68b2d4d2931xs5srt,O. Olsen,,,5355729809,285,,5355729807,56,Right,5355729855,233,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746813039,10,5,1,0,43,9w3sjm5ml4sjr2v81oxzdrt8v,0,66.1,-1.6,2024-11-10T13:00:55.534Z,2024-11-10T13:54:07Z,6m5ftd7c68b2d4d2931xs5srt,O. Olsen,,,5355729929,56,Right,5355729999,233,16,5355729931,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746813007,16,5,1,0,43,ahnt9ejgwj58ul8auzdvi3czf,1,33.9,101.6,2024-11-10T13:00:55.534Z,2024-11-10T13:54:07Z,cuufy3ioo1kio56er2cfn0mqc,M. Freundlich,,,5355729775,347,,5355729971,233,10,5355729773,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746813175,17,1,1,0,53,ahnt9ejgwj58ul8auzdvi3czf,1,28.8,100.0,2024-11-10T13:01:05.006Z,2024-11-10T13:01:07Z,9zhmwx3g0m6xi2oh57g4z35nu,R. Østrøm,,,5355730535,141,94.1,5355730543,213,5.77,5355730539,212,10.1,5355730533,140,37.2,5355730527,107,,5355730529,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746813183,18,61,1,0,55,ahnt9ejgwj58ul8auzdvi3czf,0,36.4,95.7,2024-11-10T13:01:07.262Z,2024-11-10T13:01:17Z,bb8q9cgqzw9n2tmkl8s3bth0q,Y. Bakiz,,,5355730575,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746813289,11,4,1,0,57,9w3sjm5ml4sjr2v81oxzdrt8v,1,62.0,6.2,2024-11-10T13:01:09.381Z,2024-11-10T17:04:42Z,6m5ftd7c68b2d4d2931xs5srt,O. Olsen,,,5355731049,152,,5355731053,286,,5355731047,56,Right,5355731051,265,,5355731159,233,19,5355731045,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746813283,19,4,1,0,57,ahnt9ejgwj58ul8auzdvi3czf,0,38.0,93.8,2024-11-10T13:01:09.382Z,2024-11-10T17:04:43Z,bb8q9cgqzw9n2tmkl8s3bth0q,Y. Bakiz,,,5355731109,56,Back,5355731111,152,,5355731205,233,11,5355731107,13,,5355731115,285,,5355731113,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746813423,12,1,1,1,7,9w3sjm5ml4sjr2v81oxzdrt8v,1,54.5,8.9,2024-11-10T13:01:19.852Z,2024-11-10T13:14:56Z,2mawaijd9czgtd5jh9myk434l,A. Rømer,,,5355731741,141,27.3,5355731745,213,2.65,5355731739,140,32.5,5355731733,5,,5355731737,56,Back,5355731735,152,,5355731743,212,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746813467,13,1,1,1,9,9w3sjm5ml4sjr2v81oxzdrt8v,1,31.4,24.7,2024-11-10T13:01:21.020Z,2024-11-10T13:01:23Z,effgiwtme6eu08o1ninlnqqqd,D. Høegh,,,5355731925,140,31.3,5355731927,141,67.3,5355731931,213,1.57,5355731929,212,29.0,5355731923,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746813505,14,1,1,1,10,9w3sjm5ml4sjr2v81oxzdrt8v,1,31.2,66.7,2024-11-10T13:01:22.892Z,2024-11-10T13:01:25Z,8cox96ikk1k4c24f0y5ef45x,W. Dammers,,,5355732163,140,26.8,5355732169,213,4.53,5355732165,141,30.6,5355732161,56,Back,5355732167,212,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746813561,15,1,1,1,13,9w3sjm5ml4sjr2v81oxzdrt8v,1,26.3,30.9,2024-11-10T13:01:24.940Z,2024-11-10T13:01:29Z,effgiwtme6eu08o1ninlnqqqd,D. Høegh,,,5355732497,141,14.3,5355732501,213,5.43,5355732495,140,35.7,5355732493,56,Back,5355732499,212,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746813595,16,1,1,1,17,9w3sjm5ml4sjr2v81oxzdrt8v,1,39.6,12.5,2024-11-10T13:01:29.196Z,2024-11-10T13:01:32Z,2mawaijd9czgtd5jh9myk434l,A. Rømer,,,5355732677,212,35.0,5355732681,1,,5355732671,56,Right,5355732675,141,13.2,5355732679,213,0.01,5355732673,140,72.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746813597,17,50,1,1,20,9w3sjm5ml4sjr2v81oxzdrt8v,1,79.0,10.3,2024-11-10T13:01:32.269Z,2024-11-10T13:53:53Z,6m5ftd7c68b2d4d2931xs5srt,O. Olsen,,,5355732685,56,Right,5355732849,233,20,5355732687,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746813615,20,7,1,1,20,ahnt9ejgwj58ul8auzdvi3czf,1,21.0,89.7,2024-11-10T13:01:32.270Z,2024-11-10T17:05:16Z,9zhmwx3g0m6xi2oh57g4z35nu,R. Østrøm,,,5357465281,383,,5355732819,233,17,5355732771,56,Back,5355732775,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746813623,21,43,1,1,22,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2024-11-10T13:01:33.934Z,2024-11-10T13:01:39Z,9zhmwx3g0m6xi2oh57g4z35nu,R. Østrøm,,,5355733239,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746813649,22,1,1,1,22,ahnt9ejgwj58ul8auzdvi3czf,0,19.1,93.2,2024-11-10T13:01:34.158Z,2024-11-10T13:01:36Z,9zhmwx3g0m6xi2oh57g4z35nu,R. Østrøm,,,5355732921,56,Back,5355732925,141,100.0,5355732927,212,15.7,5355732923,140,33.0,5355732929,213,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746813723,18,5,1,1,24,9w3sjm5ml4sjr2v81oxzdrt8v,1,61.0,-2.0,2024-11-10T13:01:36.130Z,2024-11-10T13:54:07Z,6m5ftd7c68b2d4d2931xs5srt,O. Olsen,,,5355733283,347,,5355733281,56,Right,5355733311,233,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746813655,23,5,1,1,24,ahnt9ejgwj58ul8auzdvi3czf,0,39.0,102.0,2024-11-10T13:01:36.130Z,2024-11-10T13:01:43Z,9zhmwx3g0m6xi2oh57g4z35nu,R. Østrøm,,,5355733335,233,18,5355732963,347,,5355732961,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746813973,19,1,1,1,45,9w3sjm5ml4sjr2v81oxzdrt8v,1,68.5,0.0,2024-11-10T13:01:57.708Z,2024-11-10T13:02:01Z,6m5ftd7c68b2d4d2931xs5srt,O. Olsen,,,5355734689,56,Back,5355734693,141,8.6,5355734699,1,,5355734695,212,35.6,5355734691,140,35.3,5355734687,107,,5355734697,213,2.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746814011,20,1,1,1,49,9w3sjm5ml4sjr2v81oxzdrt8v,1,32.8,10.3,2024-11-10T13:02:00.924Z,2024-11-10T17:08:51Z,effgiwtme6eu08o1ninlnqqqd,D. Høegh,,,5355734907,141,18.0,5355734905,140,43.6,5355734911,213,0.43,5355734909,212,12.5,5355734903,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746814061,21,1,1,1,51,9w3sjm5ml4sjr2v81oxzdrt8v,1,54.9,21.3,2024-11-10T13:02:03.532Z,2024-11-10T13:02:07Z,2mawaijd9czgtd5jh9myk434l,A. Rømer,,,5355735149,56,Center,5355735153,141,27.9,5355735151,140,59.4,5355735155,212,6.5,5355735157,213,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746814097,22,1,1,1,55,9w3sjm5ml4sjr2v81oxzdrt8v,1,59.3,24.0,2024-11-10T13:02:07.148Z,2024-11-10T13:02:09Z,4vfbiav52mg5s9vnx53f0nhuc,M. Themsen,,,5355735319,213,5.38,5355735315,141,14.4,5355735311,140,64.2,5355735309,56,Right,5355735317,212,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746814111,23,1,1,1,56,9w3sjm5ml4sjr2v81oxzdrt8v,1,66.1,14.1,2024-11-10T13:02:08.908Z,2024-11-10T13:02:10Z,6m5ftd7c68b2d4d2931xs5srt,O. Olsen,,,5355735393,212,16.6,5355735389,140,74.4,5355735385,155,,5355735387,56,Center,5355735395,213,1.02,5355735391,141,34.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746814143,24,61,1,1,58,9w3sjm5ml4sjr2v81oxzdrt8v,1,76.2,28.8,2024-11-10T13:02:10.363Z,2024-11-10T17:09:18Z,6w9yjs87tue7noq71ftksxez8,T. Bany,,,5355735553,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746814163,25,1,1,2,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,85.0,16.2,2024-11-10T13:02:12.205Z,2024-11-10T13:02:13Z,4vfbiav52mg5s9vnx53f0nhuc,M. Themsen,,,5355735653,140,77.1,5355735659,213,3.45,5355735657,212,8.7,5355735651,56,Right,5355735655,141,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746814201,26,1,1,2,1,9w3sjm5ml4sjr2v81oxzdrt8v,1,76.2,14.3,2024-11-10T13:02:13.628Z,2024-11-10T13:02:15Z,6m5ftd7c68b2d4d2931xs5srt,O. Olsen,,,5355735831,212,9.2,5355735827,140,85.0,5355735825,56,Right,5355735829,141,14.4,5355735833,213,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746814237,27,1,1,2,3,9w3sjm5ml4sjr2v81oxzdrt8v,1,85.2,7.4,2024-11-10T13:02:15.708Z,2024-11-10T17:09:33Z,4vfbiav52mg5s9vnx53f0nhuc,M. Themsen,,,5355736013,212,5.9,5355736007,56,Right,5355736015,213,1.62,5355736011,141,16.0,5355736009,140,84.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746814261,28,50,1,2,5,9w3sjm5ml4sjr2v81oxzdrt8v,1,83.8,20.7,2024-11-10T13:02:17.708Z,2024-11-10T19:12:21Z,6w9yjs87tue7noq71ftksxez8,T. Bany,,,5357496203,286,,5358199007,233,24,5355736131,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746814267,24,7,1,2,5,ahnt9ejgwj58ul8auzdvi3czf,0,16.2,79.3,2024-11-10T13:02:17.709Z,2024-11-10T19:12:21Z,cuufy3ioo1kio56er2cfn0mqc,M. Freundlich,,,5357496955,385,,5357496453,56,Back,5358198951,233,28,5357496457,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746814345,29,1,1,2,7,9w3sjm5ml4sjr2v81oxzdrt8v,1,89.7,13.4,2024-11-10T13:02:19.308Z,2024-11-10T13:02:25Z,6m5ftd7c68b2d4d2931xs5srt,O. Olsen,,,5355736607,140,60.2,5355736605,56,Right,5355736609,141,10.6,5355736611,212,31.0,5355736613,213,3.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746814361,30,1,1,2,12,9w3sjm5ml4sjr2v81oxzdrt8v,1,76.1,9.8,2024-11-10T13:02:24.893Z,2024-11-10T13:02:26Z,2mawaijd9czgtd5jh9myk434l,A. Rømer,,,5355736715,213,0.20,5355736709,140,87.9,5355736711,141,13.5,5355736713,212,12.6,5355736707,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
