id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/12/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2703403193,5,43,1,0,11,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2024-07-26T17:02:14.827Z,2024-07-26T19:45:10Z,bb2cldqy0vvcyrrcvj6j0d71l,A. Barkarson,,5118240555,144,1,5117893921,213,6.09,5117893915,140,34.2,5117893919,212,6.7,5117893923,1,0,5117893917,141,86.2,5117893911,157,0,5117893913,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403199,6,1,1,0,12,aljua8crr0vkwit0j3m59jw9j,0,25.2,74.5,2024-07-26T17:02:16.027Z,2024-07-26T17:02:16Z,czpstoiy12awqpasz573ckp91,D. Grétarsson,,5117893967,212,9.4,5117893959,140,33.3,5117893955,3,,5117893969,213,0.45,5117893957,56,Back,5117893965,141,80.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403205,7,61,1,0,13,anga7587r1zv4ey71ge9zxol3,0,65.2,21.2,2024-07-26T17:02:17.032Z,2024-07-26T17:02:17Z,4bstdc3zla1sn85ev3bcmw1lg,T. Storm,,5117893985,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403213,8,1,1,0,14,aljua8crr0vkwit0j3m59jw9j,1,28.5,72.3,2024-07-26T17:02:17.867Z,2024-07-26T17:57:55Z,5x8064b3yr7txk0czddfjtffu,S. Emini,,5117894017,212,6.1,5117894019,213,0.55,5117894015,141,77.0,5117894013,140,33.5,5117894011,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403221,9,1,1,0,16,aljua8crr0vkwit0j3m59jw9j,1,33.9,84.8,2024-07-26T17:02:19.771Z,2024-07-26T19:45:32Z,6gh4z3yubnpypzoakjom1rj3e,J. Gallegos,,5117894061,213,5.72,5117894057,141,75.0,5117894055,140,44.0,5117894059,212,12.5,5117894053,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403237,10,1,1,0,18,aljua8crr0vkwit0j3m59jw9j,1,40.6,62.4,2024-07-26T17:02:21.987Z,2024-07-26T19:45:36Z,a8opuarwq9byw73nhfgvo9nca,K. Ingason,,5117894159,56,Back,5117894167,213,4.92,5117894163,141,24.6,5117894165,212,26.3,5117894161,140,45.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403267,11,1,1,0,23,aljua8crr0vkwit0j3m59jw9j,1,53.1,43.3,2024-07-26T17:02:26.300Z,2024-07-26T17:02:35Z,5q4p56lg1vjsqo824aql0e1d6,D. Wilkins,,5117894333,56,Back,5117894337,141,51.0,5117894335,140,30.0,5117894339,212,24.8,5117894341,213,2.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403281,12,1,1,0,31,aljua8crr0vkwit0j3m59jw9j,1,34.7,42.4,2024-07-26T17:02:35.028Z,2024-07-26T17:02:42Z,5jdkdvxssuc8gvzwwrq5bs76y,T. Sommer,,5117894403,140,76.0,5117894401,56,Right,5117894411,1,,5117894409,213,5.85,5117894405,141,12.6,5117894407,212,47.9,5117894399,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403283,13,61,1,0,33,aljua8crr0vkwit0j3m59jw9j,0,76.0,12.0,2024-07-26T17:02:36.444Z,2024-07-26T17:02:44Z,5q4p56lg1vjsqo824aql0e1d6,D. Wilkins,,5117894415,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403287,9,1,1,0,40,anga7587r1zv4ey71ge9zxol3,1,34.9,90.1,2024-07-26T17:02:43.977Z,2024-07-26T19:52:32Z,2sgey1g99rmupumezjo9rkxcl,K. Finnsson,,5117894477,213,3.91,5117894475,212,37.8,5117894469,56,Back,5117894471,140,9.0,5117894479,1,,5117894473,141,51.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403293,10,1,1,0,45,anga7587r1zv4ey71ge9zxol3,1,9.0,51.4,2024-07-26T17:02:48.473Z,2024-07-26T17:02:53Z,15fo180vixn0lb65fujttit3p,J. Storch,,5117894499,56,Back,5117894503,141,27.1,5117894505,212,21.3,5117894501,140,21.8,5117894507,213,5.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403305,11,1,1,0,50,anga7587r1zv4ey71ge9zxol3,1,21.5,28.6,2024-07-26T17:02:53.433Z,2024-07-26T17:03:01Z,c36ffo382u9flu5foebt4di39,P. Gregor,,5117894585,56,Back,5117894589,141,47.4,5117894591,212,19.2,5117894593,213,2.41,5117894587,140,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403317,12,1,1,0,57,anga7587r1zv4ey71ge9zxol3,0,14.6,42.5,2024-07-26T17:03:01.113Z,2024-07-26T17:03:05Z,15fo180vixn0lb65fujttit3p,J. Storch,,5117894665,157,,5117894673,212,55.9,5117894671,141,58.2,5117894669,140,66.9,5117894675,213,0.19,5117894677,1,,5117894667,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403331,14,8,1,1,4,aljua8crr0vkwit0j3m59jw9j,1,33.0,47.7,2024-07-26T17:03:07.917Z,2024-07-26T19:52:48Z,5jdkdvxssuc8gvzwwrq5bs76y,T. Sommer,,5118256749,385,,5117894755,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403341,13,61,1,1,7,anga7587r1zv4ey71ge9zxol3,0,53.8,28.4,2024-07-26T17:03:10.250Z,2024-07-26T17:03:10Z,c36ffo382u9flu5foebt4di39,P. Gregor,,5117894795,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403343,15,1,1,1,8,aljua8crr0vkwit0j3m59jw9j,0,37.6,74.8,2024-07-26T17:03:11.645Z,2024-07-26T17:58:43Z,5j9d1plbsd5ic01r3ggziutwp,R. Vinderslev,,5117983895,141,100.0,5117894807,56,Back,5117983899,213,1.07,5117983893,140,46.7,5117983897,212,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403349,14,5,1,1,8,anga7587r1zv4ey71ge9zxol3,1,61.0,-1.2,2024-07-26T17:03:12.069Z,2024-07-26T19:06:07Z,c36ffo382u9flu5foebt4di39,P. Gregor,,5117894831,233,16,5117980461,347,,5117894823,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403347,16,5,1,1,8,aljua8crr0vkwit0j3m59jw9j,0,39.0,101.2,2024-07-26T17:03:12.069Z,2024-07-26T17:58:45Z,5j9d1plbsd5ic01r3ggziutwp,R. Vinderslev,,5117980475,347,,5117894841,233,14,5117894819,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403385,15,1,1,1,22,anga7587r1zv4ey71ge9zxol3,0,58.5,0.0,2024-07-26T17:03:25.995Z,2024-07-26T17:03:28Z,c36ffo382u9flu5foebt4di39,P. Gregor,,5117895107,213,0.29,5117895097,107,,5117895103,141,9.0,5117895109,1,,5117895101,140,80.5,5117895099,56,Right,5117895105,212,24.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403397,17,1,1,1,26,aljua8crr0vkwit0j3m59jw9j,0,20.3,94.7,2024-07-26T17:03:29.654Z,2024-07-26T17:03:31Z,czpstoiy12awqpasz573ckp91,D. Grétarsson,,5117895155,157,,5117895159,140,38.7,5117895167,1,,5117895165,213,6.19,5117895157,56,Back,5117895161,141,92.0,5117895163,212,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403409,16,1,1,1,28,anga7587r1zv4ey71ge9zxol3,1,55.5,7.8,2024-07-26T17:03:31.290Z,2024-07-26T17:03:33Z,c36ffo382u9flu5foebt4di39,P. Gregor,,5117895225,212,10.5,5117895221,140,63.9,5117895219,56,Right,5117895223,141,16.1,5117895217,3,,5117895227,213,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403411,17,61,1,1,30,anga7587r1zv4ey71ge9zxol3,0,63.9,16.1,2024-07-26T17:03:33.755Z,2024-07-26T17:03:34Z,d854rlweyk5wq6d2veyviukq2,C. Winther,,5117895231,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403427,18,1,1,1,31,aljua8crr0vkwit0j3m59jw9j,0,34.2,75.6,2024-07-26T17:03:34.534Z,2024-07-26T17:04:02Z,5x8064b3yr7txk0czddfjtffu,S. Emini,,5117895303,212,45.9,5117895301,141,82.6,5117895307,213,0.10,5117895299,140,77.7,5117895295,157,,5117895309,1,,5117895297,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403507,19,61,1,1,35,anga7587r1zv4ey71ge9zxol3,0,26.5,16.8,2024-07-26T17:03:38.732Z,2024-07-26T17:04:03Z,5q5ph311bi310zt1e45u7i7dh,A. Bjelland,,5117895815,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403445,20,1,1,1,38,aljua8crr0vkwit0j3m59jw9j,1,78.0,91.4,2024-07-26T17:03:41.663Z,2024-07-26T17:03:45Z,828b7y3phhpb62srvtrjhtgk4,I. Djantou,,5117895459,213,3.09,5117895445,56,Left,5117895455,212,14.6,5117895451,141,92.6,5117895447,140,64.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403447,21,4,1,1,41,aljua8crr0vkwit0j3m59jw9j,1,66.8,92.6,2024-07-26T17:03:44.902Z,2024-07-26T17:03:49Z,5j9d1plbsd5ic01r3ggziutwp,R. Vinderslev,,5117895521,286,,5117895515,294,,5117895519,152,,5117895513,13,,5117895541,233,18,5117895517,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403455,18,4,1,1,41,anga7587r1zv4ey71ge9zxol3,0,33.2,7.4,2024-07-26T17:03:44.903Z,2024-07-26T17:04:08Z,bpw4cd5vmghjhelb3uxupmqjt,S. Magnússon,,5117895533,285,,5117895527,56,Back,5117895953,294,,5117895525,13,,5117895565,233,21,5117895529,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403555,22,1,1,2,12,aljua8crr0vkwit0j3m59jw9j,1,76.9,89.0,2024-07-26T17:04:15.510Z,2024-07-26T17:04:18Z,a8opuarwq9byw73nhfgvo9nca,K. Ingason,,5117896185,141,86.2,5117896177,5,,5117896189,213,3.50,5117896179,152,,5117896187,212,5.4,5117896181,56,Left,5117896183,140,72.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403571,23,1,1,2,15,aljua8crr0vkwit0j3m59jw9j,1,75.6,81.8,2024-07-26T17:04:18.630Z,2024-07-26T19:59:12Z,bb2cldqy0vvcyrrcvj6j0d71l,A. Barkarson,,5117896241,141,43.6,5117896239,140,87.6,5118268427,224,,5117896235,155,,5117896243,212,28.9,5117896237,56,Center,5118268429,72,,5117896245,213,5.16,5117896233,2,,,,,,,,,,,,,,,,,,,,,,,,,
2703403579,24,44,1,2,18,aljua8crr0vkwit0j3m59jw9j,1,87.2,43.4,2024-07-26T17:04:21.903Z,2024-07-26T17:04:24Z,828b7y3phhpb62srvtrjhtgk4,I. Djantou,,5117896295,56,Center,5117896313,233,20,5117896297,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403577,20,44,1,2,18,anga7587r1zv4ey71ge9zxol3,0,12.8,56.6,2024-07-26T17:04:21.904Z,2024-07-26T17:04:24Z,5is9bcj143orulo4biogwxzl6,L. Lissens,,5117896293,285,,5117896291,56,Back,5117896333,233,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403581,25,1,1,2,19,aljua8crr0vkwit0j3m59jw9j,0,85.9,41.3,2024-07-26T17:04:22.471Z,2024-07-26T17:57:14Z,828b7y3phhpb62srvtrjhtgk4,I. Djantou,,5117905131,3,,5117905133,140,96.7,5117896305,56,Center,5117905135,141,47.0,5117905139,213,0.33,5117905137,212,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403593,21,52,1,2,22,anga7587r1zv4ey71ge9zxol3,1,4.0,55.8,2024-07-26T17:04:25.932Z,2024-07-26T19:59:20Z,15fo180vixn0lb65fujttit3p,J. Storch,,5118268657,378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403611,22,1,1,2,23,anga7587r1zv4ey71ge9zxol3,1,10.3,57.4,2024-07-26T17:04:26.796Z,2024-07-26T17:04:30Z,15fo180vixn0lb65fujttit3p,J. Storch,,5117896503,213,1.06,5117896493,123,,5117896501,212,27.6,5117896497,140,23.2,5117896499,141,92.7,5117896495,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403629,23,1,1,2,26,anga7587r1zv4ey71ge9zxol3,1,24.3,93.2,2024-07-26T17:04:29.916Z,2024-07-26T17:04:33Z,2sgey1g99rmupumezjo9rkxcl,K. Finnsson,,5117896617,212,16.8,5117896615,141,77.8,5117896619,213,3.82,5117896611,56,Back,5117896613,140,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403643,24,1,1,2,29,anga7587r1zv4ey71ge9zxol3,1,11.8,77.3,2024-07-26T17:04:33.100Z,2024-07-26T17:04:35Z,5is9bcj143orulo4biogwxzl6,L. Lissens,,5117896695,56,Back,5117896699,141,51.6,5117896703,213,4.81,5117896697,140,13.4,5117896701,212,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403681,25,1,1,2,32,anga7587r1zv4ey71ge9zxol3,1,14.4,51.3,2024-07-26T17:04:35.644Z,2024-07-26T17:04:43Z,5q5ph311bi310zt1e45u7i7dh,A. Bjelland,,5117896905,141,94.1,5117896909,212,33.1,5117896917,1,,5117896901,140,29.4,5117896913,213,1.07,5117896897,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403693,26,1,1,2,40,anga7587r1zv4ey71ge9zxol3,1,42.9,92.2,2024-07-26T17:04:43.484Z,2024-07-26T17:04:46Z,2sgey1g99rmupumezjo9rkxcl,K. Finnsson,,5117897007,213,3.93,5117897003,141,78.2,5117897005,212,13.5,5117896999,56,Back,5117897001,140,33.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403711,27,1,1,2,42,anga7587r1zv4ey71ge9zxol3,1,34.6,72.4,2024-07-26T17:04:46.093Z,2024-07-26T17:04:50Z,6d0lxiep13vdv32bdb0xwyrys,L. Sandgrav,,5117897109,140,43.5,5117897111,141,27.8,5117897115,212,31.7,5117897117,213,5.01,5117897107,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403725,28,1,1,2,47,anga7587r1zv4ey71ge9zxol3,1,47.4,24.9,2024-07-26T17:04:50.333Z,2024-07-26T17:04:53Z,c36ffo382u9flu5foebt4di39,P. Gregor,,5117897203,213,2.47,5117897197,140,36.8,5117897201,212,14.2,5117897199,141,37.9,5117897195,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403729,29,1,1,2,49,anga7587r1zv4ey71ge9zxol3,1,36.8,37.9,2024-07-26T17:04:53.021Z,2024-07-26T17:04:54Z,5q5ph311bi310zt1e45u7i7dh,A. Bjelland,,5117897227,213,0.66,5117897221,140,44.0,5117897225,212,9.6,5117897219,56,Back,5117897223,141,46.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403739,30,1,1,2,51,anga7587r1zv4ey71ge9zxol3,1,44.0,46.5,2024-07-26T17:04:54.508Z,2024-07-26T17:04:56Z,6d0lxiep13vdv32bdb0xwyrys,L. Sandgrav,,5117897299,212,23.8,5117897293,56,Back,5117897295,140,43.8,5117897297,141,11.5,5117897301,213,4.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403745,31,1,1,2,53,anga7587r1zv4ey71ge9zxol3,1,43.8,11.4,2024-07-26T17:04:56.269Z,2024-07-26T17:04:57Z,c36ffo382u9flu5foebt4di39,P. Gregor,,5117897331,56,Right,5117897333,140,59.1,5117897335,141,3.7,5117897339,213,5.97,5117897337,212,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403759,32,1,1,2,54,anga7587r1zv4ey71ge9zxol3,1,59.1,3.7,2024-07-26T17:04:57.660Z,2024-07-26T17:06:34Z,bpw4cd5vmghjhelb3uxupmqjt,S. Magnússon,,5117897437,141,14.9,5117897441,213,2.64,5117897439,212,15.7,5117897435,140,46.0,5117897433,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403769,33,1,1,2,56,anga7587r1zv4ey71ge9zxol3,1,52.5,14.1,2024-07-26T17:04:59.836Z,2024-07-26T17:05:02Z,c36ffo382u9flu5foebt4di39,P. Gregor,,5117897497,140,67.2,5117897503,213,5.84,5117897499,141,3.2,5117897495,56,Right,5117897501,212,17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403773,34,1,1,2,58,anga7587r1zv4ey71ge9zxol3,1,67.9,3.2,2024-07-26T17:05:02.141Z,2024-07-26T17:05:03Z,bpw4cd5vmghjhelb3uxupmqjt,S. Magnússon,,5117897527,213,1.09,5117897523,141,16.4,5117897519,56,Right,5117897521,140,72.4,5117897525,212,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403785,35,1,1,3,0,anga7587r1zv4ey71ge9zxol3,1,72.4,16.4,2024-07-26T17:05:03.741Z,2024-07-26T17:05:06Z,deyq3zqd0vwc821ngqldxqor9,F. Gytkjær,,5117897581,213,5.37,5117897577,141,3.6,5117897579,212,11.0,5117897573,56,Right,5117897575,140,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403805,36,1,1,3,3,anga7587r1zv4ey71ge9zxol3,0,84.9,4.1,2024-07-26T17:05:07.181Z,2024-07-26T19:59:52Z,4bstdc3zla1sn85ev3bcmw1lg,T. Storm,,5117897687,56,Right,5117897693,212,3.6,5118269721,224,,5117897691,141,9.3,5118269723,20,,5117897689,140,85.6,5117897695,213,1.37,5117897683,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403817,26,61,1,3,5,aljua8crr0vkwit0j3m59jw9j,1,12.5,91.2,2024-07-26T17:05:09.208Z,2024-07-26T17:05:09Z,czpstoiy12awqpasz573ckp91,D. Grétarsson,,5117897749,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403849,37,1,1,3,7,anga7587r1zv4ey71ge9zxol3,0,96.1,18.0,2024-07-26T17:05:11.165Z,2024-07-26T20:00:01Z,deyq3zqd0vwc821ngqldxqor9,F. Gytkjær,,5118270063,224,,5117897913,155,,5117897911,2,,5117897917,140,91.7,5117897919,141,57.9,5117897923,213,1.74,5117897921,212,27.5,5118270065,20,,5117897915,56,Center,,,,,,,,,,,,,,,,,,,,,,,,
