id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/10/value,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2710452433,7,1,1,0,11,cftj6g399tknheudaxsdpfdgb,1,69.7,26.4,2024-08-18T14:01:58.579Z,2024-08-18T14:01:59Z,b6q0tf252xvikt39g8jevju38,J. Vester,,,5156789737,140,72.2,5156789741,212,4.1,5156789743,213,5.41,5156789739,141,21.8,5156789735,56,Center,5156789733,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710452437,8,61,1,0,12,cftj6g399tknheudaxsdpfdgb,1,72.2,21.8,2024-08-18T14:01:59.681Z,2024-08-18T14:02:00Z,3bvc29bootgmo9tsapvygvnu2,M. Westergaard,,,5156789765,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710452453,9,1,1,0,13,cftj6g399tknheudaxsdpfdgb,0,66.0,26.4,2024-08-18T14:02:00.611Z,2024-08-18T14:02:00Z,5f3wfx327z9hef9k9l37c90wl,J. Grønning,,,5156789843,140,68.3,5156789841,56,Center,5156789845,141,22.8,5156789847,212,3.4,5156789849,213,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710452495,6,1,1,0,13,b3r6d8ydtmtjckam6pku9y400,1,32.0,69.9,2024-08-18T14:02:01.196Z,2024-08-18T14:02:07Z,ftw3io63hk5vuoa3lyfgowes,W. Clem,,,5156790045,56,Back,5156790049,141,76.3,5156790047,140,34.1,5156790053,213,1.10,5156790051,212,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710452503,7,1,1,0,14,b3r6d8ydtmtjckam6pku9y400,0,34.1,76.3,2024-08-18T14:02:01.868Z,2024-08-18T14:02:09Z,ssluj1c3ft94nkfs58dc8cq2,E. Achouri,,,5156790083,140,40.4,5156790085,141,71.2,5156790081,56,Back,5156790087,212,7.5,5156790089,213,5.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710452513,10,1,1,0,16,cftj6g399tknheudaxsdpfdgb,1,52.5,28.9,2024-08-18T14:02:03.380Z,2024-08-18T14:09:20Z,6ja2xnbktah4mog04g3kmjgmh,Ž. Zaletel,,,5156790129,56,Back,5156790137,213,2.43,5156790131,140,38.5,5156790135,212,19.4,5156790133,141,47.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710452535,11,1,1,0,17,cftj6g399tknheudaxsdpfdgb,1,37.2,45.5,2024-08-18T14:02:04.691Z,2024-08-18T14:02:07Z,auk14ut8cwaqop549u2zmfgt1,N. Bürgy,,,5156790253,140,38.3,5156790255,141,28.2,5156790251,56,Back,5156790259,213,4.81,5156790257,212,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710452605,12,1,1,0,19,cftj6g399tknheudaxsdpfdgb,1,38.3,28.2,2024-08-18T14:02:07.075Z,2024-08-18T14:02:11Z,6ja2xnbktah4mog04g3kmjgmh,Ž. Zaletel,,,5156790561,141,24.6,5156790565,213,6.18,5156790559,140,60.4,5156790557,56,Center,5156790563,212,23.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710452619,13,1,1,0,24,cftj6g399tknheudaxsdpfdgb,1,60.4,24.4,2024-08-18T14:02:11.667Z,2024-08-18T14:09:41Z,3bvc29bootgmo9tsapvygvnu2,M. Westergaard,,,5156790627,212,7.7,5156790629,213,5.06,5156790621,56,Right,5156790625,141,13.8,5156790623,140,62.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710458533,86,3,1,0,24,cftj6g399tknheudaxsdpfdgb,0,65.7,9.0,2024-08-18T14:02:11.714Z,2024-08-18T14:19:38Z,195o7hchielt14ic49r3k06sq,Serginho,,,5156824313,56,Right,5156824315,286,,5156824701,233,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710452623,8,7,1,0,24,b3r6d8ydtmtjckam6pku9y400,0,34.3,91.0,2024-08-18T14:02:11.715Z,2024-08-18T14:19:37Z,2ubad2kxha6n1c8c8sr2ogmad,B. Meling,,,5156791453,285,,5156824675,233,86,5156790659,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710452679,14,1,1,0,25,cftj6g399tknheudaxsdpfdgb,1,59.9,23.4,2024-08-18T14:02:13.316Z,2024-08-18T14:02:16Z,5f3wfx327z9hef9k9l37c90wl,J. Grønning,,,5156790925,3,,5156790929,140,56.7,5156790935,213,4.33,5156790931,141,11.0,5156790927,56,Right,5156790933,212,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710452719,15,1,1,0,28,cftj6g399tknheudaxsdpfdgb,1,46.1,13.7,2024-08-18T14:02:16.052Z,2024-08-18T14:02:19Z,bitixkzgt5p65rlo2bnllcf6x,J. Mbom,,,5156791107,213,1.94,5156791101,140,37.3,5156791105,212,25.6,5156791099,56,Back,5156791103,141,48.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710452775,16,1,1,0,36,cftj6g399tknheudaxsdpfdgb,1,38.9,57.9,2024-08-18T14:02:23.347Z,2024-08-18T14:10:31Z,auk14ut8cwaqop549u2zmfgt1,N. Bürgy,,,5156791399,140,36.9,5156828049,189,,5156791403,212,17.3,5156791397,56,Back,5156791405,213,4.59,5156791401,141,32.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710452789,17,1,1,0,36,cftj6g399tknheudaxsdpfdgb,1,36.9,32.7,2024-08-18T14:02:23.939Z,2024-08-18T14:10:32Z,6ja2xnbktah4mog04g3kmjgmh,Ž. Zaletel,,,5156828141,189,,5156791477,140,47.4,5156791481,212,12.7,5156791475,56,Back,5156791483,213,0.52,5156791479,141,41.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710452803,18,1,1,0,37,cftj6g399tknheudaxsdpfdgb,1,47.4,41.9,2024-08-18T14:02:25.027Z,2024-08-18T14:02:26Z,5f3wfx327z9hef9k9l37c90wl,J. Grønning,,,5156791577,156,,5156791547,140,37.3,5156791543,56,Back,5156791561,213,3.51,5156791551,141,35.8,5156791555,212,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710452849,19,1,1,0,40,cftj6g399tknheudaxsdpfdgb,1,35.3,37.0,2024-08-18T14:02:27.363Z,2024-08-18T14:02:30Z,6ja2xnbktah4mog04g3kmjgmh,Ž. Zaletel,,,5156791809,213,1.59,5156791807,212,20.8,5156791805,141,67.6,5156791801,56,Back,5156791803,140,34.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710452891,20,1,1,0,42,cftj6g399tknheudaxsdpfdgb,1,35.9,72.4,2024-08-18T14:02:29.907Z,2024-08-18T14:02:32Z,auk14ut8cwaqop549u2zmfgt1,N. Bürgy,,,5156791977,56,Back,5156792007,212,15.2,5156792011,213,1.35,5156791985,141,94.2,5156791981,140,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710452907,21,1,1,0,44,cftj6g399tknheudaxsdpfdgb,1,37.6,94.8,2024-08-18T14:02:32.131Z,2024-08-18T14:02:34Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,,5156792137,212,11.5,5156792133,140,38.1,5156792131,56,Back,5156792135,141,77.9,5156792139,213,4.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710452965,22,1,1,0,46,cftj6g399tknheudaxsdpfdgb,1,34.6,88.9,2024-08-18T14:02:34.292Z,2024-08-18T14:02:39Z,auk14ut8cwaqop549u2zmfgt1,N. Bürgy,,,5156792485,212,28.5,5156792481,141,61.5,5156792491,213,3.86,5156792473,56,Back,5156792477,140,14.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710453011,23,1,1,0,52,cftj6g399tknheudaxsdpfdgb,0,14.3,59.6,2024-08-18T14:02:39.652Z,2024-08-18T14:02:42Z,dk9nlp77b6q38p751f8w3o8np,O. Hedvall,,,5156792723,155,,5156792725,56,Back,5156792729,141,7.1,5156792733,213,5.39,5156792735,1,,5156792731,212,45.7,5156792727,140,41.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710453031,9,61,1,0,55,b3r6d8ydtmtjckam6pku9y400,0,54.1,92.3,2024-08-18T14:02:42.804Z,2024-08-18T14:57:24Z,2ubad2kxha6n1c8c8sr2ogmad,B. Meling,,,5156792833,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710453043,10,5,1,0,56,b3r6d8ydtmtjckam6pku9y400,0,59.4,101.2,2024-08-18T14:02:43.571Z,2024-08-18T14:20:38Z,2ubad2kxha6n1c8c8sr2ogmad,B. Meling,,,5156792857,347,,5156792855,56,Left,5156793021,233,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710453063,24,5,1,0,56,cftj6g399tknheudaxsdpfdgb,1,40.6,-1.2,2024-08-18T14:02:43.571Z,2024-08-18T14:20:37Z,dk9nlp77b6q38p751f8w3o8np,O. Hedvall,,,5156792965,233,10,5156792957,347,,5156792955,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710453191,25,1,1,1,8,cftj6g399tknheudaxsdpfdgb,0,41.8,0.0,2024-08-18T14:02:55.990Z,2024-08-18T14:03:08Z,bitixkzgt5p65rlo2bnllcf6x,J. Mbom,,,5156793681,213,1.31,5156793673,56,Back,5156793671,107,,5156793675,140,44.4,5156793677,141,13.4,5156793679,212,10.4,5156793743,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710453241,26,1,1,1,12,cftj6g399tknheudaxsdpfdgb,1,35.9,7.1,2024-08-18T14:02:59.875Z,2024-08-18T14:03:00Z,195o7hchielt14ic49r3k06sq,Serginho,,,5156793923,140,39.8,5156793925,141,17.6,5156793921,56,Back,5156793929,213,1.05,5156793927,212,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710453255,27,1,1,1,13,cftj6g399tknheudaxsdpfdgb,1,39.8,17.6,2024-08-18T14:03:00.706Z,2024-08-18T14:03:02Z,5f3wfx327z9hef9k9l37c90wl,J. Grønning,,,5156794019,140,33.5,5156794017,56,Back,5156794023,212,7.2,5156794045,156,,5156794021,141,13.4,5156794025,213,3.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710453309,28,1,1,1,17,cftj6g399tknheudaxsdpfdgb,1,33.3,26.8,2024-08-18T14:03:04.323Z,2024-08-18T14:03:08Z,195o7hchielt14ic49r3k06sq,Serginho,,,5156794291,141,68.7,5156794295,213,1.80,5156794289,140,26.9,5156794287,56,Back,5156794293,212,29.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710453369,29,1,1,1,22,cftj6g399tknheudaxsdpfdgb,1,36.0,69.1,2024-08-18T14:03:09.411Z,2024-08-18T14:03:11Z,auk14ut8cwaqop549u2zmfgt1,N. Bürgy,,,5156794593,212,15.0,5156794589,140,31.3,5156794591,141,48.2,5156794597,213,4.38,5156794587,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710453425,30,1,1,1,24,cftj6g399tknheudaxsdpfdgb,1,28.6,41.0,2024-08-18T14:03:11.763Z,2024-08-18T14:03:16Z,6ja2xnbktah4mog04g3kmjgmh,Ž. Zaletel,,,5156794877,141,56.4,5156794879,212,20.7,5156794871,56,Back,5156794875,140,11.6,5156794881,213,2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710453479,31,1,1,1,28,cftj6g399tknheudaxsdpfdgb,0,13.1,64.9,2024-08-18T14:03:16.019Z,2024-08-18T14:03:18Z,dk9nlp77b6q38p751f8w3o8np,O. Hedvall,,,5156795149,155,,5156795163,1,,5156795161,213,0.01,5156795157,141,65.7,5156795159,212,44.5,5156795155,140,55.5,5156795151,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710453533,11,1,1,1,32,b3r6d8ydtmtjckam6pku9y400,1,49.6,32.5,2024-08-18T14:03:19.596Z,2024-08-18T14:57:29Z,w0wt7gjkdddn63a4258j8frp,D. Vavro,,,5156795477,56,Back,5156795475,3,,5156795483,212,25.1,5156795479,140,45.1,5156795485,213,1.76,5156795481,141,68.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710454121,17,1,1,1,34,b3r6d8ydtmtjckam6pku9y400,0,42.3,66.4,2024-08-18T14:03:22.148Z,2024-08-18T14:57:33Z,2ubad2kxha6n1c8c8sr2ogmad,B. Meling,,,5156798747,212,3.5,5156798749,213,5.12,5156798745,141,61.7,5156798741,56,Back,5156798743,140,43.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710453539,32,8,1,1,35,cftj6g399tknheudaxsdpfdgb,1,56.9,34.9,2024-08-18T14:03:23.187Z,2024-08-18T14:12:43Z,3bvc29bootgmo9tsapvygvnu2,M. Westergaard,,,5156795511,56,Center,5156837717,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710453589,33,1,1,1,38,cftj6g399tknheudaxsdpfdgb,1,71.0,32.4,2024-08-18T14:03:25.844Z,2024-08-18T14:03:52Z,3bvc29bootgmo9tsapvygvnu2,M. Westergaard,1.0,,5156795813,212,7.2,5156795811,141,22.2,5156795815,213,5.01,5156795803,56,Center,5156795807,140,73.0,5156797381,210,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710453629,34,43,1,1,40,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2024-08-18T14:03:28.115Z,2024-08-18T14:03:33Z,195o7hchielt14ic49r3k06sq,Serginho,,,5156796005,286,0,5156796147,144,3,5156796003,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710453635,35,15,1,1,42,cftj6g399tknheudaxsdpfdgb,1,84.8,32.5,2024-08-18T14:03:29.524Z,2024-08-18T14:04:16Z,195o7hchielt14ic49r3k06sq,Serginho,,,5156797413,147,47.8,5156797401,55,33,5156797397,80,,5156797411,146,97.8,5156796261,72,,5156796027,56,Center,5156797405,102,45.7,5156797409,215,,5156799071,233,12,5156797399,29,5156796023,22,5156796025,63,5156797407,103,3.8,,,,,,,,,,,,,,,,,,,,,
2710453623,12,10,1,1,42,b3r6d8ydtmtjckam6pku9y400,1,2.2,49.4,2024-08-18T14:03:29.624Z,2024-08-18T14:04:17Z,ckhhpn9ppgvlrtubf7li3se09,N. Trott,,,5156795981,56,Back,5156795979,182,,5156795975,173,,5156799113,233,35,5156799031,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710462159,110,83,1,1,45,cftj6g399tknheudaxsdpfdgb,0,98.7,33.9,2024-08-18T14:03:32.489Z,2024-08-18T14:14:19Z,akxcr1xe62dyl5jmh3ataq13o,Renato Júnior,,,5156845163,399,4cbaoo2irqtme9goxuz6s3ey2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710453675,14,1,1,1,45,b3r6d8ydtmtjckam6pku9y400,1,3.4,70.9,2024-08-18T14:03:33.132Z,2024-08-18T14:03:36Z,4cbaoo2irqtme9goxuz6s3ey2,Gabriel Pereira,,,5156796297,141,89.6,5156796301,213,0.85,5156796299,212,16.9,5156796295,140,14.0,5156796293,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710453697,15,1,1,1,49,b3r6d8ydtmtjckam6pku9y400,0,14.1,89.6,2024-08-18T14:03:36.716Z,2024-08-18T14:03:38Z,2ubad2kxha6n1c8c8sr2ogmad,B. Meling,,,5156796381,141,50.7,5156796385,213,5.46,5156796383,212,36.0,5156796379,140,37.4,5156796375,157,,5156796387,1,,5156796377,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710453721,36,43,1,1,52,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2024-08-18T14:03:39.459Z,2024-08-18T14:03:46Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,,5156796509,56,Center,5156796513,141,56.3,5156796517,213,6.19,5156796515,212,9.0,5156796511,140,69.7,5156796963,144,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710453761,37,4,1,1,55,cftj6g399tknheudaxsdpfdgb,1,62.0,49.6,2024-08-18T14:03:43.123Z,2024-08-18T14:19:36Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,,5156796719,152,,5156796715,13,,5156796723,286,,5156796769,233,16,5156796717,56,Center,5156796721,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710453767,16,4,1,1,55,b3r6d8ydtmtjckam6pku9y400,0,38.0,50.4,2024-08-18T14:03:43.124Z,2024-08-18T14:19:37Z,c9u2w9ikckbrra8vln2ucbf9w,V. Froholdt,,,5156796749,56,Back,5156796837,233,37,5156796747,13,,5156796753,265,,5156796755,285,,5156796751,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710454199,38,1,1,2,27,cftj6g399tknheudaxsdpfdgb,1,63.8,48.1,2024-08-18T14:04:15.299Z,2024-08-18T14:04:17Z,5f3wfx327z9hef9k9l37c90wl,J. Grønning,,,5156799139,152,,5156799155,213,4.66,5156799151,212,15.5,5156799149,141,25.3,5156799145,140,63.0,5156799141,56,Center,5156799137,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710454219,39,1,1,2,30,cftj6g399tknheudaxsdpfdgb,1,61.7,20.9,2024-08-18T14:04:17.347Z,2024-08-18T14:04:19Z,bitixkzgt5p65rlo2bnllcf6x,J. Mbom,,,5156799291,56,Right,5156799295,141,4.4,5156799299,213,5.53,5156799293,140,73.1,5156799297,212,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
