id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/11/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/10/value,qualifier/13/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2739906713,6,7,1,0,18,b3r6d8ydtmtjckam6pku9y400,1,31.8,5.2,2024-10-27T11:19:37.722Z,2024-10-27T18:01:33Z,9ic9msq3tj4gx8wqa6wfwk50q,G. Gocholeishvili,,5318071729,285,,5320175261,384,,5318071727,56,Back,5318071747,233,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739906751,9,83,1,0,20,9qsmopgutr7ut5g6workk8w4i,0,61.1,93.0,2024-10-27T11:19:39.981Z,2024-10-27T18:01:55Z,53nd6a4o02ebb0w2s12prijje,Y. Suzuki,,5318072141,399,6tckvu2rw7ns18dq7dim0sout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739906777,8,1,1,0,21,b3r6d8ydtmtjckam6pku9y400,1,40.0,5.0,2024-10-27T11:19:40.874Z,2024-10-27T11:19:45Z,6tckvu2rw7ns18dq7dim0sout,M. Elyounoussi,,5318072023,212,5.4,5318072021,141,11.4,5318072017,56,Back,5318072025,213,2.21,5318072019,140,36.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739906791,9,1,1,0,25,b3r6d8ydtmtjckam6pku9y400,0,36.4,11.0,2024-10-27T11:19:45.066Z,2024-10-27T11:19:47Z,4gqnyyx3i92fayq6cxvekqwut,T. Delaney,,5318072117,56,Right,5318072121,141,17.7,5318072123,212,43.4,5318072115,155,,5318072119,140,77.5,5318072125,213,0.11,5318072173,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739906819,10,59,1,0,27,9qsmopgutr7ut5g6workk8w4i,1,17.3,88.1,2024-10-27T11:19:46.661Z,2024-10-27T11:21:19Z,4ilnnpfgjfz35lni9ppzd93v9,P. Pentz,,5318072273,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739906831,11,12,1,0,27,9qsmopgutr7ut5g6workk8w4i,1,17.3,88.1,2024-10-27T11:19:47.294Z,2024-10-27T11:21:22Z,4ilnnpfgjfz35lni9ppzd93v9,P. Pentz,,5318072343,141,100.0,5318072365,167,,5318072339,140,21.5,5318072345,212,9.8,5318072337,56,Back,5318072347,213,1.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739906919,10,5,1,0,28,b3r6d8ydtmtjckam6pku9y400,1,77.4,-1.4,2024-10-27T11:19:48.282Z,2024-10-27T11:21:13Z,4gqnyyx3i92fayq6cxvekqwut,T. Delaney,,5318072829,347,,5318072843,233,12,5318072827,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739906835,12,5,1,0,28,9qsmopgutr7ut5g6workk8w4i,0,22.6,101.4,2024-10-27T11:19:48.282Z,2024-10-27T11:21:13Z,4ilnnpfgjfz35lni9ppzd93v9,P. Pentz,,5318072355,347,,5318072353,56,Back,5318072869,233,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739906937,11,1,1,0,38,b3r6d8ydtmtjckam6pku9y400,1,75.6,0.0,2024-10-27T11:19:57.921Z,2024-10-27T11:20:35Z,8g4r9maz4invihjmdzpfxy0np,V. Claesson,,5318072917,140,58.6,5318072915,56,Right,5318072923,213,2.85,5318072921,212,18.6,5318072919,141,5.8,5318073329,189,,5318072913,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739906951,12,1,1,0,39,b3r6d8ydtmtjckam6pku9y400,1,58.6,5.9,2024-10-27T11:19:59.218Z,2024-10-27T11:20:24Z,9ic9msq3tj4gx8wqa6wfwk50q,G. Gocholeishvili,,5318072987,56,Back,5318072993,212,18.3,5318072991,141,20.4,5318072989,140,43.9,5318073411,189,,5318072995,213,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739906957,13,1,1,0,41,b3r6d8ydtmtjckam6pku9y400,1,43.9,20.6,2024-10-27T11:20:00.722Z,2024-10-27T11:20:26Z,4cbaoo2irqtme9goxuz6s3ey2,Gabriel Pereira,,5318073053,140,37.2,5318073051,56,Back,5318073059,213,1.85,5318073593,189,,5318073055,141,56.4,5318073057,212,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739906961,14,1,1,0,43,b3r6d8ydtmtjckam6pku9y400,1,37.2,56.9,2024-10-27T11:20:02.706Z,2024-10-27T11:20:40Z,ayqy2vql1oumokqly9ahfrnx1,P. Hatzidiakos,,5318073709,189,,5318073083,140,41.7,5318073081,56,Back,5318073089,213,1.19,5318073085,141,74.4,5318073087,212,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739906985,15,1,1,0,47,b3r6d8ydtmtjckam6pku9y400,0,41.7,74.5,2024-10-27T11:20:06.794Z,2024-10-27T11:20:10Z,7xc0qldxpidl07vij2wgu1sk5,K. Diks,,5318073253,213,5.63,5318073243,196,,5318073251,212,78.6,5318073241,155,,5318073249,141,4.4,5318073245,56,Right,5318073255,1,,5318073247,140,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739907109,13,5,1,0,50,9qsmopgutr7ut5g6workk8w4i,1,-1.2,93.6,2024-10-27T11:20:10.060Z,2024-10-27T11:21:14Z,chteizjcvxpvze9p77gcttcoa,N. Vallys,,5318074017,346,,5318074015,56,Back,5318074025,233,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739906989,16,5,1,0,50,b3r6d8ydtmtjckam6pku9y400,0,101.2,6.4,2024-10-27T11:20:10.060Z,2024-10-27T11:21:14Z,7xc0qldxpidl07vij2wgu1sk5,K. Diks,,5318073257,56,Right,5318073259,346,,5318074029,233,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739907117,14,1,1,1,8,9qsmopgutr7ut5g6workk8w4i,1,4.7,50.4,2024-10-27T11:20:28.087Z,2024-10-27T12:12:33Z,4ilnnpfgjfz35lni9ppzd93v9,P. Pentz,,5318074061,56,Back,5318074063,140,6.0,5318212309,189,,5318074069,213,1.42,5318074073,237,,5318074065,141,63.6,5318074059,124,,5318074067,212,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739907133,15,1,1,1,9,9qsmopgutr7ut5g6workk8w4i,1,6.1,64.2,2024-10-27T11:20:29.301Z,2024-10-27T11:20:32Z,bnar4f48vnx4oaz2lzch48es5,J. Rasmussen,,5318074183,140,13.3,5318074185,141,95.0,5318074181,56,Back,5318074189,213,1.22,5318074187,212,22.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739907151,16,1,1,1,12,9qsmopgutr7ut5g6workk8w4i,1,14.0,91.1,2024-10-27T11:20:32.157Z,2024-10-27T12:12:44Z,1gr0k94d0nh7msa32f6728aok,C. Bischoff,,5318074311,196,,5318074313,56,Back,5318074319,212,53.8,5318074309,155,,5318074321,213,4.93,5318074315,140,25.0,5318074323,1,,5318074317,141,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739907193,17,1,1,1,18,9qsmopgutr7ut5g6workk8w4i,1,27.9,5.8,2024-10-27T11:20:38.229Z,2024-10-27T11:20:42Z,56sjqxlsf5iitgww0hogez8ph,J. Vanlerberghe,,5318074587,212,13.8,5318074589,213,2.64,5318074581,56,Back,5318074585,141,15.5,5318074583,140,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739907203,18,1,1,1,22,9qsmopgutr7ut5g6workk8w4i,1,15.0,28.0,2024-10-27T11:20:42.245Z,2024-10-27T12:12:58Z,506kxojakimt5s0v2c4q6b33e,F. Alves,,5318074619,141,50.7,5318074623,213,2.05,5318074615,56,Back,5318074621,212,17.4,5318074617,140,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739907237,19,1,1,1,24,9qsmopgutr7ut5g6workk8w4i,1,7.4,46.3,2024-10-27T11:20:43.589Z,2024-10-27T11:20:50Z,4ilnnpfgjfz35lni9ppzd93v9,P. Pentz,,5318074855,141,7.0,5318074857,212,32.2,5318074861,1,,5318074853,140,24.5,5318074851,56,Back,5318074859,213,5.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739907253,20,1,1,1,31,9qsmopgutr7ut5g6workk8w4i,1,39.5,15.5,2024-10-27T11:20:50.589Z,2024-10-27T11:20:53Z,56sjqxlsf5iitgww0hogez8ph,J. Vanlerberghe,,5318074949,141,32.3,5318074947,140,38.4,5318074953,213,1.67,5318074945,56,Back,5318074951,212,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739907273,21,1,1,1,33,9qsmopgutr7ut5g6workk8w4i,1,38.4,32.6,2024-10-27T11:20:53.213Z,2024-10-27T11:20:55Z,etz3rjq7chhaomst5u28nnff9,D. Wass,,5318075061,213,1.62,5318075057,141,61.2,5318075055,140,37.5,5318075059,212,19.5,5318075053,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739907311,22,1,1,1,35,9qsmopgutr7ut5g6workk8w4i,1,37.5,61.7,2024-10-27T11:20:55.141Z,2024-10-27T11:21:00Z,bnar4f48vnx4oaz2lzch48es5,J. Rasmussen,,5318075305,56,Left,5318075315,1,,5318075307,140,59.0,5318075313,213,0.79,5318075311,212,32.1,5318075309,141,95.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739907327,23,1,1,1,40,9qsmopgutr7ut5g6workk8w4i,1,72.3,92.6,2024-10-27T11:21:00.101Z,2024-10-27T11:21:01Z,1gr0k94d0nh7msa32f6728aok,C. Bischoff,,5318075405,141,87.3,5318075397,56,Left,5318075409,212,13.0,5318075401,140,60.4,5318075413,213,3.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739907365,24,1,1,1,41,9qsmopgutr7ut5g6workk8w4i,1,61.1,87.0,2024-10-27T11:21:01.540Z,2024-10-27T11:21:06Z,53nd6a4o02ebb0w2s12prijje,Y. Suzuki,,5318075653,140,51.0,5318075651,56,Center,5318075659,213,4.25,5318075655,141,55.7,5318075657,212,23.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739907371,25,1,1,1,46,9qsmopgutr7ut5g6workk8w4i,1,52.2,52.7,2024-10-27T11:21:06.189Z,2024-10-27T11:21:08Z,506kxojakimt5s0v2c4q6b33e,F. Alves,,5318075697,213,1.62,5318075689,56,Center,5318075691,140,51.4,5318075693,141,75.8,5318075695,212,15.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739907403,26,1,1,1,48,9qsmopgutr7ut5g6workk8w4i,1,51.0,75.3,2024-10-27T11:21:08.117Z,2024-10-27T11:21:14Z,bnar4f48vnx4oaz2lzch48es5,J. Rasmussen,,5318075919,141,53.4,5318075917,140,30.7,5318075923,213,3.75,5318075915,56,Back,5318075921,212,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739907441,27,1,1,1,55,9qsmopgutr7ut5g6workk8w4i,1,29.2,52.7,2024-10-27T11:21:14.788Z,2024-10-27T11:21:22Z,4ilnnpfgjfz35lni9ppzd93v9,P. Pentz,,5318076123,140,30.9,5318076121,56,Back,5318076129,213,4.92,5318076125,141,40.3,5318076127,212,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739907459,28,1,1,2,2,9qsmopgutr7ut5g6workk8w4i,1,38.0,43.1,2024-10-27T11:21:21.965Z,2024-10-27T11:21:24Z,506kxojakimt5s0v2c4q6b33e,F. Alves,,5318076225,56,Back,5318076231,212,15.0,5318076227,140,36.3,5318076229,141,65.0,5318076233,213,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739907473,29,1,1,2,5,9qsmopgutr7ut5g6workk8w4i,1,37.5,66.9,2024-10-27T11:21:24.652Z,2024-10-27T11:21:27Z,bnar4f48vnx4oaz2lzch48es5,J. Rasmussen,,5318076337,213,0.74,5318076333,141,95.0,5318076329,56,Left,5318076335,212,28.4,5318076331,140,57.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739907509,30,1,1,2,7,9qsmopgutr7ut5g6workk8w4i,1,59.6,94.7,2024-10-27T11:21:27.133Z,2024-10-27T11:21:29Z,1gr0k94d0nh7msa32f6728aok,C. Bischoff,,5318076535,140,65.3,5318076533,56,Center,5318076541,213,5.13,5318076539,212,14.7,5318076537,141,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739907551,31,1,1,2,10,9qsmopgutr7ut5g6workk8w4i,1,70.2,71.7,2024-10-27T11:21:29.789Z,2024-10-27T11:21:34Z,53nd6a4o02ebb0w2s12prijje,Y. Suzuki,,5318076861,140,72.9,5318076859,56,Center,5318076863,141,63.2,5318076865,212,6.4,5318076867,213,5.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739907871,18,83,1,2,10,b3r6d8ydtmtjckam6pku9y400,0,25.5,33.4,2024-10-27T11:21:29.970Z,2024-10-27T18:03:57Z,ayqy2vql1oumokqly9ahfrnx1,P. Hatzidiakos,,5318078915,399,7z1pv1wezn5rydamnknklv2ay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739907555,32,4,1,2,14,9qsmopgutr7ut5g6workk8w4i,1,74.0,66.4,2024-10-27T11:21:34.526Z,2024-10-27T12:17:52Z,7z1pv1wezn5rydamnknklv2ay,M. Kvistgaarden,,5318076895,286,,5318076889,56,Center,5318077007,233,17,5318076893,265,,5318076891,152,,5318076887,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739907567,17,4,1,2,14,b3r6d8ydtmtjckam6pku9y400,0,26.0,33.6,2024-10-27T11:21:34.527Z,2024-10-27T12:17:52Z,4gqnyyx3i92fayq6cxvekqwut,T. Delaney,,5318076997,152,,5318076995,56,Back,5318076999,265,,5318077031,233,32,5318076993,13,,5318077001,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739907923,33,1,1,3,0,9qsmopgutr7ut5g6workk8w4i,0,72.1,68.0,2024-10-27T11:22:19.885Z,2024-10-27T11:22:21Z,etz3rjq7chhaomst5u28nnff9,D. Wass,,5318079049,140,87.2,5318079051,141,52.5,5318079053,212,19.0,5318079043,5,,5318079047,56,Center,5318079045,152,,5318079055,213,5.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739907953,20,61,1,3,1,b3r6d8ydtmtjckam6pku9y400,1,13.5,47.0,2024-10-27T11:22:21.523Z,2024-10-27T11:29:29Z,8g4r9maz4invihjmdzpfxy0np,V. Claesson,,5318096105,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739907949,19,12,1,3,3,b3r6d8ydtmtjckam6pku9y400,1,17.3,44.0,2024-10-27T11:22:22.650Z,2024-10-27T11:22:24Z,7xc0qldxpidl07vij2wgu1sk5,K. Diks,,5318079185,141,46.9,5318079183,140,32.8,5318079191,213,0.12,5318079189,212,16.4,5318079179,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739908001,34,1,1,3,5,9qsmopgutr7ut5g6workk8w4i,1,62.3,53.1,2024-10-27T11:22:25.157Z,2024-10-27T11:22:29Z,hsobzlp177f9755mpsi7szmy,S. Sebulonsen,,5318079499,140,61.2,5318079497,56,Center,5318079501,141,29.5,5318079505,213,4.64,5318079503,212,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739908003,35,1,1,3,10,9qsmopgutr7ut5g6workk8w4i,0,64.0,31.6,2024-10-27T11:22:29.828Z,2024-10-27T12:13:20Z,94didhw8o1blxonn4amoahcr9,J. Radošević,,5318079525,213,0.55,5318079519,140,88.7,5318079515,155,,5318079523,212,30.5,5318079521,141,55.1,5318079517,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739908023,21,12,1,3,11,b3r6d8ydtmtjckam6pku9y400,1,17.4,46.1,2024-10-27T11:22:31.371Z,2024-10-27T18:04:51Z,4cbaoo2irqtme9goxuz6s3ey2,Gabriel Pereira,,5318079637,56,Back,5318079639,140,30.0,5318079643,212,14.8,5318079645,213,5.82,5318079641,141,36.4,5318079679,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739908043,36,1,1,3,13,9qsmopgutr7ut5g6workk8w4i,1,67.4,69.5,2024-10-27T11:22:32.614Z,2024-10-27T11:22:34Z,bnar4f48vnx4oaz2lzch48es5,J. Rasmussen,,5318079753,56,Left,5318079759,212,18.4,5318079755,140,77.1,5318079761,213,0.98,5318079757,141,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739908079,37,1,1,3,14,9qsmopgutr7ut5g6workk8w4i,1,77.9,91.4,2024-10-27T11:22:34.348Z,2024-10-27T11:22:38Z,1gr0k94d0nh7msa32f6728aok,C. Bischoff,,5318079961,213,5.75,5318079957,141,74.1,5318079955,140,96.9,5318079959,212,23.2,5318079953,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739908087,38,1,1,3,18,9qsmopgutr7ut5g6workk8w4i,1,96.9,82.5,2024-10-27T11:22:38.469Z,2024-10-27T11:22:39Z,chteizjcvxpvze9p77gcttcoa,N. Vallys,,5318079995,140,86.8,5318080001,212,11.0,5318080003,213,3.42,5318079991,56,Center,5318079997,141,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739908095,39,43,1,3,19,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2024-10-27T11:22:39.476Z,2024-10-27T11:22:46Z,1gr0k94d0nh7msa32f6728aok,C. Bischoff,,5318080049,213,3.14,5318080043,140,86.8,5318080041,56,Center,5318080047,212,0,5318080235,144,12,5318080045,141,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
