id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/12/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2792091735,7,5,1,0,13,cftj6g399tknheudaxsdpfdgb,0,74.9,-1.8,2025-03-28T18:04:08.055Z,2025-03-28T21:57:37Z,akxcr1xe62dyl5jmh3ataq13o,Renato Júnior,,,5602404255,233,4,5602403515,56,Right,5602403517,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792091915,5,1,1,0,24,36g6ifzjliec1jqnbtf7yesme,1,34.6,100.0,2025-03-28T18:04:19.601Z,2025-03-28T18:04:23Z,8mkrj5bnkyhx8kutc4656cy96,M. Jiménez,,,5602404375,213,4.56,5602404369,140,33.1,5602404371,141,86.4,5602404365,107,,5602404367,56,Back,5602404373,212,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792091981,6,1,1,0,27,36g6ifzjliec1jqnbtf7yesme,1,33.1,85.5,2025-03-28T18:04:22.218Z,2025-03-28T21:11:36Z,3q4tnk1z46lop4rbdpjtfoc2c,M. Widell,,,5602404729,141,38.5,5602404735,1,,5603370011,155,,5602404727,140,28.0,5602404725,56,Back,5602404733,213,4.55,5602404731,212,32.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792091999,7,1,1,0,34,36g6ifzjliec1jqnbtf7yesme,1,31.0,6.8,2025-03-28T18:04:29.665Z,2025-03-28T18:04:32Z,de0dokhb6u6hts2hu5aupgiga,K. Jørgensen,,,5602404853,141,31.9,5602404857,213,1.78,5602404855,212,17.5,5602404849,56,Back,5602404851,140,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792092079,8,1,1,0,37,36g6ifzjliec1jqnbtf7yesme,1,27.7,34.7,2025-03-28T18:04:31.921Z,2025-03-28T18:04:36Z,7yst1mucy7jynmpzu1thox2i,L. Kramer,,,5602405263,213,1.32,5602405261,212,36.5,5602405259,141,86.7,5602405265,1,,5602405257,140,36.3,5602405255,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792092203,9,1,1,0,41,36g6ifzjliec1jqnbtf7yesme,1,36.9,87.5,2025-03-28T18:04:36.449Z,2025-03-28T18:04:43Z,8mkrj5bnkyhx8kutc4656cy96,M. Jiménez,,,5602405881,141,92.3,5602405875,155,,5602405877,56,Left,5602405883,212,64.9,5602405879,140,98.6,5602405885,213,0.05,5602405887,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792092215,10,1,1,0,46,36g6ifzjliec1jqnbtf7yesme,0,98.6,92.3,2025-03-28T18:04:40.841Z,2025-03-28T21:11:56Z,1arzd8hqj73byhduozscqz5uy,M. Jørgensen,,,5603371275,72,,5602405961,56,Center,5602405963,140,100.0,5602405969,213,4.95,5602405957,2,,5603371273,224,,5602405959,155,,5602405965,141,78.8,5602405967,212,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792092321,8,5,1,0,47,cftj6g399tknheudaxsdpfdgb,1,-0.8,19.2,2025-03-28T18:04:42.160Z,2025-03-28T21:12:00Z,bitixkzgt5p65rlo2bnllcf6x,J. Mbom,,,5602406819,233,11,5602406505,346,,5602406503,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792092375,11,5,1,0,47,36g6ifzjliec1jqnbtf7yesme,0,100.8,80.8,2025-03-28T18:04:42.160Z,2025-03-28T21:57:38Z,1arzd8hqj73byhduozscqz5uy,M. Jørgensen,,,5602406773,56,Left,5602406775,346,,5602406837,233,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792092379,9,1,1,0,56,cftj6g399tknheudaxsdpfdgb,1,4.3,40.4,2025-03-28T18:04:51.399Z,2025-03-28T21:11:59Z,9lgnm175tw163z53b8bmiu5pm,L. Lund,,,5602406803,213,1.53,5602406799,141,61.2,5602406795,56,Back,5602406797,140,4.9,5602406801,212,14.2,5602406807,237,,5602406793,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792092395,10,1,1,1,2,cftj6g399tknheudaxsdpfdgb,1,9.6,60.0,2025-03-28T18:04:56.751Z,2025-03-28T18:04:58Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,,5602406885,213,6.21,5602406881,141,57.3,5602406877,56,Back,5602406879,140,33.8,5602406883,212,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792092427,11,1,1,1,3,cftj6g399tknheudaxsdpfdgb,1,33.9,57.2,2025-03-28T18:04:58.031Z,2025-03-28T18:05:01Z,vrzye4jqrafujmjw3wakjpxw,T. Jørgensen,,,5602407041,213,1.71,5602407033,56,Back,5602407039,212,23.7,5602407035,140,30.8,5602407037,141,91.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792092477,12,1,1,1,6,cftj6g399tknheudaxsdpfdgb,1,30.8,92.7,2025-03-28T18:05:01.487Z,2025-03-28T18:05:05Z,eq7tnnzwq0g9q4eac0o9t9xey,S. Kuzmić,,,5602407315,212,18.2,5602407317,213,5.76,5602407313,141,79.4,5602407311,140,45.8,5602407309,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792092483,13,1,1,1,10,cftj6g399tknheudaxsdpfdgb,0,45.8,79.4,2025-03-28T18:05:05.264Z,2025-03-28T18:05:05Z,c9kn2pfftaimeqknbu9p8neok,Y. Njoh,,,5602407353,213,0.45,5602407345,56,Left,5602407347,140,53.0,5602407351,212,8.4,5602407349,141,84.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792092505,12,8,1,1,11,36g6ifzjliec1jqnbtf7yesme,1,45.5,16.0,2025-03-28T18:05:06.489Z,2025-03-28T21:12:29Z,de0dokhb6u6hts2hu5aupgiga,K. Jørgensen,,,5603373451,385,,5602407459,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792092503,14,61,1,1,12,cftj6g399tknheudaxsdpfdgb,1,52.0,83.2,2025-03-28T18:05:07.484Z,2025-03-28T18:05:07Z,eq7tnnzwq0g9q4eac0o9t9xey,S. Kuzmić,,,5602407455,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792092547,15,1,1,1,13,cftj6g399tknheudaxsdpfdgb,0,45.4,77.3,2025-03-28T18:05:08.568Z,2025-03-28T21:12:45Z,vrzye4jqrafujmjw3wakjpxw,T. Jørgensen,,,5602407635,140,91.5,5602407637,141,86.7,5602407639,212,48.8,5602407633,56,Left,5602407643,1,,5602407641,213,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792092619,14,1,1,1,18,36g6ifzjliec1jqnbtf7yesme,1,12.8,16.7,2025-03-28T18:05:12.913Z,2025-03-28T18:05:16Z,7yst1mucy7jynmpzu1thox2i,L. Kramer,,,5602408059,212,18.2,5602408061,213,1.99,5602408057,141,41.2,5602408055,140,5.8,5602408053,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792092647,15,1,1,1,21,36g6ifzjliec1jqnbtf7yesme,1,4.4,46.0,2025-03-28T18:05:16.177Z,2025-03-28T18:05:18Z,a2l4ep71txn2edtjjcgewai5m,V. Müller,,,5602408159,140,8.2,5602408165,213,1.36,5602408157,56,Back,5602408163,212,18.9,5602408161,141,73.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792092707,16,1,1,1,23,36g6ifzjliec1jqnbtf7yesme,1,8.2,73.1,2025-03-28T18:05:17.986Z,2025-03-28T18:05:20Z,hpzxgnwobdttfgd04dykf26t,O. Diakhité,,,5602408363,212,23.4,5602408361,141,91.7,5602408359,140,27.0,5602408365,213,0.57,5602408357,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792092807,17,1,1,1,25,36g6ifzjliec1jqnbtf7yesme,0,27.9,93.9,2025-03-28T18:05:20.689Z,2025-03-28T18:05:24Z,8mkrj5bnkyhx8kutc4656cy96,M. Jiménez,,,5602408733,212,36.6,5602408731,141,74.1,5602408729,140,60.3,5602408737,1,,5602408735,213,5.91,5602408727,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792092899,17,1,1,1,34,cftj6g399tknheudaxsdpfdgb,1,36.9,15.0,2025-03-28T18:05:29.167Z,2025-03-28T18:05:30Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,,5602409129,140,44.5,5602409135,213,0.84,5602409127,56,Back,5602409133,212,12.0,5602409131,141,28.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792092907,18,1,1,1,35,cftj6g399tknheudaxsdpfdgb,1,44.5,28.2,2025-03-28T18:05:29.999Z,2025-03-28T18:05:30Z,5f3wfx327z9hef9k9l37c90wl,J. Grønning,,,5602409167,140,34.5,5602409171,141,17.9,5602409163,56,Back,5602409175,212,12.6,5602409181,213,3.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792092949,19,1,1,1,36,cftj6g399tknheudaxsdpfdgb,1,34.5,17.9,2025-03-28T18:05:30.767Z,2025-03-28T18:05:34Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,,5602409411,1,,5602409401,56,Back,5602409403,140,28.9,5602409409,213,1.74,5602409405,141,69.7,5602409407,212,35.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792093027,20,1,1,1,39,cftj6g399tknheudaxsdpfdgb,1,31.4,69.9,2025-03-28T18:05:34.703Z,2025-03-28T18:05:40Z,bp2ellllifbtxgf0p8qlbm1nt,S. Radić,,,5602409753,56,Back,5602409757,141,26.7,5602409755,140,32.4,5602409761,213,4.75,5602409759,212,29.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792093065,21,1,1,1,45,cftj6g399tknheudaxsdpfdgb,0,36.4,28.6,2025-03-28T18:05:40.400Z,2025-03-28T18:05:44Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,,5602409939,213,6.02,5602409941,1,,5602409931,56,Right,5602409929,155,,5602409933,140,100.0,5602409935,141,1.6,5602409937,212,70.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792093277,18,5,1,1,49,36g6ifzjliec1jqnbtf7yesme,1,-1.2,96.9,2025-03-28T18:05:44.142Z,2025-03-28T19:04:28Z,8mkrj5bnkyhx8kutc4656cy96,M. Jiménez,,,5602411101,56,Back,5602411103,346,,5602411129,233,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792093073,22,5,1,1,49,cftj6g399tknheudaxsdpfdgb,0,101.2,3.1,2025-03-28T18:05:44.142Z,2025-03-28T19:04:28Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,,5602409983,56,Right,5602409985,346,,5602411147,233,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792093309,19,1,1,2,5,36g6ifzjliec1jqnbtf7yesme,1,5.1,58.2,2025-03-28T18:06:00.210Z,2025-03-28T18:06:02Z,hpzxgnwobdttfgd04dykf26t,O. Diakhité,,,5602411261,141,50.6,5602411263,212,5.5,5602411269,237,,5602411257,56,Back,5602411255,124,,5602411265,213,4.38,5602411259,140,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792093337,20,1,1,2,7,36g6ifzjliec1jqnbtf7yesme,1,3.5,50.6,2025-03-28T18:06:02.081Z,2025-03-28T18:06:04Z,a2l4ep71txn2edtjjcgewai5m,V. Müller,,,5602411435,56,Back,5602411443,213,1.51,5602411437,140,4.2,5602411441,212,13.1,5602411439,141,69.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792093345,21,61,1,2,9,36g6ifzjliec1jqnbtf7yesme,0,4.2,69.9,2025-03-28T18:06:04.513Z,2025-03-28T18:06:04Z,hpzxgnwobdttfgd04dykf26t,O. Diakhité,,,5602411461,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792093359,22,6,1,2,10,36g6ifzjliec1jqnbtf7yesme,0,8.0,75.4,2025-03-28T18:06:05.234Z,2025-03-28T21:13:39Z,hpzxgnwobdttfgd04dykf26t,O. Diakhité,,,5602411571,56,Back,5602411573,73,,5602411687,233,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792093361,23,6,1,2,10,cftj6g399tknheudaxsdpfdgb,1,92.0,24.6,2025-03-28T18:06:05.234Z,2025-03-28T18:42:18Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,,5602411625,75,,5602411623,56,Center,5602411631,233,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792093767,24,1,1,2,36,cftj6g399tknheudaxsdpfdgb,0,99.5,0.5,2025-03-28T18:06:31.023Z,2025-03-28T21:13:59Z,195o7hchielt14ic49r3k06sq,Serginho,,,5603378927,2,,5603379069,20,,5602413735,140,88.3,5602413737,141,57.0,5602413731,155,,5602413741,213,1.87,5603379067,387,,5603379065,225,,5602413743,1,,5602413733,56,Center,5602413739,212,40.2,5602413729,6,,,,,,,,,,,,,,,,,,,,,
2792093777,23,12,1,2,38,36g6ifzjliec1jqnbtf7yesme,1,12.6,45.1,2025-03-28T18:06:33.001Z,2025-03-28T21:14:03Z,hpzxgnwobdttfgd04dykf26t,O. Diakhité,,,5602413771,56,Back,5602413793,15,,5602413779,213,0.23,5602413773,140,39.3,5602413777,212,28.8,5602413775,141,54.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792093843,25,1,1,2,41,cftj6g399tknheudaxsdpfdgb,1,58.3,34.9,2025-03-28T18:06:36.639Z,2025-03-28T18:06:40Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,,5602414077,141,15.8,5602414075,140,68.1,5602414081,213,5.38,5602414079,212,16.6,5602414071,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792093873,26,1,1,2,44,cftj6g399tknheudaxsdpfdgb,1,69.2,16.4,2025-03-28T18:06:39.096Z,2025-03-28T21:14:24Z,vrzye4jqrafujmjw3wakjpxw,T. Jørgensen,,,5602414275,56,Center,5602414279,140,87.2,5603380465,224,,5603380467,20,,5602414283,141,47.4,5602414269,2,,5602414271,155,,5602414285,212,28.3,5602414287,213,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792093879,27,43,1,2,47,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2025-03-28T18:06:41.808Z,2025-03-28T21:14:26Z,bp2ellllifbtxgf0p8qlbm1nt,S. Radić,,,5602421827,233,33,5602414305,56,Center,5603380555,144,44,5602414307,286,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792095249,33,43,1,2,47,36g6ifzjliec1jqnbtf7yesme,1,0.0,0.0,2025-03-28T18:06:41.809Z,2025-03-28T21:14:27Z,8bi1tlz62rjwyak4pnnzgp562,A. Jasson,,,5602421673,56,Back,5602421675,285,0,5603380681,144,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792093883,28,1,1,2,47,cftj6g399tknheudaxsdpfdgb,0,87.2,45.8,2025-03-28T18:06:41.991Z,2025-03-28T21:14:33Z,bp2ellllifbtxgf0p8qlbm1nt,S. Radić,,,5602414329,3,,5602414333,56,Center,5602414335,140,89.3,5602414337,141,57.0,5602414339,212,7.9,5602414341,213,1.29,5602414331,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792093901,24,12,1,2,48,36g6ifzjliec1jqnbtf7yesme,1,11.5,47.0,2025-03-28T18:06:43.578Z,2025-03-28T21:14:34Z,7yst1mucy7jynmpzu1thox2i,L. Kramer,,,5602414431,140,30.2,5602414441,15,,5602414429,56,Back,5602414435,212,21.3,5602414437,213,5.88,5602414433,141,34.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792093973,29,1,1,2,51,cftj6g399tknheudaxsdpfdgb,1,70.6,62.4,2025-03-28T18:06:46.432Z,2025-03-28T18:06:50Z,5f3wfx327z9hef9k9l37c90wl,J. Grønning,,,5602414781,3,,5602414791,213,0.84,5602414789,212,18.6,5602414783,56,Left,5602414787,141,82.7,5602414785,140,82.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792093993,30,1,1,2,55,cftj6g399tknheudaxsdpfdgb,1,88.9,88.4,2025-03-28T18:06:50.399Z,2025-03-28T18:06:52Z,c9kn2pfftaimeqknbu9p8neok,Y. Njoh,,,5602414903,140,73.8,5602414901,56,Left,5602414905,141,95.6,5602414907,212,16.6,5602414909,213,2.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792094015,31,1,1,2,57,cftj6g399tknheudaxsdpfdgb,1,72.8,95.3,2025-03-28T18:06:52.623Z,2025-03-28T18:06:54Z,5f3wfx327z9hef9k9l37c90wl,J. Grønning,,,5602415023,56,Center,5602415031,213,3.85,5602415025,140,52.8,5602415027,141,68.8,5602415029,212,27.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792094049,32,1,1,2,59,cftj6g399tknheudaxsdpfdgb,1,52.8,68.8,2025-03-28T18:06:54.367Z,2025-03-28T18:06:57Z,bp2ellllifbtxgf0p8qlbm1nt,S. Radić,,,5602415229,212,23.5,5602415227,141,34.2,5602415225,140,53.3,5602415231,213,4.73,5602415223,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792094057,33,1,1,3,1,cftj6g399tknheudaxsdpfdgb,1,55.1,33.6,2025-03-28T18:06:56.022Z,2025-03-28T21:14:46Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,,5602415263,140,69.8,5602415261,56,Center,5602415265,141,33.6,5602415267,212,15.4,5602415271,213,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
