id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/8/value,qualifier/12/value,qualifier/15/value,qualifier/16/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2789346845,8,1,1,0,13,59as3grjvj19voay31j3yfgni,0,62.5,17.1,2025-03-16T16:00:23.793Z,2025-03-16T16:27:43Z,drlp4xtkta08jiu0px6m4ocq2,O. Sørensen,,,5587194299,212,9.4,5587194295,141,24.6,5587194291,140,70.0,5587194287,56,Center,5587194301,213,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789346903,4,1,1,0,14,9w3sjm5ml4sjr2v81oxzdrt8v,0,28.0,75.7,2025-03-16T16:00:24.589Z,2025-03-16T16:00:29Z,8cox96ikk1k4c24f0y5ef45x,W. Dammers,,,5587194593,141,87.4,5587194599,1,,5587194587,157,,5587194591,140,86.6,5587194595,212,62.0,5587194589,56,Left,5587194597,213,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789346991,9,1,1,0,21,59as3grjvj19voay31j3yfgni,1,14.1,24.7,2025-03-16T16:00:31.969Z,2025-03-16T16:00:36Z,7yim2aepctujr2m4p20a97755,E. Ólafsson,,,5587195065,141,51.0,5587195063,140,18.3,5587195067,212,18.4,5587195061,56,Back,5587195071,213,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789347027,10,1,1,0,26,59as3grjvj19voay31j3yfgni,1,23.7,46.9,2025-03-16T16:00:36.194Z,2025-03-16T16:00:39Z,a87w6l9zsbahdi4knm1347zs9,M. Bech,,,5587195223,140,26.7,5587195229,213,4.90,5587195225,141,21.9,5587195221,56,Back,5587195227,212,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789347053,11,1,1,0,29,59as3grjvj19voay31j3yfgni,1,27.7,21.8,2025-03-16T16:00:39.218Z,2025-03-16T16:00:41Z,ddl5g7raihnc9s4u3wetz8v10,O. Diao,,,5587195427,212,13.5,5587195421,56,Back,5587195423,140,33.5,5587195429,213,5.18,5587195425,141,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789347063,12,1,1,0,31,59as3grjvj19voay31j3yfgni,1,33.5,4.0,2025-03-16T16:00:41.474Z,2025-03-16T16:00:43Z,fwu0bja02waqct7l682s5mfp,K. Mbabu,,,5587195477,56,Back,5587195481,141,19.4,5587195479,140,40.6,5587195483,212,12.9,5587195485,213,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789347099,13,1,1,0,32,59as3grjvj19voay31j3yfgni,1,40.6,19.4,2025-03-16T16:00:43.058Z,2025-03-16T16:00:51Z,djlyi0ad4x1p0k4thn8n0axw4,D. Osorio,,,5587195697,56,Back,5587195703,212,5.6,5587195705,213,4.54,5587195699,140,39.7,5587195701,141,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789347105,14,61,1,0,34,59as3grjvj19voay31j3yfgni,0,45.6,19.1,2025-03-16T16:00:45.010Z,2025-03-16T16:48:32Z,fwu0bja02waqct7l682s5mfp,K. Mbabu,,,5587195729,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789347183,6,1,1,0,36,9w3sjm5ml4sjr2v81oxzdrt8v,1,46.1,69.9,2025-03-16T16:00:46.449Z,2025-03-16T16:00:48Z,3aoh34sqan7y34c2qa1d6xkyy,Noah Shamoun,,,5587196159,140,54.5,5587196163,212,17.4,5587196165,213,5.24,5587196157,56,Center,5587196161,141,47.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789347231,7,1,1,0,38,9w3sjm5ml4sjr2v81oxzdrt8v,1,54.3,44.0,2025-03-16T16:00:48.734Z,2025-03-16T16:00:51Z,8domjmewnw5h6b19vef8w0afp,M. Greve,,,5587196389,141,20.6,5587196385,56,Right,5587196393,213,4.86,5587196387,140,56.6,5587196391,212,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789347313,8,1,1,0,40,9w3sjm5ml4sjr2v81oxzdrt8v,1,52.6,26.2,2025-03-16T16:00:51.006Z,2025-03-16T16:00:56Z,6m5ftd7c68b2d4d2931xs5srt,O. Olsen,,,5587196817,212,15.9,5587196809,140,38.2,5587196819,213,2.83,5587196813,141,33.3,5587196807,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789347383,9,1,1,0,45,9w3sjm5ml4sjr2v81oxzdrt8v,1,34.1,33.7,2025-03-16T16:00:55.997Z,2025-03-16T16:01:00Z,effgiwtme6eu08o1ninlnqqqd,D. Høegh,,,5587197197,213,2.60,5587197189,140,11.2,5587197195,212,28.0,5587197191,141,54.8,5587197185,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789347417,10,1,1,0,50,9w3sjm5ml4sjr2v81oxzdrt8v,1,12.1,55.7,2025-03-16T16:01:00.285Z,2025-03-16T16:01:02Z,dmxzug2enscx331w5vmdzn2s5,P. Izzo,,,5587197347,141,69.1,5587197351,213,1.41,5587197343,56,Back,5587197349,212,9.2,5587197345,140,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789347441,11,1,1,0,52,9w3sjm5ml4sjr2v81oxzdrt8v,1,14.8,68.7,2025-03-16T16:01:02.173Z,2025-03-16T16:01:03Z,8cox96ikk1k4c24f0y5ef45x,W. Dammers,,,5587197461,141,74.2,5587197465,212,12.9,5587197455,56,Back,5587197467,213,0.29,5587197457,140,26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789347465,12,1,1,0,53,9w3sjm5ml4sjr2v81oxzdrt8v,1,27.8,74.8,2025-03-16T16:01:03.181Z,2025-03-16T16:01:04Z,6uj3c69lgu6boblkjiuhoy6eh,J. Björkengren,,,5587197529,140,13.3,5587197535,213,3.51,5587197531,141,66.1,5587197527,56,Back,5587197533,212,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789347521,13,1,1,0,54,9w3sjm5ml4sjr2v81oxzdrt8v,1,13.3,66.1,2025-03-16T16:01:04.445Z,2025-03-16T16:01:07Z,8cox96ikk1k4c24f0y5ef45x,W. Dammers,,,5587197861,212,12.3,5587197859,141,56.0,5587197863,213,5.69,5587197857,140,23.0,5587197855,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789347605,14,1,1,0,57,9w3sjm5ml4sjr2v81oxzdrt8v,1,26.5,59.0,2025-03-16T16:01:07.341Z,2025-03-16T16:01:11Z,2mawaijd9czgtd5jh9myk434l,A. Rømer,,,5587198347,140,29.8,5587198345,56,Back,5587198353,213,1.18,5587198351,212,9.1,5587198349,141,71.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789347553,15,43,1,0,59,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2025-03-16T16:01:09.250Z,2025-03-16T16:48:31Z,bwfg9frq2ecbzg7wlzqjtnv2s,P. Bravo,,,5587198653,399,6uj3c69lgu6boblkjiuhoy6eh,5587546297,144,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789347665,15,1,1,1,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,34.7,85.3,2025-03-16T16:01:11.069Z,2025-03-16T16:01:14Z,6uj3c69lgu6boblkjiuhoy6eh,J. Björkengren,,,5587198607,141,89.9,5587198611,213,0.16,5587198609,212,20.1,5587198603,56,Left,5587198605,140,53.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789347697,16,1,1,1,2,9w3sjm5ml4sjr2v81oxzdrt8v,0,57.8,90.5,2025-03-16T16:01:12.577Z,2025-03-16T21:06:17Z,54ipja7wrxji6kn8yw5uhr6ga,F. Danho,,,5587198733,141,100.0,5587198739,212,24.6,5587198741,213,0.31,5587198729,140,80.1,5587198725,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789347833,16,5,1,1,4,59as3grjvj19voay31j3yfgni,1,18.2,-1.3,2025-03-16T16:01:14.947Z,2025-03-16T16:47:31Z,a87w6l9zsbahdi4knm1347zs9,M. Bech,,,5587199317,56,Back,5587199351,233,17,5587199319,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789347709,17,5,1,1,4,9w3sjm5ml4sjr2v81oxzdrt8v,0,81.8,101.3,2025-03-16T16:01:14.947Z,2025-03-16T16:47:32Z,54ipja7wrxji6kn8yw5uhr6ga,F. Danho,,,5587199389,233,16,5587198771,347,,5587198769,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789347887,17,1,1,1,13,59as3grjvj19voay31j3yfgni,1,21.6,0.0,2025-03-16T16:01:23.301Z,2025-03-16T16:01:26Z,fwu0bja02waqct7l682s5mfp,K. Mbabu,,,5587199645,213,2.01,5587199629,56,Back,5587199637,141,25.3,5587199627,107,,5587199633,140,13.4,5587199641,212,20.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789347939,18,1,1,1,16,59as3grjvj19voay31j3yfgni,0,15.1,32.4,2025-03-16T16:01:26.404Z,2025-03-16T16:01:29Z,a87w6l9zsbahdi4knm1347zs9,M. Bech,,,5587199889,212,39.8,5587199883,56,Center,5587199885,140,52.6,5587199893,1,,5587199891,213,0.15,5587199887,141,41.2,5587199881,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789348035,18,1,1,1,19,9w3sjm5ml4sjr2v81oxzdrt8v,1,43.2,56.9,2025-03-16T16:01:30.061Z,2025-03-16T16:01:33Z,effgiwtme6eu08o1ninlnqqqd,D. Høegh,,,5587200397,212,8.5,5587200401,213,0.50,5587200389,140,50.3,5587200383,3,,5587200393,141,62.9,5587200385,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789347997,19,83,1,1,20,59as3grjvj19voay31j3yfgni,0,51.1,35.1,2025-03-16T16:01:30.619Z,2025-03-16T16:48:58Z,bwfg9frq2ecbzg7wlzqjtnv2s,P. Bravo,,,5587200583,399,6uj3c69lgu6boblkjiuhoy6eh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789348067,20,1,1,1,21,9w3sjm5ml4sjr2v81oxzdrt8v,1,44.5,64.9,2025-03-16T16:01:31.629Z,2025-03-16T21:45:24Z,6uj3c69lgu6boblkjiuhoy6eh,J. Björkengren,,,5587200559,213,2.20,5587200555,141,81.7,5587200553,140,36.5,5587200557,212,14.2,5587200551,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789348045,19,43,1,1,23,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2025-03-16T16:01:33.341Z,2025-03-16T21:45:26Z,6uj3c69lgu6boblkjiuhoy6eh,J. Björkengren,,,5588992675,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789348153,21,1,1,1,25,9w3sjm5ml4sjr2v81oxzdrt8v,1,36.0,82.1,2025-03-16T16:01:35.261Z,2025-03-16T16:01:37Z,60z63hezwwosjnhvamcwxtre1,N. Dyhr,,,5587200991,212,9.0,5587200987,140,28.0,5587200985,56,Back,5587200993,213,3.50,5587200989,141,77.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789348191,22,1,1,1,27,9w3sjm5ml4sjr2v81oxzdrt8v,1,27.9,77.3,2025-03-16T16:01:37.741Z,2025-03-16T16:01:39Z,8cox96ikk1k4c24f0y5ef45x,W. Dammers,,,5587201137,213,0.35,5587201129,56,Back,5587201135,212,7.5,5587201131,140,34.6,5587201133,141,81.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789348217,23,1,1,1,28,9w3sjm5ml4sjr2v81oxzdrt8v,1,35.0,79.1,2025-03-16T16:01:38.405Z,2025-03-16T21:45:47Z,3aoh34sqan7y34c2qa1d6xkyy,Noah Shamoun,,,5588993705,156,,5587201241,212,10.6,5587201243,213,4.22,5587201239,141,65.4,5587201237,140,30.2,5587201235,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789348221,24,50,1,1,29,9w3sjm5ml4sjr2v81oxzdrt8v,1,32.3,67.2,2025-03-16T16:01:39.323Z,2025-03-16T21:45:57Z,6uj3c69lgu6boblkjiuhoy6eh,J. Björkengren,,,5587201261,56,Back,5587201263,285,,5587201367,233,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789348235,20,7,1,1,29,59as3grjvj19voay31j3yfgni,1,67.7,32.8,2025-03-16T16:01:39.324Z,2025-03-16T21:45:56Z,djlyi0ad4x1p0k4thn8n0axw4,D. Osorio,,,5588994143,383,,5587201345,233,24,5588994147,178,,5587201305,56,Center,5587201349,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789348381,22,1,1,1,33,59as3grjvj19voay31j3yfgni,1,63.9,47.2,2025-03-16T16:01:43.427Z,2025-03-16T16:01:48Z,djlyi0ad4x1p0k4thn8n0axw4,D. Osorio,,,5587202015,56,Center,5587202019,141,78.5,5587202023,212,21.4,5587202025,213,1.46,5587202017,140,66.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789348439,23,1,1,1,38,59as3grjvj19voay31j3yfgni,1,66.7,78.8,2025-03-16T16:01:48.259Z,2025-03-16T16:01:51Z,8mn8apr6n7t7s6lx4d4vvdnca,V. Bak Jensen,,,5587202309,141,64.0,5587202313,213,5.13,5587202307,140,71.0,5587202305,56,Center,5587202311,212,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789348443,25,83,1,1,40,9w3sjm5ml4sjr2v81oxzdrt8v,0,31.7,44.5,2025-03-16T16:01:51.092Z,2025-03-16T18:08:08Z,2mawaijd9czgtd5jh9myk434l,A. Rømer,,,5588109193,399,4zrsiizdbzwwkmit3ta0f0dbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789348441,24,1,1,1,41,59as3grjvj19voay31j3yfgni,0,71.8,68.5,2025-03-16T16:01:51.411Z,2025-03-16T16:02:22Z,4zrsiizdbzwwkmit3ta0f0dbe,A. Şimşir,,,5587205375,212,3.5,5587205379,213,0.64,5587205369,140,74.5,5587202329,56,Center,5587205371,141,71.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789675693,888,3,1,1,44,9w3sjm5ml4sjr2v81oxzdrt8v,1,33.1,32.3,2025-03-16T16:01:54.774Z,2025-03-16T21:47:21Z,8domjmewnw5h6b19vef8w0afp,M. Greve,,,5588998231,233,1006,5588998229,464,,5588998223,56,Back,5588998227,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789675689,1006,45,1,1,44,59as3grjvj19voay31j3yfgni,0,66.9,67.7,2025-03-16T16:01:54.774Z,2025-03-16T21:47:21Z,drlp4xtkta08jiu0px6m4ocq2,O. Sørensen,,,5588998201,56,Center,5588998203,286,,5588998235,233,888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789348585,27,1,1,1,46,9w3sjm5ml4sjr2v81oxzdrt8v,1,26.0,34.5,2025-03-16T16:01:57.021Z,2025-03-16T16:02:00Z,8domjmewnw5h6b19vef8w0afp,M. Greve,,,5587203097,213,5.00,5587203095,212,9.6,5587203083,56,Back,5587203091,141,20.9,5587203087,140,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789348639,28,1,1,1,50,9w3sjm5ml4sjr2v81oxzdrt8v,1,29.2,16.1,2025-03-16T16:02:00.141Z,2025-03-16T16:02:02Z,6m5ftd7c68b2d4d2931xs5srt,O. Olsen,,,5587203399,212,12.6,5587203395,140,17.3,5587203393,56,Back,5587203401,213,3.04,5587203397,141,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789348657,29,1,1,1,51,9w3sjm5ml4sjr2v81oxzdrt8v,0,16.6,18.5,2025-03-16T16:02:02.125Z,2025-03-16T16:02:03Z,effgiwtme6eu08o1ninlnqqqd,D. Høegh,,,5587203503,212,23.8,5587203497,56,Back,5587203495,155,,5587203501,141,15.5,5587203505,213,6.20,5587203499,140,39.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789348677,25,1,1,1,53,59as3grjvj19voay31j3yfgni,0,58.3,86.9,2025-03-16T16:02:03.812Z,2025-03-16T16:02:04Z,8mn8apr6n7t7s6lx4d4vvdnca,V. Bak Jensen,,,5587203619,140,68.1,5587203625,213,0.78,5587203615,3,,5587203623,212,14.5,5587203621,141,100.0,5587203617,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789348681,26,5,1,1,54,59as3grjvj19voay31j3yfgni,0,68.3,101.8,2025-03-16T16:02:04.473Z,2025-03-16T16:49:52Z,8mn8apr6n7t7s6lx4d4vvdnca,V. Bak Jensen,,,5587203639,56,Left,5587205667,233,30,5587203647,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789349047,30,5,1,1,54,9w3sjm5ml4sjr2v81oxzdrt8v,1,31.7,-1.8,2025-03-16T16:02:04.473Z,2025-03-16T16:47:32Z,effgiwtme6eu08o1ninlnqqqd,D. Høegh,,,5587205631,233,26,5587205585,56,Back,5587205587,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
