id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/16/value,qualifier/17/value,qualifier/15/value,qualifier/18/value,qualifier/19/value,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value
2716326925,9,1,1,0,18,ahnt9ejgwj58ul8auzdvi3czf,1,25.3,73.8,2024-09-01T14:00:32.131Z,2024-09-01T14:00:35Z,4qo7eu3xwhkpssbuyk4n70fe1,Pedro Ganchas,,,5189048481,56,Back,5189048487,212,26.3,5189048483,140,24.3,5189048489,213,4.67,5189048485,141,35.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716326975,10,1,1,0,21,ahnt9ejgwj58ul8auzdvi3czf,1,25.3,30.9,2024-09-01T14:00:35.635Z,2024-09-01T14:00:40Z,9zhmwx3g0m6xi2oh57g4z35nu,R. Østrøm,,,5189048719,140,30.6,5189048717,56,Back,5189048721,141,8.5,5189048725,213,5.06,5189048723,212,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716326989,11,1,1,0,26,ahnt9ejgwj58ul8auzdvi3czf,1,31.7,9.2,2024-09-01T14:00:39.955Z,2024-09-01T14:00:41Z,55u45p7vwom7civ3xy3hdf71m,O. Sonne,,,5189048829,212,10.3,5189048831,213,2.59,5189048823,56,Back,5189048825,140,23.3,5189048827,141,17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716327063,12,1,1,0,27,ahnt9ejgwj58ul8auzdvi3czf,1,22.1,18.6,2024-09-01T14:00:41.298Z,2024-09-01T14:00:47Z,9zhmwx3g0m6xi2oh57g4z35nu,R. Østrøm,,,5189049249,1,,5189049239,56,Back,5189049245,212,34.7,5189049243,141,69.6,5189049247,213,1.58,5189049241,140,21.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716327081,13,1,1,0,33,ahnt9ejgwj58ul8auzdvi3czf,1,22.2,72.0,2024-09-01T14:00:46.963Z,2024-09-01T14:00:48Z,4qo7eu3xwhkpssbuyk4n70fe1,Pedro Ganchas,,,5189049345,212,5.3,5189049343,141,72.1,5189049347,213,0.01,5189049341,140,27.2,5189049339,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716327091,14,1,1,0,34,ahnt9ejgwj58ul8auzdvi3czf,1,27.7,72.3,2024-09-01T14:00:48.115Z,2024-09-01T14:00:49Z,cuufy3ioo1kio56er2cfn0mqc,M. Freundlich,,,5189049429,213,3.10,5189049421,56,Back,5189049427,212,5.0,5189049423,140,22.9,5189049425,141,72.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716327105,15,1,1,0,35,ahnt9ejgwj58ul8auzdvi3czf,0,20.9,72.4,2024-09-01T14:00:48.875Z,2024-09-01T18:22:09Z,4qo7eu3xwhkpssbuyk4n70fe1,Pedro Ganchas,,,5189049467,212,0.7,5189049473,236,,5189049475,233,3,5189049461,56,Back,5189049465,141,72.4,5189049463,140,21.6,5189049479,286,,5189049469,213,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716327087,3,74,1,0,35,59as3grjvj19voay31j3yfgni,1,77.6,26.4,2024-09-01T14:00:48.876Z,2024-09-01T18:22:14Z,1sdsqfn743j5tqem8ra7sppn8,Franculino Djú,,,5189049403,56,Center,5189049501,233,15,5189049407,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716327121,4,5,1,0,36,59as3grjvj19voay31j3yfgni,0,77.8,-1.0,2024-09-01T14:00:50.179Z,2024-09-01T14:08:56Z,1sdsqfn743j5tqem8ra7sppn8,Franculino Djú,,,5189049561,56,Right,5189050617,233,16,5189049563,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716327307,16,5,1,0,36,ahnt9ejgwj58ul8auzdvi3czf,1,22.2,101.0,2024-09-01T14:00:50.179Z,2024-09-01T14:08:56Z,4qo7eu3xwhkpssbuyk4n70fe1,Pedro Ganchas,,,5189050605,233,4,5189050579,56,Back,5189050581,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716327329,17,1,1,0,51,ahnt9ejgwj58ul8auzdvi3czf,1,30.4,100.0,2024-09-01T14:01:04.898Z,2024-09-01T14:01:07Z,2513579m13glsous1p82fbjzd,A. Poulsen,,,5189050691,213,5.99,5189050685,140,40.6,5189050683,56,Back,5189050689,212,11.2,5189050687,141,96.3,5189050681,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716327337,18,1,1,0,53,ahnt9ejgwj58ul8auzdvi3czf,1,40.7,96.3,2024-09-01T14:01:07.506Z,2024-09-01T14:01:37Z,n2annzbap7hll02zo2v0ccgk,T. Adamsen,,,5189050711,141,97.4,5189050709,140,34.8,5189050715,213,3.02,5189050707,56,Back,5189050713,212,6.2,5189050721,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716327391,19,1,1,0,56,ahnt9ejgwj58ul8auzdvi3czf,1,37.5,96.6,2024-09-01T14:01:10.483Z,2024-09-01T14:01:35Z,cuufy3ioo1kio56er2cfn0mqc,M. Freundlich,,,5189050921,212,5.5,5189050923,213,4.56,5189050913,3,,5189050919,141,88.6,5189050915,56,Back,5189050917,140,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716327399,20,1,1,0,57,ahnt9ejgwj58ul8auzdvi3czf,0,37.0,89.6,2024-09-01T14:01:10.891Z,2024-09-01T14:06:35Z,bb8q9cgqzw9n2tmkl8s3bth0q,Y. Bakiz,,,5189050973,1,,5189050967,141,96.6,5189050961,157,,5189050965,140,57.8,5189050971,213,0.21,5189050963,56,Left,5189050969,212,22.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716327417,6,1,1,1,0,59as3grjvj19voay31j3yfgni,1,55.5,2.8,2024-09-01T14:01:13.976Z,2024-09-01T14:01:15Z,a87w6l9zsbahdi4knm1347zs9,M. Bech,,,5189051069,140,69.1,5189051071,141,9.2,5189051067,56,Right,5189051073,212,14.9,5189051075,213,0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716327433,7,1,1,1,1,59as3grjvj19voay31j3yfgni,1,69.1,9.2,2024-09-01T14:01:14.936Z,2024-09-01T14:01:16Z,djlyi0ad4x1p0k4thn8n0axw4,D. Osorio,,,5189051183,141,13.2,5189051185,212,14.7,5189051181,140,55.3,5189051179,56,Right,5189051187,213,2.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716327515,8,1,1,1,2,59as3grjvj19voay31j3yfgni,1,55.2,11.3,2024-09-01T14:01:16.632Z,2024-09-01T14:01:24Z,arhoud4vfjvmjaf2pkbm6s48a,E. Martínez,,,5189051649,56,Back,5189051657,213,2.30,5189051651,140,38.7,5189051655,212,26.1,5189051653,141,40.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716327537,9,1,1,1,10,59as3grjvj19voay31j3yfgni,1,56.6,92.9,2024-09-01T14:01:24.584Z,2024-09-01T14:01:27Z,8yfw9f74h0yfz51bkxxc8p39x,J. Andersson,,,5189051789,141,62.6,5189051785,56,Back,5189051787,140,43.4,5189051793,213,4.12,5189051791,212,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716327579,10,1,1,1,13,59as3grjvj19voay31j3yfgni,1,47.3,60.0,2024-09-01T14:01:27.512Z,2024-09-01T14:01:30Z,a87w6l9zsbahdi4knm1347zs9,M. Bech,,,5189052059,212,38.4,5189052061,213,5.02,5189052051,56,Right,5189052057,141,6.1,5189052063,1,,5189052053,140,58.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716327611,11,1,1,1,16,59as3grjvj19voay31j3yfgni,1,58.2,6.1,2024-09-01T14:01:30.408Z,2024-09-01T14:01:33Z,bidudbkachfl6126lhlr254wk,A. Gabriel,,,5189052247,213,2.56,5189052241,140,44.0,5189052245,212,17.9,5189052243,141,20.6,5189052239,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716327699,12,1,1,1,19,59as3grjvj19voay31j3yfgni,1,42.3,31.5,2024-09-01T14:01:33.688Z,2024-09-01T14:01:39Z,ddl5g7raihnc9s4u3wetz8v10,O. Diao,,,5189052713,140,40.0,5189052711,56,Back,5189052717,141,89.7,5189052721,212,39.6,5189052725,1,,5189052723,213,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716327757,13,1,1,1,25,59as3grjvj19voay31j3yfgni,1,41.3,89.0,2024-09-01T14:01:39.256Z,2024-09-01T14:01:44Z,8yfw9f74h0yfz51bkxxc8p39x,J. Andersson,,,5189053075,1,,5189053067,140,40.4,5189053073,213,4.68,5189053071,212,33.1,5189053065,56,Back,5189053069,141,40.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716327833,14,1,1,1,30,59as3grjvj19voay31j3yfgni,1,46.0,33.9,2024-09-01T14:01:43.943Z,2024-09-01T14:01:50Z,ddl5g7raihnc9s4u3wetz8v10,O. Diao,,,5189053445,140,57.7,5189053449,212,25.3,5189053443,56,Right,5189053447,141,1.4,5189053451,213,5.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716327857,15,1,1,1,36,59as3grjvj19voay31j3yfgni,1,67.3,1.7000000000000002,2024-09-01T14:01:50.552Z,2024-09-01T14:01:54Z,bidudbkachfl6126lhlr254wk,A. Gabriel,,,5189053561,56,Back,5189053567,212,20.6,5189053563,140,47.9,5189053565,141,6.5,5189053569,213,2.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716327891,16,1,1,1,40,59as3grjvj19voay31j3yfgni,1,48.8,10.3,2024-09-01T14:01:53.928Z,2024-09-01T14:01:56Z,ddl5g7raihnc9s4u3wetz8v10,O. Diao,,,5189053719,56,Back,5189053721,140,42.4,5189053727,213,1.83,5189053723,141,47.8,5189053725,212,26.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716327933,17,1,1,1,42,59as3grjvj19voay31j3yfgni,1,42.4,48.7,2024-09-01T14:01:56.664Z,2024-09-01T14:02:01Z,a87w6l9zsbahdi4knm1347zs9,M. Bech,,,5189053957,213,1.42,5189053951,141,72.7,5189053953,212,16.5,5189053947,56,Back,5189053949,140,44.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716327983,18,1,1,1,47,59as3grjvj19voay31j3yfgni,1,44.1,80.6,2024-09-01T14:02:00.952Z,2024-09-01T14:02:04Z,8yfw9f74h0yfz51bkxxc8p39x,J. Andersson,,,5189054239,141,62.7,5189054243,212,24.0,5189054235,140,63.8,5189054229,155,,5189054231,56,Center,5189054249,213,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716327989,19,50,1,1,51,59as3grjvj19voay31j3yfgni,1,67.6,57.4,2024-09-01T14:02:04.823Z,2024-09-01T14:17:31Z,bcscjb9jdgu4ims9n3vwuj5k9,E. Chilufya,,,5189054307,233,21,5189054265,286,,5189054263,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716327987,21,7,1,1,51,ahnt9ejgwj58ul8auzdvi3czf,0,32.4,42.6,2024-09-01T14:02:04.824Z,2024-09-01T18:23:05Z,9zhmwx3g0m6xi2oh57g4z35nu,R. Østrøm,,,5189054255,56,Back,5189054283,233,19,5189054257,285,,5190523981,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716328073,20,1,1,1,53,59as3grjvj19voay31j3yfgni,1,74.9,42.1,2024-09-01T14:02:06.920Z,2024-09-01T14:02:29Z,drlp4xtkta08jiu0px6m4ocq2,O. Sørensen,1.0,,5189054733,141,24.0,5189054735,212,13.8,5189054731,140,80.8,5189054737,213,5.18,5189054729,56,Center,5189055755,210,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716328075,21,13,1,1,57,59as3grjvj19voay31j3yfgni,1,80.8,35.4,2024-09-01T14:02:10.848Z,2024-09-01T18:23:37Z,1sdsqfn743j5tqem8ra7sppn8,Franculino Djú,,,5189055785,231,48.6,5189055769,84,,5189054743,18,,5189055773,55,20,5189055777,102,41.7,5189055779,103,8.3,5189055395,72,,5189055783,230,98.6,5189054745,56,Center,5189054741,22,5189055771,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716328079,22,5,1,1,58,59as3grjvj19voay31j3yfgni,0,100.9,39.3,2024-09-01T14:02:12.146Z,2024-09-01T14:08:57Z,1sdsqfn743j5tqem8ra7sppn8,Franculino Djú,,,5189054757,56,Center,5189054759,346,,5189055353,233,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716328183,22,5,1,1,58,ahnt9ejgwj58ul8auzdvi3czf,1,-0.9,60.7,2024-09-01T14:02:12.146Z,2024-09-01T14:08:56Z,2513579m13glsous1p82fbjzd,A. Poulsen,,,5189055345,233,22,5189055311,346,,5189055309,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716328299,23,1,1,2,16,ahnt9ejgwj58ul8auzdvi3czf,1,4.2,58.7,2024-09-01T14:02:29.826Z,2024-09-01T14:02:34Z,b2492j7qzdo7g3ysxz6gq4g5x,N. Larsen,,,5189055989,141,32.4,5189055993,212,18.1,5189056003,237,,5189055997,213,4.88,5189055985,140,7.0,5189055979,124,,5189055981,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716328309,24,1,1,2,20,ahnt9ejgwj58ul8auzdvi3czf,1,7.0,37.6,2024-09-01T14:02:34.450Z,2024-09-01T18:23:53Z,5r1v2w303bvj0vv1893qr5d5h,M. Brink,,,5189056055,213,5.07,5189056053,212,21.7,5189056051,141,7.7,5189056047,56,Back,5189056049,140,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716328341,25,1,1,2,21,ahnt9ejgwj58ul8auzdvi3czf,1,15.1,6.4,2024-09-01T14:02:35.618Z,2024-09-01T14:02:38Z,9zhmwx3g0m6xi2oh57g4z35nu,R. Østrøm,,,5189056235,212,24.4,5189056233,141,31.9,5189056229,56,Back,5189056237,213,0.79,5189056231,140,31.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716328379,26,1,1,2,25,ahnt9ejgwj58ul8auzdvi3czf,1,31.3,27.6,2024-09-01T14:02:38.818Z,2024-09-01T14:02:41Z,bb8q9cgqzw9n2tmkl8s3bth0q,Y. Bakiz,,,5189056469,212,17.0,5189056461,140,20.8,5189056473,213,4.01,5189056457,56,Back,5189056465,141,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716328441,27,1,1,2,27,ahnt9ejgwj58ul8auzdvi3czf,1,20.6,9.4,2024-09-01T14:02:41.282Z,2024-09-01T14:02:45Z,9zhmwx3g0m6xi2oh57g4z35nu,R. Østrøm,,,5189056799,213,1.90,5189056797,212,27.4,5189056791,56,Back,5189056795,141,47.5,5189056793,140,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716328467,28,1,1,2,31,ahnt9ejgwj58ul8auzdvi3czf,1,12.1,47.5,2024-09-01T14:02:45.394Z,2024-09-01T14:02:47Z,b2492j7qzdo7g3ysxz6gq4g5x,N. Larsen,,,5189056899,56,Back,5189056901,140,20.2,5189056907,213,1.16,5189056903,141,76.0,5189056905,212,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716328511,29,1,1,2,33,ahnt9ejgwj58ul8auzdvi3czf,1,20.5,76.1,2024-09-01T14:02:47.458Z,2024-09-01T14:02:51Z,4qo7eu3xwhkpssbuyk4n70fe1,Pedro Ganchas,,,5189057135,141,49.6,5189057133,140,12.3,5189057139,213,4.27,5189057137,212,20.0,5189057131,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716328571,30,1,1,2,37,ahnt9ejgwj58ul8auzdvi3czf,1,12.3,48.2,2024-09-01T14:02:51.105Z,2024-09-01T14:02:55Z,b2492j7qzdo7g3ysxz6gq4g5x,N. Larsen,,,5189057393,56,Back,5189057399,212,31.1,5189057395,140,25.7,5189057397,141,7.4,5189057401,213,5.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716328607,31,1,1,2,41,ahnt9ejgwj58ul8auzdvi3czf,1,26.7,7.6,2024-09-01T14:02:55.793Z,2024-09-01T14:02:58Z,55u45p7vwom7civ3xy3hdf71m,O. Sonne,,,5189057609,141,29.7,5189057611,212,16.0,5189057605,56,Back,5189057613,213,1.91,5189057607,140,21.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
