id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/14/value,qualifier/16/value
2781692181,7,61,1,0,15,5rz9enoyknpg8ji78za5b82p0,0,75.0,18.3,2025-02-28T18:01:34.910Z,2025-02-28T18:01:35Z,61sojkdsmaz9hbwaskt4rws15,M. Anderson,,,5545394481,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781692193,5,12,1,0,15,9w3sjm5ml4sjr2v81oxzdrt8v,1,14.3,81.2,2025-02-28T18:01:35.224Z,2025-02-28T18:01:37Z,60z63hezwwosjnhvamcwxtre1,N. Dyhr,,,5545394517,141,100.0,5545394527,167,,5545394521,213,0.49,5545394519,212,29.0,5545394513,56,Back,5545394515,140,38.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781692195,6,5,1,0,17,9w3sjm5ml4sjr2v81oxzdrt8v,0,34.8,101.4,2025-02-28T18:01:37.103Z,2025-02-28T18:07:55Z,60z63hezwwosjnhvamcwxtre1,N. Dyhr,,,5545394617,233,8,5545394523,56,Back,5545394525,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781692207,8,5,1,0,17,5rz9enoyknpg8ji78za5b82p0,1,65.2,-1.4,2025-02-28T18:01:37.103Z,2025-02-28T18:07:55Z,61sojkdsmaz9hbwaskt4rws15,M. Anderson,,,5545394613,233,6,5545394571,347,,5545394569,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781692339,9,1,1,0,38,5rz9enoyknpg8ji78za5b82p0,1,75.4,0.0,2025-02-28T18:01:57.918Z,2025-02-28T18:02:00Z,e9lrzsiy94y46h62rnawi3sgl,H. Dalsgaard,,,5545395245,212,21.5,5545395243,141,27.0,5545395239,56,Center,5545395249,1,,5545395237,107,,5545395247,213,1.12,5545395241,140,84.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781692345,10,44,1,0,40,5rz9enoyknpg8ji78za5b82p0,1,86.2,30.8,2025-02-28T18:01:59.560Z,2025-02-28T18:06:09Z,6my7s0ezr6jldotm1w6nk7b9x,F. Tingager,,,5545395277,233,7,5545395271,286,,5545395269,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781692335,7,44,1,0,40,9w3sjm5ml4sjr2v81oxzdrt8v,0,13.8,69.2,2025-02-28T18:01:59.561Z,2025-02-28T18:02:03Z,60z63hezwwosjnhvamcwxtre1,N. Dyhr,,,5545395233,285,,5545395303,233,10,5545395231,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781692367,11,1,1,0,40,5rz9enoyknpg8ji78za5b82p0,0,84.3,27.0,2025-02-28T18:01:59.902Z,2025-02-28T18:06:13Z,6my7s0ezr6jldotm1w6nk7b9x,F. Tingager,,,5545395407,213,0.70,5545395401,140,88.3,5545395395,3,,5545395399,56,Center,5545395405,212,5.5,5545395403,141,32.2,5545395397,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781692375,8,12,1,0,41,9w3sjm5ml4sjr2v81oxzdrt8v,1,9.6,62.9,2025-02-28T18:02:01.145Z,2025-02-28T18:02:03Z,6uj3c69lgu6boblkjiuhoy6eh,J. Björkengren,,,5545395447,56,Back,5545395451,141,94.4,5545395449,140,25.0,5545395455,213,0.92,5545395453,212,26.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781692395,10,1,1,0,45,9w3sjm5ml4sjr2v81oxzdrt8v,1,20.9,95.0,2025-02-28T18:02:04.761Z,2025-02-28T18:02:06Z,1329qhvvxpp6j4q5esh4n3hii,M. Touré,,,5545395569,141,92.3,5545395573,213,3.48,5545395567,140,15.9,5545395565,56,Back,5545395571,212,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781692411,11,1,1,0,47,9w3sjm5ml4sjr2v81oxzdrt8v,1,15.9,92.3,2025-02-28T18:02:06.552Z,2025-02-28T18:02:09Z,60z63hezwwosjnhvamcwxtre1,N. Dyhr,,,5545395661,1,,5545395651,56,Back,5545395657,212,30.2,5545395659,213,5.73,5545395649,157,,5545395655,141,69.1,5545395653,140,40.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781692449,12,1,1,0,49,9w3sjm5ml4sjr2v81oxzdrt8v,1,40.6,63.9,2025-02-28T18:02:09.128Z,2025-02-28T18:02:15Z,54ipja7wrxji6kn8yw5uhr6ga,F. Danho,,,5545395795,56,Back,5545395803,213,4.70,5545395799,141,22.7,5545395797,140,40.4,5545395801,212,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781692459,13,1,1,0,55,9w3sjm5ml4sjr2v81oxzdrt8v,1,39.3,22.5,2025-02-28T18:02:14.953Z,2025-02-28T18:02:17Z,6m5ftd7c68b2d4d2931xs5srt,O. Olsen,,,5545395861,141,36.0,5545395857,56,Back,5545395859,140,24.1,5545395863,212,18.4,5545395865,213,2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781692469,14,1,1,0,57,9w3sjm5ml4sjr2v81oxzdrt8v,1,24.1,36.9,2025-02-28T18:02:16.985Z,2025-02-28T18:02:19Z,effgiwtme6eu08o1ninlnqqqd,D. Høegh,,,5545395909,56,Back,5545395911,140,31.9,5545395917,212,8.3,5545395919,213,0.19,5545395915,141,39.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781692481,15,1,1,0,59,9w3sjm5ml4sjr2v81oxzdrt8v,1,31.9,39.2,2025-02-28T18:02:19.257Z,2025-02-28T18:02:21Z,6uj3c69lgu6boblkjiuhoy6eh,J. Björkengren,,,5545395979,141,49.1,5545395981,212,10.3,5545395977,140,24.5,5545395975,56,Back,5545395983,213,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781692515,16,1,1,1,2,9w3sjm5ml4sjr2v81oxzdrt8v,1,24.6,49.3,2025-02-28T18:02:21.609Z,2025-02-28T18:02:25Z,effgiwtme6eu08o1ninlnqqqd,D. Høegh,,,5545396165,213,1.24,5545396163,212,14.0,5545396159,140,28.9,5545396161,141,68.8,5545396157,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781692571,17,1,1,1,6,9w3sjm5ml4sjr2v81oxzdrt8v,1,29.2,66.6,2025-02-28T18:02:25.577Z,2025-02-28T18:02:34Z,8cox96ikk1k4c24f0y5ef45x,W. Dammers,,,5545396415,56,Back,5545396413,155,,5545396423,213,4.92,5545396421,212,26.9,5545396419,141,27.9,5545396417,140,34.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781692573,18,1,1,1,15,9w3sjm5ml4sjr2v81oxzdrt8v,1,74.3,8.0,2025-02-28T18:02:34.361Z,2025-02-28T18:02:35Z,2mawaijd9czgtd5jh9myk434l,A. Rømer,,,5545396429,56,Right,5545396433,141,4.4,5545396435,212,2.7,5545396437,213,5.12,5545396431,140,75.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781692583,19,1,1,1,15,9w3sjm5ml4sjr2v81oxzdrt8v,1,75.3,4.4,2025-02-28T18:02:35.241Z,2025-02-28T18:02:37Z,6m5ftd7c68b2d4d2931xs5srt,O. Olsen,,,5545396493,140,63.6,5545396499,213,2.88,5545396495,141,9.2,5545396491,56,Right,5545396497,212,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781692617,20,1,1,1,20,9w3sjm5ml4sjr2v81oxzdrt8v,1,59.0,17.7,2025-02-28T18:02:39.450Z,2025-02-28T18:02:40Z,6uj3c69lgu6boblkjiuhoy6eh,J. Björkengren,,,5545396653,212,26.2,5545396655,213,2.05,5545396649,140,47.5,5545396647,56,Back,5545396651,141,51.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781692647,21,1,1,1,21,9w3sjm5ml4sjr2v81oxzdrt8v,1,47.5,51.9,2025-02-28T18:02:40.729Z,2025-02-28T18:02:42Z,8cox96ikk1k4c24f0y5ef45x,W. Dammers,,,5545396759,56,Back,5545396767,213,4.58,5545396761,140,45.5,5545396763,141,28.9,5545396765,212,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781692669,22,1,1,1,23,9w3sjm5ml4sjr2v81oxzdrt8v,1,43.4,26.2,2025-02-28T18:02:42.809Z,2025-02-28T18:02:45Z,effgiwtme6eu08o1ninlnqqqd,D. Høegh,,,5545396897,213,5.56,5545396891,140,59.2,5545396889,56,Right,5545396893,141,4.6,5545396895,212,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781692687,23,1,1,1,26,9w3sjm5ml4sjr2v81oxzdrt8v,1,59.2,4.6,2025-02-28T18:02:45.626Z,2025-02-28T18:02:47Z,2mawaijd9czgtd5jh9myk434l,A. Rømer,,,5545397047,56,Right,5545397049,140,54.4,5545397055,213,2.00,5545397053,212,12.2,5545397051,141,20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781692719,24,1,1,1,28,9w3sjm5ml4sjr2v81oxzdrt8v,0,54.4,20.9,2025-02-28T18:02:47.673Z,2025-02-28T18:02:50Z,6uj3c69lgu6boblkjiuhoy6eh,J. Björkengren,,,5545397243,1,,5545397233,56,Center,5545397239,212,32.5,5545397235,140,85.3,5545397241,213,0.06,5545397237,141,24.0,5545397231,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781692769,12,12,1,1,33,5rz9enoyknpg8ji78za5b82p0,1,9.1,69.9,2025-02-28T18:02:52.734Z,2025-02-28T18:02:55Z,6my7s0ezr6jldotm1w6nk7b9x,F. Tingager,,,5545397457,140,35.0,5545397461,212,27.2,5545397459,141,72.1,5545397455,56,Back,5545397463,213,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781692773,13,43,1,1,36,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2025-02-28T18:02:55.534Z,2025-02-28T21:09:33Z,3uytpqx0e0jr6zgbfl1znsm7e,T. Bech,,,5546189995,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781692785,14,1,1,1,36,5rz9enoyknpg8ji78za5b82p0,0,34.7,75.1,2025-02-28T18:02:55.902Z,2025-02-28T18:02:56Z,3uytpqx0e0jr6zgbfl1znsm7e,T. Bech,,,5545397507,212,4.5,5545397501,56,Back,5545397503,140,39.0,5545397509,213,0.05,5545397505,141,75.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781692787,25,43,1,1,37,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2025-02-28T18:02:56.522Z,2025-02-28T21:09:38Z,2mawaijd9czgtd5jh9myk434l,A. Rømer,,,5546190279,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781692821,26,1,1,1,37,9w3sjm5ml4sjr2v81oxzdrt8v,1,58.9,12.3,2025-02-28T18:02:57.066Z,2025-02-28T18:03:00Z,2mawaijd9czgtd5jh9myk434l,A. Rømer,,,5545397675,212,8.9,5545397669,56,Right,5545397673,141,4.7,5545397671,140,65.8,5545397677,213,5.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781692835,27,1,1,1,41,9w3sjm5ml4sjr2v81oxzdrt8v,1,71.4,4.6,2025-02-28T18:03:00.442Z,2025-02-28T18:03:02Z,6m5ftd7c68b2d4d2931xs5srt,O. Olsen,,,5545397743,140,90.1,5545397749,213,0.25,5545397745,141,11.9,5545397747,212,20.3,5545397741,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781692839,28,1,1,1,42,9w3sjm5ml4sjr2v81oxzdrt8v,0,90.1,11.9,2025-02-28T18:03:02.202Z,2025-02-28T18:03:02Z,606hufq6dapf3qxcgilbc8tt5,S. Nordli,,,5545397771,212,2.7,5545397767,140,89.8,5545397769,141,15.8,5545397773,213,1.69,5545397765,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781692845,15,61,1,1,44,5rz9enoyknpg8ji78za5b82p0,1,9.0,83.6,2025-02-28T18:03:03.661Z,2025-02-28T18:03:03Z,6my7s0ezr6jldotm1w6nk7b9x,F. Tingager,,,5545397789,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781692865,17,1,1,1,46,5rz9enoyknpg8ji78za5b82p0,0,10.3,88.1,2025-02-28T18:03:06.094Z,2025-02-28T18:03:09Z,4vmgmzg2004twoc39sk7zkzqh,G. Links,,,5545397879,157,,5545397889,213,0.32,5545397997,286,,5545397881,56,Back,5545397883,140,14.4,5545397885,141,90.2,5545397991,236,,5545397887,212,4.5,5545397891,1,5545397993,233,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781692891,29,74,1,1,46,9w3sjm5ml4sjr2v81oxzdrt8v,1,73.9,4.3,2025-02-28T18:03:06.095Z,2025-02-28T18:07:28Z,8domjmewnw5h6b19vef8w0afp,M. Greve,,,5545397977,285,,5545398003,233,17,5545397975,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781692959,18,5,1,1,50,5rz9enoyknpg8ji78za5b82p0,1,20.8,101.2,2025-02-28T18:03:10.174Z,2025-02-28T18:07:00Z,4vmgmzg2004twoc39sk7zkzqh,G. Links,,,5545398227,56,Back,5545398229,347,,5545398241,233,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781692907,30,5,1,1,50,9w3sjm5ml4sjr2v81oxzdrt8v,0,79.2,-1.2,2025-02-28T18:03:10.174Z,2025-02-28T18:07:55Z,6m5ftd7c68b2d4d2931xs5srt,O. Olsen,,,5545398027,56,Right,5545398269,233,18,5545398029,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781693005,19,1,1,2,6,5rz9enoyknpg8ji78za5b82p0,0,18.1,100.0,2025-02-28T18:03:25.984Z,2025-02-28T18:03:27Z,654obqy73ov2t5800r2woo6w9,M. Akoto,,,5545398473,213,6.03,5545398475,1,,5545398469,141,91.4,5545398467,140,41.9,5545398463,107,,5545398465,56,Back,5545398471,212,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781693029,31,1,1,2,8,9w3sjm5ml4sjr2v81oxzdrt8v,0,52.6,9.8,2025-02-28T18:03:27.819Z,2025-02-28T18:03:28Z,2mawaijd9czgtd5jh9myk434l,A. Rømer,,,5545398569,213,6.12,5545398559,3,,5545398567,212,13.1,5545398561,56,Right,5545398565,141,6.7,5545398563,140,64.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781693047,20,1,1,2,10,5rz9enoyknpg8ji78za5b82p0,1,33.4,93.8,2025-02-28T18:03:30.093Z,2025-02-28T18:03:32Z,4vmgmzg2004twoc39sk7zkzqh,G. Links,,,5545398681,213,5.33,5545398677,141,81.2,5545398671,3,,5545398679,212,10.5,5545398673,56,Back,5545398675,140,39.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781693063,21,1,1,2,12,5rz9enoyknpg8ji78za5b82p0,1,43.1,78.7,2025-02-28T18:03:32.302Z,2025-02-28T18:03:34Z,3sadup8mjwu4dc96wz6lmixn9,P. Mortensen,,,5545398751,56,Back,5545398757,212,8.0,5545398759,213,2.29,5545398753,140,38.1,5545398755,141,87.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781693069,22,1,1,2,14,5rz9enoyknpg8ji78za5b82p0,0,38.1,87.5,2025-02-28T18:03:33.558Z,2025-02-28T18:07:02Z,7je01bs3a4q6c2gd02ee6da3u,K. Arnstad,,,5545398787,212,28.8,5545398781,56,Center,5545398779,157,,5545398789,213,5.44,5545398791,1,,5545398785,141,56.0,5545398783,140,56.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781693085,32,12,1,2,14,9w3sjm5ml4sjr2v81oxzdrt8v,1,44.7,53.3,2025-02-28T18:03:34.106Z,2025-02-28T19:01:02Z,60z63hezwwosjnhvamcwxtre1,N. Dyhr,,,5545529469,15,,5545398873,140,63.1,5545398879,213,5.75,5545398875,141,36.6,5545398871,56,Center,5545398877,212,22.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781693091,33,43,1,2,18,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2025-02-28T18:03:37.483Z,2025-02-28T21:10:21Z,8domjmewnw5h6b19vef8w0afp,M. Greve,,,5546192583,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781693097,34,1,1,2,18,9w3sjm5ml4sjr2v81oxzdrt8v,1,64.8,40.7,2025-02-28T18:03:37.803Z,2025-02-28T18:03:39Z,8domjmewnw5h6b19vef8w0afp,M. Greve,,,5545398911,141,57.2,5545398913,212,11.3,5545398915,213,1.44,5545398907,56,Center,5545398909,140,66.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781693117,35,1,1,2,20,9w3sjm5ml4sjr2v81oxzdrt8v,1,66.4,60.6,2025-02-28T18:03:39.659Z,2025-02-28T18:03:43Z,606hufq6dapf3qxcgilbc8tt5,S. Nordli,,,5545399003,141,79.1,5545399005,212,14.5,5545398999,56,Left,5545399007,213,2.09,5545399001,140,59.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
