id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/8/value,qualifier/10/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/9/value,qualifier/13/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/12/value,qualifier/16/value,qualifier/18/value
2799124229,5,1,1,0,10,36g6ifzjliec1jqnbtf7yesme,1,30.6,73.8,2025-04-11T17:01:23.787Z,2025-04-11T17:01:25Z,bm3k1knugkwa8z319dscr2yhg,T. Hernes,,,5641086575,3,,5641086591,212,4.5,5641086581,56,Back,5641086593,213,0.38,5641086589,141,76.3,5641086585,140,34.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799124231,6,1,1,0,11,36g6ifzjliec1jqnbtf7yesme,1,45.7,73.4,2025-04-11T17:01:24.887Z,2025-04-11T17:48:29Z,1arzd8hqj73byhduozscqz5uy,M. Jørgensen,,,5641323289,3,,5641323089,140,40.3,5641323087,56,Back,5641323093,212,6.9,5641323091,141,67.5,5641323097,213,3.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799124257,7,45,1,0,14,anga7587r1zv4ey71ge9zxol3,0,57.1,27.9,2025-04-11T17:01:28.020Z,2025-04-11T19:00:06Z,79b0b6eqck5vn4b3fawxsaok,P. Langhoff,,,5641086735,56,Center,5641087021,233,9,5641086737,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799124301,9,3,1,0,14,36g6ifzjliec1jqnbtf7yesme,1,42.9,72.1,2025-04-11T17:01:28.020Z,2025-04-11T20:59:48Z,2k8bmlxzt0qi7divtxye0a5ii,I. Hansen-Aarøen,,,5641086955,286,,5642329387,465,,5641087001,233,7,5641086949,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799124317,8,83,1,0,16,anga7587r1zv4ey71ge9zxol3,0,30.3,24.2,2025-04-11T17:01:30.043Z,2025-04-11T22:05:14Z,8822s8ns7oyvjqade4oaxzg0l,O. Buur,,,5641087461,399,2k8bmlxzt0qi7divtxye0a5ii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799124359,10,1,1,0,18,36g6ifzjliec1jqnbtf7yesme,1,67.7,72.1,2025-04-11T17:01:31.842Z,2025-04-11T17:01:35Z,2k8bmlxzt0qi7divtxye0a5ii,I. Hansen-Aarøen,,,5641087283,141,94.2,5641087279,56,Left,5641087285,212,22.9,5641087287,213,0.72,5641087281,140,84.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799124379,11,1,1,0,22,36g6ifzjliec1jqnbtf7yesme,0,88.8,95.7,2025-04-11T17:01:35.547Z,2025-04-11T21:00:35Z,ejixz16616b7krftxyzv9yiac,M. Bomholt,,,5641087421,155,,5641087427,141,88.7,5641087431,213,5.38,5641087425,140,92.4,5641087429,212,6.1,5642330207,224,,5641087419,2,,5641087423,56,Left,5642330209,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799124405,9,61,1,0,24,anga7587r1zv4ey71ge9zxol3,1,12.7,14.5,2025-04-11T17:01:37.935Z,2025-04-11T17:01:38Z,8822s8ns7oyvjqade4oaxzg0l,O. Buur,,,5641087571,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799124411,10,6,1,0,25,anga7587r1zv4ey71ge9zxol3,0,7.0,11.6,2025-04-11T17:01:38.357Z,2025-04-11T21:00:45Z,8822s8ns7oyvjqade4oaxzg0l,O. Buur,,,5641087665,73,,5641087663,56,Back,5641087783,233,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799124413,12,6,1,0,25,36g6ifzjliec1jqnbtf7yesme,1,93.0,88.4,2025-04-11T17:01:38.357Z,2025-04-11T17:13:13Z,ejixz16616b7krftxyzv9yiac,M. Bomholt,,,5641087725,56,Left,5641087729,73,,5641087765,233,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799125207,13,1,1,1,23,36g6ifzjliec1jqnbtf7yesme,1,99.5,99.5,2025-04-11T17:02:37.186Z,2025-04-11T21:01:20Z,2k8bmlxzt0qi7divtxye0a5ii,I. Hansen-Aarøen,1.0,,5641094177,154,,5641091913,140,93.1,5641094175,210,13,5641091917,212,30.7,5641091911,56,Center,5641091915,141,55.5,5641091919,213,4.49,5641091901,6,,5641091899,2,5642331213,20,5641091905,223,5641091903,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799167783,323,44,1,1,23,36g6ifzjliec1jqnbtf7yesme,1,90.9,64.4,2025-04-11T17:02:37.238Z,2025-04-11T18:27:00Z,de0dokhb6u6hts2hu5aupgiga,K. Jørgensen,,,5641327889,56,Center,5641327891,286,,5641328019,233,483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799167805,483,44,1,1,24,anga7587r1zv4ey71ge9zxol3,0,9.1,35.6,2025-04-11T17:02:37.239Z,2025-04-11T18:27:00Z,bpw4cd5vmghjhelb3uxupmqjt,S. Magnússon,,,5641328007,56,Back,5641328039,233,323,5641328009,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799125215,14,13,1,1,24,36g6ifzjliec1jqnbtf7yesme,1,93.3,62.2,2025-04-11T17:02:37.402Z,2025-04-11T22:03:57Z,de0dokhb6u6hts2hu5aupgiga,K. Jørgensen,,,5641165813,147,55.6,5641093897,15,,5641094195,29,,5641094199,55,13,5641094203,102,38.5,5642397535,17,,5641165809,153,,5641094209,231,51.6,5641094205,103,5641328847,75,5641091951,56,5641165811,146,11.1,Center,93.7,5641093901,328,5641093895,25,5641094197,154,5641094207,230,99.1,,,,,,,,,,,,,,,,,,,
2799138871,113,61,1,1,26,36g6ifzjliec1jqnbtf7yesme,1,94.3,50.1,2025-04-11T17:02:39.923Z,2025-04-11T17:49:54Z,7yst1mucy7jynmpzu1thox2i,L. Kramer,,,5641166433,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799125361,11,5,1,1,29,anga7587r1zv4ey71ge9zxol3,1,-0.6,61.0,2025-04-11T17:02:43.124Z,2025-04-11T17:17:52Z,8gdfn7j6xac9p4jh94hk40jdg,J. Cornelius,,,5641092761,233,15,5641092743,56,Back,5641168639,361,,5641092745,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799125235,15,5,1,1,29,36g6ifzjliec1jqnbtf7yesme,0,100.6,39.0,2025-04-11T17:02:43.124Z,2025-04-11T17:24:32Z,bm3k1knugkwa8z319dscr2yhg,T. Hernes,,,5641092781,233,11,5641198757,361,,5641092047,56,Center,5641092049,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799125409,12,1,1,1,40,anga7587r1zv4ey71ge9zxol3,1,5.0,59.7,2025-04-11T17:02:53.539Z,2025-04-11T17:02:56Z,5is9bcj143orulo4biogwxzl6,L. Lissens,,,5641092961,237,,5641092955,212,5.4,5641092957,213,4.52,5641092951,140,4.0,5641092953,141,51.9,5641092949,56,Back,5641092945,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799125479,13,1,1,1,43,anga7587r1zv4ey71ge9zxol3,1,6.5,50.9,2025-04-11T17:02:56.723Z,2025-04-11T17:03:02Z,15fo180vixn0lb65fujttit3p,J. Storch,,,5641093347,141,29.6,5641093349,212,15.6,5641093345,140,12.1,5641093351,213,5.10,5641093343,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799125517,14,1,1,1,48,anga7587r1zv4ey71ge9zxol3,1,23.6,38.2,2025-04-11T17:03:02.179Z,2025-04-11T17:03:05Z,cw6s5hf1tytvb98vjuosz9r6d,R. Thelander,,,5641093563,141,69.3,5641093567,213,1.68,5641093561,140,21.4,5641093559,56,Back,5641093565,212,21.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799125527,15,1,1,1,51,anga7587r1zv4ey71ge9zxol3,1,21.3,69.9,2025-04-11T17:03:05.235Z,2025-04-11T17:03:06Z,5is9bcj143orulo4biogwxzl6,L. Lissens,,,5641093619,141,68.0,5641093615,56,Back,5641093623,213,6.05,5641093617,140,26.5,5641093621,212,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799125567,16,1,1,1,52,anga7587r1zv4ey71ge9zxol3,1,26.5,68.0,2025-04-11T17:03:06.227Z,2025-04-11T17:03:09Z,b13l1wrb747y9cdc8wqltan6d,M. Hebo,,,5641093807,212,19.0,5641093801,56,Back,5641093809,213,3.57,5641093805,141,56.4,5641093817,156,,5641093803,140,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799125807,17,1,1,2,8,anga7587r1zv4ey71ge9zxol3,1,18.0,49.7,2025-04-11T17:03:22.211Z,2025-04-11T17:03:27Z,15fo180vixn0lb65fujttit3p,J. Storch,,,5641095051,56,Back,5641095057,212,15.3,5641095053,140,24.1,5641095055,141,29.2,5641095059,213,5.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799125845,18,1,1,2,13,anga7587r1zv4ey71ge9zxol3,1,23.8,30.2,2025-04-11T17:03:27.107Z,2025-04-11T17:03:29Z,cw6s5hf1tytvb98vjuosz9r6d,R. Thelander,,,5641095265,56,Back,5641095269,141,5.9,5641095273,213,5.07,5641095267,140,29.7,5641095271,212,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799125921,19,1,1,2,15,anga7587r1zv4ey71ge9zxol3,1,29.8,5.8,2025-04-11T17:03:29.139Z,2025-04-11T17:03:34Z,8822s8ns7oyvjqade4oaxzg0l,O. Buur,,,5641095697,212,14.4,5641095699,213,2.27,5641095695,141,22.0,5641095689,56,Back,5641095693,140,20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799125973,20,1,1,2,21,anga7587r1zv4ey71ge9zxol3,1,23.9,44.2,2025-04-11T17:03:34.835Z,2025-04-11T17:03:37Z,cw6s5hf1tytvb98vjuosz9r6d,R. Thelander,,,5641095933,141,79.1,5641095935,212,23.9,5641095937,213,1.69,5641095929,56,Back,5641095931,140,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799126021,21,1,1,2,24,anga7587r1zv4ey71ge9zxol3,1,20.5,80.6,2025-04-11T17:03:37.891Z,2025-04-11T17:03:40Z,5is9bcj143orulo4biogwxzl6,L. Lissens,,,5641096187,141,96.2,5641096183,56,Back,5641096189,212,11.2,5641096191,213,1.24,5641096185,140,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799126033,16,45,1,2,27,36g6ifzjliec1jqnbtf7yesme,0,76.6,5.4,2025-04-11T17:03:40.611Z,2025-04-11T19:00:07Z,2k8bmlxzt0qi7divtxye0a5ii,I. Hansen-Aarøen,,,5641096251,56,Right,5641096321,233,22,5641096255,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799126041,22,3,1,2,27,anga7587r1zv4ey71ge9zxol3,1,23.4,94.6,2025-04-11T17:03:40.611Z,2025-04-11T21:03:08Z,8ydi45wh0naevno6aos78vi09,L. Klassen,,,5642333405,465,,5641096293,56,Back,5641096315,233,16,5641096295,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799126083,23,1,1,2,28,anga7587r1zv4ey71ge9zxol3,1,23.1,87.0,2025-04-11T17:03:41.347Z,2025-04-11T17:03:45Z,8ydi45wh0naevno6aos78vi09,L. Klassen,,,5641096557,140,13.6,5641096563,213,3.31,5641096555,56,Back,5641096561,212,10.1,5641096559,141,84.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799126157,24,1,1,2,31,anga7587r1zv4ey71ge9zxol3,1,14.4,71.1,2025-04-11T17:03:44.963Z,2025-04-11T17:03:49Z,5is9bcj143orulo4biogwxzl6,L. Lissens,,,5641096875,140,19.6,5641096879,141,35.0,5641096871,56,Back,5641096883,213,4.93,5641096881,212,25.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799126187,25,1,1,2,35,anga7587r1zv4ey71ge9zxol3,1,23.5,32.9,2025-04-11T17:03:49.123Z,2025-04-11T17:03:50Z,cw6s5hf1tytvb98vjuosz9r6d,R. Thelander,,,5641097027,141,7.4,5641097029,212,23.6,5641097025,140,38.8,5641097031,213,5.46,5641097023,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799126247,26,1,1,2,37,anga7587r1zv4ey71ge9zxol3,1,38.8,7.4,2025-04-11T17:03:50.835Z,2025-04-11T17:03:55Z,8822s8ns7oyvjqade4oaxzg0l,O. Buur,,,5641097291,212,21.3,5641097285,56,Right,5641097289,141,9.8,5641097287,140,59.0,5641097293,213,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799351675,768,45,1,2,38,36g6ifzjliec1jqnbtf7yesme,0,36.5,90.5,2025-04-11T17:03:52.185Z,2025-04-11T21:03:36Z,bm3k1knugkwa8z319dscr2yhg,T. Hernes,,,5642334015,285,,5642334013,56,Back,5642334031,233,959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799351677,959,3,1,2,38,anga7587r1zv4ey71ge9zxol3,1,63.5,9.5,2025-04-11T17:03:52.185Z,2025-04-11T21:03:36Z,58o5ram4bf58357786j9jr7kk,M. Opoku,,,5642334025,233,768,5642334017,56,Right,5642334023,464,,5642334021,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799126255,27,1,1,2,41,anga7587r1zv4ey71ge9zxol3,0,58.9,13.0,2025-04-11T17:03:54.475Z,2025-04-11T17:59:44Z,58o5ram4bf58357786j9jr7kk,M. Opoku,,,5641097369,213,0.34,5641097365,141,20.9,5641097363,140,73.5,5641097367,212,16.2,5641097361,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799169263,324,12,1,2,42,36g6ifzjliec1jqnbtf7yesme,1,22.3,70.9,2025-04-11T17:03:55.239Z,2025-04-11T17:51:13Z,8vi3l756ez0e96k7muvg4ekbu,B. Pudel,,,5641335699,213,5.87,5641335695,141,60.3,5641335691,56,Back,5641335697,212,18.1,5641335687,15,,5641335693,140,38.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799169447,325,61,1,2,44,36g6ifzjliec1jqnbtf7yesme,0,40.5,60.0,2025-04-11T17:03:57.239Z,2025-04-11T17:51:24Z,6v1kpakd3t0jhnoh1eh75ev4k,K. Davidsen,,,5641336737,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799126341,28,1,1,2,45,anga7587r1zv4ey71ge9zxol3,1,57.0,48.7,2025-04-11T17:03:58.691Z,2025-04-11T17:04:02Z,b13l1wrb747y9cdc8wqltan6d,M. Hebo,,,5641097821,212,14.1,5641097823,213,0.17,5641097817,140,70.2,5641097819,141,52.2,5641097815,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799126407,29,1,1,2,49,anga7587r1zv4ey71ge9zxol3,1,71.7,68.0,2025-04-11T17:04:02.500Z,2025-04-11T17:04:05Z,6d0lxiep13vdv32bdb0xwyrys,L. Sandgrav,,,5641098167,56,Left,5641098171,141,84.6,5641098169,140,75.5,5641098175,213,1.23,5641098173,212,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799126427,30,1,1,2,51,anga7587r1zv4ey71ge9zxol3,1,78.4,85.7,2025-04-11T17:04:05.187Z,2025-04-11T17:04:06Z,8ydi45wh0naevno6aos78vi09,L. Klassen,,,5641098303,141,87.8,5641098301,140,72.0,5641098307,213,2.93,5641098299,56,Left,5641098305,212,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799126441,31,1,1,2,53,anga7587r1zv4ey71ge9zxol3,1,71.2,86.0,2025-04-11T17:04:06.595Z,2025-04-11T17:04:07Z,6d0lxiep13vdv32bdb0xwyrys,L. Sandgrav,,,5641098373,141,78.5,5641098369,56,Center,5641098375,212,5.4,5641098371,140,72.9,5641098377,213,5.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799126455,32,1,1,2,54,anga7587r1zv4ey71ge9zxol3,1,72.9,78.5,2025-04-11T17:04:07.331Z,2025-04-11T17:04:08Z,b13l1wrb747y9cdc8wqltan6d,M. Hebo,,,5641098439,56,Left,5641098443,141,87.8,5641098441,140,70.2,5641098445,212,6.9,5641098449,213,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799126497,33,1,1,2,55,anga7587r1zv4ey71ge9zxol3,1,70.2,87.8,2025-04-11T17:04:08.467Z,2025-04-11T17:04:10Z,6d0lxiep13vdv32bdb0xwyrys,L. Sandgrav,,,5641098633,56,Center,5641098641,213,4.20,5641098639,212,10.0,5641098635,140,65.5,5641098637,141,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
