id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/10/value,qualifier/12/value,qualifier/9/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2775943079,6,43,1,0,9,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2025-02-14T18:03:50.432Z,2025-02-14T18:04:30Z,9qskwuil30g48xr3ax5p9j6j9,I. Näsberg,,,5513995327,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775943117,7,43,1,0,12,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2025-02-14T18:03:53.008Z,2025-02-14T18:04:29Z,9qskwuil30g48xr3ax5p9j6j9,I. Näsberg,,,5513994555,212,16.0,5513994551,140,11.8,5513995317,144,1,5513994553,141,41.9,5513994549,56,Back,5513994557,213,3.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775943123,8,43,1,0,19,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2025-02-14T18:04:00.457Z,2025-02-14T18:04:24Z,,,,,5513995181,144,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775943161,9,43,1,0,31,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2025-02-14T18:04:12.225Z,2025-02-14T18:04:23Z,,,,,5513995159,144,28,5513994855,55,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775943253,10,1,1,0,52,cftj6g399tknheudaxsdpfdgb,0,34.3,32.8,2025-02-14T18:04:32.783Z,2025-02-14T18:04:34Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,,5513995437,56,Right,5513995439,140,67.4,5513995449,213,5.90,5513995429,5,,5513995447,212,37.4,5513995443,141,12.3,5513995431,157,,5513995451,1,,5513995433,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775943265,6,1,1,0,53,9qsmopgutr7ut5g6workk8w4i,0,25.5,91.7,2025-02-14T18:04:34.147Z,2025-02-14T18:04:35Z,2tthm6h5o033dz440e476rhbe,M. Divković,,,5513995537,140,37.4,5513995543,213,6.24,5513995541,212,12.5,5513995539,141,90.9,5513995533,3,,5513995535,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775943299,11,1,1,0,57,cftj6g399tknheudaxsdpfdgb,1,61.4,8.8,2025-02-14T18:04:38.063Z,2025-02-14T18:04:42Z,bitixkzgt5p65rlo2bnllcf6x,J. Mbom,,,5513995777,140,35.1,5513995779,141,11.3,5513995783,213,3.08,5513995775,56,Back,5513995781,212,27.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775943303,12,1,1,1,2,cftj6g399tknheudaxsdpfdgb,0,42.3,22.8,2025-02-14T18:04:42.607Z,2025-02-14T18:04:44Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,,5513995831,233,7,5513995835,286,,5513995795,141,24.9,5513995791,56,Back,5513995793,140,47.0,5513995799,213,0.28,5513995829,236,,5513995797,212,5.1,5513995789,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775943307,7,74,1,1,2,9qsmopgutr7ut5g6workk8w4i,1,54.0,84.5,2025-02-14T18:04:42.608Z,2025-02-14T19:14:02Z,7z1pv1wezn5rydamnknklv2ay,M. Kvistgaarden,,,5513995811,285,,5513995807,56,Left,5513995873,233,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775943327,8,1,1,1,4,9qsmopgutr7ut5g6workk8w4i,1,45.3,54.6,2025-02-14T18:04:44.923Z,2025-02-14T18:04:46Z,2xp7fbcl6a4nua9jpm7b4k1sk,N. Nartey,,,5513995915,3,,5513995917,56,Center,5513995923,212,17.2,5513995921,141,49.0,5513995925,213,6.06,5513995919,140,61.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775943341,13,83,1,1,7,cftj6g399tknheudaxsdpfdgb,0,37.3,57.0,2025-02-14T18:04:48.175Z,2025-02-14T18:04:51Z,5f3wfx327z9hef9k9l37c90wl,J. Grønning,,,5513996041,399,53nd6a4o02ebb0w2s12prijje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775943353,10,1,1,1,9,9qsmopgutr7ut5g6workk8w4i,1,69.2,26.0,2025-02-14T18:04:49.868Z,2025-02-14T18:04:52Z,53nd6a4o02ebb0w2s12prijje,Y. Suzuki,,,5513996011,141,20.0,5513996009,140,91.7,5513996017,212,24.0,5513996007,56,Right,5513996021,213,6.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775943373,11,1,1,1,11,9qsmopgutr7ut5g6workk8w4i,0,93.3,19.6,2025-02-14T18:04:52.531Z,2025-02-15T04:28:03Z,91suopiz6irxqevhzv8lx76ne,M. Rajović,,,5513996095,2,,5513996107,213,1.59,5513996101,140,93.0,5513996103,141,47.9,5513996099,56,Center,5513996105,212,19.2,5514991869,224,,5514991871,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775943403,14,12,1,1,13,cftj6g399tknheudaxsdpfdgb,1,8.5,54.0,2025-02-14T18:04:54.239Z,2025-02-14T18:05:00Z,9qskwuil30g48xr3ax5p9j6j9,I. Näsberg,,,5513996259,141,100.0,5513996369,167,,5513996257,140,7.5,5513996261,212,31.8,5513996255,56,Back,5513996263,213,1.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775943497,12,5,1,1,17,9qsmopgutr7ut5g6workk8w4i,1,92.8,-1.0,2025-02-14T18:04:57.824Z,2025-02-14T19:04:53Z,91suopiz6irxqevhzv8lx76ne,M. Rajović,,,5513996727,56,Right,5513996729,347,,5513996759,233,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775943409,15,5,1,1,17,cftj6g399tknheudaxsdpfdgb,0,7.2,101.0,2025-02-14T18:04:57.824Z,2025-02-14T19:04:54Z,9qskwuil30g48xr3ax5p9j6j9,I. Näsberg,,,5513996763,233,12,5513996295,347,,5513996293,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775943513,13,1,1,1,29,9qsmopgutr7ut5g6workk8w4i,1,89.1,0.0,2025-02-14T18:05:10.308Z,2025-02-14T18:05:13Z,6anvl82jyio52wo87cbxdp4np,S. Klaiber,,,5513996819,1,,5513996809,56,Center,5513996807,107,,5513996817,213,1.32,5513996815,212,23.6,5513996811,140,94.6,5513996813,141,32.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775943517,14,1,1,1,32,9qsmopgutr7ut5g6workk8w4i,0,98.7,24.8,2025-02-14T18:05:13.059Z,2025-02-15T04:30:21Z,53nd6a4o02ebb0w2s12prijje,Y. Suzuki,,,5513996839,2,,5514993345,223,,5513996847,141,47.7,5513996849,212,17.1,5513996841,155,,5513996843,56,Center,5513996845,140,91.9,5514993347,20,,5513996851,213,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775943539,16,12,1,1,33,cftj6g399tknheudaxsdpfdgb,1,11.9,58.2,2025-02-14T18:05:14.351Z,2025-02-14T18:07:03Z,5f3wfx327z9hef9k9l37c90wl,J. Grønning,,,5513996927,141,75.7,5513996929,212,17.0,5513996933,15,,5513996931,213,0.77,5513996923,56,Back,5513996925,140,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775943547,15,1,1,1,34,9qsmopgutr7ut5g6workk8w4i,0,83.5,12.5,2025-02-14T18:05:14.867Z,2025-02-14T19:05:55Z,2xp7fbcl6a4nua9jpm7b4k1sk,N. Nartey,,,5513996977,213,1.42,5513996973,141,42.5,5513996967,3,,5513996971,140,86.4,5513996975,212,20.6,5513996969,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775943579,17,12,1,1,35,cftj6g399tknheudaxsdpfdgb,1,11.7,56.3,2025-02-14T18:05:15.751Z,2025-02-14T19:05:27Z,9qskwuil30g48xr3ax5p9j6j9,I. Näsberg,,,5513997145,141,33.6,5513997141,56,Back,5513997143,140,16.2,5513997149,213,5.01,5513997147,212,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775943571,16,1,1,1,36,9qsmopgutr7ut5g6workk8w4i,0,79.9,62.4,2025-02-14T18:05:17.019Z,2025-02-14T19:06:00Z,chteizjcvxpvze9p77gcttcoa,N. Vallys,,,5513997107,213,6.03,5513997101,140,86.9,5513997099,56,Center,5513997103,141,59.6,5513997105,212,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775943637,18,12,1,1,38,cftj6g399tknheudaxsdpfdgb,1,11.4,49.7,2025-02-14T18:05:19.127Z,2025-02-14T19:05:47Z,9qskwuil30g48xr3ax5p9j6j9,I. Näsberg,,,5513997419,56,Back,5513997425,212,23.7,5513997423,141,15.0,5513997421,140,13.1,5513997427,213,4.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775943619,17,1,1,1,42,9qsmopgutr7ut5g6workk8w4i,0,88.5,97.3,2025-02-14T18:05:22.755Z,2025-02-14T19:05:41Z,7z1pv1wezn5rydamnknklv2ay,M. Kvistgaarden,,,5514136903,286,,5513997367,56,Left,5514071135,212,2.2,5514071133,141,94.0,5514071131,140,88.5,5514071137,213,4.71,5514136897,236,,5514136899,233,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775943641,19,74,1,1,42,cftj6g399tknheudaxsdpfdgb,1,12.6,4.3,2025-02-14T18:05:22.756Z,2025-02-14T19:14:03Z,bitixkzgt5p65rlo2bnllcf6x,J. Mbom,,,5514074369,285,,5514136917,233,17,5513997441,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775943669,18,5,1,1,43,9qsmopgutr7ut5g6workk8w4i,1,86.4,101.6,2025-02-14T18:05:24.043Z,2025-02-14T19:05:39Z,7z1pv1wezn5rydamnknklv2ay,M. Kvistgaarden,,,5513997559,56,Left,5513997575,233,20,5513997561,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775943647,20,5,1,1,43,cftj6g399tknheudaxsdpfdgb,0,13.6,-1.6,2025-02-14T18:05:24.043Z,2025-02-14T19:05:39Z,bitixkzgt5p65rlo2bnllcf6x,J. Mbom,,,5513997579,233,18,5513997455,56,Back,5513997457,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775943683,19,1,1,1,50,9qsmopgutr7ut5g6workk8w4i,1,80.1,100.0,2025-02-14T18:05:30.932Z,2025-02-14T18:05:34Z,2tthm6h5o033dz440e476rhbe,M. Divković,,,5513997645,213,3.52,5513997637,56,Left,5513997643,212,23.9,5513997639,140,58.9,5513997641,141,88.7,5513997635,107,,5513997647,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775943695,20,1,1,1,53,9qsmopgutr7ut5g6workk8w4i,1,59.7,89.9,2025-02-14T18:05:33.964Z,2025-02-14T18:05:37Z,bnar4f48vnx4oaz2lzch48es5,J. Rasmussen,,,5513997707,56,Back,5513997709,140,46.3,5513997713,212,27.5,5513997711,141,55.2,5513997715,213,4.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775943703,21,1,1,1,56,9qsmopgutr7ut5g6workk8w4i,1,46.3,55.2,2025-02-14T18:05:37.020Z,2025-02-14T18:05:39Z,506kxojakimt5s0v2c4q6b33e,F. Alves,,,5513997765,56,Back,5513997773,213,4.75,5513997771,212,15.2,5513997767,140,46.8,5513997769,141,32.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775943709,22,1,1,1,59,9qsmopgutr7ut5g6workk8w4i,1,44.5,34.6,2025-02-14T18:05:39.651Z,2025-02-14T18:05:40Z,6anvl82jyio52wo87cbxdp4np,S. Klaiber,,,5513997793,56,Back,5513997795,140,35.4,5513997801,213,2.19,5513997797,141,54.2,5513997799,212,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775943723,23,1,1,2,0,9qsmopgutr7ut5g6workk8w4i,1,35.4,54.2,2025-02-14T18:05:40.812Z,2025-02-14T18:05:42Z,506kxojakimt5s0v2c4q6b33e,F. Alves,,,5513997877,140,32.9,5513997879,141,74.9,5513997875,56,Back,5513997881,212,14.3,5513997883,213,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775943751,24,1,1,2,1,9qsmopgutr7ut5g6workk8w4i,1,32.1,76.2,2025-02-14T18:05:42.403Z,2025-02-14T18:05:46Z,bnar4f48vnx4oaz2lzch48es5,J. Rasmussen,,,5513997997,56,Back,5513997999,140,37.8,5513998003,212,13.7,5513998001,141,94.4,5513998005,213,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775943777,21,83,1,2,6,cftj6g399tknheudaxsdpfdgb,0,73.0,12.7,2025-02-14T18:05:46.660Z,2025-02-14T18:47:04Z,195o7hchielt14ic49r3k06sq,Serginho,,,5514084993,399,2tthm6h5o033dz440e476rhbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775943763,25,43,1,2,6,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2025-02-14T18:05:46.660Z,2025-02-14T18:44:58Z,2tthm6h5o033dz440e476rhbe,M. Divković,,,5513998045,285,0,5513998043,56,Back,5514080133,144,3,5513998137,233,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775943769,26,1,1,2,7,9qsmopgutr7ut5g6workk8w4i,1,26.2,84.6,2025-02-14T18:05:48.171Z,2025-02-14T18:05:49Z,2tthm6h5o033dz440e476rhbe,M. Divković,,,5513998111,213,2.96,5513998103,56,Back,5513998105,140,16.2,5513998107,141,87.5,5513998109,212,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775943785,27,1,1,2,8,9qsmopgutr7ut5g6workk8w4i,1,16.2,87.5,2025-02-14T18:05:49.107Z,2025-02-14T18:05:52Z,bnar4f48vnx4oaz2lzch48es5,J. Rasmussen,,,5513998197,213,3.84,5513998195,212,20.5,5513998193,141,68.1,5513998189,56,Back,5513998191,140,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775943791,28,1,1,2,11,9qsmopgutr7ut5g6workk8w4i,1,3.3,62.0,2025-02-14T18:05:52.452Z,2025-02-14T18:05:54Z,4ilnnpfgjfz35lni9ppzd93v9,P. Pentz,,,5513998245,212,40.1,5513998243,141,8.5,5513998241,140,19.4,5513998237,155,,5513998239,56,Back,5513998249,1,,5513998247,213,5.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775943799,29,1,1,2,14,9qsmopgutr7ut5g6workk8w4i,1,19.4,8.5,2025-02-14T18:05:54.851Z,2025-02-14T18:05:56Z,6anvl82jyio52wo87cbxdp4np,S. Klaiber,,,5513998281,141,11.8,5513998283,212,7.2,5513998285,213,0.32,5513998279,140,25.9,5513998277,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775943805,30,1,1,2,15,9qsmopgutr7ut5g6workk8w4i,1,25.9,11.8,2025-02-14T18:05:56.412Z,2025-02-14T18:05:58Z,53nd6a4o02ebb0w2s12prijje,Y. Suzuki,,,5513998335,140,41.5,5513998333,56,Back,5513998339,212,18.3,5513998341,213,0.46,5513998337,141,23.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775943809,31,1,1,2,17,9qsmopgutr7ut5g6workk8w4i,1,41.5,23.8,2025-02-14T18:05:58.155Z,2025-02-14T18:05:58Z,91suopiz6irxqevhzv8lx76ne,M. Rajović,,,5513998347,56,Back,5513998349,140,36.0,5513998365,156,,5513998355,213,2.96,5513998351,141,25.4,5513998353,212,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775943825,32,1,1,2,18,9qsmopgutr7ut5g6workk8w4i,1,35.9,26.9,2025-02-14T18:05:59.171Z,2025-02-14T18:06:02Z,etz3rjq7chhaomst5u28nnff9,D. Wass,,,5513998437,141,57.3,5513998441,213,1.29,5513998439,212,21.5,5513998433,56,Back,5513998435,140,41.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775943845,33,1,1,2,21,9qsmopgutr7ut5g6workk8w4i,1,48.8,53.1,2025-02-14T18:06:02.523Z,2025-02-14T18:06:05Z,chteizjcvxpvze9p77gcttcoa,N. Vallys,,,5513998531,213,0.63,5513998523,56,Center,5513998525,140,68.4,5513998527,141,75.3,5513998529,212,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775943863,34,1,1,2,25,9qsmopgutr7ut5g6workk8w4i,1,68.4,75.3,2025-02-14T18:06:05.596Z,2025-02-14T18:06:07Z,2tthm6h5o033dz440e476rhbe,M. Divković,,,5513998623,56,Center,5513998625,140,80.5,5513998631,213,5.46,5513998627,141,55.2,5513998629,212,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
