id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/12/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value
2782948967,3,1,1,0,13,aljua8crr0vkwit0j3m59jw9j,0,35.5,44.8,2025-03-02T13:01:09.555Z,2025-03-02T16:38:25Z,dshwz1df0rbe0fztksawvd0wl,M. Olsen,,,5552138479,140,52.0,5552138481,141,40.5,5552138475,3,,5552138485,213,6.12,5552138477,56,Center,5552138483,212,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782949007,9,1,1,0,15,ahnt9ejgwj58ul8auzdvi3czf,0,49.4,56.8,2025-03-02T13:01:12.375Z,2025-03-02T16:38:32Z,bplpqy3ierwlm12d1f3prue7e,P. Mattsson,,,5552138669,213,0.70,5552138663,140,56.8,5552138665,141,66.4,5552138667,212,10.1,5552138661,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782948983,4,61,1,0,16,aljua8crr0vkwit0j3m59jw9j,1,37.0,33.3,2025-03-02T13:01:12.626Z,2025-03-02T13:01:12Z,5x8064b3yr7txk0czddfjtffu,S. Emini,,,5552138549,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782949081,6,1,1,0,18,aljua8crr0vkwit0j3m59jw9j,1,38.2,12.5,2025-03-02T13:01:15.095Z,2025-03-02T16:38:38Z,d88feog3dgv09oxbzn15xqesq,T. Klysner,,,5552139071,213,5.89,5552139067,141,6.4,5552139069,212,10.7,5552139063,56,Back,5552139065,140,47.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782999741,410,3,1,0,19,aljua8crr0vkwit0j3m59jw9j,1,61.1,12.5,2025-03-02T13:01:15.447Z,2025-03-02T18:18:08Z,5x8064b3yr7txk0czddfjtffu,S. Emini,,,5552407105,56,Right,5552407109,286,,5553385399,465,,5553386423,233,448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783000233,448,45,1,0,19,ahnt9ejgwj58ul8auzdvi3czf,0,38.9,87.5,2025-03-02T13:01:15.447Z,2025-03-02T18:18:08Z,2513579m13glsous1p82fbjzd,A. Poulsen,,,5553386685,233,410,5552409515,56,Back,5552409517,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782949183,10,43,1,0,20,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2025-03-02T13:01:16.447Z,2025-03-02T13:52:51Z,cuufy3ioo1kio56er2cfn0mqc,M. Freundlich,,,5552139685,233,8,5552139621,56,Back,5552408553,144,45,5552139623,285,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782949117,8,3,1,0,22,aljua8crr0vkwit0j3m59jw9j,1,61.1,12.5,2025-03-02T13:01:18.447Z,2025-03-02T18:18:08Z,828b7y3phhpb62srvtrjhtgk4,I. Djantou,,,5553386981,464,,5552139273,286,,5553386991,233,447,5552139271,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782999695,447,45,1,0,22,ahnt9ejgwj58ul8auzdvi3czf,0,38.9,87.5,2025-03-02T13:01:18.447Z,2025-03-02T18:18:08Z,cuufy3ioo1kio56er2cfn0mqc,M. Freundlich,,,5553386515,233,8,5552406909,285,,5552406907,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782949107,7,1,1,0,23,aljua8crr0vkwit0j3m59jw9j,1,54.4,2.8,2025-03-02T13:01:19.623Z,2025-03-02T14:07:18Z,5x8064b3yr7txk0czddfjtffu,S. Emini,,,5552139231,212,21.0,5552139229,141,19.1,5552139227,140,71.4,5552139233,213,0.56,5552139225,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782949151,9,1,1,0,24,aljua8crr0vkwit0j3m59jw9j,1,71.4,19.1,2025-03-02T13:01:20.911Z,2025-03-02T14:07:18Z,828b7y3phhpb62srvtrjhtgk4,I. Djantou,,,5552139495,56,Right,5552139503,213,3.41,5552139497,140,63.0,5552139501,212,9.2,5552139499,141,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782949157,10,1,1,0,25,aljua8crr0vkwit0j3m59jw9j,0,63.9,16.7,2025-03-02T13:01:21.463Z,2025-03-02T13:01:25Z,5x8064b3yr7txk0czddfjtffu,S. Emini,,,5552139521,56,Right,5552139773,286,,5552139767,236,,5552139529,213,0.79,5552139527,212,3.7,5552139769,233,11,5552139525,141,20.6,5552139523,140,66.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782949207,11,74,1,0,25,ahnt9ejgwj58ul8auzdvi3czf,1,34.8,68.1,2025-03-02T13:01:21.464Z,2025-03-02T14:07:07Z,cuufy3ioo1kio56er2cfn0mqc,M. Freundlich,,,5552139823,233,10,5552139745,285,,5552139743,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782949269,11,1,1,0,29,aljua8crr0vkwit0j3m59jw9j,1,56.4,69.5,2025-03-02T13:01:25.559Z,2025-03-02T16:40:46Z,3361cs2j60yxzy9mir80byqc5,A. Oggesen,,,5552140067,3,,5552140071,140,57.8,5552140077,213,5.18,5552140069,56,Center,5552140075,212,3.3,5552140073,141,65.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783185213,883,44,1,0,30,aljua8crr0vkwit0j3m59jw9j,1,59.8,70.3,2025-03-02T13:01:26.911Z,2025-03-02T16:41:01Z,637840asun7f3wo16c5zkhi50,M. Haidara,,,5553396979,56,Center,5553396989,233,893,5553396985,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783185211,893,44,1,0,30,ahnt9ejgwj58ul8auzdvi3czf,0,40.2,29.7,2025-03-02T13:01:26.912Z,2025-03-02T16:41:01Z,lioz4hr2umpne2bwar18qa96,A. Klynge,,,5553397035,233,883,5553396975,56,Back,5553396977,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783000569,411,1,1,0,31,aljua8crr0vkwit0j3m59jw9j,1,57.2,67.0,2025-03-02T13:01:27.447Z,2025-03-02T16:41:02Z,637840asun7f3wo16c5zkhi50,M. Haidara,,,5552411201,140,56.2,5552411197,3,,5552411207,213,1.96,5552411199,56,Center,5552411205,212,2.8,5552411203,141,70.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782949299,12,1,1,0,33,aljua8crr0vkwit0j3m59jw9j,0,58.7,64.0,2025-03-02T13:01:29.528Z,2025-03-02T13:01:32Z,3361cs2j60yxzy9mir80byqc5,A. Oggesen,,,5552140221,213,0.53,5552140213,56,Center,5552140215,140,61.6,5552140423,236,,5552140427,233,12,5552140217,141,66.6,5552140431,286,,5552140219,212,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782949341,12,74,1,0,33,ahnt9ejgwj58ul8auzdvi3czf,1,41.6,15.9,2025-03-02T13:01:29.529Z,2025-03-02T15:21:18Z,lioz4hr2umpne2bwar18qa96,A. Klynge,,,5552140405,56,Back,5552140407,285,,5552140525,233,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783108027,892,1,1,0,34,ahnt9ejgwj58ul8auzdvi3czf,1,44.5,33.0,2025-03-02T13:01:30.447Z,2025-03-02T16:41:39Z,lioz4hr2umpne2bwar18qa96,A. Klynge,1.0,,5552974587,141,36.6,5552975489,210,13,5552974585,140,62.7,5552974589,212,19.3,5552974583,56,Center,5552974591,213,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782949365,13,43,1,0,36,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2025-03-02T13:01:32.568Z,2025-03-02T16:41:16Z,5x8064b3yr7txk0czddfjtffu,S. Emini,,,5553398491,144,83,5552140963,399,n2annzbap7hll02zo2v0ccgk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782949451,14,13,1,0,38,ahnt9ejgwj58ul8auzdvi3czf,1,72.1,41.9,2025-03-02T13:01:34.920Z,2025-03-02T16:41:39Z,n2annzbap7hll02zo2v0ccgk,T. Adamsen,,,5552142587,23,,5552140923,18,,5552140925,56,Center,5553400477,114,,5552975501,55,892,5552975497,29,,5552142611,230,97.5,5552142601,103,4.2,5552142613,231,49.6,5552141493,72,5553400483,75,5552142597,102,37.1,,,,,,,,,,,,,,,,,,,,
2782949475,14,5,1,0,39,aljua8crr0vkwit0j3m59jw9j,1,-1.1,59.9,2025-03-02T13:01:36.056Z,2025-03-02T16:41:25Z,5x8064b3yr7txk0czddfjtffu,S. Emini,,,5552141041,56,Back,5552141379,233,15,5552141045,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782949517,15,5,1,0,39,ahnt9ejgwj58ul8auzdvi3czf,0,101.1,40.1,2025-03-02T13:01:36.056Z,2025-03-02T16:41:25Z,n2annzbap7hll02zo2v0ccgk,T. Adamsen,,,5552141413,233,14,5552141275,346,,5552141273,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782949919,15,1,1,1,10,aljua8crr0vkwit0j3m59jw9j,0,3.2,48.2,2025-03-02T13:02:06.585Z,2025-03-02T13:02:09Z,dcocgxtuabo0rwzwukvqky9uy,M. Bundgaard,,,5552143341,213,0.03,5552143337,141,51.3,5552143335,140,68.6,5552143333,56,Center,5552143331,124,,5552143339,212,68.7,5552143343,1,,5552143345,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782949965,16,1,1,1,14,ahnt9ejgwj58ul8auzdvi3czf,1,30.0,58.2,2025-03-02T13:02:10.481Z,2025-03-02T13:02:11Z,ew91bx066dre4xck30vmz10yc,A. Busch,,,5552143597,213,0.42,5552143587,3,,5552143593,141,63.0,5552143595,212,8.0,5552143591,140,37.0,5552143589,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782950003,17,1,1,1,15,ahnt9ejgwj58ul8auzdvi3czf,1,38.0,63.3,2025-03-02T13:02:11.776Z,2025-03-02T13:02:14Z,cuufy3ioo1kio56er2cfn0mqc,M. Freundlich,,,5552143785,141,77.8,5552143783,140,30.7,5552143787,212,12.5,5552143789,213,2.23,5552143781,56,Back,5552143779,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782950023,19,1,1,1,18,ahnt9ejgwj58ul8auzdvi3czf,0,30.1,84.7,2025-03-02T13:02:15.031Z,2025-03-02T13:02:16Z,2513579m13glsous1p82fbjzd,A. Poulsen,,,5552143891,236,,5552143861,56,Back,5552143869,213,0.08,5552143867,212,0.8,5552143897,286,,5552143865,141,84.8,5552143863,140,30.9,5552143893,233,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782950017,16,74,1,1,18,aljua8crr0vkwit0j3m59jw9j,1,62.8,10.4,2025-03-02T13:02:15.032Z,2025-03-02T13:02:17Z,1902oagnhlo7x9xpumxvg1t78,L. Björklund,,,5552143927,233,19,5552143837,56,Right,5552143841,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782950071,17,5,1,1,20,aljua8crr0vkwit0j3m59jw9j,0,71.5,-1.4,2025-03-02T13:02:16.593Z,2025-03-02T13:56:50Z,1902oagnhlo7x9xpumxvg1t78,L. Björklund,,,5552144721,233,20,5552144007,56,Right,5552144009,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782950225,20,5,1,1,20,ahnt9ejgwj58ul8auzdvi3czf,1,28.5,101.4,2025-03-02T13:02:16.593Z,2025-03-02T13:56:50Z,2513579m13glsous1p82fbjzd,A. Poulsen,,,5552144651,347,,5552144647,56,Back,5552144679,233,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782950269,21,1,1,1,29,ahnt9ejgwj58ul8auzdvi3czf,1,22.3,100.0,2025-03-02T13:02:26.097Z,2025-03-02T13:02:29Z,2513579m13glsous1p82fbjzd,A. Poulsen,,,5552144883,56,Back,5552144887,140,23.6,5552144895,213,4.83,5552144893,212,11.5,5552144891,141,84.1,5552144881,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782950429,24,4,1,1,31,ahnt9ejgwj58ul8auzdvi3czf,1,26.0,74.4,2025-03-02T13:02:27.521Z,2025-03-02T16:42:21Z,cuufy3ioo1kio56er2cfn0mqc,M. Freundlich,,,5552145857,265,,5552145853,56,Back,5552145849,13,,5552145861,233,18,5552145855,152,,5552145859,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782950441,18,4,1,1,31,aljua8crr0vkwit0j3m59jw9j,0,74.0,25.6,2025-03-02T13:02:27.522Z,2025-03-02T16:42:22Z,3ejggtt1du1cui3wc1f8oqx62,L. Qamili,,,5552145811,13,,5552145817,265,,5552145815,152,,5552145813,56,Center,5552145821,286,,5552145877,233,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782950307,22,43,1,1,32,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2025-03-02T13:02:28.913Z,2025-03-02T13:02:47Z,cuufy3ioo1kio56er2cfn0mqc,M. Freundlich,,,5552145113,212,8.2,5552145115,213,4.10,5552145111,141,74.0,5552146421,144,1,5552145103,56,Back,5552145107,140,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782950421,23,43,1,1,34,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2025-03-02T13:02:30.753Z,2025-03-02T13:02:45Z,ew91bx066dre4xck30vmz10yc,A. Busch,,,5552145647,213,4.48,5552145643,141,49.0,5552145645,212,17.4,5552145639,56,Back,5552146301,144,1,5552145641,140,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782950627,25,1,1,1,53,ahnt9ejgwj58ul8auzdvi3czf,1,32.8,72.2,2025-03-02T13:02:49.457Z,2025-03-02T16:42:51Z,ew91bx066dre4xck30vmz10yc,A. Busch,,,5552146681,141,32.9,5552146671,152,,5552146687,213,4.76,5552146675,56,Back,5552146677,140,34.1,5552146685,212,26.8,5553406799,189,,5552146667,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782950667,26,1,1,1,54,ahnt9ejgwj58ul8auzdvi3czf,1,34.1,32.9,2025-03-02T13:02:50.705Z,2025-03-02T13:02:54Z,7zaveckhldl5rieo5ddsqtt2i,P. Rödin,,,5552146877,141,40.7,5552146875,140,38.4,5552146873,56,Back,5552146879,212,7.0,5552146881,213,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782950695,27,1,1,1,56,ahnt9ejgwj58ul8auzdvi3czf,1,42.7,45.6,2025-03-02T13:02:53.353Z,2025-03-02T16:43:01Z,cuufy3ioo1kio56er2cfn0mqc,M. Freundlich,,,5552147049,212,11.8,5552147047,141,55.0,5552147051,213,0.57,5552147043,56,Center,5552147045,140,52.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783094837,891,1,1,1,57,ahnt9ejgwj58ul8auzdvi3czf,0,55.7,52.6,2025-03-02T13:02:53.447Z,2025-03-02T15:11:08Z,bb8q9cgqzw9n2tmkl8s3bth0q,Y. Bakiz,,,5552903951,212,6.3,5552903947,140,53.4,5552903953,213,4.32,5552903949,141,44.0,5552903945,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782950703,19,1,1,1,59,aljua8crr0vkwit0j3m59jw9j,0,46.9,54.8,2025-03-02T13:02:56.042Z,2025-03-02T13:02:56Z,a8opuarwq9byw73nhfgvo9nca,K. Ingason,,,5552147101,212,3.9,5552147095,56,Back,5552147099,141,50.1,5552147103,213,5.34,5552147097,140,49.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782950787,28,1,1,1,59,ahnt9ejgwj58ul8auzdvi3czf,1,52.7,53.2,2025-03-02T13:02:56.066Z,2025-03-02T13:03:02Z,bb8q9cgqzw9n2tmkl8s3bth0q,Y. Bakiz,,,5552147557,141,7.6,5552147561,213,5.46,5552147555,140,80.1,5552147553,56,Right,5552147563,1,,5552147551,155,,5552147559,212,42.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782950835,29,1,1,2,5,ahnt9ejgwj58ul8auzdvi3czf,1,85.8,9.6,2025-03-02T13:03:02.114Z,2025-03-02T13:03:05Z,9zhmwx3g0m6xi2oh57g4z35nu,R. Østrøm,,,5552147807,56,Center,5552147811,140,97.9,5552147813,141,27.2,5552147815,212,17.5,5552147817,213,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782950885,31,1,1,2,8,ahnt9ejgwj58ul8auzdvi3czf,0,98.6,28.3,2025-03-02T13:03:04.747Z,2025-03-02T16:43:50Z,bplpqy3ierwlm12d1f3prue7e,P. Mattsson,,,5552149061,195,,5552149661,236,,5552148099,212,0.7,5552148091,56,Center,5552148095,140,98.3,5552148101,213,2.05,5552149665,233,21,5552149673,286,,5552148097,141,29.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782951135,21,74,1,2,8,aljua8crr0vkwit0j3m59jw9j,1,2.3,65.2,2025-03-02T13:03:04.748Z,2025-03-02T13:03:32Z,5x8064b3yr7txk0czddfjtffu,S. Emini,,,5552149321,285,,5552149685,233,31,5552149319,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782950849,30,43,1,2,8,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2025-03-02T13:03:05.205Z,2025-03-02T13:03:09Z,9zhmwx3g0m6xi2oh57g4z35nu,R. Østrøm,,,5552147887,286,0,5552148065,144,7,5552147885,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782950979,20,6,1,2,9,aljua8crr0vkwit0j3m59jw9j,0,0.0,62.3,2025-03-02T13:03:05.980Z,2025-03-02T16:43:56Z,5x8064b3yr7txk0czddfjtffu,S. Emini,,,5552148647,233,32,5552148567,73,,5552148565,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782950901,32,6,1,2,9,ahnt9ejgwj58ul8auzdvi3czf,1,100.0,37.7,2025-03-02T13:03:05.980Z,2025-03-02T13:08:45Z,bplpqy3ierwlm12d1f3prue7e,P. Mattsson,,,5552148603,233,20,5552148259,56,Center,5552148261,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
