id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/12/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2789348271,7,44,1,0,12,9qsmopgutr7ut5g6workk8w4i,0,71.8,29.7,2025-03-16T16:01:41.967Z,2025-03-16T16:21:39Z,53nd6a4o02ebb0w2s12prijje,Y. Suzuki,,,5587201581,233,3,5587201449,56,Center,5587201451,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789348319,4,1,1,0,12,ahnt9ejgwj58ul8auzdvi3czf,1,24.3,64.8,2025-03-16T16:01:42.220Z,2025-03-16T16:01:44Z,ew91bx066dre4xck30vmz10yc,A. Busch,,,5587201701,213,0.15,5587201699,212,10.2,5587201697,141,67.0,5587201695,140,33.9,5587201693,56,Back,5587201691,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789348327,5,1,1,0,15,ahnt9ejgwj58ul8auzdvi3czf,0,33.9,67.0,2025-03-16T16:01:44.788Z,2025-03-16T16:05:29Z,cuufy3ioo1kio56er2cfn0mqc,M. Freundlich,,,5587201741,141,59.9,5587201743,212,8.2,5587201739,140,40.2,5587201735,3,,5587201737,56,Back,5587201745,213,5.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789348355,8,1,1,0,16,9qsmopgutr7ut5g6workk8w4i,1,59.8,40.6,2025-03-16T16:01:45.948Z,2025-03-16T16:12:38Z,d2itdjj8bx0aztqggfgv7amay,B. Tahirović,,,5587201871,212,7.5,5587201867,140,57.6,5587201873,213,4.40,5587201865,56,Center,5587201869,141,30.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789348391,9,1,1,0,18,9qsmopgutr7ut5g6workk8w4i,1,57.6,29.7,2025-03-16T16:01:47.789Z,2025-03-16T16:01:49Z,etz3rjq7chhaomst5u28nnff9,D. Wass,,,5587202069,140,62.6,5587202071,141,11.7,5587202067,56,Right,5587202073,212,13.3,5587202075,213,5.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789348469,10,1,1,0,19,9qsmopgutr7ut5g6workk8w4i,1,62.3,11.9,2025-03-16T16:01:49.084Z,2025-03-16T18:37:58Z,2xp7fbcl6a4nua9jpm7b4k1sk,N. Nartey,,,5587202477,141,12.2,5587202463,56,Right,5587202481,212,11.1,5587202485,213,3.12,5587202469,140,51.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789348497,11,1,1,0,24,9qsmopgutr7ut5g6workk8w4i,1,62.6,10.7,2025-03-16T16:01:53.429Z,2025-03-16T16:01:54Z,56sjqxlsf5iitgww0hogez8ph,J. Vanlerberghe,,,5587202617,140,71.2,5587202615,56,Center,5587202619,141,47.3,5587202623,213,1.22,5587202621,212,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789348525,12,1,1,0,25,9qsmopgutr7ut5g6workk8w4i,1,71.2,47.3,2025-03-16T16:01:54.596Z,2025-03-16T16:01:56Z,53nd6a4o02ebb0w2s12prijje,Y. Suzuki,,,5587202779,212,5.3,5587202773,56,Center,5587202781,213,3.04,5587202775,140,66.2,5587202777,141,48.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789348617,13,1,1,0,26,9qsmopgutr7ut5g6workk8w4i,1,71.4,51.5,2025-03-16T16:01:56.189Z,2025-03-16T16:02:01Z,d2itdjj8bx0aztqggfgv7amay,B. Tahirović,,,5587203255,213,1.05,5587203245,140,84.9,5587203247,141,88.0,5587203243,56,Left,5587203251,212,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789348679,14,1,1,0,32,9qsmopgutr7ut5g6workk8w4i,1,88.8,76.4,2025-03-16T16:02:01.333Z,2025-03-16T16:02:04Z,1gr0k94d0nh7msa32f6728aok,C. Bischoff,,,5587203633,140,85.5,5587203641,213,4.51,5587203631,56,Center,5587203635,141,51.0,5587203637,212,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789539321,975,83,1,0,33,ahnt9ejgwj58ul8auzdvi3czf,1,13.9,52.2,2025-03-16T16:02:02.472Z,2025-03-16T18:41:47Z,bplpqy3ierwlm12d1f3prue7e,P. Mattsson,,,5588241115,399,d2itdjj8bx0aztqggfgv7amay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789539223,974,83,1,0,33,ahnt9ejgwj58ul8auzdvi3czf,1,13.9,52.2,2025-03-16T16:02:02.507Z,2025-03-16T18:39:36Z,cuufy3ioo1kio56er2cfn0mqc,M. Freundlich,,,5588240655,399,d2itdjj8bx0aztqggfgv7amay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789348701,15,50,1,0,35,9qsmopgutr7ut5g6workk8w4i,1,87.6,54.8,2025-03-16T16:02:04.404Z,2025-03-16T16:21:30Z,d2itdjj8bx0aztqggfgv7amay,B. Tahirović,,,5587203739,56,Center,5587206543,233,6,5587206479,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789348705,6,7,1,0,35,ahnt9ejgwj58ul8auzdvi3czf,0,12.4,45.2,2025-03-16T16:02:04.405Z,2025-03-16T18:41:44Z,ew91bx066dre4xck30vmz10yc,A. Busch,,,5587205277,285,,5587206507,233,15,5588241549,178,,5587203749,56,Back,5588241547,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789348721,7,43,1,0,35,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2025-03-16T16:02:04.692Z,2025-03-16T18:41:09Z,bb8q9cgqzw9n2tmkl8s3bth0q,Y. Bakiz,,,5588243075,140,20.9,5588243077,141,62.4,5588243083,213,5.37,5587203853,56,Back,5588247247,144,1,5588243079,212,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789522447,945,61,1,0,36,9qsmopgutr7ut5g6workk8w4i,1,79.1,42.5,2025-03-16T16:02:05.310Z,2025-03-16T18:41:33Z,56sjqxlsf5iitgww0hogez8ph,J. Vanlerberghe,1.0,,5588148767,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789348741,16,13,1,0,36,9qsmopgutr7ut5g6workk8w4i,1,76.9,48.1,2025-03-16T16:02:05.501Z,2025-03-16T18:40:35Z,etz3rjq7chhaomst5u28nnff9,D. Wass,,,5587205941,73,,5587203973,18,,5587205949,230,98.0,5588149895,29,,5587205945,103,4.2,5587205951,231,49.8,5587203971,22,,5587205943,102,61.8,5588244717,215,5588149897,55,945,5587203975,56,Center,5587205413,20,5587208527,328,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789348955,8,5,1,0,37,ahnt9ejgwj58ul8auzdvi3czf,1,-1.2,40.7,2025-03-16T16:02:06.396Z,2025-03-16T18:40:20Z,bb8q9cgqzw9n2tmkl8s3bth0q,Y. Bakiz,,,5587205015,56,Back,5587205091,233,17,5587205019,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789348763,17,5,1,0,37,9qsmopgutr7ut5g6workk8w4i,0,101.2,59.3,2025-03-16T16:02:06.396Z,2025-03-16T18:40:22Z,etz3rjq7chhaomst5u28nnff9,D. Wass,,,5587204053,56,Center,5587205187,233,8,5587204055,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789349157,9,1,1,0,57,ahnt9ejgwj58ul8auzdvi3czf,1,3.0,42.2,2025-03-16T16:02:26.332Z,2025-03-16T16:02:38Z,bplpqy3ierwlm12d1f3prue7e,P. Mattsson,,,5587206163,56,Back,5587206161,124,,5587206169,212,27.2,5587206165,140,17.0,5587206173,237,,5587206167,141,8.6,5587206171,213,5.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789349229,10,1,1,0,58,ahnt9ejgwj58ul8auzdvi3czf,1,16.5,10.1,2025-03-16T16:02:28.124Z,2025-03-16T18:44:35Z,7zaveckhldl5rieo5ddsqtt2i,P. Rödin,,,5587206649,141,25.6,5587206651,212,12.3,5587206653,213,2.12,5587206647,140,10.4,5587206645,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789349245,11,4,1,1,2,ahnt9ejgwj58ul8auzdvi3czf,1,23.0,8.2,2025-03-16T16:02:31.917Z,2025-03-16T18:44:43Z,bplpqy3ierwlm12d1f3prue7e,P. Mattsson,,,5587206761,56,Back,5587206771,285,,5587206765,152,,5587208181,233,19,5587206767,265,,5587206759,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789349447,19,4,1,1,2,9qsmopgutr7ut5g6workk8w4i,0,77.0,91.8,2025-03-16T16:02:31.918Z,2025-03-16T18:44:42Z,53nd6a4o02ebb0w2s12prijje,Y. Suzuki,,,5587207773,56,Left,5587207771,13,,5587208229,233,11,5587207779,286,,5587207775,152,,5587207777,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789349443,18,43,1,1,10,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2025-03-16T16:02:39.997Z,2025-03-16T16:02:44Z,53nd6a4o02ebb0w2s12prijje,Y. Suzuki,,,5587207653,56,Left,5587207655,286,0,5587207979,144,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789349673,12,1,1,1,18,ahnt9ejgwj58ul8auzdvi3czf,1,20.9,12.5,2025-03-16T16:02:47.853Z,2025-03-16T18:45:03Z,7zaveckhldl5rieo5ddsqtt2i,P. Rödin,,,5587208765,1,,5587208759,141,68.9,5587208757,140,17.9,5587208755,56,Back,5587208753,152,,5588267411,189,,5587208751,5,,5587208761,212,38.5,5587208763,213,,,,,,,,,,,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,
2789349769,13,1,1,1,22,ahnt9ejgwj58ul8auzdvi3czf,1,20.5,66.9,2025-03-16T16:02:51.853Z,2025-03-16T16:03:41Z,ew91bx066dre4xck30vmz10yc,A. Busch,,,5587209277,56,Back,5587209283,212,35.8,5587209281,141,14.3,5587209279,140,21.5,5587209287,1,,5587209285,213,4.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789349779,14,1,1,1,27,ahnt9ejgwj58ul8auzdvi3czf,1,23.7,12.9,2025-03-16T16:02:56.444Z,2025-03-16T16:02:57Z,7zaveckhldl5rieo5ddsqtt2i,P. Rödin,,,5587209351,141,19.4,5587209353,212,6.2,5587209355,213,0.79,5587209347,56,Back,5587209349,140,27.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789349813,15,1,1,1,27,ahnt9ejgwj58ul8auzdvi3czf,1,27.9,19.4,2025-03-16T16:02:57.276Z,2025-03-16T16:56:28Z,6wrch4yhbs6utcc0doguj90q,M. Larsen,,,5587209603,140,41.7,5587209601,56,Back,5587209609,213,5.60,5587209607,212,18.8,5587209605,141,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789349819,16,1,1,1,29,ahnt9ejgwj58ul8auzdvi3czf,0,41.7,1.9,2025-03-16T16:02:59.309Z,2025-03-16T16:56:28Z,9zhmwx3g0m6xi2oh57g4z35nu,R. Østrøm,,,5587209637,56,Back,5587209647,212,13.9,5587209651,213,2.36,5587209639,140,32.3,5587209643,141,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789349919,21,1,1,1,31,9qsmopgutr7ut5g6workk8w4i,1,62.3,91.6,2025-03-16T16:03:00.732Z,2025-03-16T18:45:47Z,d2itdjj8bx0aztqggfgv7amay,B. Tahirović,,,5587210115,56,Center,5587210117,140,64.1,5587210121,212,30.5,5587210119,141,46.8,5587210123,213,4.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789349937,22,1,1,1,34,9qsmopgutr7ut5g6workk8w4i,0,63.6,55.4,2025-03-16T16:03:04.204Z,2025-03-16T16:03:05Z,6anvl82jyio52wo87cbxdp4np,S. Klaiber,,,5587210239,213,0.31,5587210231,56,Center,5587210233,140,73.8,5587210237,212,11.3,5587210235,141,60.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789350075,18,43,1,1,39,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2025-03-16T16:03:08.916Z,2025-03-16T16:56:52Z,bplpqy3ierwlm12d1f3prue7e,P. Mattsson,,,5587210985,213,0.82,5587598439,144,1,5587210975,56,Back,5587210977,140,39.4,5587210983,212,13.9,5587210981,141,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789350119,19,1,1,1,43,ahnt9ejgwj58ul8auzdvi3czf,1,39.4,66.0,2025-03-16T16:03:12.444Z,2025-03-16T16:56:54Z,bplpqy3ierwlm12d1f3prue7e,P. Mattsson,,,5587211193,140,35.6,5587211201,212,18.7,5587211205,213,1.79,5587211197,141,92.9,5587211189,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789350203,20,1,1,1,45,ahnt9ejgwj58ul8auzdvi3czf,1,53.1,94.8,2025-03-16T16:03:15.197Z,2025-03-16T16:57:01Z,7h39w16zvj1lbfb0rqr7kvt1x,J. Gammelby,,,5587211625,213,4.90,5587211617,56,Center,5587211623,212,15.9,5587211619,140,55.9,5587211621,141,71.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789545255,946,83,1,1,49,9qsmopgutr7ut5g6workk8w4i,1,33.7,23.9,2025-03-16T16:03:19.303Z,2025-03-16T18:48:07Z,d2itdjj8bx0aztqggfgv7amay,B. Tahirović,,,5588274055,399,bb8q9cgqzw9n2tmkl8s3bth0q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789350205,21,61,1,1,50,ahnt9ejgwj58ul8auzdvi3czf,1,61.3,70.8,2025-03-16T16:03:19.701Z,2025-03-16T18:46:49Z,bb8q9cgqzw9n2tmkl8s3bth0q,Y. Bakiz,,,5587211629,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789350227,22,61,1,1,51,ahnt9ejgwj58ul8auzdvi3czf,1,61.5,69.3,2025-03-16T16:03:20.796Z,2025-03-16T16:57:15Z,lioz4hr2umpne2bwar18qa96,A. Klynge,,,5587211727,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789350251,23,61,1,1,52,ahnt9ejgwj58ul8auzdvi3czf,1,61.4,68.5,2025-03-16T16:03:21.692Z,2025-03-16T16:57:16Z,bb8q9cgqzw9n2tmkl8s3bth0q,Y. Bakiz,,,5587211859,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789350263,23,1,1,1,52,9qsmopgutr7ut5g6workk8w4i,1,30.6,31.3,2025-03-16T16:03:22.196Z,2025-03-16T18:48:17Z,56sjqxlsf5iitgww0hogez8ph,J. Vanlerberghe,,,5587211887,213,0.64,5587211885,212,12.3,5587211879,56,Back,5587211883,141,42.1,5587211881,140,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789350397,25,1,1,1,55,9qsmopgutr7ut5g6workk8w4i,1,57.8,61.4,2025-03-16T16:03:24.540Z,2025-03-16T16:03:28Z,chteizjcvxpvze9p77gcttcoa,N. Vallys,,,5587212649,213,0.70,5587212637,140,69.2,5587212635,56,Center,5587212645,212,15.7,5587212641,141,76.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789350491,26,1,1,1,59,9qsmopgutr7ut5g6workk8w4i,1,70.5,77.2,2025-03-16T16:03:28.652Z,2025-03-16T16:03:32Z,1gr0k94d0nh7msa32f6728aok,C. Bischoff,,,5587213147,140,55.7,5587213145,56,Left,5587213151,212,17.4,5587213149,141,88.7,5587213153,213,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789350547,27,1,1,2,3,9qsmopgutr7ut5g6workk8w4i,1,57.9,87.7,2025-03-16T16:03:32.612Z,2025-03-16T16:03:35Z,bnar4f48vnx4oaz2lzch48es5,J. Rasmussen,,,5587213359,56,Center,5587213367,213,4.74,5587213365,212,7.1,5587213361,140,58.1,5587213363,141,77.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789350599,28,1,1,2,5,9qsmopgutr7ut5g6workk8w4i,1,55.4,75.9,2025-03-16T16:03:35.228Z,2025-03-16T16:03:38Z,chteizjcvxpvze9p77gcttcoa,N. Vallys,,,5587213605,213,3.61,5587213597,140,42.6,5587213595,56,Back,5587213603,212,15.0,5587213599,141,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789350679,29,1,1,2,8,9qsmopgutr7ut5g6workk8w4i,1,42.3,62.1,2025-03-16T16:03:38.292Z,2025-03-16T16:03:42Z,506kxojakimt5s0v2c4q6b33e,F. Alves,,,5587214039,140,46.2,5587214037,56,Back,5587214045,213,4.90,5587214041,141,30.4,5587214043,212,21.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
