id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/12/value
2789348003,7,5,1,0,13,anga7587r1zv4ey71ge9zxol3,0,79.8,-1.6,2025-03-16T16:01:31.472Z,2025-03-16T16:26:36Z,bpw4cd5vmghjhelb3uxupmqjt,S. Magnússon,,,5587200193,56,Right,5587201453,233,4,5587200195,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789348313,5,1,1,0,23,77tfx9me4aaqhzv78bmgsy9bg,0,19.8,100.0,2025-03-16T16:01:41.991Z,2025-03-16T16:01:44Z,5ucbttulfcdufwr751zj0zcic,J. Lähteenmäki,,,5587201671,212,13.6,5587201665,56,Back,5587201673,213,5.82,5587201667,140,31.4,5587201669,141,92.7,5587201663,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789348321,8,8,1,0,26,anga7587r1zv4ey71ge9zxol3,1,67.1,7.6,2025-03-16T16:01:44.860Z,2025-03-16T19:35:49Z,8822s8ns7oyvjqade4oaxzg0l,O. Buur,,,5588536369,384,,5587201705,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789414973,385,61,1,0,28,anga7587r1zv4ey71ge9zxol3,0,72.4,9.1,2025-03-16T16:01:46.131Z,2025-03-16T16:51:27Z,8gdfn7j6xac9p4jh94hk40jdg,J. Cornelius,,,5587566479,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789348413,6,12,1,0,31,77tfx9me4aaqhzv78bmgsy9bg,1,17.7,97.3,2025-03-16T16:01:49.895Z,2025-03-16T16:03:41Z,5ucbttulfcdufwr751zj0zcic,J. Lähteenmäki,,,5587211911,140,19.1,5587211921,213,1.04,5587211909,167,,5587202181,56,Back,5587211913,141,100.0,5587211917,212,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789348423,7,5,1,0,32,77tfx9me4aaqhzv78bmgsy9bg,0,24.8,101.5,2025-03-16T16:01:50.487Z,2025-03-16T16:26:36Z,5ucbttulfcdufwr751zj0zcic,J. Lähteenmäki,,,5587202867,233,12,5587202229,56,Back,5587202231,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789348537,12,5,1,0,32,anga7587r1zv4ey71ge9zxol3,1,75.2,-1.5,2025-03-16T16:01:50.487Z,2025-03-16T16:26:36Z,cw6s5hf1tytvb98vjuosz9r6d,R. Thelander,,,5587202835,56,Right,5587202847,233,7,5587202837,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789348583,13,1,1,0,38,anga7587r1zv4ey71ge9zxol3,1,71.4,0.0,2025-03-16T16:01:57.013Z,2025-03-16T16:02:00Z,8822s8ns7oyvjqade4oaxzg0l,O. Buur,,,5587203081,141,11.9,5587203075,107,,5587203085,212,13.1,5587203077,56,Right,5587203079,140,80.1,5587203089,213,0.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789348645,14,1,1,0,41,anga7587r1zv4ey71ge9zxol3,1,80.1,11.9,2025-03-16T16:02:00.106Z,2025-03-16T16:02:02Z,6d0lxiep13vdv32bdb0xwyrys,L. Sandgrav,,,5587203445,56,Right,5587203451,212,9.9,5587203453,213,6.07,5587203449,141,8.8,5587203447,140,89.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789348651,15,61,1,0,43,anga7587r1zv4ey71ge9zxol3,0,93.8,1.3,2025-03-16T16:02:01.496Z,2025-03-16T16:23:58Z,8gdfn7j6xac9p4jh94hk40jdg,J. Cornelius,,,5587203475,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789348693,8,5,1,0,43,77tfx9me4aaqhzv78bmgsy9bg,1,5.0,101.4,2025-03-16T16:02:02.071Z,2025-03-16T16:02:06Z,5ucbttulfcdufwr751zj0zcic,J. Lähteenmäki,,,5587203707,347,,5587203705,56,Back,5587203727,233,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789348659,16,5,1,0,43,anga7587r1zv4ey71ge9zxol3,0,95.0,-1.4,2025-03-16T16:02:02.071Z,2025-03-16T16:26:37Z,8gdfn7j6xac9p4jh94hk40jdg,J. Cornelius,,,5587203509,347,,5587203507,56,Right,5587203763,233,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789348793,9,1,1,0,51,77tfx9me4aaqhzv78bmgsy9bg,1,9.0,100.0,2025-03-16T16:02:10.121Z,2025-03-16T16:02:11Z,5ucbttulfcdufwr751zj0zcic,J. Lähteenmäki,,,5587204233,141,88.7,5587204237,213,4.18,5587204229,56,Back,5587204231,140,3.9,5587204227,107,,5587204235,212,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789348809,10,1,1,0,53,77tfx9me4aaqhzv78bmgsy9bg,0,3.9,88.7,2025-03-16T16:02:11.783Z,2025-03-16T16:21:00Z,2rvx2wlfj2rxzcgye6wiw0v84,L. Høgsberg,,,5587204345,141,84.1,5587204341,56,Back,5587204349,213,6.19,5587204351,1,,5587204339,157,,5587204343,140,36.0,5587204347,212,33.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789348863,17,1,1,0,55,anga7587r1zv4ey71ge9zxol3,1,65.3,12.3,2025-03-16T16:02:13.322Z,2025-03-16T16:02:15Z,6ul2nma4j0a7e2li6wyyrpal1,M. Jensen,,,5587204607,56,Right,5587204613,212,11.7,5587204609,140,75.8,5587204615,213,5.94,5587204611,141,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789348937,19,3,1,1,0,anga7587r1zv4ey71ge9zxol3,0,81.0,6.4,2025-03-16T16:02:18.602Z,2025-03-16T19:37:03Z,8gdfn7j6xac9p4jh94hk40jdg,J. Cornelius,,,5588543249,465,,5587204921,286,,5587571891,233,11,5587204919,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789349019,11,7,1,1,0,77tfx9me4aaqhzv78bmgsy9bg,1,19.0,93.6,2025-03-16T16:02:18.603Z,2025-03-16T19:37:06Z,5ucbttulfcdufwr751zj0zcic,J. Lähteenmäki,,,5587205421,285,,5587205419,56,Back,5588543445,385,,5588543447,178,,5587205417,167,,5587571931,233,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789349085,12,5,1,1,1,77tfx9me4aaqhzv78bmgsy9bg,0,16.1,101.6,2025-03-16T16:02:19.586Z,2025-03-16T16:26:37Z,apspqh3shqfwobvh35x60q5g4,N. Markmann,,,5587205825,233,20,5587205747,347,,5587205745,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789348967,20,5,1,1,1,anga7587r1zv4ey71ge9zxol3,1,83.9,-1.6,2025-03-16T16:02:19.586Z,2025-03-16T16:26:37Z,8gdfn7j6xac9p4jh94hk40jdg,J. Cornelius,,,5587205787,233,12,5587205075,56,Right,5587205077,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789349117,21,1,1,1,7,anga7587r1zv4ey71ge9zxol3,1,83.5,0.0,2025-03-16T16:02:25.366Z,2025-03-16T16:02:27Z,8822s8ns7oyvjqade4oaxzg0l,O. Buur,,,5587205935,213,2.54,5587205929,212,18.9,5587205923,141,14.1,5587205917,56,Right,5587205919,140,68.7,5587205913,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789349143,22,1,1,1,8,anga7587r1zv4ey71ge9zxol3,1,68.7,14.1,2025-03-16T16:02:27.069Z,2025-03-16T16:02:28Z,79b0b6eqck5vn4b3fawxsaok,P. Langhoff,,,5587206087,213,3.60,5587206083,141,9.2,5587206081,140,62.2,5587206085,212,7.6,5587206079,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789349189,23,1,1,1,10,anga7587r1zv4ey71ge9zxol3,1,62.2,9.2,2025-03-16T16:02:28.553Z,2025-03-16T16:52:26Z,6ul2nma4j0a7e2li6wyyrpal1,M. Jensen,,,5587206385,141,14.0,5587206381,56,Right,5587206383,140,73.7,5587206389,213,0.26,5587206387,212,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789416467,386,1,1,1,11,anga7587r1zv4ey71ge9zxol3,1,67.4,14.6,2025-03-16T16:02:29.131Z,2025-03-16T16:52:48Z,79b0b6eqck5vn4b3fawxsaok,P. Langhoff,,,5587575135,212,25.2,5587575131,140,91.0,5587575133,141,7.7,5587575137,213,6.10,5587575129,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789349273,25,1,1,1,15,anga7587r1zv4ey71ge9zxol3,0,87.4,8.8,2025-03-16T16:02:33.958Z,2025-03-16T16:52:49Z,8822s8ns7oyvjqade4oaxzg0l,O. Buur,,,5587206905,236,,5587206835,56,Right,5587206843,213,1.27,5587206839,141,10.3,5587206911,286,,5587206841,212,1.1,5587206907,233,13,5587206837,140,87.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789349249,13,74,1,1,15,77tfx9me4aaqhzv78bmgsy9bg,1,6.8,92.9,2025-03-16T16:02:33.959Z,2025-03-16T16:02:35Z,5ucbttulfcdufwr751zj0zcic,J. Lähteenmäki,,,5587206983,233,25,5587206701,285,,5587206699,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789349323,26,50,1,1,18,anga7587r1zv4ey71ge9zxol3,1,84.2,8.1,2025-03-16T16:02:36.262Z,2025-03-16T16:26:47Z,79b0b6eqck5vn4b3fawxsaok,P. Langhoff,,,5587207149,233,14,5587207071,56,Right,5587207075,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789349313,14,7,1,1,18,77tfx9me4aaqhzv78bmgsy9bg,0,15.8,91.9,2025-03-16T16:02:36.263Z,2025-03-16T19:37:28Z,4cubrfqgrc5ivbd6fdj3k3zf8,M. Dorgeles,,,5587207033,285,,5588545295,178,,5587207105,233,26,5588545293,385,,5587207031,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789417233,387,61,1,1,19,anga7587r1zv4ey71ge9zxol3,1,77.6,12.6,2025-03-16T16:02:37.131Z,2025-03-16T16:53:27Z,79b0b6eqck5vn4b3fawxsaok,P. Langhoff,,,5587579037,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789349391,27,1,1,1,20,anga7587r1zv4ey71ge9zxol3,0,84.6,13.7,2025-03-16T16:02:39.019Z,2025-03-16T16:53:37Z,8822s8ns7oyvjqade4oaxzg0l,O. Buur,,,5587207417,213,6.23,5587207411,141,13.1,5587207415,212,8.4,5587207407,56,Right,5587207409,140,92.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789594763,698,83,1,1,22,anga7587r1zv4ey71ge9zxol3,1,94.3,14.3,2025-03-16T16:02:40.255Z,2025-03-16T19:39:03Z,8gdfn7j6xac9p4jh94hk40jdg,J. Cornelius,,,5588553837,399,5ucbttulfcdufwr751zj0zcic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789349415,15,43,1,1,22,77tfx9me4aaqhzv78bmgsy9bg,1,0.0,0.0,2025-03-16T16:02:40.615Z,2025-03-16T16:02:49Z,5ucbttulfcdufwr751zj0zcic,J. Lähteenmäki,,,5587208469,144,61,5587207549,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789349513,16,1,1,1,23,77tfx9me4aaqhzv78bmgsy9bg,1,5.2,92.9,2025-03-16T16:02:41.751Z,2025-03-16T16:02:44Z,5ucbttulfcdufwr751zj0zcic,J. Lähteenmäki,,,5587207969,140,12.2,5587207971,141,95.9,5587207975,213,0.27,5587207967,56,Back,5587207973,212,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789349529,17,12,1,1,25,77tfx9me4aaqhzv78bmgsy9bg,1,12.2,95.9,2025-03-16T16:02:43.943Z,2025-03-16T19:39:14Z,4cubrfqgrc5ivbd6fdj3k3zf8,M. Dorgeles,,,5587208049,213,6.26,5587208043,140,31.7,5587208047,212,20.5,5587208045,141,95.3,5587208039,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789349695,29,4,1,1,33,anga7587r1zv4ey71ge9zxol3,1,62.0,6.2,2025-03-16T16:02:51.318Z,2025-03-16T16:03:02Z,6ul2nma4j0a7e2li6wyyrpal1,M. Jensen,,,5587209073,56,Right,5587209111,233,18,5587209079,286,,5587209819,294,,5587209075,152,,5587209071,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789349651,18,4,1,1,33,77tfx9me4aaqhzv78bmgsy9bg,0,38.0,93.8,2025-03-16T16:02:51.319Z,2025-03-16T16:02:59Z,7a1vtc0e7ubua2t0dwx9ufk7o,S. Egeli,,,5587208839,152,,5587208835,56,Back,5587209555,294,,5587208831,13,,5587208847,285,,5587209155,233,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789350309,30,1,1,2,2,anga7587r1zv4ey71ge9zxol3,0,60.9,7.9,2025-03-16T16:03:20.831Z,2025-03-16T19:39:39Z,bpw4cd5vmghjhelb3uxupmqjt,S. Magnússon,,,5587212145,56,Center,5587212153,213,0.74,5587212151,212,50.0,5588557097,20,,5588557093,224,,5587212133,2,,5587212137,5,,5587212141,155,,5587212149,141,57.2,5587212155,1,5587212143,152,5587212147,140,96.2,,,,,,,,,,,,,,,,,,
2789350343,19,11,1,2,7,77tfx9me4aaqhzv78bmgsy9bg,1,4.2,46.9,2025-03-16T16:03:26.039Z,2025-03-16T19:42:03Z,49wkw0wkn4ta18b6657vjvglx,A. Hansen,,,5587212337,56,Back,5588568573,378,,5587212339,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789350437,20,1,1,2,9,77tfx9me4aaqhzv78bmgsy9bg,1,10.8,37.0,2025-03-16T16:03:27.350Z,2025-03-16T16:22:40Z,49wkw0wkn4ta18b6657vjvglx,A. Hansen,,,5587212925,56,Back,5587212933,213,5.68,5587212931,212,24.3,5587212927,140,29.8,5587212929,141,16.7,5587212923,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789350445,21,1,1,2,12,77tfx9me4aaqhzv78bmgsy9bg,0,39.0,14.4,2025-03-16T16:03:30.391Z,2025-03-16T16:03:31Z,5r1v2w303bvj0vv1893qr5d5h,M. Brink,,,5587212967,213,0.53,5587212957,140,52.2,5587212959,141,26.4,5587212965,212,16.1,5587212955,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789350511,31,1,1,2,14,anga7587r1zv4ey71ge9zxol3,0,44.5,70.9,2025-03-16T16:03:32.547Z,2025-03-16T16:03:37Z,8822s8ns7oyvjqade4oaxzg0l,O. Buur,,,5587213249,213,0.90,5587213241,56,Left,5587213245,141,100.0,5587213243,140,60.3,5587213247,212,26.6,5587213239,157,,5587213251,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789350531,22,5,1,2,15,77tfx9me4aaqhzv78bmgsy9bg,1,38.0,-1.4,2025-03-16T16:03:33.254Z,2025-03-16T16:26:38Z,5r1v2w303bvj0vv1893qr5d5h,M. Brink,,,5587213287,347,,5587213285,56,Back,5587213317,233,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789350515,32,5,1,2,15,anga7587r1zv4ey71ge9zxol3,0,62.0,101.4,2025-03-16T16:03:33.254Z,2025-03-16T16:54:18Z,6ul2nma4j0a7e2li6wyyrpal1,M. Jensen,,,5587213257,347,,5587213371,233,22,5587213255,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789350933,23,1,1,2,36,77tfx9me4aaqhzv78bmgsy9bg,1,38.4,0.0,2025-03-16T16:03:54.951Z,2025-03-16T16:03:57Z,7cpkykvmy8ujrahzdz7ksk2c5,P. Ankersen,,,5587215467,213,2.77,5587215453,107,,5587215457,140,22.4,5587215465,212,18.0,5587215455,56,Back,5587215461,141,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789350987,24,1,1,2,39,77tfx9me4aaqhzv78bmgsy9bg,1,21.3,8.5,2025-03-16T16:03:57.830Z,2025-03-16T16:04:00Z,apspqh3shqfwobvh35x60q5g4,N. Markmann,,,5587215755,213,2.28,5587215751,141,32.1,5587215747,56,Back,5587215753,212,21.1,5587215749,140,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789351067,25,1,1,2,42,77tfx9me4aaqhzv78bmgsy9bg,1,8.4,32.2,2025-03-16T16:04:00.646Z,2025-03-16T16:04:04Z,49wkw0wkn4ta18b6657vjvglx,A. Hansen,,,5587216133,213,1.26,5587216125,56,Back,5587216131,212,19.7,5587216129,141,59.7,5587216127,140,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789351095,26,1,1,2,46,77tfx9me4aaqhzv78bmgsy9bg,1,11.8,60.6,2025-03-16T16:04:04.471Z,2025-03-16T16:04:05Z,2rvx2wlfj2rxzcgye6wiw0v84,L. Høgsberg,,,5587216251,56,Back,5587216255,141,51.5,5587216259,213,5.64,5587216253,140,19.6,5587216257,212,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789351149,27,1,1,2,47,77tfx9me4aaqhzv78bmgsy9bg,1,19.5,51.5,2025-03-16T16:04:05.510Z,2025-03-16T16:04:07Z,5r1v2w303bvj0vv1893qr5d5h,M. Brink,,,5587216549,213,3.23,5587216543,141,49.4,5587216547,212,16.8,5587216541,140,3.6,5587216539,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789351197,28,1,1,2,49,77tfx9me4aaqhzv78bmgsy9bg,1,3.3,49.1,2025-03-16T16:04:07.831Z,2025-03-16T16:04:09Z,49wkw0wkn4ta18b6657vjvglx,A. Hansen,,,5587216809,212,16.4,5587216811,213,1.25,5587216805,140,8.3,5587216803,56,Back,5587216807,141,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789351255,29,1,1,2,51,77tfx9me4aaqhzv78bmgsy9bg,1,8.3,72.0,2025-03-16T16:04:09.622Z,2025-03-16T16:04:12Z,2rvx2wlfj2rxzcgye6wiw0v84,L. Høgsberg,,,5587217151,141,94.7,5587217155,213,0.99,5587217147,56,Back,5587217149,140,17.9,5587217153,212,18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
