id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/9/value,qualifier/12/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/11/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2818879213,5,50,1,0,9,b3r6d8ydtmtjckam6pku9y400,1,28.7,84.2,2025-05-25T15:03:32.221Z,2025-05-25T16:00:39Z,ssluj1c3ft94nkfs58dc8cq2,E. Achouri,,,5750015079,56,Back,5750015161,233,7,5750015081,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818879119,7,7,1,0,9,77tfx9me4aaqhzv78bmgsy9bg,0,71.3,15.8,2025-05-25T15:03:32.222Z,2025-05-25T17:49:16Z,3qcjzsb466tfri5yrj35wztw4,L. Nene,,,5750014561,56,Right,5750881519,383,,5750014563,286,,5750015103,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818927775,413,61,1,0,10,b3r6d8ydtmtjckam6pku9y400,1,37.3,84.3,2025-05-25T15:03:32.645Z,2025-05-25T15:59:39Z,ssluj1c3ft94nkfs58dc8cq2,E. Achouri,,,5750287433,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818927951,485,1,1,0,12,77tfx9me4aaqhzv78bmgsy9bg,0,66.4,16.1,2025-05-25T15:03:34.645Z,2025-05-25T16:00:30Z,5uqf7a0y0fd1hf2rrmgx11tuy,B. Nygren,,,5750288567,141,4.7,5750288563,56,Right,5750288571,213,5.33,5750288565,140,71.6,5750288569,212,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818879215,6,8,1,0,12,b3r6d8ydtmtjckam6pku9y400,1,24.5,91.0,2025-05-25T15:03:35.416Z,2025-05-25T17:49:37Z,dux0skggr99ydjz3kn58p3wmh,M. López,,,5750883101,384,,5750015087,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818879239,7,3,1,0,14,b3r6d8ydtmtjckam6pku9y400,0,33.8,93.8,2025-05-25T15:03:37.112Z,2025-05-25T17:50:02Z,ssluj1c3ft94nkfs58dc8cq2,E. Achouri,,,5750885053,465,,5750015193,286,,5750015191,56,Back,5750015717,233,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818879259,8,7,1,0,14,77tfx9me4aaqhzv78bmgsy9bg,1,66.2,6.2,2025-05-25T15:03:37.113Z,2025-05-25T17:50:06Z,6rd6a2f1k124dzp1p904yq3h0,Z. Sertdemir,,,5750015675,233,7,5750885451,167,,5750885459,385,,5750015679,285,,5750015265,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818879427,8,5,1,0,15,b3r6d8ydtmtjckam6pku9y400,1,33.7,101.7,2025-05-25T15:03:38.567Z,2025-05-25T15:45:53Z,ssluj1c3ft94nkfs58dc8cq2,E. Achouri,,,5750016229,347,,5750016259,233,9,5750016227,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818879277,9,5,1,0,15,77tfx9me4aaqhzv78bmgsy9bg,0,66.3,-1.7,2025-05-25T15:03:38.567Z,2025-05-25T15:45:53Z,6rd6a2f1k124dzp1p904yq3h0,Z. Sertdemir,,,5750015363,56,Right,5750016305,233,8,5750015365,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818879559,9,1,1,0,25,b3r6d8ydtmtjckam6pku9y400,1,40.2,100.0,2025-05-25T15:03:48.296Z,2025-05-25T15:03:56Z,dux0skggr99ydjz3kn58p3wmh,M. López,,,5750017099,212,25.5,5750017097,141,85.1,5750017093,140,18.2,5750017085,107,,5750017101,213,3.58,5750017089,56,Back,5750017103,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818879665,10,1,1,0,34,b3r6d8ydtmtjckam6pku9y400,1,12.0,71.9,2025-05-25T15:03:56.776Z,2025-05-25T15:04:01Z,4cbaoo2irqtme9goxuz6s3ey2,Gabriel Pereira,,,5750017645,56,Back,5750017653,213,4.90,5750017651,212,40.1,5750017649,141,14.0,5750017647,140,19.3,5750017655,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818879785,11,1,1,0,38,b3r6d8ydtmtjckam6pku9y400,0,19.0,11.6,2025-05-25T15:04:01.479Z,2025-05-25T15:04:08Z,6b8vhoisrfwkljhz4u7pduej8,R. Huescas,,,5750018331,212,53.7,5750018325,56,Center,5750018333,213,0.26,5750018323,157,,5750018335,1,,5750018327,140,68.4,5750018329,141,32.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818879739,10,44,1,0,42,77tfx9me4aaqhzv78bmgsy9bg,1,33.2,66.0,2025-05-25T15:04:05.086Z,2025-05-25T17:06:43Z,chjcbjc5nv8uyiusfafts5zv9,T. Salquist,,,5750018529,233,12,5750018103,285,,5750018101,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818879795,12,44,1,0,42,b3r6d8ydtmtjckam6pku9y400,0,66.8,34.0,2025-05-25T15:04:05.087Z,2025-05-25T17:06:44Z,6tckvu2rw7ns18dq7dim0sout,M. Elyounoussi,,,5750018389,56,Center,5750018391,286,,5750018581,233,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818879745,11,12,1,0,42,77tfx9me4aaqhzv78bmgsy9bg,1,36.0,63.3,2025-05-25T15:04:05.551Z,2025-05-25T15:04:06Z,chjcbjc5nv8uyiusfafts5zv9,T. Salquist,,,5750018107,56,Back,5750018111,141,57.0,5750018109,140,42.5,5750018117,15,,5750018113,212,8.1,5750018115,213,5.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818879777,12,1,1,0,44,77tfx9me4aaqhzv78bmgsy9bg,0,42.5,57.0,2025-05-25T15:04:06.654Z,2025-05-25T15:04:07Z,5uqf7a0y0fd1hf2rrmgx11tuy,B. Nygren,,,5750018275,140,36.8,5750018279,212,15.4,5750018281,213,1.97,5750018277,141,77.9,5750018273,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818879821,13,8,1,0,46,b3r6d8ydtmtjckam6pku9y400,1,69.2,21.8,2025-05-25T15:04:08.871Z,2025-05-25T17:51:05Z,aahyom322jdc6f21960ycuzth,J. Larsson,,,5750018537,56,Center,5750890243,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818879871,15,1,1,0,47,b3r6d8ydtmtjckam6pku9y400,1,61.1,25.2,2025-05-25T15:04:10.463Z,2025-05-25T16:01:15Z,7hw1plnv7nvxnqpnfnxcxszpx,A. Cornelius,,,5750018795,141,9.9,5750018787,56,Right,5750018791,140,67.4,5750018797,212,12.3,5750018799,213,5.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818928179,414,1,1,0,48,b3r6d8ydtmtjckam6pku9y400,0,69.6,13.6,2025-05-25T15:04:10.645Z,2025-05-25T16:01:17Z,aahyom322jdc6f21960ycuzth,J. Larsson,,,5750290025,140,69.2,5750290031,213,1.67,5750290029,212,4.3,5750290027,141,19.9,5750290023,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818879847,13,8,1,0,48,77tfx9me4aaqhzv78bmgsy9bg,1,38.5,75.3,2025-05-25T15:04:11.262Z,2025-05-25T17:51:29Z,3zc9hy5uicgp21wr6z5wyuntg,C. Yirenkyi,,,5750891931,384,,5750018683,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818879895,15,1,1,0,50,77tfx9me4aaqhzv78bmgsy9bg,0,27.0,72.9,2025-05-25T15:04:12.814Z,2025-05-25T15:04:15Z,2rvx2wlfj2rxzcgye6wiw0v84,L. Høgsberg,,,5750018959,212,6.9,5750018961,213,0.12,5750018949,56,Back,5750018953,140,33.5,5750018957,141,74.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818928565,415,61,1,0,51,b3r6d8ydtmtjckam6pku9y400,1,67.2,24.5,2025-05-25T15:04:13.645Z,2025-05-25T16:02:18Z,c9u2w9ikckbrra8vln2ucbf9w,V. Froholdt,,,5750292021,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818879943,16,1,1,0,51,b3r6d8ydtmtjckam6pku9y400,1,69.7,16.2,2025-05-25T15:04:13.703Z,2025-05-25T16:01:34Z,6b8vhoisrfwkljhz4u7pduej8,R. Huescas,,,5750019243,56,Center,5750019247,141,26.8,5750019249,212,8.8,5750019251,213,0.96,5750019245,140,74.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818879957,17,1,1,0,52,b3r6d8ydtmtjckam6pku9y400,1,75.3,25.7,2025-05-25T15:04:14.951Z,2025-05-25T17:51:48Z,7hw1plnv7nvxnqpnfnxcxszpx,A. Cornelius,,,5750019339,213,4.02,5750019333,140,73.0,5750893507,156,,5750019337,212,3.8,5750019331,56,Center,5750019335,141,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818879975,18,1,1,0,53,b3r6d8ydtmtjckam6pku9y400,1,73.0,21.4,2025-05-25T15:04:15.671Z,2025-05-25T15:04:16Z,6b8vhoisrfwkljhz4u7pduej8,R. Huescas,,,5750019429,56,Center,5750019435,141,34.3,5750019437,212,9.7,5750019431,140,69.0,5750019439,213,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818880025,19,1,1,0,54,b3r6d8ydtmtjckam6pku9y400,1,69.0,34.3,2025-05-25T15:04:16.856Z,2025-05-25T15:04:20Z,4gqnyyx3i92fayq6cxvekqwut,T. Delaney,,,5750019695,212,14.8,5750019693,141,12.8,5750019697,213,4.55,5750019689,56,Right,5750019691,140,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818880069,20,1,1,0,57,b3r6d8ydtmtjckam6pku9y400,1,63.8,14.5,2025-05-25T15:04:20.135Z,2025-05-25T15:04:22Z,c9u2w9ikckbrra8vln2ucbf9w,V. Froholdt,,,5750019925,213,2.89,5750019919,140,44.0,5750019917,56,Back,5750019923,212,21.5,5750019921,141,22.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818880167,21,1,1,0,59,b3r6d8ydtmtjckam6pku9y400,1,44.4,24.8,2025-05-25T15:04:22.199Z,2025-05-25T15:04:26Z,4cbaoo2irqtme9goxuz6s3ey2,Gabriel Pereira,,,5750020379,140,39.0,5750020385,213,1.82,5750020383,212,22.6,5750020377,56,Back,5750020381,141,56.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818880213,22,1,1,1,3,b3r6d8ydtmtjckam6pku9y400,1,41.6,61.1,2025-05-25T15:04:26.151Z,2025-05-25T15:04:28Z,ayqy2vql1oumokqly9ahfrnx1,P. Hatzidiakos,,,5750020619,141,77.3,5750020621,212,11.6,5750020617,140,45.2,5750020623,213,1.24,5750020615,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818880237,23,1,1,1,5,b3r6d8ydtmtjckam6pku9y400,1,45.3,77.4,2025-05-25T15:04:28.327Z,2025-05-25T15:04:29Z,dux0skggr99ydjz3kn58p3wmh,M. López,,,5750020727,56,Back,5750020735,213,5.36,5750020733,212,7.0,5750020731,141,69.2,5750020729,140,49.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818880369,24,1,1,1,6,b3r6d8ydtmtjckam6pku9y400,1,49.4,69.0,2025-05-25T15:04:29.560Z,2025-05-25T15:04:36Z,4gqnyyx3i92fayq6cxvekqwut,T. Delaney,,,5750021513,1,,5750021509,212,32.3,5750021511,213,0.48,5750021505,140,76.7,5750021507,141,90.9,5750021503,56,Left,5750021501,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818880413,25,1,1,1,13,b3r6d8ydtmtjckam6pku9y400,1,82.0,77.7,2025-05-25T15:04:36.439Z,2025-05-25T17:52:28Z,ssluj1c3ft94nkfs58dc8cq2,E. Achouri,,,5750021733,56,Center,5750021743,212,31.4,5750021741,141,35.9,5750896641,223,,5750021739,140,94.8,5750896643,20,,5750021723,2,,5750021745,213,5.15,5750021727,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818880453,26,1,1,1,15,b3r6d8ydtmtjckam6pku9y400,1,94.8,35.9,2025-05-25T15:04:38.503Z,2025-05-25T16:03:00Z,7hw1plnv7nvxnqpnfnxcxszpx,A. Cornelius,1.0,,5750021965,212,6.5,5750022935,154,,5750021957,3,,5750021959,56,Center,5750022933,210,13,5750021961,140,89.0,5750021967,213,2.77,5750021963,141,39.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818880455,27,13,1,1,16,b3r6d8ydtmtjckam6pku9y400,1,84.9,40.5,2025-05-25T15:04:38.815Z,2025-05-25T17:52:56Z,6b8vhoisrfwkljhz4u7pduej8,R. Huescas,,,5750022989,102,62.0,5750022983,55,26,5750296221,108,,5750296223,328,,5750021987,56,Center,5750021985,17,,5750022979,154,,5750022993,103,62.5,5750023001,231,48.9,5750022975,29,5750022999,230,98.8,5750022353,20,5750021983,22,5750296219,77,,,,,,,,,,,,,,,,,,,,,,,,
2818880595,16,5,1,1,17,77tfx9me4aaqhzv78bmgsy9bg,1,-1.1,40.3,2025-05-25T15:04:40.253Z,2025-05-25T15:45:54Z,apspqh3shqfwobvh35x60q5g4,N. Markmann,,,5750022761,346,,5750022759,56,Back,5750022797,233,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818880461,28,5,1,1,17,b3r6d8ydtmtjckam6pku9y400,0,101.1,59.7,2025-05-25T15:04:40.253Z,2025-05-25T16:03:17Z,6b8vhoisrfwkljhz4u7pduej8,R. Huescas,,,5750022829,233,16,5750022035,56,Center,5750022037,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818880663,17,1,1,1,25,77tfx9me4aaqhzv78bmgsy9bg,1,5.0,37.0,2025-05-25T15:04:48.205Z,2025-05-25T15:04:59Z,49wkw0wkn4ta18b6657vjvglx,A. Hansen,,,5750023175,1,,5750023165,56,Back,5750023163,124,,5750023167,140,19.4,5750023973,189,,5750023179,237,,5750023171,212,34.6,5750023169,141,82.7,5750023173,213,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818880675,18,1,1,1,28,77tfx9me4aaqhzv78bmgsy9bg,1,19.4,82.7,2025-05-25T15:04:51.151Z,2025-05-25T15:04:52Z,5ucbttulfcdufwr751zj0zcic,J. Lähteenmäki,,,5750023275,212,11.6,5750023271,140,27.9,5750023273,141,93.6,5750023269,56,Back,5750023277,213,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818880705,19,1,1,1,29,77tfx9me4aaqhzv78bmgsy9bg,1,27.6,93.6,2025-05-25T15:04:52.270Z,2025-05-25T15:04:53Z,4cubrfqgrc5ivbd6fdj3k3zf8,M. Dorgeles,,,5750023405,212,14.9,5750023403,141,90.0,5750023407,213,3.31,5750023401,140,13.6,5750023399,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818880737,20,1,1,1,31,77tfx9me4aaqhzv78bmgsy9bg,0,12.7,88.9,2025-05-25T15:04:53.805Z,2025-05-25T15:04:55Z,5ucbttulfcdufwr751zj0zcic,J. Lähteenmäki,,,5750023615,56,Back,5750023619,141,76.4,5750023621,212,9.7,5750023623,213,5.22,5750023617,140,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818880891,21,51,1,1,31,77tfx9me4aaqhzv78bmgsy9bg,1,16.2,82.3,2025-05-25T15:04:54.006Z,2025-05-25T15:06:24Z,5ucbttulfcdufwr751zj0zcic,J. Lähteenmäki,,,5750025209,170,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818880769,30,1,1,1,33,b3r6d8ydtmtjckam6pku9y400,1,83.0,22.7,2025-05-25T15:04:56.201Z,2025-05-25T15:04:57Z,7hw1plnv7nvxnqpnfnxcxszpx,A. Cornelius,,,5750023785,213,2.75,5750023779,140,78.3,5750023781,141,25.7,5750023783,212,5.3,5750023777,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818880843,31,1,1,1,34,b3r6d8ydtmtjckam6pku9y400,1,77.3,26.5,2025-05-25T15:04:57.160Z,2025-05-25T15:06:01Z,c9u2w9ikckbrra8vln2ucbf9w,V. Froholdt,,1.0,5750024197,141,49.1,5750024193,56,Center,5750024201,213,1.65,5750024199,212,15.4,5750029215,210,16,5750029217,22,,5750024195,140,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818880847,32,16,1,1,38,b3r6d8ydtmtjckam6pku9y400,1,78.1,48.0,2025-05-25T15:05:00.983Z,2025-05-25T17:54:08Z,ssluj1c3ft94nkfs58dc8cq2,E. Achouri,,,5750029281,103,5.1,5750024215,18,,5750025695,20,,5750024213,22,,5750029271,55,31,5750903987,395,98.6,5750029265,29,,5750031281,468,21,5750024217,56,Center,5750025699,374,5750029277,102,54.1,5750029283,215,5750903989,396,5750025703,375,2025-05-25 16:04:59.601,52.7,01:36.956,5750029285,230,98.9,5750029287,231,49.5,5750029261,76,,,,,,,,,,,,,
