id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/8/value,qualifier/9/value,qualifier/12/value,qualifier/13/value,qualifier/18/id,qualifier/18/qualifierId
2805766623,6,1,1,0,11,9w3sjm5ml4sjr2v81oxzdrt8v,1,76.8,33.1,2025-04-25T17:01:49.030Z,2025-04-25T19:41:20Z,9yuyz4ci6wqikd6ckjstbt2i1,S. Odey,,5678388555,3,,5677635501,56,Center,5677635503,140,83.5,5677635509,213,6.07,5677635507,212,7.2,5677635505,141,30.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805766627,7,61,1,0,13,9w3sjm5ml4sjr2v81oxzdrt8v,0,87.1,30.5,2025-04-25T17:01:50.843Z,2025-04-25T17:02:06Z,6np04cprm5wsvs4prp8ehirro,M. Touré,,5677635531,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805766661,5,12,1,0,13,9qsmopgutr7ut5g6workk8w4i,1,15.3,62.9,2025-04-25T17:01:51.358Z,2025-04-25T17:01:56Z,6anvl82jyio52wo87cbxdp4np,S. Klaiber,,5677635739,212,34.0,5677635737,141,89.0,5677635741,213,0.55,5677635735,140,42.9,5677635733,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805766679,8,1,1,0,16,9w3sjm5ml4sjr2v81oxzdrt8v,1,57.4,13.7,2025-04-25T17:01:54.029Z,2025-04-25T19:41:57Z,effgiwtme6eu08o1ninlnqqqd,D. Høegh,,5677635839,213,0.62,5677635837,212,11.6,5677635835,141,23.6,5678392045,189,,5677635833,140,66.4,5677635831,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805766683,9,61,1,0,20,9w3sjm5ml4sjr2v81oxzdrt8v,1,66.4,23.6,2025-04-25T17:01:58.419Z,2025-04-25T19:41:58Z,2mawaijd9czgtd5jh9myk434l,A. Rømer,,5678392117,189,,5677635877,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805766669,6,5,1,0,22,9qsmopgutr7ut5g6workk8w4i,1,27.6,101.5,2025-04-25T17:02:00.122Z,2025-04-25T17:15:20Z,6anvl82jyio52wo87cbxdp4np,S. Klaiber,,5677635795,56,Back,5677636079,233,10,5677635797,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805766719,10,5,1,0,22,9w3sjm5ml4sjr2v81oxzdrt8v,0,72.4,-1.5,2025-04-25T17:02:00.122Z,2025-04-25T17:14:12Z,2mawaijd9czgtd5jh9myk434l,A. Rømer,,5677636059,347,,5677636055,56,Right,5677636109,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805766813,7,1,1,0,35,9qsmopgutr7ut5g6workk8w4i,1,23.5,100.0,2025-04-25T17:02:12.990Z,2025-04-25T17:02:14Z,2tthm6h5o033dz440e476rhbe,M. Divković,,5677636585,140,30.8,5677636589,212,8.8,5677636591,213,5.77,5677636587,141,94.8,5677636581,107,,5677636583,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805766819,8,1,1,0,36,9qsmopgutr7ut5g6workk8w4i,1,30.5,95.1,2025-04-25T17:02:14.605Z,2025-04-25T17:02:16Z,1gr0k94d0nh7msa32f6728aok,C. Bischoff,,5677636665,156,,5677636637,140,22.5,5677636639,141,97.5,5677636643,213,2.95,5677636641,212,8.6,5677636635,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805766833,9,1,1,0,38,9qsmopgutr7ut5g6workk8w4i,1,22.5,97.5,2025-04-25T17:02:16.526Z,2025-04-25T17:02:18Z,2tthm6h5o033dz440e476rhbe,M. Divković,,5677636719,56,Back,5677636721,140,34.0,5677636723,141,83.8,5677636727,213,5.63,5677636725,212,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805766851,10,1,1,0,40,9qsmopgutr7ut5g6workk8w4i,1,34.0,83.8,2025-04-25T17:02:17.918Z,2025-04-25T17:02:20Z,2xp7fbcl6a4nua9jpm7b4k1sk,N. Nartey,,5677636815,141,94.4,5677636819,213,2.61,5677636817,212,14.2,5677636811,56,Back,5677636813,140,22.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805766879,11,43,1,0,42,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2025-04-25T17:02:19.966Z,2025-04-25T19:42:43Z,bnar4f48vnx4oaz2lzch48es5,J. Rasmussen,,5677636973,141,85.4,5677636971,140,24.6,5677636969,56,Back,5678395831,144,1,5677636975,212,6.5,5677636977,213,5.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805766901,12,1,1,0,44,9qsmopgutr7ut5g6workk8w4i,1,24.0,85.9,2025-04-25T17:02:22.094Z,2025-04-25T17:02:23Z,2tthm6h5o033dz440e476rhbe,M. Divković,,5677637073,56,Back,5677637077,141,60.5,5677637079,212,18.9,5677637075,140,31.2,5677637081,213,5.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805766913,13,1,1,0,46,9qsmopgutr7ut5g6workk8w4i,1,31.2,60.2,2025-04-25T17:02:23.838Z,2025-04-25T17:02:25Z,d2itdjj8bx0aztqggfgv7amay,B. Tahirović,,5677637127,213,4.81,5677637125,212,19.2,5677637119,56,Back,5677637121,140,32.9,5677637123,141,32.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805766961,14,1,1,0,47,9qsmopgutr7ut5g6workk8w4i,1,36.6,35.0,2025-04-25T17:02:25.102Z,2025-04-25T19:43:01Z,6anvl82jyio52wo87cbxdp4np,S. Klaiber,,5677637353,140,53.8,5677637351,56,Right,5677637355,141,13.5,5677637357,212,23.2,5677637359,213,5.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805767007,15,1,1,0,55,9qsmopgutr7ut5g6workk8w4i,1,55.8,9.4,2025-04-25T17:02:32.750Z,2025-04-25T17:04:38Z,hsobzlp177f9755mpsi7szmy,S. Sebulonsen,,5677643519,212,9.6,5677643517,141,6.8,5677643515,140,64.8,5677643521,213,6.10,5677643513,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805767025,16,1,1,0,56,9qsmopgutr7ut5g6workk8w4i,1,67.3,7.0,2025-04-25T17:02:33.757Z,2025-04-25T17:02:35Z,chteizjcvxpvze9p77gcttcoa,N. Vallys,,5677637609,56,Right,5677637623,213,2.90,5677637611,140,52.5,5677637615,141,12.6,5677637619,212,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805767059,17,1,1,0,57,9qsmopgutr7ut5g6workk8w4i,1,52.5,12.6,2025-04-25T17:02:34.909Z,2025-04-25T17:02:37Z,6anvl82jyio52wo87cbxdp4np,S. Klaiber,,5677637777,140,70.1,5677637779,141,4.3,5677637775,56,Right,5677637783,213,5.99,5677637781,212,19.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805767085,18,1,1,0,59,9qsmopgutr7ut5g6workk8w4i,0,70.1,4.3,2025-04-25T17:02:37.358Z,2025-04-25T17:02:40Z,chteizjcvxpvze9p77gcttcoa,N. Vallys,,5677637897,1,,5677637889,140,90.2,5677637895,213,0.86,5677637891,141,40.1,5677637893,212,32.2,5677637887,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805767083,11,52,1,1,2,9w3sjm5ml4sjr2v81oxzdrt8v,1,11.1,59.3,2025-04-25T17:02:39.773Z,2025-04-25T19:43:26Z,dmxzug2enscx331w5vmdzn2s5,P. Izzo,,5678399273,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805767129,12,1,1,1,4,9w3sjm5ml4sjr2v81oxzdrt8v,1,11.2,48.3,2025-04-25T17:02:42.554Z,2025-04-25T19:43:36Z,dmxzug2enscx331w5vmdzn2s5,P. Izzo,,5677638219,123,,5677638223,140,13.2,5677638221,56,Back,5677638227,212,10.2,5677638229,213,1.36,5677638225,141,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805767153,13,1,1,1,7,9w3sjm5ml4sjr2v81oxzdrt8v,1,13.2,63.2,2025-04-25T17:02:45.202Z,2025-04-25T17:02:48Z,8cox96ikk1k4c24f0y5ef45x,W. Dammers,,5677638345,213,0.24,5677638343,212,15.7,5677638341,141,68.6,5677638339,140,27.7,5677638337,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805767181,14,1,1,1,10,9w3sjm5ml4sjr2v81oxzdrt8v,1,27.4,69.6,2025-04-25T17:02:47.889Z,2025-04-25T17:02:50Z,6uj3c69lgu6boblkjiuhoy6eh,J. Björkengren,,5677638501,212,16.0,5677638499,141,59.1,5677638503,213,3.61,5677638497,140,13.8,5677638495,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805767205,15,1,1,1,13,9w3sjm5ml4sjr2v81oxzdrt8v,1,15.2,56.9,2025-04-25T17:02:50.766Z,2025-04-25T17:02:55Z,8cox96ikk1k4c24f0y5ef45x,W. Dammers,,5677638631,140,19.6,5677638633,141,27.1,5677638629,56,Back,5677638635,212,20.8,5677638637,213,4.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805767229,16,1,1,1,17,9w3sjm5ml4sjr2v81oxzdrt8v,0,22.8,25.4,2025-04-25T17:02:55.203Z,2025-04-25T17:02:57Z,effgiwtme6eu08o1ninlnqqqd,D. Høegh,,5677638769,1,,5677638767,213,0.11,5677638765,212,52.8,5677638757,155,,5677638763,141,34.0,5677638759,56,Center,5677638761,140,72.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805767259,19,12,1,1,21,9qsmopgutr7ut5g6workk8w4i,1,21.9,65.2,2025-04-25T17:02:59.102Z,2025-04-25T19:44:00Z,bmkq3hz1z7lsji7wgr3j8978p,R. Lauritsen,,5677638931,140,33.6,5677638933,141,71.8,5677638929,56,Back,5678401961,15,,5677638937,213,0.35,5677638935,212,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805767277,17,1,1,1,24,9w3sjm5ml4sjr2v81oxzdrt8v,1,63.6,13.4,2025-04-25T17:03:01.938Z,2025-04-25T17:03:03Z,8domjmewnw5h6b19vef8w0afp,M. Greve,,5677639021,213,0.73,5677639015,140,68.4,5677639017,141,20.0,5677639019,212,6.7,5677639013,56,Right,5677639011,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805767293,18,1,1,1,25,9w3sjm5ml4sjr2v81oxzdrt8v,1,68.4,20.0,2025-04-25T17:03:03.547Z,2025-04-25T17:03:13Z,606hufq6dapf3qxcgilbc8tt5,S. Nordli,,5677639063,212,9.7,5677639059,140,59.8,5677639061,141,25.3,5677639065,213,2.76,5677639057,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805767295,19,50,1,1,26,9w3sjm5ml4sjr2v81oxzdrt8v,1,58.6,29.0,2025-04-25T17:03:04.658Z,2025-04-25T17:52:40Z,2mawaijd9czgtd5jh9myk434l,A. Rømer,,5677639071,286,,5677639167,233,20,5677639069,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805767309,20,7,1,1,26,9qsmopgutr7ut5g6workk8w4i,1,41.4,71.0,2025-04-25T17:03:04.659Z,2025-04-25T19:44:17Z,1gr0k94d0nh7msa32f6728aok,C. Bischoff,,5677639147,233,19,5678403295,384,,5677639129,285,,5678403297,178,,5677639127,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805767329,22,1,1,1,29,9qsmopgutr7ut5g6workk8w4i,1,38.7,57.3,2025-04-25T17:03:07.391Z,2025-04-25T17:03:09Z,d2itdjj8bx0aztqggfgv7amay,B. Tahirović,,5677639217,141,24.6,5677639219,212,23.1,5677639221,213,4.44,5677639215,140,32.7,5677639213,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805767431,23,1,1,1,31,9qsmopgutr7ut5g6workk8w4i,1,32.7,24.6,2025-04-25T17:03:09.549Z,2025-04-25T17:03:17Z,hsobzlp177f9755mpsi7szmy,S. Sebulonsen,,5677639665,213,2.13,5677639657,56,Back,5677639659,140,28.9,5677639663,212,7.5,5677639661,141,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805767447,24,1,1,1,39,9qsmopgutr7ut5g6workk8w4i,0,34.0,33.1,2025-04-25T17:03:17.214Z,2025-04-25T17:03:19Z,6anvl82jyio52wo87cbxdp4np,S. Klaiber,,5677639759,212,19.2,5677639761,213,5.57,5677639757,141,14.6,5677639755,140,47.8,5677639753,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805767505,21,1,1,1,42,9w3sjm5ml4sjr2v81oxzdrt8v,1,43.7,90.8,2025-04-25T17:03:20.624Z,2025-04-25T17:03:23Z,606hufq6dapf3qxcgilbc8tt5,S. Nordli,,5677640035,140,30.9,5677640041,213,3.35,5677640033,56,Back,5677640039,212,13.7,5677640037,141,86.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805767521,22,1,1,1,45,9w3sjm5ml4sjr2v81oxzdrt8v,1,40.3,89.3,2025-04-25T17:03:23.139Z,2025-04-25T19:44:50Z,60z63hezwwosjnhvamcwxtre1,N. Dyhr,,5677640135,140,25.8,5677640141,213,3.92,5677640133,56,Back,5677640139,212,21.4,5677640137,141,67.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805767547,23,1,1,1,46,9w3sjm5ml4sjr2v81oxzdrt8v,1,23.7,64.7,2025-04-25T17:03:24.654Z,2025-04-25T17:03:27Z,8cox96ikk1k4c24f0y5ef45x,W. Dammers,,5677640299,213,4.75,5677640297,212,16.1,5677640295,141,41.0,5677640293,140,24.3,5677640291,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805767575,24,1,1,1,49,9w3sjm5ml4sjr2v81oxzdrt8v,1,24.3,40.4,2025-04-25T17:03:27.372Z,2025-04-25T17:03:30Z,effgiwtme6eu08o1ninlnqqqd,D. Høegh,,5677640437,141,51.8,5677640439,212,7.9,5677640433,56,Back,5677640435,140,23.1,5677640441,213,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805767605,25,1,1,1,52,9w3sjm5ml4sjr2v81oxzdrt8v,1,24.0,55.7,2025-04-25T17:03:30.075Z,2025-04-25T17:03:33Z,8cox96ikk1k4c24f0y5ef45x,W. Dammers,,5677640591,141,73.1,5677640587,56,Back,5677640593,212,12.4,5677640589,140,27.4,5677640595,213,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805767613,26,1,1,1,55,9w3sjm5ml4sjr2v81oxzdrt8v,1,26.8,83.4,2025-04-25T17:03:33.356Z,2025-04-25T19:45:07Z,6uj3c69lgu6boblkjiuhoy6eh,J. Björkengren,,5677640635,212,30.4,5677640637,213,0.21,5677640631,140,55.1,5677640627,155,,5677640633,141,92.6,5677640629,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805767627,27,1,1,1,57,9w3sjm5ml4sjr2v81oxzdrt8v,1,64.3,90.6,2025-04-25T17:03:35.204Z,2025-04-25T17:03:36Z,9yuyz4ci6wqikd6ckjstbt2i1,S. Odey,,5677640701,212,8.6,5677640703,213,4.19,5677640695,56,Left,5677640699,141,79.7,5677640697,140,60.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805767691,28,1,1,1,58,9w3sjm5ml4sjr2v81oxzdrt8v,1,59.4,75.5,2025-04-25T17:03:36.454Z,2025-04-25T17:03:44Z,606hufq6dapf3qxcgilbc8tt5,S. Nordli,,5677641025,213,6.21,5677641019,140,84.6,5677641017,56,Center,5677641021,141,72.8,5677641023,212,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805767719,29,1,1,2,4,9w3sjm5ml4sjr2v81oxzdrt8v,1,96.4,72.6,2025-04-25T17:03:42.642Z,2025-04-25T19:45:33Z,6np04cprm5wsvs4prp8ehirro,M. Touré,1.0,5677641337,195,,5677641113,56,Center,5677641117,141,60.6,5677641119,212,9.5,5677641863,154,,5677641121,213,4.18,5677641861,210,15,5677641115,140,91.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805767725,30,15,1,2,7,9w3sjm5ml4sjr2v81oxzdrt8v,1,91.5,54.6,2025-04-25T17:03:44.766Z,2025-04-25T19:46:03Z,6m5ftd7c68b2d4d2931xs5srt,O. Olsen,,5677641889,147,56.7,5677641421,82,,5677641129,22,,5677641869,76,,5677641891,230,99.4,5677641133,56,Center,5677641871,29,,5677641885,100,,5677641883,328,5677641131,17,5677641893,231,55.6,5677641887,146,95.5,5677641417,72,5677641873,154,5677641879,102,51.9,5677641899,233,25,5677641881,103,19,5677641875,55,29,,,,,,
2805767713,25,10,1,2,7,9qsmopgutr7ut5g6workk8w4i,1,4.5,43.3,2025-04-25T17:03:44.866Z,2025-04-25T21:17:15Z,6anvl82jyio52wo87cbxdp4np,S. Klaiber,,5677641915,233,30,5677641081,56,Back,5677641079,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805767755,26,6,1,2,9,9qsmopgutr7ut5g6workk8w4i,0,5.9,42.9,2025-04-25T17:03:47.189Z,2025-04-25T19:46:25Z,6anvl82jyio52wo87cbxdp4np,S. Klaiber,,5677641305,73,,5677641303,56,Back,5677641325,233,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805767753,31,6,1,2,9,9w3sjm5ml4sjr2v81oxzdrt8v,1,94.1,57.1,2025-04-25T17:03:47.189Z,2025-04-25T17:46:21Z,6m5ftd7c68b2d4d2931xs5srt,O. Olsen,,5677641219,73,,5677641217,56,Center,5677641321,233,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
