id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/11/value,qualifier/16/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2800584605,13,61,1,1,12,9qsmopgutr7ut5g6workk8w4i,0,70.6,15.6,2025-04-13T12:04:51.173Z,2025-04-13T12:04:51Z,7z1pv1wezn5rydamnknklv2ay,M. Kvistgaarden,,5648942637,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800584631,15,1,1,1,14,b3r6d8ydtmtjckam6pku9y400,0,30.3,85.6,2025-04-13T12:04:52.415Z,2025-04-13T23:44:21Z,ayqy2vql1oumokqly9ahfrnx1,P. Hatzidiakos,,5648942767,56,Back,5648942771,141,86.2,5648942773,212,1.2,5651165031,236,,5648942777,1,,5651165033,286,,5652090653,233,14,5648942769,140,31.4,5648942765,157,5648942775,213,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800584637,14,74,1,1,14,9qsmopgutr7ut5g6workk8w4i,1,72.6,15.6,2025-04-13T12:04:52.416Z,2025-04-13T23:44:22Z,7z1pv1wezn5rydamnknklv2ay,M. Kvistgaarden,,5651164851,285,,5652090673,233,15,5648942799,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800584679,15,5,1,1,15,9qsmopgutr7ut5g6workk8w4i,0,71.0,-1.8,2025-04-13T12:04:53.568Z,2025-04-13T12:14:28Z,7z1pv1wezn5rydamnknklv2ay,M. Kvistgaarden,,5648943417,233,16,5648942969,56,Right,5648942973,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800584765,16,5,1,1,15,b3r6d8ydtmtjckam6pku9y400,1,29.0,101.8,2025-04-13T12:04:53.568Z,2025-04-13T12:14:28Z,ayqy2vql1oumokqly9ahfrnx1,P. Hatzidiakos,,5648943391,233,15,5648943337,347,,5648943335,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800584783,17,1,1,1,19,b3r6d8ydtmtjckam6pku9y400,1,31.1,100.0,2025-04-13T12:04:58.159Z,2025-04-13T19:07:19Z,7xc0qldxpidl07vij2wgu1sk5,K. Diks,,5651167275,189,,5648943485,141,92.3,5648943479,107,,5648943483,140,12.6,5648943481,56,Back,5648943487,212,20.5,5648943489,213,3.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800584835,18,1,1,1,21,b3r6d8ydtmtjckam6pku9y400,1,10.7,91.4,2025-04-13T12:04:59.664Z,2025-04-13T12:05:02Z,ayqy2vql1oumokqly9ahfrnx1,P. Hatzidiakos,,5648943763,140,4.1,5648943767,141,67.2,5648943771,212,17.9,5648943759,56,Back,5648943777,213,4.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800584897,19,1,1,1,24,b3r6d8ydtmtjckam6pku9y400,1,4.1,67.2,2025-04-13T12:05:02.688Z,2025-04-13T12:05:06Z,f2ibn3ej2doay3b4u8ezeix62,D. Ramaj,,5648944165,141,24.3,5648944169,213,4.99,5648944167,212,30.3,5648944163,140,12.0,5648944161,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800585075,20,1,1,1,28,b3r6d8ydtmtjckam6pku9y400,1,12.0,25.3,2025-04-13T12:05:06.576Z,2025-04-13T12:05:16Z,4cbaoo2irqtme9goxuz6s3ey2,Gabriel Pereira,,5648945125,56,Back,5648945129,141,45.7,5648945127,140,5.8,5648945133,213,2.01,5648945131,212,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800585255,21,1,1,1,38,b3r6d8ydtmtjckam6pku9y400,1,15.1,47.9,2025-04-13T12:05:16.736Z,2025-04-13T19:07:29Z,f2ibn3ej2doay3b4u8ezeix62,D. Ramaj,,5648946125,213,0.58,5648946127,1,,5648946123,212,60.9,5648946121,141,96.8,5648946117,56,Left,5648946119,140,63.7,5651167787,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800585349,22,1,1,1,48,b3r6d8ydtmtjckam6pku9y400,1,70.5,68.5,2025-04-13T12:05:27.041Z,2025-04-13T13:07:14Z,ssluj1c3ft94nkfs58dc8cq2,E. Achouri,,5648946635,141,22.3,5648946627,56,Center,5648946631,140,76.6,5648946639,213,4.91,5649291675,1,,5648946637,212,32.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800585357,23,3,1,1,52,b3r6d8ydtmtjckam6pku9y400,0,73.8,15.2,2025-04-13T12:05:30.437Z,2025-04-13T19:07:41Z,6b8vhoisrfwkljhz4u7pduej8,R. Huescas,,5648946669,56,Right,5651168605,465,,5648946819,233,16,5648946671,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800585361,16,7,1,1,52,9qsmopgutr7ut5g6workk8w4i,1,26.2,84.8,2025-04-13T12:05:30.438Z,2025-04-13T19:07:44Z,2tthm6h5o033dz440e476rhbe,M. Divković,,5648946685,285,,5651168789,389,,5648946757,233,23,5648946683,56,Back,5648946681,167,,5651168785,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800585427,17,5,1,1,53,9qsmopgutr7ut5g6workk8w4i,0,27.6,101.2,2025-04-13T12:05:31.687Z,2025-04-13T12:14:29Z,2tthm6h5o033dz440e476rhbe,M. Divković,,5648947015,347,,5648947209,233,24,5648947013,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800585439,24,5,1,1,53,b3r6d8ydtmtjckam6pku9y400,1,72.4,-1.2,2025-04-13T12:05:31.687Z,2025-04-13T12:14:29Z,aahyom322jdc6f21960ycuzth,J. Larsson,,5648947149,233,17,5648947077,347,,5648947075,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800585495,25,1,1,1,56,b3r6d8ydtmtjckam6pku9y400,1,74.3,0.0,2025-04-13T12:05:35.104Z,2025-04-13T13:07:27Z,6b8vhoisrfwkljhz4u7pduej8,R. Huescas,,5648947421,213,2.48,5648947413,56,Right,5648947411,107,,5648947419,212,15.6,5648947417,141,12.5,5648947415,140,62.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800585581,26,1,1,2,1,b3r6d8ydtmtjckam6pku9y400,1,60.6,12.8,2025-04-13T12:05:39.489Z,2025-04-13T12:05:40Z,4cbaoo2irqtme9goxuz6s3ey2,Gabriel Pereira,,5648947785,212,12.0,5648947783,141,5.0,5648947781,140,70.8,5648947779,56,Right,5648947787,213,5.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800585623,27,1,1,2,2,b3r6d8ydtmtjckam6pku9y400,1,70.8,5.0,2025-04-13T12:05:40.849Z,2025-04-13T12:05:43Z,6b8vhoisrfwkljhz4u7pduej8,R. Huescas,,5648947975,140,56.1,5648947973,56,Right,5648947979,212,16.1,5648947981,213,2.85,5648947977,141,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800585689,28,1,1,2,4,b3r6d8ydtmtjckam6pku9y400,1,54.3,17.3,2025-04-13T12:05:42.897Z,2025-04-13T12:05:46Z,4cbaoo2irqtme9goxuz6s3ey2,Gabriel Pereira,,5648948327,1,,5648948321,141,58.8,5648948323,212,32.9,5648948319,140,38.2,5648948317,56,Back,5648948325,213,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800585723,29,1,1,2,8,b3r6d8ydtmtjckam6pku9y400,1,37.5,63.0,2025-04-13T12:05:46.737Z,2025-04-13T12:05:48Z,ayqy2vql1oumokqly9ahfrnx1,P. Hatzidiakos,,5648948483,140,39.8,5648948481,56,Back,5648948487,212,17.4,5648948489,213,1.43,5648948485,141,88.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800585811,30,1,1,2,10,b3r6d8ydtmtjckam6pku9y400,1,41.1,88.7,2025-04-13T12:05:48.529Z,2025-04-13T12:05:53Z,7xc0qldxpidl07vij2wgu1sk5,K. Diks,,5648948953,213,6.25,5648948951,212,21.4,5648948945,56,Left,5648948949,141,87.8,5648948947,140,61.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800585897,31,1,1,2,15,b3r6d8ydtmtjckam6pku9y400,1,61.3,87.1,2025-04-13T12:05:53.425Z,2025-04-13T12:05:57Z,8inyievyp1az6q3dtlkpynf56,M. Mattsson,,5648949455,140,43.8,5648949461,213,2.85,5648949459,212,19.2,5648949457,141,95.3,5648949453,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800585985,32,1,1,2,19,b3r6d8ydtmtjckam6pku9y400,1,41.5,86.9,2025-04-13T12:05:57.809Z,2025-04-13T12:06:02Z,7xc0qldxpidl07vij2wgu1sk5,K. Diks,,5648949913,212,15.4,5648949907,141,66.6,5648949917,213,4.25,5648949901,140,35.0,5648949895,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800586045,33,1,1,2,24,b3r6d8ydtmtjckam6pku9y400,1,35.7,57.6,2025-04-13T12:06:02.257Z,2025-04-13T12:06:05Z,ayqy2vql1oumokqly9ahfrnx1,P. Hatzidiakos,,5648950205,141,80.5,5648950207,212,15.7,5648950209,213,1.45,5648950203,140,37.5,5648950201,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800586115,34,1,1,2,27,b3r6d8ydtmtjckam6pku9y400,1,40.8,80.9,2025-04-13T12:06:05.378Z,2025-04-13T12:06:09Z,7xc0qldxpidl07vij2wgu1sk5,K. Diks,,5648950537,56,Left,5648950551,213,0.63,5648950541,140,54.0,5648950545,141,95.9,5648950547,212,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800586215,35,1,1,2,30,b3r6d8ydtmtjckam6pku9y400,1,54.5,92.0,2025-04-13T12:06:09.154Z,2025-04-13T12:06:12Z,8inyievyp1az6q3dtlkpynf56,M. Mattsson,,5648951035,140,42.1,5648951041,213,3.48,5648951037,141,85.3,5648951039,212,13.8,5648951033,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800586241,36,1,1,2,34,b3r6d8ydtmtjckam6pku9y400,0,42.3,85.0,2025-04-13T12:06:12.626Z,2025-04-13T12:06:14Z,7xc0qldxpidl07vij2wgu1sk5,K. Diks,,5648951217,212,39.8,5648951209,56,Center,5648951207,155,,5648951213,141,52.1,5648951211,140,73.7,5648951225,1,,5648951221,213,5.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800586283,18,12,1,2,36,9qsmopgutr7ut5g6workk8w4i,1,28.6,47.3,2025-04-13T12:06:15.143Z,2025-04-13T12:06:25Z,bmkq3hz1z7lsji7wgr3j8978p,R. Lauritsen,,5648951393,213,0.85,5648951391,212,16.9,5648951397,15,,5648951387,140,39.2,5648951385,56,Back,5648951389,141,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800586315,37,61,1,2,40,b3r6d8ydtmtjckam6pku9y400,1,68.5,27.0,2025-04-13T12:06:18.355Z,2025-04-13T12:06:18Z,c9u2w9ikckbrra8vln2ucbf9w,V. Froholdt,,5648951567,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800586359,38,1,1,2,41,b3r6d8ydtmtjckam6pku9y400,1,70.4,12.6,2025-04-13T12:06:19.794Z,2025-04-13T12:06:21Z,6b8vhoisrfwkljhz4u7pduej8,R. Huescas,,5648951853,213,2.33,5648951851,212,7.8,5648951847,140,65.3,5648951845,56,Right,5648951849,141,20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800586431,39,1,1,2,42,b3r6d8ydtmtjckam6pku9y400,1,65.3,20.9,2025-04-13T12:06:20.882Z,2025-04-13T12:06:24Z,4cbaoo2irqtme9goxuz6s3ey2,Gabriel Pereira,,5648952157,56,Right,5648952159,140,79.2,5648952165,213,5.91,5648952163,212,15.7,5648952161,141,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
