id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/11/value,qualifier/13/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId
2781303203,6,2,1,0,10,36g6ifzjliec1jqnbtf7yesme,1,35.3,21.9,2025-02-26T18:32:47.095Z,2025-02-26T18:32:53Z,2k8bmlxzt0qi7divtxye0a5ii,I. Hansen-Aarøen,,5543197777,56,Center,5543197775,1,,5543197769,140,68.1,5543197773,7,5vrsflxiv2dgfa8199a2qxsve,5543197771,141,36.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781303231,8,1,1,0,23,77tfx9me4aaqhzv78bmgsy9bg,1,7.4,63.0,2025-02-26T18:33:00.959Z,2025-02-27T06:25:49Z,49wkw0wkn4ta18b6657vjvglx,A. Hansen,,5543197951,212,11.0,5543197945,56,Back,5543197943,241,,5543197953,213,0.89,5543197947,140,14.0,5543197949,141,75.6,5543197941,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781303239,9,1,1,0,24,77tfx9me4aaqhzv78bmgsy9bg,1,26.8,87.3,2025-02-26T18:33:01.888Z,2025-02-26T18:33:02Z,5ucbttulfcdufwr751zj0zcic,J. Lähteenmäki,,5543197983,212,13.4,5543197985,213,5.35,5543197981,141,71.4,5543197979,140,34.4,5543197977,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781303245,10,1,1,0,25,77tfx9me4aaqhzv78bmgsy9bg,1,34.4,71.4,2025-02-26T18:33:02.576Z,2025-02-26T18:33:03Z,3zc9hy5uicgp21wr6z5wyuntg,C. Yirenkyi,,5543198011,213,4.51,5543198007,141,60.0,5543198009,212,7.9,5543198003,56,Back,5543198005,140,32.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781303291,11,1,1,0,25,77tfx9me4aaqhzv78bmgsy9bg,1,32.9,60.0,2025-02-26T18:33:02.960Z,2025-02-26T18:33:12Z,5r1v2w303bvj0vv1893qr5d5h,M. Brink,,5543198285,213,3.40,5543198283,212,20.3,5543198279,140,14.2,5543198281,141,52.4,5543198277,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781303303,12,1,1,0,35,77tfx9me4aaqhzv78bmgsy9bg,1,24.7,37.3,2025-02-26T18:33:12.016Z,2025-02-26T18:33:15Z,2rvx2wlfj2rxzcgye6wiw0v84,L. Høgsberg,,5543198337,212,20.6,5543198331,56,Back,5543198339,213,5.10,5543198333,140,32.1,5543198335,141,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781303311,13,1,1,0,37,77tfx9me4aaqhzv78bmgsy9bg,1,29.6,12.7,2025-02-26T18:33:14.927Z,2025-02-26T18:33:18Z,7cpkykvmy8ujrahzdz7ksk2c5,P. Ankersen,,5543198377,56,Back,5543198381,141,12.8,5543198379,140,36.8,5543198385,213,0.01,5543198383,212,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781303313,14,61,1,0,41,77tfx9me4aaqhzv78bmgsy9bg,0,38.2,8.4,2025-02-26T18:33:18.486Z,2025-02-26T19:32:03Z,4cubrfqgrc5ivbd6fdj3k3zf8,M. Dorgeles,,5543198389,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781303315,7,43,1,0,41,36g6ifzjliec1jqnbtf7yesme,1,0.0,0.0,2025-02-26T18:33:18.487Z,2025-02-26T19:32:10Z,brinkgys7026490q3ixx6h9uc,N. Arnórsson,,5543296465,144,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781303325,9,1,1,0,42,36g6ifzjliec1jqnbtf7yesme,1,60.3,93.9,2025-02-26T18:33:19.070Z,2025-02-26T18:33:22Z,brinkgys7026490q3ixx6h9uc,N. Arnórsson,,5543198447,212,14.2,5543198445,141,79.0,5543198443,140,69.8,5543198449,213,5.49,5543198441,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781303329,10,1,1,0,43,36g6ifzjliec1jqnbtf7yesme,1,68.0,75.4,2025-02-26T18:33:20.727Z,2025-02-26T18:33:23Z,5lz41celw55rz3zh8pohclw5w,O. Ross,,5543198467,213,5.09,5543198457,155,,5543198463,141,43.4,5543198465,212,23.4,5543198459,56,Center,5543198461,140,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781303331,11,1,1,0,45,36g6ifzjliec1jqnbtf7yesme,0,76.2,43.4,2025-02-26T18:33:22.359Z,2025-02-26T18:33:24Z,1arzd8hqj73byhduozscqz5uy,M. Jørgensen,,5543198477,212,9.7,5543198475,141,45.7,5543198473,140,67.1,5543198479,213,2.98,5543198471,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781303339,15,1,1,0,49,77tfx9me4aaqhzv78bmgsy9bg,1,32.1,54.5,2025-02-26T18:33:25.984Z,2025-02-26T18:33:27Z,5uqf7a0y0fd1hf2rrmgx11tuy,B. Nygren,,5543198553,140,27.7,5543198555,141,60.2,5543198551,56,Back,5543198559,213,2.44,5543198557,212,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781303347,17,1,1,0,50,77tfx9me4aaqhzv78bmgsy9bg,1,27.7,60.2,2025-02-26T18:33:27.183Z,2025-02-26T18:33:28Z,3zc9hy5uicgp21wr6z5wyuntg,C. Yirenkyi,,5543198587,141,50.4,5543198589,212,7.9,5543198591,213,5.29,5543198583,56,Back,5543198585,140,31.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781303353,18,1,1,0,51,77tfx9me4aaqhzv78bmgsy9bg,1,31.8,50.4,2025-02-26T18:33:27.999Z,2025-02-26T18:33:29Z,4cubrfqgrc5ivbd6fdj3k3zf8,M. Dorgeles,,5543198631,56,Back,5543198639,213,1.22,5543198633,140,36.2,5543198635,141,69.2,5543198637,212,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781303363,19,1,1,0,52,77tfx9me4aaqhzv78bmgsy9bg,1,36.2,69.2,2025-02-26T18:33:29.055Z,2025-02-26T18:33:30Z,5uqf7a0y0fd1hf2rrmgx11tuy,B. Nygren,,5543198687,213,5.70,5543198683,141,61.5,5543198685,212,9.5,5543198679,56,Back,5543198681,140,43.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781303375,20,1,1,0,53,77tfx9me4aaqhzv78bmgsy9bg,1,44.0,61.4,2025-02-26T18:33:30.448Z,2025-02-26T18:33:33Z,3qcjzsb466tfri5yrj35wztw4,L. Nene,,5543198747,212,19.4,5543198741,56,Back,5543198749,213,1.55,5543198743,140,44.4,5543198745,141,89.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781303381,21,1,1,0,56,77tfx9me4aaqhzv78bmgsy9bg,1,45.3,92.0,2025-02-26T18:33:33.792Z,2025-02-26T18:33:35Z,5ucbttulfcdufwr751zj0zcic,J. Lähteenmäki,,5543198779,213,3.97,5543198771,56,Back,5543198777,212,10.0,5543198775,141,81.2,5543198773,140,38.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781303389,22,1,1,0,57,77tfx9me4aaqhzv78bmgsy9bg,1,39.2,82.4,2025-02-26T18:33:34.928Z,2025-02-26T18:33:38Z,3zc9hy5uicgp21wr6z5wyuntg,C. Yirenkyi,,5543198831,213,4.02,5543198825,140,27.1,5543198823,56,Back,5543198827,141,59.9,5543198829,212,19.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781303397,23,1,1,1,1,77tfx9me4aaqhzv78bmgsy9bg,1,28.5,59.6,2025-02-26T18:33:38.751Z,2025-02-26T18:33:41Z,2rvx2wlfj2rxzcgye6wiw0v84,L. Høgsberg,,5543198873,56,Back,5543198875,140,46.5,5543198881,213,5.81,5543198879,212,21.2,5543198877,141,45.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781303417,24,1,1,1,4,77tfx9me4aaqhzv78bmgsy9bg,1,46.6,43.3,2025-02-26T18:33:41.343Z,2025-02-26T18:34:02Z,5r1v2w303bvj0vv1893qr5d5h,M. Brink,,5543199009,141,38.6,5543199013,213,3.43,5543199007,140,36.3,5543199005,56,Back,5543199011,212,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781303427,25,1,1,1,9,77tfx9me4aaqhzv78bmgsy9bg,1,36.3,38.6,2025-02-26T18:33:46.687Z,2025-02-26T18:33:49Z,2rvx2wlfj2rxzcgye6wiw0v84,L. Høgsberg,,5543199063,212,32.6,5543199059,140,56.6,5543199061,141,74.9,5543199069,1,,5543199067,213,0.86,5543199057,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781303439,26,1,1,1,12,77tfx9me4aaqhzv78bmgsy9bg,0,57.3,74.1,2025-02-26T18:33:49.439Z,2025-02-26T18:33:52Z,5uqf7a0y0fd1hf2rrmgx11tuy,B. Nygren,,5543199123,212,2.5,5543199125,213,6.03,5543199117,56,Center,5543199119,140,59.6,5543199121,141,73.2,5543199227,236,,5543199229,233,12,5543199233,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781303457,12,74,1,1,12,36g6ifzjliec1jqnbtf7yesme,1,37.6,27.6,2025-02-26T18:33:49.440Z,2025-02-26T19:27:57Z,2k8bmlxzt0qi7divtxye0a5ii,I. Hansen-Aarøen,,5543199223,285,,5543199221,56,Back,5543199267,233,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781303469,13,5,1,1,17,36g6ifzjliec1jqnbtf7yesme,0,52.8,-1.2,2025-02-26T18:33:54.082Z,2025-02-26T19:27:35Z,2k8bmlxzt0qi7divtxye0a5ii,I. Hansen-Aarøen,,5543199355,233,27,5543199293,56,Right,5543199295,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781303475,27,5,1,1,17,77tfx9me4aaqhzv78bmgsy9bg,1,47.2,101.2,2025-02-26T18:33:54.082Z,2025-02-26T19:27:35Z,5uqf7a0y0fd1hf2rrmgx11tuy,B. Nygren,,5543199321,56,Back,5543199323,347,,5543199325,233,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781303509,28,1,1,1,20,77tfx9me4aaqhzv78bmgsy9bg,1,46.5,100.0,2025-02-26T18:33:57.159Z,2025-02-26T18:34:02Z,5uqf7a0y0fd1hf2rrmgx11tuy,B. Nygren,,5543199549,212,12.1,5543199541,107,,5543199545,140,41.2,5543199543,56,Back,5543199547,141,85.5,5543199551,213,4.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781303521,29,1,1,1,25,77tfx9me4aaqhzv78bmgsy9bg,1,40.1,82.7,2025-02-26T18:34:02.448Z,2025-02-26T18:34:05Z,3zc9hy5uicgp21wr6z5wyuntg,C. Yirenkyi,,5543199607,141,58.8,5543199611,213,4.13,5543199605,140,29.9,5543199603,56,Back,5543199609,212,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781303529,30,1,1,1,28,77tfx9me4aaqhzv78bmgsy9bg,1,33.0,60.8,2025-02-26T18:34:05.631Z,2025-02-26T18:34:06Z,2rvx2wlfj2rxzcgye6wiw0v84,L. Høgsberg,,5543199649,213,6.17,5543199641,56,Back,5543199645,141,59.1,5543199643,140,42.9,5543199647,212,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781303535,31,1,1,1,29,77tfx9me4aaqhzv78bmgsy9bg,1,42.9,59.1,2025-02-26T18:34:06.815Z,2025-02-26T18:34:08Z,3zc9hy5uicgp21wr6z5wyuntg,C. Yirenkyi,,5543199685,141,43.3,5543199677,56,Back,5543199681,140,35.7,5543199689,213,4.10,5543199687,212,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781303547,32,1,1,1,31,77tfx9me4aaqhzv78bmgsy9bg,1,35.7,43.3,2025-02-26T18:34:08.496Z,2025-02-26T18:34:11Z,2rvx2wlfj2rxzcgye6wiw0v84,L. Høgsberg,,5543199751,141,11.8,5543199749,140,45.5,5543199747,56,Back,5543199753,212,23.8,5543199755,213,5.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781303559,33,1,1,1,34,77tfx9me4aaqhzv78bmgsy9bg,1,45.5,11.8,2025-02-26T18:34:11.295Z,2025-02-26T18:34:13Z,7cpkykvmy8ujrahzdz7ksk2c5,P. Ankersen,,5543199811,212,10.6,5543199805,56,Right,5543199807,140,55.2,5543199813,213,5.99,5543199809,141,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781303567,34,1,1,1,36,77tfx9me4aaqhzv78bmgsy9bg,1,55.2,7.3,2025-02-26T18:34:13.519Z,2025-02-26T18:34:14Z,7a1vtc0e7ubua2t0dwx9ufk7o,S. Egeli,,5543199839,56,Right,5543199841,140,60.7,5543199849,213,0.66,5543199843,141,13.9,5543199845,212,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781303571,35,1,1,1,37,77tfx9me4aaqhzv78bmgsy9bg,1,60.7,13.9,2025-02-26T18:34:14.095Z,2025-02-26T18:34:14Z,4cubrfqgrc5ivbd6fdj3k3zf8,M. Dorgeles,,5543199867,56,Right,5543199873,212,3.8,5543199869,140,58.1,5543199875,213,3.91,5543199871,141,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781303575,36,1,1,1,37,77tfx9me4aaqhzv78bmgsy9bg,1,57.3,12.2,2025-02-26T18:34:14.767Z,2025-02-26T18:34:15Z,7a1vtc0e7ubua2t0dwx9ufk7o,S. Egeli,,5543199905,212,16.1,5543199903,141,31.3,5543199901,140,66.3,5543199907,213,0.94,5543199899,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781303581,37,1,1,1,38,77tfx9me4aaqhzv78bmgsy9bg,0,66.3,31.3,2025-02-26T18:34:15.791Z,2025-02-26T18:34:16Z,3qcjzsb466tfri5yrj35wztw4,L. Nene,,5543199931,212,5.4,5543199925,56,Center,5543199933,213,2.57,5543199929,141,35.6,5543199927,140,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781303579,14,8,1,1,39,36g6ifzjliec1jqnbtf7yesme,1,37.6,64.3,2025-02-26T18:34:15.999Z,2025-02-27T06:30:12Z,2k8bmlxzt0qi7divtxye0a5ii,I. Hansen-Aarøen,,5544035575,384,,5543199919,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781303605,16,1,1,1,40,36g6ifzjliec1jqnbtf7yesme,1,41.4,78.4,2025-02-26T18:34:17.423Z,2025-02-26T18:35:09Z,3q4tnk1z46lop4rbdpjtfoc2c,M. Widell,,5543200031,141,80.8,5543200035,213,0.23,5543200029,140,48.1,5543200033,212,7.2,5543200027,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781303603,38,43,1,1,42,77tfx9me4aaqhzv78bmgsy9bg,1,0.0,0.0,2025-02-26T18:34:19.115Z,2025-02-26T18:35:09Z,5r1v2w303bvj0vv1893qr5d5h,M. Brink,,5543200021,56,Center,5543201213,144,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781303613,39,83,1,1,43,77tfx9me4aaqhzv78bmgsy9bg,0,56.4,24.8,2025-02-26T18:34:20.703Z,2025-02-26T18:34:27Z,7cpkykvmy8ujrahzdz7ksk2c5,P. Ankersen,,5543200225,399,5lz41celw55rz3zh8pohclw5w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781303637,17,1,1,1,46,36g6ifzjliec1jqnbtf7yesme,0,44.2,67.5,2025-02-26T18:34:23.880Z,2025-02-26T18:34:26Z,5lz41celw55rz3zh8pohclw5w,O. Ross,,5543200217,213,5.31,5543200209,56,Right,5543200213,141,15.0,5543200215,212,43.3,5543200211,140,67.5,5543200219,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781303653,40,12,1,1,50,77tfx9me4aaqhzv78bmgsy9bg,1,39.1,88.8,2025-02-26T18:34:27.911Z,2025-02-26T18:34:29Z,5ucbttulfcdufwr751zj0zcic,J. Lähteenmäki,,5543200281,167,,5543200271,141,100.0,5543200275,213,0.91,5543200269,140,45.3,5543200273,212,10.5,5543200267,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781303705,18,5,1,1,51,36g6ifzjliec1jqnbtf7yesme,1,57.6,-0.8,2025-02-26T18:34:28.793Z,2025-02-26T19:27:35Z,5lz41celw55rz3zh8pohclw5w,O. Ross,,5543200543,233,41,5543200541,347,,5543200539,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781303655,41,5,1,1,51,77tfx9me4aaqhzv78bmgsy9bg,0,42.4,100.8,2025-02-26T18:34:28.793Z,2025-02-26T19:27:36Z,5ucbttulfcdufwr751zj0zcic,J. Lähteenmäki,,5543200547,233,18,5543200277,56,Back,5543200279,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781303709,19,1,1,2,5,36g6ifzjliec1jqnbtf7yesme,0,64.1,0.0,2025-02-26T18:34:42.662Z,2025-02-26T18:34:44Z,de0dokhb6u6hts2hu5aupgiga,K. Jørgensen,,5543200553,107,,5543200555,56,Right,5543200563,213,0.26,5543200565,1,,5543200561,212,28.6,5543200559,141,10.0,5543200557,140,90.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781303725,42,8,1,2,8,77tfx9me4aaqhzv78bmgsy9bg,1,19.0,88.5,2025-02-26T18:34:45.663Z,2025-02-27T06:30:41Z,179f3j88wnmze82aicikkez9,E. Marxen,,5543200633,56,Back,5544035737,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781303729,20,6,1,2,9,36g6ifzjliec1jqnbtf7yesme,1,88.4,10.2,2025-02-26T18:34:46.463Z,2025-02-27T06:30:52Z,de0dokhb6u6hts2hu5aupgiga,K. Jørgensen,,5543200701,56,Right,5543200705,233,43,5543200703,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781303741,43,6,1,2,9,77tfx9me4aaqhzv78bmgsy9bg,0,11.6,89.8,2025-02-26T18:34:46.463Z,2025-02-27T06:30:46Z,179f3j88wnmze82aicikkez9,E. Marxen,,5543200731,233,20,5543200693,56,Back,5543200695,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
