id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2807002119,6,45,1,0,16,ahnt9ejgwj58ul8auzdvi3czf,0,38.2,86.0,2025-04-27T12:01:46.961Z,2025-04-27T12:54:02Z,bb8q9cgqzw9n2tmkl8s3bth0q,Y. Bakiz,,,5684293595,56,Back,5684578817,285,,5684578841,233,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807002125,7,3,1,0,16,anga7587r1zv4ey71ge9zxol3,1,61.8,14.0,2025-04-27T12:01:46.961Z,2025-04-27T14:53:23Z,6ul2nma4j0a7e2li6wyyrpal1,M. Jensen,,,5684560407,286,,5685457945,465,,5684578819,233,6,5684293617,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807002193,8,1,1,0,17,anga7587r1zv4ey71ge9zxol3,1,58.2,19.5,2025-04-27T12:01:48.811Z,2025-04-27T12:01:53Z,6ul2nma4j0a7e2li6wyyrpal1,M. Jensen,,,5684293963,140,63.7,5684293969,213,5.30,5684293961,56,Right,5684293965,141,6.7,5684293967,212,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807002203,9,1,1,0,18,anga7587r1zv4ey71ge9zxol3,0,63.7,6.7,2025-04-27T12:01:49.351Z,2025-04-27T12:50:33Z,8822s8ns7oyvjqade4oaxzg0l,O. Buur,,,5684559683,233,7,5684294031,213,0.21,5684559687,286,,5684294023,56,Right,5684294029,212,1.9,5684559681,236,,5684294025,140,65.5,5684294027,141,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807002179,7,74,1,0,18,ahnt9ejgwj58ul8auzdvi3czf,1,32.4,95.7,2025-04-27T12:01:49.352Z,2025-04-27T13:00:11Z,2513579m13glsous1p82fbjzd,A. Poulsen,,,5684293985,233,9,5684293869,56,Back,5684293873,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807002185,8,5,1,0,20,ahnt9ejgwj58ul8auzdvi3czf,0,38.4,101.8,2025-04-27T12:01:50.991Z,2025-04-27T13:00:14Z,2513579m13glsous1p82fbjzd,A. Poulsen,,,5684293921,347,,5684293919,56,Back,5684294247,233,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807002219,10,5,1,0,20,anga7587r1zv4ey71ge9zxol3,1,61.6,-1.8,2025-04-27T12:01:50.991Z,2025-04-27T13:00:14Z,8822s8ns7oyvjqade4oaxzg0l,O. Buur,,,5684294103,56,Right,5684294175,233,8,5684294105,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807002229,11,1,1,0,21,anga7587r1zv4ey71ge9zxol3,0,64.9,0.0,2025-04-27T12:01:52.790Z,2025-04-27T12:01:55Z,8822s8ns7oyvjqade4oaxzg0l,O. Buur,,,5684294153,213,0.44,5684294157,1,,5684294145,56,Right,5684294147,140,85.5,5684294151,212,23.9,5684294143,107,,5684294149,141,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807002313,9,12,1,0,25,ahnt9ejgwj58ul8auzdvi3czf,1,20.8,84.6,2025-04-27T12:01:56.562Z,2025-04-27T14:56:01Z,4qo7eu3xwhkpssbuyk4n70fe1,Pedro Ganchas,,,5684294599,140,32.5,5684294605,213,0.43,5684294601,141,92.9,5684294597,56,Back,5684294603,212,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807002321,12,1,1,0,26,anga7587r1zv4ey71ge9zxol3,1,67.2,8.6,2025-04-27T12:01:56.951Z,2025-04-27T12:51:08Z,8822s8ns7oyvjqade4oaxzg0l,O. Buur,,,5684294649,213,1.38,5684294639,3,,5684294643,140,68.4,5684294647,212,6.5,5684294641,56,Right,5684294645,141,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807052537,553,83,1,0,29,ahnt9ejgwj58ul8auzdvi3czf,0,31.3,77.7,2025-04-27T12:01:59.891Z,2025-04-27T12:51:03Z,bplpqy3ierwlm12d1f3prue7e,P. Mattsson,,,5684562369,399,6d0lxiep13vdv32bdb0xwyrys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807052605,554,83,1,0,30,ahnt9ejgwj58ul8auzdvi3czf,0,32.6,77.8,2025-04-27T12:02:00.891Z,2025-04-27T12:51:02Z,lioz4hr2umpne2bwar18qa96,A. Klynge,,,5684562333,399,6d0lxiep13vdv32bdb0xwyrys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807002329,13,61,1,0,30,anga7587r1zv4ey71ge9zxol3,0,71.5,26.2,2025-04-27T12:02:01.102Z,2025-04-27T12:02:23Z,6d0lxiep13vdv32bdb0xwyrys,L. Sandgrav,,,5684294681,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807002355,10,12,1,0,32,ahnt9ejgwj58ul8auzdvi3czf,1,18.9,62.6,2025-04-27T12:02:03.114Z,2025-04-27T12:50:32Z,4qo7eu3xwhkpssbuyk4n70fe1,Pedro Ganchas,,,5684559577,212,21.1,5684559575,141,62.6,5684559571,56,Back,5684559573,140,39.0,5684559579,213,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807002413,12,1,1,0,34,ahnt9ejgwj58ul8auzdvi3czf,1,34.0,60.9,2025-04-27T12:02:05.353Z,2025-04-27T12:52:09Z,6f6x6f9iybgp9pmkqati2otn8,A. Simmelhack,,,5684295081,56,Back,5684295083,140,39.9,5684295089,213,6.07,5684295087,212,6.3,5684295085,141,58.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807002427,13,1,1,0,36,ahnt9ejgwj58ul8auzdvi3czf,1,42.1,63.6,2025-04-27T12:02:07.833Z,2025-04-27T12:52:08Z,349g9rdismqpb1aarjp011bd,C. McCowatt,,,5684295155,213,4.31,5684295151,141,51.9,5684295149,140,38.9,5684295153,212,8.6,5684295147,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807002445,14,1,1,0,37,ahnt9ejgwj58ul8auzdvi3czf,1,38.5,51.2,2025-04-27T12:02:08.537Z,2025-04-27T12:52:07Z,6f6x6f9iybgp9pmkqati2otn8,A. Simmelhack,,,5684295231,212,24.7,5684295233,213,4.81,5684295229,141,15.1,5684295225,56,Back,5684295227,140,40.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807002501,15,1,1,0,38,ahnt9ejgwj58ul8auzdvi3czf,1,40.6,14.6,2025-04-27T12:02:09.529Z,2025-04-27T12:52:06Z,7h39w16zvj1lbfb0rqr7kvt1x,J. Gammelby,,,5684295497,141,39.6,5684295501,213,1.83,5684295495,140,36.3,5684295493,56,Back,5684295499,212,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807002563,16,1,1,0,42,ahnt9ejgwj58ul8auzdvi3czf,1,35.7,39.4,2025-04-27T12:02:13.225Z,2025-04-27T12:13:10Z,bplpqy3ierwlm12d1f3prue7e,P. Mattsson,,,5684295823,213,6.09,5684295819,141,34.7,5684295821,212,16.7,5684295817,140,51.3,5684295815,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807002585,14,83,1,0,46,anga7587r1zv4ey71ge9zxol3,0,45.6,56.1,2025-04-27T12:02:17.261Z,2025-04-27T12:54:04Z,bpw4cd5vmghjhelb3uxupmqjt,S. Magnússon,,,5684578979,399,349g9rdismqpb1aarjp011bd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807002589,17,1,1,0,46,ahnt9ejgwj58ul8auzdvi3czf,0,51.5,41.6,2025-04-27T12:02:17.353Z,2025-04-27T12:13:10Z,349g9rdismqpb1aarjp011bd,C. McCowatt,,,5684295927,213,4.44,5684295925,212,30.3,5684295921,140,43.8,5684295923,141,0.0,5684295919,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807002633,15,5,1,0,48,anga7587r1zv4ey71ge9zxol3,1,55.2,101.4,2025-04-27T12:02:19.533Z,2025-04-27T13:00:14Z,6d0lxiep13vdv32bdb0xwyrys,L. Sandgrav,,,5684296201,233,18,5684296155,347,,5684296153,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807002595,18,5,1,0,48,ahnt9ejgwj58ul8auzdvi3czf,0,44.8,-1.4,2025-04-27T12:02:19.533Z,2025-04-27T13:00:14Z,349g9rdismqpb1aarjp011bd,C. McCowatt,,,5684295947,347,,5684295945,56,Back,5684296223,233,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807002855,16,1,1,1,3,anga7587r1zv4ey71ge9zxol3,1,55.1,100.0,2025-04-27T12:02:33.996Z,2025-04-27T12:02:38Z,8ydi45wh0naevno6aos78vi09,L. Klassen,,,5684297331,107,,5684297341,213,5.53,5684297335,140,66.0,5684297337,141,86.3,5684297333,56,Left,5684297339,212,15.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807221573,1042,83,1,1,6,ahnt9ejgwj58ul8auzdvi3czf,1,30.3,27.1,2025-04-27T12:02:36.895Z,2025-04-27T14:57:07Z,bplpqy3ierwlm12d1f3prue7e,P. Mattsson,,,5685477235,399,6d0lxiep13vdv32bdb0xwyrys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807002867,17,1,1,1,7,anga7587r1zv4ey71ge9zxol3,1,67.3,68.2,2025-04-27T12:02:38.520Z,2025-04-27T12:02:39Z,6d0lxiep13vdv32bdb0xwyrys,L. Sandgrav,,,5684297425,212,14.8,5684297421,140,65.1,5684297427,213,4.56,5684297419,56,Center,5684297423,141,46.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807002921,18,1,1,1,8,anga7587r1zv4ey71ge9zxol3,1,65.3,46.4,2025-04-27T12:02:39.630Z,2025-04-27T12:02:43Z,bpw4cd5vmghjhelb3uxupmqjt,S. Magnússon,,,5684297683,213,5.09,5684297675,56,Right,5684297677,140,74.9,5684297679,141,8.9,5684297681,212,27.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807002961,19,1,1,1,12,anga7587r1zv4ey71ge9zxol3,1,78.7,5.6,2025-04-27T12:02:43.830Z,2025-04-27T12:02:47Z,8822s8ns7oyvjqade4oaxzg0l,O. Buur,,,5684297841,140,94.1,5684297845,212,18.8,5684297847,213,0.54,5684297843,141,19.8,5684297839,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807002985,20,1,1,1,16,anga7587r1zv4ey71ge9zxol3,1,94.9,11.7,2025-04-27T12:02:47.195Z,2025-04-27T12:02:50Z,6d0lxiep13vdv32bdb0xwyrys,L. Sandgrav,,,5684298003,141,5.6,5684297999,56,Right,5684298007,213,3.32,5684298001,140,73.4,5684298005,212,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807003003,21,1,1,1,19,anga7587r1zv4ey71ge9zxol3,1,73.4,5.6,2025-04-27T12:02:49.950Z,2025-04-27T12:02:51Z,bpw4cd5vmghjhelb3uxupmqjt,S. Magnússon,,,5684298087,56,Right,5684298089,140,83.0,5684298095,212,10.1,5684298091,141,4.7,5684298097,213,6.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807003029,22,2,1,1,20,anga7587r1zv4ey71ge9zxol3,1,83.6,4.9,2025-04-27T12:02:51.740Z,2025-04-27T12:03:17Z,6d0lxiep13vdv32bdb0xwyrys,L. Sandgrav,,,5684298195,140,89.3,5684298263,56,Right,5684298197,141,8.2,5684298261,7,8822s8ns7oyvjqade4oaxzg0l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807003043,19,43,1,1,20,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2025-04-27T12:02:51.741Z,2025-04-27T14:57:40Z,4qo7eu3xwhkpssbuyk4n70fe1,Pedro Ganchas,,,5685479885,144,55,5685478813,189,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807003637,20,1,1,2,2,ahnt9ejgwj58ul8auzdvi3czf,0,11.0,82.1,2025-04-27T12:03:33.529Z,2025-04-27T12:03:42Z,b2492j7qzdo7g3ysxz6gq4g5x,N. Larsen,,,5684301099,1,,5684301087,56,Center,5684301093,141,53.9,5684301097,213,5.90,5684301095,212,51.0,5684301083,241,,5684301079,5,,5684301081,155,,5684301091,140,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807003705,26,43,1,2,4,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2025-04-27T12:03:35.390Z,2025-04-27T14:58:06Z,8gdfn7j6xac9p4jh94hk40jdg,J. Cornelius,,,5685481837,144,44,5684301451,56,Center,5684301453,286,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807003689,23,43,1,2,4,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2025-04-27T12:03:35.391Z,2025-04-27T14:58:06Z,9zhmwx3g0m6xi2oh57g4z35nu,R. Østrøm,,,5684301913,285,0,5684301395,56,Back,5684301909,233,26,5685481781,144,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807003697,25,1,1,2,5,anga7587r1zv4ey71ge9zxol3,1,38.3,70.2,2025-04-27T12:03:36.646Z,2025-04-27T14:59:07Z,8ydi45wh0naevno6aos78vi09,L. Klassen,,,5684301429,141,69.4,5684301433,213,6.26,5684301423,157,,5684301425,56,Center,5684301435,1,,5684301427,140,59.4,5684301431,212,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807003649,23,43,1,2,6,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2025-04-27T12:03:37.390Z,2025-04-27T12:03:47Z,cw6s5hf1tytvb98vjuosz9r6d,R. Thelander,,,5684301869,144,44,5684301141,56,Center,5684301445,233,23,5684301529,286,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807003643,21,43,1,2,6,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2025-04-27T12:03:37.448Z,2025-04-27T14:58:30Z,6f6x6f9iybgp9pmkqati2otn8,A. Simmelhack,,,5684302621,286,0,5684301137,56,Center,5685483741,144,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807003655,24,43,1,2,6,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2025-04-27T12:03:37.449Z,2025-04-27T14:58:28Z,15fo180vixn0lb65fujttit3p,J. Storch,,,5685483675,144,44,5684301171,56,Back,5684301211,233,21,5684302597,285,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807003659,22,43,1,2,8,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2025-04-27T12:03:39.577Z,2025-04-27T14:58:33Z,6f6x6f9iybgp9pmkqati2otn8,A. Simmelhack,,,5684301187,3,0,5685484017,144,1,5684301199,213,5.82,5684301193,140,69.8,5684301189,168,0,5684301195,141,43.3,5684301197,212,16.2,5684301191,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807223223,744,44,1,2,9,anga7587r1zv4ey71ge9zxol3,1,61.4,68.6,2025-04-27T12:03:40.063Z,2025-04-27T14:59:04Z,8gdfn7j6xac9p4jh94hk40jdg,J. Cornelius,,,5685486133,233,1044,5685486131,286,,5685486127,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807223217,1044,44,1,2,9,ahnt9ejgwj58ul8auzdvi3czf,0,38.6,31.4,2025-04-27T12:03:40.064Z,2025-04-27T14:59:04Z,9zhmwx3g0m6xi2oh57g4z35nu,R. Østrøm,,,5685486105,285,,5685486103,56,Back,5685486153,233,744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807003737,28,1,1,2,9,anga7587r1zv4ey71ge9zxol3,0,59.4,69.4,2025-04-27T12:03:40.280Z,2025-04-27T14:59:11Z,8gdfn7j6xac9p4jh94hk40jdg,J. Cornelius,,,5684301627,3,,5684301635,141,63.7,5684301631,56,Center,5684301637,212,12.7,5684301629,168,,5684301639,213,5.97,5684301633,140,70.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807003725,27,43,1,2,11,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2025-04-27T12:03:41.910Z,2025-04-27T12:03:46Z,8gdfn7j6xac9p4jh94hk40jdg,J. Cornelius,,,5684301565,286,0,5684301561,56,Center,5684301815,144,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807003779,24,1,1,2,11,ahnt9ejgwj58ul8auzdvi3czf,1,29.9,32.2,2025-04-27T12:03:42.841Z,2025-04-27T12:13:09Z,bplpqy3ierwlm12d1f3prue7e,P. Mattsson,,,5684301789,141,12.0,5684301793,213,5.07,5684301785,56,Back,5684301787,140,34.8,5684301791,212,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807003787,25,1,1,2,14,ahnt9ejgwj58ul8auzdvi3czf,1,35.0,13.7,2025-04-27T12:03:45.577Z,2025-04-27T12:13:09Z,7h39w16zvj1lbfb0rqr7kvt1x,J. Gammelby,,,5684301821,56,Back,5684301827,212,3.2,5684301825,141,17.3,5684301823,140,37.0,5684301829,213,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
