id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/16/value
2816487683,4,43,1,0,16,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2025-05-18T14:01:52.535Z,2025-05-18T14:53:06Z,bpw4cd5vmghjhelb3uxupmqjt,S. Magnússon,,,5736694485,56,Center,5737005471,144,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816487713,7,83,1,0,17,aljua8crr0vkwit0j3m59jw9j,0,42.9,9.4,2025-05-18T14:01:53.614Z,2025-05-18T17:18:33Z,7foqorbwhgqjghtxa2nax6kgk,A. Lyng,,,5736695243,399,6d0lxiep13vdv32bdb0xwyrys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816487743,5,1,1,0,18,anga7587r1zv4ey71ge9zxol3,1,56.1,87.6,2025-05-18T14:01:54.542Z,2025-05-18T14:53:24Z,6d0lxiep13vdv32bdb0xwyrys,L. Sandgrav,,,5736694777,140,46.4,5736694775,56,Back,5736694783,213,3.49,5736694781,212,10.8,5736694779,141,82.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816487795,6,1,1,0,20,anga7587r1zv4ey71ge9zxol3,1,52.4,82.6,2025-05-18T14:01:55.967Z,2025-05-18T14:53:22Z,b13l1wrb747y9cdc8wqltan6d,M. Hebo,,,5736695045,212,13.8,5736695039,56,Left,5736695043,141,89.8,5736695041,140,64.7,5736695047,213,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816487803,7,61,1,0,21,anga7587r1zv4ey71ge9zxol3,0,65.7,89.8,2025-05-18T14:01:57.663Z,2025-05-18T14:53:21Z,6d0lxiep13vdv32bdb0xwyrys,L. Sandgrav,,,5736695073,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816487861,8,1,1,0,23,aljua8crr0vkwit0j3m59jw9j,1,23.1,9.1,2025-05-18T14:01:59.333Z,2025-05-18T14:02:00Z,3361cs2j60yxzy9mir80byqc5,A. Oggesen,,,5736695305,213,1.84,5736695299,140,20.0,5736695301,141,26.2,5736695297,56,Back,5736695303,212,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816487927,10,1,1,0,23,aljua8crr0vkwit0j3m59jw9j,1,20.0,26.2,2025-05-18T14:01:59.721Z,2025-05-18T14:42:13Z,6rd849oap6uh93wdwjk8590q1,M. Soulas,,,5736695597,141,26.4,5736695601,213,0.02,5736695593,56,Back,5736695595,140,28.1,5736695599,212,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816487947,11,1,1,0,26,aljua8crr0vkwit0j3m59jw9j,1,27.9,34.8,2025-05-18T14:02:02.213Z,2025-05-18T14:46:44Z,5jdkdvxssuc8gvzwwrq5bs76y,T. Sommer,,,5736695691,56,Back,5736695693,140,29.2,5736695697,212,5.1,5736695699,213,1.30,5736695695,141,42.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816487951,12,1,1,0,27,aljua8crr0vkwit0j3m59jw9j,0,32.9,42.1,2025-05-18T14:02:03.011Z,2025-05-18T14:46:48Z,1902oagnhlo7x9xpumxvg1t78,L. Björklund,,,5736970321,213,5.59,5736970317,141,31.1,5736970315,140,41.5,5736970311,155,,5736970313,56,Back,5736970319,212,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816487959,8,1,1,0,28,anga7587r1zv4ey71ge9zxol3,0,59.6,75.0,2025-05-18T14:02:04.719Z,2025-05-18T14:53:34Z,5is9bcj143orulo4biogwxzl6,L. Lissens,,,5736695791,157,,5736695793,56,Center,5736695797,141,73.1,5736695807,1,,5736695799,212,10.6,5736695795,140,69.6,5736695803,213,6.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816682967,908,1,1,0,29,aljua8crr0vkwit0j3m59jw9j,1,25.1,27.7,2025-05-18T14:02:05.695Z,2025-05-18T17:19:13Z,6rd849oap6uh93wdwjk8590q1,M. Soulas,,,5737731457,213,5.02,5737731449,56,Back,5737731455,212,15.2,5737731451,140,29.5,5737731453,141,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816488025,14,1,1,0,31,aljua8crr0vkwit0j3m59jw9j,1,25.1,6.4,2025-05-18T14:02:06.997Z,2025-05-18T17:19:23Z,3361cs2j60yxzy9mir80byqc5,A. Oggesen,,,5736696135,212,13.5,5736696137,213,2.00,5736696133,141,24.4,5736696131,140,19.7,5736696129,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816488059,15,43,1,0,32,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2025-05-18T14:02:08.037Z,2025-05-18T17:19:27Z,5jdkdvxssuc8gvzwwrq5bs76y,T. Sommer,,,5736696351,213,1.89,5737732631,144,1,5736696343,141,27.3,5736696339,140,20.9,5736696333,56,Back,5736696349,212,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816488267,16,1,1,0,33,aljua8crr0vkwit0j3m59jw9j,1,20.9,27.3,2025-05-18T14:02:09.237Z,2025-05-18T14:02:14Z,6rd849oap6uh93wdwjk8590q1,M. Soulas,,,5736697363,213,1.51,5736697361,212,23.5,5736697355,56,Back,5736697359,141,61.8,5736697357,140,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816488325,17,1,1,0,38,aljua8crr0vkwit0j3m59jw9j,1,23.8,72.7,2025-05-18T14:02:14.534Z,2025-05-18T14:02:17Z,33sxiwcjeqcop3ukuok86ujmd,M. Dal Hende,,,5736697615,140,28.3,5736697617,141,96.8,5736697621,213,1.29,5736697619,212,17.1,5736697613,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816488439,18,1,1,0,41,aljua8crr0vkwit0j3m59jw9j,0,28.5,96.0,2025-05-18T14:02:17.365Z,2025-05-18T14:02:21Z,7sbdudf1vycn8hinw0giakpyi,E. Duru,,,5736698065,212,56.3,5736698069,1,,5736698057,56,Center,5736698067,213,6.05,5736698063,141,76.6,5736698061,140,80.6,5736698055,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816488527,10,1,1,0,46,anga7587r1zv4ey71ge9zxol3,1,23.0,29.5,2025-05-18T14:02:22.607Z,2025-05-18T14:02:24Z,cw6s5hf1tytvb98vjuosz9r6d,R. Thelander,,,5736698485,141,35.0,5736698489,213,2.71,5736698487,212,8.9,5736698483,140,15.3,5736698481,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816488617,11,1,1,0,48,anga7587r1zv4ey71ge9zxol3,1,12.7,33.3,2025-05-18T14:02:24.832Z,2025-05-18T17:20:27Z,52vwj2s29n7wngablotd7pboq,J. Ægidius,,,5736698925,212,34.7,5736698929,1,,5736698917,157,,5736698919,56,Back,5736698927,213,5.61,5736698923,141,1.7,5736698921,140,38.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816488631,12,1,1,0,49,anga7587r1zv4ey71ge9zxol3,0,39.3,11.7,2025-05-18T14:02:25.847Z,2025-05-18T17:20:34Z,79b0b6eqck5vn4b3fawxsaok,P. Langhoff,,,5736698995,140,40.7,5736698997,141,10.8,5736698987,3,,5736698999,212,1.6,5736699001,213,5.89,5736698991,56,Back,5736698989,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816549985,403,83,1,0,53,anga7587r1zv4ey71ge9zxol3,0,41.8,6.9,2025-05-18T14:02:28.878Z,2025-05-18T14:56:37Z,6zhj070huc77sl5o5bx6ey5g4,G. Fraulo,,,5737020421,399,1902oagnhlo7x9xpumxvg1t78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816488667,19,61,1,0,54,aljua8crr0vkwit0j3m59jw9j,0,55.1,97.4,2025-05-18T14:02:30.741Z,2025-05-18T17:20:49Z,1902oagnhlo7x9xpumxvg1t78,L. Björklund,,,5736699177,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816488945,14,5,1,0,56,anga7587r1zv4ey71ge9zxol3,1,44.8,-1.8,2025-05-18T14:02:32.037Z,2025-05-18T16:27:26Z,6zhj070huc77sl5o5bx6ey5g4,G. Fraulo,,,5736700527,56,Back,5736700553,233,20,5736700529,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816488691,20,5,1,0,56,aljua8crr0vkwit0j3m59jw9j,0,55.2,101.8,2025-05-18T14:02:32.037Z,2025-05-18T14:56:31Z,1902oagnhlo7x9xpumxvg1t78,L. Björklund,,,5736700599,233,14,5736699287,347,,5736699285,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816488797,13,43,1,0,57,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2025-05-18T14:02:33.023Z,2025-05-18T14:02:37Z,6zhj070huc77sl5o5bx6ey5g4,G. Fraulo,,,5736699779,285,0,5736699777,56,Back,5736700017,144,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816489017,15,1,1,1,6,anga7587r1zv4ey71ge9zxol3,0,49.7,0.0,2025-05-18T14:02:42.639Z,2025-05-18T14:54:44Z,8822s8ns7oyvjqade4oaxzg0l,O. Buur,,,5736700885,107,,5736700887,56,Right,5736700897,1,,5736700895,213,0.48,5736700891,141,17.4,5736700889,140,72.7,5736700893,212,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816489141,21,1,1,1,10,aljua8crr0vkwit0j3m59jw9j,1,20.7,69.3,2025-05-18T14:02:45.989Z,2025-05-18T14:02:49Z,6rd849oap6uh93wdwjk8590q1,M. Soulas,,,5736701471,213,0.28,5736701465,141,82.4,5736701463,140,49.7,5736701461,56,Back,5736701459,157,,5736701467,212,31.7,5736701475,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816489177,22,44,1,1,13,aljua8crr0vkwit0j3m59jw9j,1,50.1,78.2,2025-05-18T14:02:49.157Z,2025-05-18T16:22:16Z,3ejggtt1du1cui3wc1f8oqx62,L. Qamili,,,5736701645,56,Center,5737017403,233,16,5737017477,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816489153,16,44,1,1,13,anga7587r1zv4ey71ge9zxol3,0,49.9,21.8,2025-05-18T14:02:49.158Z,2025-05-18T16:22:17Z,cw6s5hf1tytvb98vjuosz9r6d,R. Thelander,,,5736701529,285,,5737017437,233,22,5736701523,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816489187,23,61,1,1,13,aljua8crr0vkwit0j3m59jw9j,0,49.7,82.4,2025-05-18T14:02:49.853Z,2025-05-18T20:09:52Z,3ejggtt1du1cui3wc1f8oqx62,L. Qamili,,,5736701677,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816489217,17,43,1,1,14,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2025-05-18T14:02:50.063Z,2025-05-18T14:55:58Z,cw6s5hf1tytvb98vjuosz9r6d,R. Thelander,,,5736701827,56,Center,5736701835,213,0.46,5736701833,212,4.9,5736701831,141,27.6,5736701829,140,53.8,5737017675,144,1,5736701825,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816489223,18,1,1,1,15,anga7587r1zv4ey71ge9zxol3,0,53.8,27.6,2025-05-18T14:02:51.855Z,2025-05-18T14:54:56Z,b13l1wrb747y9cdc8wqltan6d,M. Hebo,,,5736701863,157,,5736701879,1,,5736701871,140,71.7,5736701873,141,6.3,5736701877,213,5.63,5736701875,212,23.7,5736701867,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816489287,24,1,1,1,16,aljua8crr0vkwit0j3m59jw9j,0,26.2,93.0,2025-05-18T14:02:52.853Z,2025-05-18T14:02:54Z,7sbdudf1vycn8hinw0giakpyi,E. Duru,,,5736702147,56,Back,5736702145,3,,5736702153,212,18.9,5736702151,141,93.8,5736702155,213,0.03,5736702149,140,44.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816489343,19,1,1,1,19,anga7587r1zv4ey71ge9zxol3,0,58.1,9.4,2025-05-18T14:02:55.678Z,2025-05-18T14:55:08Z,8822s8ns7oyvjqade4oaxzg0l,O. Buur,,,5736702411,56,Right,5736702413,140,62.3,5736702419,213,0.21,5736702417,212,4.5,5736702415,141,10.8,5736702409,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816489351,25,44,1,1,21,aljua8crr0vkwit0j3m59jw9j,1,36.0,88.3,2025-05-18T14:02:57.518Z,2025-05-18T16:22:17Z,1902oagnhlo7x9xpumxvg1t78,L. Björklund,,,5736702435,285,,5736702581,233,20,5736702433,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816489355,20,44,1,1,21,anga7587r1zv4ey71ge9zxol3,0,64.0,11.7,2025-05-18T14:02:57.519Z,2025-05-18T16:22:17Z,6zhj070huc77sl5o5bx6ey5g4,G. Fraulo,,,5736702627,233,25,5736702441,56,Right,5736702443,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816489421,26,1,1,1,22,aljua8crr0vkwit0j3m59jw9j,0,33.3,86.8,2025-05-18T14:02:58.069Z,2025-05-18T20:08:53Z,1902oagnhlo7x9xpumxvg1t78,L. Björklund,,,5736702749,140,35.8,5736702755,213,1.03,5736702751,141,93.3,5736702753,212,5.1,5736702745,3,,5736702747,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816489515,21,3,1,1,24,anga7587r1zv4ey71ge9zxol3,0,62.3,5.4,2025-05-18T14:03:00.004Z,2025-05-18T20:08:20Z,8822s8ns7oyvjqade4oaxzg0l,O. Buur,,,5737750323,286,,5737751405,465,,5736703247,56,Right,5738519665,233,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816489475,27,7,1,1,24,aljua8crr0vkwit0j3m59jw9j,1,37.7,94.6,2025-05-18T14:03:00.005Z,2025-05-18T20:08:19Z,7sbdudf1vycn8hinw0giakpyi,E. Duru,,,5738519599,233,21,5736703013,56,Back,5737750519,285,,5737750897,383,,5737750903,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816489479,28,50,1,1,24,aljua8crr0vkwit0j3m59jw9j,1,38.2,94.1,2025-05-18T14:03:00.877Z,2025-05-18T16:34:05Z,7sbdudf1vycn8hinw0giakpyi,E. Duru,,,5737019765,233,404,5736703037,56,Back,5737019723,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816551187,404,7,1,1,25,anga7587r1zv4ey71ge9zxol3,0,61.8,5.9,2025-05-18T14:03:00.878Z,2025-05-18T17:23:25Z,79b0b6eqck5vn4b3fawxsaok,P. Langhoff,,,5737016397,56,Right,5737019725,233,28,5737754859,389,,5737754857,385,,5737016399,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816551871,437,61,1,1,26,aljua8crr0vkwit0j3m59jw9j,1,38.1,97.2,2025-05-18T14:03:01.878Z,2025-05-18T14:56:29Z,7sbdudf1vycn8hinw0giakpyi,E. Duru,,,5737019941,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816489623,22,5,1,1,27,anga7587r1zv4ey71ge9zxol3,1,61.4,-1.4,2025-05-18T14:03:03.670Z,2025-05-18T16:27:26Z,8822s8ns7oyvjqade4oaxzg0l,O. Buur,,,5736703803,56,Right,5736703805,347,,5736703865,233,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816489509,29,5,1,1,27,aljua8crr0vkwit0j3m59jw9j,0,38.6,101.4,2025-05-18T14:03:03.670Z,2025-05-18T16:27:26Z,7sbdudf1vycn8hinw0giakpyi,E. Duru,,,5736703213,56,Back,5736703215,347,,5736703909,233,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816489679,23,1,1,1,32,anga7587r1zv4ey71ge9zxol3,0,61.4,0.0,2025-05-18T14:03:08.015Z,2025-05-18T14:03:10Z,8822s8ns7oyvjqade4oaxzg0l,O. Buur,,,5736704047,212,34.2,5736704051,1,,5736704039,107,,5736704041,56,Right,5736704043,140,90.9,5736704045,141,20.2,5736704049,213,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816489743,31,1,1,1,35,aljua8crr0vkwit0j3m59jw9j,1,10.3,77.9,2025-05-18T14:03:10.919Z,2025-05-18T14:03:12Z,6rd849oap6uh93wdwjk8590q1,M. Soulas,,,5736704375,212,14.1,5736704377,213,4.14,5736704373,141,60.5,5736704371,140,3.0,5736704369,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816489841,33,1,1,1,36,aljua8crr0vkwit0j3m59jw9j,0,2.6,60.8,2025-05-18T14:03:12.549Z,2025-05-18T14:03:15Z,dcocgxtuabo0rwzwukvqky9uy,M. Bundgaard,,,5736704885,141,95.0,5736704891,1,,5736704889,213,0.57,5736704879,157,,5736704887,212,43.0,5736704883,140,37.0,5736704881,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
