id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/13/value,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2800714693,7,1,1,0,25,5rz9enoyknpg8ji78za5b82p0,1,76.7,100.0,2025-04-13T14:01:15.305Z,2025-04-13T14:01:17Z,4vmgmzg2004twoc39sk7zkzqh,G. Links,,,5649629443,140,92.6,5649629441,56,Left,5649629447,212,19.4,5649629439,107,,5649629445,141,86.0,5649629449,213,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800714715,8,1,1,0,27,5rz9enoyknpg8ji78za5b82p0,1,92.6,86.0,2025-04-13T14:01:16.671Z,2025-04-13T14:55:59Z,43q9ytkbmtk5y3tgv77v7pmg9,M. Madsen,,,5649629573,213,1.33,5649629567,140,94.0,5649629571,212,6.2,5649997027,156,,5649629569,141,94.8,5649629565,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800723645,61,83,1,0,28,59as3grjvj19voay31j3yfgni,0,14.5,9.1,2025-04-13T14:01:17.891Z,2025-04-13T14:08:40Z,bwfg9frq2ecbzg7wlzqjtnv2s,P. Bravo,,,5649678785,399,4vmgmzg2004twoc39sk7zkzqh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800714749,5,83,1,0,28,59as3grjvj19voay31j3yfgni,1,6.4,6.7,2025-04-13T14:01:18.121Z,2025-04-13T14:25:13Z,bwfg9frq2ecbzg7wlzqjtnv2s,P. Bravo,,,5649792167,399,4vmgmzg2004twoc39sk7zkzqh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800714721,9,1,1,0,29,5rz9enoyknpg8ji78za5b82p0,0,92.3,95.3,2025-04-13T14:01:19.120Z,2025-04-13T14:11:31Z,4vmgmzg2004twoc39sk7zkzqh,G. Links,,,5649700631,212,7.9,5649700629,141,84.0,5649700627,140,90.6,5649700633,213,4.48,5649629595,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800776555,383,8,1,0,31,59as3grjvj19voay31j3yfgni,1,19.3,13.4,2025-04-13T14:01:20.342Z,2025-04-13T16:59:12Z,bwfg9frq2ecbzg7wlzqjtnv2s,P. Bravo,,,5650629027,384,,5649970135,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800724889,67,1,1,0,32,59as3grjvj19voay31j3yfgni,1,17.6,13.5,2025-04-13T14:01:21.554Z,2025-04-13T14:09:26Z,1qcf5gb8wf8f4tu94xh96yqy,Dani Silva,,,5649684825,212,9.5,5649684819,56,Back,5649684823,141,10.9,5649684821,140,8.7,5649684827,213,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800714765,6,1,1,0,33,59as3grjvj19voay31j3yfgni,1,8.1,11.6,2025-04-13T14:01:22.676Z,2025-04-13T14:09:36Z,fwu0bja02waqct7l682s5mfp,K. Mbabu,,,5649629853,140,15.3,5649629857,212,7.6,5649629851,56,Back,5649629855,141,13.1,5649629859,213,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800782081,487,83,1,0,34,5rz9enoyknpg8ji78za5b82p0,0,87.1,85.6,2025-04-13T14:01:23.342Z,2025-04-13T18:19:01Z,43q9ytkbmtk5y3tgv77v7pmg9,M. Madsen,,,5650000217,399,1qcf5gb8wf8f4tu94xh96yqy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800714789,8,1,1,0,34,59as3grjvj19voay31j3yfgni,1,15.1,17.8,2025-04-13T14:01:23.987Z,2025-04-13T14:50:59Z,1qcf5gb8wf8f4tu94xh96yqy,Dani Silva,,,5649629939,140,19.7,5649629937,56,Back,5649629941,141,10.1,5649629945,213,5.46,5649629943,212,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800714797,9,43,1,0,36,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2025-04-13T14:01:25.780Z,2025-04-13T14:51:00Z,drlp4xtkta08jiu0px6m4ocq2,O. Sørensen,,,5649629977,56,Back,5649629985,213,5.93,5649629981,141,7.6,5649629983,212,7.4,5649629979,140,18.0,5649972181,144,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800714841,10,1,1,0,37,59as3grjvj19voay31j3yfgni,1,16.4,9.1,2025-04-13T14:01:26.756Z,2025-04-13T14:01:29Z,1sdsqfn743j5tqem8ra7sppn8,Franculino Djú,,,5649630215,213,0.79,5649630209,140,22.5,5649630207,56,Back,5649630213,212,9.1,5649630211,141,18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800732669,110,50,1,0,38,59as3grjvj19voay31j3yfgni,1,25.7,9.8,2025-04-13T14:01:27.729Z,2025-04-13T14:52:00Z,bwfg9frq2ecbzg7wlzqjtnv2s,P. Bravo,,,5649728025,285,,5649728023,56,Back,5649728619,233,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800714833,10,7,1,0,38,5rz9enoyknpg8ji78za5b82p0,0,74.3,90.2,2025-04-13T14:01:27.730Z,2025-04-13T16:59:32Z,cgkvw4q8ddcjl0po181upzwx6,E. Kahl,,,5649972927,286,,5650630629,385,,5650630637,178,,5649972959,233,110,5649972925,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800733119,114,3,1,0,39,59as3grjvj19voay31j3yfgni,0,25.7,9.8,2025-04-13T14:01:28.729Z,2025-04-13T16:59:38Z,bwfg9frq2ecbzg7wlzqjtnv2s,P. Bravo,,,5649973031,233,11,5649730299,56,Back,5649730301,285,,5650631209,464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800714869,11,7,1,0,39,5rz9enoyknpg8ji78za5b82p0,0,74.3,90.2,2025-04-13T14:01:28.730Z,2025-04-13T16:59:42Z,3uytpqx0e0jr6zgbfl1znsm7e,T. Bech,,,5650631361,385,,5649630377,56,Left,5649630379,286,,5650631363,178,,5649728599,233,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800714851,11,3,1,0,39,59as3grjvj19voay31j3yfgni,0,18.8,15.9,2025-04-13T14:01:29.341Z,2025-04-13T16:59:45Z,bwfg9frq2ecbzg7wlzqjtnv2s,P. Bravo,,,5650631643,464,,5649630279,56,Back,5649975395,233,486,5649732281,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800777535,486,7,1,0,40,5rz9enoyknpg8ji78za5b82p0,1,81.2,84.1,2025-04-13T14:01:29.342Z,2025-04-13T16:59:49Z,43q9ytkbmtk5y3tgv77v7pmg9,M. Madsen,,,5649975375,233,11,5650631797,178,,5650631795,384,,5649975321,286,,5649975319,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800714885,13,1,1,0,43,5rz9enoyknpg8ji78za5b82p0,1,70.2,79.3,2025-04-13T14:01:32.832Z,2025-04-13T14:01:33Z,3uytpqx0e0jr6zgbfl1znsm7e,T. Bech,,,5649630453,56,Left,5649630455,140,61.7,5649630461,213,2.66,5649630457,141,86.2,5649630459,212,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800714893,14,1,1,0,44,5rz9enoyknpg8ji78za5b82p0,1,61.7,86.2,2025-04-13T14:01:33.487Z,2025-04-13T14:01:34Z,8og8nxbkcb63van4llvpkbe8l,N. Poulsen,,,5649630495,140,65.2,5649630499,212,5.7,5649630493,56,Left,5649630501,213,0.88,5649630497,141,92.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800714905,15,1,1,0,45,5rz9enoyknpg8ji78za5b82p0,1,65.2,92.7,2025-04-13T14:01:34.383Z,2025-04-13T14:01:35Z,cgkvw4q8ddcjl0po181upzwx6,E. Kahl,,,5649630573,213,0.13,5649630569,141,95.1,5649630567,140,76.9,5649630571,212,12.4,5649630565,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800714921,16,1,1,0,45,5rz9enoyknpg8ji78za5b82p0,1,76.9,95.1,2025-04-13T14:01:35.247Z,2025-04-13T14:01:37Z,4vmgmzg2004twoc39sk7zkzqh,G. Links,,,5649630657,213,5.70,5649630651,140,94.2,5649630653,141,77.6,5649630655,212,21.7,5649630649,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800714937,17,1,1,0,47,5rz9enoyknpg8ji78za5b82p0,0,94.5,77.3,2025-04-13T14:01:37.183Z,2025-04-13T14:01:38Z,43q9ytkbmtk5y3tgv77v7pmg9,M. Madsen,,,5649630733,56,Center,5649630735,140,95.8,5649630741,213,5.01,5649630739,212,4.6,5649630737,141,70.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800714935,12,61,1,0,49,59as3grjvj19voay31j3yfgni,1,15.4,24.3,2025-04-13T14:01:38.544Z,2025-04-13T14:16:36Z,bwfg9frq2ecbzg7wlzqjtnv2s,P. Bravo,,,5649630729,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800714973,13,12,1,0,50,59as3grjvj19voay31j3yfgni,1,4.1,36.3,2025-04-13T14:01:40.308Z,2025-04-13T14:01:41Z,a87w6l9zsbahdi4knm1347zs9,M. Bech,,,5649630981,212,30.4,5649630975,56,Back,5649631019,167,,5649630983,213,5.26,5649630977,140,19.1,5649630979,141,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800714979,14,5,1,0,51,59as3grjvj19voay31j3yfgni,0,18.6,-1.8,2025-04-13T14:01:40.400Z,2025-04-13T14:30:24Z,a87w6l9zsbahdi4knm1347zs9,M. Bech,,,5649631001,347,,5649630999,56,Back,5649631145,233,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800714995,18,5,1,0,51,5rz9enoyknpg8ji78za5b82p0,1,81.4,101.8,2025-04-13T14:01:40.400Z,2025-04-13T14:01:43Z,43q9ytkbmtk5y3tgv77v7pmg9,M. Madsen,,,5649631111,233,14,5649631089,347,,5649631087,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800715431,19,1,1,1,18,5rz9enoyknpg8ji78za5b82p0,1,82.7,100.0,2025-04-13T14:02:07.679Z,2025-04-13T14:02:11Z,4vmgmzg2004twoc39sk7zkzqh,G. Links,,,5649633355,141,90.8,5649633349,107,,5649633359,213,5.42,5649633353,140,88.9,5649633357,212,10.0,5649633351,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800715433,20,50,1,1,21,5rz9enoyknpg8ji78za5b82p0,1,85.7,83.9,2025-04-13T14:02:10.546Z,2025-04-13T14:52:02Z,7je01bs3a4q6c2gd02ee6da3u,K. Arnstad,,,5649633365,286,,5649633363,56,Left,5649633615,233,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800715451,15,7,1,1,21,59as3grjvj19voay31j3yfgni,1,14.3,16.1,2025-04-13T14:02:10.547Z,2025-04-13T17:00:33Z,bwfg9frq2ecbzg7wlzqjtnv2s,P. Bravo,,,5650635231,383,,5649633475,285,,5649633577,233,20,5649633473,56,Back,5650635233,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800715493,21,1,1,1,22,5rz9enoyknpg8ji78za5b82p0,0,85.9,85.0,2025-04-13T14:02:12.261Z,2025-04-13T17:00:52Z,43q9ytkbmtk5y3tgv77v7pmg9,M. Madsen,,,5649633707,56,Left,5650636847,212,5.2,5650636849,213,2.05,5650636843,140,83.6,5650636845,141,91.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800715457,16,61,1,1,23,59as3grjvj19voay31j3yfgni,1,16.6,20.8,2025-04-13T14:02:12.360Z,2025-04-13T17:00:55Z,bwfg9frq2ecbzg7wlzqjtnv2s,P. Bravo,,,5649633501,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800715483,17,45,1,1,23,59as3grjvj19voay31j3yfgni,0,16.0,19.8,2025-04-13T14:02:12.995Z,2025-04-13T14:44:03Z,bwfg9frq2ecbzg7wlzqjtnv2s,P. Bravo,,,5649633673,285,,5649633671,56,Back,5649633877,233,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800715507,22,3,1,1,23,5rz9enoyknpg8ji78za5b82p0,1,84.0,80.2,2025-04-13T14:02:12.995Z,2025-04-13T17:01:02Z,4vmgmzg2004twoc39sk7zkzqh,G. Links,,,5649633803,56,Left,5650637589,465,,5649633833,233,17,5649633805,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800715521,23,1,1,1,25,5rz9enoyknpg8ji78za5b82p0,0,94.5,94.5,2025-04-13T14:02:14.928Z,2025-04-13T17:01:11Z,4vmgmzg2004twoc39sk7zkzqh,G. Links,,,5650638277,386,,5649633927,56,Center,5649633923,2,,5649633935,213,4.62,5649633931,141,58.7,5649633929,140,92.3,5649633933,212,24.5,5650637851,72,,5650638275,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800715649,18,12,1,1,27,59as3grjvj19voay31j3yfgni,1,6.3,35.8,2025-04-13T14:02:16.500Z,2025-04-13T14:02:24Z,ddl5g7raihnc9s4u3wetz8v10,O. Diao,,,5649634605,213,0.28,5649634599,140,40.0,5649634597,56,Back,5649634603,212,36.8,5649634601,141,50.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800715645,24,1,1,1,34,5rz9enoyknpg8ji78za5b82p0,0,70.5,23.9,2025-04-13T14:02:23.537Z,2025-04-13T17:01:21Z,8xrco8qhcvplvc3wmcschoi22,T. Mølgaard,,,5650638999,387,,5650639001,20,,5649634563,155,,5650638997,225,,5649634565,56,Center,5649634559,2,,5649634567,140,100.0,5649634573,213,0.77,5649634571,212,43.9,5649634575,1,5649634569,141,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800716005,19,5,1,1,35,59as3grjvj19voay31j3yfgni,1,-1.0,32.6,2025-04-13T14:02:24.637Z,2025-04-13T14:30:24Z,e64kcio0848bpw39eedbjyd5g,M. Krüger-Johnsen,,,5649636635,56,Back,5649636709,233,25,5649636637,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800716001,25,5,1,1,35,5rz9enoyknpg8ji78za5b82p0,0,101.0,67.4,2025-04-13T14:02:24.637Z,2025-04-13T14:02:52Z,8xrco8qhcvplvc3wmcschoi22,T. Mølgaard,,,5649636717,233,19,5649636629,56,Center,5649636631,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800716065,20,1,1,1,56,59as3grjvj19voay31j3yfgni,0,3.8,45.8,2025-04-13T14:02:46.028Z,2025-04-13T14:02:52Z,41ii5y9ebz5e3xhaif9kc8qmt,J. Lössl,,,5649636927,213,6.24,5649636921,140,64.7,5649636923,141,41.8,5649636919,56,Center,5649636949,189,,5649636929,1,,5649636931,74,,5649636925,212,64.0,5649636917,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800716087,27,1,1,2,0,5rz9enoyknpg8ji78za5b82p0,1,31.3,60.3,2025-04-13T14:02:49.649Z,2025-04-13T14:02:52Z,6my7s0ezr6jldotm1w6nk7b9x,F. Tingager,,,5649637023,141,5.9,5649637019,56,Right,5649637027,213,5.42,5649637021,140,61.7,5649637025,212,48.9,5649637017,155,,5649637029,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800716101,28,1,1,2,3,5rz9enoyknpg8ji78za5b82p0,0,61.7,5.9,2025-04-13T14:02:52.433Z,2025-04-13T14:02:54Z,aswmi1pnkzkvkexp8ngief6j9,F. Beijmo,,,5649637147,213,1.47,5649637139,141,34.6,5649637135,140,63.6,5649637143,212,19.6,5649637129,3,,5649637131,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800716149,22,1,1,2,5,59as3grjvj19voay31j3yfgni,1,31.4,75.6,2025-04-13T14:02:55.031Z,2025-04-13T14:02:56Z,drlp4xtkta08jiu0px6m4ocq2,O. Sørensen,,,5649637413,141,70.9,5649637415,212,20.6,5649637409,140,12.0,5649637419,213,3.30,5649637405,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800716185,23,1,1,2,7,59as3grjvj19voay31j3yfgni,1,12.1,71.1,2025-04-13T14:02:56.483Z,2025-04-13T14:02:58Z,a87w6l9zsbahdi4knm1347zs9,M. Bech,,,5649637587,141,55.2,5649637591,213,3.97,5649637583,56,Back,5649637589,212,14.7,5649637585,140,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800716211,24,1,1,2,9,59as3grjvj19voay31j3yfgni,0,4.4,55.2,2025-04-13T14:02:58.739Z,2025-04-13T14:03:02Z,41ii5y9ebz5e3xhaif9kc8qmt,J. Lössl,,,5649637765,213,0.19,5649637763,212,46.0,5649637757,56,Back,5649637759,140,47.4,5649637767,1,,5649637755,157,,5649637761,141,67.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
