id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2746961023,8,1,1,0,10,cftj6g399tknheudaxsdpfdgb,0,71.9,81.4,2024-11-10T15:00:34.925Z,2024-11-10T19:48:30Z,3bvc29bootgmo9tsapvygvnu2,M. Westergaard,,,5356519759,213,1.69,5356519757,212,6.0,5356519751,56,Left,5356519753,140,71.2,5356519755,141,90.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746961097,5,1,1,0,15,59as3grjvj19voay31j3yfgni,1,31.6,3.5,2024-11-10T15:00:39.308Z,2024-11-10T19:48:37Z,fwu0bja02waqct7l682s5mfp,K. Mbabu,,,5356520211,212,10.5,5356520209,141,9.2,5356520207,140,40.9,5356520213,213,0.38,5356520205,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746961103,6,4,1,0,17,59as3grjvj19voay31j3yfgni,1,37.7,9.6,2024-11-10T15:00:42.139Z,2024-11-10T15:34:58Z,elhmf9cc26ec5p1wnwonuxf4l,A. Buksa,,,5356520243,13,,5356520249,265,,5356520247,152,,5356520291,233,9,5356520245,56,Back,5356520251,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746961107,9,4,1,0,18,cftj6g399tknheudaxsdpfdgb,0,62.3,90.4,2024-11-10T15:00:42.140Z,2024-11-10T15:34:58Z,9qskwuil30g48xr3ax5p9j6j9,I. Näsberg,,,5356520271,265,,5356520265,13,,5356520267,56,Left,5356520273,285,,5356520379,233,6,5356520269,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746961203,7,1,1,0,26,59as3grjvj19voay31j3yfgni,1,34.6,6.8,2024-11-10T15:00:50.588Z,2024-11-10T15:00:51Z,ddl5g7raihnc9s4u3wetz8v10,O. Diao,,,5356520855,140,27.6,5356520891,189,,5356520861,213,1.90,5356520851,152,,5356520857,141,38.9,5356520849,5,,5356520859,212,23.0,5356520853,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746961305,8,1,1,0,32,59as3grjvj19voay31j3yfgni,1,30.3,48.9,2024-11-10T15:00:56.507Z,2024-11-10T19:49:16Z,4fhpb0b8muboggvquj2pvsiqx,Juninho,,,5356521387,213,4.42,5356521385,212,8.7,5356521383,141,36.6,5356521381,140,27.9,5356521379,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746961367,9,1,1,0,34,59as3grjvj19voay31j3yfgni,1,26.5,38.6,2024-11-10T15:00:58.603Z,2024-11-10T15:01:02Z,ddl5g7raihnc9s4u3wetz8v10,O. Diao,,,5356521695,212,11.2,5356521691,140,24.1,5356521697,213,1.80,5356521689,56,Back,5356521693,141,54.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746961397,10,1,1,0,38,59as3grjvj19voay31j3yfgni,0,26.9,64.0,2024-11-10T15:01:02.300Z,2024-11-10T19:49:55Z,4fhpb0b8muboggvquj2pvsiqx,Juninho,,,5356521881,213,5.76,5356521871,157,,5356521875,140,66.4,5356521877,141,28.9,5356521883,1,,5356521879,212,47.9,5356521873,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746961425,10,1,1,0,41,cftj6g399tknheudaxsdpfdgb,1,33.5,77.3,2024-11-10T15:01:05.254Z,2024-11-10T19:50:40Z,acp1ba2irpv5wfmxke7ucmaga,O. Bundgaard,,,5356521979,3,,5356521983,140,56.3,5356521981,56,Center,5356521985,141,70.5,5356521989,213,6.09,5356521987,212,24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746961437,12,1,1,0,45,cftj6g399tknheudaxsdpfdgb,0,46.7,64.0,2024-11-10T15:01:09.157Z,2024-11-10T15:01:09Z,73lwz4he5erpp25zi8crjvztg,I. Jensen,,,5356522051,56,Center,5356522053,140,55.3,5356522055,141,49.6,5356522057,212,13.3,5356522059,213,5.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746961467,11,8,1,0,47,59as3grjvj19voay31j3yfgni,1,45.9,48.7,2024-11-10T15:01:12.059Z,2024-11-10T19:51:04Z,drlp4xtkta08jiu0px6m4ocq2,O. Sørensen,,,5356522185,56,Back,5358390421,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746961491,13,1,1,0,47,cftj6g399tknheudaxsdpfdgb,1,55.9,60.9,2024-11-10T15:01:12.093Z,2024-11-10T15:01:14Z,73lwz4he5erpp25zi8crjvztg,I. Jensen,,,5356522311,212,16.5,5356522309,141,37.6,5356522307,140,60.2,5356522313,213,4.99,5356522305,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746961521,14,1,1,0,49,cftj6g399tknheudaxsdpfdgb,1,59.6,36.6,2024-11-10T15:01:14.046Z,2024-11-10T15:01:17Z,vrzye4jqrafujmjw3wakjpxw,T. Jørgensen,,,5356522455,56,Right,5356522463,141,14.0,5356522459,140,67.5,5356522469,213,5.21,5356522467,212,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746961531,15,1,1,0,53,cftj6g399tknheudaxsdpfdgb,1,69.9,12.8,2024-11-10T15:01:17.694Z,2024-11-10T15:01:18Z,bitixkzgt5p65rlo2bnllcf6x,J. Mbom,,,5356522525,213,2.46,5356522521,141,19.8,5356522523,212,7.6,5356522517,56,Right,5356522519,140,64.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746961545,16,1,1,0,54,cftj6g399tknheudaxsdpfdgb,1,63.2,20.6,2024-11-10T15:01:18.718Z,2024-11-10T15:01:20Z,vrzye4jqrafujmjw3wakjpxw,T. Jørgensen,,,5356522601,213,5.57,5356522595,140,71.4,5356522593,56,Right,5356522599,212,11.4,5356522597,141,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746961567,17,1,1,0,56,cftj6g399tknheudaxsdpfdgb,1,75.2,4.1,2024-11-10T15:01:20.541Z,2024-11-10T19:51:22Z,bitixkzgt5p65rlo2bnllcf6x,J. Mbom,,,5356522707,56,Right,5356522717,213,2.79,5356522715,212,16.5,5356522711,140,60.5,5356522713,141,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746961623,18,1,1,0,58,cftj6g399tknheudaxsdpfdgb,1,60.0,15.2,2024-11-10T15:01:22.405Z,2024-11-10T15:01:26Z,vrzye4jqrafujmjw3wakjpxw,T. Jørgensen,,,5356523045,141,27.1,5356523041,56,Center,5356523043,140,54.7,5356523049,213,2.17,5356523047,212,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746961667,19,1,1,1,1,cftj6g399tknheudaxsdpfdgb,1,52.9,28.2,2024-11-10T15:01:26.101Z,2024-11-10T15:01:29Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,,5356523263,56,Right,5356523267,141,15.6,5356523269,212,24.1,5356523265,140,74.4,5356523271,213,5.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746961673,20,1,1,1,5,cftj6g399tknheudaxsdpfdgb,1,68.0,10.1,2024-11-10T15:01:29.485Z,2024-11-10T19:51:31Z,6d8194j12jdzgqk5uwcemecr8,C. Nouck,,,5356523301,56,Right,5356523305,141,3.8,5356523303,140,62.6,5356523309,213,3.79,5356523307,212,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746961761,21,1,1,1,6,cftj6g399tknheudaxsdpfdgb,1,61.6,4.3,2024-11-10T15:01:31.094Z,2024-11-10T15:01:38Z,bitixkzgt5p65rlo2bnllcf6x,J. Mbom,,,5356523689,212,8.4,5356523687,141,3.1,5356523683,56,Right,5356523691,213,3.24,5356523685,140,53.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746961707,12,83,1,1,9,59as3grjvj19voay31j3yfgni,0,42.6,89.9,2024-11-10T15:01:33.691Z,2024-11-10T15:01:38Z,8yfw9f74h0yfz51bkxxc8p39x,J. Andersson,,,5356523717,399,vrzye4jqrafujmjw3wakjpxw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746961767,22,50,1,1,12,cftj6g399tknheudaxsdpfdgb,1,51.6,26.6,2024-11-10T15:01:37.130Z,2024-11-10T21:17:16Z,vrzye4jqrafujmjw3wakjpxw,T. Jørgensen,,,5358741553,233,13,5356523713,286,,5356523711,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746961759,13,7,1,1,12,59as3grjvj19voay31j3yfgni,1,48.4,73.4,2024-11-10T15:01:37.131Z,2024-11-10T19:51:53Z,bwfg9frq2ecbzg7wlzqjtnv2s,P. Bravo,,,5356523671,285,,5356523767,233,22,5356523669,56,Back,5358393431,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746961763,14,1,1,1,13,59as3grjvj19voay31j3yfgni,0,52.1,65.0,2024-11-10T15:01:37.981Z,2024-11-10T19:52:04Z,elhmf9cc26ec5p1wnwonuxf4l,A. Buksa,,,5356523699,141,70.3,5356523697,140,61.1,5356523695,56,Center,5356523701,212,10.1,5356523703,213,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746961799,23,1,1,1,16,cftj6g399tknheudaxsdpfdgb,1,36.5,33.8,2024-11-10T15:01:40.141Z,2024-11-10T19:52:07Z,acp1ba2irpv5wfmxke7ucmaga,O. Bundgaard,,,5356523883,213,1.92,5356523881,212,18.3,5356523879,141,59.1,5356523877,140,30.6,5356523875,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746961881,24,1,1,1,16,cftj6g399tknheudaxsdpfdgb,1,35.3,66.9,2024-11-10T15:01:41.117Z,2024-11-10T19:52:14Z,9qskwuil30g48xr3ax5p9j6j9,I. Näsberg,,,5356524297,56,Left,5356524305,213,0.56,5356524299,140,63.4,5356524301,141,94.0,5356524303,212,34.8,5358394625,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746961921,25,1,1,1,22,cftj6g399tknheudaxsdpfdgb,1,56.6,96.5,2024-11-10T15:01:46.717Z,2024-11-10T19:52:16Z,acp1ba2irpv5wfmxke7ucmaga,O. Bundgaard,,,5356524451,141,82.1,5356524453,212,25.7,5356524455,213,3.53,5356524447,56,Back,5356524449,140,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746961955,26,1,1,1,25,cftj6g399tknheudaxsdpfdgb,1,34.0,82.1,2024-11-10T15:01:49.654Z,2024-11-10T15:01:53Z,9qskwuil30g48xr3ax5p9j6j9,I. Näsberg,,,5356524691,140,29.2,5356524695,141,44.5,5356524699,213,4.52,5356524687,56,Back,5356524697,212,26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746962047,27,1,1,1,29,cftj6g399tknheudaxsdpfdgb,1,28.8,42.5,2024-11-10T15:01:53.454Z,2024-11-10T15:02:00Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,,5356525253,213,2.79,5356525249,141,53.4,5356525245,140,9.4,5356525251,212,21.7,5356525241,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746962067,28,1,1,1,35,cftj6g399tknheudaxsdpfdgb,1,9.4,53.4,2024-11-10T15:02:00.021Z,2024-11-10T15:02:01Z,dk9nlp77b6q38p751f8w3o8np,O. Hedvall,,,5356525351,213,5.46,5356525345,140,24.0,5356525343,56,Back,5356525349,212,22.5,5356525347,141,29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746962123,29,1,1,1,36,cftj6g399tknheudaxsdpfdgb,1,15.0,23.9,2024-11-10T15:02:00.909Z,2024-11-10T19:52:43Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,,5356525723,212,10.4,5356525721,141,32.5,5356525717,56,Back,5356525725,213,0.60,5356525719,140,23.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746962167,30,1,1,1,36,cftj6g399tknheudaxsdpfdgb,1,25.6,31.3,2024-11-10T15:02:01.109Z,2024-11-10T19:53:06Z,5f3wfx327z9hef9k9l37c90wl,J. Grønning,,,5356525949,141,27.0,5356525947,140,15.0,5356525953,213,3.40,5356525945,56,Back,5356525951,212,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747303209,870,1,1,1,37,cftj6g399tknheudaxsdpfdgb,1,17.5,35.5,2024-11-10T15:02:01.250Z,2024-11-10T19:53:27Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,,5358399727,212,12.7,5358399729,213,0.29,5358399721,140,29.1,5358399723,141,40.9,5358399719,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747303259,871,1,1,1,38,cftj6g399tknheudaxsdpfdgb,1,29.1,40.9,2024-11-10T15:02:02.957Z,2024-11-10T19:53:31Z,5f3wfx327z9hef9k9l37c90wl,J. Grønning,,,5358400129,141,72.9,5358400133,213,1.75,5358400127,140,25.3,5358400131,212,22.1,5358400125,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746962193,31,1,1,1,44,cftj6g399tknheudaxsdpfdgb,1,34.2,75.4,2024-11-10T15:02:08.413Z,2024-11-10T19:53:38Z,9qskwuil30g48xr3ax5p9j6j9,I. Näsberg,,,5356526143,213,6.18,5356526127,56,Center,5356526137,141,72.6,5356526141,212,18.9,5356526131,140,52.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746962283,32,1,1,1,48,cftj6g399tknheudaxsdpfdgb,1,57.7,39.9,2024-11-10T15:02:12.310Z,2024-11-10T19:53:44Z,73lwz4he5erpp25zi8crjvztg,I. Jensen,,,5356526633,141,10.9,5356526631,140,63.0,5356526629,56,Right,5356526635,212,20.5,5356526637,213,4.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746962327,33,1,1,1,53,cftj6g399tknheudaxsdpfdgb,0,72.4,13.7,2024-11-10T15:02:17.863Z,2024-11-10T19:53:54Z,bitixkzgt5p65rlo2bnllcf6x,J. Mbom,,,5358401501,224,,5356526953,233,15,5356526957,286,,5356526951,236,,5358401503,20,,5356526905,141,16.4,5356526897,2,,5356526903,140,75.9,5356526909,213,0.46,5356526907,212,4.1,5356526901,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746962319,15,12,1,1,53,59as3grjvj19voay31j3yfgni,1,21.9,83.4,2024-11-10T15:02:17.963Z,2024-11-10T19:53:56Z,drlp4xtkta08jiu0px6m4ocq2,O. Sørensen,,,5356526833,56,Back,5356526831,185,,5356526981,233,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746962369,16,12,1,1,54,59as3grjvj19voay31j3yfgni,1,1.0,79.9,2024-11-10T15:02:19.115Z,2024-11-10T19:54:09Z,8yfw9f74h0yfz51bkxxc8p39x,J. Andersson,,,5356527149,140,8.0,5356527157,213,1.11,5356527147,56,Back,5356527181,167,,5356527153,212,16.5,5356527151,141,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746962373,17,5,1,1,57,59as3grjvj19voay31j3yfgni,0,8.1,101.8,2024-11-10T15:02:21.611Z,2024-11-10T15:49:15Z,8yfw9f74h0yfz51bkxxc8p39x,J. Andersson,,,5356527651,233,34,5356527175,347,,5356527173,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746962439,34,5,1,1,57,cftj6g399tknheudaxsdpfdgb,1,91.9,-1.8,2024-11-10T15:02:21.611Z,2024-11-10T16:06:36Z,bitixkzgt5p65rlo2bnllcf6x,J. Mbom,,,5356527595,233,17,5356527519,347,,5356527517,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746962559,35,1,1,2,2,cftj6g399tknheudaxsdpfdgb,1,86.5,0.0,2024-11-10T15:02:26.485Z,2024-11-10T19:54:23Z,6d8194j12jdzgqk5uwcemecr8,C. Nouck,,,5356528125,56,Right,5356528131,212,17.8,5356528123,107,,5356528127,140,70.9,5356528129,141,9.2,5356528133,213,2.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746962595,36,1,1,2,4,cftj6g399tknheudaxsdpfdgb,1,62.7,17.4,2024-11-10T15:02:28.837Z,2024-11-10T15:51:11Z,5f3wfx327z9hef9k9l37c90wl,J. Grønning,,,5356528315,140,76.2,5356528317,141,26.5,5356528321,213,0.41,5356528319,212,15.5,5356528313,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747040383,452,1,1,2,5,cftj6g399tknheudaxsdpfdgb,1,73.5,24.8,2024-11-10T15:02:29.140Z,2024-11-10T19:54:31Z,vrzye4jqrafujmjw3wakjpxw,T. Jørgensen,,,5356949089,56,Center,5356949097,213,1.29,5356949091,140,74.5,5356949093,141,30.1,5356949095,212,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746962611,37,1,1,2,6,cftj6g399tknheudaxsdpfdgb,1,75.9,28.6,2024-11-10T15:02:30.685Z,2024-11-10T19:54:39Z,3bvc29bootgmo9tsapvygvnu2,M. Westergaard,,,5356528373,56,Right,5356528379,212,15.0,5356528377,141,16.2,5356528375,140,64.1,5356528381,213,3.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
